"school_year","dbn","location","location_type","total_gc_sw","total_gc","full_time","part_time","bilingual","serving_more_than_one_location","atr","_2014_enrollment_pk_12","ratio_gc_sw","ratio_gc_only","unnamed_column","unnamed_column_1","unnamed_column_2","unnamed_column_3"
"2014-15","01M450","01M450 - EAST SIDE COMMUNITY SCHOOL","SECONDARY SCHOOL","5","2","2",,"1",,,"666","134","333",,,,
"2014-15","01M458","01M458 - FORSYTH SATELLITE ACADEMY","HIGH SCHOOL","2","1","1",,,,,"179","90","179",,,,
"2014-15","01M509","01M509 - MARTA VALLE HIGH SCHOOL","HIGH SCHOOL","1.8","1.8","1","0.8",,,,"363","182","182",,,,
"2014-15","01M515","01M515 - LOWER EAST SIDE PREPARATORY HIGH SCHOOL","HIGH SCHOOL","4","4","4",,"1",,,"528","132","132",,,,
"2014-15","01M539","01M539 - NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH","K-12 ALL GRADES","5","5","5",,,,,"1735","347","347",,,,
"2014-15","01M650","01M650 - CASCADES HIGH SCHOOL","HIGH SCHOOL","1","1","1",,,,,"230","230","230",,,,
"2014-15","01M696","01M696 - BARD HIGH SCHOOL EARLY COLLEGE","HIGH SCHOOL","2.8","2.8","2","0.8",,,,"545","182","182",,,,
"2014-15","01M839","01M839 - TOMPKINS SQUARE MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"368","368","368",,,,
"2014-15","02M001","02M001 - P.S. 001 ALFRED E. SMITH","ELEMENTARY","1","1","1",,,,,"465","465","465",,,,
"2014-15","02M002","02M002 - P.S. 002 MEYER LONDON","ELEMENTARY","1.8","1.4","1","0.4",,,,"760","380","380",,,,
"2014-15","02M003","02M003 - P.S. 003 CHARRETTE SCHOOL","ELEMENTARY","3.4","0.4",,"0.4",,,,"809","203","809",,,,
"2014-15","02M006","02M006 - P.S. 006 LILLIE D. BLAKE","ELEMENTARY","2.4","1.4","1","0.4",,,,"726","242","363",,,,
"2014-15","02M011","02M011 - P.S. 011 WILLIAM T. HARRIS","ELEMENTARY","2","1","1",,,,,"872","436","872",,,,
"2014-15","02M033","02M033 - P.S. 033 CHELSEA PREP","ELEMENTARY","2.2","1.2","1","0.2",,,,"634","212","317",,,,
"2014-15","02M040","02M040 - P.S. 040 AUGUSTUS SAINT-GAUDENS","ELEMENTARY","2","0",,,,,,"624","312",,,,,
"2014-15","02M041","02M041 - P.S. 041 GREENWICH VILLAGE","ELEMENTARY","3","2","2",,,,,"757","253","379",,,,
"2014-15","02M042","02M042 - P.S. 042 BENJAMIN ALTMAN","ELEMENTARY","2","0",,,,,,"776","388",,,,,
"2014-15","02M047","02M047 - 47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR","SECONDARY SCHOOL","2","1","1",,"1",,,"169","85","169",,,,
"2014-15","02M051","02M051 - P.S. 051 ELIAS HOWE","ELEMENTARY","0.6","0.6",,"0.6",,"0.6",,"350","350","350",,,,
"2014-15","02M059","02M059 - P.S. 059 BEEKMAN HILL INTERNATIONAL","ELEMENTARY","2","1","1",,,,,"596","298","596",,,,
"2014-15","02M077","02M077 - P.S. 77 LOWER LAB SCHOOL","ELEMENTARY","0.6","0.6",,"0.6",,,,"350","350","350",,,,
"2014-15","02M089","02M089 - P.S. 89","ELEMENTARY","0.8","0.8",,"0.8",,"0.8",,"442","442","442",,,,
"2014-15","02M104","02M104 - J.H.S. 104 SIMON BARUCH","JUNIOR HIGH-INTERMEDIATE-MIDDLE","3.9","3.9","3","0.9",,,,"1073","269","269",,,,
"2014-15","02M111","02M111 - P.S. 111 ADOLPH S. OCHS","K-8","3","1","1",,,,,"465","155","465",,,,
"2014-15","02M114","02M114 - EAST SIDE MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"449","449","449",,,,
"2014-15","02M116","02M116 - P.S. 116 MARY LINDLEY MURRAY","ELEMENTARY","2","1","1",,,,,"696","348","696",,,,
"2014-15","02M124","02M124 - P.S. 124 YUNG WING","ELEMENTARY","1","0",,,,,,"864","864",,,,,
"2014-15","02M126","02M126 - P.S. 126 JACOB AUGUST RIIS","K-8","3","1","1",,,,,"811","271","811",,,,
"2014-15","02M130","02M130 - P.S. 130 HERNANDO DE SOTO","ELEMENTARY","1.6","1","1",,,,,"999","500","999",,,,
"2014-15","02M131","02M131 - M.S. 131","JUNIOR HIGH-INTERMEDIATE-MIDDLE","4","2","2",,"1",,,"406","102","203",,,,
"2014-15","02M135","02M135 - THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT","HIGH SCHOOL","1","1","1",,,,,"193","193","193",,,,
"2014-15","02M139","02M139 - STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HI","HIGH SCHOOL","2","1","1",,,,,"193","97","193",,,,
"2014-15","02M150","02M150 - P.S. 150","ELEMENTARY","0.6","0.6",,"0.6",,,,"184","184","184",,,,
"2014-15","02M151","02M151 - YORKVILLE COMMUNITY SCHOOL","EARLY CHILDHOOD","1","1","1",,,,,"572","572","572",,,,
"2014-15","02M158","02M158 - P.S. 158 BAYARD TAYLOR","ELEMENTARY","2","0",,,,,,"761","381",,,,,
"2014-15","02M167","02M167 - J.H.S. 167 ROBERT F. WAGNER","JUNIOR HIGH-INTERMEDIATE-MIDDLE","4.8","3.8","3","0.8",,,,"1364","273","341",,,,
"2014-15","02M177","02M177 - YORKVILLE EAST MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","0",,,,,,"56","56",,,,,
"2014-15","02M183","02M183 - P.S. 183 ROBERT L. STEVENSON","ELEMENTARY","2","1","1",,,,,"595","298","595",,,,
"2014-15","02M198","02M198 - P.S. 198 ISADOR E. IDA STRAUS","ELEMENTARY","2","1","1",,,,,"462","231","462",,,,
"2014-15","02M212","02M212 - P.S. 212 MIDTOWN WEST","ELEMENTARY","1.4","0.4",,"0.4",,"0.4",,"361","181","361",,,,
"2014-15","02M217","02M217 - P.S./I.S. 217 ROOSEVELT ISLAND","K-8","0.6","0.6",,"0.6",,"0.6",,"536","536","536",,,,
"2014-15","02M225","02M225 - ELLA BAKER SCHOOL","K-8","1","1","1",,,,,"323","323","323",,,,
"2014-15","02M234","02M234 - P.S. 234 INDEPENDENCE SCHOOL","ELEMENTARY","1","0",,,,,,"729","729",,,,,
"2014-15","02M255","02M255 - M.S. 255 SALK SCHOOL OF SCIENCE","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"365","365","365",,,,
"2014-15","02M260","02M260 - M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"270","270","270",,,,
"2014-15","02M267","02M267 - EAST SIDE ELEMENTARY SCHOOL, PS 267","ELEMENTARY","0.8","0.8",,"0.8",,,,"320","320","320",,,,
"2014-15","02M276","02M276 - BATTERY PARK CITY SCHOOL","K-8","2","1","1",,,,,"857","429","857",,,,
"2014-15","02M280","02M280 - MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING","HIGH SCHOOL","0","0",,,,,,"97",,,,,,
"2014-15","02M281","02M281 - THE RIVER SCHOOL","ELEMENTARY","0.2","0.2",,"0.2",,"0.2",,"104","104","104",,,,
"2014-15","02M282","02M282 - URBAN ASSEMBLY MAKER ACADEMY","HIGH SCHOOL","1","0",,,,,,"103","103",,,,,
"2014-15","02M288","02M288 - FOOD AND FINANCE HIGH SCHOOL","HIGH SCHOOL","3","2","2",,,,,"427","143","214",,,,
"2014-15","02M289","02M289 - I.S. 289","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,,,,"292","146","292",,,,
"2014-15","02M290","02M290 - P.S. 290 MANHATTAN NEW SCHOOL","ELEMENTARY","2","1","1",,,,,"646","323","646",,,,
"2014-15","02M294","02M294 - ESSEX STREET ACADEMY","HIGH SCHOOL","2","0",,,,,,"358","179",,,,,
"2014-15","02M296","02M296 - HIGH SCHOOL OF HOSPITALITY MANAGEMENT","HIGH SCHOOL","2","1","1",,,,,"424","212","424",,,,
"2014-15","02M298","02M298 - PACE HIGH SCHOOL","HIGH SCHOOL","2","1","1",,,,,"423","212","423",,,,
"2014-15","02M300","02M300 - URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,","HIGH SCHOOL","2","1","1",,,,,"414","207","414",,,,
"2014-15","02M303","02M303 - FACING HISTORY SCHOOL, THE","HIGH SCHOOL","3","0",,,,,,"406","136",,,,,
"2014-15","02M305","02M305 - URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE","HIGH SCHOOL","1","0",,,,,,"329","329",,,,,
"2014-15","02M308","02M308 - LOWER MANHATTAN ARTS ACADEMY","HIGH SCHOOL","4","2","2",,,,"1","383","77","128",,,,
"2014-15","02M312","02M312 - NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,,,,"558","279","279",,,,
"2014-15","02M313","02M313 - JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITION","HIGH SCHOOL","2.2","1.2","1","0.2",,"0.2",,"259","87","130",,,,
"2014-15","02M316","02M316 - URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,","HIGH SCHOOL","3","3","3",,,,,"405","135","135",,,,
"2014-15","02M340","02M340 - SIXTH AVENUE ELEMENTARY SCHOOL","ELEMENTARY","0","0",,,,,,"83",,,,,,
"2014-15","02M343","02M343 - THE PECK SLIP SCHOOL","ELEMENTARY","1","1","1",,,,,"161","161","161",,,,
"2014-15","02M347","02M347 - THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHO","K-8","2","0",,,,,,"196","98",,,,,
"2014-15","02M374","02M374 - GRAMERCY ARTS HIGH SCHOOL","HIGH SCHOOL","2","2","2",,"1",,,"530","265","265",,,,
"2014-15","02M376","02M376 - NYC ISCHOOL","HIGH SCHOOL","2","2","2",,,,,"442","221","221",,,,
"2014-15","02M392","02M392 - MANHATTAN BUSINESS ACADEMY","HIGH SCHOOL","3","2","2",,,,,"438","146","219",,,,
"2014-15","02M393","02M393 - BUSINESS OF SPORTS SCHOOL","HIGH SCHOOL","2","1","1",,,,,"449","225","449",,,,
"2014-15","02M394","02M394 - EMMA LAZARUS HIGH SCHOOL","HIGH SCHOOL","1","1","1",,"1",,,"228","228","228",,,,
"2014-15","02M397","02M397 - SPRUCE STREET SCHOOL","EARLY CHILDHOOD","1","1","1",,,,,"430","430","430",,,,
"2014-15","02M399","02M399 - THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY","HIGH SCHOOL","2.9","2.9","2","0.9",,,,"437","146","146",,,,
"2014-15","02M400","02M400 - HIGH SCHOOL FOR ENVIRONMENTAL STUDIES","HIGH SCHOOL","6","5","5",,"2",,,"1301","217","261",,,,
"2014-15","02M407","02M407 - INSTITUTE FOR COLLABORATIVE EDUCATION","SECONDARY SCHOOL","1","0",,,,,,"482","482",,,,,
"2014-15","02M408","02M408 - PROFESSIONAL PERFORMING ARTS HIGH SCHOOL","SECONDARY SCHOOL","1.2","1.2","1","0.2",,"0.2",,"536","268","268",,,,
"2014-15","02M411","02M411 - BARUCH COLLEGE CAMPUS HIGH SCHOOL","HIGH SCHOOL","3","3","3",,,,,"451","151","151",,,,
"2014-15","02M412","02M412 - N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES","HIGH SCHOOL","2.6","2.6","2","0.6",,,,"587","196","196",,,,
"2014-15","02M413","02M413 - SCHOOL OF THE FUTURE HIGH SCHOOL","SECONDARY SCHOOL","3","3","3",,,,,"713","238","238",,,,
"2014-15","02M414","02M414 - N.Y.C. MUSEUM SCHOOL","HIGH SCHOOL","2","2","2",,,,,"471","236","236",,,,
"2014-15","02M416","02M416 - ELEANOR ROOSEVELT HIGH SCHOOL","HIGH SCHOOL","2","2","2",,,,,"541","271","271",,,,
"2014-15","02M418","02M418 - MILLENNIUM HIGH SCHOOL","HIGH SCHOOL","4","4","4",,,,,"659","165","165",,,,
"2014-15","02M419","02M419 - LANDMARK HIGH SCHOOL","HIGH SCHOOL","2","2","2",,,,,"355","178","178",,,,
"2014-15","02M420","02M420 - HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI","HIGH SCHOOL","7.4","6","6",,"1",,,"1664","208","278",,,,
"2014-15","02M422","02M422 - QUEST TO LEARN","SECONDARY SCHOOL","3","3","3",,,,,"564","188","188",,,,
"2014-15","02M425","02M425 - LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL","HIGH SCHOOL","4","3","3",,,,"1","699","140","175",,,,
"2014-15","02M427","02M427 - MANHATTAN ACADEMY FOR ARTS & LANGUAGE","HIGH SCHOOL","2","2","2",,,,,"334","167","167",,,,
"2014-15","02M429","02M429 - LEGACY SCHOOL FOR INTEGRATED STUDIES","HIGH SCHOOL","1","1","1",,,,,"19","19","19",,,,
"2014-15","02M432","02M432 - MURRAY HILL ACADEMY","HIGH SCHOOL","4","1","1",,,,,"283","71","283",,,,
"2014-15","02M437","02M437 - HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES","HIGH SCHOOL","4","2","2",,,,,"483","121","242",,,,
"2014-15","02M438","02M438 - INTERNATIONAL HIGH SCHOOL AT UNION SQUARE","HIGH SCHOOL","4","2","2",,,,,"353","89","177",,,,
"2014-15","02M439","02M439 - MANHATTAN VILLAGE ACADEMY","HIGH SCHOOL","1","0",,,,,,"415","415",,,,,
"2014-15","02M442","02M442 - BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE","K-12 ALL GRADES","0","0",,,,,,"150",,,,,,
"2014-15","02M449","02M449 - VANGUARD HIGH SCHOOL","HIGH SCHOOL","2","0",,,,,,"486","243",,,,,
"2014-15","02M459","02M459 - MANHATTAN INTERNATIONAL HIGH SCHOOL","HIGH SCHOOL","1","1","1",,,,,"343","343","343",,,,
"2014-15","02M460","02M460 - WASHINGTON IRVING HIGH SCHOOL","HIGH SCHOOL","2","1","1",,,,,"99","50","99",,,,
"2014-15","02M473","02M473 - WASHINGTON IRVING YABC","HIGH SCHOOL","1","1","1",,,,,"254","254","254",,,,
"2014-15","02M475","02M475 - STUYVESANT HIGH SCHOOL","HIGH SCHOOL","15","13","13",,"1",,,"3296","220","254",,,,
"2014-15","02M489","02M489 - HIGH SCHOOL OF ECONOMICS AND FINANCE","HIGH SCHOOL","3","2","2",,"1",,,"796","266","398",,,,
"2014-15","02M500","02M500 - UNITY CENTER FOR URBAN TECHNOLOGIES","HIGH SCHOOL","2","2","2",,"1",,,"284","142","142",,,,
"2014-15","02M507","02M507 - URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY","HIGH SCHOOL","5","4","4",,,,,"472","95","118",,,,
"2014-15","02M519","02M519 - TALENT UNLIMITED HIGH SCHOOL","HIGH SCHOOL","0.9","0.9",,"0.9",,,"1","506","253","253",,,,
"2014-15","02M520","02M520 - MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS","HIGH SCHOOL","10","9","9",,"3",,,"971","98","108",,,,
"2014-15","02M527","02M527 - PS 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION","ELEMENTARY","1","1","1",,,,,"157","157","157",,,,
"2014-15","02M529","02M529 - JACQUELINE KENNEDY ONASSIS HIGH SCHOOL","HIGH SCHOOL","4","4","4",,,,,"676","169","169",,,,
"2014-15","02M531","02M531 - REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS","HIGH SCHOOL","1","1","1",,,,,"246","246","246",,,,
"2014-15","02M533","02M533 - UNION SQUARE ACADEMY FOR HEALTH SCIENCES","HIGH SCHOOL","2","1","1",,,,,"319","160","319",,,,
"2014-15","02M534","02M534 - HARVEST COLLEGIATE HIGH SCHOOL","HIGH SCHOOL","2","0",,,,,,"333","167",,,,,
"2014-15","02M542","02M542 - MANHATTAN BRIDGES HIGH SCHOOL","HIGH SCHOOL","3","3","3",,"1",,,"529","177","177",,,,
"2014-15","02M543","02M543 - NEW DESIGN HIGH SCHOOL","HIGH SCHOOL","1.2","0.2",,"0.2",,"0.2",,"441","221","441",,,,
"2014-15","02M544","02M544 - INDEPENDENCE HIGH SCHOOL","HIGH SCHOOL","2","2","2",,,,,"317","159","159",,,,
"2014-15","02M545","02M545 - HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES","HIGH SCHOOL","1.4","1.4","1","0.4","1",,,"416","208","208",,,,
"2014-15","02M546","02M546 - ACADEMY FOR SOFTWARE ENGINEERING","HIGH SCHOOL","2","1","1",,,,,"344","172","344",,,,
"2014-15","02M550","02M550 - LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS","HIGH SCHOOL","3","2","2",,"1",,,"407","136","204",,,,
"2014-15","02M551","02M551 - URBAN ASSEMBLY NEW YORK HARBOR SCHOOL","HIGH SCHOOL","2","1","1",,"1",,,"447","224","447",,,,
"2014-15","02M560","02M560 - HIGH SCHOOL M560 - CITY AS SCHOOL","HIGH SCHOOL","4","2","2",,"1",,,"658","165","329",,,,
"2014-15","02M565","02M565 - URBAN ACADEMY LABORATORY HIGH SCHOOL","HIGH SCHOOL","0","0",,,,,,"162",,,,,,
"2014-15","02M570","02M570 - SATELLITE ACADEMY HIGH SCHOOL","HIGH SCHOOL","1","0",,,,,,"266","266",,,,,
"2014-15","02M575","02M575 - MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL","HIGH SCHOOL","3.6","3.6","3","0.6",,,,"733","184","184",,,,
"2014-15","02M580","02M580 - RICHARD R. GREEN HIGH SCHOOL OF TEACHING","HIGH SCHOOL","2","2","2",,,,,"566","283","283",,,,
"2014-15","02M586","02M586 - HARVEY MILK HIGH SCHOOL","HIGH SCHOOL","2","1","1",,,,,"64","32","64",,,,
"2014-15","02M600","02M600 - THE HIGH SCHOOL OF FASHION INDUSTRIES","HIGH SCHOOL","8","7","7",,"1",,,"1770","222","253",,,,
"2014-15","02M605","02M605 - HUMANITIES PREPARATORY ACADEMY","HIGH SCHOOL","1.2","0.2",,"0.2",,"0.2",,"209","105","209",,,,
"2014-15","02M615","02M615 - CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","HIGH SCHOOL","3.1","2.1","2","0.1",,,,"439","110","147",,,,
"2014-15","02M625","02M625 - HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS","HIGH SCHOOL","3","2","2",,"2",,,"336","112","168",,,,
"2014-15","02M630","02M630 - ART AND DESIGN HIGH SCHOOL","HIGH SCHOOL","6.4","5.4","5","0.4",,,"1","1476","185","211",,,,
"2014-15","02M655","02M655 - LIFE SCIENCES SECONDARY SCHOOL","SECONDARY SCHOOL","4","4","4",,"1",,,"697","175","175",,,,
"2014-15","02M896","02M896 - LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"366","366","366",,,,
"2014-15","02M933","02M933 - CITY KNOLL MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","0",,,,,,"79","79",,,,,
"2014-15","03M009","03M009 - P.S. 009 SARAH ANDERSON","ELEMENTARY","2","1","1",,,,,"658","329","658",,,,
"2014-15","03M054","03M054 - J.H.S. 054 BOOKER T. WASHINGTON","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2.4","2.4","2","0.4",,,,"813","271","271",,,,
"2014-15","03M075","03M075 - P.S. 075 EMILY DICKINSON","ELEMENTARY","2.4","1.4","1","0.4",,"0.4",,"566","189","283",,,,
"2014-15","03M076","03M076 - P.S. 076 A. PHILIP RANDOLPH","ELEMENTARY","1","1","1",,,,,"520","520","520",,,,
"2014-15","03M084","03M084 - P.S. 084 LILLIAN WEBER","ELEMENTARY","1","0",,,,,,"521","521",,,,,
"2014-15","03M087","03M087 - P.S. 087 WILLIAM SHERMAN","ELEMENTARY","2","1","1",,,,,"875","438","875",,,,
"2014-15","03M145","03M145 - P.S. 145, THE BLOOMINGDALE SCHOOL","ELEMENTARY","1.6","0.6",,"0.6","0.6","0.6",,"391","196","391",,,,
"2014-15","03M149","03M149 - P.S. 149 SOJOURNER TRUTH","K-8","2","0",,,,,,"287","144",,,,,
"2014-15","03M163","03M163 - P.S. 163 ALFRED E. SMITH","ELEMENTARY","3","1","1",,,,,"599","200","599",,,,
"2014-15","03M165","03M165 - P.S. 165 ROBERT E. SIMON","K-8","3","2","2",,,,,"831","277","416",,,,
"2014-15","03M166","03M166 - P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AN","ELEMENTARY","0.6","0.6",,"0.6",,"0.6",,"615","615","615",,,,
"2014-15","03M180","03M180 - P.S. 180 HUGO NEWMAN","K-8","3","2","2",,,,,"625","209","313",,,,
"2014-15","03M185","03M185 - P.S. 185 - THE EARLY CHILDHOOD DISCOVERY AND DESIG","EARLY CHILDHOOD","0.6","0.6",,"0.6",,"0.6",,"251","251","251",,,,
"2014-15","03M191","03M191 - P.S. 191 AMSTERDAM","ELEMENTARY","4","2","2",,,,,"490","123","245",,,,
"2014-15","03M199","03M199 - P.S. 199 JESSIE ISADOR STRAUS","ELEMENTARY","2","0",,,,,,"889","445",,,,,
"2014-15","03M208","03M208 - P.S. 208 ALAIN L. LOCKE","ELEMENTARY","0.4","0.4",,"0.4",,"0.4",,"157","157","157",,,,
"2014-15","03M241","03M241 - STEM INSTITUTE OF MANHATTAN","K-8","2","1","1",,,,,"100","50","100",,,,
"2014-15","03M242","03M242 - P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY","ELEMENTARY","1","1","1",,,,,"221","221","221",,,,
"2014-15","03M243","03M243 - M.S. 243 CENTER SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","0.4","0",,,,,,"230","230",,,,,
"2014-15","03M245","03M245 - M.S. M245 THE COMPUTER SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1.5","1.5","1","0.5",,,,"412","206","206",,,,
"2014-15","03M247","03M247 - M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,"1",,,"197","197","197",,,,
"2014-15","03M250","03M250 - M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","0.8","0.8",,"0.8",,,,"189","189","189",,,,
"2014-15","03M256","03M256 - M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE","JUNIOR HIGH-INTERMEDIATE-MIDDLE","0.6","0.6",,"0.6",,"0.6",,"142","142","142",,,,
"2014-15","03M258","03M258 - COMMUNITY ACTION SCHOOL - MS 258","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,"1",,,"255","255","255",,,,
"2014-15","03M283","03M283 - MANHATTAN THEATRE LAB HIGH SCHOOL","HIGH SCHOOL","1","0",,,,,,"53","53",,,,,
"2014-15","03M299","03M299 - HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY","HIGH SCHOOL","3","2","2",,,,,"447","149","224",,,,
"2014-15","03M307","03M307 - URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE","HIGH SCHOOL","1.8","1.8","1","0.8",,,,"412","206","206",,,,
"2014-15","03M333","03M333 - P.S. 333 MANHATTAN SCHOOL FOR CHILDREN","K-8","2.6","0.6",,"0.6",,,,"759","253","759",,,,
"2014-15","03M334","03M334 - THE ANDERSON SCHOOL","K-8","1","1","1",,,,,"574","574","574",,,,
"2014-15","03M402","03M402 - THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS","HIGH SCHOOL","2","2","2",,"1",,,"353","177","177",,,,
"2014-15","03M403","03M403 - THE GLOBAL LEARNING COLLABORATIVE","HIGH SCHOOL","2.9","1.9","1","0.9",,,,"496","166","248",,,,
"2014-15","03M404","03M404 - INNOVATION DIPLOMA PLUS","HIGH SCHOOL","1","0",,,,,,"202","202",,,,,
"2014-15","03M415","03M415 - WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VIS","SECONDARY SCHOOL","3","3","3",,,,,"445","149","149",,,,
