"clientid","resp","qrep","qkey","qcell","sc1","sc2","sc3","sc4","sc4a_1","sc4a_2","sc4c","sc4b","sc4b1","sc4b2","selchild","sc4d","sc4d1","sc5","sc6","sc6a","sc7","mp1","ph1","bc1a","bc1","bc2","bc3","pph1","pph2a","pph2b","pph2c","el1","el3","el4","el7","el8","el9","el10","el11","el12_1","el12_2","el12_3","el12wks","el12mns","el13a","el13b","el13c","el13d","el13e","el14","el15","el16","el17a","el17b","el17c","el17d","el17e","el17f","cp1","cp2","cp3","cp4","cp5","cp6a","cp6b","cp6c","cp7","cp8","cp9","cp10_1","cp10_2","cp10_3","cp10wks","cp10mns","ih1","ih2","ih3","ih4_1","ih4_2","ih4_3","ih4_4","ih4_5","ih5","ih5a_1","ih5a_2","ih5a_3","ih5a_4","bf1_1","bf1_2","bf1_3","bf1_4","bf1_5","bf1wks","bf1mns","bf1a_1","bf1a_2","bf1a_3","bf1a_4","bf1awks","bf1amns","bf2","mh1","mh2","mh3","mh3a","mh4","cc1","sd1_1","sd1_2","sd1wks","sd1mns","sd2","d1","d1yob","d2","fixd2","d3","d4_1","d4_2","d4_3","d4_4","d4_5","d4_6","d5","d6","d7","de1","de2_1","de2_2","de2_3","de2_4","de2_5","de2_6","de3","st1","st2","st3","st4","st5","es1a","es1b","es2","es3","es4","fulladra","qc1","lang","samp_weight","pop_weight","stratum","odate","fdate"
"61","140","8","200061","0","1",,,"1",,,,"1",,,,"2","2",,"1","1","1","2","3","6","1","1","2","1",,,,"1","1","1","1","8","1","40","3","3",,,,"7","0","6","77","77","77","2","1",,"2","2","2","2","1","1","1","1","1","1","1","3","5","4","1","50","4",,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"12","3",,,,,"5","3","5","2",,,"3","6","2",,,"7","1","1","1976","1","10025","2","1",,,,,,"67","3","6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","12","5","1","2","1","0.93965752534475233","95.783189855367809","1","25-Feb-16","25-Feb-16"
"62","1299","22","200062","1","1","1","2","1",,,,"1",,,,"2","1",,"1","2","1","1","3","5","1","1","2","1",,,,"1","2","1","2","9","1","40","1","2",,,"6",,"4","0","6","0","0","1","1",,"2","2","2","2","2","2","1","1","1","1","1","1","1","5","1","35","1","2",,,"1",,"2","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"4","2",,,"3","2",,,,,"1","1","1980","1","11418","2","2",,,,,,"76","3","4","2","2",,,,,,"76","4","4","4","4","4","4","4","2","12","4","1","2","1","1.4922009356739243","152.10623197166865","1","23-Mar-16","23-Mar-16"
"65","1044","16","200065","1","1","1","2","1",,,,"1",,,,"1","2",,"1","1","1","2","3","2","1","1","2","2","2","2","2","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","3","3","3","6","1","777",,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"3","3",,,,,"5","1","77","2",,,"3",,,,,,,"1","1980","1","11369","2","1",,,,,,"2","1","4","2","1",,,,,,"2","4","4","4","4","4","4","4","2","3","5","1","1","1","2.2000488472784743","224.26010620480372","2","19-Mar-16","19-Mar-16"
"67","722","12","200067","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","1","3","2","2","3","1",,,,"1","2","1","1","9","1","40","2","3",,,,"6",,,,,,"2","2","10",,,,,,,"1","1","1","1","2","1","1","1","1","40","1","2",,,"4",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"6","3",,,,,"4","3","5","2",,,"1",,,,,,,"1","1981","1","10801","2","2",,,,,,"31","3","6","2","2",,,,,,"1","4","4","4","4","4","4","4","2","12","4","1","2","1","0.48775586248962544","49.718978585066637","1","10-Mar-16","10-Mar-16"
"70","782","15","200070","1","1","1","2","1",,,,"1",,,,"2","2",,"1","2","1","1","2","9","1","2","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","3","4","1","4","1","40","3","2",,,"1",,"1","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"3","2",,,"2",,,,,,,"1","1986","1","11385","1","1",,,,,,"1",,"5","1","1",,,,,,"1","4","4","4","4","4","4","4","2","10","4","1","2","1","1.5671554290518293","159.74665444058326","2","13-Mar-16","13-Mar-16"
"77","90","5","200077","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","2","4","3","1","1","5","1",,,,"1","2","1","1","6","1","57","2","3",,,,"3",,,,,,"1","1",,"2","1","2","1","2","2","2",,,,,,,,,,,,,,,,"4","1","1",,,,,,"2",,,,,"4",,,,,,"4","1",,,,,,"5","3","2",,,"4","5",,,,,"2","1","1972","1","10452","1","8",,,,,,"26","3","5",,,,,,,,,"4","4","2","4","3","3","4","1","1","3","1","1","2","0.80831530823205477","82.394932774028703","1","25-Feb-16","25-Feb-16"
"85","1340","25","200085","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","1","8","1","1","2","1",,,,"1","2","1","1","4","1","25","1","2",,,"6",,"0","12","12","0","0","2","1",,"2","2","2","2","2","2","1","1","2","1","1","1","1","1","2","666",,,,,,,"1","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"5","2",,,"2","3",,,,,"1","1","1985","1","10474","2","2",,,,,,"2","3","4","2","2",,,,,,"2","4","4","4","4","4","1","1","1","2","3","1","2","1","0.69373124338910763","70.714903677018","1","24-Mar-16","24-Mar-16"
"91","1353","25","200091","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","1","2","1","2","3","1",,,,"1","4","1","2","1","1","50","2","3",,,,"3",,,,,,"1","1",,"1","2","1","2","2","1","1","1","1","1","3","2","2","2","1","50","2","2",,,"1",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"12","3",,,,,"5","3","5","2",,,"1","5",,,,,"1","1","1980","1","10021","2","3",,,,,,"17","3","6","2","3",,,,,,"1","4","4","4","4","4","4","4","2","12","3",,"2","1","1.217399590356335","124.09459079271028","1","25-Mar-16","25-Mar-16"
"93","1136","21","200093","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","2","4","1","1","3","1",,,,"1","2","1","1","9","1","55","1","2",,,"12",,"12","6","12","0","2","2","1",,"2","2","2","2","1","2","1","1","1","1","1","1","3","2","1","65","1","2",,,"2",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"8","3",,,,,"6","3","5","2",,,"3","6","2",,,"3","1","99",,"1","80111","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","2","4","4","4","2","12","3",,"2","1","0.72095803537312164","73.490243537996193","1","21-Mar-16","21-Mar-16"
"102","1348","25","200102","1","1","1","2","1",,,,"1",,,,"2","1",,"1","2","1","0","3","12","1","1","3","1",,,,"1","2","1","1","7","1","40","2","3",,,,"3",,,,,,"1","1",,"1","1","1","2","77","77","1","1","1","1","4","3","6","6","1","25","4",,,,,,"1","1","1",,,,,,"1","1",,,,"4",,,,,,"12","3",,,,,"5","3","5","2",,,"4","2",,,,,"1","99",,"1","11001","1","1",,,,,,"99","3","5","1","1",,,,,,"99","4","1","4","2","2","2","2","1","5","3",,"1","1","0.45562191524130102","46.443432029996622","1","24-Mar-16","24-Mar-16"
"120","240","5","200120","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","1","3","1","2","3","1",,,,"77",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","2","2","1","1","1","2","1","777",,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"4","2",,,,"6",,"5","5","2",,,"1",,,,,,,"1","1990","1","10454","1","99",,,,,,"82","3","5","1","8",,,,,,"26","4","4","4","4","2","3","4","1","1","3","1","1","2","1.1766528679498112","119.94110833449646","2","26-Feb-16","5-Mar-16"
"126","936","9","200126","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","1","4","1","2","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","3","1","3","3","2","40","2","2",,,"2",,"2","1","1",,,,,,"2",,,,,"4",,,,,,"3","3",,,,,"6","7","1","1","2",,"3",,,,,,,"1","1975","1","11366","2","3",,,,,,"21","1","6","2","3",,,,,,"21","4","4","4","2","4","4","4","2","3","4","1","2","1","3.6530373283160862","372.36924999719463","2","17-Mar-16","17-Mar-16"
"127","954","16","200127","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","3","11","1","2","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","3","2","2","3","1","64","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"1","3",,,,,"1","1","3","2",,,"3",,,,,,,"1","1976","1","10467","2","2",,,,,,"1",,"5","1","2",,,,,,"1","4","4","4","4","3","3","4","2","11","4","1","2","1","1.7667735563176044","180.09455829571996","2","18-Mar-16","18-Mar-16"
"128","877","18","200128","0","1",,,"1",,,,"1",,,,"1","1",,"1","2","1","0","1","8","1","2","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","2","1","1","1","1","2","1","777",,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"3","3",,,,,"4","1","3","2",,,"1",,,,,,,"1","1993","1","10314","2","1",,,,,,"2","1","4","2","1",,,,,,"1","4","4","4","3","4","4","4","1","2","4","1","2","1","1.6795425850814831","171.20274350808012","2","16-Mar-16","16-Mar-16"
"138","1476","24","200138","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","3","5","1","2","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1","1","1","1","777",,,,,,,"2","1","1",,,,,,"2",,,,,"4",,,,,,"1","3",,,,,"6","7","5","2",,,"4",,,,,,,"1","1991","1","11412","2","2",,,,,,"1",,"5","2","2",,,,,,"1","4","1","4","4","4","3","1","1","1","3","1","2","1","1.5926602974508988","162.34647148691403","2","29-Mar-16","29-Mar-16"
"144","824","13","200144","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","1","4","1","1","2","1",,,,"1","2","1","1","9","1","50","1","2",,,"12",,"12","0","0","0","0","1","1",,"2","1","2","2","2","1","1","1","1","1","1","1","6","1","1","50","1","2",,,"2",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"15","3",,,,,"6","5","5","2",,,"1","6","2",,,"3","1","1","1980","1","11215","2","1",,,,,,"67","3","6","2","1",,,,,,"2","4","4","4","4","4","4","4","2","12","3","1","1","1","0.85375464276932767","87.02675265466911","1","15-Mar-16","15-Mar-16"
"147","1043","19","200147","1","1","1","2","1",,,,"1",,,,"2","1",,"1","2","1","1","1","5","1","1","2","1",,,,"1","2","1","2","9","1","40","2","2",,,"5",,,,,,,"2","1",,"1","2","1","2","1","2","2",,,,,,,,,,,,,,,,"2","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"3","2",,,"3","6","2",,,"11","1","1","1976","1","07305","2","2",,,,,,"1",,"5",,,,,,,,,"4","4","4","4","4","3","3","2","3","3","1","2","1","0.75754638917547279","77.219846232829283","1","19-Mar-16","21-Mar-16"
"148","298","5","200148","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","1","2","2","2","3","1",,,,"1","1","1","1","9","1","60","1","2",,,"8",,"8","0","0","0","0","1","1",,"1","2","2","2","2","77","1","1","1","1","1","1","1","1","1","50","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"12","1",,,,,,"3","5","2",,,"1","5",,,,,"1","1","1979","1","10029","2","2",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","12","4","1","2","1","0.27560724777380735","28.093790159716526","1","28-Feb-16","28-Feb-16"
"156","755","11","200156","1","1","1","2","1",,,,"1",,,,"2","2",,"1","2","1","0","3","7","1","2","3","1",,,,"1","1","1","1","9","1","40","1","2",,,"15",,"7","0","12","0","0","1","1",,"1","2","2","2","2","1","1","1","1","1","1","2","2","1","1","50","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"10","1",,,,,,"7","5","2",,,"1","6","1",,"16",,"1","1","1983","1","11530","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","99","3",,"2","1","0.72095803537312164","73.490243537996193","1","12-Mar-16","12-Mar-16"
"159","480","8","200159","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","3","11","1","2","4","1",,,,"1","2","1","2","3","1","40","3","3",,,,"3","1","2","0","8","0","3","1",,"1","1","2","1","1","1","1","1","1","1","1","1","1","1","2","20","2","3",,,,"3","3","1","1",,,,,,"2",,,,,"2",,,,,,,"2",,,,"2",,"4","4","2",,,"3","1",,,,,"1","99",,"1","11232","2","3",,,,,,"99",,"6","2","3",,,,,,"99","4","4","4","4","4","4","4","2","99","3","1","2","1","1.225093156783934","124.87882793648161","1","4-Mar-16","4-Mar-16"
"171","679","13","200171","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","2","10","1","1","2","1",,,,"1","1","1","1","9","1","20","3","2",,,"12",,"0","6","6","6","6","2","1",,"1","2","2","1","2","2","1","1","1","1","1","1","1","1","1","40","1","2",,,"2",,"2","1","1",,,,,,"2",,,,,"4",,,,,,"12","3",,,,,"6","3","5","2",,,"2","3",,,,,"1","1","1991","1","11236","2","4",,,,,,"50","2","6","2","4",,,,,,"50","4","4","4","4","4","4","4","2","1","3","1","1","1","0.45009193797288183","45.879738505164241","1","9-Mar-16","9-Mar-16"
"173","310","6","200173","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","2","4","1","1","6","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1","6","4","1","45","1","1",,,,,"2","1","3","6",,,,,"2",,,,,"4",,,,,,"13","3",,,,,"5","5","5","2",,,"3",,,,,,,"1","1987","1","11212","2","2",,,,,,"1",,"5","2","2",,,,,,"50","4","4","4","4","4","4","4","2","10","4","1","2","1","1.5600496151794796","159.0223293531399","2","28-Feb-16","28-Feb-16"
"185","316","3","200185","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","1","4","1","1","2","1",,,,"1","3","1","2","3","2","35","3","2",,,"6",,"2","0","0","3","0","1","1",,"1","2","2","1","2","1","1","1","1","1","1","1","1","3","1","40","1","2",,,"1",,"1","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"5","2",,,"3","2",,,,,"1","1","1987","1","11213","2","2",,,,,,"1",,"6","1","2",,,,,,"61","4","4","4","4","2","4","4","2","12","3","1","2","1","0.80256536019350555","81.808816716018342","1","28-Feb-16","28-Feb-16"
"188","1207","22","200188","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","2","6","1","1","2","1",,,,"1","4","1","2","1","1","30","3","3",,,,"4","0","0","0","8","0","2","1",,"1","2","2","2","1","2","1","1","1","2","1","3","2","2","1","40","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"3","3",,,,,"6","7","5","2",,,"2","1",,,,,"1","1","1988","1","10310","1","8",,,,,,"22","3","3","1","8",,,,,,"28","4","4","4","4","4","2","4","2","6","4","1","2","1","0.61290026946164156","62.475467166308206","1","22-Mar-16","22-Mar-16"
"189","1064","20","200189","1","1","1","2","1",,,,"1",,,,"2","2",,"1","2","1","0","1","7","1","1","2","1",,,,"1","2","1","2","6","2","20","4",,,,,,,,,,,,"4",,"2","2","1","2","2","2","1","1","1","1","3","6","6","6","1","75","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"13","3",,,,,"6","7","5","2",,,"1","5",,,,,"1","1","1990","1","11230","2","1",,,,,,"1",,"6","2","1",,,,,,"2","4","4","4","4","4","3","4","2","7","4","1","2","1","0.5402911802795658","55.074121477302569","1","20-Mar-16","23-Mar-16"
"190","1360","24","200190","1","1","1","2","1",,,,"1",,,,"1","2",,"1","1","1","0","1","10","1","1","2","1",,,,"1","1","1","2","9","2","8","2","2",,,"2",,,,,,,"1","1",,"1","2","1","2","2","2","1","1","1","1","3","2","5","2","2","666",,,,,,,"1","1","2","6",,,,,"2",,,,,"4",,,,,,"7","2",,,,"1",,"1","5","2",,,"2","1",,,,,"1","99",,"1","11230","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","2","3","4","4","2","99","3","1","1","1","0.5402911802795658","55.074121477302569","1","25-Mar-16","25-Mar-16"
"210","24","2","200210","0","1",,,"1",,,,"1",,,,"1","1",,"1","2","1","6","1","6","1","1","2","1",,,,"1","4","1","2","8","2","20","1","3",,,,"2","6","3","0","0","0","2","1",,"1","1","1","1","2","2","1","1","1","1","2","3","5","3","1","30","4",,,,,,"2","1","1",,,,,,"2",,,,,"4",,,,,,"18","3",,,,,"12","7","4","2",,,"2","6","2",,,"18","1","1","1980","1","10970","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","11","9","1","2","1","0.58144382895642066","59.268981684291539","1","24-Feb-16","24-Feb-16"
"218","1173","22","200218","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","2","2","1","2","3","1",,,,"1","2","1","1","9","1","27","2","77",,,,,,,,,,,"2","2",,,,,,,"1","1","1","1","1","1","3","6","1","50","4",,,,,,"2","2","1","1",,,,,"2",,,,,"4",,,,,,"6","3",,,,,"5","3","3","2",,,"4",,,,,,,"1","1980","1","10462","1","99",,,,,,"1",,"5","1","99",,,,,,"1","4","4","4","1","4","1","4","2","12","4",,"2","1","0.88551938794626339","90.264664910917503","1","22-Mar-16","22-Mar-16"
"2854","1018","20","202854","0","1",,,"1",,,,"1",,,,"2","2",,"1","2","1","3","5","8","2","2","5","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,"5","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"4","1","2",,"5",,,,,,,"1","1988","1","10472","2","2",,,,,,"1",,"3",,,,,,,,,"4","4","4","4","4","3","4","2","1","3","1","2","1","2.2101989349785804","225.29474675309416","2","18-Mar-16","18-Mar-16"
"219","1376","24","200219","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","2","12","1","2","3","1",,,,"1","2","1","2","5","1","37","2","3",,,,"4",,,,,,"2","1",,"1","1","2","1","1","1","1","1","1","1","3","1","1","1","1","45","2","3",,,,"1","1","1","1",,,,,,"2",,,,,"3",,,,,"6",,"3",,,,,"6","1","5","2",,,"3","5",,,,,"1","1","1981","1","10023","2","1",,,,,,"1",,"6","1","8",,,,,,"20","4","4","4","2","4","4","4","2","77","3",,"2","1","1.230536127689724","125.43365254181349","1","25-Mar-16","25-Mar-16"
"221","965","16","200221","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","2","7","1","1","2","1",,,,"1","2","1","1","9","1","40","1","2",,,"12",,"6","0","6","0","0","1","1",,"1","2","2","2","2","1","1","1","1","1","1","1","5","1","1","40","1","2",,,"1",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"16","1",,,,,,"3","5","2",,,"2","5",,,,,"1","1","1980","1","10009","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","12","3","1","2","1","0.72095803537312164","73.490243537996193","1","18-Mar-16","18-Mar-16"
"295","991","19","200295","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","3","2","1","1","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"18","3",,,,,"5","7","5","2",,,"3",,,,,,,"1","1985","1","10471","1","8",,,,,,"26","2","5",,,,,,,,,"4","4","4","4","4","4","4","2","12","4","1","2","1","1.0736236532485028","109.43891304928952","2","18-Mar-16","18-Mar-16"
"223","1497","25","200223","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","3","9","1","1","2","1",,,,"1","1","1","1","77","1","30","3","3",,,,"3","0","3","6","77","0","2","1",,"2","2","2","1","1","2","1","1","1","1","2","1","1","2","2","35","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"1","3",,,,,"2","5","4","2",,,"4","2",,,,,"1","1","1991","1","10453","2","2",,,,,,"1",,"4","2","2",,,,,,"1","4","1","4","3","4","4","4","2","1","2","1","2","1","0.83460347974085825","85.074595155974066","1","29-Mar-16","29-Mar-16"
