"license_number","name","type","current_status","dmv_license_plate_number","vehicle_vin_number","vehicle_type","model_year","medallion_type","agent_number","agent_name","agent_telephone_number","agent_website_address","agent_address","last_updated_date","last_updated_time"
"7B42","KONG,DAE,WON","05/31/2024","CUR","Y204268C","5TDKDRBH8PS043898","HYB","2023","NAMED DRIVER","000",,,,,"2023-08-27T00:00:00.000","13:20"
"3Y70","NOBLE TAXI CORP","05/31/2024","CUR","Y201029C","1FMCU9BZXNUA65385","HYB","2022","NAMED DRIVER","013","TEAM SYSTEMS CORP","(718)786-0643",,"30-17   40 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"3F84","RIOS,CARLOS","05/31/2024","CUR","3F84H","3N8CM0JTXFK714458",,"2015","OWNER MUST DRIVE","000",,,,,"2023-08-27T00:00:00.000","13:20"
"4N86","REMEMBER MY TAXI LLC","05/31/2025","CUR","4N86H","JTDZN3EU1HJ072613","HYB","2017","NAMED DRIVER",,,,,,"2023-08-27T00:00:00.000","13:20"
"5C34","SINGH,GURRATTAN","05/31/2025","CUR","Y200990C","JTML6RFV5LD003346","HYB","2020","OWNER MUST DRIVE","000",,,,,"2023-08-27T00:00:00.000","13:20"
"4M71","MANTAJ SINGH LLC","05/31/2024","CUR","Y204107C","NM0GS9E25N1526842","WAV","2022","NAMED DRIVER",,,,,,"2023-08-27T00:00:00.000","13:20"
"5H14","DEREK TAXI INC.","05/31/2024","CUR","Y103139C","3N8CM0JT5FK717090",,"2015","NAMED DRIVER","014","MIDTOWN OPERATING CORP","(718)937-2080",,"36 - 22   14 STREET LIC NY 11106","2023-08-27T00:00:00.000","13:20"
"7E66","BLUE NEPTUNE CAB LLC","05/31/2023","CUR","Y100927C","5TDZZ3DC8JS961608","WAV","2018","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"7G64","MIKE'S TOY FIFTEEN CORP.","05/31/2024","CUR","Y104072C","4T3T6RFV2PU109732","HYB","2023","NAMED DRIVER","281","AWESOME MANAGEMENT INC.","(212)967-7577",,"520 WEST   44 STREET NEW YORK NY 10036","2023-08-27T00:00:00.000","13:20"
"9P44","9P43 & 9P44 ACQUISITION, LLC","05/31/2024","CUR","Y205851C","4T3LWRFV4PU089399","HYB","2023","NAMED DRIVER","358","BIG APPLE TAXI MANAGEMENT LLC","(718)779-5000",,"5411 QUEENS BOULEVARD WOODSIDE NY 11377","2023-08-27T00:00:00.000","13:20"
"4G99","GK SHINE LLC","05/31/2025","CUR","Y205932C","JTMMWRFV9PD180895","HYB","2023","NAMED DRIVER",,,,,,"2023-08-27T00:00:00.000","13:20"
"1L48","AC TAXI 5 LLC","05/31/2025","CUR","Y205662C","4T3LWRFV4PU088706","HYB","2023","NAMED DRIVER","340","ALL TAXI NY LLC","(718)361-0033",,"36-01   43 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"2C18","SINGH, BALJEET","05/31/2025","CUR","2C18A","4T1BD1FK4FU174288","HYB","2015","OWNER MUST DRIVE","000",,,,,"2023-08-27T00:00:00.000","13:20"
"4A36","TIWANA,BALBIR,S","05/31/2025","CUR","Y205224C","JTMMWRFV0KD021370","HYB","2019","NAMED DRIVER","000",,,,,"2023-08-27T00:00:00.000","13:20"
"1E41","JANJUA,RANJIT,S.","05/31/2025","CUR","Y202794C","4T3LWRFV8MU041013","HYB","2021","OWNER MUST DRIVE","000",,,,,"2023-08-27T00:00:00.000","13:20"
"4W35","SANTE SERIGNE TOUBA TRANSPORTATION, LLC","05/31/2024","CUR","Y203265C","NM0GS9E27L1461568","WAV","2020","OWNER MUST DRIVE","253","QUEENS MEDALLION LEASING INC.","(718)784-9292",,"21-03   44 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"9G35","CAT BOY HACKING CORP.","05/31/2025","CUR","Y204375C","4T1C11AK3LU347251","HYB","2020","NAMED DRIVER","017","521 WEST 21ST ST MANAGEMENT CORP","(212)665-4900",,"415 WEST  127 STREET NEW YORK NY 10027","2023-08-27T00:00:00.000","13:20"
"9D98","ARIF,MOHAMMAD","05/31/2024","CUR","9D98A","JTDZN3EU6EJ002018","HYB","2014","OWNER MUST DRIVE","000",,,,,"2023-08-27T00:00:00.000","13:20"
"3Y54","NATION TAXI CORP","05/31/2024","CUR","Y206575C","JTMRJREV1JD250838","HYB","2018","NAMED DRIVER","224","S & R MEDALLION CORP","(212)957-9200",,"625 WEST   51 STREET NEW YORK NY 10019","2023-08-27T00:00:00.000","13:20"
"8L61","SATT TAXI LLC","05/31/2025","CUR","Y200380C","JTDZN3EU2GJ052062","HYB","2016","NAMED DRIVER",,,,,,"2023-08-27T00:00:00.000","13:20"
"4N81","ADR TAXI CORP","05/31/2025","CUR","Y201056C","3N8CM0JTXFK712466","WAV","2015","NAMED DRIVER","366","I ROSENBERG AUTO REPAIRS INC","(212)279-3166",,"514 WEST   44 STREET NEW YORK NY 10036","2023-08-27T00:00:00.000","13:20"
"3H58","TWINKLE CAB CORP","05/31/2024","CUR","3H58H","JTDZN3EU1FJ016653","HYB","2015","NAMED DRIVER","000",,,,,"2023-08-27T00:00:00.000","13:20"
"3J99","P W CAB CORP","05/31/2025","CUR","Y201824C","3N8CM0JT5FK716733","WAV","2015","NAMED DRIVER","201","GREEN APPLE MANAGEMENT CORP","(718)361-5555",,"34-20   31 STREET LIC NY 11106","2023-08-27T00:00:00.000","13:20"
"7D84","AHSHAN & K ULLAH MANAGEMENT LLC","05/31/2024","CUR","Y205753C","JTMRWRFV9PJ056147","HYB","2023","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"6M73","RUKHSHANA LLC","05/31/2024","CUR","Y202925C","NM0GS9E28L1478640","WAV","2020","NAMED DRIVER",,,,,,"2023-08-27T00:00:00.000","13:20"
"7H85","SUTRO CAB CORP","05/31/2024","CUR","Y203716C","4T3LWRFV2NU063543","HYB","2022","NAMED DRIVER","340","ALL TAXI NY LLC","(718)361-0033",,"36-01   43 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"9A82","M&D TAXI CORP.","05/31/2024","CUR","Y102258C","2T3LWRFV5KW009648","HYB","2019","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"4K53","ELPIDA TAXI LLC","05/31/2024","CUR","Y104099C","2T3RWRFV0LW071180","HYB","2020","NAMED DRIVER","290","UNITED TAXI MANAGEMENT GROUP, INC.","(718)392-4600",,"43-10   39 STREET LIC NY 11104","2023-08-27T00:00:00.000","13:20"
"3P34","EUDAN TAXI INC","05/31/2024","CUR","Y205711C","4T1C11BK7PU094813",,"2023","NAMED DRIVER","292","CITY TRANSPORT MGMT INC.","(718)507-4840",,"54-18 BROADWAY WOODSIDE NY 11377","2023-08-27T00:00:00.000","13:20"
"7F68","VULIKHSHER, MICHAEL","05/31/2024","CUR","Y204695C","NM0GS9E24N1532549","WAV","2022","NAMED DRIVER","327","WHITE AND BLUE GROUP CORP.","(718)786-6594",,"35-11   43 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"3J70","ELFRAHNA TAXI INC","05/31/2025","CUR","3J70B","2T3F1RFV6PW355615","HYB","2023","NAMED DRIVER","000",,,,,"2023-08-27T00:00:00.000","13:20"
"8V11","ARVE CAB CORP.","05/31/2024","CUR","Y100262C","5TDZZ3DC9JS915057","WAV","2018","NAMED DRIVER","348","BYWAY TAXI MANAGEMENT INC","(917)826-1970",,"146 WOLCOTT STREET BROOKLYN NY 11231","2023-08-27T00:00:00.000","13:20"
"3G56","GALA SERVICE CORP","05/31/2023","CUR","Y202580C","JTDZN3EUXGJ044470","HYB","2016","NAMED DRIVER","000",,,,,"2023-08-27T00:00:00.000","13:20"
"1Y43","VOURVOUROU TAXI LLC","05/31/2024","CUR","Y102641C","3N8CM0JT1KK701415","WAV","2019","NAMED DRIVER",,,,,,"2023-08-27T00:00:00.000","13:20"
"3F53","ZADRAN, RAHMATULLAH","05/31/2024","CUR","3F53A","5TDCZRBH6NS211248",,"2022","OWNER MUST DRIVE","000",,,,,"2023-08-27T00:00:00.000","13:20"
"5P39","BARSOL CAB CORP","05/31/2024","CUR","Y204595C","4T1BD1FK9EU139325","HYB","2014","NAMED DRIVER","013","TEAM SYSTEMS CORP","(718)786-0643",,"30-17   40 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"5L77","C'EST MOI TAXI INC","05/31/2025","CUR","Y102616C","3N8CM0JT4GK702078","WAV","2016","NAMED DRIVER","253","QUEENS MEDALLION LEASING INC.","(718)784-9292",,"21-03   44 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"5N93","PRESTON TAXI INC","05/31/2025","CUR","Y101252C","3N8CM0JT5KK691729","WAV","2019","NAMED DRIVER","253","QUEENS MEDALLION LEASING INC.","(718)784-9292",,"21-03   44 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"6L37","FARRA TAXI INC","05/31/2025","CUR","Y202265C","4T3LWRFV3MU030422","HYB","2021","NAMED DRIVER","253","QUEENS MEDALLION LEASING INC.","(718)784-9292",,"21-03   44 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"2F92","SUTRADHAR LLC","05/31/2024","CUR","Y203323C","NM0GS9E20L1479135","WAV","2020","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"2L29","GRAVAS TAXI 2 LLC","05/31/2025","CUR","Y200794C","NM0GS9E27L1454281","WAV","2020","NAMED DRIVER","354","SEPTUAGINT SOLUTIONS LLC.","(718)784-9292",,"21-03   44 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"6J15","PONOKEFALOS TAXI LLC","05/31/2025","CUR","Y101049C","JTMRJREV8JD250951","HYB","2018","NAMED DRIVER",,,,,,"2023-08-27T00:00:00.000","13:20"
"5J87","FLAMINGO RD LLC","05/31/2025","CUR","Y201613C","JTMRJREV5JD167526","HYB","2018","NAMED DRIVER","340","ALL TAXI NY LLC","(718)361-0033",,"36-01   43 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"9J81","LE THI ROT CAB LLC","05/31/2025","CUR","Y102160C","5TDZZ3DC0KS013463","WAV","2019","NAMED DRIVER",,,,,,"2023-08-27T00:00:00.000","13:20"
"6J64","NEAP SERV CORP.","05/31/2025","CUR","Y103682C","3N8CM0JT6GK701921","WAV","2016","NAMED DRIVER","202","ALL TAXI MANAGEMENT INC","(718)361-0055",,"41-25   36 STREET LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"5K94","CROSSBOW TAXI INC","05/31/2024","CUR","Y206409C","1FMCU9BZ7NUA66297","HYB","2022","NAMED DRIVER","249","ON OUR WAY MANAGEMENT CORP.","(718)833-8121",,"6814    5 AVENUE BROOKLYN NY 11220","2023-08-27T00:00:00.000","13:20"
"6H49","LARRYS TAXI SERVICE CORP","05/31/2024","CUR","Y205059C","2T3LWRFVXKW032519","HYB","2019","NAMED DRIVER","358","BIG APPLE TAXI MANAGEMENT LLC","(718)779-5000",,"5411 QUEENS BOULEVARD WOODSIDE NY 11377","2023-08-27T00:00:00.000","13:20"
"4A78","DUVAL, FORTUNE","05/31/2023","CUR","Y204482C","3N8CM0JT6GK700395","WAV","2016","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"4Y77","KEROIL INC","05/31/2024","CUR","4Y77H","JTMRJREV3JD166648","HYB","2018","NAMED DRIVER","201","GREEN APPLE MANAGEMENT CORP","(718)361-5555",,"34-20   31 STREET LIC NY 11106","2023-08-27T00:00:00.000","13:20"
"2B55","SMT TAXI INC.","05/31/2024","CUR","Y103103C","5TDZZ3DC2LS049690","WAV","2020","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"4E94","AKHTAR,MASOOD","05/31/2025","CUR","Y205211C","4T3LWRFV5NU067585","HYB","2022","OWNER MUST DRIVE","999",,,,,"2023-08-27T00:00:00.000","13:20"
"1L65","TAXITZIS LLC","05/31/2025","CUR","Y205354C","NM0GS9E22N1532579","WAV","2022","NAMED DRIVER","253","QUEENS MEDALLION LEASING INC.","(718)784-9292",,"21-03   44 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"6G55","BVA CAB CORP.","05/31/2025","CUR","Y103877C","4T1BD1FK1FU162387","HYB","2015","NAMED DRIVER","110","WINNERS GARAGE INC","(718)458-7000",,"34-14   64 STREET WOODSIDE NY 11377","2023-08-27T00:00:00.000","13:20"
"2V20","BANTA TAXI 11 LLC","05/31/2024","CUR","Y103253C","NM0GE9E25L1446994","WAV","2020","NAMED DRIVER","354","SEPTUAGINT SOLUTIONS LLC.","(718)784-9292",,"21-03   44 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"3G17","HASAN, MEHEDI","05/31/2024","CUR","Y201190C","NM0GS9E23L1479100","WAV","2020","NAMED DRIVER",,,,,,"2023-08-27T00:00:00.000","13:20"
"7L25","STARLINE CAB CORP","05/31/2025","CUR","Y200729C","JTDZN3EU2FJ030335","HYB","2015","NAMED DRIVER","224","S & R MEDALLION CORP","(212)957-9200",,"625 WEST   51 STREET NEW YORK NY 10019","2023-08-27T00:00:00.000","13:20"
"1V20","SLEPCHIK TRANSIT, LLC","05/31/2024","CUR","Y206310C","5TDKRKEC5PS155230","WAV","2023","NAMED DRIVER","327","WHITE AND BLUE GROUP CORP.","(718)786-6594",,"35-11   43 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"4M12","CHO-SICA HACKING CORP","05/31/2024","CUR","Y103750C","5TDYZ3DC5KS990206","WAV","2019","NAMED DRIVER","356","YELLOW DOG LEASING, LLC","(646)883-4280",,"2359 BORDEN AVENUE FLOOR 1 LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"1D72","M&JB TAXI LLC","05/31/2024","CUR","Y206483C","JTMRJREV4HD108770","HYB","2017","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"3A24","BRISTOUT, LOUIS","05/31/2025","CUR","Y204127C","2T3BFREV3JW830212",,"2018","NAMED DRIVER","000",,,,,"2023-08-27T00:00:00.000","13:20"
"2H90","STEM CAB CORP","05/31/2024","CUR","Y202138C","4T3LWRFV0MU030524","HYB","2021","NAMED DRIVER","358","BIG APPLE TAXI MANAGEMENT LLC","(718)779-5000",,"5411 QUEENS BOULEVARD WOODSIDE NY 11377","2023-08-27T00:00:00.000","13:20"
"6M20","ADELSO & ELAINE LLC","05/31/2024","CUR","Y201845C","JTDZN3EU1GJ051856","HYB","2016","NAMED DRIVER",,,,,,"2023-08-27T00:00:00.000","13:20"
"3L62","LIRAE CAB CORP","05/31/2025","CUR","3L62B","3N8CM0JT4EK690429",,"2014","NAMED DRIVER","013","TEAM SYSTEMS CORP","(718)786-0643",,"30-17   40 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"5B61","MIFATE CAB CORP.","05/31/2024","CUR","Y201600C","4T3MWRFV0MU025280","HYB","2021","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"2D37","AHMED,ANWAR I.","05/31/2024","CUR","2D37H","5TDZZ3DC6HS837251","WAV","2017","NAMED DRIVER","000",,,,,"2023-08-27T00:00:00.000","13:20"
"1J64","DANS TAXI INC","05/31/2025","CUR","Y203690C","4T3LWRFV4NU063558","HYB","2022","NAMED DRIVER","356","YELLOW DOG LEASING, LLC","(646)883-4280",,"2359 BORDEN AVENUE FLOOR 1 LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"2R92","DYRE TAXI LLC","05/31/2024","CUR","Y205148C","5TDKRKECXNS131454","WAV","2022","NAMED DRIVER",,,,,,"2023-08-27T00:00:00.000","13:20"
"1V25","LARRY'S CAB COMPANY, LLC","05/31/2024","CUR","Y206019C","4T1C31AKXPU611744","HYB","2023","NAMED DRIVER","327","WHITE AND BLUE GROUP CORP.","(718)786-6594",,"35-11   43 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"8J46","SOCRATES MOTOR LTD","05/31/2025","CUR","Y202160C","1FMCU9BZ2MUA89288","HYB","2021","NAMED DRIVER","202","ALL TAXI MANAGEMENT INC","(718)361-0055",,"41-25   36 STREET LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"3K22","GOLD STAR RIDES INC.","05/31/2024","CUR","Y201782C","4T1BD1FK9EU135968","HYB","2014","OWNER MUST DRIVE","202","ALL TAXI MANAGEMENT INC","(718)361-0055",,"41-25   36 STREET LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"5B95","LATHOS TAXI LLC","05/31/2025","CUR","Y101662C","3N8CM0JT9KK694696","WAV","2019","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"4C38","JAJI,FAROOQ","05/31/2025","CUR","4C38C","5TDBGRFH6KS061827","HYB","2019","OWNER MUST DRIVE","000",,,,,"2023-08-27T00:00:00.000","13:20"
"3Y96","BELL TAXI CORP","05/31/2024","CUR","Y205290C","1FMCU9BZ0NUA67842","HYB","2022","NAMED DRIVER","013","TEAM SYSTEMS CORP","(718)786-0643",,"30-17   40 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"2N63","CREATE CAB CORP","05/31/2025","CUR","Y201716C","4T1BF1FK5HU453908",,"2017","NAMED DRIVER","224","S & R MEDALLION CORP","(212)957-9200",,"625 WEST   51 STREET NEW YORK NY 10019","2023-08-27T00:00:00.000","13:20"
"5B69","SINGH,BANTI","05/31/2024","CUR","Y103197C","JTDZN3EU6FJ022979","HYB","2015","OWNER MUST DRIVE","000",,,,,"2023-08-27T00:00:00.000","13:20"
"3P70","VOIN TAXI INC","05/31/2024","CUR","Y201409C","3N8CM0JT4EK702241",,"2014","NAMED DRIVER","000",,,,,"2023-08-27T00:00:00.000","13:20"
"4P82","4P82 & 4P85 ACQUISITION LLC","05/31/2024","CUR","Y103230C","5TDZZ3DC4LS050050","WAV","2020","NAMED DRIVER","358","BIG APPLE TAXI MANAGEMENT LLC","(718)779-5000",,"5411 QUEENS BOULEVARD WOODSIDE NY 11377","2023-08-27T00:00:00.000","13:20"
"9J86","9J85 & 9J86 ACQUISITION, LLC","05/31/2025","CUR","Y204562C","4T3LWRFV6NU072911","HYB","2022","NAMED DRIVER","358","BIG APPLE TAXI MANAGEMENT LLC","(718)779-5000",,"5411 QUEENS BOULEVARD WOODSIDE NY 11377","2023-08-27T00:00:00.000","13:20"
"4D83","GH SEKHON INC.","05/31/2024","CUR","Y101921C","2T3LWRFV9KW001729","HYB","2019","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"2N12","JET TAXI INC","05/31/2025","CUR","Y205370C","2T3LWRFV5LW048127","HYB","2020","NAMED DRIVER","000",,,,,"2023-08-27T00:00:00.000","13:20"
"5M24","VOUNO, INC.","05/31/2024","CUR","Y206525C","1FMCU9BZ4NUA66094","HYB","2022","NAMED DRIVER","290","UNITED TAXI MANAGEMENT GROUP, INC.","(718)392-4600",,"43-10   39 STREET LIC NY 11104","2023-08-27T00:00:00.000","13:20"
"3P20","VARRES, INC","05/31/2024","CUR","Y202944C","5TDZK3DC9GS756926","WAV","2016","NAMED DRIVER","000",,,,,"2023-08-27T00:00:00.000","13:20"
"1Y70","1Y69 & 1Y70 ACQUISITION, LLC","05/31/2024","CUR","Y204440C","JTMLWRFV6KD012393","HYB","2019","NAMED DRIVER","358","BIG APPLE TAXI MANAGEMENT LLC","(718)779-5000",,"5411 QUEENS BOULEVARD WOODSIDE NY 11377","2023-08-27T00:00:00.000","13:20"
"7E48","TIWANA TAXI CORP.","05/31/2024","CUR","Y201579C","JTMMWRFV4PD571601","HYB","2023","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"8H18","ARDAAS CAB CORP.","05/31/2024","CUR","Y204297C","NM0GS9E22L1454267","WAV","2020","NAMED DRIVER","000",,,,,"2023-08-27T00:00:00.000","13:20"
"5D57","SINGH,BALDEV","05/31/2024","CUR","5D57B","3N8CM0JT0FK715568","WAV","2015","OWNER MUST DRIVE","000",,,,,"2023-08-27T00:00:00.000","13:20"
"7C15","MANN,TAJINDER,S","05/31/2023","CUR","Y205497C","1FMCU9BZ8NUA67541","HYB","2022","OWNER MUST DRIVE","000",,,,,"2023-08-27T00:00:00.000","13:20"
"8T33","NEBULA CAB CORP.","05/31/2024","CUR","8T33H","3N8CM0JT8KK693281","WAV","2019","OWNER MUST DRIVE","000",,,,,"2023-08-27T00:00:00.000","13:20"
"1A86","SINGH, JATINDER","05/31/2025","CUR","1A86A","2T3A1RFV8MW240455","HYB","2021","OWNER MUST DRIVE","000",,,,,"2023-08-27T00:00:00.000","13:20"
"7C74","SINGH,HARJINDER","05/31/2025","CUR","7C74H","4T3B6RFV9NU099287","HYB","2022","OWNER MUST DRIVE","000",,,,,"2023-08-27T00:00:00.000","13:20"
"7K11","M&P TAXI CORP","05/31/2024","CUR","Y204808C","1FMCU9BZ7NUA65277","HYB","2022","NAMED DRIVER","259","MC GUINNESS MANAGEMENT CORP","(718)389-4483",,"330 MC GUINNESS BOULEVARD BKLYN NY 11222","2023-08-27T00:00:00.000","13:20"
"8H78","PERULA CAB CORP.","05/31/2024","CUR","Y202230C","4T3LWRFV0MU030720","HYB","2021","NAMED DRIVER","253","QUEENS MEDALLION LEASING INC.","(718)784-9292",,"21-03   44 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"5F10","NORTHCITY HOLDINGS, LLC","05/31/2024","CUR","Y103149C","5TDZZ3DC8LS044607","WAV","2020","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"1A58","BUTTAR TAXI LLC","05/31/2025","CUR","1A58H","JTMRJREV5JD174251","HYB","2018","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"4L48","BASE TRANSIT INC","05/31/2025","CUR","Y203814C","4T3LWRFV0PU090405","HYB","2023","NAMED DRIVER","213","J T L MANAGEMENT INC","(718)392-7000",,"36-16 SKILLMAN AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"3D55","RD NARIA LLC","05/31/2024","CUR","Y203257C","4T3LWRFV5NU053332","HYB","2022","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"9T21","MAHMOOD, MUHAMMAD, T.","05/31/2024","CUR","Y200412C","JTMB6RFV2PD080063","HYB","2023","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"1E63","RAFATI, OBADULLAH","05/31/2025","CUR","1E63H","2T3P1RFV2NC290023","HYB","2022","OWNER MUST DRIVE","000",,,,,"2023-08-27T00:00:00.000","13:20"
"2E37","AIR CAB LLC","05/31/2025","CUR","Y204415C","3N8CM0JT5KK705676","WAV","2019","OWNER MUST DRIVE","358","BIG APPLE TAXI MANAGEMENT LLC","(718)779-5000",,"5411 QUEENS BOULEVARD WOODSIDE NY 11377","2023-08-27T00:00:00.000","13:20"
