"developmentteamdwid","projectid","type","entityname","firstname","lastname","entityindividualindicator","parententityname","individualrole","individualtitle","individualofficerequivalence","careof","housenumber","streetname","apartmentsuitefloor","city","state","zip","tradetype","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"2338","61290","BORROWER LEGAL ENTITY","ICL Nevins Street Housing Development Fund Corporation",,,"Entity","ICL NEVINS STREET APARTMENTS L.P.",,,,,"125","Broad Street","3rd Floor","New York","NEW YORK","10004",,"Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"2340","61290","BORROWER LEGAL ENTITY","ICL Nevins Street Apartments GP, Inc.",,,"Entity","ICL NEVINS STREET APARTMENTS L.P.",,,,,"125","Broad Street","3rd Floor","New York","NEW YORK","10004",,"Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"80718","50623","BORROWER LEGAL ENTITY","95-01 Co LLC",,,"Entity","95-01 Co LLC",,,,,"215","Lagoon Drive East",,"Lido Beach","NEW YORK",,,,,,,,,,,
"81150","58480","SUB CONTRACTOR","Ice Air LLC","Fredric","Nadel","Entity","Ice Air LLC","Both","Chairman","CEO",,"80","Hartford Ave",,"Mount Vernon","NEW YORK",,,,,,,,,,,
"2341","61290","BORROWER LEGAL ENTITY","ICL NEVINS STREET APARTMENTS L.P.",,,"Entity","ICL NEVINS STREET APARTMENTS L.P.",,,,,"125","Broad Street","3FL","New York","NEW YORK","10004",,"Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"6017","58621","SUB CONTRACTOR","OTIS ELEVATOR",,,"Entity","OTIS ELEVATOR",,,,,"125","Broad Street",,"New York","NEW YORK","10004","Elevator,Painting","Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"78909","55249","SUB CONTRACTOR","Otis Elevator Company","Christopher","Witzky","Individual","Otis Elevator Company","Officer","Treasurer",,,"65","Fairchild Ave",,"Plainview","NEW YORK",,,,,,,,,,,
"78910","55249","SUB CONTRACTOR","Otis Elevator Company","Maureen","Waterston","Individual","Otis Elevator Company","Officer","VP",,,"65","Fairchild Ave",,"Plainview","NEW YORK",,,,,,,,,,,
"6093","65320","SUB CONTRACTOR","OTIS ELEVATOR",,,"Entity","OTIS ELEVATOR",,,,,"125","Broad Street",,"New York","NEW YORK","10004","Elevator,Painting","Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"6157","51582","SUB CONTRACTOR","OTIS ELEVATOR",,,"Entity","OTIS ELEVATOR",,,,,"125","Broad Street",,"New York","NEW YORK","10004","Elevator,Painting","Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"6330","58623","SUB CONTRACTOR","OTIS ELEVATOR",,,"Entity","OTIS ELEVATOR",,,,,"125","Broad Street",,"New York","NEW YORK","10004","Elevator,Painting","Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"78911","55249","SUB CONTRACTOR","Otis Elevator Company","Ryan","Grillo","Individual","Otis Elevator Company","Officer","General Manager",,,"65","Fairchild Ave",,"Plainview","NEW YORK",,,,,,,,,,,
"6382","58621","SUB CONTRACTOR","OTIS ELEVATOR",,,"Entity","OTIS ELEVATOR",,,,,"125","Broad Street",,"New York","NEW YORK","10004","Elevator,Painting","Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"25024","50282","SUB CONTRACTOR","Otis Elevator Company",,,"Entity","Otis Elevator Company",,,,"Otis Elevator Company","125","Broad street",,"New York","NEW YORK","10004",,"Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"81231","53580","SUB CONTRACTOR","S&E Bridge &Scaffold LLC",,,"Entity","Monadnock Construction Inc",,,,,"700","Commerical Ave",,"Carlstadt","NEW JERSEY",,,,,,,,,,,
"28527","49338","SUB CONTRACTOR","Otis Elevator",,,"Entity","Monadnock Construction Inc",,,,,"125","Broad Street",,"New York","NEW YORK","10004",,"Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"46558","52415","SUB CONTRACTOR","Otis Elevator",,,"Entity","Otis Elevator",,,,"Jonathan Shankman","125","Broad Street",,"New York","NEW YORK","10004",,"Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"76250","49338","SUB CONTRACTOR","Otis Elevator",,,"Entity","Monadnock Construction Inc",,,,,"125","Broad Street",,"New York","NEW YORK","10004",,"Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"79895","50282","SUB CONTRACTOR","Otis Elevator Company",,,"Entity","Otis Elevator Company",,,,"Otis Elevator Company","125","Broad street",,"New York","NEW YORK","10004",,"Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"84268","60810","SUB CONTRACTOR","Otis Elevator",,,"Entity","Otis Elevator",,,,,"125","Broad Street","#4","New York","NEW YORK","10004",,"Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"78912","55249","SUB CONTRACTOR","Glo Electric LLC","Peter","Gloello","Individual","Glo Electric LLC","Both",,,,"441","Wild Avenue","2nd Floor","Staten Island","NEW YORK",,,,,,,,,,,
"78913","55249","SUB CONTRACTOR","Glo Electric LLC","Louis","Dionisio","Individual","Glo Electric LLC","Both",,,,"441","Wild Avenue","2nd Floor","Staten Island","NEW YORK",,,,,,,,,,,
"78917","44282","SUB CONTRACTOR","Haas Incorporated",,,"Entity","Haas Incorporated",,,,,"24","Whitney Avenue",,"Syosset","NEW YORK",,,,,,,,,,,
"84269","60810","SUB CONTRACTOR","Otis Elevator","Jonathan","Shankman","Individual","Otis Elevator","Officer",,,,"125","Broad Street","#4","New York","NEW YORK","10004",,"Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"81236","58954","SUB CONTRACTOR","Ceasarstone",,,"Entity","Ceasarstone",,,,,"9275","Corbin Avenue",,"Northridge","CALIFORNIA",,,,,,,,,,,
"77755","45265","GENERAL CONTRACTOR","Mega Contracting Group LLC","John","Gigos","Individual","Mega Contracting Group LLC","Both","Treasurer","CFO",,"12754","166th Street",,"Whitestone","NEW YORK",,,,,,,,,,,
"77757","45265","GENERAL CONTRACTOR","Alpha Development and Construction LLC","Hercules","Hanjis","Individual","Alpha Development and Construction LLC","Both","Manager","CEO",,"145","Drafi",,"Rafina","NEW YORK",,,,,,,,,,,
"77758","45265","GENERAL CONTRACTOR","Alpha Development and Construction LLC","Kostas","Hanjis","Individual","Alpha Development and Construction LLC","Owner","Member",,,"145","Drafi",,"Rafina","NEW YORK",,,,,,,,,,,
"2540","67287","BORROWER LEGAL ENTITY","Women in Need, Inc.","Darlene","Williams","Individual","Women in Need, Inc.","Officer","Chief Program Officer",,,"1","State Street Plaza",,"New York","NEW YORK","10004",,"Manhattan","40.702411","-74.012948","1","1","9","1000018","1000090001","MN25"
"81240","50282","SUB CONTRACTOR","Islandaire Inc.",,,"Entity","Islandaire Inc.",,,,"Islandaire Inc.","22","Research Way",,"Setauket","NEW YORK",,,,,,,,,,,
"2541","67287","BORROWER LEGAL ENTITY","Women in Need, Inc.","Donald","Brosen","Individual","Women in Need, Inc.","Officer","Chief Operating Officer","COO",,"1","State Street Plaza",,"New York","NEW YORK","10004",,"Manhattan","40.702411","-74.012948","1","1","9","1000018","1000090001","MN25"
"78918","44282","SUB CONTRACTOR","Haas Incorporated","Sue","Heller","Individual","Haas Incorporated","Both","President",,,"24","Whitney Avenue",,"Syosset","NEW YORK",,,,,,,,,,,
"77759","45265","GENERAL CONTRACTOR","Alpha Development and Construction LLC","Dimitri","Hanjis","Individual","Alpha Development and Construction LLC","Owner","Member",,,"145","Drafi",,"Rafina","NEW YORK",,,,,,,,,,,
"2542","67287","BORROWER LEGAL ENTITY","Women in Need, Inc.","Christine","Quinn","Individual","Women in Need, Inc.","Owner and Officer","Chief Executive Officer","CEO",,"1","State Street Plaza",,"New York","NEW YORK","10004",,"Manhattan","40.702411","-74.012948","1","1","9","1000018","1000090001","MN25"
"77760","45265","GENERAL CONTRACTOR","Alpha Development and Construction LLC","Alexia","Hanjis","Individual","Alpha Development and Construction LLC","Owner","Member",,,"145","Drafi",,"Rafina","NEW YORK",,,,,,,,,,,
"2543","67287","BORROWER LEGAL ENTITY","Women in Need, Inc.",,,"Entity","WIN Far Rockaway HDFC",,,,,"1","State Street Plaza",,"New York","NEW YORK","10004",,"Manhattan","40.702411","-74.012948","1","1","9","1000018","1000090001","MN25"
"77761","45265","SUB CONTRACTOR","Flagge Contracting Inc",,,"Entity","Flagge Contracting Inc",,,,,"53-55","East Kinney Street",,"Newark","NEW JERSEY",,,,,,,,,,,
"2544","67287","BORROWER LEGAL ENTITY","WIN Far Rockaway HDFC",,,"Entity","JAHAN CONTRACTING INC.",,,,,"1","State Street Plaza",,"New York","NEW YORK","10004",,"Manhattan","40.702411","-74.012948","1","1","9","1000018","1000090001","MN25"
"2545","67287","BORROWER LEGAL ENTITY","WIN Supportive Housing Corp",,,"Entity","ROCKAWAY SOUTH, L.P.",,,,,"1","State Street Plaza",,"New York","NEW YORK","10004",,"Manhattan","40.702411","-74.012948","1","1","9","1000018","1000090001","MN25"
"75458","50424","BORROWER LEGAL ENTITY","Restored Homes HDFC","Lydia","Tom","Individual","Restored Homes HDFC","Officer","Secretary",,,"1","Whitehall Street","11th Floor","New York","NEW YORK","10004",,"Manhattan","40.703973","-74.013164","1","1","9","1000027","1000100023","MN25"
"77762","45265","SUB CONTRACTOR","Flagge Contracting Inc","Francisco","Rodriguez","Individual","Flagge Contracting Inc","Both","President","CEO",,"275","Division Ave",,"Belleville","NEW JERSEY",,,,,,,,,,,
"77764","45265","SUB CONTRACTOR","ASAR International Corp","Anetta","Susz","Individual","ASAR International Corp","Both","President","CEO",,"11","Butter Street",,"Staten Island","NEW YORK",,,,,,,,,,,
"78919","44282","SUB CONTRACTOR","P-Goom Inc.",,,"Entity","P-Goom Inc.",,,,,"124","Westervelt Avenue",,"Tenafly","NEW JERSEY",,,,,,,,,,,
"82219","51561","SUB CONTRACTOR","A-Eagles Inc","Abi","Ljesjanin","Individual","A-Eagles Inc","Owner","Owner",,,"6","Terrace Drive",,"Hampton Bays","NEW YORK",,,,,,,,,,,
"77765","45265","SUB CONTRACTOR","ASAR International Corp","Andrzej","Szczech","Individual","ASAR International Corp","Both","Vice President","COO",,"11","Butter Street",,"Staten Island","NEW YORK",,,,,,,,,,,
"77767","45265","SUB CONTRACTOR","Demand Electric Inc","Andreas","Kourkoumelis","Individual","Demand Electric Inc","Both","President","CEO",,"15-59","150th Street",,"Whitestone","NEW YORK",,,,,,,,,,,
"78920","44282","SUB CONTRACTOR","P-Goom Inc.","Daniel","Weissman","Individual","P-Goom Inc.","Officer","Vice President",,,"124","Westervelt Avenue",,"Tenafly","NEW JERSEY",,,,,,,,,,,
"77769","45265","SUB CONTRACTOR","JV Trucking and Rigging LLC","Maria","Volpe","Individual","JV Trucking and Rigging LLC","Both","President","CEO",,"29","Longstreet Rd",,"Holmdel","NEW JERSEY",,,,,,,,,,,
"78921","44282","SUB CONTRACTOR","Valex Enterprises Inc.",,,"Entity","Valex Enterprises Inc.",,,,,"64","South Main Street",,"Marlboro","NEW JERSEY",,,,,,,,,,,
"77770","45265","SUB CONTRACTOR","JV Trucking and Rigging LLC","Joseph","Volpe","Individual","JV Trucking and Rigging LLC","Both","Vice President","COO",,"29","Longstreet Rd",,"Holmdel","NEW JERSEY",,,,,,,,,,,
"77787","52122","SUB CONTRACTOR","Rock Group New York Corp.",,,"Entity","Rock Group New York Corp.",,,,,"119","Mount Vernon Avenue","Suite 2E","Mount Vernon","NEW YORK",,,,,,,,,,,
"77788","52122","SUB CONTRACTOR","Rock Group New York Corp.","Simranpal","Singh","Individual","Rock Group New York Corp.","Owner","President",,,"119","Mount Vernon Avenue","Suite 2E","Mount Vernon","NEW YORK",,,,,,,,,,,
"82224","51561","SUB CONTRACTOR","Real Windows","Elliot","Klein","Individual","Real Windows","Owner","Owner",,,"1","Ashley Lane",,"Monsey","NEW YORK",,,,,,,,,,,
"82614","58388","SUB CONTRACTOR","Urban Precast",,,"Entity","Urban Precast",,,,,"6","Kieffer Lane",,"Kingston","NEW YORK",,,,,,,,,,,
"77789","52122","SUB CONTRACTOR","Spray Force Systems, Inc.",,,"Entity","Spray Force Systems, Inc.",,,,,"39","Meade Street","P.O. Box 940123","West Orange","NEW JERSEY",,,,,,,,,,,
"77790","52122","SUB CONTRACTOR","Spray Force Systems, Inc.","Jason","Noto","Individual","Spray Force Systems, Inc.","Owner","President",,,"39","Meade Street","P.O. Box 940123","West Orange","NEW JERSEY",,,,,,,,,,,
"77791","52122","SUB CONTRACTOR","4 Brothers & Sons Fence, Inc.",,,"Entity","4 Brothers & Sons Fence, Inc.",,,,,"10","Yellowstone Avenue",,"White Plains","NEW YORK",,,,,,,,,,,
"78932","44409","SUB CONTRACTOR","Pappillion Security, Inc.","Gustavo","Pizza","Individual","Pappillion Security, Inc.","Owner","Principal",,,"255","Robinson",,"Bronx","NEW YORK",,,"Bronx",,,,,,,,
"77792","52122","SUB CONTRACTOR","4 Brothers & Sons Fence, Inc.","Nick","Bershia","Individual","4 Brothers & Sons Fence, Inc.","Owner","President",,,"10","Yellowstone Avenue",,"White Plains","NEW YORK",,,,,,,,,,,
"77798","52122","SUB CONTRACTOR","Teal Waterproofing","Anthony","Sabatino","Individual","Teal Waterproofing","Both","President","CEO",,"7","Lauren Ave",,"Dix Hills","NEW YORK",,,,,,,,,,,
"77799","52122","SUB CONTRACTOR","Teal Waterproofing","Emilia","Sabatino","Individual","Teal Waterproofing","Both","Vice President","CEO",,"7","Lauren Ave",,"Dix Hills","NEW YORK",,,,,,,,,,,
"82724","65210","SUB CONTRACTOR","Cuno Environmental Corp.",,,"Entity","Cuno Environmental Corp.",,,,,"19","Robbins Avenue",,"Elmsford","NEW YORK",,,,,,,,,,,
"75649","54838","BORROWER LEGAL ENTITY","Restoring Urban Neighborhoods, LLC","Lydia","Tom","Individual","Restoring Urban Neighborhoods, LLC","Officer","Secretary",,"Enterprise Community Partners, Inc.","1","Whitehall Street","11th Floor","New York","NEW YORK","10004",,"Manhattan","40.703973","-74.013164","1","1","9","1000027","1000100023","MN25"
"84482","59388","BORROWER LEGAL ENTITY","Enterprise-SNB Housing Fund I, LLLC",,,"Entity","BP 1017 Home Street LLC",,,,"Enterprise","1","Whitehall St","11th","New Yrok","NEW YORK","10004",,"Manhattan","40.703973","-74.013164","1","1","9","1000027","1000100023","MN25"
"85511","66144","BORROWER LEGAL ENTITY","Wincopin LLLP",,,"Entity","Aquinas Apartments LP",,,,"Jessica Neilan","1","Whitehall Street","11th Floor","New York","NEW YORK","10004",,"Manhattan","40.703973","-74.013164","1","1","9","1000027","1000100023","MN25"
"83211","63800","SUB CONTRACTOR","Symphony Floors",,,"Entity","Symphony Floors",,,,"Symphony Floors","62","Washington Terrace",,"Newburgh","NEW YORK",,,,,,,,,,,
"83481","58955","SUB CONTRACTOR","Oldcastle Precast","Greg","Barner","Individual","Oldcastle Precast","Officer","VP",,,"123","CR 101",,"Selkirk","NEW YORK",,,,,,,,,,,
"77800","52122","SUB CONTRACTOR","Motovated Firestop Specialist LLC",,,"Entity","Motovated Firestop Specialist LLC",,,,,"154","South Path",,"Calverton","NEW YORK",,,,,,,,,,,
"77801","52122","SUB CONTRACTOR","Motovated Firestop Specialist LLC","Craig","Sullivan","Individual","Motovated Firestop Specialist LLC","Owner","President",,,"154","South Path",,"Calverton","NEW YORK",,,,,,,,,,,
"77817","48973","BORROWER LEGAL ENTITY","508 West 134th Street LLC",,,"Entity","508 West 134th Street LLC",,,,,"1328","New York Ave.",,"Huntington station","NEW YORK",,,,,,,,,,,
"77818","48973","BORROWER LEGAL ENTITY","508 West 134th Street LLC","Michael","Rooney","Individual","508 West 134th Street LLC","Owner","managing member",,,"9","Bareback Ct.",,"Nissequogue","NEW YORK",,,,,,,,,,,
"1173","61609","SUB CONTRACTOR","GIANT TAPING & PLASTERING INC",,,"Entity","GIANT TAPING & PLASTERING INC",,,,,"80","Broad Street, Suite 1902",,"New York","NEW YORK","10004","Drywall / Taping,Finish / Carpentry","Manhattan","40.704322","-74.011581","1","1","9","1000038","1000110021","MN25"
"77819","55249","BORROWER LEGAL ENTITY","L&M Development Partners, Inc.","Lisa","Gomez","Individual","L&M Development Partners, Inc.","Both","COO","COO",,"1865","Palmer Avenue","#203","Larchmont","NEW YORK",,,,,,,,,,,
"4076","63761","SUB CONTRACTOR","GIANT TAPING & PLASTERING INC",,,"Entity","GIANT TAPING & PLASTERING INC",,,,,"80","Broad Street, Suite 1902",,"New York","NEW YORK","10004","Drywall / Taping,Finish / Carpentry","Manhattan","40.704322","-74.011581","1","1","9","1000038","1000110021","MN25"
"77820","55249","BORROWER LEGAL ENTITY","L&M Development Partners, Inc.","Leonard","Rueben","Individual","L&M Development Partners, Inc.","Officer","CFO","CFO",,"1865","Palmer Avenue","#203","Larchmont","NEW YORK",,,,,,,,,,,
"77826","55249","GENERAL CONTRACTOR","Chatsworth Builders LLC",,,"Entity","Chatsworth Builders LLC",,,,,"1865","Palmer Avenue","203","Larchmont","NEW YORK",,,,,,,,,,,
"4887","63761","SUB CONTRACTOR","GIANT TAPING & PLASTERING INC",,,"Entity","GIANT TAPING & PLASTERING INC",,,,,"80","Broad Street, Suite 1902",,"New York","NEW YORK","10004","Drywall / Taping,Finish / Carpentry","Manhattan","40.704322","-74.011581","1","1","9","1000038","1000110021","MN25"
"77827","55249","GENERAL CONTRACTOR","L&M Development Partners, Inc.",,,"Entity","Chatsworth Builders LLC",,,,,"1865","Palmer Avenue","203","Larchmont","NEW YORK",,,,,,,,,,,
"6545","60327","SUB CONTRACTOR","GIANT TAPING & PLASTERING, INC",,,"Entity","GIANT TAPING & PLASTERING, INC",,,,,"80","Broad Street, Suite 1902",,"New York","NEW YORK","10004","Drywall / Taping,Finish / Carpentry","Manhattan","40.704322","-74.011581","1","1","9","1000038","1000110021","MN25"
"77828","55249","GENERAL CONTRACTOR","L&M Development Partners, Inc.","Ron","Moelis","Individual","L&M Development Partners, Inc.","Owner","CEO","CEO",,"1865","Palmer Avenue","203","Larchmont","NEW YORK",,,,,,,,,,,
"6592","64885","SUB CONTRACTOR","GIANT TAPING & PLASTERING, INC",,,"Entity","GIANT TAPING & PLASTERING, INC",,,,,"80","Broad Street, Suite 1902",,"New York","NEW YORK","10004","Drywall / Taping,Finish / Carpentry","Manhattan","40.704322","-74.011581","1","1","9","1000038","1000110021","MN25"
"83482","58955","SUB CONTRACTOR","Oldcastle Precast","Harvey","Shelton","Individual","Oldcastle Precast","Officer","VP",,,"123","CR 101",,"Selkirk","NEW YORK",,,,,,,,,,,
"77829","55249","GENERAL CONTRACTOR","L&M Development Partners, Inc.","Lisa","Gomez","Individual","L&M Development Partners, Inc.","Both","COO","COO",,"1865","Palmer Avenue","203","Larchmont","NEW YORK",,,,,,,,,,,
"77525","55036","BORROWER LEGAL ENTITY","TLK Apartments Manager LLC","Gabriel","Gerbi","Individual","TLK Apartments Manager LLC","Officer","Organizer",,"Goldstein Hall","80","Broad St.","Suite 303","New York","NEW YORK","10004",,"Manhattan","40.704322","-74.011581","1","1","9","1000038","1000110021","MN25"
"83483","58955","SUB CONTRACTOR","Oldcastle Precast","James","Baker","Individual","Oldcastle Precast","Officer","VP",,,"123","CR 101",,"Selkirk","NEW YORK",,,,,,,,,,,
"83484","58955","SUB CONTRACTOR","Oldcastle Precast","Jason","Jackson","Individual","Oldcastle Precast","Officer","VP",,,"123","CR 101",,"Selkirk","NEW YORK",,,,,,,,,,,
"77528","55036","BORROWER LEGAL ENTITY","Brisa Evergreen I LLC","Gabriel","Gerbi","Individual","Brisa Evergreen I LLC","Officer","Organizer",,"Goldstein Hall","80","Broad St.","Suite 303","New York","NEW YORK","10004",,"Manhattan","40.704322","-74.011581","1","1","9","1000038","1000110021","MN25"
"77830","55249","GENERAL CONTRACTOR","L&M Development Partners, Inc.","Leonard","Rueben","Individual","L&M Development Partners, Inc.","Officer","CFO","CFO",,"1865","Palmer Avenue","203","Larchmont","NEW YORK",,,,,,,,,,,
"78333","57668","SUB CONTRACTOR","Mastercraft Masonry Inc.","Louis","Tantillo","Individual","Mastercraft Masonry Inc.","Officer","Principal",,,"399","Knollwood Rd. 107",,"White Plains","NEW YORK",,,,,,,,,,,
"78337","57668","SUB CONTRACTOR","Long Island Fireproof Door",,,"Entity","Long Island Fireproof Door",,,,,"44505","Clintonville Street",,"Whitestone","NEW YORK",,,,,,,,,,,
"78338","57668","SUB CONTRACTOR","CRV Precast Construction LLC",,,"Entity","CRV Precast Construction LLC",,,,,"1361A","Monmouth Rd.",,"Eastampton","NEW JERSEY",,,,,,,,,,,
"78341","57668","SUB CONTRACTOR","Medley Air, Inc.",,,"Entity","Medley Air, Inc.",,,,,"265","McCormick Dr. #A",,"Bohemia","NEW YORK",,,,,,,,,,,
"78566","55036","BORROWER LEGAL ENTITY","TLK Apartments LLC","Gabriel","Gerbi","Individual","TLK Apartments LLC","Officer","Organizer",,"Goldstein Hall","80","Broad St.","Suite 303","New York","NEW YORK","10004",,"Manhattan","40.704322","-74.011581","1","1","9","1000038","1000110021","MN25"
"82903","50818","SUB CONTRACTOR","Crescent Energy Inc.",,,"Entity","Crescent Energy Inc.",,,,,"80","Broad St., Suite 1902",,"New York","NEW YORK","10004",,"Manhattan","40.704322","-74.011581","1","1","9","1000038","1000110021","MN25"
"82904","50818","SUB CONTRACTOR","Crescent Energy Inc.",,,"Entity","Crescent Energy Inc.",,,,,"80","Broad St., Suite 1902",,"New York","NEW YORK","10004",,"Manhattan","40.704322","-74.011581","1","1","9","1000038","1000110021","MN25"
"78344","51425","GENERAL CONTRACTOR","Empire HD",,,"Entity","Empire HD",,,,,"99","Tulip Avenue","#203","Floral Park","NEW YORK",,,,,,,,,,,
"82905","50818","SUB CONTRACTOR","Crescent Energy Inc.",,,"Entity","Crescent Energy Inc.",,,,,"80","Broad St., Suite 1902",,"New York","NEW YORK","10004",,"Manhattan","40.704322","-74.011581","1","1","9","1000038","1000110021","MN25"
"82906","50818","SUB CONTRACTOR","Crescent Energy Inc.",,,"Entity","Crescent Energy Inc.",,,,,"80","Broad St., Suite 1902",,"New York","NEW YORK","10004",,"Manhattan","40.704322","-74.011581","1","1","9","1000038","1000110021","MN25"
"82907","50818","SUB CONTRACTOR","Crescent Energy Inc.",,,"Entity","Crescent Energy Inc.",,,,,"80","Broad St., Suite 1902",,"New York","NEW YORK","10004",,"Manhattan","40.704322","-74.011581","1","1","9","1000038","1000110021","MN25"
"77831","55249","GENERAL CONTRACTOR","Employee Stock Ownership Trust for the Benefit of L&M Employees (ESOP)",,,"Entity","L&M Development Partners, Inc.",,,,"c/o L&M Development Partners Inc.","1865","Palmer Avenue","203","Larchmont","NEW YORK",,,,,,,,,,,
"77832","55249","SUB CONTRACTOR","4 Brother Fence & Sons Inc.",,,"Entity","4 Brother Fence & Sons Inc.",,,,,"10","Yellowstone Ave",,"White Plains","NEW YORK",,,,,,,,,,,
"83485","58955","SUB CONTRACTOR","Oldcastle Precast","Jeff","McKinley","Individual","Oldcastle Precast","Officer","VP",,,"123","CR 101",,"Selkirk","NEW YORK",,,,,,,,,,,
