"evt_code","evt_desc","evt_type","evt_date","evt_mrc","evt_printed","evt_obtype","evt_object","evt_standwork","evt_ppm","evt_freq","evt_isstype","evt_class","evt_route","evt_target","evt_duration","evt_parent","evt_reqm","evt_jobtype","evt_priority","evt_reported","evt_start","evt_due","evt_completed","evt_warranty","evt_safety","evt_reopened","evt_schedend","evt_created","evt_updated","evt_updatecount","evt_perioduom","evt_sqlidentity","evt_multiequip","evt_completed_trunc","evt_udfchar01","evt_udfchar02","evt_udfchar03","evt_udfchar04","evt_udfchar05","evt_udfchar06","evt_udfchar08","evt_udfchar10","evt_udfchar11","evt_udfchar12","evt_udfchar13","evt_udfchar14","evt_udfchar15","evt_udfchar16","evt_udfnum01","evt_udfnum02","evt_udfchkbox01","evt_udfchkbox02","evt_udfchkbox03","evt_udfchkbox04","evt_udfchkbox05"
"1698630","Rat Abatement","JOB","May 19 2018  8:58AM","M-03","-","S","M358-GT001",,,,"F",,,"Jul  6 2018 12:00AM","26",,,"GTBR","1-LOW","May 19 2018  8:58AM",,,,"-","-","-","Jul 31 2018 12:00AM","May 19 2018  9:31AM","Apr 11 2019  9:54AM","4",,"1671524","-",,"4. URG",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"+","-","-","+","-"
"1698664","Rat Abatement","JOB","May 19 2018  9:40AM","M-03","-","S","M345-GT001",,,,"F",,,"Jul  6 2018 12:00AM","26",,,"GTBR","1-LOW","May 19 2018  9:40AM",,,,"-","-","-","Jul 31 2018 12:00AM","May 19 2018  9:57AM","Apr 11 2019  9:55AM","3",,"1671558","-",,"4. URG",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"+","-","-","+","-"
"1698864","Rat Abatement","JOB","May 19 2018 11:53AM","B-04","-","S","B470-GT001",,,,"F",,,"Jul  6 2018 12:00AM","26",,,"GTBR","1-LOW","May 19 2018 11:53AM",,,,"-","-","-","Jul 31 2018 12:00AM","May 19 2018 11:55AM","Dec 19 2018 12:30PM","2",,"1671756","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Work Request",,,,,,"-","-","-","+","-"
"1714408","Deliver 15 pieces of lumber to Prospect Farm","JOB","Jun 21 2018  3:27PM","B-07","-","S","BGT068",,,,"F",,,"Jun 21 2018 12:00AM","1",,,"GTBR",,"Jun 21 2018  3:27PM",,,,"-","-","+","Jun 21 2018 12:00AM","Jun 21 2018  3:28PM","Jun  7 2019  9:02AM","8",,"1687198","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","-","+","-"
"1736685","14 yards of soil mix","JOB","Jul 16 2018  1:30PM","Q-12","-","S","QGT017","Soil",,,"F",,,"Jul 16 2018 12:00AM","1",,,"GTBR","2-MED","Jul 16 2018  1:30PM",,,,"-","-","+","Jul 16 2018 12:00AM","Jul 16 2018  1:32PM","Jun  7 2019  9:02AM","9",,"1700396","-",,"1. LOW",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","-","+","-"
"1736731","14 yards of soil mix","JOB","Jul 16 2018  2:07PM","Q-14","-","S","Q484-GT002",,,,"F",,,"Jul 16 2018 12:00AM","1",,,"GTBR",,"Jul 16 2018  2:07PM",,,,"-","-","+","Jul 16 2018 12:00AM","Jul 16 2018  2:16PM","Jun  7 2019  9:02AM","8",,"1700442","-",,"1. LOW",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","-","-"
"2124346","Eight double high boxes (1 of 2)","JOB","Feb 23 2021  9:32AM","B-05","-","S","B521-GT001",,,,"F",,,"Feb 23 2021 12:00AM","1",,,"GTBR",,"Feb 23 2021  9:32AM",,,,"-","-","-","Feb 23 2021 12:00AM","Feb 23 2021  9:35AM","Feb 24 2021  8:30AM","1",,"2049265","-",,"3. HIGH",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"1736690","7 yards of soil mix","JOB","Jul 16 2018  1:33PM","Q-12","-","S","QGT017",,,,"F",,,"Jul 16 2018 12:00AM","1",,,"GTBR",,"Jul 16 2018  1:33PM",,,,"-","-","+","Jul 16 2018 12:00AM","Jul 16 2018  1:35PM","Jun  7 2019  9:02AM","8",,"1700401","-",,"1. LOW",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","-","+","-"
"1710507","Soil/Compost Mix","JOB","Jun 13 2018  1:03PM","B-03","-","S","B420-GT001",,,,"F",,,"Jun 13 2018 12:00AM","1",,,"GTBR",,"Jun 13 2018  1:03PM",,,,"-","-","+","Jun 13 2018 12:00AM","Jun 13 2018  1:09PM","Jun  7 2019  9:02AM","10",,"1683324","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"1710525","Lumber","JOB","Jun 13 2018  1:20PM","B-03","-","S","B420-GT001",,,,"F",,,"Jun 13 2018 12:00AM","1",,,"GTBR",,"Jun 13 2018  1:20PM",,,,"-","-","+","Jun 13 2018 12:00AM","Jun 13 2018  1:21PM","Jun  7 2019  9:02AM","10",,"1683342","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"1744027","Soil: Deliver of 7 yards","JOB","Aug  1 2018 11:07AM","B-05","-","S","B443-GT001","Soil/Compost",,,"F",,,"Aug  1 2018 12:00AM","1",,,"GTBR","1-LOW","Aug  1 2018 11:07AM",,,,"-","-","+","Aug  1 2018 12:00AM","Aug  1 2018 11:21AM","May  1 2019  8:26AM","8",,"1707684","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"1751641","Gate repair","JOB","Aug  8 2018 12:28PM","B-05","-","S","B527-GT001",,,,"F",,,"Aug  8 2018 12:00AM","1",,,"GTBR",,"Aug  8 2018 12:28PM",,,,"-","-","-","Aug  8 2018 12:00AM","Aug  8 2018 12:29PM","Jun  7 2019  7:44AM","5",,"1715278","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"2136007","Fencing to Prevent Illegal Egress","JOB","Mar 29 2021  3:28PM","X-01","-","S","X351-GT001",,,,"F",,,"Mar 29 2021 12:00AM","1",,,"GTBR",,"Mar 29 2021  3:28PM",,,,"-","-","-","Mar 29 2021 12:00AM","Mar 29 2021  3:31PM","Mar 31 2021  4:04PM","1",,"2060604","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","+"
"2151660","soil / compost mix (double load) - Cook Community Farm","JOB","May 28 2021  4:27PM","X-06","-","S","X252-GT001",,,,"F",,,"May 28 2021 12:00AM","1",,,"GTBR",,"May 28 2021  4:27PM",,,,"-","-","-","May 28 2021 12:00AM","May 28 2021  4:28PM","Feb  7 2022  1:43PM","2",,"2076083","-",,"3. HIGH",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"1755509","Lumber Request","JOB","Aug 17 2018 11:19AM","X-03","-","S","X361",,,,"F",,,"Aug 17 2018 12:00AM","1",,,"GTBR",,"Aug 17 2018 11:19AM",,,,"-","-","-","Aug 17 2018 12:00AM","Aug 17 2018 11:21AM","Jun  7 2019  9:02AM","6",,"1719126","-",,"3. HIGH",,"GRNTHUMB",,,,"Hoe Ave. bet. Home St. and Freeman St.",,,,"GT Open",,,,,,"+","-","-","+","-"
"1603431","T 36054 -V","IN","Dec 15 2017  3:27PM","X","-","T","36054",,,,"F",,,"Dec 15 2017 12:00AM","1",,,,,"Dec 15 2017  3:27PM",,,"Dec 15 2017  3:27PM","-","-","-","Dec 15 2017 12:00AM","Dec 15 2017  3:27PM",,"1",,"1577084","-","Dec 15 2017 12:00AM",,,,,,,,,,,"Completed",,,,,,"-","-","-","-","-"
"1710138","Lumber","JOB","Jun 12 2018  2:42PM","M-07","-","S","M306-GT001","Lumber",,,"F",,,"Jun 12 2018 12:00AM","1",,,"GTBR","1-LOW","Jun 12 2018  2:42PM",,,,"-","-","+","Jun 12 2018 12:00AM","Jun 12 2018  2:44PM","May  1 2019  8:26AM","7",,"1682956","-",,"1. LOW",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"1710576","Compost-Horse Manure","JOB","Jun 13 2018  2:13PM","B-03","-","S","B544-GT001",,,,"F",,,"Jun 13 2018 12:00AM","1",,,"GTBR",,"Jun 13 2018  2:13PM",,,,"-","-","+","Jun 13 2018 12:00AM","Jun 13 2018  2:15PM","May  1 2019  8:26AM","6",,"1683393","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"1714406","Deliver 15 pieces of lumber to Pirate's Cove Garden","JOB","Jun 21 2018  3:22PM","B-06","-","S","BGT047",,,,"F",,,"Jun 21 2018 12:00AM","1",,,"GTBR",,"Jun 21 2018  3:22PM",,,,"-","-","+","Jun 21 2018 12:00AM","Jun 21 2018  3:22PM","May  1 2019  8:26AM","5",,"1687196","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","-","+","-"
"1787391","lumber request","JOB","Sep 14 2018  1:38PM","X-03","-","S","X010C",,,,"F",,,"Sep 14 2018 12:00AM","1",,,"GTBR",,"Sep 14 2018  1:38PM",,,,"-","-","-","Sep 14 2018 12:00AM","Sep 14 2018  1:39PM","Jun  7 2019  9:03AM","5",,"1741922","-",,"2. MED",,"GRNTHUMB",,,,"Crotona Park South bet. Fulton Av and Cr",,,,"GT Open",,,,,,"-","-","-","+","-"
"1806684","Tehuti Ma'at rubble removal","JOB","Oct 22 2018  2:35PM","B-16","-","S","B501-GT001",,,,"F",,,"Oct 22 2018 12:00AM","1",,,"GTBR",,"Oct 22 2018  2:35PM",,,,"-","-","-","Oct 22 2018 12:00AM","Oct 22 2018  2:40PM","Dec 19 2018 11:50AM","2",,"1761074","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"2095701","Deliver 26 pieces of plastic lumber to build new double high raised beds.","JOB","Dec 10 2020 12:15PM","B-03","-","S","B474-GT001",,,,"F",,,"Dec 10 2020 12:00AM","1",,,"GTBR",,"Dec 10 2020 12:15PM",,,,"-","-","-","Dec 10 2020 12:00AM","Dec 10 2020 12:19PM","Dec 16 2020  9:20AM","2",,"2029842","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"1815128","fill in sunken area garden 3 of 3","JOB","Nov  8 2018 10:16AM","B-03","-","S","B448-GT001",,,,"F",,,"Nov  8 2018 12:00AM","1",,,"GTBR",,"Nov  8 2018 10:16AM",,,,"-","-","-","Nov  8 2018 12:00AM","Nov  8 2018 10:20AM","Dec 19 2018 11:55AM","1",,"1769472","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Work Request",,,,,,"-","-","+","+","+"
"2141855","Remove fallen tree.","JOB","Apr 23 2021  8:44AM","B-03","-","S","B224A-GT001",,,,"F",,,"Apr 23 2021 12:00AM","1",,,"GTBR",,"Apr 23 2021  8:44AM",,,,"-","-","-","Apr 23 2021 12:00AM","Apr 23 2021  8:53AM","May 11 2021  1:39PM","1",,"2066337","-",,"4. URG",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"2099723","15 pieces of 2x10s","JOB","Dec 31 2020  9:24AM","B-05","-","S","BGT081","Lumber",,,"F",,,"Dec 31 2020 12:00AM","1",,,"GTBR","1-LOW","Dec 31 2020  9:24AM",,,,"-","-","-","Dec 31 2020 12:00AM","Dec 31 2020 10:15AM","Aug  2 2021 11:06AM","2",,"2033719","-",,"1. LOW",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"1815928","(1 of 2) Delivery of 14 yards of soil for Fordham Bedford Lot Busters","JOB","Nov  9 2018  2:11PM","X-07","-","S","XGT006",,,,"F",,,"Nov  9 2018 12:00AM","1",,,"GTBR",,"Nov  9 2018  2:11PM",,,,"-","-","-","Nov  9 2018 12:00AM","Nov  9 2018  2:14PM","Feb 20 2019 10:46AM","2",,"1770262","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"1805062","lumber and woodchip request","JOB","Oct 19 2018 12:58PM","X-03","-","S","X339-GT001",,,,"F",,,"Oct 19 2018 12:00AM","1",,,"GTBR",,"Oct 19 2018 12:58PM",,,,"-","-","-","Oct 19 2018 12:00AM","Oct 19 2018 12:59PM","Jun  7 2019  9:03AM","5",,"1759454","-",,"3. HIGH",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"1793643","Deliver 30 pieces of lumber to Madison Harvest (TEP)","JOB","Sep 26 2018  2:30PM","B-03","-","S","B499-GT001",,,,"F",,,"Sep 26 2018 12:00AM","1",,,"GTBR",,"Sep 26 2018  2:30PM",,,,"-","-","-","Sep 26 2018 12:00AM","Sep 26 2018  2:33PM","Dec 19 2018 12:01PM","1",,"1748129","-",,"3. HIGH",,"GRNTHUMB",,,,,,,,"GT Work Request",,,,,,"-","-","+","+","-"
"2008682","Deliver 7 yds soil to Hull St Garden","JOB","Feb 27 2020 11:42AM","B-16","-","S","B413",,,,"F",,,"Feb 27 2020 12:00AM","1",,,"GTBR",,"Feb 27 2020 11:42AM",,,,"-","-","-","Feb 27 2020 12:00AM","Feb 27 2020 11:44AM","Feb 27 2020  2:50PM","1",,"1943624","-",,"2. MED",,"GRNTHUMB",,,,"Hull St. between Mother Gaston Blvd. and",,,,"GT Open",,,,,,"-","-","-","+","-"
"1998120","DELIVERY of 7 c/y of woodchips to Poplar Street Garden","JOB","Jan 27 2020  3:06PM","B-02","-","S","B223G-GT001",,,,"F",,,"Jan 27 2020 12:00AM","1",,,"GTBR",,"Jan 27 2020  3:06PM",,,,"-","-","-","Jan 27 2020 12:00AM","Jan 27 2020  3:06PM","Jan 28 2020  8:29AM","1",,"1933124","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","-","+","-"
"1986281","Garden Improvements","JOB","Dec 17 2019  3:11PM","B-05","-","S","B447-GT001","Site Prep",,,"F",,,"Dec 17 2019 12:00AM","1",,,"GTBR","2-MED","Dec 17 2019  3:11PM",,,,"-","-","-","Dec 17 2019 12:00AM","Dec 17 2019  3:13PM","Dec 21 2019 11:31AM","2",,"1921376","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"2013133","DELIVERY lumber 30+ pieces 81 Block Association","JOB","Mar  4 2020 10:26AM","Q-12","-","S","Q487-GT001",,,,"F",,,"Mar  4 2020 12:00AM","1",,,"GTBR",,"Mar  4 2020 10:26AM",,,,"-","-","-","Mar  4 2020 12:00AM","Mar  4 2020 10:30AM","Mar 11 2020  3:50PM","2",,"1948058","-",,"3. HIGH",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"2014104","DELIVERY 40 bags soil to Peoples Garden","JOB","Mar  6 2020  2:59PM","B-04","-","S","BGT046",,,,"F",,,"Mar  6 2020 12:00AM","1",,,"GTBR",,"Mar  6 2020  2:59PM",,,,"-","-","-","Mar  6 2020 12:00AM","Mar  6 2020  3:00PM","Mar  9 2020 11:53AM","1",,"1949021","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"1820466","REMOVE BARBED WIRE at Urban Meadow","JOB","Nov 19 2018  3:01PM","B-06","-","S","B390-GT001",,,,"F",,,"Nov 19 2018 12:00AM","1",,,"GTBR",,"Nov 19 2018  3:01PM",,,,"-","-","-","Nov 19 2018 12:00AM","Nov 19 2018  3:02PM","Jun  7 2019  7:45AM","2",,"1774773","-",,"1. LOW",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","-","+","+"
"2145774","DEBRIS REMOVAL (old mural) at El Puente: Espiritu Tierra Community Garden","JOB","May  6 2021 10:44PM","B-01","-","S","B424-GT001",,,,"F",,,"May  6 2021 12:00AM","1",,,"GTBR",,"May  6 2021 10:44PM",,,,"-","-","+","May  6 2021 12:00AM","May  6 2021 10:45PM","May 11 2021  2:25PM","4",,"2070228","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"2006228","DELIVERY of 3.5 c/y of mulch for South Brooklyn Children's Garden","JOB","Feb 19 2020 12:59PM","B-06","-","S","B559",,,,"F",,,"Feb 19 2020 12:00AM","1",,,"GTBR",,"Feb 19 2020 12:59PM",,,,"-","-","-","Feb 19 2020 12:00AM","Feb 19 2020  1:00PM","Feb 20 2020  8:36AM","1",,"1941186","-",,"2. MED",,"GRNTHUMB",,,,"Columbia St. bet. Sackett St. and De Gra",,,,"GT Open",,,,,,"-","-","-","+","-"
"2006229","DELIVERY of 7 c/y of soil/compost mix to South Brooklyn Children's Garden","JOB","Feb 19 2020  1:01PM","B-06","-","S","B559",,,,"F",,,"Feb 19 2020 12:00AM","1",,,"GTBR",,"Feb 19 2020  1:01PM",,,,"-","-","-","Feb 19 2020 12:00AM","Feb 19 2020  1:02PM","Feb 20 2020  8:36AM","1",,"1941187","-",,"3. HIGH",,"GRNTHUMB",,,,"Columbia St. bet. Sackett St. and De Gra",,,,"GT Open",,,,,,"-","-","-","+","-"
"2006234","DELIVERY of 15 pieces of lumber for Prospect Farm","JOB","Feb 19 2020  1:14PM","B-07","-","S","BGT068",,,,"F",,,"Feb 19 2020 12:00AM","1",,,"GTBR",,"Feb 19 2020  1:14PM",,,,"-","-","-","Feb 19 2020 12:00AM","Feb 19 2020  1:15PM","Feb 20 2020  8:36AM","1",,"1941192","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","-","+","-"
"2014025","DELIVERY of 7 cubic yards of compost to Electric Ladybug Garden","JOB","Mar  6 2020 12:12PM","M-10","-","S","M405-GT001",,,,"F",,,"Mar  6 2020 12:00AM","1",,,"GTBR",,"Mar  6 2020 12:12PM",,,,"-","-","-","Mar  6 2020 12:00AM","Mar  6 2020 12:14PM","Mar  9 2020 11:54AM","1",,"1948944","-",,"3. HIGH",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"1972279","deliver gardener's supply 3 bin compost system","JOB","Oct 23 2019 12:19PM","Q-14","-","S","Q518",,,,"F",,,"Oct 23 2019 12:00AM","1",,,"GTBR",,"Oct 23 2019 12:19PM",,,,"-","-","-","Oct 23 2019 12:00AM","Oct 23 2019 12:20PM","Oct 31 2019  8:38AM","1",,"1907498","-",,"2. MED",,"GRNTHUMB",,,,"Beach 84 St. bet. Rockaway Freeway and J",,,,"GT Open",,,,,,"-","-","-","+","-"
"2009124","(2 of 2) Remove cement slab near the middle of the garden.","JOB","Feb 28 2020  4:17PM","B-03","-","S","B499-GT001",,,,"F",,,"Feb 28 2020 12:00AM","1",,,"GTBR",,"Feb 28 2020  4:17PM",,,,"-","-","-","Feb 28 2020 12:00AM","Feb 28 2020  4:19PM","Mar  4 2020 11:33AM","1",,"1944060","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","+"
"2009250","DELIVERY of 15 pieces of lumber to El Garden (4/4)","JOB","Feb 28 2020  5:04PM","B-04","-","S","B577-GT001",,,,"F",,,"Feb 28 2020 12:00AM","1",,,"GTBR",,"Feb 28 2020  5:04PM",,,,"-","-","-","Feb 28 2020 12:00AM","Feb 28 2020  5:05PM","Mar  4 2020 11:33AM","2",,"1944186","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"2017252","14 cubic yards of soil/compost for 8 beds","JOB","Mar 12 2020 11:07AM","B-18","-","S","B166-GT001","Soil/Compost",,,"F",,,"Mar 12 2020 12:00AM","1",,,"GTBR","1-LOW","Mar 12 2020 11:07AM",,,,"-","-","-","Mar 12 2020 12:00AM","Mar 12 2020 11:14AM","Mar 23 2020 12:14PM","2",,"1952144","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","-","+","-"
"2017263","raised bed replacement","JOB","Mar 12 2020 11:17AM","X-03","-","S","X339-GT001",,,,"F",,,"Mar 12 2020 12:00AM","1",,,"GTBR",,"Mar 12 2020 11:17AM",,,,"-","-","-","Mar 12 2020 12:00AM","Mar 12 2020 11:39AM","Mar 13 2020  8:50AM","1",,"1952155","-",,"3. HIGH",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","-","-"
"1830174","removal of razor wire on front of 11BC Serenity Garden fence","JOB","Dec 10 2018 12:40PM","M-03","-","S","M397-GT001","Barbed / Razor Wire Removal",,,"F",,,"Dec 10 2018 12:00AM","1",,,"GTBR","2-MED","Dec 10 2018 12:40PM",,,,"-","-","-","Dec 10 2018 12:00AM","Dec 10 2018 12:41PM","Jun  7 2019  7:45AM","6",,"1784395","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"2040698","Soil Delivery","JOB","Jun  8 2020  3:24PM","X-03","-","S","X270",,,,"F",,,"Jun  8 2020 12:00AM","1",,,"GTBR",,"Jun  8 2020  3:24PM",,,,"-","-","-","Jun  8 2020 12:00AM","Jun  8 2020  3:25PM","Jun 15 2020  3:46PM","1",,"1975435","-",,"2. MED",,"GRNTHUMB",,,,"Hoe Ave. bet. Home St. and Freeman St.",,,,"GT Open",,,,,,"-","-","-","+","-"
"2011267","REMOVAL wood debris / fencing piece 97th Street Block Association (1/2)","JOB","Mar  2 2020  3:48PM","Q-03","-","S","Q495-GT001",,,,"F",,,"Mar  2 2020 12:00AM","1",,,"GTBR",,"Mar  2 2020  3:48PM",,,,"-","-","-","Mar  2 2020 12:00AM","Mar  2 2020  3:57PM","Mar  6 2020  3:06PM","2",,"1946195","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","+"
"2013200","VOLUNTEER DAY 3.28.2020 - prep site for volunteer day (see notes)","JOB","Mar  4 2020 12:19PM","M-10","-","S","M297A-GT001",,,,"F",,,"Mar  4 2020 12:00AM","1",,,"GTBR",,"Mar  4 2020 12:19PM",,,,"-","-","-","Mar  4 2020 12:00AM","Mar  4 2020 12:21PM","Mar  5 2020  1:46PM","2",,"1948124","-",,"3. HIGH",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","+"
"2013577","7 cubic yards of Soil Request","JOB","Mar  5 2020 11:07AM","X-01","-","S","X285-GT001","Soil",,,"F",,,"Mar  5 2020 12:00AM","1",,,"GTBR","2-MED","Mar  5 2020 11:07AM",,,,"-","-","-","Mar  5 2020 12:00AM","Mar  5 2020 11:08AM","Mar 23 2020 12:18PM","2",,"1948498","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
