"the_geom","objectid","borough","school_nam","on_street","from_stree","to_street","open_date","nhoodname","segmentid","shape_leng","shape_stle"
"MULTILINESTRING ((-73.98041832158431 40.67225634955573, -73.97806022667982 40.671112396607555))","19","Brooklyn","P.S. 321 William Penn","2 STREET","6 AVENUE","7 AVENUE","2020-12-18T00:00:00.000","Park Slope","0022880","0.14689821","775.622355106"
"MULTILINESTRING ((-73.9795604183185 40.67928720489687, -73.97912189839005 40.67989495447954))","20","Brooklyn","William A. Butler","GREGORY PLACE","Butler St","Baltic St","2020-09-19T00:00:00.000","Park Slope","0022903","0.0478463","252.628324453"
"MULTILINESTRING ((-73.99654790361978 40.690103508294676, -73.99467739143968 40.68958292231579))","21","Brooklyn","The Sterling School","PACIFIC STREET","Clinton St","Henry St","2020-09-19T00:00:00.000","Cobble Hill","0023804","0.10460651","552.32230585"
"MULTILINESTRING ((-73.99446357009565 40.692434305960354, -73.99343745100131 40.69215442662119))","22","Brooklyn","Mary McDowell Friends School","AITKEN PLACE","Sidney Pl","Clinton St","2020-09-19T00:00:00.000","Brooklyn Heights","0023828","0.05724892","302.274157234"
"MULTILINESTRING ((-73.9946184770177 40.694119857255124, -73.99274351280302 40.693604787062135))","23","Brooklyn","Brooklyn Heights Synagogue Preschool","REMSEN STREET","Clinton St","Henry St","2020-09-19T00:00:00.000","Brooklyn Heights","0023848","0.10469076","552.767189838"
"MULTILINESTRING ((-73.99455172766994 40.69612411610934, -73.99532561877429 40.696378625975186))","24","Brooklyn","Saint Ann's School","LOVE LANE","Hicks St","Henry St","2020-09-19T00:00:00.000","Brooklyn Heights","0023849","0.04427522","233.773361348"
"MULTILINESTRING ((-73.99378504776432 40.69587017774887, -73.99455172766994 40.69612411610934))","25","Brooklyn","Saint Ann's School","LOVE LANE","Hicks St","Henry St","2020-09-19T00:00:00.000","Brooklyn Heights","0023855","0.04391226","231.856684994"
"MULTILINESTRING ((-73.99292874285145 40.68851940474838, -73.99150862247093 40.68795838611117))","26","Brooklyn","Brooklyn Heights Montessori School","DEAN STREET","Court St","Boerum Pl","2020-09-19T00:00:00.000","Cobble Hill","0023974","0.08403812","443.721456428"
"MULTILINESTRING ((-73.99343745100131 40.69215442662119, -73.99144810662484 40.69159656324782))","27","Brooklyn","The Packer Collegiate Institute","LIVINGSTON STREET","Court St","Clinton St","2020-09-19T00:00:00.000","Brooklyn Heights","0023990","0.11134905","587.922995012"
"MULTILINESTRING ((-73.99305362402113 40.701136367649, -73.99145312835168 40.70069059654844))","28","Brooklyn","Robert Fulton","POPLAR STREET","Hicks St","Henry St","2020-09-19T00:00:00.000","Brooklyn Heights","0024037","0.08950092","472.564865473"
"MULTILINESTRING ((-73.9642429954412 40.58241192179182, -73.9630489409753 40.582666698401624))","29","Brooklyn","William E. Grady High School","BRIGHTON 4 ROAD","Brighton 4 St","Brighton 6 St","2020-09-19T00:00:00.000","Brighton Beach","0025542","0.06523018","344.415412232"
"MULTILINESTRING ((-73.97878385653733 40.62332270179219, -73.97656569130656 40.62199488620235))","30","Brooklyn","Barkai Yeshivah","53 STREET","21 Ave","20 Ave","2020-09-19T00:00:00.000","Borough Park","0026526","0.14830795","783.06617233"
"MULTILINESTRING ((-73.9755036718532 40.63059214525096, -73.97226600535771 40.632143202032715))","31","Brooklyn","P.S. 134","WEBSTER AVENUE","Ocean Pkwy","Seton Pl","2020-09-19T00:00:00.000","Kensington","0026704","0.20105499","1061.57001628"
"MULTILINESTRING ((-73.95995550381168 40.62777865435574, -73.9595029008472 40.62538938043741))","32","Brooklyn","Yeshivah of Flatbush Joel Braverman High School","EAST 17 STREET","Ave J","Ave I","2020-09-19T00:00:00.000","Midwood","0027202","0.16657118","879.495907987"
"MULTILINESTRING ((-73.97585622627928 40.656524494583586, -73.97475585685834 40.65601721329233))","33","Brooklyn","15k154","SHERMAN STREET","11 Ave","Terrace Pl","2020-09-19T00:00:00.000","Windsor Terrace","0027796","0.0675933","356.892561553"
"MULTILINESTRING ((-73.97366737157212 40.64839389279247, -73.97350382156021 40.6475956632975))","34","Brooklyn","15K839","EAST 7 STREET","Caton Ave","Kermit Pl","2020-09-19T00:00:00.000","Windsor Terrace","0027883","0.05574562","294.336966413"
"MULTILINESTRING ((-73.95494779964513 40.64790340649727, -73.95421242644096 40.64793602009635))","35","Brooklyn","Success Academy Ditmas Park Middle School","ALBEMARLE ROAD","Oakland Pl","Lott St",,"Flatbush","0028475","0.03871398","204.409813505"
"MULTILINESTRING ((-73.95421242644096 40.64793602009635, -73.95412499118846 40.646687516218094))","36","Brooklyn","Success Academy Ditmas Park Middle School","LOTT STREET","Tilden Ave","Albemarle Rd",,"Flatbush","0028480","0.08627097","455.510873357"
"MULTILINESTRING ((-73.94661131944574 40.64106434685902, -73.94650889751153 40.640103995194565))","37","Brooklyn","Success Academy East Flatbush Middle School","EAST 32 STREET","Ave D","Newkirk Ave",,"Flatbush","0028783","0.0664839","351.034935551"
"MULTILINESTRING ((-73.97821249512235 40.66696329110022, -73.975831175539 40.6658150629784))","38","Brooklyn","St. Saviour Catholic Academy","7 STREET","8th Ave","Prospect Park West","2020-09-19T00:00:00.000","Park Slope","0028886","0.14809466","781.939788787"
"MULTILINESTRING ((-73.97882263205274 40.674170995167295, -73.97632218659065 40.67319914916185))","39","Brooklyn","The Berkeley Carroll School","CARROLL STREET","6th Ave","7th Ave","2020-09-19T00:00:00.000","Park Slope","0028905","0.14748986","778.746667596"
"MULTILINESTRING ((-73.974596217459 40.675731307400405, -73.97209556500466 40.674758298961905))","40","Brooklyn","The Berkeley Carroll School","LINCOLN PLACE","7th Ave","8th Ave","2020-09-19T00:00:00.000","Park Slope","0029029","0.1475334","778.976027061"
"MULTILINESTRING ((-73.96534088473403 40.67881810820815, -73.96565848076845 40.67793902113907))","41","Brooklyn","PS9","UNDERHILL AVENUE","St. Marks Ave","Bergen St","2020-09-19T00:00:00.000","Prospect Heights","0029232","0.06291108","332.170644322"
"MULTILINESTRING ((-73.96652909185569 40.686627015016114, -73.96609442281242 40.684430283373))","42","Brooklyn","PS 11 Purvise Behan Elementary","WAVERLY AVENUE","Greene Ave","Gates Ave","2020-09-19T00:00:00.000","Clinton Hill","0029264","0.1532882","809.361426251"
"MULTILINESTRING ((-73.96254620641318 40.677286600695474, -73.95943247947851 40.67663325620243))","43","Brooklyn","Brooklyn Arts and Science Elementary School","ST MARKS AVENUE","Classon Ave","Grand Ave","2020-09-19T00:00:00.000","Crown Heights","0029328","0.16967349","895.876155171"
"MULTILINESTRING ((-73.96115463858668 40.68500158375344, -73.96071786420912 40.682801649973385))","44","Brooklyn","PS 56","DOWNING STREET","Gates Ave","Putnam Ave","2020-09-19T00:00:00.000","Clinton Hill","0029462","0.15352314","810.602396304"
"MULTILINESTRING ((-73.95753445337775 40.68242097046511, -73.95596589816596 40.682599322969175))","45","Brooklyn","Clinton Hill Middle School","JEFFERSON AVENUE","Claver Pl","Franklin Ave","2020-09-19T00:00:00.000","Bedford-Stuyvesant","0029557","0.08330881","439.870307971"
"MULTILINESTRING ((-73.95284890435985 40.674461848175184, -73.95008222363606 40.674312789470505))","46","Brooklyn","Success Academy Prospect Heights","PROSPECT PLACE","Rogers Ave","Nostrand Ave",,"Crown Heights","0029667","0.14571237","769.361281608"
"MULTILINESTRING ((-73.97678627770826 40.69808693019642, -73.97643354804805 40.69634404275886))","47","Brooklyn","Success Academy Fort Greene","NORTH PORTLAND AVENUE","Park Ave","Flushing Ave",,"Fort Greene","0029959","0.12168075","642.474307199"
"MULTILINESTRING ((-73.96480114736623 40.71504671295079, -73.96320169946414 40.714455135774124))","48","Brooklyn","14k084","SOUTH 1 STREET","Berry St","Wythe Ave","2020-09-19T00:00:00.000","Williamsburg","0030613","0.09337234","493.005964629"
"MULTILINESTRING ((-73.96102925395896 40.71196946179703, -73.95953292582516 40.711423677221234))","49","Brooklyn","Success Academy Williamsburg","SOUTH 3 STREET","Driggs","Roebling St",,"Williamsburg","0030768","0.0871261","460.025934651"
"MULTILINESTRING ((-73.95309801158744 40.69330791586506, -73.95292613731182 40.69237744462784))","50","Brooklyn","PS 54","SANDFORD STREET","Willoughby Ave","dead end","2020-09-19T00:00:00.000","Bedford-Stuyvesant","0031006","0.06483566","342.332275508"
"MULTILINESTRING ((-73.95386509722184 40.715432608757816, -73.95446008423463 40.7148800943466))","51","Brooklyn","Williamsburg Northside School","HAVEMEYER STREET","N 6 St","N 7 St","2020-09-28T00:00:00.000","Williamsburg","0031124","0.04928843","260.242857338"
"MULTILINESTRING ((-73.94950009618583 40.69684765091365, -73.94663823686888 40.69717996350414))","52","Brooklyn","Success Academy Bed-Stuy 1","MARTIN LUTHER KING JR PLACE","Tompkins Ave","Marcy Ave",,"Bedford-Stuyvesant","0031181","0.15203728","802.756735791"
"MULTILINESTRING ((-74.0096348421949 40.71733252998495, -74.00949371839508 40.71799486681953))","53","Manhattan","The Washington Market School","STAPLE STREET","Jay St","Duane St","2020-09-19T00:00:00.000","Tribeca","0031542","0.04629928","244.460065916"
"MULTILINESTRING ((-74.00662392497361 40.73166936192051, -74.00780712443006 40.73178366944254))","54","Manhattan","75 Morton","BARROW STREET","Hudson St","Greenwich St","2020-09-19T00:00:00.000","West Village","0031939","0.06260541","330.556304351"
"MULTILINESTRING ((-74.00546268963856 40.73244804731569, -74.00586144667194 40.733146976921965))","55","Manhattan","02M003","BEDFORD STREET","Christopher St","Grove St","2020-09-19T00:00:00.000","West Village","0031974","0.05257369","277.589104994"
"MULTILINESTRING ((-74.0064601967853 40.73875456698629, -74.00810300637507 40.73875860544944))","56","Manhattan","West Village Nursery School","HORATIO STREET","Washington St","Greenwich St","2020-09-19T00:00:00.000","West Village","0032018","0.08622298","455.257168412"
"MULTILINESTRING ((-73.99587394732694 40.73868592863053, -73.99871255853022 40.739880860521666))","57","Manhattan","Winston Preparatory School","WEST 16 STREET","6th Ave","7th Ave","2020-09-19T00:00:00.000","Chelsea","0032634","0.17027721","899.063746042"
"MULTILINESTRING ((-73.99145956338647 40.731738142622746, -73.99038995245938 40.73128850656528))","58","Manhattan","Grace Church School","EAST 10 STREET","Broadway","4th Ave","2020-09-19T00:00:00.000","East Village","0032771","0.06414667","338.694464394"
"MULTILINESTRING ((-73.98704384398691 40.72519128438531, -73.9848438278222 40.724254941043924))","59","Manhattan","The STAR Academy and PS 63","EAST 4 STREET","1st Ave","Ave A","2020-09-19T00:00:00.000","East Village","0032902","0.13233569","698.732401576"
"MULTILINESTRING ((-73.98781630299246 40.735292264210585, -73.9862125240365 40.73461767409398))","60","Manhattan","Success Academy Union Square","EAST 16 STREET","Irving Pl","3rd Ave",,"Gramercy","0032968","0.09619146","507.89102411"
"MULTILINESTRING ((-73.9862125240365 40.73461767409398, -73.98477216434102 40.73401230715291))","61","Manhattan","Friends Seminary","EAST 16 STREET","3rd Ave","Rutherford Pl","2020-09-19T00:00:00.000","Gramercy","0033125","0.08637438","456.056654884"
"MULTILINESTRING ((-73.98477216434102 40.73401230715291, -73.98524185675036 40.733372359223374))","62","Manhattan","Friends Seminary","RUTHERFORD PLACE","E 15 St","E 17 St","2020-09-19T00:00:00.000","Gramercy","0033130","0.05057377","267.029644739"
"MULTILINESTRING ((-73.98435960849814 40.734603338990766, -73.98477216434102 40.73401230715291))","63","Manhattan","Friends Seminary","RUTHERFORD PLACE","E 15 St","E 17 St","2020-09-19T00:00:00.000","Gramercy","0033133","0.04617491","243.803447148"
"MULTILINESTRING ((-73.98538705863555 40.73733200978196, -73.98498104335012 40.73792626552013))","64","Manhattan","School of the Future","GRAMERCY PARK EAST","E 20 St","E 21 St","2020-09-19T00:00:00.000","Gramercy","0033146","0.04621172","243.99777557"
"MULTILINESTRING ((-73.95002935127786 40.72599921038465, -73.95097796925845 40.72766438020263))","65","Brooklyn","14K034","ECKFORD STREET","Norman Ave","Meserole Ave","2020-09-19T00:00:00.000","Greenpoint","0035488","0.12522694","661.198276853"
"MULTILINESTRING ((-73.9759935222453 40.78127301683856, -73.97882269776002 40.78246492177084))","66","Manhattan","Rodeph Sholom School","WEST 78 STREET","Columbus Ave","Amsterdam Ave","2020-09-19T00:00:00.000","Upper West Side","0037096","0.16966008","895.804979275"
"MULTILINESTRING ((-73.97500097168975 40.77752776349908, -73.97783286895404 40.77873070538022))","67","Manhattan","The Parkside School","WEST 74 STREET","Columbus Ave","Central Park West","2020-09-19T00:00:00.000","Upper West Side","0037188","0.17016238","898.45740245"
"MULTILINESTRING ((-73.97406653513305 40.778805399411844, -73.97690299425793 40.7799973400835))","68","Manhattan","Park Children’s Day School","WEST 76 STREET","Central Park West","Columbus Ave","2020-09-19T00:00:00.000","Upper West Side","0037198","0.17000032","897.601481584"
"MULTILINESTRING ((-73.97267216396881 40.78580458679003, -73.97551263799738 40.7870024505711))","69","Manhattan","Manhattan Country School","WEST 85 STREET","Amsterdam Ave","Columbus Ave","2020-09-28T00:00:00.000","Upper West Side","0037216","0.17036892","899.547566454"
"MULTILINESTRING ((-73.9750745491302 40.792696375271355, -73.97657361842242 40.79332859680242))","70","Manhattan","West Side Montessori School","WEST 92 STREET","West End Ave","Riverside Drive","2020-09-19T00:00:00.000","Upper West Side","0037247","0.08990743","474.711168814"
"MULTILINESTRING ((-73.97370051200485 40.79457929392021, -73.97321041637765 40.79525200848605))","71","Manhattan","PS 75 - The Emily Dickinson School","WEST END AVENUE","W 95 St","W 96 St","2020-09-19T00:00:00.000","Upper West Side","0037254","0.05305915","280.152391863"
"MULTILINESTRING ((-73.97030053467147 40.78397539696204, -73.9731337572063 40.78517013009808))","72","Manhattan","Rodeph Sholom School","WEST 84 STREET","Central Park West","Columbus Ave","2020-09-19T00:00:00.000","Upper West Side","0037308","0.16993511","897.257069332"
"MULTILINESTRING ((-73.96838464530506 40.78659567925129, -73.97122141662312 40.78779259405785))","73","Manhattan","Trevor Day School","WEST 88 STREET","Columbus Ave","Central Park W","2020-09-19T00:00:00.000","Upper West Side","0037399","0.17016575","898.475115283"
"MULTILINESTRING ((-73.96230346701589 40.77894702455893, -73.9607010988296 40.77827160782889))","74","Manhattan","Marymount School of New York","EAST 82 STREET","5 AVENUE","MADISON AVENUE","2020-11-25T00:00:00.000","Upper East Side","0037484","0.09610627","507.441113689"
"MULTILINESTRING ((-73.95871692673781 40.77233165835202, -73.95647887058442 40.77138717854787))","75","Manhattan","02M167","EAST 76 STREET","2nd Ave","3rd Ave","2020-09-19T00:00:00.000","Upper East Side","0037534","0.13428094","709.003570577"
"MULTILINESTRING ((-73.95810338647968 40.78471298833783, -73.95648686333206 40.784044535106666))","76","Manhattan","The Spence School","EAST 91 STREET","Madison Ave","5th Ave","2020-09-19T00:00:00.000","Upper East Side","0037599","0.09651931","509.621958568"
"MULTILINESTRING ((-73.95207112285216 40.792981154493475, -73.95045939284799 40.79230202794165))","77","Manhattan","Patrick Henry Prep. P.S. 171","EAST 104 STREET","5th Ave","Madison Ave","2020-09-19T00:00:00.000","East Harlem","0037832","0.0966444","510.282080502"
"MULTILINESTRING ((-73.94808305859978 40.77461133049883, -73.94572815018196 40.773621054628066))","78","Manhattan","Chapin School","EAST 84 STREET","East End Ave","York Ave","2020-09-28T00:00:00.000","Upper East Side","0037862","0.14117071","745.381440456"
"MULTILINESTRING ((-73.95494867191023 40.807592789263545, -73.95634478860656 40.80817333723996))","79","Manhattan","03M180","WEST 120 STREET","Morningside Ave","Manhattan Ave","2020-09-19T00:00:00.000","Harlem","0038490","0.08344361","440.582268207"
"MULTILINESTRING ((-73.95286753551343 40.815845612051916, -73.95408981633847 40.81636119848186))","80","Manhattan","Success Academy Harlem 6","WEST 131 STREET","Convent Ave","Amsterdam Ave",,"West Harlem","0038663","0.07329078","386.975501707"
"MULTILINESTRING ((-73.94423160447234 40.81967265176306, -73.94561265815237 40.820255527412655))","81","Manhattan","Success Academy Harlem 5","WEST 140 STREET","Frederick Douglass Blvd","Edgecombe",,"Harlem","0038888","0.08281814","437.279595031"
"MULTILINESTRING ((-73.91016759377558 40.619986650949855, -73.90892756900652 40.61887684485321))","82","Brooklyn","Saint Bernard Catholic Academy","EAST 69 STREET","Avenue U","Veterans Ave","2020-09-28T00:00:00.000","Bergen Beach","0041652","0.10057379","531.029678179"
"MULTILINESTRING ((-73.91838176425145 40.66900222990886, -73.91826102348722 40.668569788466975))","83","Brooklyn","Brownsville Ascend Middle School","LEGION STREET","East New York Ave","Pitkin Ave","2020-09-19T00:00:00.000","Brownsville","0043624","0.03050603","161.071765218"
"MULTILINESTRING ((-73.9402653393878 40.69414838077549, -73.9373417868816 40.69448495981957))","84","Brooklyn","Bedford Stuyvesant New Beginnings Charter School","HART STREET","Lewis Ave","Marcus Garvey Blvd","2020-09-19T00:00:00.000","Bedford-Stuyvesant","0044128","0.15529083","819.935675702"
"MULTILINESTRING ((-73.92082382692132 40.69791764032268, -73.92013104750957 40.69862192987786))","85","Brooklyn","PS 376","HARMAN STREET","Myrtle Ave","Wilson Ave","2020-09-19T00:00:00.000","Bushwick","0045001","0.06070731","320.534638368"
"MULTILINESTRING ((-73.8652070746846 40.70666930116458, -73.86506984269887 40.70566398029743))","86","Queens","Sacred Heart Catholic Academy","84 STREET","77 Ave","78 Ave","2020-09-19T00:00:00.000","Glendale","0052362","0.06974238","368.23952141"
"MULTILINESTRING ((-73.82836085382317 40.70926413565875, -73.82721446124657 40.70999521284671))","87","Queens","28Q335","83 DRIVE","Kew Gardens Rd","Talbot St","2020-09-19T00:00:00.000","Kew Gardens","0056103","0.07853752","414.67823477"
"MULTILINESTRING ((-73.82644099399029 40.70462730787738, -73.82637339513832 40.70425355502978))","88","Queens","Bais Yaakov Academy for Girls","125 STREET","Metropolitan Ave","85 Ave","2020-09-19T00:00:00.000","Kew Gardens","0056207","0.02603277","137.45318865"
"MULTILINESTRING ((-73.80809948288821 40.71330328879832, -73.80777216625502 40.71263316646792))","89","Queens","Growing Up Green Upper","152 STREET","84 Drive","84 rd","2020-09-19T00:00:00.000","Briarwood","0057129","0.04933018","260.463332684"
"MULTILINESTRING ((-73.74878121564646 40.60280210334361, -73.74944307467632 40.6045759267006))","90","Queens","Success Academy Far Rockaway","NAMEOKE STREET","Cornaga Ave","Dinsmore Ave",,"Far Rockaway","0061868","0.12724899","671.874781087"
"MULTILINESTRING ((-73.73883842180616 40.655208771211285, -73.73671949676158 40.65516454357921))","91","Queens","Success Academy Rosedale","148 AVENUE","249 St","253 St",,"Rosedale","0062547","0.11139261","588.152992329"
"MULTILINESTRING ((-73.75314060884705 40.676628908685664, -73.75345949527548 40.675982452055635))","92","Queens","84Q704","218 STREET","136 Ave","137 Ave","2020-09-19T00:00:00.000","Laurelton","0063143","0.04764853","251.584539705"
"MULTILINESTRING ((-73.75282589555201 40.67726823044908, -73.75314060884705 40.676628908685664))","93","Queens","84Q704","218 STREET","136 Ave","137 Ave","2020-09-19T00:00:00.000","Laurelton","0063157","0.04711061","248.743867878"
"MULTILINESTRING ((-73.7535482486458 40.68138914635394, -73.75332783612002 40.68207148170748))","94","Queens","Success Academy Springfield Gardens","RIDGEDALE STREET","Grayson St","Lucas St",,"St. Albans","0063180","0.04848506","256.00088776"
"MULTILINESTRING ((-73.75332783612002 40.68207148170748, -73.75317050130346 40.68269061941278))","95","Queens","Success Academy Springfield Gardens","RIDGEDALE STREET","Grayson St","Lucas St",,"St. Albans","0063181","0.04351363","229.751938231"
"MULTILINESTRING ((-73.91868530728462 40.76207255301091, -73.92059634166327 40.75972487842491))","96","Queens","Our World Neighborhood Charter School","37 STREET","Broadway","31 Ave","2020-09-19T00:00:00.000","Astoria","0067891","0.1905148","1005.91835135"
"MULTILINESTRING ((-73.93174299912981 40.79698741047369, -73.9297772763606 40.796156562159446))","97","Manhattan","Jose Celso Barbosa","EAST 119 STREET","Pleasant Ave","Dead End","2020-09-19T00:00:00.000","East Harlem","0068594","0.11795133","622.783106546"
"MULTILINESTRING ((-73.93647127875678 40.80567020451443, -73.93486966275192 40.80499406286444))","98","Manhattan","Success Academy Harlem 2","EAST 127 STREET","Lexington Ave","3rd Ave",,"East Harlem","0069200","0.09606666","507.231997533"
"MULTILINESTRING ((-73.9344538537308 40.81718851176506, -73.93596012699237 40.817792994569906))","99","Manhattan","Global Community Charter School","WEST 142 STREET","Chisum Pl","5th Ave","2020-09-19T00:00:00.000","Harlem","0069384","0.08930273","471.518331087"
"MULTILINESTRING ((-73.92550118285293 40.81583299646419, -73.92521922447867 40.81650073068087))","100","Bronx","KIPP NYC College Prep","CANAL PLACE","E 144 St","E 146 St","2020-09-19T00:00:00.000","Mott Haven","0069815","0.04838858","255.491743037"
"MULTILINESTRING ((-73.92099461483811 40.8066108700474, -73.92017181447227 40.806265430275225))","101","Bronx","84X394","EAST 136 STREET","Brown Pl","Brook Ave","2020-09-19T00:00:00.000","Mott Haven","0070023","0.04928778","260.239479915"
"MULTILINESTRING ((-73.92124429983352 40.81418827253591, -73.91966348428997 40.813511865468584))","102","Bronx","7X221","EAST 145 STREET","Third Ave","Willis Ave","2020-09-19T00:00:00.000","Mott Haven","0070039","0.09511454","502.204850407"
"MULTILINESTRING ((-73.91923851203418 40.817220615272355, -73.9174602287611 40.81676129112473))","103","Bronx","Immaculate Conception School","EAST 150 STREET","Courtland Ave","Melrose Ave","2020-09-19T00:00:00.000","Melrose","0070069","0.09846384","519.889003366"
"MULTILINESTRING ((-73.90973920908945 40.818995131622266, -73.90874947079332 40.81875952102406))","104","Bronx","84X586","EAST 156 STREET","Eagle Ave","Cauldwell Ave","2020-09-19T00:00:00.000","Melrose","0070566","0.05437132","287.080504842"
"MULTILINESTRING ((-73.93571726069855 40.852335135836995, -73.93513289454422 40.85347885703347))","105","Manhattan","MAFV","BENNETT AVENUE","W 186 St","W 184 ST","2020-09-19T00:00:00.000","Washington Heights","0071137","0.0846518","446.961453204"
"MULTILINESTRING ((-73.93286106035086 40.850506564335504, -73.9340984332216 40.85102126956393))","106","Manhattan","The Equity Project Charter School","WEST 183 STREET","WADSWORTH AVENUE","SAINT NICHOLAS AVENUE","2020-11-25T00:00:00.000","Washington Heights","0071151","0.07392483","390.32280883"
"MULTILINESTRING ((-73.93149524559624 40.85237999080613, -73.93272474163622 40.85289745240783))","107","Manhattan","Zeta Inwood","WEST 186 STREET","Wadsworth Ave","St Nicholas Ave","2020-09-19T00:00:00.000","Washington Heights","0071372","0.07365356","388.890534708"
"MULTILINESTRING ((-73.92937609844267 40.85148726222826, -73.93010055839025 40.85179365452563))","108","Manhattan","Yeshiva University High School for Boys - Marsha Stern Talmudical Academy","WEST 186 STREET","Amsterdam Ave","Audubon Ave","2020-09-28T00:00:00.000","Washington Heights","0071380","0.04344942","229.412937248"
"MULTILINESTRING ((-73.92865975190827 40.8511842922474, -73.92937609844267 40.85148726222826))","109","Manhattan","Yeshiva University High School for Boys - Marsha Stern Talmudical Academy","WEST 186 STREET","Amsterdam Ave","Audubon Ave","2020-09-28T00:00:00.000","Washington Heights","0071386","0.04296324","226.846077371"
