"complaint_inquiry_number","license_type","account_name","bic_number","date_complaint_inquiry","industry_type","account_status","source_of_complaint_inquiry","complaint_inquiry_disposition","complaint_inquiry_status","total_response_time","complaint_or_inquiry","nature_of_complaint_inquiry","complaint_inquiry_street","complaint_inquiry_city","complaint_inquiry_state","complaint_inquiry_zip","complaint_inquiry_borough","account_focus_of_complaint","account_address","account_city","account_state","account_zip","account_phone","vehicle_make","vehicle_model","vehicle_type","vehicle_year","vehicle_color","contacted_complainant","unable_to_contact_complainant","method_used_to_contact","export_date","borough","latitude","longitide","community_board","council_district","census_tract","bin","bbl","nta"
"2010-01979",,,"TWC-0",,"Trade Waste",,"WALK IN","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste;Waste Oil - Trade Waste","147-30 38 Ave.; Apt L-G","nyc","NY","11354-","Queens","Green Bio Resource Inc.","200 E. 16 St.","Paterson","UNLICENSED","11354-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01122",,,"TWC-NaN",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","114-42 165 St","nyc","NY",,"Queens","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-190813",,,,"2014-07-16T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Resolved","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2009-01872",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Resolved","Closed",,"Complaint","Quality of Life-Noise - Trade Waste",,,,,,"N/A",,,,"10022-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-192451",,,,"2015-09-24T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Resolved","Closed","0.0","Inquiry","Information - All;Decals - Trade Waste",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"COMP-192513","Trade Waste","VANQUISH CONTRACTING CORP.","BIC-3359","2015-10-14T00:00:00.000","Trade Waste","Active","E-Mail","Resolved","Closed","1.0","Complaint","Quality of Life-Noise - Trade Waste","123 William Street","New York","NY","10038","Manhattan","VANQUISH CONTRACTING CORP.","56-02 ARNOLD AVENUE","MASPETH","NY","11378-",,,,,,,"True","False","Phone Call","2023-08-25","MANHATTAN","40.709112","-74.006893","1","1","1502","1079063","1000780004","Battery Park City-Lower Manhattan"
"2008-00138",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Licensing - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-194186",,,,"2018-07-16T00:00:00.000","Trade Waste",,"WEB-MAIL","Resolved","Closed","1.0","Complaint","Harassment - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"COMP-193846",,,,"2018-01-23T00:00:00.000","Trade Waste",,"PHONE - 6300","Resolved","Closed","1.0","Complaint","Illegal Dumping - Trade Waste","373 Lincoln Road","Brookyln","NY","11225","Brooklyn",,,,,,,,,,,,"True","False","Phone Call","2023-08-25","BROOKLYN","40.661619","-73.950058","9","40","804","3035434","3013307502","Prospect Lefferts Gardens-Wingate"
"INQ-192395",,,,"2015-09-04T00:00:00.000","Trade Waste",,"PHONE - 6300","Resolved","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"COMP-192130","Transfer Station","COOPER TANK & WELDING CORP.","TS-20","2015-07-02T00:00:00.000","Trade Waste","Active","E-Mail","Violation Written","Closed","7.0","Complaint","Unlicensed Carter - Trade Waste","222 Maspeth Avenue","Brooklyn","NY",,,"COOPER TANK & WELDING CORP.","215 MOORE STREET BROOKLYN, NY 11206-","BROOKLYN","NY","11206-",,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"2009-00273",,"BREEZE CARTING CORP","TWC-3013",,"Trade Waste",,"WEB-MAIL","Unsubstantiated","Closed",,"Complaint","Unlicensed Carter - Trade Waste",,,,,,"BREEZE CARTING CORP","31 BAY STREET","BROOKLYN","WITHDRAWN",,"(718) 254-8070",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00686",,"METROPOLITAN PAPER RECYCLING, INC.","TWC-1431",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All;Decals - Trade Waste",,,,,,"METROPOLITAN PAPER RECYCLING INC.","847 SHEPHERD AVENUE","BROOKLYN","RENEWAL APPROVED",,"(718) 257-8584",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00060",,,"TWC-2488",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Information - All",,,,,,"VILLAGE  RECYCLING","125 LAKE AVE","STATEN ISLAND","RENEWAL APPROVED",,"(718) 494-1718",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-193049",,"IG CONTAINER SERVICE LLC","BIC-490899","2016-07-28T00:00:00.000","Trade Waste","Active","PHONE - OTHER","Violation Written","Closed","0.0","Complaint","Other - All","902 E 92nd St","Brooklyn","NY",,"Brooklyn","IG CONTAINER SERVICE LLC","1384 BROADWAY, 7TH FLOOR","NEW YORK","NY","10018",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2010-00217",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Referred back to 311","Closed",,"Complaint","Misinformation - All","UNKNOWN","nyc","NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00150",,"LANDSOURCE CONTAINER SERVICE INC.","TWC-4439",,"Trade Waste",,"EMAIL","Unsubstantiated","Closed",,"Complaint","Unlicensed Carter - Trade Waste;Other - All",,,,,,"LAND SOURCE CONTAINER SERVICE INC.","8 A LEAHY AVENUE","BRENTWOOD","PENDING",,"(516) 349-1718",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00143",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-192307","Trade Waste","CROWN WASTE CORP","BIC-311","2015-08-11T00:00:00.000","Trade Waste","Active","311/PHONE - 9278","Resolved","Closed","0.0","Inquiry","Contracts - Trade Waste;Rates-Overcharge - Trade Waste","1694 2nd Ave",,"NY",,"Manhattan","CROWN WASTE CORP","P.O. BOX 1133","BETHPAGE","NY","11714-",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"INQ-196760",,,,"2023-01-04T00:00:00.000","Trade Waste",,"WEB-MAIL","Resolved","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","E-Mail","2023-08-25",,,,,,,,,
"2010-00783",,,"TWC-NaN",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","204-19 104 Ave.","nyc","NY",,"Queens","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00987",,,,,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01144",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Referred to Another Agency","Closed",,"Inquiry","Misinformation - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00767",,"LOMANGINO BROS., INC.","TWC-158",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Rates-Overcharge - Trade Waste",,,,,,"LOMANGINO BROS INC","1321  61 STREET","BROOKLYN","RENEWAL APPROVED",,"(718) 871-7722",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00054",,"WASTE MANAGEMENT OF NEW YORK, L.L.C.","TWC-1146",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Billing - All",,,"NY",,,"WASTE MANAGEMENT OF NEW YORK, LLC.","123 VARICK AVENUE","BROOKLYN","RENEWAL PENDING",,"(718) 533-5506",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-02379",,,"TWC-NaN",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","128-13 14 Ave.","nyc","NY",,"Queens","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196556",,,,"2022-07-14T00:00:00.000","Trade Waste",,"WEB-MAIL","Referred to Another Agency","Closed","5.0","Complaint","Decals - Trade Waste","105 W 27th Street","New York","NY","10001","Manhattan",,,,,,,,,,,,"False","True",,"2023-08-25","MANHATTAN","40.745705","-73.991613","5","3","95","1015072","1008030031","Midtown-Midtown South"
"INQ-196243",,,,"2021-11-03T00:00:00.000","Trade Waste",,"WEB-MAIL","Unable to Contact Complainant","Closed","0.0","Inquiry","Other - All",,,,,,,,,,,,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"2010-01511",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-191644",,,,"2015-02-11T00:00:00.000","Trade Waste",,"PHONE - 6300","Unable to Contact Complainant","Closed","6.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"False","True","Phone Call","2023-08-25",,,,,,,,,
"2008-01618",,,,,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,"NY",,,"N/A",,,,"11563-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00451",,"SALIKEGNE EXPRESS INC.","TWC-4446",,"Trade Waste",,"PHONE - 6300","Unsubstantiated","Closed",,"Complaint","Cardboard-Theft - Trade Waste","51 East Broadway","NY","NY",,"NYC","SALIKEGNE EXPRESS INC.","1155 DEAN STREET #4A","BROOKLYN","APPROVED",,"(917) 945-8367",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-00019",,,"TWC-604",,"Trade Waste",,"EMAIL","Unsubstantiated","Closed",,"Complaint","Cardboard-Theft - Trade Waste","72 W. 36th street","NY","NY",,"NYC","M&M SANITATION CORP.","480 WILSON AVE","NEWARK","RENEWAL APPROVED",,"(973) 274-1002",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00871",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Misinformation - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00858",,"STERICYCLE, INC.","TWC-383",,"Trade Waste",,"PHONE - 6275","Referred To BIC Legal","Closed",,"Inquiry","Information - All",,,,,,"STERICYCLE INC.","28161 NORTH KEITH DRIVE","LAKE FOREST","RENEWAL APPROVED",,"(800) 220-2057",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00163",,"WASTE MAVEN CARTING CORP.","TWC-1841",,"Trade Waste",,"PHONE - 6300","Unsubstantiated","Closed",,"Complaint","Containers-Theft - Trade Waste",,,"NY",,,"WASTE MAVEN CARTING CORP.","516 WEST 175TH STREET, APT #43","NEW YORK","RENEWAL EXTENSION",,"(718) 863-0300",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-01204",,,,,"Trade Waste",,"SELF-INITATED",,,,"Inquiry","Hurricane Cleanup","317 Neptune Ave","Brighton Beach","NY","11235","Brooklyn",,,,,"11235",,,,,,,"False","False",,"2023-08-25","BROOKLYN","40.580931","-73.964831","13","48","366","3196369","3072610095","Brighton Beach"
"2012-00847",,"WHITNEY TRUCKING, INC.","TWC-1418",,"Trade Waste",,"PHONE - 6300","Unsubstantiated","Closed",,"Complaint","Criminal - All",,,,,,"WHITNEY TRUCKING, INC.","636 SAW MILL RIVER ROAD","YONKERS","DENIED",,"(914) 969-8902",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00326",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01915",,,,,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","461 Livermore Ave","nyc","NY","10314-","Staten Island","N/A",,,,,,,,,,,"False","False",,"2023-08-25","STATEN IS","40.611958","-74.140081","1","50","18901","5012507","5004640014","Westerleigh"
"2009-01040",,,,,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","2318 Goodwin Ave","Elmsford","NY",,"Bronx","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00223",,,,,"Trade Waste",,"311/PHONE - 9278","Unsubstantiated","Closed",,"Inquiry","Billing - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2006-00989",,,,,"Trade Waste",,"PHONE - 6300","Referred to Another Agency","Closed",,"Complaint","Other - All",,,"NY",,,,,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196075",,,,"2021-07-27T00:00:00.000","Trade Waste",,"WEB-MAIL","Referred To Licensing","Closed","0.0","Complaint","Licensing - All",,,,,,,,,,,,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"2009-00086",,"EMPIRE STATE RUBBISH REMOVAL LLC","TWC-2776",,"Trade Waste",,"PHONE - 6300","Unsubstantiated","Closed",,"Inquiry","Other - All",,,"NY",,,"EMPIRE STATE RUBBISH REMOVAL LLC","3 RIVER PLACE # A2001","LOWELL","APPROVED",,"(848) 565-5900",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2006-01299",,,,,"Trade Waste",,"PHONE - 6300","Referred To Licensing","Closed",,"Complaint","Service - All",,,"NY",,,,,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-192118",,,,"2015-06-30T00:00:00.000","Trade Waste",,"PHONE - 6300","Resolved","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2009-01809",,"CITY WASTE SERVICES OF NEW YORK, INC.","TWC-1153",,"Trade Waste",,"PHONE - OTHER","Resolved","Closed",,"Complaint","Change of Carter - Trade Waste;Contracts - Trade Waste",,,,,,"CITY WASTE SERVICES INC.","167 33 PORTER ROAD","JAMAICA","RENEWAL PENDING",,"(718) 328-8582",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-00455",,,"TWC-NaN",,"Trade Waste",,"MAIL","Granted","Closed",,"Inquiry","FOIL - All",,,,,,"N/A",,,,"11211-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00586",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","FOIL - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00831",,"OIL GORILLAS INC.","TWC-4297",,"Trade Waste",,"EMAIL","Resolved","Closed",,"Complaint","Waste Oil - Trade Waste","UNKNOWN","UNKNOWN",,,,"OIL GORILLAS INC.","2258 84TH STREET FL 3","BROOKLYN","APPROVED",,"(347) 372-5336",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00009",,"CITY WASTE SERVICES OF NEW YORK, INC.","TWC-1153",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Service - All",,,,,,"CITY WASTE SERVICES INC.","167 33 PORTER ROAD","JAMAICA","RENEWAL PENDING","10065-","(718) 328-8582",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-01118",,,,,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry",,,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-01150",,"BIG APPLE SANITATION, INC.","TWC-1815",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Complaint","Containers-Abandoned - Trade Waste","17-43 Fulton street btwn Malcolm X & Utica","Brooklyn",,,"Brooklyn","BIG APPLE SANITATION, INC.","675 JUNIUS STREET","BROOKLYN","RENEWAL APPROVED",,"(718) 747-3995",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00093",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Other - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-194202",,,,"2018-07-23T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed","0.0","Inquiry","Misinformation - All","501 118th Street","New York","NY","10035","Manhattan",,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"INQ-196507","Trade Waste","REPUBLIC SERVICES NATIONAL ACCOUNTS, LLC","BIC-4216","2022-06-02T00:00:00.000","Trade Waste","Active","WEB-MAIL","Referred To BIC Legal","Closed","1.0","Inquiry","Other - All",,,,,,"REPUBLIC SERVICES NATIONAL ACCOUNTS, LLC","18500 NORTH ALLIED WAY","PHOENIX","AZ","85054-",,,,,,,"True","False","E-Mail","2023-08-25",,,,,,,,,
"2008-00683",,"ACTION CARTING ENVIRONMENTAL SERVICES INC.","TWC-1181",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Containers-Unremoved - Trade Waste","399 Exterior Street",,"NY",,"Bronx","ACTION CARTING ENVIRONMENTAL SERVICES INC.","451 FRELINGHUYSEN AVENUE","NEWARK","RENEWAL EXTENSION",,"(973) 623-7600",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00016",,"ACTION CARTING ENVIRONMENTAL SERVICES INC.","TWC-1181",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Complaint","Rates-Overcharge - Trade Waste",,,,,,"ACTION CARTING ENVIRONMENTAL SERVICES INC.","451 FRELINGHUYSEN AVENUE","NEWARK","RENEWAL APPROVED","11102-","(973) 623-7600",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00187",,"ACTION CARTING ENVIRONMENTAL SERVICES INC.","TWC-1181",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Complaint","ON-- SIDEWALK","W. 28TH  6TH & 7TH AVE.",,"NY",,"NYC","ACTION CARTING ENVIRONMENTAL SERVICES INC.","451 FRELINGHUYSEN AVENUE","NEWARK","RENEWAL EXTENSION",,"(973) 623-7600",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00563",,,,,"Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,"10011-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-193816","Trade Waste","ACTION CARTING ENVIRONMENTAL SERVICES INC.","BIC-1181","2018-01-05T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","4.0","Complaint","Containers-Abandoned - Trade Waste","44 W 44th Street","New York","NY","10036",,"ACTION CARTING ENVIRONMENTAL SERVICES INC.","300 FRANK W. BURR BLVD, STE. 39","TEANECK","NJ","07666",,,,,,,"True","False","Phone Call","2023-08-25","MANHATTAN","40.755395","-73.981415","5","4","96","1034203","1012590011","Midtown-Midtown South"
"2009-00983",,,,,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","992 E 233 St","nyc","NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00569",,"STEP-1 TRUCKING LLC","TWC-4147",,"Trade Waste",,"WALK IN","Resolved","Closed",,"Inquiry","FOIL - All",,,,,,"STEP-1 TRUCKING LLC","423 SOUTH 4TH AVE","MT. VERNON","PENDING","10550-","(917) 361-5474",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-189701",,,,"2013-11-07T00:00:00.000","Trade Waste",,"E-Mail","Unsubstantiated","Closed","1.0","Complaint","Unlicensed Carter - Trade Waste;Cardboard-Theft - Trade Waste","65 th St. & Bay Parkway","Brooklyn","NY","11204","Brooklyn",,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2008-01141",,,"TWC-0",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Quality of Life-Odor - Trade Waste",,,"NY",,,"Brown Transport",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
