"fiscal_year","location","print_order","attribute_reference","attribute_category","need_name","category","sub_category","column_l_fy15_weight","column_m_fy15_per_capita_no_ats_growth","column_n_fy14_actual_registers","column_o_projected_register","column_p_projected_formula","column_q_register_change","column_r_register_dollar_change"
"2015","Q232","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","795","778","3207340.51","-17","-70083.28"
"2015","Q226","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q223","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","631","627","2584836.12","-4","-16490.18"
"2015","Q215","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","168","72","296823.29","-96","-395764.38"
"2015","Q108","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","1393","1420","5854014.82","27","111308.73"
"2015","Q207","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","488","449","1851022.99","-39","-160779.28"
"2015","Q114","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","588","507","2090130.64","-81","-333926.20"
"2015","Q197","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","470","452","1863390.63","-18","-74205.82"
"2015","Q183","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","425","390","1607792.80","-35","-144289.10"
"2015","Q155","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","544","558","2300380.47","14","57715.64"
"2015","Q146","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","463","471","1941719.00","8","32980.37"
"2015","Q137","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q124","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","850","884","3644330.35","34","140166.55"
"2015","Q047","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","153","160","659607.30","7","28857.82"
"2015","Q210","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q094","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","401","393","1620160.44","-8","-32980.37"
"2015","Q173","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","890","902","3718536.17","12","49470.55"
"2015","Q172","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q162","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","711","700","2885781.95","-11","-45348.00"
"2015","Q159","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","582","606","2498262.66","24","98941.10"
"2015","Q158","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q133","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","380","425","1752081.90","45","185514.55"
"2015","Q053","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q098","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","221","212","873979.68","-9","-37102.91"
"2015","Q188","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","607","655","2700267.40","48","197882.19"
"2015","Q074","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q067","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q046","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","578","578","2382831.38","0","0.00"
"2015","Q041","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","560","568","2341605.93","8","32980.37"
"2015","Q031","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","488","518","2135478.64","30","123676.37"
"2015","Q026","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","608","646","2663164.49","38","156656.73"
"2015","Q115","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","592","622","2564223.39","30","123676.37"
"2015","Q266","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","410","405","1669630.99","-5","-20612.73"
"2015","Q045","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","349","348","1434645.88","-1","-4122.55"
"2015","Q043","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","691","638","2630184.12","-53","-218494.92"
"2015","Q042","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","442","455","1875758.27","13","53593.09"
"2015","Q566","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q495","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q435","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q178","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","349","352","1451136.07","3","12367.64"
"2015","Q415","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q186","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","350","359","1479993.89","9","37102.91"
"2015","Q221","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","609","615","2535365.57","6","24735.27"
"2015","Q216","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q213","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","361","358","1475871.34","-3","-12367.64"
"2015","Q205","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","279","271","1117209.87","-8","-32980.37"
"2015","Q203","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","843","877","3615472.53","34","140166.55"
"2015","Q191","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","373","373","1537709.53","0","0.00"
"2015","Q199","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","968","1103","4547167.85","135","556543.66"
"2015","Q430","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","K119","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","422","417","1719101.53","-5","-20612.73"
"2015","K198","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","477","469","1933473.91","-8","-32980.37"
"2015","K197","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","517","547","2255032.47","30","123676.37"
"2015","K195","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","423","432","1780939.72","9","37102.91"
"2015","K194","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","418","425","1752081.90","7","28857.82"
"2015","K193","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","855","851","3508286.34","-4","-16490.18"
"2015","K152","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","865","883","3640207.80","18","74205.82"
"2015","K620","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","K134","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","504","522","2151968.83","18","74205.82"
"2015","K207","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","879","871","3590737.26","-8","-32980.37"
"2015","K109","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","287","303","1249131.33","16","65960.73"
"2015","K078","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","K052","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","754","778","3207340.51","24","98941.10"
"2015","K014","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","K728","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","K361","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","578","576","2374586.29","-2","-8245.09"
"2015","K139","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","1007","1011","4167893.65","4","16490.18"
"2015","K251","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","519","514","2118988.46","-5","-20612.73"
"2015","Q229","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","1349","1366","5631397.35","17","70083.28"
"2015","K315","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","805","807","3326894.34","2","8245.09"
"2015","K312","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","849","847","3491796.16","-2","-8245.09"
"2015","K278","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","K277","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","425","435","1793307.36","10","41225.46"
"2015","K269","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","397","385","1587180.07","-12","-49470.55"
"2015","K203","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","711","667","2749737.95","-44","-181392.01"
"2015","K254","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","646","676","2786840.86","30","123676.37"
"2015","K206","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","966","979","4035972.19","13","53593.09"
"2015","K245","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","278","280","1154312.78","2","8245.09"
"2015","K240","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","K236","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","545","512","2110743.37","-33","-136044.01"
"2015","K234","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","K222","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","800","827","3409345.25","27","111308.73"
"2015","K217","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","1230","1227","5058363.51","-3","-12367.64"
"2015","K572","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","K255","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","802","817","3368119.79","15","61838.18"
"2015","K128","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","374","387","1595425.16","13","53593.09"
"2015","K025","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","299","239","332976.63","-60","-44165.46"
"2015","K026","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","277","245","309540.63","-32","-52445.50"
"2015","K028","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","277","249","276158.73","-28","-30390.58"
"2015","K029","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","195","166","523070.37","-29","-40230.73"
"2015","K030","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","345","557","861473.43","212","276411.08"
"2015","K031","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","379","424","471148.66","45","-40683.34"
"2015","K032","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","251","269","422891.29","18","29920.04"
"2015","K034","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","432","430","513801.36","-2","20060.77"
"2015","K035","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","152","142","423423.11","-10","3469.15"
"2015","K038","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","457","418","552593.13","-39","-84001.87"
"2015","K039","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","125","114","294861.69","-11","13714.26"
"2015","K040","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","297","315","367069.52","18","13562.96"
"2015","K041","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","720","669","885774.61","-51","-95192.56"
"2015","K044","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","332","301","346752.79","-31","-3482.95"
"2015","K045","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","861","863","1004071.72","2","59179.90"
"2015","K046","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","437","430","498154.56","-7","-48201.72"
"2015","K048","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","669","667","814489.65","-2","-20765.15"
"2015","K050","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","393","344","821470.67","-49","-143150.38"
"2015","K051","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","251","271","1218506.17","20","152710.40"
"2015","K052","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","688","704","1010324.94","16","-39824.31"
"2015","K054","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","272","245","304378.54","-27","-95140.94"
"2015","K056","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","240","238","284485.27","-2","-29538.82"
"2015","K057","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","183","166","410167.45","-17","-15246.41"
"2015","K058","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","285","249","666266.12","-36","-81111.77"
"2015","K059","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","420","384","407744.80","-36","-74375.03"
"2015","K061","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","495","401","969496.30","-94","-198879.50"
"2015","K062","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","1225","1116","2722265.70","-109","-233832.14"
"2015","K065","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","755","754","825658.70","-1","-6012.10"
"2015","K066","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","505","559","457396.93","54","90247.48"
"2015","K067","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","367","294","402287.67","-73","-94079.25"
"2015","K068","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","717","661","1475131.00","-56","-162153.09"
"2015","K069","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","1313","1346","1442592.71","33","-13141.30"
"2015","K071","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","966","905","2030151.12","-61","-159169.82"
"2015","K073","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","400","121.065","189237.89","-278.935","-243820.64"
"2015","K075","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","656","598","851287.56","-58","-143688.39"
"2015","K078","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","614","539","1521953.05","-75","-214471.72"
"2015","K081","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","453","430","635872.85","-23","-61229.90"
"2015","K084","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","502","598","787016.26","96","165241.88"
"2015","K086","5","NEED_WEIGHT_TOTAL","Need Weights","NA","NA","NA","0","0.00","650","626","838541.37","-24","35690.15"
