"hour_beginning","location","pedestrians","towards_manhattan","towards_brooklyn","weather_summary","temperature","precipitation","lat","long","events","geocoded_column"
"2019-08-12T13:00:00.000","Brooklyn Bridge","2023","868","1155","partly-cloudy-day","83","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-09-24T03:00:00.000","Brooklyn Bridge","0","0","0","partly-cloudy-night","70","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-01-27T05:00:00.000","Brooklyn Bridge","0","0","0","clear-night","30","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-12-08T01:00:00.000","Brooklyn Bridge","3","0","3","clear-night","29","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-11T19:00:00.000","Brooklyn Bridge","1473","823","650","clear-day","76","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-08-02T04:00:00.000","Brooklyn Bridge","0","0","0","partly-cloudy-night","73","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-09-24T21:00:00.000","Brooklyn Bridge","20","14","6","partly-cloudy-night","68","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-08-20T17:00:00.000","Brooklyn Bridge","1773","936","837","partly-cloudy-day","86","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-10-18T19:00:00.000","Brooklyn Bridge","38","27","11","partly-cloudy-night","51","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-04-19T20:00:00.000","Brooklyn Bridge","126","75","51","partly-cloudy-night","64","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-20T14:00:00.000","Brooklyn Bridge","1757","771","986","cloudy","75","0.008","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-09-14T23:00:00.000","Brooklyn Bridge","56","48","8","cloudy","72","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-02-12T16:00:00.000","Brooklyn Bridge","160","81","79","fog","29","0.0246","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-09-04T14:00:00.000","Brooklyn Bridge","1329","619","710","partly-cloudy-day","84","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-03T05:00:00.000","Brooklyn Bridge","1","0","1","partly-cloudy-night","37","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-10-31T00:00:00.000","Brooklyn Bridge","13","11","2","cloudy","61","0","40.7081639691088","-73.9995087014816","Halloween","(40.7081639691088, -73.9995087014816)"
"2019-12-16T21:00:00.000","Brooklyn Bridge","12","0","12","rain","34","0.0048","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-01-16T05:00:00.000","Brooklyn Bridge","4","1","3","clear-night","26","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-08-01T00:00:00.000","Brooklyn Bridge","2","0","2","clear-night","72","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-04-25T08:00:00.000","Brooklyn Bridge","535","219","316","clear-day","53","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-02-27T01:00:00.000","Brooklyn Bridge","0","0","0","cloudy","26","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-07-21T11:00:00.000","Brooklyn Bridge","1779","810","969","partly-cloudy-day","90","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-01-06T18:00:00.000","Brooklyn Bridge","77","62","15","partly-cloudy-night","40","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-10-05T21:00:00.000","Brooklyn Bridge","65","50","15","partly-cloudy-night","53","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-09-22T19:00:00.000","Brooklyn Bridge","592","217","375","partly-cloudy-night","78","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-05-01T09:00:00.000","Brooklyn Bridge","568","262","306","cloudy","54","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-17T23:00:00.000","Brooklyn Bridge","1","0","1","clear-night","37","0","40.7081639691088","-73.9995087014816","St. Patrick's Day","(40.7081639691088, -73.9995087014816)"
"2019-02-19T14:00:00.000","Brooklyn Bridge","1286","1286","0","clear-day","34","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-02-18T16:00:00.000","Brooklyn Bridge","1439","622","817","partly-cloudy-day","40","0.00020","40.7081639691088","-73.9995087014816","Presidents' Day (regional holiday)","(40.7081639691088, -73.9995087014816)"
"2019-04-06T15:00:00.000","Brooklyn Bridge","3514","1854","1660","clear-day","64","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-04-07T02:00:00.000","Brooklyn Bridge","0","0","0","clear-night","51","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-11-25T17:00:00.000","Brooklyn Bridge","71","62","9","clear-night","48","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-07-10T11:00:00.000","Brooklyn Bridge","1642","900","742","partly-cloudy-day","83","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-05-08T05:00:00.000","Brooklyn Bridge","29","20","9","cloudy","58","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-20T21:00:00.000","Brooklyn Bridge","139","66","73","rain","73","0.047","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-07-05T10:00:00.000","Brooklyn Bridge","1683","981","702","cloudy","77","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-05-20T09:00:00.000","Brooklyn Bridge","686","353","333","partly-cloudy-day","74","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-02-01T16:00:00.000","Brooklyn Bridge","668","305","363","partly-cloudy-day","20","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-16T21:00:00.000","Brooklyn Bridge","66","29","37","partly-cloudy-night","73","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-09-02T01:00:00.000","Brooklyn Bridge","0","0","0","partly-cloudy-night","69","0","40.7081639691088","-73.9995087014816","Labor Day","(40.7081639691088, -73.9995087014816)"
"2019-07-06T00:00:00.000","Brooklyn Bridge","8","3","5","cloudy","77","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-04-08T13:00:00.000","Brooklyn Bridge","1641","749","892","partly-cloudy-day","68","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-01-05T05:00:00.000","Brooklyn Bridge","0","0","0","rain","42","0.0308","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-04-08T08:00:00.000","Brooklyn Bridge","311","108","203","cloudy","54","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-05-06T08:00:00.000","Brooklyn Bridge","665","273","392","partly-cloudy-day","56","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-29T21:00:00.000","Brooklyn Bridge","5","0","5","cloudy","54","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-07-21T00:00:00.000","Brooklyn Bridge","11","4","7","partly-cloudy-night","86","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-08-22T01:00:00.000","Brooklyn Bridge","0","0","0","partly-cloudy-night","77","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-30T19:00:00.000","Brooklyn Bridge","1189","439","750","clear-day","58","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-02T14:00:00.000","Brooklyn Bridge","1694","847","847","rain","38","0.0347","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-11-24T05:00:00.000","Brooklyn Bridge","0","0","0","rain","43","0.1058","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-07-24T13:00:00.000","Brooklyn Bridge","2152","975","1177","partly-cloudy-day","80","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-26T15:00:00.000","Brooklyn Bridge","1597","753","844","clear-day","47","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-08-03T00:00:00.000","Brooklyn Bridge","5","3","2","clear-night","73","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-12-06T17:00:00.000","Brooklyn Bridge","70","65","5","cloudy","47","0.00050","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-11-29T04:00:00.000","Brooklyn Bridge","0","0","0","clear-night","32","0","40.7081639691088","-73.9995087014816","Black Friday","(40.7081639691088, -73.9995087014816)"
"2019-09-30T02:00:00.000","Brooklyn Bridge","0","0","0","partly-cloudy-night","64","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-11-12T08:00:00.000","Brooklyn Bridge","132","48","84","rain","51","0.0028","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-09-03T16:00:00.000","Brooklyn Bridge","1895","889","1006","partly-cloudy-day","81","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-10T01:00:00.000","Brooklyn Bridge","36","25","11","partly-cloudy-night","38","0","40.7081639691088","-73.9995087014816","Daylight Saving Time starts","(40.7081639691088, -73.9995087014816)"
"2019-09-17T15:00:00.000","Brooklyn Bridge","1916","908","1008","clear-day","77","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-04-26T18:00:00.000","Brooklyn Bridge","703","371","332","cloudy","55","0.0042","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-12-12T07:00:00.000","Brooklyn Bridge","180","92","88","clear-night","26","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-11-17T10:00:00.000","Brooklyn Bridge","1000","524","476","partly-cloudy-day","38","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-28T08:00:00.000","Brooklyn Bridge","284","106","178","clear-day","36","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-08-08T04:00:00.000","Brooklyn Bridge","0","0","0","partly-cloudy-night","68","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-27T14:00:00.000","Brooklyn Bridge","1299","583","716","partly-cloudy-day","88","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-08-11T01:00:00.000","Brooklyn Bridge","2","1","1","clear-night","68","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-12-27T22:00:00.000","Brooklyn Bridge","30","29","1","clear-night","48","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-12-04T08:00:00.000","Brooklyn Bridge","260","102","158","cloudy","36","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-10-18T16:00:00.000","Brooklyn Bridge","2352","1031","1321","partly-cloudy-day","56","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-02T13:00:00.000","Brooklyn Bridge","2387","1005","1382","partly-cloudy-day","80","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-11-07T04:00:00.000","Brooklyn Bridge","0","0","0","partly-cloudy-night","45","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-19T06:00:00.000","Brooklyn Bridge","139","48","91","cloudy","67","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-15T15:00:00.000","Brooklyn Bridge","1833","840","993","partly-cloudy-day","69","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-05-22T15:00:00.000","Brooklyn Bridge","1954","890","1064","clear-day","75","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-25T03:00:00.000","Brooklyn Bridge","0","0","0","cloudy","54","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-04-05T07:00:00.000","Brooklyn Bridge","137","55","82","partly-cloudy-day","40","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-09-30T16:00:00.000","Brooklyn Bridge","2056","887","1169","cloudy","67","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-13T18:00:00.000","Brooklyn Bridge","1323","733","590","cloudy","64","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-23T17:00:00.000","Brooklyn Bridge","2337","1043","1294","clear-day","84","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-01-20T23:00:00.000","Brooklyn Bridge","8","4","4","partly-cloudy-night","14","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-07-24T03:00:00.000","Brooklyn Bridge","0","0","0","cloudy","67","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-08T06:00:00.000","Brooklyn Bridge","150","70","80","clear-day","64","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-06T23:00:00.000","Brooklyn Bridge","0","0","0","partly-cloudy-night","21","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-10-07T16:00:00.000","Brooklyn Bridge","2239","1073","1166","partly-cloudy-day","76","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-02-16T01:00:00.000","Brooklyn Bridge","1","0","1","partly-cloudy-night","47","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-01-15T11:00:00.000","Brooklyn Bridge","522","292","230","clear-day","30","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-02T18:00:00.000","Brooklyn Bridge","1044","598","446","partly-cloudy-day","75","0.0042","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-07-17T01:00:00.000","Brooklyn Bridge","3","1","2","partly-cloudy-night","80","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-17T14:00:00.000","Brooklyn Bridge","1877","885","992","cloudy","73","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-14T01:00:00.000","Brooklyn Bridge","2","0","2","partly-cloudy-night","42","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-09-05T22:00:00.000","Brooklyn Bridge","11","6","5","partly-cloudy-night","67","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-10-05T03:00:00.000","Brooklyn Bridge","0","0","0","clear-night","46","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-05-24T02:00:00.000","Brooklyn Bridge","1","0","1","clear-night","69","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-05-12T23:00:00.000","Brooklyn Bridge","7","0","7","cloudy","44","0.0023","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-11-27T01:00:00.000","Brooklyn Bridge","1","0","1","clear-night","46","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-12-05T01:00:00.000","Brooklyn Bridge","2","1","1","partly-cloudy-night","37","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-12-21T17:00:00.000","Brooklyn Bridge","30","23","7","partly-cloudy-night","33","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-04-11T12:00:00.000","Brooklyn Bridge","1600","702","898","cloudy","46","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-04-30T20:00:00.000","Brooklyn Bridge","261","157","104","partly-cloudy-night","57","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-02-21T13:00:00.000","Brooklyn Bridge","1958","856","1102","rain","47","0.0346","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-11-16T16:00:00.000","Brooklyn Bridge","2358","1006","1352","clear-day","39","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-02-05T06:00:00.000","Brooklyn Bridge","69","42","27","partly-cloudy-night","37","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-08-10T16:00:00.000","Brooklyn Bridge","3116","1370","1746","partly-cloudy-day","81","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-09-19T19:00:00.000","Brooklyn Bridge","608","264","344","clear-night","65","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-24T07:00:00.000","Brooklyn Bridge","263","120","143","clear-day","68","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-02-07T21:00:00.000","Brooklyn Bridge","78","76","2","cloudy","42","0.0067","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-05-02T17:00:00.000","Brooklyn Bridge","1926","897","1029","partly-cloudy-day","64","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-28T18:00:00.000","Brooklyn Bridge","1511","848","663","partly-cloudy-day","86","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-12-14T09:00:00.000","Brooklyn Bridge","396","237","159","partly-cloudy-day","49","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-05-25T21:00:00.000","Brooklyn Bridge","32","11","21","partly-cloudy-night","62","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-04T02:00:00.000","Brooklyn Bridge","1","0","1","clear-night","57","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-01-14T21:00:00.000","Brooklyn Bridge","5","4","1","clear-night","27","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
