"the_geom","cornerid","rampid","ramp_onstr","geocyclora","borough","stname1","stname2","curb_reveal","ramp_running_slope_total","dws_conditions","gutter_slope","lnd_width","lnd_length","lnd_cross_slope","counter_slope","ramp_width","ramp_right_flare","ramp_left_flare","ramp_length","ramp_cross_slope","ponding","obstacles_ramp","obstacles_landing"
"POINT (-74.00774370993506 40.6371043990518)","1129092","31864","57 STREET","2018-09-04T00:00:00.000","3","8 AVENUE","57 STREET","888.0","888.0","Good Condition","888.0","888.0","888.0","888.0","888.0","45.2","888.0","57.2","888.0","888.0","Yes","None","None"
"POINT (-73.86594773511999 40.742112107203916)","1026862","24434","50 AVENUE","2018-04-08T00:00:00.000","4","97 STREET","50 AVENUE","0.5","12.6","Good Condition","-0.8","48.0","60.0","-3.2","2.1","47.8","13.6","58.8","-23.6","-2.7","No","None","None"
"POINT (-73.95130304102828 40.769970776700546)","1096788","7899","EAST 77 STREET","2018-04-07T00:00:00.000","1","YORK AVENUE","EAST 77 STREET","0.9","1.9","Good Condition","0.4","48.6","60.0","-0.6","-4.7","48.4","3.8","36.4","-7.8","0.2","No","None","None"
"POINT (-73.9679035104278 40.75551315162458)","1090177","9712","2 AVENUE","2018-04-13T00:00:00.000","1","2 AVENUE","EAST 51 STREET","0.4","9.5","Good Condition","-1.3","47.5","60.0","-5.0","-6.6","52.1","29.4","56.4","-24.8","-2.0","No","None","None"
"POINT (-73.97919108949027 40.77663290983288)","1091787","8820","WEST 71 STREET","2018-04-08T00:00:00.000","1","COLUMBUS AVENUE","WEST 71 STREET","1.1","5.3","Good Condition","-0.1","46.7","60.0","-2.7","-2.1","54.0","14.0","40.3","-10.6","1.1","No","None","None"
"POINT (-73.84922505922667 40.847079564878115)","1019640","7183","WILLIAMSBRIDGE ROAD","2018-04-11T00:00:00.000","2","WILLIAMSBRIDGE ROAD","PIERCE AVENUE","2.1","10.2","Good Condition","-1.4","51.6","60.0","-1.1","6.1","46.6","18.3","43.0","-15.5","-1.8","No","None","None"
"POINT (-73.79667094631569 40.73285826065728)","1067950","27478","69 AVENUE","2018-09-07T00:00:00.000","4","173 STREET","69 AVENUE","0.4","3.9","Missing","-1.5","49.2","60.0","0.1","-6.9","48.6","6.3","51.5","-11.5","-0.9","Yes","None","None"
"POINT (-74.00413059064398 40.64404023477215)","1128310","28698","47 STREET","2018-04-18T00:00:00.000","3","47 STREET","7 AVENUE","1.0","2.2","Missing","-0.9","68.0","60.0","-0.2","-6.9","67.1","3.1","51.6","-6.3","-1.4","Yes","None","None"
"POINT (-73.89063323638338 40.702270455557915)","1030159","23017","65 STREET","2018-05-10T00:00:00.000","4","CENTRAL AVENUE","65 STREET","0.9","6.7","Missing","-0.2","48.3","60.0","0.2","1.8","47.0","9.9","56.5","-9.8","1.3","No","None","None"
"POINT (-73.89885901526723 40.66874664796601)","1117486","11731","WILLIAMS AVENUE","2018-05-06T00:00:00.000","3","SUTTER AVENUE","WILLIAMS AVENUE","0.7","7.0","Good Condition","0.1","47.6","60.0","1.0","-7.7","51.7","3.5","59.7","-10.3","1.1","Yes","None","None"
"POINT (-73.81117164115597 40.786434135846456)","1060260","15897","150 PLACE","2018-04-15T00:00:00.000","4","15 DRIVE","150 PLACE","0.9","8.6","Good Condition","-1.8","48.8","60.0","-0.6","0.3","47.3","15.7","59.4","-20.2","-1.8","No","None","None"
"POINT (-73.799716087278 40.78554602286379)","1178082","15290","163 STREET","2018-04-26T00:00:00.000","4","CROSS ISLAND PARKWAY","163 STREET","0.6","1.7","Good Condition","5.6","47.7","12.5","3.9","1.4","51.0","17.0","62.9","-15.1","2.7","No","None","None"
"POINT (-73.72043608362696 40.73152464101086)","1078768","31522","86 AVENUE","2018-05-30T00:00:00.000","4","86 AVENUE","COMMONWEALTH BOULEVARD","0.5","6.5","Missing","1.3","48.8","48.4","1.0","-3.4","53.4","8.3","57.7","-5.7","1.1","Yes","None","None"
"POINT (-73.95282458274772 40.746836190972026)","1037794","27741","VERNON BOULEVARD","2018-03-28T00:00:00.000","4","VERNON BOULEVARD","46 AVENUE","0.5","8.5","Missing","-1.0","45.0","60.0","0.7","-0.7","43.2","31.5","54.0","-18.5","0.6","Yes","None","None"
"POINT (-73.97855952818594 40.613002547634395)","1131613","2480","23 AVENUE","2018-04-24T00:00:00.000","3","64 STREET","23 AVENUE","0.8","5.7","Missing","-0.3","51.2","60.0","0.0","0.3","50.4","9.6","52.0","-7.6","-1.2","No","None","None"
"POINT (-74.1540469626609 40.62847474295361)","1182164","11585","NETHERLAND AVENUE","2018-04-09T00:00:00.000","5","NETHERLAND AVENUE","VAN NAME AVENUE","0.4","9.5","Missing","2.0","53.2","43.5","-1.0","-3.6","49.4","8.7","45.4","-14.0","-0.3","No","None","None"
"POINT (-73.91136838401184 40.60665006847433)","1124579","4396","56 DRIVE","2018-05-08T00:00:00.000","3","56 DRIVE","EAST 65 STREET","0.6","3.3","Good Condition","0.2","47.1","57.6","1.4","-5.1","46.5","10.9","59.7","-8.8","-0.3","No","None","None"
"POINT (-73.98213631888964 40.686758298005685)","1107882","18138","NEVINS STREET","2018-04-18T00:00:00.000","3","NEVINS STREET","STATE STREET","0.6","6.8","Missing","-2.6","48.8","60.0","-2.5","-4.1","49.1","8.0","55.1","-19.7","-1.2","No","None","Utility access"
"POINT (-73.83426708253529 40.84006022686274)","1019058","11510","DUDLEY AVENUE","2018-05-28T00:00:00.000","2","DUDLEY AVENUE","MAYFLOWER AVENUE","0.2","2.0","Good Condition","0.5","46.4","48.9","3.2","1.0","53.5","11.1","61.9","-6.1","1.1","No","None","None"
"POINT (-73.95228407118123 40.78385079642463)","1093050","8219","EAST 93 STREET","2018-04-07T00:00:00.000","1","LEXINGTON AVENUE","EAST 93 STREET","0.6","4.0","Missing","2.5","34.5","60.0","3.6","-9.0","33.4","6.5","50.4","3.2","4.3","No","None","None"
"POINT (-73.87082622061976 40.758920796483814)","1028038","28401","32 AVENUE","2018-04-06T00:00:00.000","4","98 STREET","32 AVENUE","0.5","13.7","Missing","-0.5","46.8","59.6","0.8","-5.3","52.6","11.7","63.5","-15.7","-0.1","No","None","None"
"POINT (-73.89115692467045 40.81814325741446)","1005522","700","BARRETTO STREET, GARRISON AVENUE","2018-03-27T00:00:00.000","2","BARRETTO STREET","GARRISON AVENUE","1.1","10.5","Missing","-2.2","46.1","58.5","-0.6","-3.4","52.8","39.7","55.4","-32.8","1.3","No","None","None"
"POINT (-73.99651352091944 40.57541487590963)","1133958","34274","WEST 30 STREET","2018-05-26T00:00:00.000","3","MERMAID AVENUE","WEST 30 STREET","0.8","9.8","Good Condition","1.4","52.6","60.0","1.9","-4.6","48.3","19.8","53.0","-13.5","1.7","No","None","None"
"POINT (-73.89778916689967 40.821104143160866)","1006154","326","ROGERS PLACE, EAST 163 STREET","2018-03-20T00:00:00.000","2","ROGERS PLACE","EAST 163 STREET","0.5","6.1","Good Condition","0.4","61.3","60.0","1.1","-11.1","61.0","13.7","43.8","-12.9","0.0","Yes","None","None"
"POINT (-74.00377401815079 40.72002754715024)","1087510","23887","LISPENARD STREET","2018-05-28T00:00:00.000","1","LISPENARD STREET","CHURCH STREET","0.4","2.2","Missing","2.1","45.0","60.0","2.4","-5.4","49.5","4.7","48.9","0.7","2.6","No","None","Utility access"
"POINT (-73.98661670371848 40.59489440452546)","1136100","30864","BENSON AVENUE","2018-05-23T00:00:00.000","3","26 AVENUE","BENSON AVENUE","0.9","6.2","Missing","-0.1","43.8","36.9","0.4","-3.1","42.2","1.7","59.3","-11.9","-2.6","No","None","None"
"POINT (-73.82239935215185 40.828354907738536)","1003750","5511","EDISON AVENUE, PHILIP AVENUE","2018-05-26T00:00:00.000","2","EDISON AVENUE","PHILIP AVENUE","0.6","5.4","Missing","1.2","46.4","60.0","1.0","-9.7","51.3","11.2","56.6","-5.0","2.0","No","None","None"
"POINT (-73.94299703231664 40.60037345875706)","1131697","6031","AVENUE U","2018-05-10T00:00:00.000","3","AVENUE U","EAST 29 STREET","0.7","7.4","Good Condition","0.0","51.8","60.0","-1.5","-3.8","44.6","22.5","60.2","-34.6","0.8","No","None","None"
"POINT (-73.82541996789466 40.813455178467805)","1017779","3636","ROBINSON AVENUE","2018-05-28T00:00:00.000","2","ROBINSON AVENUE","HARDING AVENUE","0.9","9.1","Missing","-0.2","42.6","60.0","4.1","0.1","45.4","17.3","56.7","-11.5","4.2","No","None","None"
"POINT (-73.72643325236685 40.75623129688125)","1074231","14003","63 AVENUE, 252 STREET","2018-05-26T00:00:00.000","4","63 AVENUE","252 STREET","0.8","3.4","Missing","1.0","29.4","34.2","1.4","1.4","46.3","3.1","64.0","1.1","1.0","No","None","None"
"POINT (-73.82016020101561 40.821893329686766)","1097405","4233","DEWEY AVENUE","2018-05-29T00:00:00.000","2","DEWEY AVENUE","REVERE AVENUE","0.6","3.2","Missing","-1.0","47.9","31.1","-1.4","3.5","50.9","11.4","59.6","-14.3","0.2","No","None","None"
"POINT (-73.82437324251394 40.75185457566692)","1056562","10167","COLDEN STREET","2018-04-22T00:00:00.000","4","COLDEN STREET","ELDER AVENUE","0.6","11.4","Good Condition","3.8","48.5","39.6","7.2","-4.4","48.4","19.4","37.7","1.7","3.7","No","None","None"
"POINT (-73.89808140986311 40.70832287681029)","1030371","23114","PALMETTO STREET","2018-05-09T00:00:00.000","4","FRESH POND ROAD","PALMETTO STREET","1.1","6.8","Missing","-0.8","47.7","60.0","1.1","-8.1","48.4","3.9","55.3","-10.1","-0.8","Yes","None","Utility access"
"POINT (-74.14938764845525 40.630266789033776)","1145690","19324","DAVID PLACE, GRANITE AVENUE","2018-04-11T00:00:00.000","5","DAVID PLACE","GRANITE AVENUE","0.9","8.9","Missing","2.2","62.0","56.3","-0.5","6.9","83.4","23.5","59.5","-24.1","-2.4","No","None","None"
"POINT (-73.71075095643037 40.73883470786023)","1078973","28462","258 STREET, 83 AVENUE","2018-05-26T00:00:00.000","4","258 STREET","83 AVENUE","0.7","10.9","Missing","1.6","55.7","42.4","4.4","-3.8","58.1","14.7","53.7","-9.2","2.6","No","None","None"
"POINT (-73.80539988890199 40.74992259487699)","1055693","36434","OAK AVENUE","2018-04-18T00:00:00.000","4","OAK AVENUE","162 STREET","0.6","5.4","Good Condition","-0.1","60.5","60.0","0.5","-2.2","59.6","6.4","61.7","-7.6","1.0","No","None","None"
"POINT (-73.89916531109822 40.67003648109681)","1117293","11739","BELMONT AVENUE","2018-05-07T00:00:00.000","3","WILLIAMS AVENUE","BELMONT AVENUE","0.3","4.0","Good Condition","-0.9","56.1","60.0","-2.3","-5.9","57.6","6.1","61.7","-9.7","-0.4","Yes","None","None"
"POINT (-73.80082251841634 40.76925823003071)","1059201","10498","164 STREET","2018-04-21T00:00:00.000","4","32 AVENUE","164 STREET","0.9","6.6","Good Condition","1.0","46.8","60.0","-0.5","-3.3","48.1","16.4","41.8","-13.5","0.1","No","None","None"
"POINT (-73.97541214887916 40.63332715336431)","1127280","3039","AVENUE F","2018-04-21T00:00:00.000","3","AVENUE F","EAST 3 STREET","0.3","9.5","Good Condition","2.3","51.9","60.0","1.3","-4.4","51.0","10.0","60.6","-3.3","3.4","No","None","None"
"POINT (-73.98293652929418 40.610258136265415)","1135423","29734","AVENUE O","2018-05-21T00:00:00.000","3","AVENUE O","WEST 9 STREET","0.6","1.6","Missing","-1.1","53.7","60.0","-2.4","-9.0","48.6","7.8","61.9","-9.5","-0.9","No","None","Utility access"
"POINT (-73.98171043427523 40.687355308528005)","1107849","18184","SCHERMERHORN STREET","2018-04-24T00:00:00.000","3","SCHERMERHORN STREET","NEVINS STREET","0.8","3.8","Good Condition","-1.6","48.4","60.0","-1.1","-7.2","55.2","10.6","60.2","-8.7","-1.1","No","Utility access","Utility access"
"POINT (-74.00721626428971 40.72725236062257)","1084522","23826","CHARLTON STREET, HUDSON STREET","2018-05-28T00:00:00.000","1","CHARLTON STREET","HUDSON STREET","1.3","9.1","Good Condition","4.8","46.4","60.0","3.1","-10.3","58.9","12.9","65.8","-8.8","1.5","Yes","None","None"
"POINT (-74.19646933177833 40.54107539235431)","1157306","33418","HUGUENOT AVENUE","2018-05-03T00:00:00.000","5","HUGUENOT AVENUE","SHELDON AVENUE","0.4","10.2","Good Condition","0.1","48.5","57.8","-5.5","-2.8","59.2","7.8","46.7","-10.3","0.0","Yes","None","None"
"POINT (-74.14013910678375 40.5717068593747)","1151387","9582","MC KINLEY AVENUE","2018-03-16T00:00:00.000","5","MC KINLEY AVENUE","CENTER STREET","0.1","8.6","Missing","-1.7","39.4","47.4","-1.8","-5.3","43.0","14.8","42.9","-27.2","-3.9","No","None","None"
"POINT (-73.85522850876636 40.733677082353005)","1026301","22091","63 AVENUE","2018-05-06T00:00:00.000","4","63 AVENUE","102 STREET","0.6","0.0","Good Condition","1.7","55.2","60.0","0.3","0.4","48.7","6.4","55.0","1.2","1.9","No","None","None"
"POINT (-73.91828766108766 40.656762846102716)","1119327","4484","WILLMOHR STREET","2018-05-04T00:00:00.000","3","WILLMOHR STREET","EAST 95 STREET","0.9","18.1","Missing","0.5","37.6","60.0","0.0","-6.4","37.8","22.2","45.2","-24.7","-0.1","No","None","None"
"POINT (-73.89254772448174 40.673749093565235)","1116224","14412","GLENMORE AVENUE","2018-05-07T00:00:00.000","3","GLENMORE AVENUE","BRADFORD STREET","0.6","5.6","Missing","-3.7","35.6","60.0","-1.5","-3.9","41.1","10.8","46.0","-10.1","-4.0","No","None","None"
"POINT (-73.95648391584307 40.59458808617075)","1133591","3647","EAST 14 STREET","2019-08-15T00:00:00.000","3","EAST 14 STREET","GRAVESEND NECK ROAD","0.0","7.7","Good Condition","3.5","48.0","48.0","0.5","5.4","48.0","11.4","47.04","16.3","1.0","No","Wooden Utility Pole","Wooden Utility Pole"
"POINT (-73.93111573084282 40.77149645146103)","1039609","21935","30 AVENUE","2018-03-16T00:00:00.000","4","30 AVENUE","12 STREET","0.9","2.0","Missing","-4.5","42.6","60.0","-4.4","4.6","48.3","3.8","61.8","-16.7","-5.1","No","None","None"
"POINT (-73.86923101290331 40.760926852434814)","1028713","29038","31 AVENUE","2018-04-05T00:00:00.000","4","100 STREET","31 AVENUE","0.6","7.8","Missing","-2.2","39.0","60.0","2.7","-7.5","47.8","5.5","63.7","-22.2","-2.5","No","None","None"
"POINT (-73.92434736505164 40.81132516225778)","1002883","1215","ALEXANDER AVENUE","2018-03-25T00:00:00.000","2","ALEXANDER AVENUE","EAST 140 STREET","1.1","9.8","Missing","0.5","51.6","44.8","-0.8","-0.4","52.1","11.8","61.0","-14.8","2.1","No","None","None"
"POINT (-74.09956706744157 40.58017053113918)","1148133","10389","ADAMS AVENUE, HYLAN BOULEVARD","2018-04-06T00:00:00.000","5","ADAMS AVENUE","HYLAN BOULEVARD","0.1","9.0","Missing","-0.2","56.9","60.0","1.3","0.7","83.9","11.2","53.3","-7.9","-1.2","Yes","None","Utility Vault"
"POINT (-73.8999534470512 40.81945446712684)","1005768","34697","EAST 161 STREET","2018-03-20T00:00:00.000","2","EAST 161 STREET","HEWITT PLACE","1.1","3.8","Good Condition","3.8","48.0","60.0","2.4","-7.5","49.2","12.2","50.4","-9.4","1.8","No","None","None"
"POINT (-73.83707765349494 40.68202270915938)","1044582","20411","LIBERTY AVENUE","2018-08-22T00:00:00.000","4","104 STREET","LIBERTY AVENUE","0.4","4.0","Good Condition","1.4","47.5","60.0","0.4","-3.4","50.0","8.7","61.5","-8.6","1.2","No","None","None"
"POINT (-73.92665721737627 40.81624073621962)","1004868","55","PARK AVENUE","2018-03-26T00:00:00.000","2","EAST 144 STREET","PARK AVENUE","0.4","11.6","Missing","-7.3","59.0","33.4","-9.1","2.7","54.0","11.0","59.0","-36.8","-8.7","No","None","None"
"POINT (-73.71566536126316 40.743793011780525)","1079299","29489","255 STREET, 80 AVENUE","2018-05-30T00:00:00.000","4","255 STREET","80 AVENUE","0.5","15.3","Missing","2.8","48.7","59.1","3.2","-2.8","57.8","21.8","54.2","-13.0","1.3","No","None","None"
"POINT (-73.81596783780527 40.70237201240049)","1168848","26721","VAN WYCK EXPRESSWAY","2018-04-15T00:00:00.000","4","VAN WYCK EXPRESSWAY","JAMAICA AVENUE","0.8","5.4","Good Condition","2.3","60.7","60.0","1.8","-1.3","56.0","11.0","54.3","2.9","5.0","No","None","Utility access"
"POINT (-73.9640115785175 40.63937251286958)","1126420","3175","MARLBOROUGH ROAD","2018-04-20T00:00:00.000","3","DORCHESTER ROAD","MARLBOROUGH ROAD","0.8","6.2","Good Condition","-0.3","49.1","60.0","-1.4","-1.6","48.3","12.1","62.4","-25.2","-0.9","No","None","None"
"POINT (-73.98009141333222 40.63226009156494)","1129500","2127","44 STREET","2018-04-21T00:00:00.000","3","44 STREET","17 AVENUE","1.2","4.8","Good Condition","-1.1","48.4","60.0","-0.4","-4.0","47.7","5.0","53.5","-8.1","-1.5","No","None","Utility Vault"
"POINT (-73.88563857145884 40.85195315882893)","1004085","31046","BEAUMONT AVENUE","2018-04-07T00:00:00.000","2","EAST 183 STREET","BEAUMONT AVENUE","1.2","4.5","Missing","0.9","49.1","60.0","1.2","-1.4","48.7","10.4","56.9","-6.1","0.9","No","None","None"
"POINT (-73.86054205704379 40.747765110444284)","1026974","30743","104 STREET","2018-04-08T00:00:00.000","4","104 STREET","43 AVENUE","0.6","2.2","Good Condition","-1.6","50.7","60.0","-1.5","-2.6","46.3","7.1","54.1","-8.0","-0.8","No","None","None"
"POINT (-74.13843147775472 40.569433589159054)","1151222","10077","BARBARA STREET","2018-03-16T00:00:00.000","5","KENSICO STREET","BARBARA STREET","0.5","7.6","Good Condition","-3.5","60.6","38.7","-1.9","3.3","62.4","2.2","49.1","-7.9","-1.6","No","None","None"
"POINT (-73.84381478217296 40.71299287331513)","1035350","21802","INGRAM STREET","2018-05-10T00:00:00.000","4","ASCAN AVENUE","INGRAM STREET","1.2","7.4","Missing","0.3","66.0","60.0","-0.7","-1.6","57.3","16.5","69.1","-19.1","0.4","No","None","None"
"POINT (-74.1416527414008 40.574467813991994)","1148287","10916","ST GEORGE ROAD","2018-03-16T00:00:00.000","5","ST GEORGE ROAD","LIGHTHOUSE AVENUE","0.4","25.3","Missing","2.8","58.1","60.0","0.4","3.7","57.1","25.9","49.3","-21.3","6.8","No","None","None"
"POINT (-73.90394716243446 40.814114731098556)","1005038","808","EAST 151 STREET","2018-03-25T00:00:00.000","2","EAST 151 STREET","PROSPECT AVENUE","0.5","7.5","Missing","2.8","70.7","60.0","3.9","-1.5","79.7","18.0","80.5","-2.1","2.1","Yes","None","None"
"POINT (-73.96734182359447 40.792882197031915)","1091962","8787","WEST 96 STREET","2018-04-10T00:00:00.000","1","WEST 96 STREET","COLUMBUS AVENUE","0.9","5.3","Missing","0.5","59.8","60.0","2.1","-4.2","59.2","7.1","59.0","-7.3","1.1","No","None","None"
"POINT (-73.80696172479101 40.69396671943881)","1053008","36041","PRINCETON STREET","2018-04-26T00:00:00.000","4","PRINCETON STREET","LIBERTY AVENUE","0.7","3.3","Missing","-0.6","60.2","60.0","1.2","0.2","48.6","4.4","64.6","-8.4","-2.2","No","None","None"
"POINT (-74.00922615610905 40.60838339857138)","1136888","24025","BENSON AVENUE","2018-04-22T00:00:00.000","3","BENSON AVENUE","16 AVENUE","0.8","3.6","Missing","-1.7","67.2","60.0","-1.0","-4.2","58.6","5.2","46.4","-13.8","-2.6","No","None","None"
"POINT (-73.87919332017613 40.75845603576972)","1027711","29337","89 STREET","2018-04-06T00:00:00.000","4","32 AVENUE","89 STREET","1.1","6.3","Missing","1.5","58.5","43.8","0.7","-5.0","53.5","12.8","57.3","-7.3","0.9","No","None","None"
"POINT (-73.92142177892963 40.709046641876554)","1173401","24526","CYPRESS AVENUE","2018-03-26T00:00:00.000","3","CYPRESS AVENUE","JEFFERSON STREET","0.7","2.1","Missing","-5.0","44.4","60.0","-4.9","-3.8","44.8","3.8","50.7","-16.6","-2.7","No","None","None"
"POINT (-73.86273191648677 40.71971933650028)","1035089","24209","65 DRIVE, FITCHETT STREET","2018-05-15T00:00:00.000","4","65 DRIVE","FITCHETT STREET","0.3","4.8","Missing","0.0","58.2","20.2","0.8","-8.2","72.5","8.0","52.1","-6.9","-1.0","Yes","None","None"
"POINT (-73.83810434551235 40.68414514072443)","1043956","35905","104 STREET","2018-04-26T00:00:00.000","4","103 AVENUE","104 STREET","0.5","6.4","Missing","0.7","46.5","43.8","-0.9","-8.3","45.7","20.3","88.2","-16.2","1.4","Yes","None","None"
"POINT (-74.13643510248176 40.56789497056236)","1151366","10938","THOMAS STREET","2018-03-16T00:00:00.000","5","THOMAS STREET","AMBER STREET","1.5","13.3","Good Condition","0.0","46.6","35.2","3.4","20.8","32.8","13.7","40.9","-5.4","3.8","No","None","None"
"POINT (-73.80895758249954 40.67110574098672)","1045762","27938","131 AVENUE","2018-05-12T00:00:00.000","4","130 STREET","131 AVENUE","0.6","9.6","Missing","0.0","68.3","60.0","1.7","-0.5","81.6","11.0","54.8","-8.3","-1.0","No","None","None"
"POINT (-73.92877310266833 40.62804329348513)","1123520","4711","AVENUE J","2018-05-06T00:00:00.000","3","AVENUE J","EAST 49 STREET","0.5","4.1","Missing","1.8","66.5","60.0","1.4","-2.1","52.5","15.3","49.3","-5.2","1.9","No","None","None"
"POINT (-74.01003541800405 40.63490101588262)","1129095","25541","61 STREET","2018-04-20T00:00:00.000","3","8 AVENUE","61 STREET","0.3","3.4","Good Condition","-2.7","64.9","60.0","-0.9","-3.0","59.5","5.5","69.1","-21.2","-0.1","Yes","None","None"
"POINT (-73.83030269368126 40.837665654192406)","1003807","11860","EDISON AVENUE","2018-05-26T00:00:00.000","2","EDISON AVENUE","WATERBURY AVENUE","1.0","5.7","Missing","-1.3","52.5","60.0","-3.8","-3.3","49.9","6.5","58.8","-10.8","-4.1","No","None","None"
"POINT (-73.80232695984053 40.720858327879455)","1069878","25941","165 STREET","2018-04-18T00:00:00.000","4","81 AVENUE","165 STREET","1.0","5.6","Missing","1.5","40.9","30.7","-2.5","1.6","42.4","8.7","41.0","-5.8","2.1","No","None","None"
"POINT (-73.83836222474429 40.7011301748983)","1041190","20657","85 AVENUE","2018-04-23T00:00:00.000","4","85 AVENUE","112 STREET","0.8","4.7","Good Condition","1.8","50.4","60.0","0.5","-12.2","46.1","11.8","65.4","-9.2","-2.0","No","None","None"
"POINT (-73.84863424637423 40.82101605489517)","1003122","5360","CASTLE HILL AVENUE","2018-05-22T00:00:00.000","2","SEWARD AVENUE","CASTLE HILL AVENUE","0.7","4.2","Good Condition","2.3","49.0","60.0","-0.8","1.7","46.8","14.3","56.7","-10.9","0.6","No","None","None"
