"name","fileorder","number","parkprop","borough","parkname","parknumber","commboard","council","location","extant","dedicated","cast","descrip","dimen","sponsor","materials","foundry","fabricator","sculptor","architect","donor","maintain","contractor","name2","name3","maintainedbyparks","installation","rededication","cost","categories","inscribed","x","y"
"American Flagstaff","American Flagstaff","22","N","the Bronx","Greenstreet","XZ121","7","11","intersection of Bainbridge and Jerome Avenues","Y","ca. 1975 (?)","ca. 1975 (?)","flagstaff on octagonal base with ten plaques","base h 2'6"" x w 7'5"" x d 7'5""; plaque h 6"" x w 8¾""",,"base--concrete; plaques--bronze",,,,,,,,,,,,,,"Vietnam War, War Memorial",,,
"American Legion Flagstaff","American Legion Flagstaff","23","Y","Manhattan","St. Catherine's Park","M079","8","5","1st Avenue, East 67th and East 68th Streest","N","November 1941","1941","Flagstaff on base, plaque","Original plaque H: 1'3"" W: 1'10""; Replacement tablet H: 1'4"" W: 1'8""",,"Base--cast stone; Original plaque--bronze; Replacement tablet--granite with bronze decorations",,,,,"Col. Francis Vigo Post No. 1093, American Legion",,,,,,,,,"World War I, War Memorial",,,
"American Memorial to Six Million Jews of Europe","American Memorial to Six Million Jews of Europe","24","Y","Manhattan","Riverside Park","M071","7","6","83rd Street Esplanade","Y","1947","1947","Tablet set in walk","H: 3'11"" W: 3'11"" D: 4""",,"Barre granite",,,,,"American Memorial to Six Million Jews of Europe, Inc.",,,"Warsaw Ghetto",,"Y",,,,"War Memorial, World War II, Holocaust",,"989163.6807774752","226364.23925031722"
"American Museum of Natural History Plaque","American Museum of Natural History Plaque","26","O","Manhattan","Theodore Roosevelt Park","M053","7","6","Power and Service Building, Columbus Avenue at 80th Street","M","1931","ca. 1931","Plaque",,,"Bronze",,,,"Lowbridge and Livingston","$100",,,,,,,,,,,,
"American Redout Marker","American Redoubt Marker","27","Y","Manhattan","Fort Washington Park","M028","12","7","Promontory north of George Washington Bridge, southwest of railroad trestle near 180th Street (cross at 181st Street Pedestrian Bridge and proceed south on greenway)","Y","November 16, 1910","1910","Large boulder resting on several medium-sized boulders, supported by about a dozen small boulders",,,"Boulders and concrete",,,,"Reginald Pelham Bolton","Fort Washington Chapter, Daughters of the American Revolution",,,,,"Y",,,,"Revolutionary War, War Memorial",,"999589.4237054735","249556.72862640023"
"Americans Creed","Americans Creed","28","N","Brooklyn",,,"16","37","P.S. 73, MacDougal Street and Rockaway Avenue","Y","1923","ca. 1923","plaque",,,"bronze",,"Anodion Metal Company",,,"$50; gift",,,,,,,,,,,,
"Othmar Herman Ammann","Ammann, Othmar Herman","30","N","Manhattan",,,"12","10","George Washington Bridge Bus Terminal, Broadway between 178th and 179th Streets","Y","ca. 1965","ca. 1965","bust on stele","h 7' x w 2' x d 1'2""",,"bronze, black granite (polished)",,,"Wheeler Williams",,,,,,,,,,,"Sculpture",,,
"Oscar Ammann Memorial","Ammann, Oscar","31","N","Queens",,,"7","19","P.S. 27, 122nd Street and 14th Avenue, College Point","Y","1926","ca. 1926","mounted cannon",,,"iron, concrete",,,,,"$75; Oscar Ammann Post, American Legion",,,,,,,,,,,,
"Marine Amphitheater Groups","Marine Amphitheater Groups","32","Y","Queens","Flushing Meadows / Corona Park","Q099","15","21","Ederle Terrace Concession Building","Y","1939","ca. 1939","Three panels; two with figures of music and dance, third is of the 'Aquacade'","Each group H: 3' W: 6'",,"Cast stone and imitation limestone",,,,"Sloan & Robertson","New York State (acquired by City in 1940)",,,,,"Y",,,,,,"1028102.5602486432","208588.25347688794"
"Marine Amphitheater Plaque","Marine Amphitheater Plaque","33","Y","Queens","Flushing Meadows / Corona Park","Q099","15","21","Temporary storage in Allied Building (?)","S","1939","ca. 1939","Plaque","H: 3'6¼"" W: 4'10""",,"Bronze",,,,"Sloan & Robertson","New York State (acquired by City in 1940)",,,,,,,,,,,,
"James Amster Plaque","Amster, James","34","Y","Manhattan","Peter Detmold Park","M108N","6","5","Near James Amster Pavillion, East 51st Street and Franklin D. Roosevelt Drive","Y",,,"Plaque set in ground, pavers","L: 1'4"" W: 8""",,"Plaque--brass; Pavers--granite (and muntzmetal?)",,,,,,,,,,"Y",,,,"Civic Leader, Civic Leader",,"994286.8637725562","213835.046789065"
"Captain Roald Amundsen Plaque","Amundsen, Roald Engelbregt Gravning","35","Y","Staten Island","Captain Roald Amundsen Plaza","R009","3","50","Amboy Road and Clarke Avenue","Y","1933","ca. 1933","Plaque on boulder","Plaque L: 5'10"" W: 1'4""; Boulder H: 8' W: 4' D: 6' (approximate)",,"Bronze",,,,,"Norsemen Glee Club of Staten Island; Norwegian Singing Society of Brooklyn",,,,,"Y",,,,"Explorer",,"947860.5635807216","145022.53480805457"
"Hans Christian Andersen","Andersen, Hans Christian","36","Y","Manhattan","Central Park","M010","7","6","On raised plaza west of Conservatory Lake, East 74th Street and East Drive","Y","September 18, 1956","1956","Seated figure (heroic scale) on bench, cygnet figure","Figure H: 9'6"" W: 6'1"" D: 6'2""; Bench H: 3'3"" W: 21'2"" D: 17'4""; Cygnet figure H: 1'10½""","CPC","Figures--bronze; Bench--Stony Creek pink granite (polished)","Modern Art Foundry",,"Georg John Lober","Otto F. Langmann (Bench)","Danish American Women's Association",,,,,"Y",,,"$73,585 (estimated)","Sculpture, Writer, Literary Character, Juvenile, Animal: other",,"993188.4240403026","221439.44759072363"
"José Bonifacio de Andrada e Silva","Andrada e Silva, Jose Bonifacio de","37","Y","Manhattan","Bryant Park","M008","5","3","Avenue of the Americas between West 40th and West 41st Streets","Y","April 22, 1955","1954","Standing figure (heroic scale) with integral plinth on pedestal on base decorated with applied medallion","Figure H: 10'3"" (includes plinth?); Figure weight: 4,000 pounds (approximate)","Bryant Park","Figure, plinth, and medallion--bronze; Pedestal, original base, and replacement base--Barre granite (polished)","Fundição Cavina Ltda., Rio de Janeiro; Carbonic Engineering Co., 551 5th Avenue, New York, NY",,"José Otavio Correia Lima","Clark and Rapuano","United States of Brazil",,,,,"Y",,,,"Sculpture, Politcal Figure, Public Servant",,"988462.0434012264","213899.9741526395"
"George Peirce Andrews","Andrews, George Peirce","38","N","Manhattan",,,"1","1","Part XVIII (Room 317), New York County Court House, Center and Prince Streets","Y","1903","1903","relief bust (heroic scale)",,,"bronze",,,"George Thomas Brewster",,"gift",,,,,,,,,"Sculpture",,"995663.6425150484","232601.86752305925"
"Annadale Memorial","Annadale Memorial","39","Y","Staten Island","Annadale Park","R080","3","1",,"Y","ca. 1953","ca. 1953","Plaque mounted on boulder","Plaque H: 2' W: 1'5½"" D: ¼""",,"Bronze",,,,,,,,,,"Y",,,,"World War II, Korean War, War Memorial",,"934857.0777767152","136530.36019138992"
"African Antelopes","African Antelopes","40","O","Manhattan","Central Park","M010","7","6","Central Park Zoo; Central Park Wildlife Center; center of east façade","Y","1935","1935","Bas-relief in three continuous sections","Total H: 2'1"" W: 23'2"" (approximate)",,"Indiana limestone",,,"Frederick George Richard Roth","Aymar Embury II",,,,,,"Y",,,,"Sculpture, Animal: other",,"992052.1943573803","218826.21134738624"
"Appellate Court Building",,"41","N","Manhattan",,,"5","2","APPELLATE COURT BUILDING; Madison Avenue at 25th St.","Y","1899",,"full standing sculptures","see indiv. listings",,"North Adams, MA marble",,,"see memo",,"mayor appropr. $250,000",,,,,,,,,"Sculpture",,,
"Arbitration Rock and Plaque","Arbitration Rock and Plaque","42","Y","Queens",,,"5","30","north of Flushing Avenue, west of Onderdonk Avenue","N","1769","1769","boulder and separate plaque",,,,,,,,,,,,,,,,,,,,
"Archimedes","Archimedes","43","N","Brooklyn",,,"0","0","Brooklyn Technical High School, Flatbush Avenue and Concord Street","Y","1934","1934","relief plaque",,,,,,"W. Bimel Kehm",,,,,,,,,,,"Sculpture",,,
"Architecture","Architecture","44","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, chief cornice, eighth from left","Y","1905","ca. 1905","female figure (heroic scale)",,,"Westerly granite",,,"Philip Martiny","Horgan and Slattery","$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,"Sculpture",,,
"Argonne-Marine Memorial Oval Marker","Argonne-Marine Memorial Oval Marker","45","Y","Brooklyn","Gerritsen Beach Park","B057","18","46","Burnett Street and Whitney Avenue","Y","May 30, 1971","ca. 1971","Marker","H: 1'10"" W: 2'6"" D: 2'",,"Barre granite (honed finish on face)",,,,,"Argonne-Marine Park Post No. 107 and Ladies Auxiliary, Veterans of Foreign Wars of the United States",,,,,"Y",,,,"War Memorial",,"1003748.2490492165","157691.79359023273"
"Morty Arkin Memorial Plaque","Arkin, Morty","46","Y","Queens","Astoria Park","Q004","1","22","Interior wall of recreation building, Morty Arkin Memorial Athletic Field","Y","May 13, 1972","ca. 1972","Plaque","H: 1'4"" W: 2'",,"Bronze","U.S. Bronze Sign Company, NY",,,,"DPR",,,,,"Y",,,,"Public Servant",,"1004971.5395816416","221981.55707080662"
"Armenian Grove Plaque","Armenian Grove Plaque","48","Y","Manhattan","Union Square Park","M089","5","2","Northeast corner","Y","April 24, 1985","ca. 1985","Plaque set in ground","Plaque H: 1' W: 1'6""",,"Bronze",,,,,"Diocese of the Armenian Church of America",,,,,"Y",,,,,,"987199.6669889688","207623.1350003034"
"Armillary Sphere","Armillary Sphere","49","Y","Manhattan","Sutton Parks","M108P","6","5",,"Y","ca. 1971","1971","Armillary sphere and sundial on circular pedestal","Sphere Diameter: 2'6""; Pedestal Diameter: 1'",,"Bronze, cast stone",,"Kenneth Lynch & Sons","Albert Stewart","Ann Butter, Levine & Blumberg","Hugh Trumbull Adams, through Salute to the Seasons Fund for a Better New York",,,,,"Y",,,,"Sculpture",,"994743.180445224","214428.41961805522"
"Armillary Sphere and Sundial","Armillary Sphere and Sundial","50","Y","Queens","Flushing Meadows / Corona Park","Q099","15","21","Between Queens Museum and Unisphere","N","1964","1961","Armillary sphere and sundial with two seated figures at base set in circular reflecting pool, tablet set in concentric pavement","armillary sphere diameter 8' (approximate); base diameter 3'6""",,"Bronze, granite and bluestone","Bruno Basurtzi, Florence, Italy",,"Paul Howard Manship","Eric Gugler","The New York World's Fair 1964-1965",,,,,,,,,,,,
"Louis Armstrong Memorial","Armstrong, Louis","51","O","Queens","Flushing Meadows / Corona Park","Q099","15","21","Louis Armstrong Stadium, USTA","Y","July 4, 1973","ca. 1973","Plaque in wall over ticket window","H: 1' W: 1'6"" D: 3/8""",,"Bronze",,,,,,,,,,,,,,"Composer/Musician",,,
"The Army: Genius of Patriotism Urging American Soldiers On To Victory","Army, The: Genius of Patriotism Urging American Soldiers On To Victory","52","Y","Brooklyn","Grand Army Plaza","B040","19","33","Soldiers and Sailors Memorial Arch, south façade, west pier","Y","1900","ca. 1900","Group in high relief on platform","H: 22' W: 11'3¾"" D: 7'4½""",,"Bronze","LeBlanc Barbedienne",,"Frederick William MacMonnies","Stanford White","City of Brooklyn",,,"Heroes of the War 1963-65",,"Y",,,"50000.00","Civil War, War Memorial, Sculpture",,"992574.5860291421","184446.2748580575"
"Arsenal Landmark Plaque","Arsenal Landmark Plaque","53","Y","Manhattan","Central Park","M010","7","6","The Arsenal, east façade, left of basement entrance","Y","1958","1958","Plaque and small circular medallion","Plaque H: 1'3"" W: 1'11""; Medallion Diameter: 6""",,"Aluminum",,,,,"The New York Community Trust",,,,,"Y",,,,,,"992215.3882567137","218930.09171706438"
"Arsenal Mural","Arsenal Mural","54","Y","Manhattan","Central Park","M010","7","6","Arsenal lobby","Y","1937","1937","Mural covering north, east, and south walls of lobby, and continuing on west wall at balcony level; complementary painted decoration of west wall and two columns at lobby level","North wall H: 7'½"" W: 20'; East wall H: 21'4½"" W: 33'11""; South wall H: 7'½"" W: 20'; West wall, lobby level H: 12'8"" W: 25' (approximate); West wall, balcony level H:7'6½"" W: 33'11""","HHT","Oil on canvas applied to walls",,,,,"Works Progress Administration",,,,,"Y",,,,,,"992212.8629993051","218940.68913680315"
"Chester Alan Arthur","Arthur, Chester Alan","55","Y","Manhattan","Madison Square Park","M052","5","3","Near northeast entrance, Madison Avenue and East 26th Street","Y","June 13, 1899","1898","Standing figure (heroic scale) on integral plinth on pedestal","Total H: 15'2""; Figure and integral plinth H: 9'  W: 3'9"" D: 5'4"" ; Pedestal H: 9' W: 4'9"" D: 6'4"" (all approximate)",,"Bronze, Barre granite (polished)","The Henry-Bonnard Bronze Company, New York",,"George Edwin Bissell","James Brown Lord","Friends of Chester Alan Arthur",,,,,"Y",,,"$25,000","Sculpture, Politcal Figure, US President",,"987820.4269023091","209876.40083497763"
"The Arts",,"56","O","Manhattan","Bryant Park","M008","5","3","New York Public Library; 42nd St. and 5th Avenue; South Pediment","Y","1914",,"high relief pediment group",,,"Dover, NJ marble",,,"george grey barnard","Carrere and Hastings","purchase - $12,500",,,,,,,,,"Sculpture",,,
"Aspca Headquarters",,"57","N","Manhattan",,,"8","4","ASPCA HEADQUARTERS; 441 E. 92nd St. and York Avenue","Y","1912",,"horse trough, horses, 2 plaques",,,"granite, bronze","modern art foundry",,"Wilhelm Hunt Diederich; John Terken",,"edith g. bowdoin",,,,,,,,,"Sculpture",,,
"Bowdoin Horse Trough I","Bowdoin Horse Trough","58","Y","Queens","Flushing Park Center Plots","Q100","7","20","Northern Boulevard and Linden Place","Y","1909","ca. 1909","Rectangular horse trough with filling at either end and feed pipe at center","H: 1'10"" W: 4'2"" D: 2'8""",,"Trough--(Deer Isle?) granite; Filling--concrete",,,,,"Edith G. Bowdoin",,,,,"Y",,,,"Animal: equestrian",,"1031381.0822348893","217471.552639395"
"Astoria Park War Memorial","Astoria Park Memorial","59","Y","Queens","Astoria Park War Memorial","Q004","1","22","Shore Blvd. (behind swimming pool)","Y","1926","1926","Stele with bas-relief on pedestal on stepped base","Stele H: 6' W: 3'9""; Pedestal H: 3' W: 15'; Base H: 10"" W: 20'; Total H: 12' (all approximate)",,"Concord, Massachusetts granite",,,"Gaetano Cecere (1894-1985)","Ruehl and Warren","Long Island City Committee",,,"Long Island City War Memorial",,"Y",,,,"War Memorial, World War I",,"1005482.7662494779","223226.07065789402"
"Atlantic Avenue Plaque","Atlantic Avenue Plaque","60","Y","Brooklyn",,,"0","0","Atlantic and Bedford Avenues","M",,,"Plaque",,,"Bronze",,,,,,,,,,,,,,,,,
"Australian Tree Marker","Australian Tree Marker","61","Y","Manhattan","Madison Square Park","M052","5","3","5th Avenue and East 24th Street; north of Eternal Light Flagstaff, near dog run","Y","March 14, 1929","1929","Plaque on plinth","Plaque H: 6"" W: 1'1¾"" D: 1/8""; Plinth H: 1'4"" W: 1'5½"" D: 1'2""",,"Bronze, Georgia granite",,,,,"Young Australia League",,,,,"Y",,,"$70","World War I, War Memorial",,"987372.7430863827","209703.12985606492"
"Authority","Authority","62","N","Manhattan",,,"1","1","COUNTY COURT HOUSE; Foley Square, Centre Street between Pearl and Worth","Y","1959","ca. 1906","seated female figure (heroic scale) on pedestal","figure h 7'10""; pedestal h 4' x w 3'7"" x d 5'7""",,"figure--Westerly granite; pedestal--Barre light granite",,,"Philip Martiny",,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,"Sculpture",,,
"Autumn","autumn","63","N","Manhattan",,,"5","2","APPELLATE COURT BUILDING; Madison Avenue at 25th St., madison avenue façade","Y","1899",,"caryatid",,,"north adams marble",,,"thomas shields clark",,"purchase, $4000",,,,,,,,,"Sculpture",,,
"Autumn","Autumn","64","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, beside center window in attic","Y","1903","ca. 1903","female caryatid (heroic scale)",,,"Westerly granite",,,"Henry Kirke Bush-Brown","Horgan and Slattery","$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,"Sculpture",,,
"Avenue of the United Nations Marker","Avenue of the United Nations Marker","65","Y","Queens","Flushing Meadows / Corona Park","Q099","15","21","Near Column of Jerash","M","1964","ca. 1964","Recessed marker",,,"Granite",,,,,,,,,,,,,,,,,
"Baboon and Mandrill","Baboon and Mandrill","66","O","Manhattan","Central Park","M010","7","6","Central Park Zoo; School building, west end of south façade","Y","1935","1935","Bas-relief",,,"Indiana limestone",,,"Frederick George Richard Roth","Aymar Embury II",,,,,,,,,,"Sculpture, Animal: other",,"992260.756604299","219086.1153551489"
"Boy and Duck Fountain","Boy and Duck Fountain","67","Y","Brooklyn","Prospect Park","B073","0","39","Vale of Cashmere, between East Drive and Rose Garden","N","1897","ca. 1896","Figure on pedestal surrounded by six separate spray jets in form of turtles","Figure on pedestal H: 3'10""",,"figure, spray jets--bronze; pedestal--yellow Siena marble",,,"Frederick William MacMonnies; Paul Conkling",,"Frederick William MacMonnies",,,"Baby and Duck; Duck Baby",,,,,"500.00","Animal: other",,,
"Bacchante and Infant Faun","Bacchante and Infant Faun","68","N","Manhattan","Central Park","M010","7","6","Metropolitan Museum of Art","Y","ca. 1920 (?)","ca. 1920 (?)","Group of two figures (life size) on base","h 7'½"" x w 2'5¾"" x d 2'6½""",,"Bronze","Thiebaut Freres,Paris",,"Frederick William MacMonnies",,"Charles Follen McKim",,,,,,,,,"Allegorical, Sculpture, Animal: other",,,
"Clinton L. Bagg",,"69","N","Manhattan",,,"8","5","METROPOLITAN HOSPITAL, ROTUNDA; welfare island","Y",,,"tablet",,,"bronze",,,"margaret ward cole",,,,,,,,,,,"Sculpture",,,
"Bailey Fountain","Bailey, Fountain","70","Y","Brooklyn","Grand Army Plaza","B040","19","33","North side of Grand Army Plaza","Y","1932","1931","Group of three standing figures (heroic scale) on pedestal adorned with three reclining figures (heroic scale), in basin with rockwork coping","H: 25' (approximate)",,"Figures and pedestal--bronze; Basin--stone; Basin coping--aglomerated rocks",,,"Eugene F. Savage","Edgerton Swarthout; H. Craig Severance (advisor)","Frank and Mary Louise Bailey",,,,,"Y",,,"$100,000","Allegorical, Sculpture",,"992547.6907417178","184788.10980431736"
"Baird Court Dolphin Fountains","Baird Court Dolphin Fountains","71","O","the Bronx","Bronx Park","X002","14","12","Bronx Zoo; terrace between Fountain Circle and Baird Court","Y","ca. 1937 (?)","ca. 1937 (?)","two fountains, each consisting of vertical high-relief dolphin in scalloped recess over basin",,,,,,,,,,,,,,,,,,,"1017931.3118903935","250114.4443744719"
"Jaguar","Jaguar","72","O","the Bronx","Bronx Park","X002","14","12","Bronx Zoo; near stairway leading from Fountain Circle to Baird Court","Y","1937","ca. 1926","One of two; crouching jaguar (life size) on pedestal in form of rock outcropping",,,"Marble",,,"Anna Vaughn Hyatt Huntington",,"Anna Vaughn Hyatt Huntington",,,"Baird Court Jaguar",,,,,,,,"1017981.1552946419","250231.93265655637"
"Baisley Pond Park Memorial","Baisley Pond Park Memorial","73","Y","Queens","Baisley Pond Park","Q005","12","28","Near gate house, 125th Avenue at 155th Street","Y","September 5, 1921","ca. 1921","Stele on plinth","Stele H: 6'3"" W: 4'10"" D: 1'3½""; Plinth H: 9"" W: 6'10½"" D: 3'3""; Total H: 7'",,"Granite",,,"James F. Walsh",,"Local citizens",,,"South Jamaica World War Memorial",,"Y",,,"$1,200","World War I, War Memorial",,"1043230.1953476369","185182.34523631632"
"Baker Monument","Baker Monument","74","Y","Staten Island",,"RZ125","1","49","Across the street from Borough Hall; Stuyvesant Place and Hyatt Street","Y","September 13, 1977",,"Plinth and tablet",,,"Granite and bronze",,,,"Albert Melnicker","Richmond County Bar Assn.",,,,,"Y",,,,"Politcal Figure, Public Servant",,"963029.2323902994","173236.4396662265"
"Balto","Balto","75","Y","Manhattan","Central Park","M010","7","6","The Dene, west of 5th Avenue and East 67th Street","Y","1925","ca. 1925","Canine figure on integral plinth on boulder with relief tablet mounted on front","Figure W: 4'6"" D: 2'6"";  tablet: H: 2'6¼"" W: 5'; Total H: 9'","CPC; $100,000 endowment","Figure--bronze; Tablet--slate; Natural boulder--Manhattan schist",,,"Frederick George Richard Roth",,"Balto Monument Committee",,,,,"Y",,,"$7,500","Sculpture, Animal: other",,"992279.1456751376","219800.92626146972"
"Naumburg Bandshell","Naumburg Bandshell","76","Y","Manhattan","Central Park","M010","7","6","North end of Mall","Y","1923","1923","Bandshell, mounted plaque","Bandshell H: 42' W: 60' D: 33'; Plaque H: 10"" W: 1'4½""",,"Bandshell exterior--Indiana limestone; Bandshell interior--cast stone; Plaque--bronze",,,,"Tachau and Vaught","Elkan Naumburg",,,,,,,,,,,"992216.6973092258","220826.76508906484"
"Bernard M. Baruch Bench Plaque","Baruch, Bernard Mannes","77","Y","Manhattan","Central Park","M010","7","6","5th Avenue at 67th Street, front of bench on north side of walk","N","ca. 1976","ca. 1976","Plaque on Belgian block platform","original plaque (and replacement tablet?) h 6½"" x w 1'1½""; platform h 8 7/8"" x w 1'4"" x d 2""",,"original plaque--bronze; replacement tablet--marble; platform--stone",,,,,"Gift",,,,,,,,"$35","Business Leader, Philanthropy, Business Leader, Civic Leader",,,
"Major Clarence T. Barrett Memorial","Barrett, Clarence T.","78","Y","Staten Island","Clarence T. Barrett Memorial","R004","1","49","Stuyvesant Place near Borough Hall","Y","November 11, 1915","1915","Standing figure with shield and spear (heroic scale) on integral plinth on broad, bilevel pedestal with bas-relief of two martial scenes separated by classical mask on lower level; large oval basin in front, and small drinking fountain in rear","Figure H: 8'½"" W: 4' D: 2'; Integral plinth Diameter: 3'3""; Pedestal H: 5' W: 12'9"" D: 6'; Total H: 13'2"" (excluding basin)","MAS","Figure--bronze; Pedestal and basin--pink Tennessee marble","Roman Bronze Works, New York",,"Sherry Edmundson Fry",,"Julia Olivia Hardin, trustee for Anna E. Hutchins Barrett",,,"Barrett Memorial Fountain",,"Y",,,,"Civil War, Civic Leader, Allegorical",,"963206.7162873","173113.29457131028"
"Barry, Commodore John",,"79","N","Staten Island",,,"1","49","S. SIDE BOROUGH HALL, W. DRWY; Stuyvesant Pl and Hyatt St","Y","October 29,1939",,"tablet on wall","5'6"" x 3'5""w",,"bronze",,,"e. cascko or e. casoko",,"a.a.r.i.r.",,,,,,,,,,,,
