"building_id","boro","phn","street_address","total_units","aep_start_date","of_b_c_violations_at_start","current_status","discharge_date","aep_round","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"629141","Queens","94-20","ASTORIA BOULEVARD","38","2023-01-31T00:00:00.000","420","AEP Active",,"Aep Round 16","11369","40.762946","-73.874994","3","21","353","4032886","4013740007","East Elmhurst"
"66847","Bronx","690","EAST 189 STREET","36","2020-01-31T00:00:00.000","1357","AEP Discharged","2020-08-10T00:00:00.000","Aep Round 13","10458","40.856121","-73.88348","6","15","389","2012554","2030900054","Belmont"
"396050","Brooklyn","1092","WILLMOHR STREET","39","2018-01-31T00:00:00.000","1528","AEP Discharged","2020-03-18T00:00:00.000","Aep Round 11","11212","40.656896","-73.917927","17","42","890","3102613","3046920003","East Flatbush-Remsen Village"
"222669","Brooklyn","349","CLIFTON PLACE","8","2018-01-31T00:00:00.000","459","AEP Discharged","2018-03-28T00:00:00.000","Aep Round 11","11216","40.68935","-73.949511","3","36","251","3049966","3017890069","Bedford-Stuyvesant (West)"
"327665","Brooklyn","261","LINDEN STREET","8","2023-01-31T00:00:00.000","183","AEP Discharged","2023-06-06T00:00:00.000","Aep Round 16","11237","40.697882","-73.915013","4","37","433","3076168","3033260065","Bushwick (East)"
"68350","Bronx","720 FRONT","EAST 216 STREET","3","2017-01-31T00:00:00.000","259","AEP Discharged","2018-04-19T00:00:00.000","Aep Round 10","10467","40.881161","-73.863095","12","12","390",,,"Williamsbridge-Olinville"
"689552","Queens","1645","PUTNAM AVENUE","6","2022-01-31T00:00:00.000","208","AEP Discharged","2022-06-01T00:00:00.000","Aep Round 15","11385","40.69918","-73.907853","5","34","553","4085423","4035450066","Ridgewood"
"306579","Brooklyn","1141","HANCOCK STREET","3","2009-11-12T00:00:00.000","163","AEP Discharged","2012-01-30T00:00:00.000","Aep Round 3","11221","40.690313","-73.913075","4","37","415","3077906","3033890046","Bushwick (East)"
"187478","Brooklyn","2714","AVENUE D","24","2015-02-02T00:00:00.000","1379","AEP Discharged","2015-06-24T00:00:00.000","Aep Round 8","11226","40.640776","-73.951158","17","45","828","3120435","3052140011","East Flatbush-Erasmus"
"217710","Brooklyn","1639","CARROLL STREET","17","2017-01-31T00:00:00.000","637","AEP Discharged","2017-04-11T00:00:00.000","Aep Round 10","11213","40.666172","-73.932107","9","35","35102","3037945","3014080050","Crown Heights (South)"
"284570","Brooklyn","632","EAST 96 STREET","6","2023-01-31T00:00:00.000","264","AEP Active",,"Aep Round 16","11236","40.653157","-73.912641","17","42","928","3105118","3047550065","East Flatbush-Remsen Village"
"54897","Bronx","2443","CAMBRELENG AVENUE","13","2023-01-31T00:00:00.000","490","AEP Discharged","2023-04-20T00:00:00.000","Aep Round 16","10458","40.855752","-73.884381","6","15","389","2012205","2030750054","Belmont"
"147234","Brooklyn","122","33 STREET","6","2017-01-31T00:00:00.000","332","AEP Discharged","2017-06-23T00:00:00.000","Aep Round 10","11232","40.656775","-74.00399","7","38","84","3010143","3006840015","Sunset Park (West)"
"64591","Bronx","351","EAST 163 STREET","44","2019-01-31T00:00:00.000","2433","AEP Discharged","2019-03-28T00:00:00.000","Aep Round 12","10451","40.82646","-73.915051","4","17","173","2002046","2024240086","Concourse-Concourse Village"
"350014","Brooklyn","2250","PACIFIC STREET","6","2008-11-13T00:00:00.000","431","AEP Discharged","2013-06-20T00:00:00.000","Aep Round 2","11233","40.675464","-73.909807","16","37","36501","3038742","3014420025","Ocean Hill"
"113904","Bronx","4417","3 AVENUE","4","2014-01-31T00:00:00.000","275","AEP Discharged","2014-05-30T00:00:00.000","Aep Round 7","10457","40.851816","-73.89306","6","15","37504","2011534","2030480050","Tremont"
"56833","Bronx","1208","CLAY AVENUE","11","2017-01-31T00:00:00.000","734","AEP Active",,"Aep Round 10","10456","40.832475","-73.910555","4","16","17701","2002083","2024260060","Concourse-Concourse Village"
"808947","Brooklyn","1350","NEW YORK AVENUE","42","2023-01-31T00:00:00.000","1091","AEP Discharged","2023-05-30T00:00:00.000","Aep Round 16","11210","40.639958","-73.945512","17","45","830","3337095","3049640040","East Flatbush-Farragut"
"371699","Brooklyn","145","SOMERS STREET","6","2007-11-13T00:00:00.000","534","AEP Discharged","2010-09-10T00:00:00.000","Aep Round 1","11233","40.679244","-73.90699","16","37","369","3041985","3015400052","Ocean Hill"
"37304","Manhattan","305","WEST 99 STREET","47","2020-01-31T00:00:00.000","384","AEP Discharged","2020-08-17T00:00:00.000","Aep Round 13","10025","40.797322","-73.972092","7","7","187","1057089","1018880063","Upper West Side-Manhattan Valley"
"4175","Manhattan","2819","FREDERICK DOUGLASS BOULEVARD","44","2021-02-01T00:00:00.000","876","AEP Active",,"Aep Round 14","10039","40.826066","-73.939568","10","9","23502","1060854","1020460007","Harlem (North)"
"167029","Brooklyn","315","68 STREET","17","2018-01-31T00:00:00.000","397","AEP Discharged","2018-05-22T00:00:00.000","Aep Round 11","11220","40.636186","-74.025113","10","47","68","3144695","3058540072","Bay Ridge"
"535348","Queens","20-10","121 STREET","3","2012-01-31T00:00:00.000","162","AEP Discharged","2012-06-15T00:00:00.000","Aep Round 5","11356","40.781444","-73.846885","7","19","925","4099171","4041630027","College Point"
"807595","Brooklyn","1311","AVENUE K","38","2020-01-31T00:00:00.000","1373","AEP Discharged","2020-10-15T00:00:00.000","Aep Round 13","11230","40.622615","-73.96259","14","44","534","3179934","3067150042","Midwood"
"317766","Brooklyn","249","JEFFERSON STREET","8","2008-11-13T00:00:00.000","540","AEP Discharged","2011-12-09T00:00:00.000","Aep Round 2","11237","40.702955","-73.927604","4","34","427","3072108","3031650041","Bushwick (West)"
"876311","Brooklyn","1575","EAST NEW YORK AVENUE","3","2015-02-02T00:00:00.000","154","AEP Discharged","2016-09-21T00:00:00.000","Aep Round 8","11212","40.672676","-73.909933","16","41","363","3391263","3014610125","Ocean Hill"
"162262","Brooklyn","837","60 STREET","27","2012-01-31T00:00:00.000","751","AEP Discharged","2012-06-21T00:00:00.000","Aep Round 5","11220","40.634959","-74.008654","12","38","10402","3140883","3057070062","Sunset Park (East)-Borough Park (West)"
"95624","Bronx","900","MELROSE AVENUE","24","2022-01-31T00:00:00.000","1235","AEP Discharged","2022-06-29T00:00:00.000","Aep Round 15","10451","40.824537","-73.913641","3","17","141","2001504","2023830005","Morrisania"
"388441","Brooklyn","655","WARWICK STREET","6","2023-01-31T00:00:00.000","773","AEP Active",,"Aep Round 16","11207","40.666891","-73.884171","5","42","1124","3090478","3040790011","East New York-New Lots"
"317673","Brooklyn","992","JEFFERSON AVENUE","9","2015-02-02T00:00:00.000","863","AEP Discharged","2022-10-04T00:00:00.000","Aep Round 8","11221","40.686955","-73.918027","3","41","375","3039903","3014880039","Bedford-Stuyvesant (East)"
"686416","Queens","1673","PALMETTO STREET","6","2012-01-31T00:00:00.000","252","AEP Discharged","2012-05-15T00:00:00.000","Aep Round 5","11385","40.701119","-73.90943","5","34","549","4082387","4034480050","Ridgewood"
"289024","Brooklyn","1","ELTON STREET","28","2021-02-01T00:00:00.000","1664","AEP Discharged","2021-05-28T00:00:00.000","Aep Round 14","11208","40.6836","-73.885595","5","37","117202","3086553","3039090008","Cypress Hills"
"56780","Bronx","1046","CLAY AVENUE","6","2022-01-31T00:00:00.000","229","AEP Discharged","2022-07-08T00:00:00.000","Aep Round 15","10456","40.8285","-73.912758","4","16","143","2002052","2024250005","Concourse-Concourse Village"
"78278","Bronx","1125","FINDLAY AVENUE","11","2023-01-31T00:00:00.000","852","AEP Discharged","2023-06-22T00:00:00.000","Aep Round 16","10456","40.830773","-73.913535","4","16","175","2002261","2024340032","Concourse-Concourse Village"
"360624","Brooklyn","1106","REMSEN AVENUE","17","2017-01-31T00:00:00.000","857","AEP Discharged","2018-06-26T00:00:00.000","Aep Round 10","11236","40.642235","-73.908212","18","46","964","3224132","3079940058","Canarsie"
"287549","Brooklyn","1193","EASTERN PARKWAY","16","2022-01-31T00:00:00.000","539","AEP Discharged","2022-06-01T00:00:00.000","Aep Round 15","11213","40.668698","-73.929098","8","41","34901","3037373","3013910049","Crown Heights (North)"
"318016","Brooklyn","425","JEROME STREET","4","2009-11-12T00:00:00.000","732","AEP Discharged","2019-12-20T00:00:00.000","Aep Round 3","11207","40.671197","-73.88619","5","42","1162","3089437","3040300003","East New York (North)"
"33753","Manhattan","432","WEST 49 STREET","10","2017-01-31T00:00:00.000","320","AEP Active",,"Aep Round 10","10019","40.763304","-73.990488","4","3","127","1026618","1010580049","Hell's Kitchen"
"66891","Bronx","265","EAST 194 STREET","26","2013-01-31T00:00:00.000","744","AEP Discharged","2014-05-19T00:00:00.000","Aep Round 6","10458","40.864883","-73.892518","7","15","40501","2092498","2032940002","Bedford Park"
"340178","Brooklyn","53","MONTROSE AVENUE","7","2017-01-31T00:00:00.000","111","AEP Discharged","2017-06-27T00:00:00.000","Aep Round 10","11206","40.706899","-73.947798","1","34","511","3071077","3030500039","East Williamsburg"
"330335","Brooklyn","786","MACON STREET","3","2007-11-13T00:00:00.000","274","AEP Discharged","2009-09-15T00:00:00.000","Aep Round 1","11233","40.684559","-73.919288","3","41","377","3040142","3014970018","Bedford-Stuyvesant (East)"
"234898","Brooklyn","739","DUMONT AVENUE","23","2020-01-31T00:00:00.000","1300","AEP Discharged","2020-03-04T00:00:00.000","Aep Round 13","11207","40.666772","-73.891302","5","42","1158","3084595","3037920055","East New York (North)"
"109419","Bronx","1060","SHERIDAN AVENUE","30","2020-01-31T00:00:00.000","488","AEP Discharged","2020-12-30T00:00:00.000","Aep Round 13","10456","40.830777","-73.918674","4","16","18102","2002734","2024560037","Concourse-Concourse Village"
"265110","Brooklyn","1495","EAST 46 STREET","8","2020-01-31T00:00:00.000","397","AEP Active",,"Aep Round 13","11234","40.624272","-73.931343","18","45","730","3217542","3078260020","Flatlands"
"338100","Brooklyn","738","MILLER AVENUE","6","2020-01-31T00:00:00.000","193","AEP Discharged","2020-10-23T00:00:00.000","Aep Round 13","11207","40.662484","-73.888169","5","42","1122","3096710","3043030027","East New York-New Lots"
"44554","Bronx","1610","ADAMS STREET","3","2007-11-13T00:00:00.000","79","AEP Discharged","2008-11-05T00:00:00.000","Aep Round 1","10460","40.839913","-73.869884","11","13","240","2042570","2040180044","Pelham Parkway-Van Nest"
"806245","Bronx","1191","ANDERSON AVENUE","38","2023-01-31T00:00:00.000","446","AEP Discharged","2023-03-13T00:00:00.000","Aep Round 16","10452","40.836865","-73.923661","4","16","199","2003170","2025100040","Highbridge"
"507430","Queens","143-34","97 AVENUE","3","2013-01-31T00:00:00.000","114","AEP Discharged","2016-04-07T00:00:00.000","Aep Round 6","11435","40.696444","-73.808049","12","28","208","4214296","4100140005","Jamaica"
"381667","Brooklyn","400","TOMPKINS AVENUE","15","2019-01-31T00:00:00.000","489","AEP Active",,"Aep Round 12","11216","40.683641","-73.94398","3","36","267","3052379","3018340039","Bedford-Stuyvesant (West)"
"132357","Brooklyn","5714","6 AVENUE","3","2015-02-02T00:00:00.000","330","AEP Discharged","2017-07-20T00:00:00.000","Aep Round 8","11220","40.639721","-74.012348","7","38","102","3015754","3008480042","Sunset Park (Central)"
"120577","Bronx","2097","WEBSTER AVENUE","8","2008-11-13T00:00:00.000","1039","AEP Discharged","2016-12-22T00:00:00.000","Aep Round 2","10457","40.852463","-73.898018","5","15","379","2013311","2031430122","Mount Hope"
"64076","Bronx","727","EAST 156 STREET","25","2023-01-31T00:00:00.000","744","AEP Discharged","2023-06-20T00:00:00.000","Aep Round 16","10455","40.818282","-73.906723","1","17","77","2004589","2026460039","Melrose"
"317445","Brooklyn","682","JEFFERSON AVENUE","6","2014-01-31T00:00:00.000","96","AEP Active",,"Aep Round 7","11221","40.685524","-73.930494","3","36","295","3045822","3016560034","Bedford-Stuyvesant (East)"
"231260","Brooklyn","278","DEAN STREET","8","2019-01-31T00:00:00.000","343","AEP Discharged","2019-06-26T00:00:00.000","Aep Round 12","11217","40.684427","-73.982545","2","33","39","3001433","3001970021","Downtown Brooklyn-DUMBO-Boerum Hill"
"349862","Brooklyn","1898","PACIFIC STREET","12","2016-02-01T00:00:00.000","383","AEP Discharged","2016-06-14T00:00:00.000","Aep Round 9","11233","40.676215","-73.923592","8","41","307","3035734","3013440107","Crown Heights (North)"
"305647","Brooklyn","1328","HALSEY STREET","6","2011-01-31T00:00:00.000","308","AEP Discharged","2013-07-16T00:00:00.000","Aep Round 4","11237","40.694283","-73.906806","4","37","437","3078927","3034130036","Bushwick (East)"
"213173","Brooklyn","3056","BRIGHTON 13 STREET","5","2008-11-13T00:00:00.000","184","AEP Discharged","2013-02-13T00:00:00.000","Aep Round 2","11235","40.578935","-73.956275","13","48","61004","3245611","3087150045","Brighton Beach"
"84307","Bronx","3075","HEATH AVENUE","43","2019-01-31T00:00:00.000","1018","AEP Discharged","2019-06-11T00:00:00.000","Aep Round 12","10463","40.877627","-73.9017","8","14","277","2015936","2032610061","Kingsbridge Heights-Van Cortlandt Village"
"424588","Queens","71-05","37 AVENUE","54","2023-01-31T00:00:00.000","501","AEP Active",,"Aep Round 16","11372","40.748709","-73.894329","3","25","291","4029506","4012710041","Jackson Heights"
"5836","Manhattan","2304","AMSTERDAM AVENUE","19","2018-01-31T00:00:00.000","2136","AEP Discharged","2018-04-26T00:00:00.000","Aep Round 11","10033","40.84381","-73.934047","12","10","261","1063171","1021310048","Washington Heights (South)"
"52674","Bronx","250","BROOK AVENUE","12","2023-01-31T00:00:00.000","408","AEP Discharged","2023-06-29T00:00:00.000","Aep Round 16","10454","40.807834","-73.919041","1","8","39","2000054","2022660001","Mott Haven-Port Morris"
"130310","Brooklyn","294","5 AVENUE","7","2016-02-01T00:00:00.000","940","AEP Discharged","2019-10-09T00:00:00.000","Aep Round 9","11215","40.673728","-73.982519","6","39","135","3020778","3009690041","Park Slope"
"686416","Queens","1673","PALMETTO STREET","6","2023-01-31T00:00:00.000","252","AEP Active",,"Aep Round 16","11385","40.701119","-73.90943","5","34","549","4082387","4034480050","Ridgewood"
"321766","Brooklyn","540","KOSCIUSZKO STREET","6","2017-01-31T00:00:00.000","279","AEP Discharged","2020-03-12T00:00:00.000","Aep Round 10","11221","40.692791","-73.932476","3","36","289","3043454","3016070026","Bedford-Stuyvesant (East)"
"325949","Brooklyn","415","LINCOLN AVENUE","30","2017-01-31T00:00:00.000","1747","AEP Discharged","2017-05-23T00:00:00.000","Aep Round 10","11208","40.679766","-73.868296","5","37","1188","3093975","3041810020","East New York-City Line"
"375086","Brooklyn","176","ALBANY AVENUE","7","2019-01-31T00:00:00.000","377","AEP Active",,"Aep Round 12","11213","40.674731","-73.938897","8","36","311","3030842","3012230050","Crown Heights (North)"
"122235","Bronx","1531","WESTCHESTER AVENUE","10","2023-01-31T00:00:00.000","549","AEP Discharged","2023-07-13T00:00:00.000","Aep Round 16","10472","40.828642","-73.878571","9","17","54","2025162","2037730005","Soundview-Bruckner-Bronx River"
"363522","Brooklyn","1049","ROGERS AVENUE","6","2019-01-31T00:00:00.000","499","AEP Discharged","2019-06-12T00:00:00.000","Aep Round 12","11226","40.644495","-73.951797","17","45","826","3119171","3051710081","East Flatbush-Erasmus"
"147234","Brooklyn","122","33 STREET","6","2020-01-31T00:00:00.000","332","AEP Discharged","2020-02-28T00:00:00.000","Aep Round 13","11232","40.656775","-74.00399","7","38","84","3010143","3006840015","Sunset Park (West)"
"81553","Bronx","2321","GRAND AVENUE","3","2012-01-31T00:00:00.000","416","AEP Discharged","2019-08-21T00:00:00.000","Aep Round 5","10468","40.860601","-73.904755","7","14","253","2014561","2032090050","University Heights (North)-Fordham"
"346344","Brooklyn","1827","NOSTRAND AVENUE","6","2020-01-31T00:00:00.000","280","AEP Discharged","2020-08-06T00:00:00.000","Aep Round 13","11226","40.641472","-73.948559","17","45","828","3111281","3049470056","East Flatbush-Erasmus"
"221658","Brooklyn","463","CLASSON AVENUE","10","2020-01-31T00:00:00.000","257","AEP Active",,"Aep Round 13","11238","40.684825","-73.959188","3","36","229","3056956","3019850005","Bedford-Stuyvesant (West)"
"129209","Brooklyn","524","4 AVENUE","8","2018-01-31T00:00:00.000","153","AEP Discharged","2018-11-27T00:00:00.000","Aep Round 11","11215","40.667553","-73.991064","6","38","117","3023364","3010330042","Carroll Gardens-Cobble Hill-Gowanus-Red Hook"
"57754","Bronx","1110","COLLEGE AVENUE","11","2023-01-31T00:00:00.000","336","AEP Discharged","2023-05-22T00:00:00.000","Aep Round 16","10456","40.830735","-73.914561","4","16","175","2002252","2024340004","Concourse-Concourse Village"
"506626","Queens","26-11","96 STREET","4","2015-02-02T00:00:00.000","490","AEP Discharged","2018-08-28T00:00:00.000","Aep Round 8","11369","40.7622","-73.873158","3","21","361","4032977","4013760053","East Elmhurst"
"350083","Brooklyn","2364","PACIFIC STREET","3","2011-01-31T00:00:00.000","145","AEP Discharged","2018-09-11T00:00:00.000","Aep Round 4","11233","40.675308","-73.906855","16","37","36502","3038777","3014430023","Ocean Hill"
"92363","Bronx","1040","LONGFELLOW AVENUE","4","2009-11-12T00:00:00.000","353","AEP Discharged","2021-05-19T00:00:00.000","Aep Round 3","10459","40.824378","-73.887691","2","17","119","2006262","2027560070","Longwood"
"347170","Brooklyn","1111","OCEAN AVENUE","102","2023-01-31T00:00:00.000","1318","AEP Active",,"Aep Round 16","11230","40.634932","-73.958119","14","45","766","3121398","3052410031","Flatbush"
"287672","Brooklyn","1588","EASTERN PARKWAY EXTENSION","3","2022-01-31T00:00:00.000","514","AEP Active",,"Aep Round 15","11233","40.671121","-73.915941","16","41","363","3039420","3014680046","Ocean Hill"
"117787","Bronx","3094","VILLA AVENUE","16","2014-01-31T00:00:00.000","967","AEP Discharged","2014-05-30T00:00:00.000","Aep Round 7","10468","40.874414","-73.887849","7","11","411","2017307","2033100023","Bedford Park"
"335768","Brooklyn","20","MENAHAN STREET","6","2017-01-31T00:00:00.000","621","AEP Discharged","2017-06-16T00:00:00.000","Aep Round 10","11221","40.692798","-73.922322","4","37","395","3075861","3033130006","Bushwick (East)"
"66245","Bronx","612","EAST 180 STREET","26","2017-01-31T00:00:00.000","1190","AEP Discharged","2017-06-23T00:00:00.000","Aep Round 10","10457","40.849275","-73.891177","6","15","373","2012012","2030690078","Tremont"
"81989","Bronx","888","GRAND CONCOURSE","81","2015-02-02T00:00:00.000","1034","AEP Discharged","2023-03-10T00:00:00.000","Aep Round 8","10451","40.826613","-73.922751","4","16","5902","2002796","2024590034","Concourse-Concourse Village"
"43499","Manhattan","560","WEST 184 STREET","21","2013-01-31T00:00:00.000","598","AEP Discharged","2013-04-12T00:00:00.000","Aep Round 6","10033","40.850734","-73.931593","12","10","269","1063675","1021540074","Washington Heights (North)"
"3583","Manhattan","2400","ADAM C POWELL BOULEVARD","54","2021-02-01T00:00:00.000","1338","AEP Active",,"Aep Round 14","10030","40.818535","-73.941356","10","9","230","1060413","1020260029","Harlem (North)"
"359185","Brooklyn","281","QUINCY STREET","25","2022-01-31T00:00:00.000","473","AEP Discharged","2022-07-08T00:00:00.000","Aep Round 15","11216","40.687104","-73.949462","3","36","251","3050644","3018030074","Bedford-Stuyvesant (West)"
"70747","Bronx","973","EAST 226 STREET","3","2015-02-02T00:00:00.000","187","AEP Active",,"Aep Round 8","10466","40.886088","-73.852441","12","12","404","2064469","2048620012","Williamsbridge-Olinville"
"78619","Bronx","3347","FISH AVENUE","4","2014-01-31T00:00:00.000","227","AEP Discharged","2018-12-13T00:00:00.000","Aep Round 7","10469","40.874691","-73.849259","12","12","364","2060618","2047350013","Eastchester-Edenwald-Baychester"
"8148","Manhattan","3851","BROADWAY","54","2016-02-01T00:00:00.000","4484","AEP Discharged","2016-06-15T00:00:00.000","Aep Round 9","10032","40.836273","-73.943274","12","7","245","1063351","1021370014","Washington Heights (South)"
"116438","Bronx","1291","UNION AVENUE","3","2008-11-13T00:00:00.000","390","AEP Discharged","2014-04-24T00:00:00.000","Aep Round 2","10459","40.831346","-73.898784","3","17","151","2010176","2029610041","Morrisania"
"685266","Queens","95-13","NORTHERN BOULEVARD","14","2013-01-31T00:00:00.000","394","AEP Discharged","2013-07-08T00:00:00.000","Aep Round 6","11372","40.75688","-73.872901","3","21","353","4431389","4014250033","East Elmhurst"
"50420","Bronx","1384","BOSTON ROAD","14","2023-01-31T00:00:00.000","684","AEP Discharged","2023-07-17T00:00:00.000","Aep Round 16","10456","40.832589","-73.898197","3","17","151","2010189","2029620015","Morrisania"
"301933","Brooklyn","337","GRAFTON STREET","6","2007-11-13T00:00:00.000","425","AEP Discharged","2011-03-23T00:00:00.000","Aep Round 1","11212","40.65977","-73.917051","16","41","894","3081969","3035810006","Brownsville"
"219093","Brooklyn","487","CHAUNCEY STREET","6","2014-01-31T00:00:00.000","779","AEP Discharged","2014-06-11T00:00:00.000","Aep Round 7","11233","40.682039","-73.915268","16","41","373","3040906","3015100050","Ocean Hill"
