"borough_code","tax_block","tax_lot","bbl","zoning_district_1","zoning_district_2","zoning_district_3","zoning_district_4","commercial_overlay_1","commercial_overlay_2","special_district_1","special_district_2","special_district_3","limited_height_district","zoning_map_number","zoning_map_code","notes"
"4","3620","11","4036200011","R6B","R5B","M1-1",,"C1-4",,,,,,"13D",,
"4","1352","76","4013520076","R5","C8-1","R7X",,"C2-3",,,,,,"9D",,
"2","4651","62","2046510062","R7A","R6","R5A",,"C2-4","C1-4",,,,,"2B",,
"4","1343","129","4013430129","R4-1","R7X","R5B",,"C2-3",,,,,,"9D",,
"4","5326","8","4053260008","R5","R4A","R2","R4","C1-2",,,,,,"10C",,
"3","1118","1","3011180001","M1-1","C4-4A","C6-1","R7A","C2-4",,"DB",,,,"16C",,
"1","1524","23","1015240023","R8B","R10","C1-8X","C2-8","C1-5",,,,,,"6B",,
"3","628","2","3006280002","PARK","R6A","R8A",,"C2-4",,"EC-1",,,,"16D",,
"4","9281","3","4092810003","R4-1","R5","R6","M1-1","C2-3",,,,,,"14D","Y",
"3","1097","26","3010970026","R6B",,,,,,,,,,"16D",,
"3","4276","15","3042760015","R4",,,,,,,,,,"18A",,
"3","4800","51","3048000051","R6",,,,,,,,,,"17B",,
"3","5881","23","3058810023","R5B",,,,,,"BR",,,,"22A",,
"4","8912","28","4089120028","R3-1",,,,,,,,,,"18A",,
"4","9408","19","4094080019","R4A",,,,,,,,,,"18A",,
"3","6757","88","3067570088","R4-1",,,,,,,,,,"23B",,
"3","8304","40","3083040040","R5B",,,,,,,,,,"23C",,
"3","8856","1658","3088561658","R4-1",,,,,,"CR-4",,,,"29A",,
"4","8905","14","4089050014","R3-1",,,,,,,,,,"18A",,
"4","9306","24","4093060024","R3-1",,,,,,,,,,"18A",,
"4","16219","3","4162190003","R3X",,,,,,,,,,"30B",,
"2","4088","3","2040880003","R4",,,,,,,,,,"4B",,
"4","1213","90","4012130090","R5B",,,,,,,,,,"9D",,
"4","9474","41","4094740041","R4A",,,,,,,,,,"14D",,
"4","13435","26","4134350026","R3-1",,,,,,,,,,"19B",,
"2","2303","58","2023030058","R6",,,,,,,,,,"6A",,
"3","8655","19","3086550019","R2",,,,,,,,,,"23D",,
"4","4793","69","4047930069","R4A",,,,,,,,,,"10C",,
"4","5538","18","4055380018","R3X",,,,,,,,,,"10D",,
"4","7818","47","4078180047","R2A",,,,,,,,,,"15A",,
"5","4583","55","5045830055","R2",,,,,,"SRD",,,,"26D",,
"2","5859","283","2058590283","R3A",,,,,,,,,,"1C",,
"3","732","55","3007320055","R6B",,,,,,,,,,"22C",,
"3","3790","8","3037900008","R6",,,,,,,,,,"17D",,
"3","5544","52","3055440052","R5",,,,,,,,,,"22D",,
"3","6585","6","3065850006","R5",,,,,,"OP",,,,"22D",,
"3","8504","64","3085040064","R3-2",,,,,,,,,,"23B",,
"4","1930","25","4019300025","R5",,,,,,,,,,"10B",,
"4","7900","70","4079000070","R2A",,,,,,,,,,"11D",,
"4","9159","72","4091590072","R4A",,,,,,,,,,"18A",,
"4","16046","55","4160460055","R4-1",,,,,,,,,,"30C",,
"3","1388","23","3013880023","R6",,,,,,,,,,"17B",,
"3","5433","51","3054330051","R6",,,,"C2-3",,,,,,"22C",,
"3","5760","54","3057600054","R4-1",,,,,,,,,,"22B",,
"3","6106","8","3061060008","R4-1",,,,,,"BR",,,,"22B",,
"4","4503","21","4045030021","R2A",,,,,,,,,,"7D",,
"4","16077","42","4160770042","M1-1",,,,,,,,,,"30C",,
"5","793","48","5007930048","R3-1",,,,,,,,,,"20D",,
"2","3343","683","2033430683","R7B",,,,,,,,,,"1D",,
"3","658","40","3006580040","M1-1D",,,,,,,,,,"16D",,
"3","5082","55","3050820055","C4-4A",,,,,,,,,,"16D",,
"3","6832","11","3068320011","R3-2",,,,,,,,,,"23B",,
"4","2674","59","4026740059","M1-1D",,,,,,,,,,"13C",,
"3","1034","26","3010340026","R6B",,,,,,,,,,"16D",,
"3","5621","31","3056210031","R6",,,,,,,,,,"22C",,
"4","2265","64","4022650064","R6",,,,,,,,,,"14A",,
"4","5223","19","4052230019","R3X",,,,,,,,,,"10D",,
"2","4404","15","2044040015","R3X",,,,,,,,,,"4A",,
"2","5652","150","2056520150",,,,,,,,,,,"2D",,
"3","324","13","3003240013","R6",,,,,,,,,"LH-1","16C",,
"3","1212","52","3012120052","R6B",,,,,,,,,,"17A",,
"3","5324","21","3053240021","R5",,,,,,"OP",,,,"22C",,
"3","6009","1","3060090001","R6B",,,,"C1-3",,"BR",,,,"22B",,
"3","7828","88","3078280088","R3-2",,,,,,,,,,"23B",,
"5","1155","134","5011550134","M3-1",,,,,,,,,,"20C",,
"2","2877","240","2028770240","R7-1",,,,,,,,,,"3B",,
"2","3385","42","2033850042","R4A",,,,,,,,,,"2A",,
"2","4715","55","2047150055","R5D",,,,,,,,,,"2B",,
"2","5626","105","2056260105","R3A",,,,,,,,,,"4D",,
"3","2705","13","3027050013","R6B",,,,,,,,,,"13A",,
"3","5816","70","3058160070","M1-1",,,,,,,,,,"22A",,
"3","7863","75","3078630075","R3-2",,,,,,,,,,"23B",,
"4","3255","45","4032550045","R5D",,,,"C2-3",,"FH",,,,"14A",,
"4","5195","34","4051950034","R3X",,,,,,,,,,"10D",,
"4","9508","59","4095080059","R4-1",,,,,,,,,,"18A",,
"4","13688","58","4136880058","R3X",,,,,,,,,,"19D",,
"3","189","55","3001890055","R6B",,,,,,,,,,"16C",,
"4","4593","33","4045930033","R2A",,,,,,,,,,"7D",,
"3","3363","19","3033630019","R6",,,,,,,,,,"13D",,
"3","4346","12","3043460012","M1-1",,,,,,,,,,"17D",,
"4","5318","39","4053180039","R4",,,,,,,,,,"10C",,
"4","9021","30","4090210030","R5",,,,,,,,,,"18A",,
"4","8708","78","4087080078","R2A",,,,,,,,,,"11D",,
"4","15749","60","4157490060",,,,,,,,,,,"31A",,
"5","1657","73","5016570073","R3-2",,,,,,,,,,"20D",,
"3","2015","80","3020150080","R6B",,,,,,,,,,"16C",,
"3","4127","43","3041270043","R4",,,,,,,,,,"17C",,
"3","5692","22","3056920022","R6",,,,,,,,,,"22C",,
"3","6760","51","3067600051","R5B",,,,,,,,,,"22D",,
"4","799","34","4007990034","R5",,,,,,,,,,"9C",,
"5","3150","50","5031500050",,,,,,,,,,,"27D",,
"5","7306","3","5073060003","R3X","M1-1",,,,,"SRD",,,,"32C",,
"2","4481","55","2044810055","R3-2",,,,,,,,,,"4A",,
"2","5484","37","2054840037","R3A",,,,,,,,,,"4D",,
"3","3401","22","3034010022","R6",,,,,,,,,,"17A",,
"4","1985","24","4019850024","R5",,,,,,,,,,"10B",,
"4","7307","11","4073070011","R3-1",,,,,,,,,,"11B",,
"2","4271","13","2042710013","R4A",,,,,,,,,,"4A",,
"5","4294","38","5042940038","R2",,,,,,,,,,"27B",,
"2","2643","166","2026430166","R7-1",,,,"C1-4",,,,,,"6C",,
"2","3195","14","2031950014","R7-1",,,,,,,,,,"3C",,
"3","414","20","3004140020","R6B",,,,,,,,,,"16C",,
"3","6774","76","3067740076","R7A",,,,"C2-3",,,,,,"22D",,
"4","1530","34","4015300034","R4",,,,,,,,,,"9D",,
"4","13341","37","4133410037","R3-2",,,,"C1-2",,,,,,"19B",,
"5","1615","107","5016150107","R3-2",,,,,,,,,,"20D",,
"5","5660","6","5056600006","R3-2",,,,,,"SRD",,,,"33C",,
"3","6207","52","3062070052","R5",,,,,,,,,,"22D",,
"4","2481","39","4024810039","R4-1",,,,,,,,,,"13C",,
"4","5530","33","4055300033","R3X",,,,,,,,,,"10D",,
"5","918","122","5009180122","R1-2",,,,,,,,,,"27A",,
"2","5753","1000","2057531000",,,,,,,,,,,"1B",,
"3","4717","26","3047170026","R6",,,,,,,,,,"17B",,
"3","8206","43","3082060043","R4-1",,,,,,,,,,"23C",,
"4","1626","64","4016260064","R5",,,,,,,,,,"10B",,
"5","472","66","5004720066","R3X",,,,,,,,,,"20D",,
"5","869","775","5008690775","R2",,,,,,,,,,"27A",,
"5","3709","20","5037090020","R3-1",,,,,,,,,,"27D",,
"4","2825","80","4028250080","R4",,,,,,,,,,"13C",,
"4","8754","42","4087540042","R2A",,,,,,,,,,"11D",,
"3","8409","154","3084090154","R3-2",,,,,,,,,,"23D",,
"4","9617","9","4096170009","R6",,,,,,,,,,"14D",,
"2","3936","27","2039360027","R6",,,,,,,,,,"4B",,
"2","4636","27","2046360027","R4",,,,,,,,,,"2B",,
"3","5483","73","3054830073","M1-1",,,,,,,,,,"22D",,
"4","3220","19","4032200019","R3-2","R3A",,,"C1-3",,,,,,"14B",,
"1","473","17","1004730017","M1-5/R9X",,,,,,"SNX",,,,"12C",,
"3","1520","118","3015200118","R6",,,,,,,,,,"17A",,
"3","7183","25","3071830025","R4",,,,,,"OP",,,,"28C",,
"4","7440","32","4074400032","R2A",,,,,,,,,,"11B",,
"5","201","57","5002010057","R3A",,,,,,,,,,"21A",,
"5","3341","29","5033410029","R3X",,,,,,,,,,"27A",,
"5","5773","57","5057730057","R3-1",,,,,,"SRD",,,,"33A",,
"3","6187","64","3061870064","R5B",,,,,,,,,,"22B",,
"3","6851","33","3068510033","R5",,,,,,,,,,"28C",,
"4","2180","33","4021800033","R4",,,,,,,,,,"14A",,
"4","13673","28","4136730028","R3X",,,,,,,,,,"19D",,
"5","751","260","5007510260","R3-1",,,,,,,,,,"20D",,
"5","2372","85","5023720085","R3-1",,,,,,,,,,"26C",,
"2","4525","33","2045250033","R4",,,,,,,,,,"4A",,
"3","930","75","3009300075","C4-4D",,,,,,"G",,,,"16C",,
"3","6773","53","3067730053","R3-2",,,,,,,,,,"23B",,
"3","7180","27","3071800027","R4",,,,,,"OP",,,,"28C",,
"3","7906","73","3079060073","R4",,,,,,,,,,"23A",,
"4","8991","260","4089910260","R3-1","R4A",,,,,,,,,"18A",,
"3","6209","67","3062090067","R4-1",,,,,,,,,,"22B",,
"4","2401","7","4024010007","R4-1",,,,,,,,,,"13C",,
"4","4673","26","4046730026","R3-1",,,,,,,,,,"10C",,
"4","13272","3","4132720003","R3-2",,,,,,,,,,"19B",,
"1","283","7","1002830007","R7-2",,,,"C1-5",,,,,,"12D",,
"2","3195","157","2031950157","R7-1",,,,,,,,,,"3C",,
"3","5289","77","3052890077","M1-2",,,,,,,,,,"22C",,
"3","6002","53","3060020053","R4-1",,,,,,,,,,"22B",,
"3","6337","70","3063370070","R5B",,,,,,,,,,"22B",,
"3","7811","16","3078110016","R5",,,,,,,,,,"23B",,
"4","2320","47","4023200047","R5",,,,,,,,,,"9D",,
"5","1478","150","5014780150","R3X",,,,,,,,,,"20D",,
"2","4036","23","2040360023","R5",,,,,,,,,,"4B",,
"3","3253","24","3032530024","R6",,,,,,,,,,"13B",,
"3","3791","30","3037910030","R6",,,,"C2-3",,,,,,"17D",,
"3","4719","34","3047190034","R5",,,,,,,,,,"23A",,
"3","8907","550","3089070550","R4",,,,,,,,,,"29A",,
"4","740","4","4007400004","R5",,,,"C1-3",,,,,,"9D",,
"4","1775","51","4017750051","R5A",,,,,,,,,,"10B",,
"5","1701","78","5017010078","R3-2",,,,,,,,,,"20D",,
"1","1109","20","1011090020","M2-3",,,,,,,,,,"8C",,
"3","4234","10","3042340010","R5",,,,,,,,,,"17C",,
"3","7291","146","3072910146","R5",,,,,,,,,,"28C",,
"4","3280","4","4032800004","R3-2",,,,,,,,,,"14B",,
"4","13257","36","4132570036","R2",,,,,,,,,,"19B",,
"2","5625","60","2056250060","R3A",,,,,,,,,,"4D",,
"3","1241","29","3012410029","R6",,,,,,,,,,"17A",,
"3","2735","20","3027350020","R6B",,,,,,,,,,"13A",,
"3","3402","6","3034020006","R6",,,,,,,,,,"17A",,
"5","58","95","5000580095","R2",,,,,,"HS",,,,"21A",,
"5","1057","62","5010570062","R3A",,,,,,,,,,"20C",,
"2","3198","25","2031980025","R7-1",,,,,,,,,,"3C",,
"3","2842","10","3028420010","M1-1",,,,,,,,,,"13A",,
"3","5394","69","3053940069","R5",,,,,,,,,,"22C",,
"4","2387","13","4023870013","R4-1",,,,,,,,,,"13C",,
"4","3792","49","4037920049","M1-1",,,,,,,,,,"13D",,
"1","2064","30","1020640030","R7A",,,,,,,,,,"3B",,
"2","5646","130","2056460130","R3A",,,,,,,,,,"4C",,
"2","5639","78","2056390078",,,,,,,,,,,"4D",,
"3","5893","67","3058930067","R5B",,,,,,"BR",,,,"22A",,
"3","6609","27","3066090027","R5",,,,,,"OP",,,,"22D",,
"3","6998","23","3069980023","R3-1",,,,,,,,,,"28B",,
"3","7386","151","3073860151","R4",,,,,,,,,,"29A",,
"4","3689","8","4036890008","R4-1",,,,,,,,,,"13D",,
"4","4513","18","4045130018","R2A",,,,,,,,,,"7D",,
"2","5577","70","2055770070","R3A",,,,,,,,,,"7C",,
"2","5624","135","2056240135","R3A",,,,,,,,,,"4D",,
"2","5638","42","2056380042",,,,,,,,,,,"4D",,
"3","1626","171","3016260171","R6B",,,,,,,,,,"17A",,
"4","4231","63","4042310063","R2A",,,,,,,,,,"10A",,
"4","4971","48","4049710048","C4-3",,,,,,,,,,"10A",,
"4","5534","118","4055340118","R3-2",,,,,,,,,,"10D",,
"4","9294","7","4092940007","R3-1",,,,,,,,,,"18A",,
"5","1132","110","5011320110","R3A",,,,,,,,,,"20C",,
"5","2155","339","5021550339","R3X",,,,,,,,,,"20D",,
"3","5141","151","3051410151","R6A",,,,"C2-4",,,,,,"22C",,
"4","8647","39","4086470039","R2A",,,,,,,,,,"15C",,
"1","1888","1","1018880001","R8",,,,,,,,,,"5D",,
"1","2105","450","1021050450",,,,,,,,,,,"3B",,
"3","7396","41","3073960041","R4",,,,,,,,,,"28C",,
"3","8143","64","3081430064","R4A",,,,,,,,,,"23C",,
"3","8490","56","3084900056","R5",,,,,,,,,,"23B",,
"4","13128","56","4131280056","R2A",,,,,,,,,,"19A",,
"5","2899","61","5028990061","R3-2",,,,,,,,,,"21D",,
"1","1681","13","1016810013","R7A",,,,,,,,,,"6B",,
"3","1137","68","3011370068","M1-1",,,,,,,,,,"16C",,
"4","2934","55","4029340055","R4B",,,,,,,,,,"13C",,
"4","3336","75","4033360075","R2",,,,,,,,,,"14B",,
"5","2368","21","5023680021","R3-1",,,,,,,,,,"26C",,
"3","898","72","3008980072","R6B",,,,,,,,,,"16D",,
"3","1247","63","3012470063","R6B",,,,,,,,,,"17A",,
"3","4679","3","3046790003","R5",,,,,,,,,,"17B",,
"3","6485","84","3064850084","R4",,,,,,,,,,"28A",,
"4","7949","27","4079490027","R3A",,,,,,,,,,"15A",,
"3","1658","57","3016580057","R6B","R6A",,,"C2-4",,,,,,"17A",,
"3","5654","24","3056540024","R6",,,,,,,,,,"22C",,
"3","7422","221","3074220221","R4",,,,,,,,,,"29A",,
"4","2780","17","4027800017","R4",,,,,,,,,,"13C",,
"3","2706","25","3027060025","R6",,,,,,,,,,"13A",,
"2","3348","53","2033480053","R7B",,,,,,,,,,"1D",,
"2","3481","69","2034810069",,,,,,,,,,,"7A",,
"2","4661","68","2046610068","R6A",,,,,,,,,,"2B",,
"2","5643","625","2056430625",,,,,,,,,,,"4D",,
"3","2727","21","3027270021","R6B",,,,,,,,,,"13A",,
"3","6679","103","3066790103","R4-1","R5B","R7A",,"C2-3",,,,,,"28C",,
"4","2806","34","4028060034","R4",,,,,,,,,,"13C",,
"4","7608","27","4076080027","R4",,,,,,,,,,"11B",,
"4","14160","23","4141600023","R3X",,,,,,,,,,"18B",,
"4","15749","1","4157490001",,,,,,,,,,,"31A",,
"2","3455","143","2034550143","R3-2",,,,"C1-1",,,,,,"7A",,
"2","5803","801","2058030801","R4",,,,,,,,,,"1D",,
"3","7296","63","3072960063","R5",,,,,,,,,,"29A",,
"4","6299","10","4062990010","R4",,,,,,,,,,"11A",,
"4","9047","11","4090470011","R5B",,,,,,,,,,"18A",,
"4","9438","31","4094380031","R4A",,,,,,,,,,"18A",,
"4","13742","7","4137420007","R3X",,,,,,,,,,"19B",,
"5","2394","53","5023940053","R3X",,,,,,,,,,"26C",,
"3","435","26","3004350026","R6B",,,,,,,,,,"16C",,
"3","1284","35","3012840035","R2",,,,,,,,,,"17B",,
"3","2866","21","3028660021","R6B",,,,,,,,,,"13A",,
"3","5011","51","3050110051","R4",,,,,,,,,,"23A",,
"3","6005","32","3060050032","R2",,,,,,"BR",,,,"22A",,
"4","1904","32","4019040032","R5",,,,,,,,,,"10B",,
"3","1514","60","3015140060","R6B",,,,,,,,,,"17A",,
"3","5976","46","3059760046","R2",,,,,,"BR",,,,"22A",,
"3","7415","24","3074150024","R4",,,,,,,,,,"29A",,
"5","1277","226","5012770226","R3-2",,,,,,,,,,"20C",,
"2","3787","12","2037870012","R5",,,,,,,,,,"4B",,
"3","7380","42","3073800042","R7A",,,,,,,,,,"29A",,
"3","7754","64","3077540064","R4",,,,,,,,,,"23A",,
"4","9245","300","4092450300","R7A",,,,,,,,,,"14B",,
"4","13268","220","4132680220","R3-2",,,,,,,,,,"19B",,
"5","3314","24","5033140024","R3X",,,,,,,,,,"27A",,
"3","2785","10","3027850010","R7A",,,,"C2-4",,,,,,"13B",,
"4","1161","88","4011610088","R5",,,,,,,,,,"9D",,
"4","1742","12","4017420012","R5",,,,,,,,,,"10B",,
"4","2419","60","4024190060","R4",,,,,,,,,,"9D",,
"4","3512","60","4035120060","R5B",,,,,,,,,,"13D",,
"4","5993","45","4059930045","R2A",,,,,,,,,,"10C",,
"4","13465","26","4134650026","R3-1",,,,,,,,,,"19B",,
"1","1163","30","1011630030","C4-6A",,,,,,,,,,"8C",,
"1","1808","28","1018080028",,,,,,,,,,,"6B",,
"3","4268","35","3042680035","R5",,,,,,,,,,"17C",,
"4","13285","68","4132850068","R3-2",,,,,,,,,,"19B",,
"3","3344","1","3033440001","R6",,,,,,,,,,"13B",,
"3","5965","26","3059650026","R4-1",,,,,,,,,,"22B",,
"3","7338","3","3073380003","R4",,,,,,,,,,"29A",,
"4","5253","66","4052530066","R2A",,,,,,,,,,"10C",,
"4","14192","18","4141920018","R2",,,,,,,,,,"18B",,
"5","3569","36","5035690036","R3X",,,,,,,,,,"27B",,
"5","6421","12","5064210012","R3X",,,,,,"SRD",,,,"33D",,
"2","3312","39","2033120039","R8",,,,,,,,,,"1D",,
"2","5034","81","2050340081","R5",,,,,,,,,,"2A",,
"2","5604","250","2056040250","C3A",,,,,,,,,,"7C",,
"3","1274","34","3012740034","R6",,,,,,,,,,"17B",,
"3","3457","65","3034570065","R6",,,,,,,,,,"17C",,
"3","7828","12","3078280012","R3-2",,,,,,,,,,"23B",,
"3","8623","8","3086230008","R2",,,,,,,,,,"23D",,
"4","975","22","4009750022","R4",,,,,,,,,,"9C",,
"4","6813","20","4068130020","R4",,,,,,,,,,"14C",,
"4","9915","1","4099150001","R4-1",,,,,,,,,,"14D",,
"5","67","25","5000670025","M1-1",,,,,,,,,,"21A",,
"5","483","39","5004830039","R3X",,,,,,,,,,"20D",,
"5","5212","150","5052120150","PARK",,,,,,,,,,"33C",,
"1","1646","31","1016460031","R7-2",,,,,,,,,,"6B",,
"3","1553","49","3015530049","R6",,,,,,,,,,"17C",,
"3","1949","74","3019490074","R6B",,,,,,,,,,"16C",,
"3","5408","1","3054080001","R5","M1-1","PARK",,,,"OP",,,,"22C",,
"3","5398","82","3053980082","R5",,,,,,"OP",,,,"22C",,
"3","6460","80","3064600080","R4",,,,,,,,,,"28A",,
"3","7290","65","3072900065","R5",,,,,,,,,,"28C",,
"5","2445","37","5024450037","R3-2",,,,,,,,,,"26D",,
"2","3273","118","2032730118","C4-5D",,,,,,,,,,"3C",,
"2","3480","70","2034800070",,,,,,,,,,,"7A",,
"4","3598","58","4035980058","R5B",,,,,,,,,,"13D",,
"4","7359","46","4073590046","R2A",,,,,,,,,,"10D",,
"5","2231","286","5022310286","R3X",,,,,,,,,,"20D",,
"5","6029","84","5060290084","R3-2",,,,,,"SRD",,,,"33A",,
"2","4963","123","2049630123","R4A",,,,,,,,,,"2B",,
"2","5634","85","2056340085","R3A",,,,,,,,,,"4C",,
"3","2661","44","3026610044","M1-2",,,,,,,,,,"13A",,
"3","7168","15","3071680015","R5",,,,,,,,,,"28C",,
"3","8713","101","3087130101","R6",,,,,,,,,,"29B",,
"4","2996","3","4029960003","R4B",,,,,,,,,,"13C",,
"4","4970","41","4049700041","C4-2",,,,,,,,,,"10A",,
"5","3629","29","5036290029","R3X",,,,,,,,,,"27B",,
"2","2724","134","2027240134","C4-4",,,,,,,,,,"6C",,
"2","5888","53","2058880053","R6","R3A",,,"C1-2",,,,,,"1C",,
"3","7349","62","3073490062","R5",,,,,,,,,,"29A",,
"4","3241","31","4032410031","R3A",,,,,,,,,,"14B",,
"4","7778","15","4077780015","R2A",,,,,,,,,,"15A",,
"4","9546","73","4095460073","R4A",,,,,,,,,,"18A",,
"3","6251","27","3062510027","R5",,,,,,,,,,"22D",,
"4","1325","88","4013250088","R5B",,,,,,,,,,"9D",,
"4","4843","66","4048430066","R2A",,,,,,,,,,"10C",,
"4","8933","99","4089330099","R3-1",,,,,,,,,,"18A",,
"4","14240","1336","4142401336","R3A",,,,,,"CR-2",,,,"18B",,
"5","835","269","5008350269","R1-2",,,,,,,,,,"27A",,
"2","3284","9","2032840009","R5B",,,,,,,,,,"3C",,
"4","1983","24","4019830024","R5",,,,,,,,,,"10B",,
"4","2752","157","4027520157","R4-1",,,,,,,,,,"13C",,
"4","6685","43","4066850043","R4",,,,,,,,,,"14C",,
"3","599","18","3005990018","M1-1",,,,,,,,,,"16A",,
"3","4882","18","3048820018","R5",,,,,,,,,,"17B",,
"3","5238","17","3052380017","R1-2",,,,,,,,,,"22C",,
"4","4692","10","4046920010","R3-1",,,,,,,,,,"10C",,
"4","5066","190","4050660190",,,,,,,,,,,"10B",,
"4","5335","27","4053350027","R5B","R4","R2",,"C1-2",,,,,,"10C",,
"2","4701","44","2047010044","R4",,,,,,,,,,"2B",,
"3","7333","80","3073330080","R4",,,,,,,,,,"29A",,
"3","8429","48","3084290048","R5",,,,,,,,,,"23D",,
"4","2630","19","4026300019","M1-1",,,,,,,,,,"13A",,
"4","14142","29","4141420029","R3X",,,,,,,,,,"18B",,
"1","1461","1","1014610001","R8","C1-9",,,,,,,,,"8C",,
"3","1042","6","3010420006","C4-3A",,,,,,,,,,"16D",,
"3","1820","68","3018200068","R6B",,,,,,,,,,"17A",,
"3","5268","52","3052680052","R5B",,,,,,,,,,"16D",,
"3","8275","175","3082750175","R4-1",,,,,,,,,,"23C",,
"3","8755","65","3087550065","R3-1",,,,,,,,,,"29B",,
"4","6924","31","4069240031","R2",,,,,,,,,,"14C",,
"4","8641","6","4086410006","R2A",,,,,,,,,,"15C",,
"4","16251","25","4162510025","R2",,,,,,,,,,"30B",,
"3","7871","24","3078710024","R3-2",,,,,,,,,,"23B",,
"5","132","50","5001320050","R2",,,,,,,,,,"21A",,
"2","3219","197","2032190197","R6",,,,,,,,,,"3C",,
"3","8409","171","3084090171","R3-2",,,,,,,,,,"23D",,
"4","1901","121","4019010121","R5",,,,,,,,,,"14A",,
"4","9100","17","4091000017","R4-1",,,,,,,,,,"18A",,
"4","9539","97","4095390097","R4",,,,,,,,,,"18A",,
"2","3838","301","2038380301","M3-1",,,,,,,,,,"4B",,
"3","5576","22","3055760022","R5",,,,,,,,,,"22D",,
"4","9313","40","4093130040","R6A",,,,"C2-3",,,,,,"18A",,
"2","5410","269","2054100269","R3A",,,,,,,,,,"4D",,
