"material","aggregate_percent","refuse_percent","mgp_percent","paper_percent","organic_percent","material_group","dsny_diversion_summary","location"
"Drinking Cups - Paper and Plastic: Plastic - Single Use: #7 Other","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Drinking Cups - Paper and Plastic: Plastic - Single Use: Compostable","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Drinking Cups - Paper and Plastic: Plastic - Single Use: Other & Unlabeled","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Drinking Cups - Paper and Plastic: Plastic - Durable: #1 PET All","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Drinking Cups - Paper and Plastic: Plastic - Durable: #2 HDPE Natural","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Drinking Cups - Paper and Plastic: Plastic - Durable: #2 HDPE Pig.","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Drinking Cups - Paper and Plastic: Plastic - Durable: #3 PVC","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Drinking Cups - Paper and Plastic: Plastic - Durable: #4 LDPE/LLDPE","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Drinking Cups - Paper and Plastic: Plastic - Durable: #5 PP Rigid","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Drinking Cups - Paper and Plastic: Plastic - Durable: #5 PP Expanded","0.0","0.0","0.0","0.0","0.0","Plastic","Other","Citywide"
"Drinking Cups - Paper and Plastic: Plastic - Durable: #6 PS Rigid","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Drinking Cups - Paper and Plastic: Plastic - Durable: #7 Other","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Drinking Cups - Paper and Plastic: Plastic - Durable: Compostable","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Drinking Cups - Paper and Plastic: Plastic - Durable: Other & Unlabeled","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"K-Cups: Predominanty Plastic: #1 PET All","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"K-Cups: Predominanty Plastic: #2 HDPE Natural","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"K-Cups: Predominanty Plastic: #2 HDPE Pig.","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"K-Cups: Predominanty Plastic: #3 PVC","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"K-Cups: Predominanty Plastic: #4 LDPE/LLDPE","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"K-Cups: Predominanty Plastic: #5 PP Rigid","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"K-Cups: Predominanty Plastic: #5 PP Expanded","0.0","0.0","0.0","0.0","0.0","Plastic","Other","Citywide"
"K-Cups: Predominanty Plastic: #6 PS Rigid","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"K-Cups: Predominanty Plastic: #7 Other","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"K-Cups: Predominanty Plastic: Compostable","0.0","0.0","0.0","0.0","0.0","Plastic","Organics Suitable for Composting","Citywide"
"K-Cups: Predominanty Plastic: Other & Unlabeled","0.0","0.001","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"K-Cups: Predominanty Metal","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"K-Cups: Predominanty Organic","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Plastic Bottles: #1 PET - Clear","0.012","0.008","0.056","0.002","0.001","Plastic","Designated MGP","Citywide"
"Plastic Bottles: #1 PET - Green","0.0","0.0","0.002","0.0","0.0","Plastic","Designated MGP","Citywide"
"Plastic Bottles: #1 PET - Other","0.001","0.001","0.004","0.0","0.0","Plastic","Designated MGP","Citywide"
"#2 HDPE Natural Bottles","0.005","0.002","0.033","0.0","0.0","Plastic","Designated MGP","Citywide"
"#2 HDPE Colored Bottles","0.005","0.003","0.034","0.0","0.001","Plastic","Designated MGP","Citywide"
"Plastic Bottles: #3 PVC","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Plastic Bottles: #4 LDPE/LLDPE","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Plastic Bottles: #5 PP Rigid","0.001","0.0","0.003","0.0","0.0","Plastic","Designated MGP","Citywide"
"Plastic Bottles: #5 PP Expanded","0.0","0.0","0.0","0.0","0.0","Plastic","Other","Citywide"
"Plastic Bottles: #6 PS Rigid","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Plastic Bottles: #7 Other","0.0","0.0","0.001","0.0","0.0","Plastic","Designated MGP","Citywide"
"Plastic Bottles: Compostable","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Plastic Bottles: Other & Unlabeled","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Thermoforms: #1 PET All","0.005","0.003","0.021","0.001","0.0","Plastic","Designated MGP","Citywide"
"Thermoforms: #2 HDPE Natural","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Thermoforms: #2 HDPE Pig.","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Thermoforms: #3 PVC","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Thermoforms: #4 LDPE/LLDPE","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Thermoforms: #5 PP Rigid","0.002","0.002","0.009","0.0","0.0","Plastic","Designated MGP","Citywide"
"Thermoforms: #5 PP Expanded","0.0","0.0","0.0","0.0","0.0","Plastic","Other","Citywide"
"Thermoforms: #6 PS Rigid","0.002","0.001","0.004","0.0","0.0","Plastic","Designated MGP","Citywide"
"Thermoforms: #7 Other","0.0","0.0","0.001","0.0","0.0","Plastic","Designated MGP","Citywide"
"Thermoforms: Compostable","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Thermoforms: Other & Unlabeled","0.001","0.001","0.002","0.001","0.0","Plastic","Designated MGP","Citywide"
"Other PVC (Non-bottle)","0.0","0.0","0.001","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Tubs & Lids: #1 PET All","0.001","0.001","0.002","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Tubs & Lids: #2 HDPE Natural","0.0","0.0","0.002","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Tubs & Lids: #2 HDPE Pig.","0.001","0.0","0.004","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Tubs & Lids: #3 PVC","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Tubs & Lids: #4 LDPE/LLDPE","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Tubs & Lids: #5 PP Rigid","0.004","0.004","0.012","0.001","0.001","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Tubs & Lids: #5 PP Expanded","0.0","0.0","0.0","0.0","0.0","Plastic","Other","Citywide"
"Rigid Plastics: Tubs & Lids: #6 PS Rigid","0.001","0.001","0.002","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Tubs & Lids: #7 Other","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Tubs & Lids: Compostable","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Tubs & Lids: Other & Unlabeled","0.002","0.001","0.004","0.001","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Rigid Container/Pkg: #1 PET All","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Rigid Container/Pkg: #2 HDPE Natural","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Rigid Container/Pkg: #2 HDPE Pig.","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Rigid Container/Pkg: #3 PVC","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Rigid Container/Pkg: #4 LDPE/LLDPE","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Rigid Container/Pkg: #5 PP Rigid","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Rigid Container/Pkg: #5 PP Expanded","0.0","0.0","0.0","0.0","0.0","Plastic","Other","Citywide"
"Rigid Plastics: Rigid Container/Pkg: #6 PS Rigid","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Rigid Container/Pkg: #7 Other","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Rigid Container/Pkg: Compostable","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Rigid Container/Pkg: Other & Unlabeled","0.001","0.001","0.001","0.0","0.0","Plastic","Designated MGP","Citywide"
"Expanded Polystyrene Containers & Packaging (EPS): Clamshells","0.001","0.002","0.0","0.0","0.0","Plastic","Other","Citywide"
"Expanded Polystyrene Containers & Packaging (EPS): Single Use Cups","0.0","0.0","0.0","0.0","0.0","Plastic","Other","Citywide"
"Expanded Polystyrene Containers & Packaging (EPS): Singe Use Other","0.001","0.002","0.0","0.0","0.0","Plastic","Other","Citywide"
"Expanded Polystyrene Containers & Packaging (EPS): Food Packaging","0.003","0.003","0.001","0.0","0.0","Plastic","Other","Citywide"
"Expanded Polystyrene Containers & Packaging (EPS): Non-food Packaging","0.001","0.001","0.0","0.001","0.0","Plastic","Other","Citywide"
"Film: Garbage Bags","0.025","0.026","0.028","0.012","0.008","Plastic","Other","Citywide"
"Film: Pouches","0.0","0.0","0.0","0.0","0.0","Plastic","Other","Citywide"
"Film: Oversize: Other PE Film","0.002","0.002","0.001","0.0","0.0","Plastic","Other","Citywide"
"Film: Oversize: Non-PE Film","0.002","0.003","0.001","0.0","0.0","Plastic","Other","Citywide"
"Other Plastic Bags & Film: Grocery/Merch Bags","0.018","0.021","0.008","0.002","0.006","Plastic","Plastic Bags","Citywide"
"Other Plastic Bags & Film: Produce Bags","0.001","0.001","0.0","0.0","0.001","Plastic","Plastic Bags","Citywide"
"Other Plastic Bags & Film: Other Sleeves/Clean Bags","0.001","0.001","0.0","0.001","0.0","Plastic","Plastic Bags","Citywide"
"Other Plastic Bags & Film: Compostable Bags","0.0","0.0","0.0","0.0","0.002","Plastic","Other","Citywide"
"Other Plastic Bags & Film: Other PE Film","0.009","0.011","0.006","0.002","0.003","Plastic","Other","Citywide"
"Other Plastic Bags & Film: Non-PE Film","0.011","0.013","0.004","0.001","0.002","Plastic","Other","Citywide"
"Single Use: #1 PET All","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Single Use: #2 HDPE Natural","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Single Use: #2 HDPE Pig.","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Single Use: #3 PVC","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Single Use: #4 LDPE/LLDPE","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Single Use: #5 PP Rigid","0.0","0.0","0.001","0.0","0.0","Plastic","Designated MGP","Citywide"
"Single Use: #5 PP Expanded","0.0","0.0","0.0","0.0","0.0","Plastic","Other","Citywide"
"Single Use: #6 PS Rigid","0.001","0.001","0.001","0.0","0.0","Plastic","Designated MGP","Citywide"
"Single Use: #7 Other","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Single Use: Compostable","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Single Use: Other & Unlabeled","0.002","0.003","0.002","0.0","0.0","Plastic","Designated MGP","Citywide"
"Appliances: Plastic: #1 PET All","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Appliances: Plastic: #2 HDPE Natural","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Appliances: Plastic: #2 HDPE Pig.","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Appliances: Plastic: #3 PVC","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Appliances: Plastic: #4 LDPE/LLDPE","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Appliances: Plastic: #5 PP Rigid","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Appliances: Plastic: #5 PP Expanded","0.0","0.0","0.0","0.0","0.0","Plastic","Other","Citywide"
"Appliances: Plastic: #6 PS Rigid","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Appliances: Plastic: #7 Other","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Appliances: Plastic: Compostable","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Appliances: Plastic: Other & Unlabeled","0.001","0.001","0.003","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Crates/Soda Carrier: #1 PET All","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Crates/Soda Carrier: #2 HDPE Natural","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Crates/Soda Carrier: #2 HDPE Pig.","0.0","0.0","0.001","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Crates/Soda Carrier: #3 PVC","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Crates/Soda Carrier: #4 LDPE/LLDPE","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Crates/Soda Carrier: #5 PP Rigid","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Crates/Soda Carrier: #5 PP Expanded","0.0","0.0","0.0","0.0","0.0","Plastic","Other","Citywide"
"Bulk/Rigid Plastics: Crates/Soda Carrier: #6 PS Rigid","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Crates/Soda Carrier: #7 Other","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Crates/Soda Carrier: Compostable","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Crates/Soda Carrier: Other & Unlabeled","0.001","0.0","0.003","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Toys/Housewares: #1 PET All","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Toys/Housewares: #2 HDPE Natural","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Toys/Housewares: #2 HDPE Pig.","0.0","0.0","0.001","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Toys/Housewares: #3 PVC","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Toys/Housewares: #4 LDPE/LLDPE","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Toys/Housewares: #5 PP Rigid","0.0","0.0","0.001","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Toys/Housewares: #5 PP Expanded","0.0","0.0","0.0","0.0","0.0","Plastic","Other","Citywide"
"Bulk/Rigid Plastics: Toys/Housewares: #6 PS Rigid","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Toys/Housewares: #7 Other","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Toys/Housewares: Compostable","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Toys/Housewares: Other & Unlabeled","0.007","0.004","0.035","0.004","0.001","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Other Durable: #1 PET All","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Other Durable: #2 HDPE Natural","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Other Durable: #2 HDPE Pig.","0.001","0.0","0.003","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Other Durable: #3 PVC","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Other Durable: #4 LDPE/LLDPE","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Other Durable: #5 PP Rigid","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Other Durable: #5 PP Expanded","0.0","0.0","0.0","0.0","0.0","Plastic","Other","Citywide"
"Bulk/Rigid Plastics: Other Durable: #6 PS Rigid","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Other Durable: #7 Other","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Other Durable: Compostable","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Bulk/Rigid Plastics: Other Durable: Other & Unlabeled","0.002","0.002","0.006","0.0","0.001","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Other Plastics: #1 PET All","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Other Plastics: #2 HDPE Natural","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Other Plastics: #2 HDPE Pig.","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Other Plastics: #3 PVC","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Other Plastics: #4 LDPE/LLDPE","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Other Plastics: #5 PP Rigid","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Other Plastics: #5 PP Expanded","0.0","0.0","0.0","0.0","0.0","Plastic","Other","Citywide"
"Rigid Plastics: Other Plastics: #6 PS Rigid","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Other Plastics: #7 Other","0.0","0.0","0.001","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Other Plastics: Compostable","0.0","0.0","0.0","0.0","0.0","Plastic","Designated MGP","Citywide"
"Rigid Plastics: Other Plastics: Other & Unlabeled","0.012","0.012","0.023","0.002","0.001","Plastic","Designated MGP","Citywide"
"Clear Container Glass","0.017","0.01","0.093","0.002","0.001","Glass","Designated MGP","Citywide"
"Green Container Glass","0.006","0.003","0.045","0.001","0.0","Glass","Designated MGP","Citywide"
"Brown Container Glass","0.004","0.002","0.018","0.001","0.0","Glass","Designated MGP","Citywide"
"Other Color Container Glass","0.001","0.0","0.002","0.0","0.0","Glass","Designated MGP","Citywide"
"Mixed Cullet","0.015","0.003","0.132","0.001","0.0","Glass","Designated MGP","Citywide"
"Other Glass","0.003","0.003","0.008","0.001","0.001","Glass","Other","Citywide"
"Aluminum Cans","0.003","0.002","0.009","0.0","0.0","Metal","Designated MGP","Citywide"
"Aluminum Foil/Containers","0.007","0.008","0.012","0.0","0.001","Metal","Designated MGP","Citywide"
"Other Aluminium","0.001","0.0","0.002","0.0","0.0","Metal","Designated MGP","Citywide"
"Other Non-ferrous","0.003","0.002","0.01","0.0","0.0","Metal","Designated MGP","Citywide"
"Steel/Tin Food Cans","0.008","0.005","0.044","0.001","0.0","Metal","Designated MGP","Citywide"
"Empty Aerosol Cans","0.002","0.001","0.006","0.0","0.0","Metal","Designated MGP","Citywide"
"Other Ferrous Metal","0.011","0.005","0.072","0.002","0.0","Metal","Designated MGP","Citywide"
"Mixed Metals","0.008","0.007","0.027","0.0","0.0","Metal","Designated MGP","Citywide"
"Appliances: Ferrous","0.003","0.001","0.025","0.0","0.0","Metal","Designated MGP","Citywide"
"Appliances: Non-ferrous","0.001","0.001","0.006","0.0","0.0","Metal","Designated MGP","Citywide"
"Yard Waste","0.055","0.065","0.0","0.0","0.599","Organic","Organics Suitable for Composting","Citywide"
"Food","0.207","0.251","0.025","0.009","0.31","Organic","Organics Suitable for Composting","Citywide"
"Non-C&D Wood","0.004","0.005","0.002","0.002","0.0","Organic","Other","Citywide"
"Textiles:  Non-clothing","0.023","0.029","0.002","0.001","0.001","Organic","Textiles","Citywide"
"Textiles:  Clothing","0.029","0.035","0.002","0.001","0.002","Organic","Textiles","Citywide"
"Carpet/Upholstery","0.014","0.017","0.0","0.0","0.002","Organic","Other","Citywide"
"Disposable Diapers & Sanitary Products","0.042","0.052","0.001","0.001","0.003","Organic","Other","Citywide"
"Animal By-Products","0.014","0.017","0.001","0.0","0.001","Organic","Other","Citywide"
"Shoes/Rubber/Leather","0.01","0.012","0.003","0.001","0.0","Organic","Textiles","Citywide"
"Garden Hoses","0.0","0.0","0.003","0.0","0.001","Organic","Textiles","Citywide"
"Fines","0.028","0.033","0.015","0.002","0.004","Organic","Other","Citywide"
"Miscellaneous Organics","0.006","0.007","0.002","0.0","0.004","Organic","Other","Citywide"
"Audio/Visual Equipment - TV Peripherals (Covered)","0.0","0.0","0.0","0.0","0.0","E-Waste","E-Waste","Citywide"
"Audio/Visual Equipment - Other (Non-covered)","0.001","0.001","0.003","0.0","0.001","E-Waste","E-Waste","Citywide"
"Computer Monitors","0.0","0.0","0.001","0.0","0.0","E-Waste","E-Waste","Citywide"
"Televisions","0.0","0.0","0.0","0.0","0.0","E-Waste","E-Waste","Citywide"
"Other Computer Equipment","0.001","0.001","0.003","0.001","0.0","E-Waste","E-Waste","Citywide"
"Untreated Dimension Lumber/Pallets/Crates","0.004","0.004","0.0","0.0","0.0","C&D","C&D","Citywide"
"Treated/Contaminated/Composite Wood","0.02","0.024","0.001","0.0","0.0","C&D","C&D","Citywide"
"Other C&D Debris Not Elsewhere Classified","0.021","0.026","0.003","0.001","0.001","C&D","C&D","Citywide"
"Oil Filters","0.0","0.0","0.0","0.0","0.0","Special Waste","HHW","Citywide"
"Antifreeze","0.0","0.0","0.0","0.0","0.0","Special Waste","HHW","Citywide"
"Wet-Cell Batteries","0.0","0.0","0.0","0.0","0.0","Special Waste","HHW","Citywide"
"Water-Based Adhesives/Glues","0.0","0.0","0.0","0.0","0.0","Special Waste","HHW","Citywide"
"Latex Paint","0.001","0.001","0.001","0.0","0.0","Special Waste","HHW","Citywide"
"Oil-Based Paint/Solvent","0.0","0.0","0.001","0.0","0.0","Special Waste","HHW","Citywide"
"Pesticides/Herbicides/Rodenticides","0.0","0.0","0.0","0.0","0.0","Special Waste","HHW","Citywide"
"Dry-Cell Batteries","0.001","0.001","0.001","0.0","0.0","Special Waste","HHW","Citywide"
"Fluorescent Tubes/CFLs","0.0","0.0","0.0","0.0","0.0","Special Waste","HHW","Citywide"
"Mercury-Laden Wastes","0.0","0.0","0.0","0.0","0.0","Special Waste","HHW","Citywide"
"Compressed Gas Cylinders/Fire Extinguishers","0.0","0.0","0.0","0.0","0.0","Special Waste","HHW","Citywide"
"Home Medical Products","0.002","0.002","0.001","0.0","0.0","Special Waste","HHW","Citywide"
"Other HHW","0.001","0.001","0.001","0.0","0.0","Special Waste","HHW","Citywide"
"Miscellaneous Inorganics","0.008","0.008","0.011","0.001","0.001","Miscellaneous Inorganics","Other","Citywide"
"Newspaper","0.018","0.011","0.004","0.101","0.0","Paper","Designated Paper","Brooklyn"
"Plain OCC/Kraft Paper","0.055","0.012","0.016","0.474","0.0","Paper","Designated Paper","Brooklyn"
