"service_taxonomy_id","contract_id","taxonomy_id"
"10623","1813","120"
"6911","809","272"
"4245","513","71"
"3878","478","183"
"9151","672","177"
"316","28","266"
"927","155","22"
"5007","574","21"
"449","53","13"
"1392","228","9"
"5580","645","160"
"4343","518","4"
"4818","559","49"
"11283","1009","139"
"1636","268","117"
"3904","488","243"
"4151","505","160"
"9982","1751","36"
"5560","642","168"
"5271","597","153"
"8466","221","149"
"4228","511","166"
"8837","565","4"
"2486","464","76"
"884","154","180"
"5760","675","131"
"2392","438","23"
"10343","1780","29"
"4810","559","179"
"7765","934","179"
"3903","488","241"
"270","23","272"
"7372","872","4"
"9","2","138"
"9995","1752","3"
"10363","1783","204"
"432","38","11"
"6967","815","161"
"3781","473","164"
"2500","466","49"
"9662","1071","206"
"11296","1335","251"
"904","155","237"
"1639","268","92"
"10548","1804","125"
"4411","523","116"
"9592","1052","82"
"4373","520","22"
"7542","895","117"
"5417","621","49"
"2287","421","11"
"6101","707","49"
"9909","1747","1"
"5292","603","77"
"4291","516","9"
"5719","669","179"
"4251","514","179"
"7598","911","11"
"997","158","116"
"1718","279","117"
"5665","666","77"
"9710","1097","204"
"6952","814","111"
"9115","670","1"
"5612","650","247"
"7784","936","79"
"4080","502","22"
"5920","678","132"
"4615","541","4"
"6803","793","116"
"3091","133","111"
"8281","143","3"
"2912","1315","126"
"4538","534","262"
"8919","600","46"
"3262","207","224"
"9886","1661","79"
"2124","364","11"
"3278","220","180"
"8348","171","204"
"3218","181","114"
"8652","407","74"
"3317","236","166"
"10234","1766","4"
"737","146","256"
"1033","163","77"
"334","29","249"
"10782","1831","186"
"4515","533","122"
"6894","807","114"
"3362","257","160"
"10130","1758","4"
"10666","1818","74"
"3666","453","50"
"6444","741","32"
"9789","1364","1"
"9808","1364","66"
"2451","452","138"
"4012","499","114"
"1876","294","180"
"846","154","2"
"6098","707","175"
"883","154","122"
"3080","111","266"
"2526","185","152"
"5783","675","174"
"10972","1856","79"
"7361","868","9"
"3310","236","164"
"10943","1852","120"
"581","74","228"
"7328","864","180"
"1954","309","116"
"1755","285","168"
"624","107","179"
"2691","1729","139"
"216","21","90"
"1091","173","226"
"5867","676","152"
"10768","1830","4"
"10873","1843","79"
"2565","332","138"
"923","155","17"
"750","146","116"
"8151","82","49"
"10647","1816","120"
"10053","1754","90"
"6392","738","79"
"6375","736","86"
"3305","236","4"
"3119","133","209"
"7517","894","114"
"3424","271","245"
"7470","884","180"
"7178","847","160"
"4170","505","227"
"9116","670","74"
"2434","451","13"
"7709","931","161"
"10660","1817","82"
"3432","271","174"
"5901","676","71"
"5375","614","111"
"742","146","272"
"8251","128","121"
"963","158","237"
"2680","1729","145"
"9702","1097","120"
"2061","342","228"
"1901","296","9"
"6340","728","231"
"892","154","274"
"4925","568","79"
"5975","689","117"
"10506","1799","82"
"10910","1847","29"
"9339","875","125"
"4115","503","144"
"4867","566","160"
"2484","463","62"
"6904","809","271"
"7179","847","161"
"3076","111","270"
"10716","1823","186"
"5610","650","217"
"975","158","244"
"7398","873","122"
"2846","1183","82"
"7891","955","49"
"4218","511","117"
"8396","202","249"
"6804","793","49"
"6878","804","116"
"6584","754","164"
"7545","896","160"
"4113","502","127"
"8202","106","77"
"4919","568","160"
"654","107","25"
"6335","728","87"
"8984","620","36"
"10279","1770","204"
"7126","836","71"
"11061","1867","120"
"6902","807","168"
"3573","402","77"
"6928","809","63"
"3109","136","11"
"3635","430","275"
"7868","943","114"
"6239","721","166"
"2859","1189","77"
"6761","789","117"
"1873","294","46"
"10133","1758","79"
"1695","278","46"
"5620","650","249"
"407","34","154"
"6511","746","4"
"2844","1183","18"
"7955","963","164"
"1813","292","17"
"8636","372","79"
"9931","1748","74"
"8411","210","46"
"8442","217","147"
"7675","928","179"
"5383","614","122"
"10448","1792","74"
"6562","750","74"
"6993","815","245"
"7760","933","168"
"9149","672","49"
"5483","635","2"
"2646","1648","144"
"8286","143","17"
"4516","533","180"
"8834","564","67"
"7655","927","111"
"8317","145","149"
"918","155","9"
"4350","520","79"
"1027","163","4"
"7193","847","117"
"6260","721","175"
"3640","430","71"
"5440","624","237"
"7199","848","74"
"1157","188","115"
"1195","199","71"
"2624","590","228"
"2506","185","271"
"1988","319","154"
"5586","645","77"
"3283","229","111"
"4707","551","164"
"10906","1847","120"
"10350","1781","79"
"2094","350","49"
"628","107","4"
"5541","639","160"
"9316","826","74"
"10575","1807","82"
"4460","531","122"
"8600","301","120"
"5177","595","29"
"2756","902","90"
"2935","13","117"
"7008","815","138"
"3553","387","111"
"11204","552","112"
"4069","502","261"
"5520","639","111"
"7478","886","77"
"242","24","77"
"9656","1071","209"
"8956","615","4"
"5436","622","71"
"3766","472","115"
"6581","754","179"
"1623","268","152"
"9774","1284","4"
"1717","279","122"
"3892","488","116"
"10256","1768","82"
"1932","309","161"
"4744","554","164"
"10366","1784","4"
"10588","1808","186"
"10522","1802","74"
"1223","205","80"
"2226","388","62"
"8690","408","90"
"1048","163","115"
"11111","211","241"
"10037","1754","3"
"3850","478","215"
"10842","1838","82"
"1622","268","164"
"6596","758","160"
"4657","546","115"
"1343","219","175"
"9127","670","46"
"1087","173","147"
"3409","269","164"
"3404","269","74"
"8800","536","189"
"3259","206","82"
"10155","1759","17"
"5569","643","79"
"2881","1192","206"
"6985","815","237"
"8018","57","53"
"7806","937","116"
"5187","595","139"
"6735","787","164"
"5052","581","244"
"7268","854","115"
"9275","713","1"
"7140","838","117"
"4589","537","86"
"7085","829","77"
"5844","676","13"
"7065","827","161"
"5264","597","173"
"5277","597","266"
"6961","814","122"
"7924","960","117"
"6222","721","160"
"4647","541","127"
"9543","1025","53"
"10578","1807","186"
"5191","595","186"
"11290","1335","169"
"9548","1050","1"
"2448","452","11"
"10310","1775","186"
"4717","551","71"
"8695","469","4"
"7761","933","71"
"548","70","138"
"1633","268","180"
"2492","464","60"
"6221","716","71"
"6458","742","116"
"277","23","115"
"215","21","249"
"4487","532","115"
"10007","1752","122"
"7208","848","116"
"7987","967","74"
"6689","779","86"
"6102","707","122"
"5633","664","77"
"7710","931","111"
"11246","857","15"
"986","158","22"
"7439","883","161"
"7108","831","117"
"10775","1830","204"
"3585","402","74"
"8645","399","79"
"7522","894","180"
"11168","316","240"
"8758","529","189"
"9105","644","115"
"10237","1766","29"
"4986","574","180"
"4514","533","49"
"9118","670","4"
"5240","596","46"
"4710","551","115"
"4721","553","111"
"3865","478","152"
"5876","676","229"
"5930","678","90"
"11103","60","252"
"10128","1758","74"
"1585","261","179"
"11131","213","227"
"2652","1648","147"
"6270","725","179"
"9282","713","17"
"2795","982","199"
"8178","105","74"
"7694","929","77"
"603","83","90"
"7086","829","13"
"10557","1805","29"
"3213","181","74"
"6866","798","4"
"1427","234","113"
"4922","568","74"
"9139","672","4"
"10303","1775","120"
"1226","205","23"
"1156","188","175"
"3015","89","86"
"6836","797","164"
"2982","89","49"
"1952","309","175"
"5142","595","4"
"7000","815","21"
"10809","1834","49"
"7528","895","160"
"3210","165","154"
"7101","831","164"
"2939","13","49"
"5042","581","180"
"10192","1761","4"
"4000","496","46"
"2660","1648","139"
"5482","624","127"
"9390","882","149"
"10115","1757","121"
"11150","274","38"
"1136","177","175"
"3190","165","227"
"125","11","21"
"7769","934","114"
"1975","319","174"
"5523","639","179"
"8826","564","115"
"1111","174","226"
"9360","880","189"
"5801","675","87"
"7404","876","111"
"8804","536","36"
"10748","1827","49"
"920","155","208"
"10470","1794","125"
"4148","505","117"
"9844","1517","4"
"9630","1072","4"
"6327","728","264"
"6028","695","180"
"9023","631","17"
"8561","300","77"
"4465","531","120"
"3561","387","115"
"7264","854","77"
"1594","261","114"
"2003","320","35"
"1282","206","13"
"6822","794","116"
"4766","555","122"
"8795","536","147"
"9748","1282","144"
"7950","963","161"
"3420","271","144"
"2249","409","49"
"10050","1754","177"
"7845","940","160"
"9393","882","67"
"9291","713","53"
"5733","669","9"
"8296","143","149"
"1738","285","21"
"3721","467","179"
"8293","143","122"
"6923","809","266"
"403","34","43"
"9043","633","79"
"4011","499","164"
"7972","965","164"
"3101","133","116"
"6768","791","262"
"1330","219","144"
"1442","234","49"
"7240","849","71"
"6245","721","261"
"5766","675","15"
"1908","296","21"
"6570","750","116"
"3001","89","173"
"4523","533","48"
"8996","620","220"
"5313","603","237"
"6348","729","224"
"3547","367","180"
"1311","206","165"
"4434","524","8"
"10020","1753","79"
"3276","220","116"
"3198","165","153"
"8093","76","90"
"7882","955","179"
"8502","232","82"
"1547","256","17"
"6437","740","168"
"10844","1838","125"
"1937","309","162"
"3984","496","209"
"2273","412","67"
"2399","438","87"
"10403","1789","74"
"5448","624","244"
"2258","409","60"
"7214","848","127"
"2196","380","49"
"6795","793","74"
"3801","474","175"
"755","146","180"
"11127","213","112"
"9119","670","77"
"7764","934","111"
"2037","327","35"
"5041","581","122"
"8011","57","121"
"4188","505","175"
"2733","762","87"
"4456","531","175"
"3345","237","231"
"5983","691","4"
"4747","554","115"
"2687","1729","247"
"1677","270","92"
"4329","518","179"
"8725","490","3"
"8265","128","188"
"3827","478","168"
"3613","430","271"
"10375","1785","120"
"9345","881","79"
"3704","459","77"
"3297","229","168"
"4062","501","92"
"8550","273","4"
"195","19","43"
"10897","1846","120"
"6576","750","71"
"1417","234","1"
"7266","854","173"
"1093","173","86"
"1013","158","91"
"9260","709","79"
"7225","849","111"
"6470","743","79"
"3433","271","247"
"6717","786","79"
"10886","1844","125"
"8157","82","66"
"10594","1809","82"
"8633","372","74"
"8405","210","79"
"8590","305","46"
"2765","977","82"
"6173","712","82"
"7983","965","49"
"864","154","17"
"2716","681","125"
"6129","710","111"
"4517","533","117"
"7160","846","160"
"6641","769","164"
"2389","438","74"
"10498","1798","29"
"5998","692","161"
"7628","916","77"
"9664","1071","129"
"458","53","90"
"1302","206","86"
"4920","568","161"
"9705","1097","82"
"9771","1284","74"
"6772","791","263"
"3178","164","173"
"3773","472","71"
"11247","857","38"
"2690","1729","86"
"5332","608","161"
"10172","1760","4"
"83","9","59"
"6390","738","13"
"4030","501","77"
"5685","667","164"
"3228","184","179"
"4191","505","46"
"4778","557","138"
"2989","89","261"
"3542","367","175"
"2956","56","77"
"10122","1757","53"
"5710","668","122"
"9663","1071","127"
"5004","574","148"
"4521","533","209"
"9376","882","4"
"7905","956","60"
"8108","77","46"
"6434","740","122"
"1490","247","160"
"6681","774","62"
"1449","234","71"
"6185","712","126"
"1701","279","111"
"9264","709","36"
"10909","1847","82"
"5045","581","71"
"6864","798","74"
"56","8","268"
"8508","272","74"
"10264","1769","79"
"8497","223","129"
"9967","1750","53"
"1229","205","133"
"9161","671","82"
"4167","505","113"
"6204","716","161"
"8475","223","14"
"2867","1192","144"
"4847","562","86"
"6002","692","9"
"8849","565","177"
"10690","1820","49"
"7422","877","111"
"484","55","22"
"9668","1072","210"
"873","154","152"
"10779","1831","82"
"1796","292","1"
"1696","278","49"
"4790","558","79"
"4547","534","153"
"11124","211","167"
"394","35","71"
"3476","310","122"
"2696","1729","249"
"1705","279","77"
"806","148","152"
"1305","206","116"
"9602","1052","129"
"5101","585","168"
"1259","205","71"
"9280","713","14"
"10840","1838","4"
"10071","1755","177"
"9700","1089","67"
"7245","852","179"
"10032","1753","90"
"10714","1823","125"
"7483","886","115"
"10497","1798","82"
"5065","581","90"
"7974","965","175"
"5903","679","11"
"6927","809","231"
"7297","863","245"
"7369","872","161"
"6700","780","147"
"4732","553","122"
"5348","608","71"
"5244","596","122"
"9540","1025","49"
"711","146","271"
"2840","1183","1"
"4698","550","168"
"2334","427","224"
"260","24","71"
"9444","981","74"
"10405","1789","4"
"2955","56","179"
"3299","229","4"
"5318","603","170"
"3126","135","261"
"9699","1089","66"
"3962","492","127"
"7886","955","164"
"3270","207","62"
"7741","932","180"
"3494","353","111"
"191","19","25"
"10087","1756","36"
"10110","1757","77"
"2358","428","224"
"6013","692","117"
"8275","127","29"
"8568","300","115"
"9327","830","4"
"3893","488","49"
"3447","279","180"
"8039","61","53"
"7481","886","114"
"9828","1365","90"
"10797","1833","29"
"1885","296","160"
"2794","982","207"
"10183","1760","122"
"7631","916","138"
"9888","1661","29"
"8515","272","189"
"9790","1364","74"
"10622","1813","74"
"7001","815","22"
"3859","478","22"
"5581","645","161"
"3890","488","175"
"5789","675","175"
"9221","684","46"
"608","88","44"
"218","21","92"
"8056","75","3"
"1868","294","226"
"4261","514","117"
"6502","744","46"
"1756","286","160"
"1202","205","179"
"6887","807","161"
"2428","450","86"
"1379","220","49"
"10946","1852","82"
"10167","1759","66"
"9720","1274","120"
"504","55","168"
"7187","847","175"
"1335","219","245"
"6661","772","175"
"7538","895","115"
"3189","165","262"
"8407","210","189"
"4340","518","117"
"10344","1780","125"
"10924","1849","120"
"11016","1861","82"
"3311","236","115"
"2062","342","33"
"10580","1808","74"
"10078","1756","74"
"2599","339","193"
"9807","1364","90"
"3703","459","4"
"7670","927","71"
"1140","177","249"
"8588","305","36"
"8005","57","4"
"1247","205","165"
"8953","615","1"
"7362","868","17"
"9610","1070","77"
"657","107","175"
"6459","742","49"
"9732","1280","79"
"6694","780","144"
"10434","1790","29"
"5099","585","180"
"10697","1821","125"
"4660","546","180"
"1252","205","249"
"6261","721","138"
"9288","713","49"
"4588","537","138"
"3314","236","49"
"4775","557","77"
"4797","558","115"
"3100","133","115"
"9217","684","189"
"9355","880","4"
"6817","794","79"
"10841","1838","79"
"5782","675","217"
"9885","1661","4"
"6746","789","160"
"3124","133","127"
"9213","684","77"
"4390","523","161"
"2600","339","194"
"2289","421","138"
"2201","381","76"
"5939","686","77"
"174","20","152"
"11008","1860","125"
"2611","339","91"
"4742","554","77"
"7436","877","117"
"9905","1700","29"
"8097","77","74"
"4608","537","165"
"5326","603","80"
"3647","446","65"
"10912","1847","186"
"1059","163","90"
"5847","676","15"
"7477","886","179"
"5505","636","77"
"6344","728","71"
"2568","332","87"
"5676","666","168"
"8234","126","122"
"3596","402","209"
"6403","738","62"
"6144","710","71"
"8498","223","71"
"10547","1804","29"
"11200","444","90"
"10734","1826","74"
"3955","492","74"
"6372","736","114"
"4953","569","168"
"10254","1768","4"
"8383","202","49"
"8970","615","149"
"3023","89","90"
"6907","809","77"
"3052","110","11"
"5227","596","29"
"2505","185","179"
"9113","644","66"
"6488","744","164"
"1248","205","149"
"9148","672","46"
"3811","478","160"
"4599","537","117"
"10360","1783","29"
"7998","967","122"
"778","148","4"
"2642","1648","237"
"2367","433","138"
"4240","513","116"
"9850","1517","121"
"3391","259","115"
"3575","402","164"
"2198","380","62"
"8875","579","1"
"3070","111","273"
"10855","1840","120"
"7994","967","175"
"336","29","154"
"11017","1861","29"
"6674","774","77"
"5122","586","117"
"2753","902","204"
"5128","594","11"
"10819","1835","204"
"10707","1822","204"
"5044","581","168"
"8614","305","82"
"5477","624","74"
"9396","882","188"
"3501","353","115"
"1914","296","226"
"6972","815","77"
"8712","477","204"
"5547","642","161"
"8041","61","90"
"10322","1777","82"
