"report_date","borough","geographic_subset","geographic_identifier","client_died","does_not_reside_in_nyc","no_risk","referred_person_has_sufficient","referred_person_retains","someone_else_willing_and","unable_to_locate","under_18","total_ineligible_by_geographic","client_died_by_geographic","does_not_reside_in_nyc_by","no_risk_by_geographic_subset","referred_person_has_sufficient_1","referred_person_retains_1","someone_else_willing_and_1","unable_to_locate_by_geographic","under_18_by_geographic_subset","total_ineligible_referrals","client_died_citywide","does_not_reside_in_nyc_1","no_risk_citywide","referred_person_has_sufficient_2","referred_person_retains_2","someone_else_willing_and_2","unable_to_locate_citywide","under_18_citywide","total_ineligible_referrals_1"
"2023-06-30T00:00:00.000","MANHATTAN","Community District","12","1","3","29","108","0","52","63","1","257","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10036","2","0","7","13","0","7","14","0","43","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Zip Code","11215","0","0","3","7","1","5","6","0","22","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11358","0","0","5","6","0","5","2","0","18","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Zip Code","10464","0","0","2","6","0","3","0","0","11","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Zip Code","10459","0","3","16","53","0","7","23","0","102","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","STATEN ISLAND","Community District","95","0","0","0","0","0","0","0","0","0","3","14","92","135","1","68","64","0","377","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11375","2","2","16","14","1","7","10","0","52","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Community District","5","0","1","20","32","0","24","16","0","93","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Community District","3","4","4","43","79","0","31","42","0","203","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Community District","10","4","1","5","37","1","15","18","0","81","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Community District","10","3","2","25","49","0","20","26","0","125","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","City Council District","34","0","0","3","6","0","5","4","0","18","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","City Council District","UNABLE TO MATCH","0","0","2","3","0","1","0","0","6","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","City Council District","41","8","0","32","136","0","56","66","0","298","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Zip Code","11216","2","0","4","32","0","11","10","0","59","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","STATEN ISLAND","Zip Code","UNABLE TO MATCH","0","0","0","0","0","0","2","0","2","3","14","92","135","1","68","64","0","377","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Zip Code","11231","1","1","3","15","2","12","5","0","39","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10007","0","0","1","0","0","0","0","0","1","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10032","0","2","13","37","0","23","21","0","96","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10023","1","2","10","25","0","13","11","0","62","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10033","1","1","10","28","0","14","21","1","76","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10028","0","0","4","8","0","3","3","0","18","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10040","0","0","4","16","0","9","12","0","41","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11102","0","0","7","15","0","8","2","0","32","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11357","0","0","1","6","0","3","0","0","10","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","City Council District","1","1","4","19","41","0","16","21","0","102","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","City Council District","23","0","1","17","31","1","32","23","0","105","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","City Council District","29","2","3","28","41","2","24","18","1","119","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Community District","7","3","3","25","112","2","22","41","0","208","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Community District","3","4","1","14","93","2","40","38","0","192","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Community District","15","4","3","16","52","2","27","24","0","128","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11427","0","0","1","5","1","5","4","0","16","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11697","0","0","1","0","0","0","0","0","1","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11356","0","0","3","6","0","2","3","0","14","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Zip Code","11223","0","0","8","19","0","14","17","0","58","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","STATEN ISLAND","Zip Code","10304","1","1","13","22","0","6","7","0","50","3","14","92","135","1","68","64","0","377","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","City Council District","6","1","2","28","60","2","30","23","0","146","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Zip Code","10474","0","0","3","6","0","4","2","0","15","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Zip Code","10471","0","1","3","6","0","7","0","0","17","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Zip Code","10467","3","3","19","71","0","16","32","1","145","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11372","1","2","7","20","0","19","9","0","58","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Zip Code","10461","1","0","7","15","0","3","5","0","31","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Zip Code","10458","2","0","16","70","0","8","27","0","123","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Zip Code","10452","2","2","28","68","1","21","32","1","155","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Zip Code","10455","1","1","11","41","1","4","17","0","76","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Community District","14","1","3","61","69","0","36","30","2","202","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Community District","11","0","0","14","16","0","19","11","0","60","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Community District","4","0","2","25","35","1","19","17","0","99","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11413","0","0","7","20","0","6","3","3","39","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Community District","6","1","4","23","35","0","19","22","0","104","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Community District","17","2","3","18","99","1","44","43","0","210","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Community District","12","2","1","10","32","1","18","23","0","87","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Community District","2","2","5","6","47","2","21","27","0","110","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Community District","12","9","3","23","101","0","32","44","0","212","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Community District","2","1","2","13","43","0","9","24","0","92","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","City Council District","38","1","1","9","30","2","24","19","0","86","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","City Council District","25","1","3","16","35","1","23","20","0","99","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","City Council District","10","1","1","19","88","0","37","56","1","203","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","City Council District","UNABLE TO MATCH","0","1","1","3","0","0","0","0","5","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","City Council District","47","2","1","26","69","1","32","27","0","158","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11370","0","0","2","3","0","3","4","0","12","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Zip Code","11220","0","0","4","14","0","9","16","0","43","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Zip Code","11228","0","0","2","4","0","3","2","0","11","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Zip Code","11234","0","2","11","36","1","15","6","0","71","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Zip Code","11235","5","1","9","26","2","22","16","0","81","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10002","2","3","19","38","0","16","18","0","96","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10005","0","0","1","2","0","0","1","0","4","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10014","0","0","3","9","0","3","9","0","24","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10129","0","0","0","0","0","0","1","0","1","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10012","0","0","1","2","0","2","3","0","8","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10001","0","0","3","12","0","5","2","0","22","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10128","2","1","10","25","0","4","14","0","56","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10027","1","1","9","36","1","17","20","0","85","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10025","3","3","28","37","1","23","15","0","110","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10026","0","1","10","24","0","10","14","0","59","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","UNABLE TO MATCH","0","0","0","1","0","0","0","0","1","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10029","2","2","27","73","1","19","25","0","149","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11001","0","0","0","0","0","0","0","0","0","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Zip Code","11210","2","1","7","33","1","10","7","0","61","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","City Council District","33","4","0","6","36","3","21","21","0","91","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11105","0","0","3","5","0","13","8","0","29","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Zip Code","11218","0","0","7","16","0","8","9","0","40","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","City Council District","7","4","5","43","89","0","51","42","0","234","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","City Council District","2","5","4","40","82","0","33","51","0","215","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","City Council District","9","4","5","45","155","1","48","63","0","321","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","City Council District","8","2","3","34","85","0","23","32","0","179","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","City Council District","24","4","5","19","44","1","37","23","0","133","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","STATEN ISLAND","City Council District","49","2","7","38","78","1","28","29","0","183","3","14","92","135","1","68","64","0","377","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Community District","1","1","3","32","101","1","27","36","0","201","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Community District","26","0","0","1","1","0","0","0","0","2","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","STATEN ISLAND","Zip Code","10303","0","0","6","13","0","8","9","0","36","3","14","92","135","1","68","64","0","377","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11432","2","2","8","17","0","13","5","0","47","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Community District","13","5","1","24","61","2","35","30","0","158","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Community District","14","4","4","20","66","5","24","37","0","160","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11426","0","0","3","4","0","6","3","0","16","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Community District","7","3","3","40","77","2","44","32","0","201","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","City Council District","12","12","5","28","113","0","42","49","0","249","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","City Council District","36","4","2","15","107","2","39","37","0","206","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","City Council District","16","4","6","55","152","3","44","58","1","323","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11420","1","0","2","23","0","7","9","3","45","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","City Council District","4","1","3","30","43","1","21","26","0","125","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","UNABLE TO MATCH","0","0","0","1","0","3","1","0","5","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","STATEN ISLAND","Zip Code","10309","0","0","6","5","0","3","2","0","16","3","14","92","135","1","68","64","0","377","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","STATEN ISLAND","Zip Code","10308","0","0","3","4","0","1","4","0","12","3","14","92","135","1","68","64","0","377","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11693","0","0","11","9","0","2","2","1","25","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11692","0","1","10","13","0","9","1","0","34","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11361","0","0","6","4","0","5","1","0","16","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Zip Code","UNABLE TO MATCH","0","1","2","0","0","0","2","0","5","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Zip Code","10472","2","2","13","49","0","9","15","0","90","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Zip Code","10473","0","0","12","42","0","8","15","0","77","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Zip Code","10468","2","2","6","49","2","17","21","0","99","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Zip Code","10469","3","1","13","40","1","17","19","0","94","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Zip Code","11205","1","1","5","23","1","12","9","0","52","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
