"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","additional_details","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","status","due_date","resolution_description","resolution_action_updated","community_board","council_district","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","latitude","longitude","location"
"58621376","2023-08-25T07:36:40.000","2023-08-25T08:36:30.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In Front Of Fire Hydrant","Street/Sidewalk","10467","3280 RESERVOIR OVAL EAST","RESERVOIR OVAL EAST","BEND","HOLT PLACE","BEND","HOLT PLACE","ADDRESS","BRONX","RESERVOIR OVAL EAST","Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2023-08-25T08:36:35.000","07 BRONX","11","2033430049","BRONX","1018240","258530","ONLINE","40.8760108","-73.8770524","POINT (-73.8770524 40.8760108)"
"58611796","2023-08-25T00:40:22.000","2023-08-25T02:12:46.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In Front Of Fire Hydrant","Street/Sidewalk","11372","33-44 71 STREET","71 STREET","NORTHERN BOULEVARD","34 AVENUE","NORTHERN BOULEVARD","34 AVENUE","ADDRESS","JACKSON HEIGHTS","71 STREET","Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2023-08-25T02:12:51.000","03 QUEENS","25","4012430029","QUEENS","1013236","213727","MOBILE","40.753126","-73.8956326","POINT (-73.8956326 40.753126)"
"58610683","2023-08-25T00:08:44.000","2023-08-25T02:13:09.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In Front Of Fire Hydrant","Street/Sidewalk","11372","33-44 71 STREET","71 STREET","NORTHERN BOULEVARD","34 AVENUE","NORTHERN BOULEVARD","34 AVENUE","ADDRESS","JACKSON HEIGHTS","71 STREET","Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2023-08-25T02:13:14.000","03 QUEENS","25","4012430029","QUEENS","1013236","213727","MOBILE","40.753126","-73.8956326","POINT (-73.8956326 40.753126)"
"58612900","2023-08-24T21:18:55.000","2023-08-24T22:48:27.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In 'No Standing' Area","Street/Sidewalk","10011","355 WEST 16 STREET","WEST 16 STREET","8 AVENUE","9 AVENUE","8 AVENUE","9 AVENUE","ADDRESS","NEW YORK","WEST 16 STREET","Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2023-08-24T22:48:19.000","04 MANHATTAN","03","1007407502","MANHATTAN","983396","209510","PHONE","40.742293","-74.0034283","POINT (-74.0034283 40.742293)"
"58612904","2023-08-24T21:16:01.000","2023-08-24T21:18:31.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In Front Of Fire Hydrant","Street/Sidewalk","11228","831 71 STREET","71 STREET","8 AVENUE","FORT HAMILTON PARKWAY","8 AVENUE","FORT HAMILTON PARKWAY","ADDRESS","BROOKLYN","71 STREET","Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2023-08-24T21:18:21.000","10 BROOKLYN","38","3058960078","BROOKLYN","980044","168326","MOBILE","40.6288946","-74.0150445","POINT (-74.0150445 40.6288946)"
"58606146","2023-08-24T21:09:33.000","2023-08-25T02:23:18.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Not Provided","Street/Sidewalk","11378","59-15 MASPETH AVENUE","MASPETH AVENUE","59 STREET","59 PLACE","59 STREET","59 PLACE","ADDRESS","MASPETH","MASPETH AVENUE","Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2023-08-25T02:23:24.000","05 QUEENS","30","4026910124","QUEENS","1009801","202763","ONLINE","40.7234025","-73.9079202","POINT (-73.9079202 40.7234025)"
"58610682","2023-08-24T19:52:33.000","2023-08-24T22:17:12.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In Front Of Fire Hydrant","Street/Sidewalk","11421","89-21 98 STREET","98 STREET","89 AVENUE","91 AVENUE","89 AVENUE","91 AVENUE","ADDRESS","WOODHAVEN","98 STREET","Closed",,"The Police Department responded to the complaint and a report was prepared.","2023-08-24T22:16:14.000","09 QUEENS","29","4092910092","QUEENS","1026817","191530","PHONE","40.6919636","-73.8459725","POINT (-73.8459725 40.6919636)"
"58612902","2023-08-24T15:37:42.000","2023-08-24T16:09:20.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked At Bus Stop","Street/Sidewalk","10019","1330 6 AVENUE","6 AVENUE","WEST 53 STREET","WEST 54 STREET","WEST 53 STREET","WEST 54 STREET","ADDRESS","NEW YORK","AVENUE OF THE AMERICAS","Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2023-08-24T16:09:22.000","05 MANHATTAN","04","1012690001","MANHATTAN","990122","216932","MOBILE","40.7619654","-73.9784783","POINT (-73.9784783 40.7619654)"
"58610414","2023-08-24T14:25:18.000","2023-08-24T17:30:29.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Not Provided","Street/Sidewalk","11379","69-80 75 STREET","75 STREET","69 ROAD","71 AVENUE","69 ROAD","71 AVENUE","ADDRESS","MIDDLE VILLAGE","75 STREET","Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2023-08-24T17:30:33.000","05 QUEENS","30","4037930103","QUEENS","1018706","197065","PHONE","40.7071068","-73.8757192","POINT (-73.8757192 40.7071068)"
"58610680","2023-08-24T13:46:35.000","2023-08-24T15:00:34.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In 'No Standing' Area","Street/Sidewalk","11201","110 SCHERMERHORN STREET","SCHERMERHORN STREET","BOERUM PLACE","SMITH STREET","BOERUM PLACE","SMITH STREET","ADDRESS","BROOKLYN","SCHERMERHORN STREET","Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2023-08-24T15:00:39.000","02 BROOKLYN","33","3001690009","BROOKLYN","987250","190721","MOBILE","40.6900021","-73.9893662","POINT (-73.9893662 40.6900021)"
"58610415","2023-08-24T13:36:44.000","2023-08-24T15:03:17.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Not Provided","Street/Sidewalk","10017","321 EAST 43 STREET","EAST 43 STREET","2 AVENUE","TUDOR CITY PLACE","2 AVENUE","TUDOR CITY PLACE","ADDRESS","NEW YORK","EAST 43 STREET","Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2023-08-24T15:03:21.000","06 MANHATTAN","04","1013360010","MANHATTAN","992353","212559","PHONE","40.7502381","-73.9705022","POINT (-73.9705022 40.7502381)"
