"dbn","school_name","year","total_enrollment","grade_3k_pk_half_day_full","grade_k","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","female","female_1","male","male_1","asian","asian_1","black","black_1","hispanic","hispanic_1","multi_racial","multi_racial_1","native_american","native_american_1","white","white_1","missing_race_ethnicity_data","missing_race_ethnicity_data_1","students_with_disabilities","students_with_disabilities_1","english_language_learners","english_language_learners_1","poverty","poverty_1","economic_need_index"
"01M034","P.S. 034 Franklin D. Roosevelt","2017-18","333","13","25","18","22","47","35","36","38","41","58","0","0","0","0","150","0.45","183","0.55","11","0.033","106","0.318","204","0.613","0","0.0","2","0.006","9","0.027","1","0.003","124","0.372","25","0.075","Above 95%","Above 95%","93.7%"
"01M034","P.S. 034 Franklin D. Roosevelt","2018-19","305","17","26","20","16","21","43","40","39","44","39","0","0","0","0","145","0.475","160","0.525","8","0.026","102","0.334","182","0.597","0","0.0","3","0.01","9","0.03","1","0.003","117","0.384","22","0.072","Above 95%","Above 95%","94.8%"
"01M034","P.S. 034 Franklin D. Roosevelt","2019-20","296","17","24","26","16","18","21","43","43","40","48","0","0","0","0","141","0.476","155","0.524","7","0.024","107","0.361","172","0.581","0","0.0","2","0.007","8","0.027","0","0.0","117","0.395","17","0.057","Above 95%","Above 95%","Above 95%"
"01M034","P.S. 034 Franklin D. Roosevelt","2020-21","273","12","19","24","27","16","17","23","48","43","44","0","0","0","0","126","0.462","147","0.538","7","0.026","104","0.381","152","0.557","1","0.004","1","0.004","8","0.029","0","0.0","107","0.392","17","0.062","Above 95%","Above 95%","Above 95%"
"01M063","The STAR Academy - P.S.63","2016-17","200","22","38","37","28","28","26","21","0","0","0","0","0","0","0","97","0.485","103","0.515","8","0.04","37","0.185","129","0.645","5","0.025","0","0.0","21","0.105","0","0.0","66","0.33","5","0.025","165","82.5%","69.0%"
"01M063","The STAR Academy - P.S.63","2017-18","203","26","40","29","36","22","23","27","0","0","0","0","0","0","0","100","0.493","103","0.507","6","0.03","37","0.182","128","0.631","8","0.039","0","0.0","24","0.118","0","0.0","67","0.33","2","0.01","166","81.8%","76.2%"
"01M063","The STAR Academy - P.S.63","2018-19","230","23","49","41","28","40","25","24","0","0","0","0","0","0","0","104","0.452","126","0.548","4","0.017","45","0.196","150","0.652","9","0.039","0","0.0","22","0.096","0","0.0","77","0.335","4","0.017","177","77.0%","73.7%"
"01M063","The STAR Academy - P.S.63","2019-20","229","26","40","34","38","30","32","29","0","0","0","0","0","0","0","104","0.454","125","0.546","9","0.039","39","0.17","157","0.686","6","0.026","1","0.004","17","0.074","0","0.0","71","0.31","5","0.022","177","77.3%","78.4%"
"01M063","The STAR Academy - P.S.63","2020-21","208","17","37","31","33","34","26","30","0","0","0","0","0","0","0","99","0.476","109","0.524","6","0.029","40","0.192","132","0.635","7","0.034","1","0.005","19","0.091","3","0.014","58","0.279","3","0.014","160","76.9%","76.0%"
"01M064","P.S. 064 Robert Simon","2016-17","247","21","46","34","37","33","32","44","0","0","0","0","0","0","0","104","0.421","143","0.579","13","0.053","48","0.194","167","0.676","2","0.008","1","0.004","16","0.065","0","0.0","81","0.328","10","0.04","Above 95%","Above 95%","82.4%"
"01M064","P.S. 064 Robert Simon","2017-18","245","35","27","44","37","30","36","36","0","0","0","0","0","0","0","101","0.412","144","0.588","11","0.045","51","0.208","167","0.682","3","0.012","0","0.0","13","0.053","0","0.0","73","0.298","5","0.02","226","92.2%","88.2%"
"01M064","P.S. 064 Robert Simon","2018-19","223","19","42","32","40","29","28","33","0","0","0","0","0","0","0","93","0.417","130","0.583","7","0.031","41","0.184","159","0.713","4","0.018","0","0.0","12","0.054","0","0.0","64","0.287","6","0.027","193","86.5%","89.5%"
"01M064","P.S. 064 Robert Simon","2019-20","236","34","23","44","30","41","31","33","0","0","0","0","0","0","0","107","0.453","129","0.547","7","0.03","40","0.169","174","0.737","2","0.008","3","0.013","10","0.042","0","0.0","67","0.284","4","0.017","215","91.1%","91.6%"
"01M064","P.S. 064 Robert Simon","2020-21","220","18","28","24","43","32","43","32","0","0","0","0","0","0","0","97","0.441","123","0.559","7","0.032","40","0.182","160","0.727","2","0.009","1","0.005","9","0.041","1","0.005","58","0.264","4","0.018","201","91.4%","88.2%"
"01M110","P.S. 110 Florence Nightingale","2016-17","383","32","62","54","50","59","76","50","0","0","0","0","0","0","0","179","0.467","204","0.533","70","0.183","37","0.097","161","0.42","8","0.021","2","0.005","105","0.274","0","0.0","55","0.144","20","0.052","221","57.7%","48.5%"
"01M110","P.S. 110 Florence Nightingale","2017-18","379","30","64","52","55","48","57","73","0","0","0","0","0","0","0","166","0.438","213","0.562","64","0.169","37","0.098","168","0.443","10","0.026","1","0.003","99","0.261","0","0.0","48","0.127","14","0.037","237","62.5%","58.0%"
"01M110","P.S. 110 Florence Nightingale","2018-19","372","34","59","66","59","52","45","57","0","0","0","0","0","0","0","168","0.452","204","0.548","59","0.159","37","0.099","168","0.452","11","0.03","1","0.003","96","0.258","0","0.0","45","0.121","8","0.022","211","56.7%","59.4%"
"01M110","P.S. 110 Florence Nightingale","2019-20","396","35","68","63","74","52","54","50","0","0","0","0","0","0","0","173","0.437","223","0.563","64","0.162","38","0.096","180","0.455","11","0.028","2","0.005","101","0.255","0","0.0","48","0.121","10","0.025","241","60.9%","62.7%"
"01M110","P.S. 110 Florence Nightingale","2020-21","373","26","61","63","59","63","49","52","0","0","0","0","0","0","0","160","0.429","213","0.571","59","0.158","40","0.107","163","0.437","7","0.019","1","0.003","102","0.273","1","0.003","49","0.131","7","0.019","216","57.9%","64.6%"
"01M134","P.S. 134 Henrietta Szold","2016-17","354","22","29","58","51","61","59","74","0","0","0","0","0","0","0","171","0.483","183","0.517","55","0.155","71","0.201","213","0.602","1","0.003","3","0.008","10","0.028","1","0.003","143","0.404","33","0.093","319","90.1%","82.8%"
"01M134","P.S. 134 Henrietta Szold","2017-18","297","20","36","27","47","52","57","58","0","0","0","0","0","0","0","131","0.441","166","0.559","33","0.111","64","0.215","182","0.613","2","0.007","3","0.01","11","0.037","2","0.007","124","0.418","26","0.088","273","91.9%","90.1%"
"01M134","P.S. 134 Henrietta Szold","2018-19","281","14","43","37","35","45","53","54","0","0","0","0","0","0","0","126","0.448","155","0.552","27","0.096","73","0.26","169","0.601","1","0.004","2","0.007","9","0.032","0","0.0","121","0.431","24","0.085","263","93.6%","91.6%"
"01M134","P.S. 134 Henrietta Szold","2019-20","245","10","28","43","34","35","45","50","0","0","0","0","0","0","0","116","0.473","129","0.527","23","0.094","65","0.265","146","0.596","3","0.012","2","0.008","6","0.024","0","0.0","105","0.429","18","0.073","Above 95%","Above 95%","94.6%"
"01M134","P.S. 134 Henrietta Szold","2020-21","217","13","21","30","39","37","35","42","0","0","0","0","0","0","0","100","0.461","117","0.539","21","0.097","57","0.263","131","0.604","3","0.014","2","0.009","3","0.014","0","0.0","91","0.419","12","0.055","206","94.9%","94.2%"
"01M140","P.S. 140 Nathan Straus","2016-17","382","18","31","28","25","28","32","34","64","66","56","0","0","0","0","182","0.476","200","0.524","18","0.047","45","0.118","304","0.796","0","0.0","4","0.01","11","0.029","0","0.0","124","0.325","45","0.118","287","75.1%","83.6%"
"01M140","P.S. 140 Nathan Straus","2017-18","371","18","28","29","24","24","28","29","60","65","66","0","0","0","0","182","0.491","189","0.509","21","0.057","46","0.124","292","0.787","0","0.0","2","0.005","10","0.027","0","0.0","122","0.329","36","0.097","328","88.4%","91.3%"
"01M140","P.S. 140 Nathan Straus","2018-19","385","12","30","32","32","26","25","29","64","67","68","0","0","0","0","188","0.488","197","0.512","17","0.044","54","0.14","305","0.792","0","0.0","0","0.0","9","0.023","0","0.0","145","0.377","43","0.112","333","86.5%","90.0%"
"01M140","P.S. 140 Nathan Straus","2019-20","372","8","26","27","31","27","30","30","67","61","65","0","0","0","0","175","0.47","197","0.53","11","0.03","60","0.161","293","0.788","0","0.0","1","0.003","7","0.019","0","0.0","147","0.395","27","0.073","333","89.5%","93.3%"
"01M140","P.S. 140 Nathan Straus","2020-21","358","12","20","26","26","33","25","32","58","66","60","0","0","0","0","167","0.466","191","0.534","7","0.02","76","0.212","261","0.729","0","0.0","1","0.003","13","0.036","0","0.0","133","0.372","26","0.073","340","95.0%","92.3%"
"01M142","P.S. 142 Amalia Castro","2016-17","356","34","56","56","47","51","44","68","0","0","0","0","0","0","0","162","0.455","194","0.545","17","0.048","42","0.118","285","0.801","0","0.0","7","0.02","4","0.011","1","0.003","121","0.34","32","0.09","Above 95%","Above 95%","85.7%"
"01M142","P.S. 142 Amalia Castro","2017-18","340","32","68","56","49","44","50","41","0","0","0","0","0","0","0","152","0.447","188","0.553","8","0.024","43","0.126","281","0.826","0","0.0","6","0.018","1","0.003","1","0.003","127","0.374","27","0.079","Above 95%","Above 95%","91.1%"
"01M142","P.S. 142 Amalia Castro","2018-19","353","51","48","55","49","51","44","55","0","0","0","0","0","0","0","153","0.433","200","0.567","13","0.037","55","0.156","273","0.773","1","0.003","4","0.011","5","0.014","2","0.006","130","0.368","26","0.074","Above 95%","Above 95%","91.2%"
"01M142","P.S. 142 Amalia Castro","2019-20","329","51","56","43","48","44","45","42","0","0","0","0","0","0","0","147","0.447","182","0.553","4","0.012","54","0.164","253","0.769","2","0.006","6","0.018","8","0.024","2","0.006","110","0.334","22","0.067","Above 95%","Above 95%","90.2%"
"01M142","P.S. 142 Amalia Castro","2020-21","317","43","53","49","37","45","44","46","0","0","0","0","0","0","0","137","0.432","180","0.568","1","0.003","57","0.18","242","0.763","2","0.006","5","0.016","7","0.022","3","0.009","90","0.284","21","0.066","300","94.6%","90.4%"
"01M184","P.S. 184m Shuang Wen","2016-17","672","36","71","59","68","65","56","63","89","86","79","0","0","0","0","330","0.491","342","0.509","468","0.696","30","0.045","81","0.121","28","0.042","8","0.012","57","0.085","0","0.0","125","0.186","109","0.162","461","68.6%","52.5%"
"01M184","P.S. 184m Shuang Wen","2017-18","684","35","72","69","54","72","65","53","94","83","87","0","0","0","0","341","0.499","343","0.501","475","0.694","25","0.037","92","0.135","35","0.051","6","0.009","50","0.073","1","0.001","113","0.165","103","0.151","465","68.0%","65.3%"
"01M184","P.S. 184m Shuang Wen","2018-19","678","36","63","64","64","50","65","62","101","88","85","0","0","0","0","337","0.497","341","0.503","468","0.69","27","0.04","89","0.131","39","0.058","3","0.004","51","0.075","1","0.001","109","0.161","99","0.146","461","68.0%","67.2%"
"01M184","P.S. 184m Shuang Wen","2019-20","707","36","76","58","63","62","51","62","101","107","91","0","0","0","0","355","0.502","352","0.498","498","0.704","24","0.034","84","0.119","45","0.064","3","0.004","52","0.074","1","0.001","117","0.165","99","0.14","469","66.3%","67.1%"
"01M184","P.S. 184m Shuang Wen","2020-21","721","36","75","71","55","61","61","51","96","104","111","0","0","0","0","351","0.487","370","0.513","500","0.693","23","0.032","83","0.115","49","0.068","3","0.004","61","0.085","2","0.003","111","0.154","113","0.157","483","67.0%","64.1%"
"01M188","P.S. 188 The Island School","2016-17","445","29","35","41","47","48","49","34","52","52","58","0","0","0","0","195","0.438","250","0.562","10","0.022","141","0.317","278","0.625","1","0.002","0","0.0","15","0.034","0","0.0","138","0.31","64","0.144","382","85.8%","92.7%"
"01M188","P.S. 188 The Island School","2017-18","433","19","37","40","43","43","47","42","47","55","60","0","0","0","0","185","0.427","248","0.573","8","0.018","127","0.293","286","0.661","0","0.0","0","0.0","12","0.028","0","0.0","135","0.312","69","0.159","399","92.1%","Above 95%"
"01M188","P.S. 188 The Island School","2018-19","407","16","24","37","32","49","39","55","48","54","53","0","0","0","0","181","0.445","226","0.555","6","0.015","134","0.329","249","0.612","1","0.002","2","0.005","15","0.037","0","0.0","148","0.364","30","0.074","Above 95%","Above 95%","Above 95%"
"01M188","P.S. 188 The Island School","2019-20","398","13","29","24","50","33","50","39","55","48","57","0","0","0","0","181","0.455","217","0.545","11","0.028","125","0.314","250","0.628","0","0.0","3","0.008","9","0.023","0","0.0","135","0.339","39","0.098","Above 95%","Above 95%","Above 95%"
"01M188","P.S. 188 The Island School","2020-21","370","9","19","33","29","42","36","47","46","60","49","0","0","0","0","163","0.441","207","0.559","14","0.038","120","0.324","221","0.597","2","0.005","2","0.005","11","0.03","0","0.0","123","0.332","32","0.086","Above 95%","Above 95%","Above 95%"
"01M292","Orchard Collegiate Academy","2016-17","140","0","0","0","0","0","0","0","0","0","0","40","35","31","34","53","0.379","87","0.621","21","0.15","34","0.243","77","0.55","0","0.0","0","0.0","7","0.05","1","0.007","38","0.271","20","0.143","128","91.4%","84.7%"
"01M292","Orchard Collegiate Academy","2017-18","171","0","0","0","0","0","0","0","0","0","0","72","40","30","29","81","0.474","90","0.526","19","0.111","43","0.251","97","0.567","0","0.0","2","0.012","8","0.047","2","0.012","41","0.24","23","0.135","157","91.8%","89.9%"
"01M292","Orchard Collegiate Academy","2018-19","197","0","0","0","0","0","0","0","0","0","0","67","70","35","25","91","0.462","106","0.538","19","0.096","53","0.269","112","0.569","0","0.0","5","0.025","6","0.03","2","0.01","57","0.289","23","0.117","163","82.7%","87.5%"
"01M292","Orchard Collegiate Academy","2019-20","226","0","0","0","0","0","0","0","0","0","0","65","64","65","32","101","0.447","125","0.553","27","0.119","58","0.257","127","0.562","0","0.0","4","0.018","6","0.027","4","0.018","65","0.288","21","0.093","191","84.5%","87.8%"
"01M292","Orchard Collegiate Academy","2020-21","296","0","0","0","0","0","0","0","0","0","0","108","57","66","65","143","0.483","153","0.517","30","0.101","75","0.253","174","0.588","1","0.003","6","0.02","3","0.01","7","0.024","81","0.274","22","0.074","226","76.4%","83.1%"
"01M315","The East Village Community School","2016-17","315","36","48","49","49","44","47","42","0","0","0","0","0","0","0","155","0.492","160","0.508","32","0.102","17","0.054","61","0.194","21","0.067","0","0.0","184","0.584","0","0.0","59","0.187","4","0.013","71","22.5%","26.0%"
"01M315","The East Village Community School","2017-18","318","36","46","50","50","48","40","48","0","0","0","0","0","0","0","161","0.506","157","0.494","32","0.101","17","0.053","64","0.201","21","0.066","1","0.003","183","0.575","0","0.0","56","0.176","4","0.013","86","27.0%","36.9%"
"01M315","The East Village Community School","2018-19","333","36","50","49","50","50","53","45","0","0","0","0","0","0","0","174","0.523","159","0.477","32","0.096","15","0.045","77","0.231","17","0.051","1","0.003","191","0.574","0","0.0","54","0.162","5","0.015","94","28.2%","34.9%"
"01M315","The East Village Community School","2019-20","330","36","50","47","45","52","46","54","0","0","0","0","0","0","0","164","0.497","166","0.503","32","0.097","15","0.045","76","0.23","18","0.055","1","0.003","188","0.57","0","0.0","59","0.179","3","0.009","99","30.0%","38.2%"
"01M315","The East Village Community School","2020-21","297","34","50","44","43","40","46","40","0","0","0","0","0","0","0","144","0.485","153","0.515","33","0.111","12","0.04","77","0.259","19","0.064","1","0.003","155","0.522","0","0.0","50","0.168","4","0.013","95","32.0%","37.9%"
"01M332","University Neighborhood Middle School","2016-17","234","0","0","0","0","0","0","0","67","77","90","0","0","0","0","102","0.436","132","0.564","22","0.094","67","0.286","133","0.568","0","0.0","1","0.004","11","0.047","0","0.0","109","0.466","23","0.098","205","87.6%","80.1%"
"01M332","University Neighborhood Middle School","2017-18","203","0","0","0","0","0","0","0","69","65","69","0","0","0","0","88","0.433","115","0.567","18","0.089","47","0.232","128","0.631","2","0.01","0","0.0","8","0.039","0","0.0","89","0.438","11","0.054","180","88.7%","84.8%"
"01M332","University Neighborhood Middle School","2018-19","209","0","0","0","0","0","0","0","69","77","63","0","0","0","0","90","0.431","119","0.569","18","0.086","41","0.196","131","0.627","2","0.01","0","0.0","17","0.081","0","0.0","94","0.45","7","0.033","176","84.2%","81.6%"
"01M332","University Neighborhood Middle School","2019-20","218","0","0","0","0","0","0","0","71","72","75","0","0","0","0","82","0.376","136","0.624","16","0.073","43","0.197","137","0.628","2","0.009","0","0.0","20","0.092","0","0.0","91","0.417","11","0.05","181","83.0%","81.7%"
"01M332","University Neighborhood Middle School","2020-21","207","0","0","0","0","0","0","0","66","71","70","0","0","0","0","78","0.377","129","0.623","11","0.053","41","0.198","133","0.643","0","0.0","1","0.005","21","0.101","0","0.0","88","0.425","8","0.039","164","79.2%","84.3%"
"01M361","The Children's Workshop School","2016-17","295","35","59","55","48","35","35","28","0","0","0","0","0","0","0","140","0.475","155","0.525","30","0.102","29","0.098","114","0.386","14","0.047","0","0.0","108","0.366","0","0.0","67","0.227","12","0.041","142","48.1%","45.6%"
"01M361","The Children's Workshop School","2017-18","315","36","57","61","48","46","35","32","0","0","0","0","0","0","0","146","0.463","169","0.537","31","0.098","29","0.092","124","0.394","19","0.06","1","0.003","111","0.352","0","0.0","73","0.232","9","0.029","144","45.7%","50.5%"
"01M361","The Children's Workshop School","2018-19","320","36","54","47","55","43","48","37","0","0","0","0","0","0","0","149","0.466","171","0.534","31","0.097","33","0.103","127","0.397","16","0.05","1","0.003","112","0.35","0","0.0","81","0.253","11","0.034","157","49.1%","53.4%"
"01M361","The Children's Workshop School","2019-20","336","38","64","47","45","52","45","45","0","0","0","0","0","0","0","156","0.464","180","0.536","33","0.098","35","0.104","130","0.387","20","0.06","1","0.003","116","0.345","1","0.003","85","0.253","13","0.039","159","47.3%","53.6%"
"01M361","The Children's Workshop School","2020-21","304","29","51","53","48","38","45","40","0","0","0","0","0","0","0","149","0.49","155","0.51","33","0.109","30","0.099","118","0.388","23","0.076","2","0.007","97","0.319","1","0.003","70","0.23","12","0.039","158","52.0%","54.5%"
"01M363","Neighborhood School","2016-17","304","18","58","51","56","44","43","34","0","0","0","0","0","0","0","148","0.487","156","0.513","15","0.049","33","0.109","105","0.345","6","0.02","2","0.007","142","0.467","1","0.003","69","0.227","10","0.033","121","39.8%","39.9%"
"01M363","Neighborhood School","2017-18","304","18","56","50","49","51","43","37","0","0","0","0","0","0","0","149","0.49","155","0.51","19","0.063","28","0.092","106","0.349","8","0.026","2","0.007","140","0.461","1","0.003","69","0.227","10","0.033","133","43.8%","47.8%"
"01M363","Neighborhood School","2018-19","306","36","39","59","40","48","44","40","0","0","0","0","0","0","0","145","0.474","161","0.526","21","0.069","27","0.088","115","0.376","11","0.036","3","0.01","129","0.422","0","0.0","72","0.235","4","0.013","126","41.2%","46.0%"
"01M363","Neighborhood School","2019-20","306","36","50","41","55","42","43","39","0","0","0","0","0","0","0","154","0.503","152","0.497","21","0.069","31","0.101","106","0.346","25","0.082","1","0.003","122","0.399","0","0.0","67","0.219","4","0.013","128","41.8%","46.2%"
"01M363","Neighborhood School","2020-21","270","25","46","46","30","48","36","39","0","0","0","0","0","0","0","137","0.507","133","0.493","19","0.07","32","0.119","94","0.348","23","0.085","1","0.004","101","0.374","0","0.0","62","0.23","4","0.015","118","43.7%","47.3%"
"01M364","Earth School","2016-17","331","36","48","48","56","48","49","46","0","0","0","0","0","0","0","163","0.492","168","0.508","20","0.06","43","0.13","113","0.341","28","0.085","0","0.0","127","0.384","0","0.0","85","0.257","17","0.051","164","49.5%","44.8%"
"01M364","Earth School","2017-18","355","35","62","53","47","55","51","52","0","0","0","0","0","0","0","161","0.454","194","0.546","24","0.068","40","0.113","139","0.392","31","0.087","0","0.0","121","0.341","0","0.0","103","0.29","21","0.059","194","54.6%","55.4%"
"01M364","Earth School","2018-19","350","36","61","54","48","48","57","46","0","0","0","0","0","0","0","157","0.449","193","0.551","25","0.071","38","0.109","141","0.403","28","0.08","0","0.0","118","0.337","0","0.0","102","0.291","21","0.06","198","56.6%","57.9%"
"01M364","Earth School","2019-20","344","31","61","54","51","49","45","53","0","0","0","0","0","0","0","147","0.427","197","0.573","18","0.052","40","0.116","136","0.395","31","0.09","0","0.0","119","0.346","0","0.0","102","0.297","12","0.035","197","57.3%","57.2%"
"01M364","Earth School","2020-21","291","23","39","53","46","42","46","42","0","0","0","0","0","0","0","121","0.416","170","0.584","19","0.065","36","0.124","118","0.405","33","0.113","0","0.0","85","0.292","0","0.0","81","0.278","8","0.027","161","55.3%","60.0%"
"01M378","School for Global Leaders","2016-17","283","0","0","0","0","0","0","0","101","97","85","0","0","0","0","126","0.445","157","0.555","41","0.145","77","0.272","156","0.551","1","0.004","3","0.011","5","0.018","0","0.0","103","0.364","29","0.102","195","68.9%","74.6%"
"01M378","School for Global Leaders","2017-18","256","0","0","0","0","0","0","0","70","90","96","0","0","0","0","111","0.434","145","0.566","35","0.137","70","0.273","145","0.566","1","0.004","1","0.004","4","0.016","0","0.0","100","0.391","23","0.09","212","82.8%","85.3%"
"01M378","School for Global Leaders","2018-19","250","0","0","0","0","0","0","0","63","86","101","0","0","0","0","103","0.412","147","0.588","32","0.128","59","0.236","141","0.564","6","0.024","2","0.008","10","0.04","0","0.0","97","0.388","25","0.1","213","85.2%","84.9%"
"01M378","School for Global Leaders","2019-20","204","0","0","0","0","0","0","0","47","67","90","0","0","0","0","89","0.436","115","0.564","17","0.083","50","0.245","121","0.593","4","0.02","2","0.01","10","0.049","0","0.0","83","0.407","17","0.083","174","85.3%","85.4%"
"01M378","School for Global Leaders","2020-21","185","0","0","0","0","0","0","0","70","50","65","0","0","0","0","81","0.438","104","0.562","14","0.076","34","0.184","115","0.622","4","0.022","2","0.011","16","0.086","0","0.0","65","0.351","23","0.124","160","86.5%","90.0%"
"01M448","University Neighborhood High School","2016-17","392","0","0","0","0","0","0","0","0","0","0","136","111","78","67","176","0.449","216","0.551","119","0.304","94","0.24","166","0.423","0","0.0","2","0.005","11","0.028","0","0.0","58","0.148","35","0.089","351","89.5%","75.3%"
"01M448","University Neighborhood High School","2017-18","465","0","0","0","0","0","0","0","0","0","0","160","130","94","81","198","0.426","267","0.574","141","0.303","100","0.215","206","0.443","1","0.002","2","0.004","15","0.032","0","0.0","80","0.172","49","0.105","415","89.2%","82.9%"
"01M448","University Neighborhood High School","2018-19","483","0","0","0","0","0","0","0","0","0","0","131","139","120","93","230","0.476","253","0.524","178","0.369","94","0.195","184","0.381","2","0.004","2","0.004","22","0.046","1","0.002","82","0.17","71","0.147","421","87.2%","82.8%"
"01M448","University Neighborhood High School","2019-20","492","0","0","0","0","0","0","0","0","0","0","130","122","123","117","233","0.474","259","0.526","187","0.38","81","0.165","198","0.402","2","0.004","2","0.004","22","0.045","0","0.0","82","0.167","69","0.14","431","87.6%","85.0%"
"01M448","University Neighborhood High School","2020-21","570","0","0","0","0","0","0","0","0","0","0","163","139","137","131","304","0.533","266","0.467","182","0.319","103","0.181","251","0.44","3","0.005","5","0.009","26","0.046","0","0.0","104","0.182","83","0.146","503","88.2%","82.7%"
"01M450","East Side Community School","2016-17","699","0","0","0","0","0","0","0","108","91","107","107","96","101","89","335","0.479","364","0.521","78","0.112","126","0.18","381","0.545","5","0.007","8","0.011","93","0.133","8","0.011","200","0.286","4","0.006","475","68.0%","57.5%"
