"system","df_activated","fountaintype","fountaincount","painted","filter_installed","position","outdoor","gispropnum","propertyname","omppropid","subpropertyname","parkdistrict","borough","ampsid","ampsclass","ampsstatus","ampsparentid","ampsname","communityboard","councildistrict","precinct","zipcode","x","y"
"B008-DF0022","Activated","F High Low","2","true","false","Out in Open","true","B008","Betsy Head Park","B008-03","Imagination Playground at Betsy Head","B-16","B","100037432","DRINKFTN","I","B008-03","F High Low-Betsy Head Park-Imagination Playground at Betsy Head","316","41","73","11212","1008737.14064621","181296.542968556"
"B008-DF0133","Broken","A","1","true","false","Near Ballfield","true","B008","Betsy Head Park","B008",,"B-16","B","100037575","DRINKFTN","I","B008","A-Betsy Head Park","316","41","73","11212","1008028.22736588","180863.657679483"
"B008-DF0136","Broken","A","1","true","false","Under Tree, In Shade","true","B008","Betsy Head Park","B008",,"B-16","B","100037571","DRINKFTN","I","B008","A-Betsy Head Park","316","41","73","11212","1008184.42259155","180525.777449727"
"B008-DF0137","Broken","A","1","true","false","Near Ballfield","true","B008","Betsy Head Park","B008",,"B-16","B","100037493","DRINKFTN","I","B008","A-Betsy Head Park","316","41","73","11212","1008329.18608155","180674.919539898"
"B008-DF0139","Activated","A","1","true","false","Out in Open","true","B008","Betsy Head Park","B008",,"B-16","B","100037565","DRINKFTN","I","B008","A-Betsy Head Park","316","41","73","11212","1008425.68260772","180608.617835223"
"B008-DF0140","Activated","D","1","true","true","Out in Open","true","B008","Betsy Head Park","B008",,"B-16","B","100037498","DRINKFTN","I","B008","D-Betsy Head Park","316","41","73","11212","1008347.29660964","180975.944200307"
"B008-DF0141","Activated","A","1","true","false","Out in Open","true","B008","Betsy Head Park","B008",,"B-16","B","100037522","DRINKFTN","I","B008","A-Betsy Head Park","316","41","73","11212","1008542.41334538","181012.305676147"
"B008-DF1027","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B008","Betsy Head Park","B008",,"B-16","B","100042935","DRINKFTN","I","B008-BLG1187","Indoor Fountain-Betsy Head Park-Field House","316","41","73","11212","1008610.0349293","180838.288963809"
"B008-DF1037","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B008","Betsy Head Park","B008",,"B-16","B","100042964","DRINKFTN","I","B008-BLG1187","Indoor Drinking Fountain-Betsy Head Park-Field House","316","41","73","11212","1008610.0349293","180838.288963809"
"B010-DF0637","NotYetActivated","A","1","false","false",,"true","B010","Brooklyn Botanic Garden","B010",,"B-19","B","100038852","DRINKFTN","I","B010","A-Brooklyn Botanic Garden","355","35","78","11238","994005.592353478","183237.284165814"
"B010-DF0980","NotYetActivated","E High Low","2",,"false",,"true","B010","Brooklyn Botanic Garden","B010",,"B-19","B","100042941","DRINKFTN","I","B010","E High Low-Brooklyn Botanic Garden","355","35","78","11238","994148.864376634","182364.928955137"
"B010-DF0984","NotYetActivated","E","1",,"false",,"true","B010","Brooklyn Botanic Garden","B010",,"B-19","B","100042972","DRINKFTN","I","B010","E-Brooklyn Botanic Garden","355","35","78","11238","994726.746422976","181768.635200232"
"B010-DF0985","NotYetActivated","E","1",,"false",,"true","B010","Brooklyn Botanic Garden","B010",,"B-19","B","100042952","DRINKFTN","I","B010","E-Brooklyn Botanic Garden","355","35","78","11238","994727.66440013","181125.018705308"
"B010-DF0986","NotYetActivated","E","1",,"false",,"true","B010","Brooklyn Botanic Garden","B010",,"B-19","B","100042977","DRINKFTN","I","B010","E-Brooklyn Botanic Garden","355","35","78","11238","994820.592691972","181485.549808397"
"B012-DF0463","Activated","C","1","true","false","Under Tree, In Playground","true","B012","Brower Park","B012-03","Brower Park","B-08","B","100038054","DRINKFTN","I","B012-03","C-Brower Park-Brower Park","308","36","77","11213","999978.754619717","184953.855863899"
"B012-DF0466","Activated","C","1","true","true","Out in Open","true","B012","Brower Park","B012",,"B-08","B","100037997","DRINKFTN","I","B012","C-Brower Park","308","36","77","11213","999837.982263475","184793.689845636"
"B016-DF0012","Broken","C","1","false","false","In Playground","true","B016","Maria Hernandez Park","B016-01","Maria Hernandez Park Playground","B-04","B","100037431","DRINKFTN","I","B016-01","C-Maria Hernandez Park-Maria Hernandez Park Playground","304","34","83","11237","1005255.42648105","195413.508172899"
"B016-DF0013","Activated","E","1","true","false","Out in Open","true","B016","Maria Hernandez Park","B016",,"B-04","B","100037411","DRINKFTN","I","B016","E-Maria Hernandez Park","304","34","83","11237","1005289.06748989","195461.591738149"
"B016-DF0014","Activated","E High Low","2","true","false","Out in Open","true","B016","Maria Hernandez Park","B016",,"B-04","B","100037428","DRINKFTN","I","B016","E High Low-Maria Hernandez Park","304","34","83","11237","1005436.05440063","195483.269516304"
"B016-DF0015","Activated","A","1","true","false","Near Ballfield","true","B016","Maria Hernandez Park","B016-02","Maria Hernandez Park","B-04","B","100037408","DRINKFTN","I","B016-02","A-Maria Hernandez Park-Maria Hernandez Park","304","34","83","11237","1005402.87566122","195727.05774264"
"B016-DF0016","Activated","E and Dog","2","true","true","Out in Open","true","B016","Maria Hernandez Park","B016",,"B-04","B","100037425","DRINKFTN","I","B016","E and Dog-Maria Hernandez Park","304","34","83","11237","1005528.38295613","195722.065298557"
"B016-DF0017","Activated","E and Dog","2","true","true","Out in Open","true","B016","Maria Hernandez Park","B016",,"B-04","B","100037405","DRINKFTN","I","B016","E and Dog-Maria Hernandez Park","304","34","83","11237","1005564.27363239","195715.39634864"
"B017-DF0043","Activated","A","1","true","false","Out in Open, Near Ballfield","true","B017","Bushwick Playground","B017",,"B-04","B","100037458","DRINKFTN","I","B017","A-Bushwick Playground","304","37","83","11237","1008379.95238421","192823.812564894"
"B017-DF0044","Activated","A","1","true","false","Out in Open, Near Ballfield","true","B017","Bushwick Playground","B017",,"B-04","B","100037479","DRINKFTN","I","B017","A-Bushwick Playground","304","37","83","11237","1008366.96126846","192907.577817305"
"B017-DF0045","Activated","A","1","true","false","Just Outside Playground, Near Ballfield","true","B017","Bushwick Playground","B017",,"B-04","B","100037455","DRINKFTN","I","B017","A-Bushwick Playground","304","37","83","11237","1008639.66315089","192925.078438475"
"B017-DF0046","Activated","C","1","false","false","Under Tree, In Shade, Out in Open, Near Ballfield, Just Outside Playground","true","B017","Bushwick Playground","B017",,"B-04","B","100037476","DRINKFTN","I","B017","C-Bushwick Playground","304","37","83","11237","1008697.60299563","192895.769113898"
"B017-DF0047","Activated","C","1","false","false","Under Tree, In Shade, Out in Open, In Playground","true","B017","Bushwick Playground","B017",,"B-04","B","100037452","DRINKFTN","I","B017","C-Bushwick Playground","304","37","83","11237","1008732.96939471","192801.862805649"
"B017-DF0048","Activated","C","1","false","false","Out in Open, Just Outside Playground","true","B017","Bushwick Playground","B017",,"B-04","B","100037488","DRINKFTN","I","B017","C-Bushwick Playground","304","37","83","11237","1008662.42721296","192849.787250474"
"B018-DF0200","Activated","E and Dog","2","true","false","Out in Open","true","B018","Canarsie Park","B018-ZN02","Canarsie Park Zone 2","B-18","B","100037613","DRINKFTN","I","B018-ZN02","E and Dog-Canarsie Park-Canarsie Park Zone 2","318","46","69","11236","1013060.0929583","168383.100619643"
"B018-DF0807","Activated","H","1","true","false","Near Ballfield, Out in Open","true","B018","Canarsie Park","B018-ZN01","Canarsie Park Zone 1","B-18","B","100039887","DRINKFTN","I","B018-ZN01","H-Canarsie Park-Canarsie Park Zone 1","318","46","69","11236","1013795.16825979","168223.815505146"
"B018-DF0808","Activated","A","1","true","false","Near Ballfield, Under Tree","true","B018","Canarsie Park","B018-ZN01","Canarsie Park Zone 1","B-18","B","100039811","DRINKFTN","I","B018-ZN01","A-Canarsie Park-Canarsie Park Zone 1","318","46","69","11236","1013541.21469947","168110.401033803"
"B018-DF0809","Activated","H","1","true","false","Near Ballfield, Out in Open","true","B018","Canarsie Park","B018-ZN01","Canarsie Park Zone 1","B-18","B","100039792","DRINKFTN","I","B018-ZN01","H-Canarsie Park-Canarsie Park Zone 1","318","46","69","11236","1013339.9093278","168514.855277389"
"B018-DF0810","Activated","A","1","true","false","Out in Open, Near Ballfield","true","B018","Canarsie Park","B018-ZN01","Canarsie Park Zone 1","B-18","B","100039808","DRINKFTN","I","B018-ZN01","A-Canarsie Park-Canarsie Park Zone 1","318","46","69","11236","1013595.00691472","168742.354166224"
"B018-DF0811","Activated","D","1","false","false","Out in Open, In Playground","true","B018","Canarsie Park","B018-01","Dinapoli Plgd","B-18","B","100039834","DRINKFTN","I","B018-01","D-Canarsie Park-Dinapoli Plgd","318","46","69","11236","1014038.11232772","169176.024230644"
"B018-DF0812","Activated","A","1","false","false","Out in Open, In Playground","true","B018","Canarsie Park","B018-01","Dinapoli Plgd","B-18","B","100039859","DRINKFTN","I","B018-01","A-Canarsie Park-Dinapoli Plgd","318","46","69","11236","1013895.91576172","169071.305608063"
"B018-DF0813","Activated","A","1","false","false","In Playground, Out in Open","true","B018","Canarsie Park","B018-01","Dinapoli Plgd","B-18","B","100039862","DRINKFTN","I","B018-01","A-Canarsie Park-Dinapoli Plgd","318","46","69","11236","1013847.25444172","169090.285885065"
"B018-DF0814","Broken","A","1","true","false","Near Ballfield, Out in Open","true","B018","Canarsie Park","B018-ZN01","Canarsie Park Zone 1","B-18","B","100039885","DRINKFTN","I","B018-ZN01","A-Canarsie Park-Canarsie Park Zone 1","318","46","69","11236","1013974.50582763","168754.343315482"
"B018-DF0815","Broken","A","1","true","false","Out in Open, Near Ballfield","true","B018","Canarsie Park","B018-ZN01","Canarsie Park Zone 1","B-18","B","100039809","DRINKFTN","I","B018-ZN01","A-Canarsie Park-Canarsie Park Zone 1","318","46","69","11236","1013988.73283331","168418.482438638"
"B018-DF0816","Activated","C","1","false","false","In Playground, Out in Open","true","B018","Canarsie Park","B018-02","Canarsie Playground","B-18","B","100039836","DRINKFTN","I","B018-02","C-Canarsie Park-Canarsie Playground","318","46","69","11236","1012146.43041555","167735.40145573"
"B018-DF0817","Activated","C","1","false","false","Out in Open, Near Ballfield","true","B018","Canarsie Park","B018-ZN02","Canarsie Park Zone 2","B-18","B","100039874","DRINKFTN","I","B018-ZN02","C-Canarsie Park-Canarsie Park Zone 2","318","46","69","11236","1011952.30186679","167402.796477898"
"B018-DF1058","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B018","Canarsie Park","B018-ZN01","Canarsie Park Zone 1","B-18","B","100042957","DRINKFTN","I","B018-BLG1203","Indoor Drinking Fountain-Canarsie Park-Comfort Station","318","46","69","11236","1013125.66533371","168441.261264473"
"B018-DF1121","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B018","Canarsie Park","B018-ZN01","Canarsie Park Zone 1","B-18","B","100042936","DRINKFTN","I","B018-BLG1203","Indoor Drinking Fountain-Canarsie Park-Comfort Station","318","46","69","11236","1013125.66533371","168441.261264473"
"B019-DF0242","Activated","A","1","false","false","In Playground","true","B019","Carroll Park","B019",,"B-06","B","100037600","DRINKFTN","I","B019","A-Carroll Park","306","39","76","11231","985658.233392059","187366.497692137"
"B019-DF0243","Activated","A","1","false","false","In Playground","true","B019","Carroll Park","B019",,"B-06","B","100037625","DRINKFTN","I","B019","A-Carroll Park","306","39","76","11231","985483.318059474","187446.659605309"
"B019-DF0245","Activated","C","1","false","false","Near Ballfield, In Playground","true","B019","Carroll Park","B019",,"B-06","B","100037654","DRINKFTN","I","B019","C-Carroll Park","306","39","76","11231","985316.721935972","187524.360893473"
"B021-DF0227","Activated","A","1","true","true","Under Tree, Just Outside Playground, Out in Open","true","B021","Commodore Barry Park","B021",,"B-02","B","100037597","DRINKFTN","I","B021","A-Commodore Barry Park","302","35","88","11201","990049.673099964","193407.898667067"
"B021-DF0228","Activated","F","1","true","false","Out in Open, Near Ballfield, Just Outside Playground","true","B021","Commodore Barry Park","B021",,"B-02","B","100037620","DRINKFTN","I","B021","F-Commodore Barry Park","302","35","88","11201","990267.924631968","193387.670032978"
"B021-DF0230","Activated","F","1","true","false","Out in Open","true","B021","Commodore Barry Park","B021",,"B-02","B","100037593","DRINKFTN","I","B021","F-Commodore Barry Park","302","35","88","11201","990432.314723134","193069.121129393"
"B021-DF0733","Activated","A","1","true","false","In Playground, Under Tree","true","B021","Commodore Barry Park","B021-01","Commodore Barry Park Playground","B-02","B","100039103","DRINKFTN","I","B021-01","A-Commodore Barry Park-Commodore Barry Park Playground","302","35","88","11201","990174.571472227","193588.2519809"
"B021-DF0734","Activated","A","1","true","false","Under Tree, Just Outside Playground","true","B021","Commodore Barry Park","B021",,"B-02","B","100039140","DRINKFTN","I","B021","A-Commodore Barry Park","302","35","88","11201","990221.043820217","193259.480656802"
"B021-DF0735","Activated","A","1","true","true","Near Ballfield","true","B021","Commodore Barry Park","B021",,"B-02","B","100039104","DRINKFTN","I","B021","A-Commodore Barry Park","302","35","88","11201","989711.070758804","193298.44252114"
"B021-DF1081","NotYetActivated","Indoor Drinking Fountain","1",,"true","Indoor","false","B021","Commodore Barry Park","B021",,"B-02","B","100042342","DRINKFTN","I","B021-BLG1003","Indoor Drinking Fountain-Commodore Barry Park-Women's Bathhouse","302","35","88","11201","990407.050009891","193406.357331559"
"B021-DF1112","NotYetActivated","Indoor Drinking Fountain","1",,"true","Indoor","false","B021","Commodore Barry Park","B021",,"B-02","B","100042346","DRINKFTN","I","B021-BLG1004","Indoor Drinking Fountain-Commodore Barry Park-Men's Bathhouse","302","35","88","11201","990426.062439054","193523.64777939"
"B021-DF1129","Activated","Slop Sink","1",,"false","Indoor","false","B021","Commodore Barry Park","B021",,"B-02","B","100042486","DRINKFTN","I","B021-BLG1003","Slop Sink-Commodore Barry Park-Women's Bathhouse","302","35","88","11201","990407.050009891","193406.357331559"
"B021-DF1131","Activated","Slop Sink","1",,"false","Indoor","false","B021","Commodore Barry Park","B021",,"B-02","B","100042467","DRINKFTN","I","B021-BLG1004","Slop Sink-Commodore Barry Park-Men's Bathouse","302","35","88","11201","990426.062439054","193523.64777939"
"B022-DF0481","Activated","C","1","false","false","Just Outside Playground","true","B022","Middleton Playground","B022",,"B-01","B","100038158","DRINKFTN","I","B022","C-Middleton Playground","301","33","90","11206","996677.165750473","194539.407886981"
"B023-DF0979","Activated","D","1",,"false",,"true","B023","Lafayette Playground","B023",,"B-03","B","100042954","DRINKFTN","I","B023","D-Lafayette Playground","303","36","81","11221","1003648.50449804","191573.960405811"
"B025-DF0395","Activated","E","1","false","false","In Playground","true","B025","Cooper Park","B025",,"B-01","B","100037945","DRINKFTN","I","B025","E-Cooper Park","301","34","90","11211","1001907.8947903","199958.703806892"
"B025-DF0396","Activated","E","1","false","false","Near Ballfield","true","B025","Cooper Park","B025",,"B-01","B","100037991","DRINKFTN","I","B025","E-Cooper Park","301","34","90","11211","1001893.38596105","200066.496898397"
"B025-DF0397","Activated","C","1","false","false","In Playground","true","B025","Cooper Park","B025-01","Carnegie Plgd","B-01","B","100037912","DRINKFTN","I","B025-01","C-Cooper Park-Carnegie Plgd","301","34","90","11211","1001580.63068105","200199.924124971"
"B026-DF0717","Activated","E","1","true","false","In Playground, Under Tree","true","B026","Cuyler Gore Park","B026",,"B-02","B","100039115","DRINKFTN","I","B026","E-Cuyler Gore Park","302","35","88","11238","991999.486785635","189074.899787142"
"B028-DF0651","Activated","A","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100038999","DRINKFTN","I","B028-ZN01","A-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11228","978491.653893217","160455.73294422"
"B028-DF0652","Activated","A","1","false","true","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100039027","DRINKFTN","I","B028-ZN01","A-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11228","978890.09765014","160320.714185386"
"B028-DF0653","Activated","C","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100039007","DRINKFTN","I","B028-ZN01","C-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11228","978628.796007394","160245.125097721"
"B028-DF0654","Activated","C","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100038994","DRINKFTN","I","B028-ZN01","C-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11228","978649.954429641","160237.824587389"
"B028-DF0656","Activated","A","1","false","false","In Playground","true","B028","Dyker Beach Park","B028-01","Bay 8 Playground","B-10","B","100039087","DRINKFTN","I","B028-01","A-Dyker Beach Park-Bay 8 Playground","310","43","68","11228","979690.569474384","160320.083937317"
"B028-DF0657","Activated","A","1","false","false","In Playground","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100039043","DRINKFTN","I","B028-ZN01","A-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11228","979555.98772256","160468.638758316"
"B028-DF0659","Activated","A","1","false","true","In Playground","true","B028","Dyker Beach Park","B028-03","Dyker Plgd","B-10","B","100039044","DRINKFTN","I","B028-03","A-Dyker Beach Park-Dyker Plgd","310","43","68","11228","980828.948759302","162448.178106307"
"B028-DF0662","Activated","A","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN02","Dyker Beach Park Zone 2","B-10","B","100039060","DRINKFTN","I","B028-ZN02","A-Dyker Beach Park-Dyker Beach Park Zone 2","310","43","68","11228","980660.557035714","162349.725875392"
"B028-DF0664","Activated","A","1","false","false","In Playground","true","B028","Dyker Beach Park","B028-03","Dyker Plgd","B-10","B","100039085","DRINKFTN","I","B028-03","A-Dyker Beach Park-Dyker Plgd","310","43","68","11228","980640.673873394","162509.538219809"
"B028-DF0665","Activated","D","1","false","false","In Playground","true","B028","Dyker Beach Park","B028-03","Dyker Plgd","B-10","B","100039091","DRINKFTN","I","B028-03","D-Dyker Beach Park-Dyker Plgd","310","43","68","11228","980638.465872556","162632.74696289"
"B028-DF0666","Activated","C","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN02","Dyker Beach Park Zone 2","B-10","B","100039020","DRINKFTN","I","B028-ZN02","C-Dyker Beach Park-Dyker Beach Park Zone 2","310","43","68","11228","980202.742006465","162622.382482305"
"B028-DF0667","Activated","A","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN02","Dyker Beach Park Zone 2","B-10","B","100039063","DRINKFTN","I","B028-ZN02","A-Dyker Beach Park-Dyker Beach Park Zone 2","310","43","68","11228","980456.442942634","162842.310848221"
"B028-DF0726","Activated","A","1","false","false","Just Outside Playground","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100039163","DRINKFTN","I","B028-ZN01","A-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11228","979444.809795305","160062.450266227"
"B028-DF0727","Activated","A","1","false","false","Just Outside Playground","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100039165","DRINKFTN","I","B028-ZN01","A-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11228","979549.983141392","160194.978872567"
"B028-DF0860","Broken","A","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN02","Dyker Beach Park Zone 2","B-10","B","100040079","DRINKFTN","I","B028-ZN02","A-Dyker Beach Park-Dyker Beach Park Zone 2","310","43","68","11228","980438.553542718","162014.461454063"
"B028-DF0861","Broken","A","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN02","Dyker Beach Park Zone 2","B-10","B","100040010","DRINKFTN","I","B028-ZN02","A-Dyker Beach Park-Dyker Beach Park Zone 2","310","43","68","11228","980168.886431142","161611.548217892"
"B028-DF0862","Activated","Bottle Filler High Low","3","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN02","Dyker Beach Park Zone 2","B-10","B","100040005","DRINKFTN","I","B028-ZN02","Bottle Filler High Low-Dyker Beach Park-Dyker Beach Park Zone 2","310","43","68","11228","979824.671896472","162030.583140984"
"B028-DF0863","Activated","C","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN02","Dyker Beach Park Zone 2","B-10","B","100040076","DRINKFTN","I","B028-ZN02","C-Dyker Beach Park-Dyker Beach Park Zone 2","310","43","68","11228","979985.93305689","162248.659476473"
"B028-DF0864","Broken","A","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100040006","DRINKFTN","I","B028-ZN01","A-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11228","978664.729990631","159582.989282891"
"B028-DF0865","Activated","A","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100040070","DRINKFTN","I","B028-ZN01","A-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11228","979021.738462969","159578.829514309"
"B028-DF1021","Activated","Other","1",,"false",,"true","B028","Dyker Beach Park","B028",,"B-10","B","100042965","DRINKFTN","I","B028","Other-Dyker Beach Park","310","43","68","11228","978515.248990386","164396.856951728"
"B028-DF1022","Activated","Other","1",,"false",,"true","B028","Dyker Beach Park","B028",,"B-10","B","100042978","DRINKFTN","I","B028","Other-Dyker Beach Park","310","43","68","11228","978455.676931053","164363.001048311"
"B028-DF1103","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100042969","DRINKFTN","I","B028-ZN01-BLG1103","Indoor Drinking Fountain-Dyker Beach Park-DYKER BAY 86","310","43","68","11228","979316.18603681","159941.854050725"
"B028-DF1111","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B028","Dyker Beach Park","B028",,"B-10","B","100043588","DRINKFTN","I","B028-BLG1108","Indoor Drinking Fountain-Dyker Beach Park-DYKER GOLF","310","43","68","11228","978566.45820555","164040.92262423"
"B032-DF0002","Activated","E","1","true","true","In Playground, Under Tree","true","B032","Fort Greene Park","B032-01","Fort Greene Plgd","B-02","B","100037430","DRINKFTN","I","B032-01","E-Fort Greene Park-Fort Greene Plgd","302","35","88","11201","990627.357640132","191575.427594482"
"B032-DF0320","Activated","C","1","false","false","Out in Open","true","B032","Fort Greene Park","B032-ZN03","Fort Greene Park Zone 3","B-02","B","100037724","DRINKFTN","I","B032-ZN03","C-Fort Greene Park-Fort Greene Park Zone 3","302","35","88","11201","991242.045715227","191375.911589309"
"B032-DF0322","Activated","E and Dog","2","true","false","Out in Open","true","B032","Fort Greene Park","B032-ZN02","Fort Greene Park Zone 2","B-02","B","100037794","DRINKFTN","I","B032-ZN02","E and Dog-Fort Greene Park-Fort Greene Park Zone 2","302","35","88","11201","991267.982671216","190924.76911889"
"B032-DF0323","Activated","B","1","false","false","Out in Open","true","B032","Fort Greene Park","B032-ZN02","Fort Greene Park Zone 2","B-02","B","100037817","DRINKFTN","I","B032-ZN02","B-Fort Greene Park-Fort Greene Park Zone 2","302","35","88","11201","991089.8278438","190898.382360637"
"B032-DF0324","Activated","D","1","true","false","In Playground","true","B032","Fort Greene Park","B032-02","Fort Greene Park","B-02","B","100037845","DRINKFTN","I","B032-02","D-Fort Greene Park-Fort Greene Park","302","35","88","11201","991572.837704554","190736.64154239"
"B032-DF0867","Activated","A","1","false","false","In Playground","true","B032","Fort Greene Park","B032-01","Fort Greene Plgd","B-02","B","100040147","DRINKFTN","I","B032-01","A-Fort Greene Park-Fort Greene Playground","302","35","88","11201","990557.030681058","191516.213802143"
"B032-DF1104","Activated","Food Prep Sink","1",,"false","Indoor","false","B032","Fort Greene Park","B032-ZN03","Fort Greene Park Zone 3","B-02","B","100042958","DRINKFTN","I","B032-ZN01-BLG1013","Food Prep Sink-Fort Greene Park-Fort Greene Visitors Center","302","35","88","11201","991257.332758143","191473.143350228"
"B032-DF1105","Activated","Water Cooler","1",,"false","Indoor","false","B032","Fort Greene Park","B032-ZN03","Fort Greene Park Zone 3","B-02","B","100042938","DRINKFTN","I","B032-ZN01-BLG1013","Water Cooler-Fort Greene Park-Fort Greene Visitors Center","302","35","88","11201","991257.332758143","191473.143350228"
"B035-DF0699","Broken","A","1","false","false","Under Tree, Out in Open","true","B035","John Paul Jones Park","B035",,"B-10","B","100039133","DRINKFTN","I","B035","A-John Paul Jones Park","310","43","68","11209","974745.109220966","162134.602617979"
"B035-DF0700","Broken","A","1","false","false","Under Tree, Out in Open","true","B035","John Paul Jones Park","B035",,"B-10","B","100039146","DRINKFTN","I","B035","A-John Paul Jones Park","310","43","68","11209","975115.078953474","161841.9040564"
"B038-DF0309","Activated","D","1","false","false",,"true","B038","Fulton Park","B038",,"B-03","B","100037722","DRINKFTN","I","B038","D-Fulton Park","303","36","81","11233","1002591.1296443","186900.235501304"
"B038-DF0868","Activated","C","1","false","false","Under Tree, In Shade","true","B038","Fulton Park","B038",,"B-03","B","100040170","DRINKFTN","I","B038","C-Fulton Park","303","36","81","11233","1003197.56642355","187003.437394648"
"B042-DF0673","Activated","CS Metal","1","false","false","Just Outside Playground, Out in Open","true","B042","Gravesend Park","B042",,"B-12","B","100039039","DRINKFTN","I","B042","CS Metal-Gravesend Park","312","44","66","11204","988423.221628472","166595.505113482"
