"complaint_number","incident_address","incident_address_1","incident_address_2","incident_address_3","incident_address_4","complaint_type_311","descriptor_1_311","complaint_status","date_received","deleted","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"T-11-06-07-0078","38","COOPER STREET","38 COOPER STREET","11207","Brooklyn","Indoor Air Quality","Ventilation","05-Close","2011-06-07T09:30:46.000","No","40.684385","-73.910653","4","37","403","3079871","3034380028","Bushwick South"
"T-11-06-07-0079","247","WEST 29 STREET","247 WEST 29 STREET","10001","Manhattan","Asbestos","N/A","05-Close","2011-06-07T10:20:51.000","No","40.748436","-73.994262","5","3","95","1014281","1007790012","Midtown-Midtown South"
"T-11-06-07-0080","330","EAST 19 STREET","330 EAST 19 STREET","11226","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-07T11:07:06.000","No","40.642136","-73.960738","14","40","514","3118787","3051610014","Flatbush"
"T-11-06-07-0082","175","MACDOUGAL STREET","175 MACDOUGAL STREET","10011","Manhattan","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-07T12:01:38.000","No","40.732725","-73.998192","2","1","63","1083513","1005530027","West Village"
"T-11-06-07-0083","300","AMSTERDAM AVENUE","300 AMSTERDAM AVENUE","10023","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-07T12:52:57.000","No","40.780197","-73.980491","7","6","163","1030741","1011667501","Upper West Side"
"T-11-06-07-0084","559","58 STREET","559 58 STREET","11220","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-07T13:02:53.000","No","40.639882","-74.013728","7","38","102","3015761","3008480050","Sunset Park East"
"T-11-06-07-0085","509","WEST 110 STREET","509 WEST 110 STREET","10025","Manhattan","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-07T13:23:59.000","No","40.803251","-73.964501","9","7","199","1056907","1018820024","Morningside Heights"
"T-11-06-07-0086","18-05","215 STREET","18-05 215 STREET","11360","Queens","Indoor Air Quality","Ventilation","05-Close","2011-06-07T13:48:58.000","No","40.784121","-73.776569","7","19","99703","4454658","4059380005","Ft. Totten-Bay Terrace-Clearview"
"T-11-06-07-0087","3615","CHURCH AVENUE","3615 CHURCH AVENUE","11203","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-07T14:45:18.000","No","40.651115","-73.943557","17","41","816","3108774","3048730036","East Flatbush-Farragut"
"T-11-06-07-0088","118-16","91 AVENUE","118-16 91 AVENUE","11418","Queens","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-07T14:51:26.000","No","40.695674","-73.82952","9","29","122","4196635","4093500006","Richmond Hill"
"T-11-06-07-0089","437","MILLER AVENUE","437 MILLER AVENUE","11207","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-07T18:45:09.000","No","40.669832","-73.890489","5","42","1160","3089671","3040410024","East New York"
"T-11-06-07-0090","169","MARYLAND AVENUE","169 MARYLAND AVENUE","10305","Staten Island","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-07T19:26:23.000","No","40.612416","-74.067439","1","49","8","5113227","5028550039","Stapleton-Rosebank"
"T-10-07-08-0117",,,,,,,,"05-Close","2010-07-08T10:28:35.000","No",,,,,,,,
"T-10-07-20-0346","36-27","PRINCE STREET","36-27 PRINCE STREET","11354","Queens","Asbestos","N/A","05-Close","2010-07-20T17:29:47.000","No","40.761438","-73.832889","7","20","869","4000000","4049717503","Flushing"
"T-10-07-23-0408","400","EAST MOSHOLU PARKWAY SOUTH","400 EAST MOSHOLU PARKWAY SOUTH","10458","Bronx","Indoor Air Quality","Ventilation","05-Close","2010-07-23T14:25:12.000","No","40.868902","-73.881571","7","11","415","2016465","2032810077","Bedford Park-Fordham North"
"T-10-07-23-0415","333","GEORGIA AVENUE","333 GEORGIA AVENUE","11207","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2010-07-23T17:34:49.000","No","40.668539","-73.896947","5","42","1156","3328036","3037700001","East New York (Pennsylvania Ave)"
"T-10-07-25-0445","8301","BAY PARKWAY","8301 BAY PARKWAY","11214","Brooklyn","Asbestos","N/A","05-Close","2010-07-25T14:50:41.000","No","40.603561","-73.992117","11","47","296","3165281","3063310006","Bensonhurst West"
"T-11-05-17-0219",,"St. John's Alley& York Ave","St. John's Alley& York Ave","10013","Manhattan","Asbestos","N/A","05-Close","2011-05-17T12:14:31.000","No",,,,,,,,
"T-11-06-07-0091","2747","EAST 63 STREET","2747 EAST 63 STREET","11234","Brooklyn","Asbestos","N/A","05-Close","2011-06-07T21:13:17.000","No","40.606963","-73.913911","18","46","70201","3242636","3085950017","Georgetown-Marine Park-Bergen Beach-Mill Basin"
"T-11-06-08-0092","986","MORRIS AVENUE","986 MORRIS AVENUE","10456","Bronx","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-08T08:49:19.000","No","40.828775","-73.916681","4","16","173","2002179","2024320005","East Concourse-Concourse Village"
"T-11-06-08-0093","117","EAST 118 STREET","117 EAST 118 STREET","10035","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-08T10:53:51.000","No","40.800294","-73.941506","11","9","182","1087381","1017670005","East Harlem North"
"T-11-06-08-0094","2010","BRUCKNER BOULEVARD","2010 BRUCKNER BOULEVARD","10473","Bronx","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-08T10:54:25.000","No","40.826123","-73.855483","9","18","98","2092773","2036820001","Westchester-Unionport"
"T-11-06-08-0095","117","EAST 118 STREET","117 EAST 118 STREET","10035","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-08T11:00:12.000","No","40.800294","-73.941506","11","9","182","1087381","1017670005","East Harlem North"
"T-11-06-08-0096","1050","CARROLL PLACE","1050 CARROLL PLACE","10456","Bronx","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-08T14:40:07.000","No","40.83095","-73.919327","4","16","18102","2002726","2024560001","East Concourse-Concourse Village"
"T-11-06-08-0097","1326","GRAND CONCOURSE","1326 GRAND CONCOURSE","10456","Bronx","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-08T15:34:02.000","No","40.837238","-73.915027","4","16","17902","2007974","2028310013","East Concourse-Concourse Village"
"T-11-06-08-0098","83-60","118 STREET","83-60 118 STREET","11415","Queens","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-08T15:40:41.000","No","40.705713","-73.834403","9","29","134","4079260","4033210043","Kew Gardens"
"T-11-06-08-0099","83-60","118 STREET","83-60 118 STREET","11415","Queens","Mold","Public Complaint - Comm Location","05-Close","2011-06-08T15:52:53.000","No","40.705713","-73.834403","9","29","134","4079260","4033210043","Kew Gardens"
"T-11-06-08-0100","30","WEST 24 STREET","30 WEST 24 STREET","10010","Manhattan","Indoor Air Quality","Dry Cleaning Vapors (PERC)","05-Close","2011-06-08T16:07:00.000","No","40.742661","-73.990206","5","3","58","1080678","1008250012","Hudson Yards-Chelsea-Flatiron-Union Square"
"T-11-06-08-0101","83-60","118 STREET","83-60 118 STREET","11415","Queens","Asbestos","N/A","05-Close","2011-06-08T16:01:16.000","No","40.705713","-73.834403","9","29","134","4079260","4033210043","Kew Gardens"
"T-11-06-08-0102","187-35","HILLSIDE AVENUE","187-35 HILLSIDE AVENUE","11432","Queens","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-08T17:51:48.000","No","40.71488","-73.774575","8","24","472","4213409","4099600005","Jamaica Estates-Holliswood"
"T-11-06-08-0103","221","WEST 14 STREET","221 WEST 14 STREET","10013","Manhattan","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-08T18:44:55.000","No","40.738912","-74.000509","4","3","81","1013723","1007647502","Hudson Yards-Chelsea-Flatiron-Union Square"
"T-11-06-08-0104","221","WEST 14 STREET","221 WEST 14 STREET","10011","Manhattan","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-08T18:58:54.000","No","40.738912","-74.000509","4","3","81","1013723","1007647502","Hudson Yards-Chelsea-Flatiron-Union Square"
"T-11-06-08-0105","521","WEST AVENUE","521 WEST AVENUE","11224","Brooklyn","Indoor Air Quality","Dust from Construction","05-Close","2011-06-08T19:27:08.000","No","40.582533","-73.973132","13","47","354","3196292","3072500025","West Brighton"
"T-11-06-08-0106","4011","KINGS HIGHWAY","4011 KINGS HIGHWAY","11234","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-08T20:11:31.000","No","40.624126","-73.935204","18","45","736","3217054","3078130003","Flatlands"
"T-11-06-08-0107","298","1 AVENUE","298 1 AVENUE","10009","Manhattan","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-08T20:40:53.000","No","40.733402","-73.980905","6","4","44","1082871","1009720001","Stuyvesant Town-Cooper Village"
"T-11-06-09-0108","605","WOODWARD AVENUE","605 WOODWARD AVENUE","11385","Queens","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-09T02:14:04.000","No","40.706075","-73.907674","5","30","589","4080928","4033920010","Ridgewood"
"T-11-06-09-0109","227","LOTT AVENUE","227 LOTT AVENUE","11212","Brooklyn","Indoor Air Quality","Ventilation","05-Close","2011-06-09T09:09:34.000","No","40.658325","-73.905213","16","42","920","3398655","3036170036","Brownsville"
"T-11-06-09-0110","421","WEST 162 STREET","421 WEST 162 STREET","10032","Manhattan","Indoor Air Quality","Dust from Construction","05-Close","2011-06-09T09:51:12.000","No","40.835098","-73.938226","12","10","24301","1062598","1021100037","Washington Heights South"
"T-11-06-09-0111","421","WEST 162 STREET","421 WEST 162 STREET","10032","Manhattan","Indoor Air Quality","Dust from Construction","05-Close","2011-06-09T10:05:05.000","No","40.835098","-73.938226","12","10","24301","1062598","1021100037","Washington Heights South"
"T-11-06-09-0112","424B","BEACH 129 STREET","424B BEACH 129 STREET","11694","Queens","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-09T10:24:51.000","No","40.578427","-73.849402","14","32","93401",,,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"T-11-06-09-0113","601","WEST 26 STREET","601 WEST 26 STREET","10001","Manhattan","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-09T11:17:06.000","No","40.750934","-74.005955","4","3","99","1012268","1006720001","Hudson Yards-Chelsea-Flatiron-Union Square"
"T-11-06-09-0114","601","WEST 26 STREET","601 WEST 26 STREET","10001","Manhattan","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-09T11:25:06.000","No","40.750934","-74.005955","4","3","99","1012268","1006720001","Hudson Yards-Chelsea-Flatiron-Union Square"
"T-11-06-09-0116","426","JEFFERSON AVENUE","426 JEFFERSON AVENUE","11221","Brooklyn","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-09T14:33:51.000","No","40.684366","-73.940551","3","36","275","3052494","3018360012","Stuyvesant Heights"
"T-11-06-09-0117","1451","MYRTLE AVENUE","1451 MYRTLE AVENUE","11237","Brooklyn","Indoor Air Quality","Ventilation","05-Close","2011-06-09T14:45:17.000","No","40.698864","-73.917886","4","37","431","3075464","3033000063","Bushwick North"
"T-11-06-09-0118","425","RIVERSIDE DRIVE","425 RIVERSIDE DRIVE","10025","Manhattan","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-09T15:15:48.000","No","40.808028","-73.966687","9","7","205","1057372","1018960043","Morningside Heights"
"T-11-06-09-0120","401","BEACH 22 STREET","401 BEACH 22 STREET","11691","Queens","Indoor Air Quality","Ventilation","05-Close","2011-06-09T15:53:27.000","No","40.598159","-73.757512","14","31","99801","4301217","4157730062","Far Rockaway-Bayswater"
"T-11-06-09-0121","240-02","NORTHERN BOULEVARD","240-02 NORTHERN BOULEVARD","11363","Queens","Indoor Air Quality","Ventilation","05-Close","2011-06-09T16:12:08.000","No","40.764566","-73.746715","11","19","150701","4169908","4081670001","Douglas Manor-Douglaston-Little Neck"
"T-11-06-09-0122","70","GRAHAM AVENUE","70 GRAHAM AVENUE","11206","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-09T16:32:52.000","No","40.703375","-73.942539","1","34","491","3071511","3031060004","East Williamsburg"
"T-11-06-09-0123","334","BERGEN STREET","334 BERGEN STREET","11217","Brooklyn","Indoor Air Quality","Ventilation","05-Close","2011-06-09T17:07:41.000","No","40.682953","-73.980822","2","33","127","3005989","3003890023","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"T-11-06-09-0124","1470","WHITE PLAINS ROAD","1470 WHITE PLAINS ROAD","10462","Bronx","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-09T17:07:50.000","No","40.837048","-73.863406","9","18","21602","2029087","2039370072","Parkchester"
"T-11-06-09-0125","222","EAST 51 STREET","222 EAST 51 STREET","10022","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-09T19:25:37.000","No","40.756153","-73.96963","6","4","98","1038451","1013240039","Turtle Bay-East Midtown"
"T-11-06-10-0126","499","OCEAN AVENUE","499 OCEAN AVENUE","11226","Brooklyn","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-10T00:38:48.000","No","40.650587","-73.961101","14","40","50801","3116559","3050810052","Flatbush"
"T-11-06-10-0127","83","RYERSON STREET","83 RYERSON STREET","11205","Brooklyn","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-10T01:21:47.000","No","40.695029","-73.965276","2","35","191","3054551","3018920024","Clinton Hill"
"T-11-06-10-0128","1750","DAVIDSON AVENUE","1750 DAVIDSON AVENUE","10453","Bronx","Indoor Air Quality","Ventilation","05-Close","2011-06-10T03:21:19.000","No","40.848265","-73.91309","5","14","217","2115886","2028610067","University Heights-Morris Heights"
"T-11-06-10-0129","160","BUSH STREET","160 BUSH STREET","10453","Bronx","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-10T08:49:00.000","No","40.85186","-73.90523","5","14","23501","2007690","2028080066","Mount Hope"
"T-11-06-10-0131","438","52 STREET","438 52 STREET","11220","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-10T12:12:46.000","No","40.644746","-74.01276","7","38","76","3013901","3008070024","Sunset Park West"
"T-11-06-10-0132","108-11","175 ST","108-11 175 ST","11434","Queens","Indoor Air Quality","Ventilation","05-Close","2011-06-10T12:29:50.000","No","40.700046","-73.780861","12","27","414","4218719","4102590117","South Jamaica"
"T-11-06-10-0133","438","52 STREET","438 52 STREET","11220","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-10T12:37:05.000","No","40.644746","-74.01276","7","38","76","3013901","3008070024","Sunset Park West"
"T-11-06-10-0134","44","WEST 18 STREET","44 WEST 18 STREET","10011","Manhattan","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-10T12:57:39.000","No","40.739118","-73.993274","5","3","54","1015409","1008190010","Hudson Yards-Chelsea-Flatiron-Union Square"
"T-11-06-10-0135","60","READE STREET","60 READE STREET","10007","Manhattan","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-10T16:23:19.000","No","40.714931","-74.006421","1","1","33","1001636","1001507502","SoHo-TriBeCa-Civic Center-Little Italy"
"T-11-06-10-0136","1211","SOUTHERN BOULEVARD","1211 SOUTHERN BOULEVARD","10459","Bronx","Indoor Air Quality","Ventilation","05-Close","2011-06-10T22:46:15.000","No","40.828949","-73.891897","3","17","125","2113777","2029750037","Morrisania-Melrose"
"T-11-06-11-0138","111-20","169 STREET","111-20 169 STREET","11433","Queens","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-11T13:45:56.000","No","40.693429","-73.782509","12","27","266","4217312","4102060040","South Jamaica"
"T-11-06-11-0139","548","HANCOCK STREET","548 HANCOCK STREET","11233","Brooklyn","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-11T14:53:37.000","No","40.684426","-73.933516","3","36","295","3046071","3016600029","Stuyvesant Heights"
"T-11-06-11-0140","1381","PACIFIC STREET","1381 PACIFIC STREET","11216","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-11T15:41:20.000","No","40.67746","-73.946084","8","36","313","3029860","3012020073","Crown Heights North"
