"borough","year","total_enrollment","grade_3k_pk_half_day_full","grade_k","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","female","female_1","male","male_1","asian","asian_1","black","black_1","hispanic","hispanic_1","multi_racial","multi_racial_1","native_american","native_american_1","white","white_1","missing_race_ethnicity_data","missing_race_ethnicity_data_1","students_with_disabilities","students_with_disabilities_1","english_language_learners","english_language_learners_1","poverty","poverty_1","economic_need_index"
"Manhattan","2016-17","178383","8478","11480","11795","11721","11446","11179","10745","11026","10650","10615","19240","18049","15820","16139","90298","0.506","88083","0.494","21440","0.12","42294","0.237","80223","0.45","3246","0.018","1074","0.006","28778","0.161","1328","0.007","36271","0.203","19358","0.109","114277","0.641","0.598"
"Manhattan","2017-18","177752","8365","11237","11538","11454","11533","11173","11146","11043","10819","10725","18559","18309","15732","16119","89999","0.506","87728","0.494","21188","0.119","41303","0.232","79621","0.448","3721","0.021","1116","0.006","29544","0.166","1259","0.007","37135","0.209","19089","0.107","120957","0.68","0.673"
"Manhattan","2018-19","177512","8922","10988","11241","11123","11168","11228","10986","11320","11018","10891","18459","17872","16130","16166","89756","0.506","87755","0.494","21071","0.119","40507","0.228","79171","0.446","4143","0.023","1290","0.007","30084","0.169","1246","0.007","38063","0.214","18102","0.102","118397","0.667","0.665"
"Manhattan","2019-20","180636","11201","11015","10884","11024","10964","10931","11021","11162","11267","11078","18339","17737","15948","18065","91347","0.506","89289","0.494","21308","0.118","40967","0.227","79931","0.442","4476","0.025","1307","0.007","30643","0.17","2004","0.011","38878","0.215","17095","0.095","119314","0.661","0.679"
"Manhattan","2020-21","173851","9870","10037","10249","10229","10413","10440","10395","10827","10854","11166","18041","17884","16250","17196","87846","0.505","86005","0.495","20759","0.119","39296","0.226","77613","0.446","4635","0.027","1314","0.008","28327","0.163","1907","0.011","37644","0.217","17041","0.098","114781","0.66","0.671"
"Queens","2016-17","310741","20983","22763","23431","23233","23310","23686","22476","22046","21637","21558","23193","25193","19006","18226","149073","0.48","161668","0.52","87534","0.282","56609","0.182","117008","0.377","2560","0.008","5401","0.017","40382","0.13","1247","0.004","53236","0.171","44828","0.144","207432","0.668","0.502"
"Queens","2017-18","309302","20946","22434","22767","22911","22854","22933","23384","22039","21826","21740","23257","24541","18815","18855","148591","0.48","160701","0.52","87556","0.283","55101","0.178","116896","0.378","2898","0.009","5894","0.019","39747","0.129","1210","0.004","54174","0.175","44773","0.145","226458","0.732","0.658"
"Queens","2018-19","307114","21609","21936","22376","22254","22381","22540","22846","22748","21884","21801","23084","24310","18298","19047","147355","0.48","159759","0.52","86907","0.283","53718","0.175","116969","0.381","3198","0.01","6034","0.02","39007","0.127","1281","0.004","54805","0.178","43773","0.143","218554","0.712","0.652"
"Queens","2019-20","305623","23558","21717","21874","22006","21774","22039","22332","22283","22601","21918","22989","23928","18260","18344","146795","0.48","158828","0.52","86094","0.282","52190","0.171","117619","0.385","3444","0.011","6195","0.02","38270","0.125","1811","0.006","54520","0.178","42266","0.138","217708","0.712","0.672"
"Queens","2020-21","294923","21013","20166","20946","20961","21154","21104","21463","21583","21841","22246","21526","23957","18287","18676","141856","0.481","153067","0.519","84062","0.285","49714","0.169","113584","0.385","3752","0.013","6027","0.02","36122","0.122","1662","0.006","52743","0.179","44123","0.15","206978","0.702","0.655"
"Staten Island","2016-17","65924","4141","4620","4798","4786","4877","4887","4772","4552","4590","4741","5389","5029","4425","4317","31689","0.481","34235","0.519","5832","0.088","9044","0.137","18830","0.286","882","0.013","294","0.004","30822","0.468","220","0.003","17069","0.259","3816","0.058","36800","0.558","0.436"
"Staten Island","2017-18","65703","3992","4527","4747","4793","4783","4875","4884","4714","4558","4579","5166","5180","4439","4466","31738","0.483","33959","0.517","6348","0.097","8893","0.135","18976","0.289","941","0.014","310","0.005","30026","0.457","209","0.003","17438","0.265","4093","0.062","38787","0.59","0.533"
"Staten Island","2018-19","65623","4164","4370","4658","4707","4779","4755","4879","4772","4716","4560","5000","4864","4809","4590","31756","0.484","33867","0.516","7056","0.108","8684","0.132","19214","0.293","1024","0.016","311","0.005","29011","0.442","323","0.005","17696","0.27","4207","0.064","38749","0.59","0.537"
"Staten Island","2019-20","67829","6311","4528","4501","4691","4740","4803","4772","4733","4796","4730","5090","4949","4694","4491","32732","0.483","35097","0.517","7992","0.118","8743","0.129","20074","0.296","1164","0.017","327","0.005","29322","0.432","207","0.003","18079","0.267","4256","0.063","39745","0.586","0.557"
"Staten Island","2020-21","67235","6210","4345","4532","4481","4680","4702","4795","4665","4699","4827","5011","4954","4807","4527","32433","0.482","34802","0.518","8405","0.125","8703","0.129","19983","0.297","1216","0.018","328","0.005","28275","0.421","325","0.005","17790","0.265","4708","0.07","39033","0.581","0.545"
