"contract_id","contract_number","start_date","end_date","amount","fiscal_year","purpose","program_id","provider_id","agency_name"
"96","CT126020201416711","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","92500","FY2020","To fund environmentally friendly educational programs.","264","78","DYCD"
"97","CT181620201416323","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","25000","FY2020","Opioid Prevention and Treatment","302","79","DOHMH"
"98","CT126020201415154","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","To provide support training for employment in construction","264","76","DYCD"
"100","CT126020201413711","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","126000","FY2020","To support after-school educational program","264","81","DYCD"
"101","CT106920201415303","2019-11-01T00:00:00.000","2024-10-31T00:00:00.000","1150000","FY2020","Senior Affordable Housing Tenant Svcs Beach Channel","116","82","DSS"
"102","CT126020201413894","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","93000","FY2020","To support educational and youth programming and activities","264","83","DYCD"
"103","CT126020201413480","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","4000","FY2020","This program support sports and  career development workshop","264","16","DYCD"
"104","CT126020201415992","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","67400","FY2020","Provides food to over 275 pantries & soup kitchens citywide.","264","84","DYCD"
"105","CT126020201415316","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","45000","FY2020","Support Safe Schools program & services to LGBT youth.","264","85","DYCD"
"106","CT126020201415517","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","20000","FY2020","To provide summer camp programming for local community youth","264","86","DYCD"
"107","CT126020201417236","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","Provides for special needs youth with behavioral disability.","264","87","DYCD"
"108","CT126020201416705","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","To provide food to over 275 food pantries and soup kitchens","264","88","DYCD"
"109","CT126020201414778","2019-07-01T00:00:00.000","2022-06-30T00:00:00.000","979908","FY2020","SoBro Cornerstone Davidson Comm. Ctr. STEM & Sports wellness","281","14","DYCD"
"110","CT126020201409991","2019-07-01T00:00:00.000","2022-06-30T00:00:00.000","228450","FY2020","To provide peer support, good role models, and leadership.","286","14","DYCD"
"111","CT126020201415514","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","21046","FY2020","Provides food to over 275 pantries & soup kitchens citywide","264","89","DYCD"
"112","CT126020201417193","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","To fund costs related to production of musical concerts","264","90","DYCD"
"115","CT126020201409949","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","215500","FY2020","Provides Vocational Training and provide metrocards","264","93","DYCD"
"116","CT126020201416607","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","82047","FY2020","To fund food pantries and soup kitchens citywide.","264","94","DYCD"
"119","CT106920201417401","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","Provision of Legal Services for Veterans FY 20-09519","125","96","DSS"
"121","CT106920201417299","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","Funding to support casework: eviction and other social svcs.","119","98","DSS"
"122","CT181620201415767","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","150000","FY2020","Court-Involved Youth Mental Health Initiative","300","99","DOHMH"
"123","CT126020201413022","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","100000","FY2020","Provide STEM education and interactive community research.","264","100","DYCD"
"127","CT126020201413354","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","153600","FY2020","Provide Elementary Comprehensive Afterschool Services","271","104","DYCD"
"133","CT126020201412933","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","110000","FY2020","Funds for LGBT services consortium in the outer boroughs","264","109","DYCD"
"134","CT126020201414691","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","28000","FY2020","To provide healthy development, academic support events","264","3","DYCD"
"135","CT126020201409920","2019-07-01T00:00:00.000","2022-06-30T00:00:00.000","1671315","FY2020","Wiyckoff Gardens Cornerstone","281","110","DYCD"
"136","CT106920201417298","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","7000","FY2020","Provide nutrition, health education and related services.","134","44","DSS"
"137","CT126020201411858","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","This program offers support to veterans","264","111","DYCD"
"138","CT126020201409947","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","521500","FY2020","To support political participation and students of CUNY","264","112","DYCD"
"139","CT126020201416475","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","Fund free Jazz outdoor concerts during the summer.","264","113","DYCD"
"141","CT126020201409853","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","To support the expansion and enhancement of programming","264","47","DYCD"
"142","CT126020201409197","2019-09-01T00:00:00.000","2020-08-31T00:00:00.000","432000","FY2020","COMPASS Middle Program at IS 211- John Wilson School","279","115","DYCD"
"144","CT126020201417057","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","Support tennis programming for students ages 5-12 in NYCHA","264","117","DYCD"
"145","CT126020201416925","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","To fund community programming in neighborhood parks.","264","118","DYCD"
"146","CT126020201414017","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","To support the food program for underserved children","264","119","DYCD"
"148","CT126020201410880","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","This program offers historic cultural events.","264","121","DYCD"
"149","CT126020201409850","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","29000","FY2020","Provide food to over 275 pantries and soup kitchens","264","122","DYCD"
"150","CT126020201415977","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","To support Italian-American Association of St. Mel.","264","123","DYCD"
"151","CT126020201414479","2019-09-01T00:00:00.000","2020-08-31T00:00:00.000","362606","FY2020","COMPASS Middle School Program at IS 52.","279","124","DYCD"
"152","CT181620201415139","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","256103","FY2020","Psychological and Behavioral Health Services","300","125","DOHMH"
"154","CT126020201413891","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","25000","FY2020","Funding will be used to support VETCA program.","264","127","DYCD"
"156","CT181620201416221","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","100000","FY2020","Clinical screenings, mental health assessment services etc","300","129","DOHMH"
"157","CT126020201411791","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","185000","FY2020","To provide literacy for adults and support sevices","400","130","DYCD"
"159","CT126020201416773","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","This program offers Greener NYC program to youth.","264","131","DYCD"
"160","CT126020201415042","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","29375","FY2020","Leadership development training programs for young women","264","132","DYCD"
"161","CT126020201410937","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","480000","FY2020","Comprehensive After School System of New York City","271","133","DYCD"
"162","CT126020201414853","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","25000","FY2020","To support SYEP Photography Workshop.","264","134","DYCD"
"163","CT126020201416771","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","This program offers conferences for community leaders.","264","135","DYCD"
"164","CT126020201412797","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","1773434","FY2020","To support Neighborhood Improvement Program (NIP)","264","29","DYCD"
"165","CT126020201416246","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","To support sports programming costs at Middle School 72","264","136","DYCD"
"166","CT126020201416610","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","To fund National Night Out Against Crime and Family Fun Day.","264","137","DYCD"
"167","CT126020201413081","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","41000","FY2020","To support afterschool and summer programming for youth.","264","138","DYCD"
"168","CT126020201404898","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","20000","FY2020","This program offers youth crisis and drugs intervention.","264","139","DYCD"
"169","CT126020201415347","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","44500","FY2020","To support Neighborhood Improvement Program (NIP)","264","29","DYCD"
"171","CT181620201415622","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","387500","FY2020","Medicaid Redesign Transition / Opioid Prevention Treatment","453","76","DOHMH"
"172","CT126020201407321","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","Funds to be used for charitable food distribution.","264","141","DYCD"
"173","CT106920201414618","2017-04-01T00:00:00.000","2020-03-31T00:00:00.000","1","FY2020","Provision of home care services for HRA home care program.","132","142","DSS"
"174","CT126020201415362","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","Funds will be used for office expenses for referral crisis","264","143","DYCD"
"175","CT126020201414313","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","FUND MENTORING PROGRAM, COLLEGE AWARENESS, YOUTH LEADERSHIP","264","144","DYCD"
"176","CT181620201415856","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","86000","FY2020","Geriatric Mental Health","300","145","DOHMH"
"179","CT106920201414620","2017-04-01T00:00:00.000","2020-03-31T00:00:00.000","1","FY2020","Provision of home care srvcs for HRA home care srvc program.","125","148","DSS"
"180","CT126020201415260","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","1100000","FY2020","This fund support the after school program","264","16","DYCD"
"182","CT126020201415617","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","200000","FY2020","To  support LGBT Consortium services in the outer boroughs","264","149","DYCD"
"186","CT126020201412200","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","To support literacy, performing arts, and physical therapy.","264","153","DYCD"
"188","CT126020201414705","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","406000","FY2020","To FUND CLEANING PROGRAMS IN SEVERAL DISTRICTS.","264","155","DYCD"
"189","CT126020201412650","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","Funds to support United Youth Aviators Aviation Summer Camp","264","156","DYCD"
"190","CT106920201415196","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","275000","FY2020","Prov. of Supportive Alternatives to Violent Encounters.","120","157","DSS"
"194","CT181620201415693","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","30000","FY2020","Autism Awareness","297","161","DOHMH"
"195","CT181620201415483","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","495506","FY2020","Children Under Five Developmental, Psychological services","452","162","DOHMH"
"196","CT126020201410042","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","50000","FY2020","Funds provide recreational activities & Internships","264","163","DYCD"
"199","CT106920201414597","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","38750","FY2020","Funding to support programming to help low-income families","133","165","DSS"
"200","CT181620201415978","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","50000","FY2020","Recreational program children/ young adults with autism","297","166","DOHMH"
"201","CT181620201416158","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","17000","FY2020","Mental Health Services for Vulnerable Populations","300","167","DOHMH"
"202","CT126020201413895","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","100000","FY2020","TO CAPTURE AND RELOCATE WILD TURKEY","264","168","DYCD"
"205","CT126020201415407","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","To Support ""A Day In The Life Of An Immigrant Child"" program","264","169","DYCD"
"206","CT126020201413969","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","80000","FY2020","To support Literacy, English for Speakers of Other Languages","264","18","DYCD"
"207","CT126020201415661","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","300000","FY2020","To FUND REMOVAL OF GRAFFITI, SNOW SHOVELING, WEED REMOVAL.","264","170","DYCD"
"208","CT181620201414552","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","400000","FY2020","Non-clinical suicide prevention services","300","171","DOHMH"
"209","CT126020201414341","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","To support Notre Dame School's summer youth program","264","172","DYCD"
"210","CT126020201415976","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","To fund immigrant assistance programs.","264","173","DYCD"
"211","CT126020201412811","2019-11-01T00:00:00.000","2023-04-30T00:00:00.000","4540650","FY2020","To support Advance & Earn programming citywide","294","174","DYCD"
"212","CT106920201415031","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","80000","FY2020","Outreach efforts & referral svcs to low-wage workers in need","120","175","DSS"
"213","CT126020201415043","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","Funding to support expenses associated with football team","264","176","DYCD"
"214","CT126020201415399","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","7000","FY2020","Support operating expenses associated with youth programming","264","177","DYCD"
"215","CT181620201415812","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","40000","FY2020","Social Club: socialization skills; counseling families","297","178","DOHMH"
"216","CT106920201414209","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","60000","FY2020","Provision of Immigrant Opportunities Initiative Services","120","179","DSS"
"217","CT181620201414616","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","1200000","FY2020","LGBTQ Youth Mental Health","300","180","DOHMH"
"218","CT126020201415183","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","138085","FY2020","To fund environmentally friendly programs.","264","181","DYCD"
"219","CT126020201415532","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","20000","FY2020","Funding will be used toward the DCC after-school program","264","182","DYCD"
"220","CT126020201414403","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","To support leadership training for young women and girls.","264","172","DYCD"
"221","CT126020201415041","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","17000","FY2020","Funds to support The L.O.V.E. mentoring program.","264","132","DYCD"
"223","CT126020201413925","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","47300","FY2020","To fund educational and recreational youth programming","264","184","DYCD"
"224","CT181620201414701","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","296103","FY2020","Court-Involved Youth Mental Health Initiative/ MH Services","300","6","DOHMH"
"227","CT126020201413651","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","86000","FY2020","Provide emergency meals in soup kitchen","264","186","DYCD"
"229","CT126020201415062","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","580000","FY2020","Funds for the Digital Inclusion and Literacy Program.","264","188","DYCD"
"232","CT126020201413187","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","70000","FY2020","To support A Greener NYC environmentally friendly programs","264","190","DYCD"
"233","CT126020201415287","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","30000","FY2020","Provides basic Literacy, English for speakers/H.S Equv.","264","150","DYCD"
"234","CT126020201409901","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","23000","FY2020","provides financial literacy programs for youth.","264","191","DYCD"
"235","CT126020201412781","2019-11-01T00:00:00.000","2023-04-30T00:00:00.000","4765650","FY2020","To support Advance & Earn programming citywide","294","192","DYCD"
"236","CT126020201413921","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","59000","FY2020","To fund career development, employment readiness, ESOL class","264","193","DYCD"
"237","CT106920201415901","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","20000","FY2020","Provision of Immigrant Opportunities Initiative Services","120","157","DSS"
"238","CT126020201412601","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","29250","FY2020","To support the Baseball program and purchase of equipment","264","194","DYCD"
"239","CT126020201412700","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","21500","FY2020","To fund after-school and summer programs for youth.","264","195","DYCD"
"240","CT126020201415766","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","7500","FY2020","To fund soccer league activities in CD 51.","264","196","DYCD"
"241","CT126020201414523","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","19000","FY2020","To fund the cost of Adult Literacy, ESOL, & Civic Programs","264","18","DYCD"
"242","CT106920201414191","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","300000","FY2020","Legal Services for low-income New Yorkers.","125","197","DSS"
"243","CT106920201413310","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","38500","FY2020","Provision supports legal services for low income residents","120","198","DSS"
"244","CT181620201414495","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","50000","FY2020","Opioid Prevention and Treatment","302","199","DOHMH"
"245","CT126020201412815","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","39000","FY2020","To fund Boys2Manhood workshop and mentorship.","264","195","DYCD"
"246","CT126020201414104","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","56000","FY2020","To support educational and career opportunities.","264","200","DYCD"
"248","CT126020201409769","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","40000","FY2020","To support recreational, cultural & social opportunites","264","202","DYCD"
"249","CT181620201414255","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","145540","FY2020","HeartShare's Cuomo First Step Early Childhood Center","302","203","DOHMH"
"250","CT181620201414491","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","60000","FY2020","Autism Awareness / Member Items","297","204","DOHMH"
"251","CT126020201413482","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","50000","FY2020","Fund will use for teen after-school civic engagement program","264","16","DYCD"
"252","CT126020201413847","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","180000","FY2020","To support the Emergency Food program.","264","205","DYCD"
"253","CT126020201412903","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","90000","FY2020","To support funding for after school program.","264","205","DYCD"
"254","CT106920201414366","2017-04-01T00:00:00.000","2020-03-31T00:00:00.000","1","FY2020","provision of Home Care Services for HCSP clients","132","206","DSS"
"255","CT106920201413234","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","75000","FY2020","Provision of Legal Services for Veterans","120","207","DSS"
"256","CT106920201413996","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","25000","FY2020","Provision of Immigration Opportunities Initiative Services","120","208","DSS"
