"boro_block_lot","condo_section","address","neighborhood","building_classification","total_units","year_built","gross_sqft","estimated_gross_income","gross_income_per_sqft","estimated_expense","expense_per_sqft","net_operating_income","full_market_value","market_value_per_sqft","boro_block_lot_1","address_1","neighborhood_1","building_classification_1","total_units_1","year_built_1","gross_sqft_1","estimated_gross_income_1","gross_income_per_sqft_1","estimated_expense_1","expense_per_sqft_1","net_operating_income_1","full_market_value_1","market_value_per_sqft_1","distance_from_condo_in_miles","boro_block_lot_2","address_2","neighborhood_2","building_classification_2","total_units_2","year_built_2","gross_sqft_2","estimated_gross_income_2","gross_income_per_sqft_2","estimated_expense_2","expense_per_sqft_2","net_operating_income_2","full_market_value_2","market_value_per_sqft_2","distance_from_condo_in_miles_1","boro_block_lot_3","address_3","neighborhood_3","building_classification_3","total_units_3","year_built_3","gross_sqft_3","estimated_gross_income_3","gross_income_per_sqft_3","estimated_expense_3","expense_per_sqft_3","net_operating_income_3","full_market_value_3","market_value_per_sqft_3","distance_from_condo_in_miles_2","report_year"
"1-01370-7501","0037-R1","40 SUTTON PLACE","MIDTOWN EAST","R4  -ELEVATOR","75","1981","61175","3087502","50.47","728594","11.91","2358908","19158000","313.17","1-01369-0037","422 EAST 58 STREET","MIDTOWN EAST","D3  -ELEVATOR","24","1939","18654","941467","50.47","222169","11.91","719298","4043000","216.74","0.05","1-01439-0042","320 EAST 65 STREET","UPPER EAST SIDE (59-79)","D3  -ELEVATOR","71","1930","58325","2959411","50.74","544756","9.34","2414655","19379000","332.26","0.32","1-01416-0012","223 EAST 61 STREET","UPPER EAST SIDE (59-79)","D1  -ELEVATOR","48","1942","39510","1984192","50.22","437376","11.07","1546816","9322000","235.94","0.31","2019"
"1-00557-7501","0039-R1","806 BROADWAY","GREENWICH VILLAGE-CENTRAL","R9  -CONDOPS","65","1900","83089","3230500","38.88","903177","10.87","2327323","18901000","227.48","1-00558-0044","115 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","69","1900","41750","1644533","39.39","567800","13.6","1076733","13459000","322.37","0.1","1-00558-0018","122 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","16","1900","10225","397548","38.88","111146","10.87","286402","2833000","277.07","0.1","1-00563-0043","63 EAST 11 STREET","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","42","1970","23353","902126","38.63","269961","11.56","632165","6936000","297.01","0.1","2019"
"1-01389-7501","0050-R1","23 EAST 74 STREET","UPPER EAST SIDE (59-79)","R9  -CONDOPS","72","1912","82280","3764310","45.75","1329645","16.16","2434665","19773000","240.31","1-01390-0009","7 EAST 75 STREET","UPPER EAST SIDE (59-79)","D3  -ELEVATOR","20","1910","13580","616532","45.4","204786","15.08","411746","4554000","335.35","0.05","1-01426-9035","218 EAST 72 STREET","UPPER EAST SIDE (59-79)","D3  -ELEVATOR","148","1975","156200","7200820","46.1","2610102","16.71","4590718","53222000","340.73","0.43","1-01393-0012","11 EAST 78 STREET","UPPER EAST SIDE (59-79)","D3  -ELEVATOR","16","1920","8234","376706","45.75","133061","16.16","243645","3844000","466.84","0.2","2019"
"1-01389-7501","0050-R2","21 EAST 74 STREET","UPPER EAST SIDE (59-79)","R4  -ELEVATOR","6","1912","6345","351259","55.36","83627","13.18","267632","2174000","342.63","1-01390-0009","7 EAST 75 STREET","UPPER EAST SIDE (59-79)","D3  -ELEVATOR","20","1910","13580","747036","55.01","164318","12.1","582718","4554000","335.35","0.05","1-01426-9035","218 EAST 72 STREET","UPPER EAST SIDE (59-79)","D3  -ELEVATOR","148","1975","156200","8701902","55.71","2144626","13.73","6557276","53222000","340.73","0.43","1-01393-0012","11 EAST 78 STREET","UPPER EAST SIDE (59-79)","D3  -ELEVATOR","16","1920","8234","455834","55.36","108524","13.18","347310","3844000","466.84","0.2","2019"
"1-01048-7501","0058-R1","347 WEST 57 STREET","MIDTOWN WEST","R4  -ELEVATOR","261","1982","263995","14303249","54.18","2705949","10.25","11597300","94197006","356.81","1-01043-0005","369 WEST 52 STREET","MIDTOWN WEST","D5  -ELEVATOR","48","1940","37030","1830393","49.43","434732","11.74","1395661","11335000","306.1","0.25","1-01062-0019","410 WEST 53 STREET","CLINTON","D1  -ELEVATOR","220","1987","166518","9812906","58.93","2944038","17.68","6868868","55785000","335.01","0.31",,,,,,,,,,,,,,,,"2019"
"1-01343-7501","0060-R1","317 EAST 50 STREET","MIDTOWN EAST","R9  -CONDOPS","114","1931","79062","3853482","48.74","1091056","13.8","2762426","22435000","283.76","1-01369-0037","422 EAST 58 STREET","MIDTOWN EAST","D3  -ELEVATOR","24","1939","18654","916284","49.12","241010","12.92","675274","4043000","216.74","0.38","1-01335-0039","328 EAST 43 STREET","MIDTOWN EAST","D3  -ELEVATOR","62","1928","48892","2382996","48.74","674710","13.8","1708286","7765000","158.82","0.39","1-01362-0012","20 BEEKMAN PLACE","MIDTOWN EAST","D3  -ELEVATOR","79","1957","98808","4775391","48.33","1300313","13.16","3475078","19584000","198.2","0.12","2019"
"1-01342-7501","0061-R1","309 EAST 49 STREET","MIDTOWN EAST","R4  -ELEVATOR","85","1982","119419","5385797","45.1","1562001","13.08","3823796","31055000","260.05","1-01362-0012","20 BEEKMAN PLACE","MIDTOWN EAST","D3  -ELEVATOR","79","1957","98808","4479955","45.34","1241028","12.56","3238927","19584000","198.2","0.13","1-01320-0018","235 EAST 46 STREET","MIDTOWN EAST","D1  -ELEVATOR","63","1938","49914","2210691","44.29","520603","10.43","1690088","12227000","244.96","0.2","1-01343-0005","307 EAST 50 STREET","MIDTOWN EAST","D3  -ELEVATOR","111","1962","71137","3208279","45.1","930472","13.08","2277807","14931000","209.89","0.05","2019"
"1-01113-7501","0062-R1","30 WEST 61 STREET","UPPER WEST SIDE (59-79)","R4  -ELEVATOR","165","1982","202235","12202860","60.34","3753482","18.56","8449378","68622004","339.32","1-01117-0047","34 WEST 65 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","49","1939","37716","2275783","60.34","700009","18.56","1575774","8261000","219.03","0.21","1-01062-0019","410 WEST 53 STREET","CLINTON","D1  -ELEVATOR","220","1987","166518","9673031","58.09","3108891","18.67","6564140","55785000","335.01","0.42","1-01154-0202","236-240 WEST 64 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","96","1911","42102","2558118","60.76","884563","21.01","1673555","12097000","287.33","0.32","2019"
"1-00520-7501","0066-R1","27 KING STREET","SOHO","R4  -ELEVATOR","38","1900","33383","1439475","43.12","443660","13.29","995815","8088001","242.28","1-00506-0016","30 CHARLTON STREET","SOHO","D1  -ELEVATOR","86","1920","44256","1887518","42.65","584622","13.21","1302896","13720000","310.01","0.1","1-00504-0036","100 SULLIVAN STREET","SOHO","D1  -ELEVATOR","70","1920","33750","1455300","43.12","448538","13.29","1006762","11997000","355.47","0.15","1-00504-0031","110 SULLIVAN STREET","SOHO","D1  -ELEVATOR","60","1920","38880","1708776","43.95","558317","14.36","1150459","10625000","273.28","0.15","2019"
"1-00793-7501","0069-R1","117 WEST 17 STREET","CHELSEA","R4  -ELEVATOR","35","1900","61572","3305801","53.69","774576","12.58","2531225","20557006","333.87","1-00797-0074","160 WEST 22 STREET","CHELSEA","D1  -ELEVATOR","51","2000","41423","2228143","53.79","565010","13.64","1663133","14676000","354.3","0.18","1-00791-0050","114 WEST 16 STREET","CHELSEA","D1  -ELEVATOR","41","1939","32736","1719622","52.53","396106","12.1","1323516","6255000","191.07","0.09","1-00792-0012","141 WEST 16 STREET","CHELSEA","D1  -ELEVATOR","48","1940","34662","1861003","53.69","436048","12.58","1424955","8888000","256.42","0.04","2019"
"1-01235-7501","0074-R1","250 WEST 88 STREET","UPPER WEST SIDE (79-96)","R4  -ELEVATOR","60","1920","56306","2324312","41.28","798419","14.18","1525893","12393000","220.1","1-01253-0016","311 WEST 94 STREET","UPPER WEST SIDE (79-96)","D1  -ELEVATOR","24","1930","22290","920131","41.28","316072","14.18","604059","5337000","239.43","0.36","1-01239-0059","294 WEST 92 STREET","UPPER WEST SIDE (79-96)","D1  -ELEVATOR","27","1920","24400","990152","40.58","334768","13.72","655384","4207000","172.42","0.2","1-01216-0039","114 WEST 86 STREET","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","49","1928","47369","1979077","41.78","639482","13.5","1339595","7922000","167.24","0.24","2019"
"1-01246-7501","0078-R1","342 WEST 85 STREET","UPPER WEST SIDE (79-96)","R4  -ELEVATOR","22","1910","28436","1240663","43.63","343791","12.09","896872","7283995","256.15","1-01245-0061","317 WEST 83 STREET","UPPER WEST SIDE (79-96)","D2  -ELEVATOR","19","1927","34640","1511343","43.63","418798","12.09","1092545","5372000","155.08","0.05","1-01214-0008","165 WEST 83 STREET","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","36","1912","36512","1578049","43.22","411125","11.26","1166924","4486000","122.86","0.33","1-01229-0006","265 WEST 81 STREET","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","36","1900","41137","1831419","44.52","535192","13.01","1296227","8783000","213.51","0.18","2019"
"1-00604-7501","0079-R1","162 CHRISTOPHER STREET","GREENWICH VILLAGE-WEST","R4  -ELEVATOR","83","1920","88227","4452817","50.47","1616319","18.32","2836498","23036997","261.11","1-00631-0030","697 GREENWICH STREET","GREENWICH VILLAGE-WEST","D5  -ELEVATOR","53","1979","51200","2646528","51.69","1138688","22.24","1507840","14188000","277.11","0.18","1-00634-0047","337 WEST 11 STREET","GREENWICH VILLAGE-WEST","D5  -ELEVATOR","62","1965","53500","2700145","50.47","980120","18.32","1720025","16016000","299.36","0.27","1-00635-0042","123 BANK STREET","GREENWICH VILLAGE-WEST","D5  -ELEVATOR","49","1930","37064","1866914","50.37","725342","19.57","1141572","14265000","384.87","0.32","2019"
"1-00181-7501","0080-R1","355 GREENWICH STREET","TRIBECA","R2  -WALK-UP","10","1983","12737","584501","45.89","207740","16.31","376761","3060000","240.24","1-00489-0005","63 SULLIVAN STREET","SOHO","C1  -WALK-UP","13","1989","9110","423524","46.49","154141","16.92","269383","1734000","190.34","0.48","1-00489-0007","67 SULLIVAN STREET","SOHO","C1  -WALK-UP","12","1900","9110","418058","45.89","148584","16.31","269474","1656000","181.78","0.48","1-00479-0039","366 BROOME STREET","LITTLE ITALY","C4  -WALK-UP","22","1905","14875","665210","44.72","275485","18.52","389725","4685000","314.96","0.73","2019"
"1-01142-7501","0081-R1","135 WEST 70 STREET","UPPER WEST SIDE (59-79)","R4  -ELEVATOR","87","1926","119000","5572770","46.83","2039660","17.14","3533110","28694001","241.13","1-01126-0038","10 WEST 74 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","86","1941","71890","3228580","44.91","1205595","16.77","2022985","26865000","373.7","0.21","1-01150-0041","120 WEST 79 STREET","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","64","1926","114696","5371214","46.83","1965889","17.14","3405325","26495000","231","0.41","1-01186-0083","393 WEST END AVENUE","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","114","1927","134183","6615222","49.3","2737333","20.4","3877889","28792000","214.57","0.52","2019"
"1-00911-7501","0082-R1","242 EAST 31 STREET","MURRAY HILL","R4  -ELEVATOR","30","1925","42035","2256018","53.67","589331","14.02","1666687","13535999","322.02","1-00911-0028","249 EAST 30 STREET","MURRAY HILL","D5  -ELEVATOR","12","1917","11044","594278","53.81","179575","16.26","414703","3704000","335.39","0","1-00888-0031","153 EAST 32 STREET","MURRAY HILL","D5  -ELEVATOR","71","1920","62188","3273576","52.64","876851","14.1","2396725","15825000","254.47","0.15","1-00914-0011","221 EAST 33 STREET","MURRAY HILL","D1  -ELEVATOR","45","1900","35508","1905714","53.67","497822","14.02","1407892","10386000","292.5","0.15","2019"
"1-00573-7502","0089-R1","69 WEST 9 STREET","GREENWICH VILLAGE-CENTRAL","R9  -CONDOPS","119","1959","94250","4395820","46.64","968890","10.28","3426930","27832000","295.3","1-00573-0011","60 WEST 10 STREET","GREENWICH VILLAGE-CENTRAL","D1  -ELEVATOR","27","1910","20797","971220","46.7","228559","10.99","742661","5205000","250.28","0","1-00552-0010","82 WEST WASHINGTON PLACE","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","35","1900","27108","1264317","46.64","278670","10.28","985647","7318000","269.96","0.21","1-00543-0048","136 WEST 4 STREET","GREENWICH VILLAGE-CENTRAL","D1  -ELEVATOR","30","1929","20874","948306","45.43","237546","11.38","710760","4611000","220.9","0.3","2019"
"1-01390-7502","0094-R1","32 EAST 76 STREET","UPPER EAST SIDE (59-79)","R4  -ELEVATOR","30","1982","42054","2368481","56.32","478995","11.39","1889486","15345004","364.89","1-01426-9035","218 EAST 72 STREET","UPPER EAST SIDE (59-79)","D3  -ELEVATOR","148","1975","156200","8906524","57.02","2033724","13.02","6872800","53222000","340.73","0.37","1-01390-0009","7 EAST 75 STREET","UPPER EAST SIDE (59-79)","D3  -ELEVATOR","20","1910","13580","764826","56.32","154676","11.39","610150","4554000","335.35","0.09","1-01408-0007","109 EAST 73 STREET","UPPER EAST SIDE (59-79)","D3  -ELEVATOR","17","1920","12144","681643","56.13","156658","12.9","524985","2759000","227.19","0.14","2019"
"1-01505-7502","0100-R1","40 EAST 94 STREET","UPPER EAST SIDE (79-96)","R4  -ELEVATOR","208","1984","299069","15222612","50.9","5317447","17.78","9905165","80444972","268.98","1-01521-0007","115 EAST 92 STREET","UPPER EAST SIDE (79-96)","D3  -ELEVATOR","54","1927","65692","3343723","50.9","1168004","17.78","2175719","16165000","246.07","0.11","1-01518-0031","165 EAST 89 STREET","UPPER EAST SIDE (79-96)","D9  -ELEVATOR","56","1975","49680","2525731","50.84","850025","17.11","1675706","8214000","165.34","0.28","1-01520-0033","169 EAST 91 STREET","UPPER EAST SIDE (79-96)","D1  -ELEVATOR","53","1985","33443","1710944","51.16","593948","17.76","1116996","9674000","289.27","0.14","2019"
"1-01342-7502","0105-R1","301 EAST 49 STREET","MIDTOWN EAST","R4  -ELEVATOR","20","1982","33376","1391445","41.69","321745","9.64","1069700","8687993","260.31","1-01362-0012","20 BEEKMAN PLACE","MIDTOWN EAST","D3  -ELEVATOR","79","1957","98808","4119306","41.69","952509","9.64","3166797","19584000","198.2","0.13","1-01320-0018","235 EAST 46 STREET","MIDTOWN EAST","D1  -ELEVATOR","63","1938","49914","2028505","40.64","374854","7.51","1653651","12227000","244.96","0.2","1-01342-0045","320 EAST 50 STREET","MIDTOWN EAST","D1  -ELEVATOR","36","1960","23442","997926","42.57","232779","9.93","765147","6056000","258.34","0","2019"
"1-00624-7502","0106-R1","69 BANK STREET","GREENWICH VILLAGE-WEST","R4  -ELEVATOR","15","1983","27448","1333424","48.58","463048","16.87","870376","7068998","257.54","1-00635-0042","123 BANK STREET","GREENWICH VILLAGE-WEST","D5  -ELEVATOR","49","1930","37064","1800569","48.58","625270","16.87","1175299","14265000","384.87","0.15","1-00634-0047","337 WEST 11 STREET","GREENWICH VILLAGE-WEST","D5  -ELEVATOR","62","1965","53500","2603845","48.67","835670","15.62","1768175","16016000","299.36","0.17","1-00624-0031","8 8 AVENUE","GREENWICH VILLAGE-WEST","D9  -ELEVATOR","42","1930","35136","1690744","48.12","576230","16.4","1114514","8010000","227.97","0","2019"
"1-01117-7501","0107-R1","8 WEST 65 STREET","UPPER WEST SIDE (59-79)","R4  -ELEVATOR","11","1983","9335","469551","50.3","157201","16.84","312350","2537001","271.77","1-01117-0047","34 WEST 65 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","49","1939","37716","1902772","50.45","514823","13.65","1387949","8261000","219.03","0","1-01126-0026","9 WEST 73 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","12","1900","8303","416229","50.13","124462","14.99","291767","2321000","279.54","0.44","1-01124-0013","41 WEST 71 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","29","1929","20700","1041210","50.3","348588","16.84","692622","4942000","238.74","0.34","2019"
"1-00819-7501","0109-R1","12 WEST 18 STREET","FLATIRON","R4  -ELEVATOR","15","1910","28804","1554552","53.97","463744","16.1","1090808","8859001","307.56","1-00818-0010","43 WEST 16 STREET","FLATIRON","D9  -ELEVATOR","95","1911","64049","3593789","56.11","1182985","18.47","2410804","21195000","330.92","0.05","1-00818-0019","27 WEST 16 STREET","FLATIRON","D5  -ELEVATOR","75","1907","41300","2228961","53.97","664930","16.1","1564031","12882000","311.91","0.05","1-00850-0062","20 EAST 22 STREET","FLATIRON","D3  -ELEVATOR","23","1925","10512","555980","52.89","160413","15.26","395567","3919000","372.81","0.28","2019"
"1-01377-7502","0111-R1","26 EAST 63 STREET","UPPER EAST SIDE (59-79)","R4  -ELEVATOR","68","1901","85219","4148461","48.68","1382252","16.22","2766209","22466006","263.63","1-01379-0066","4 EAST 65 STREET","UPPER EAST SIDE (59-79)","D3  -ELEVATOR","20","1915","22344","1056201","47.27","359738","16.1","696463","5348000","239.35","0.13","1-01382-0045","40 EAST 68 STREET","UPPER EAST SIDE (59-79)","D9  -ELEVATOR","22","1910","16039","783826","48.87","229999","14.34","553827","4563000","284.49","0.24","1-01424-0029","226 EAST 70 STREET","UPPER EAST SIDE (59-79)","D1  -ELEVATOR","52","1921","41898","2039595","48.68","679586","16.22","1360009","13461000","321.28","0.46","2019"
"1-01569-7501","0117-R1","402 EAST 90 STREET","UPPER EAST SIDE (79-96)","R4  -ELEVATOR","82","1910","109500","5202345","47.51","2029035","18.53","3173310","25772002","235.36","1-01567-0031","440 EAST 88 STREET","UPPER EAST SIDE (79-96)","D3  -ELEVATOR","35","1929","27847","1323011","47.51","516005","18.53","807006","6279000","225.48","0.1","1-01554-0043","312 EAST 92 STREET","UPPER EAST SIDE (79-96)","D3  -ELEVATOR","28","1995","20000","952600","47.63","372000","18.6","580600","5277000","263.85","0.17","1-01570-0015","423 EAST 90 STREET","UPPER EAST SIDE (79-96)","D1  -ELEVATOR","49","1987","30866","1438356","46.6","555279","17.99","883077","7909000","256.24","0.05","2019"
