"borobox","box_type","location","zip","borough","communitydistict","citycouncil","latitude","longitude","location_point"
"B1936","ERS","STANLEY AVE & BERRIMAN ST","11208","Brooklyn","BK05","42","40.66329419","-73.87475187","POINT (-73.87475187 40.66329419)"
"Q4014","ERS","CYPRESS AVE OPP 78 AVE","11385","Queens","QN05","30","40.69515789","-73.89861514","POINT (-73.89861514 40.69515789)"
"Q4235","ERS","JUNIPER VALLEY RD & 75 ST","11379","Queens","QN05","30","40.71548225","-73.87929945","POINT (-73.87929945 40.71548225)"
"B1240","ERS","4 AVE & ST MARKS PL","11217","Brooklyn","BK06","33","40.68185263","-73.9800351","POINT (-73.9800351 40.68185263)"
"R0712","BARS","JEWETT AVE & EGBERT AVE","10302","Staten Island","SI01","49","40.62454541","-74.13191628","POINT (-74.13191628 40.62454541)"
"B3934","ERS","HERKIMER ST & JARDINE PL","11233","Brooklyn","BK16","37","40.6772081","-73.90513693","POINT (-73.90513693 40.6772081)"
"Q6253","ERS","5 AVE & 149 ST","11357","Queens","QN07","19","40.79564319","-73.81900063","POINT (-73.81900063 40.79564319)"
"R0741","ERS","FOREST AVE & LIVERMORE AVE","10302","Staten Island","SI01","49","40.6242952","-74.13722714","POINT (-74.13722714 40.6242952)"
"Q9445","ERS","UNION TPK & 141 ST","11367","Queens","QN08","24","40.7172806","-73.81932997","POINT (-73.81932997 40.7172806)"
"B3661","ERS","GOTHAM AVE & SHELL BANK CREEK","11229","Brooklyn","BK15","46","40.58904772","-73.92842812","POINT (-73.92842812 40.58904772)"
"Q4742","BARS","24 AVE & 201 ST","11357","Queens","QN07","19","40.77589957","-73.79089093","POINT (-73.79089093 40.77589957)"
"M1221","ERS","1 AVE & E 94 ST","10128","Manhattan","MN08","5","40.78194718","-73.94566982","POINT (-73.94566982 40.78194718)"
"R2798","BARS","RICHMOND AVE & ROCKLAND AVE","10314","Staten Island","SI02","51","40.59529877","-74.16189941","POINT (-74.16189941 40.59529877)"
"M1504","ERS","5 AVE & E 128 ST","10027","Manhattan","MN10","9","40.80833427","-73.94086063","POINT (-73.94086063 40.80833427)"
"B1843","ERS","GLENMORE AVE & PINE ST","11208","Brooklyn","BK05","42","40.67680551","-73.87130777","POINT (-73.87130777 40.67680551)"
"Q7934","BARS","45 AVE & 81 ST","11373","Queens","QN04","25","40.74150481","-73.88387597","POINT (-73.88387597 40.74150481)"
"B1759","ERS","SUNNYSIDE AVE & BARBEY ST","11207","Brooklyn","BK05","37","40.68248486","-73.89028339","POINT (-73.89028339 40.68248486)"
"M1521","ERS","5 AVE & E 130 ST","10027","Manhattan","MN10","9","40.80958142","-73.93994876","POINT (-73.93994876 40.80958142)"
"B3283","ERS","VOORHIES AVE & E 26 ST","11235","Brooklyn","BK15","48","40.58689038","-73.94318574","POINT (-73.94318574 40.58689038)"
"Q9149","ERS","68 RD & 108 ST","11375","Queens","QN06","29","40.72629449","-73.84618699","POINT (-73.84618699 40.72629449)"
"Q9779","BARS","67 AVE & 214 ST","11364","Queens","QN11","23","40.74341137","-73.76158679","POINT (-73.76158679 40.74341137)"
"B0972","ERS","ATLANTIC AVE & CLASSON AVE","11238","Brooklyn","BK02","35","40.67983113","-73.95829217","POINT (-73.95829217 40.67983113)"
"Q6350","BARS","MANOR RD & DOUGLAS RD","11363","Queens","QN11","19","40.77719081","-73.74605457","POINT (-73.74605457 40.77719081)"
"Q8999","BARS","VAN WYCK XWAY W SVC RD & 105 AVE","11419","Queens","QN10","28","40.69057272","-73.81037271","POINT (-73.81037271 40.69057272)"
"Q0034","BARS","LGA - PARKING GARAGE E/END ARRIVAL BLD","11371","Queens","LGA","21","40.77278489","-73.87158358","POINT (-73.87158358 40.77278489)"
"Q6922","BARS","CROCHERON AVE & 170 ST","11358","Queens","QN07","19","40.7627955","-73.79610662","POINT (-73.79610662 40.7627955)"
"M1778","ERS","ST NICHOLAS AVE OPP W 193 ST","10040","Manhattan","MN12","10","40.85680813","-73.92826618","POINT (-73.92826618 40.85680813)"
"M1290","ERS","FDR DR & E 107 ST","10029","Manhattan","MN11","8","40.78951095","-73.93750187","POINT (-73.93750187 40.78951095)"
"B2211","ERS","HOPKINSON AVE/BOYLAND ST & HEGEMAN AVE","11212","Brooklyn","BK16","42","40.65593507","-73.91004188","POINT (-73.91004188 40.65593507)"
"Q3737","BARS","15 RD & 208 ST","11360","Queens","QN07","19","40.78499848","-73.78562776","POINT (-73.78562776 40.78499848)"
"R4761","BARS","LORETTO LA & WATERFRONT","10309","Staten Island","SI03","51","40.50402832","-74.21812604","POINT (-74.21812604 40.50402832)"
"B1586","ERS","CLARKSON AVE & E 40 ST","11203","Brooklyn","BK09","41","40.65600154","-73.94053215","POINT (-73.94053215 40.65600154)"
"R1947","ERS","RICHMOND AVE & DEPPE PL","10314","Staten Island","SI01","49","40.61792217","-74.15577784","POINT (-74.15577784 40.61792217)"
"B1978","ERS","DUMONT AVE & EMERALD ST","11208","Brooklyn","BK05","42","40.67138053","-73.85947417","POINT (-73.85947417 40.67138053)"
"B2573","ERS","14 AVE & 39 ST","11218","Brooklyn","BK12","39","40.63929771","-73.98408782","POINT (-73.98408782 40.63929771)"
"Q5578","BARS","93 RD & 224 ST","11428","Queens","QN13","23","40.72291868","-73.73149717","POINT (-73.73149717 40.72291868)"
"Q3867","BARS","EAST HAMPTON BLVD & HARDING XWAY N","11364","Queens","QN11","23","40.75218624","-73.74718849","POINT (-73.74718849 40.75218624)"
"Q9532","ERS","WOODHAVEN BLVD & 68 AVE","11379","Queens","QN05","29","40.71548717","-73.86062663","POINT (-73.86062663 40.71548717)"
"M1275","ERS","2 AVE & E 101 ST","10029","Manhattan","MN11","8","40.787442","-73.9447695","POINT (-73.9447695 40.787442)"
"B1662","ERS","BLAKE AVE & CHESTER ST","11212","Brooklyn","BK16","41","40.66548902","-73.91062465","POINT (-73.91062465 40.66548902)"
"Q6427","BARS","HARDING XWAY N & OVERBROOK ST","11362","Queens","QN11","19","40.75924987","-73.73611089","POINT (-73.73611089 40.75924987)"
"R2012","BARS","RICHMOND RD & HUNTER AVE","10306","Staten Island","SI02","50","40.58368564","-74.10790852","POINT (-74.10790852 40.58368564)"
"Q3281","BARS","ASTORIA BLVD N & 76 ST","11370","Queens","QN01","22","40.76678469","-73.89309377","POINT (-73.89309377 40.76678469)"
"Q5101","ERS","MYRTLE AVE & 73 ST","11385","Queens","QN05","30","40.70229404","-73.87639785","POINT (-73.87639785 40.70229404)"
"B0793","ERS","LEXINGTON AVE & MALCOLM X BLVD\REID AVE","11221","Brooklyn","BK03","36","40.68997797","-73.93036357","POINT (-73.93036357 40.68997797)"
"Q7427","BARS","34 AVE & 28 ST","11106","Queens","QN01","26","40.76079776","-73.92965062","POINT (-73.92965062 40.76079776)"
"M1230","ERS","FDR DR & E 97 ST","10029","Manhattan","MN11","8","40.78363246","-73.94351861","POINT (-73.94351861 40.78363246)"
"Q2213","ERS","S/S QUEENS BLVD & 58 ST","11377","Queens","QN02","26","40.74163074","-73.90770322","POINT (-73.90770322 40.74163074)"
"R1525","BARS","VICTORY BLVD & MOUNTAINVIEW AVE","10314","Staten Island","SI01","50","40.61276831","-74.12687085","POINT (-74.12687085 40.61276831)"
"Q5121","ERS","CENTRAL AVE & 69 PL","11385","Queens","QN05","30","40.70420133","-73.88287364","POINT (-73.88287364 40.70420133)"
"Q9839","ERS","97 AVE & SUTPHIN BLVD","11435","Queens","QN12","28","40.6972619","-73.80573926","POINT (-73.80573926 40.6972619)"
"Q4074","ERS","FLUSHING AVE & ONDERDONK AVE","11385","Queens","QN05","34","40.7114561","-73.91985955","POINT (-73.91985955 40.7114561)"
"Q5768","ERS","129 AVE & 236 ST","11422","Queens","QN13","31","40.68043734","-73.73117919","POINT (-73.73117919 40.68043734)"
"B3604","ERS","OCEANVIEW AVE & BRIGHTON 2 ST","11235","Brooklyn","BK13","48","40.57880751","-73.96581492","POINT (-73.96581492 40.57880751)"
"M1407","ERS","5 AVE & E 118 ST","10026","Manhattan","MN10","9","40.80197023","-73.94550864","POINT (-73.94550864 40.80197023)"
"Q4818","ERS","JAMAICA AVE & SUTPHIN BLVD","11435","Queens","QN12","27","40.70176553","-73.80792715","POINT (-73.80792715 40.70176553)"
"B1232","ERS","FLATBUSH AVE & PARK PL","11217","Brooklyn","BK08","35","40.67752281","-73.97271615","POINT (-73.97271615 40.67752281)"
"Q4514","ERS","22 AVE & 126 ST","11356","Queens","QN07","19","40.78015379","-73.84239892","POINT (-73.84239892 40.78015379)"
"B1729","ERS","GLENMORE AVE & SHEFFIELD AVE","11207","Brooklyn","BK05","37","40.67301661","-73.89716712","POINT (-73.89716712 40.67301661)"
"Q6218","BARS","150 ST & 20 RD","11357","Queens","QN07","19","40.78058083","-73.81429898","POINT (-73.81429898 40.78058083)"
"Q7671","BARS","ASTORIA BLVD & 81 ST","11370","Queens","QN03","22","40.76517834","-73.88806563","POINT (-73.88806563 40.76517834)"
"X2875","ERS","NOBLE AVE & GLEASON AVE","10472","Bronx","BX09","18","40.82942885","-73.86968144","POINT (-73.86968144 40.82942885)"
"B0482","ERS","FURMAN ST & MONTAGUE ST","11201","Brooklyn","BK02","33","40.69599978","-73.99824027","POINT (-73.99824027 40.69599978)"
"Q2105","ERS","101 AVE & 84 ST","11416","Queens","QN09","32","40.68160698","-73.85535333","POINT (-73.85535333 40.68160698)"
"Q9617","ERS","86 AVE & 105 ST","11418","Queens","QN09","32","40.69724833","-73.84300917","POINT (-73.84300917 40.69724833)"
"R1016","ERS","TARGEE ST & STEUBEN ST","10304","Staten Island","SI01","49","40.61072604","-74.08634215","POINT (-74.08634215 40.61072604)"
"B3828","ERS","DWIGHT ST & COFFEY ST","11231","Brooklyn","BK06","38","40.67422277","-74.01118011","POINT (-74.01118011 40.67422277)"
"B1611","ERS","E NEW YORK AVE & ST MARKS AVE","11212","Brooklyn","BK16","41","40.672948","-73.90925438","POINT (-73.90925438 40.672948)"
"X3822","ERS","SETON AVE & E 233 ST","10466","Bronx","BX12","12","40.88893566","-73.83643359","POINT (-73.83643359 40.88893566)"
"Q1326","ERS","ROCKAWAY BEACH BLVD & BEACH 84 ST","11693","Queens","QN14","31","40.58774216","-73.80986542","POINT (-73.80986542 40.58774216)"
"B0180","BARS","METROPOLITAN AVE & STEWART AVE","11237","Brooklyn","BK01","34","40.71420824","-73.92816525","POINT (-73.92816525 40.71420824)"
"X3969","ERS","ONEIDA AVE & E 236 ST","10470","Bronx","BX12","11","40.89769435","-73.87269698","POINT (-73.87269698 40.89769435)"
"Q5394","BARS","QUENCER RD & NEWBURGH ST","11412","Queens","QN12","27","40.69563063","-73.76458044","POINT (-73.76458044 40.69563063)"
"X3837","ERS","EDENWALD AVE & WILDER AVE","10466","Bronx","BX12","12","40.89328577","-73.8419206","POINT (-73.8419206 40.89328577)"
"Q5061","BARS","FOCH BLVD & MERRICK BLVD","11434","Queens","QN12","27","40.68701659","-73.77486249","POINT (-73.77486249 40.68701659)"
"X2883","ERS","SEABURY AVE & HERSHELL ST","10461","Bronx","BX10","13","40.83615871","-73.84246873","POINT (-73.84246873 40.83615871)"
"B4018","ERS","FLATLANDS AVE & FOUNTAIN AVE","11208","Brooklyn","BK05","42","40.66045225","-73.8671807","POINT (-73.8671807 40.66045225)"
"X3667","ERS","PRATT AVE & MAROLLA PLACE","10466","Bronx","BX12","12","40.88469455","-73.83591285","POINT (-73.83591285 40.88469455)"
"B2107","ERS","NEW LOTS AVE & HINSDALE ST","11207","Brooklyn","BK05","42","40.65983319","-73.89759944","POINT (-73.89759944 40.65983319)"
"B1446","ERS","4 AVE & 32 ST","11232","Brooklyn","BK07","38","40.65654952","-74.00209359","POINT (-74.00209359 40.65654952)"
"R1192","BARS","WESTERN AVE & RAILROAD CROSSING","10303","Staten Island","SI01","49","40.63448668","-74.18184158","POINT (-74.18184158 40.63448668)"
"R1429","BARS","XENIA ST & HURLBERT ST","10305","Staten Island","SI02","50","40.59215182","-74.08446979","POINT (-74.08446979 40.59215182)"
"R4689","ERS","PURDY PL & HOLTON AVE","10309","Staten Island","SI03","51","40.51273272","-74.19368776","POINT (-74.19368776 40.51273272)"
"B1423","ERS","3 AVE & 29 ST","11232","Brooklyn","BK07","38","40.65954746","-74.00262349","POINT (-74.00262349 40.65954746)"
"B2895","ERS","CROPSEY AVE & 20 AVE","11214","Brooklyn","BK11","43","40.60020309","-74.00281297","POINT (-74.00281297 40.60020309)"
"B2934","ERS","AVE I & EAST 15 ST","11230","Brooklyn","BK14","44","40.62757082","-73.96184657","POINT (-73.96184657 40.62757082)"
"Q7072","ERS","GRAND AVE & E/S OF NY CONN RAILROAD","11373","Queens","QN04","25","40.73049188","-73.88624327","POINT (-73.88624327 40.73049188)"
"R3768","ERS","CODY PL & CROCKER CT","10312","Staten Island","SI03","51","40.55520322","-74.20190242","POINT (-74.20190242 40.55520322)"
"Q0082","BARS","SHEA STADIUM 700' W OF 126 ST & 38 AVE","11368","Queens",,"21","40.75623317","-73.84642544","POINT (-73.84642544 40.75623317)"
"M0145","ERS","BROADWAY & THOMAS ST","10013","Manhattan","MN01","1","40.71575994","-74.00497613","POINT (-74.00497613 40.71575994)"
"M1417","ERS","MORNINGSIDE AVE & W 119 ST","10026","Manhattan","MN10","9","40.80754571","-73.95680544","POINT (-73.95680544 40.80754571)"
"M1782","ERS","AMSTERDAM AVE S OF FORT GEORGE AVE","10040","Manhattan","MN12","10","40.85501103","-73.926036","POINT (-73.926036 40.85501103)"
"R0428","BARS","VANDERBILT AVE & BAY ST","10304","Staten Island","SI01","49","40.62246402","-74.07253552","POINT (-74.07253552 40.62246402)"
"M0428","ERS","AVENUE B & E 4 ST","10009","Manhattan","MN03","2","40.72327798","-73.9825245","POINT (-73.9825245 40.72327798)"
"R0229","BARS","VICTORY BLVD & BAY ST","10301","Staten Island","SI01","49","40.6377481","-74.07601777","POINT (-74.07601777 40.6377481)"
"B0919","ERS","SCHENECTADY AVE & PARK PL","11213","Brooklyn","BK08","36","40.6725145","-73.93355357","POINT (-73.93355357 40.6725145)"
"M1323","ERS","BROADWAY & W 108 ST","10025","Manhattan","MN07","6","40.80292725","-73.96757497","POINT (-73.96757497 40.80292725)"
"Q4430","ERS","45 AVE & 160 ST","11358","Queens","QN07","20","40.7565452","-73.80639406","POINT (-73.80639406 40.7565452)"
"M1798","ERS","10 AVE & W 202 ST","10034","Manhattan","MN12","10","40.86131167","-73.921232","POINT (-73.921232 40.86131167)"
"R0563","ERS","UTTER AVE & MANOR RD","10314","Staten Island","SI01","50","40.61805942","-74.12362161","POINT (-74.12362161 40.61805942)"
"R2413","BARS","COMBS AVE 250' N OF CLARKE AVE/RVFD","10306","Staten Island","SI03","50","40.56593022","-74.13205095","POINT (-74.13205095 40.56593022)"
"B3013","ERS","AVENUE M & E 17 ST","11230","Brooklyn","BK14","44","40.61821719","-73.95814639","POINT (-73.95814639 40.61821719)"
"R1983","ERS","WYONA AVE & HAWTHORNE AVE","10314","Staten Island","SI01","50","40.61022205","-74.1489379","POINT (-74.1489379 40.61022205)"
"B0143","ERS","MANHATTAN AVE & FROST ST","11211","Brooklyn","BK01","34","40.71790704","-73.94665225","POINT (-73.94665225 40.71790704)"
"B2992","ERS","AVE M & EAST 15 ST","11230","Brooklyn","BK14","48","40.61801126","-73.96004232","POINT (-73.96004232 40.61801126)"
"Q9336","BARS","37 AVE & 111 ST","11368","Queens","QN03","21","40.75414368","-73.85715508","POINT (-73.85715508 40.75414368)"
"M0089","ERS","PEARL ST & BEEKMAN ST","10038","Manhattan","MN01","1","40.70808367","-74.00340211","POINT (-74.00340211 40.70808367)"
"B2587","ERS","11 AVE & 48 ST","11219","Brooklyn","BK12","44","40.63824637","-73.99594166","POINT (-73.99594166 40.63824637)"
"Q1314","ERS","ROCKAWAY BEACH BLVD & BEACH 75 ST","11692","Queens","QN14","32","40.58866769","-73.80274869","POINT (-73.80274869 40.58866769)"
"X3778","ERS","FIELDSTON RD & W 245 ST","10471","Bronx","BX08","11","40.89171407","-73.90558681","POINT (-73.90558681 40.89171407)"
"Q4123","ERS","68 RD & 60 ST","11385","Queens","QN05","30","40.70347577","-73.89981967","POINT (-73.89981967 40.70347577)"
"B2616","ERS","68 ST & 7 AVE E/S OF VZ BRIDGE APP","11220","Brooklyn","BK10","43","40.63178263","-74.01582528","POINT (-74.01582528 40.63178263)"
"B1709","ERS","LIBERTY AVE & SNEDIKER AVE","11207","Brooklyn","BK05","37","40.67357377","-73.90207722","POINT (-73.90207722 40.67357377)"
"Q7019","ERS","SW CORNER 73 ST & 57 AVE","11378","Queens","QN05","30","40.72843098","-73.88858241","POINT (-73.88858241 40.72843098)"
"Q1422","BARS","CRONSTON AVE & BEACH 135 ST","11694","Queens","QN14","32","40.57803909","-73.85511219","POINT (-73.85511219 40.57803909)"
"B2453","ERS","FOSTER AVE & E 21 ST","11226","Brooklyn","BK14","40","40.63679269","-73.95743328","POINT (-73.95743328 40.63679269)"
"Q2305","ERS","N/B CI PWAY AT 150 ST","11357","Queens","QN07","19","40.78726003","-73.81286381","POINT (-73.81286381 40.78726003)"
"Q7402","BARS","32 AVE & 51 ST","11377","Queens","QN01","26","40.75529168","-73.90846545","POINT (-73.90846545 40.75529168)"
"X4030","ERS","BRUSH AVE & ROHR PL","10465","Bronx","BX10","13","40.82178334","-73.8378736","POINT (-73.8378736 40.82178334)"
"R1031","BARS","ELBE AVE & SABLE AVE","10304","Staten Island","SI02","50","40.60604576","-74.08434222","POINT (-74.08434222 40.60604576)"
"Q7171","BARS","41 AVE & 21 ST","11101","Queens","QN01","26","40.75399761","-73.94243021","POINT (-73.94243021 40.75399761)"
"Q5256","BARS","HILLSIDE AVE & 187 ST","11423","Queens","QN08","24","40.71469631","-73.77529928","POINT (-73.77529928 40.71469631)"
"R3814","BARS","NELSON AVE & BELDEN ST","10308","Staten Island","SI03","51","40.5474525","-74.14995202","POINT (-74.14995202 40.5474525)"
"Q6615","BARS","CROYDEN RD & MAYFIELD RD","11432","Queens","QN08","24","40.71699938","-73.78961771","POINT (-73.78961771 40.71699938)"
"Q4485","ERS","SANFORD AVE & 149 ST","11355","Queens","QN07","20","40.76037161","-73.81508733","POINT (-73.81508733 40.76037161)"
"B1905","ERS","LINDEN BLVD & WILLIAMS AVE","11207","Brooklyn","BK05","42","40.65774692","-73.89610851","POINT (-73.89610851 40.65774692)"
"Q4918","ERS","JEWEL AVE/VAN ARSDALE AVE & 136 ST","11367","Queens","QN08","24","40.72834297","-73.82954332","POINT (-73.82954332 40.72834297)"
"B3884","ERS","BATH AVE & BAY 37 ST","11214","Brooklyn","BK11","47","40.59521085","-73.99238931","POINT (-73.99238931 40.59521085)"
"Q7528","BARS","HOYT AVE N & 24 ST","11102","Queens","QN01","22","40.77393148","-73.92165606","POINT (-73.92165606 40.77393148)"
"Q6806","BARS","109 AVE & 227 ST","11429","Queens","QN13","27","40.7066598","-73.72964716","POINT (-73.72964716 40.7066598)"
"B2540","ERS","17 AVE & 46 ST","11204","Brooklyn","BK12","44","40.63123292","-73.98130754","POINT (-73.98130754 40.63123292)"
"Q3106","ERS","QUEENS BLVD & 64 RD","11374","Queens","QN06","29","40.72915082","-73.8604723","POINT (-73.8604723 40.72915082)"
"M1584","ERS","HAMILTON PL & W 139 ST","10031","Manhattan","MN09","7","40.8221734","-73.95210583","POINT (-73.95210583 40.8221734)"
"R4392","ERS","AMBOY RD 75' E OF SHARROTT AVE","10309","Staten Island","SI03","51","40.52402543","-74.21401058","POINT (-74.21401058 40.52402543)"
"Q3206","ERS","66 RD & YELLOWSTONE BLVD","11375","Queens","QN06","29","40.72915439","-73.84944778","POINT (-73.84944778 40.72915439)"
"Q7989","BARS","43 AVE OPP 95 ST","11373","Queens","QN04","25","40.74524191","-73.869288","POINT (-73.869288 40.74524191)"
"Q7339","ERS","78 AVE & 88 ST","11385","Queens","QN05","30","40.70589893","-73.86108261","POINT (-73.86108261 40.70589893)"
"R0224","ERS","CEBRA AVE & VICTORY BLVD","10301","Staten Island","SI01","49","40.63395556","-74.08574929","POINT (-74.08574929 40.63395556)"
"Q5755","ERS","131 AVE & 218 ST","11413","Queens","QN13","31","40.6831333","-73.74935675","POINT (-73.74935675 40.6831333)"
"M1014","ERS","MADISON AVE & E 69 ST","10021","Manhattan","MN08","4","40.76984667","-73.9668471","POINT (-73.9668471 40.76984667)"
"X2609","ERS","BRUCKNER BLVD N/B & THERIOT AVE","10473","Bronx","BX09","18","40.82510524","-73.86295905","POINT (-73.86295905 40.82510524)"
"Q6451","BARS","60 AVE & HEWLETT ST","11362","Queens","QN11","23","40.7614709","-73.71691484","POINT (-73.71691484 40.7614709)"
"R3695","BARS","RICHMOND AVE & ARTHUR KILL RD","10312","Staten Island","SI03","51","40.561078","-74.16982656","POINT (-74.16982656 40.561078)"
"M1378","ERS","LEXINGTON AVE & E 115 ST","10029","Manhattan","MN11","8","40.7979438","-73.94212011","POINT (-73.94212011 40.7979438)"
"B2023","ERS","GLENMORE AVE & WYONA ST","11207","Brooklyn","BK05","37","40.67358165","-73.89335128","POINT (-73.89335128 40.67358165)"
"M0482","ERS","STUYVESANT TWN SVC RD 1 AVE & E 16 ST","10009","Manhattan","MN06","2","40.73264377","-73.981562","POINT (-73.981562 40.73264377)"
"B2379","ERS","PRESTON CT BTW E 56 ST & RALPH AVE","11234","Brooklyn","BK18","45","40.63999206","-73.92149332","POINT (-73.92149332 40.63999206)"
"R1583","ERS","SLOSSON AVE & MOTLEY AVE","10314","Staten Island","SI02","50","40.60801798","-74.11606167","POINT (-74.11606167 40.60801798)"
"B2816","ERS","16 AVE & 77 ST","11214","Brooklyn","BK11","43","40.61515271","-74.00203158","POINT (-74.00203158 40.61515271)"
"X3468","ERS","ADEE AVE & OLINVILLE AVE","10467","Bronx","BX12","15","40.86968361","-73.86822921","POINT (-73.86822921 40.86968361)"
"Q5270","ERS","109 AVE & 120 ST","11419","Queens","QN10","28","40.68250274","-73.82130359","POINT (-73.82130359 40.68250274)"
"X2965","ERS","JEROME AVE & MOUNT HOPE PL","10453","Bronx","BX05","14","40.8494181","-73.91112232","POINT (-73.91112232 40.8494181)"
"M1262","ERS","3 AVE & E 100 ST","10029","Manhattan","MN11","5","40.78775317","-73.94746094","POINT (-73.94746094 40.78775317)"
"M1483","ERS","1 AVE & E 126 ST","10035","Manhattan","MN11","8","40.80248977","-73.93089359","POINT (-73.93089359 40.80248977)"
"B0628","ERS","VANDERBILT AVE & DEKALB AVE","11205","Brooklyn","BK02","35","40.68946752","-73.96910363","POINT (-73.96910363 40.68946752)"
"Q1401","BARS","CRONSTON AVE & BEACH 124 ST","11694","Queens","QN14","32","40.58113253","-73.84592173","POINT (-73.84592173 40.58113253)"
"M1151","ERS","BROADWAY & W 84 ST","10024","Manhattan","MN07","6","40.78704606","-73.97758535","POINT (-73.97758535 40.78704606)"
"X3722","ERS","BROADWAY & W 230 ST","10463","Bronx","BX08","11","40.87691333","-73.90657623","POINT (-73.90657623 40.87691333)"
"B1816","ERS","ETNA AVE & RICHMOND ST","11208","Brooklyn","BK05","37","40.68582132","-73.87737336","POINT (-73.87737336 40.68582132)"
"Q5436","BARS","110 AVE & SPRINGFIELD BLVD","11429","Queens","QN13","27","40.70838463","-73.73861196","POINT (-73.73861196 40.70838463)"
"B1311","ERS","8 AVE & 16 ST","11215","Brooklyn","BK07","39","40.66153948","-73.98273252","POINT (-73.98273252 40.66153948)"
"R1876","ERS","ADAMS AVE & NORTH RAILROAD AVE","10306","Staten Island","SI02","50","40.5832691","-74.1041134","POINT (-74.1041134 40.5832691)"
"R1223","BARS","SAND LA & OLYMPIA BLVD","10305","Staten Island","SI02","50","40.59278577","-74.06831811","POINT (-74.06831811 40.59278577)"
"X3785","ERS","ARLINGTON AVE & W 246 ST","10471","Bronx","BX08","11","40.89263163","-73.90990306","POINT (-73.90990306 40.89263163)"
"B0455","ERS","COURT ST & MONTAGUE ST","11201","Brooklyn","BK02","33","40.69373505","-73.99044693","POINT (-73.99044693 40.69373505)"
"M1019","ERS","1 AVE & E 70 ST","10021","Manhattan","MN08","5","40.76649344","-73.95695607","POINT (-73.95695607 40.76649344)"
"Q1095","BARS","MOTT AVE & MCBRIDE ST","11691","Queens","QN14","31","40.60573893","-73.757706","POINT (-73.757706 40.60573893)"
"M1340","ERS","RIVERSIDE DR & W 111 ST","10025","Manhattan","MN09","7","40.80545283","-73.96772277","POINT (-73.96772277 40.80545283)"
"X4903","ERS","UNIVERSITY AVE & W KINGSBRIDGE RD","10468","Bronx","BX07","14","40.86828265","-73.90106211","POINT (-73.90106211 40.86828265)"
"R0026","BARS","JERSEY ST 500' S OF RICHMOND TERR","10301","Staten Island","SI01","49","40.64536605","-74.08785112","POINT (-74.08785112 40.64536605)"
