"license_nbr","license_type","lic_expir_dd","license_status","license_creation_date","industry","business_name","business_name_2","address_building","address_street_name","address_street_name_2","address_city","address_state","address_zip","contact_phone","address_borough","detail","community_board","council_district","bin","bbl","nta","census_tract","detail_2","longitude","latitude","location"
"1071873-DCA","Individual","2005-10-31T00:00:00.000","Inactive","2001-01-23T00:00:00.000","Home Improvement Salesperson","MCLAUGHLIN, MICHAEL P.",,,,,"BELLMORE","NY","11710",,,,,,,,,,,,,
"1462992-DCA","Individual","2014-04-30T00:00:00.000","Inactive","2013-04-19T00:00:00.000","Pedicab Driver","NAZLICAN, SULEYMAN",,,,,"NORTH BALDWIN","NY","11510",,,,,,,,,,,,,
"2006297-DCA","Individual","2014-10-31T00:00:00.000","Inactive","2014-04-15T00:00:00.000","Tow Truck Driver","MENDEZ, DAISY",,,,,"STATEN ISLAND","NY","10314",,,,,,,,,,,,,
"2080839-DCA","Individual",,"Inactive","2018-12-19T00:00:00.000","Home Improvement Salesperson","FILIPCHENKO, VITALY",,,,,"NEW YORK","NY","10010",,,,,,,,,,,,,
"2075091-DCA","Individual","2025-05-31T00:00:00.000","Active","2018-07-05T00:00:00.000","Locksmith","AHARON, AVI",,,,,"NEW YORK","NY","10128",,,,,,,,,,,,,
"0365714-DCA","Business","2005-03-31T00:00:00.000","Inactive","1997-04-08T00:00:00.000","Garage","THE GARDENS 75TH STREET OWNERS CORP.",,"3538","75TH ST",,"JACKSON HTS","NY","11372","2127270700","Queens","4","403","25","4029562","4012740020","QN28","289","Vehicle Spaces: 85, Bicycle Spaces:","-73.89113569640881","40.75074488262595","
,  
(40.75074488262595, -73.89113569640881)"
"1076184-DCA","Business","2004-12-31T00:00:00.000","Inactive","2001-04-02T00:00:00.000","Tobacco Retail Dealer","JALIL, MOHAMMED ABDUL","SUNRISE DELICATESSEN","2017","CHURCH AVE",,"BROOKLYN","NY","11226","7189410211","Brooklyn","3","314","40","3116556","3050810039","BK42","50801",,"-73.96073707845565","40.6501225946322","
,  
(40.6501225946322, -73.96073707845565)"
"1353669-DCA","Individual","2016-03-31T00:00:00.000","Inactive","2010-05-10T00:00:00.000","Sightseeing Guide",,,,,,,,,,,,,,,,,,,,,
"1216412-DCA","Individual","2014-10-31T00:00:00.000","Inactive","2008-07-09T00:00:00.000","Tow Truck Driver","ALSTON-MCDUFFIE, EDWARD",,,,,"BROOKLYN","NY","11207",,,,,,,,,,,,,
"2004552-DCA","Individual","2016-04-30T00:00:00.000","Inactive","2014-03-10T00:00:00.000","Pedicab Driver","KARAKIS, AHMET",,,,,"NEW YORK","NY","10019",,,,,,,,,,,,,
"2061591-DCA","Business","2021-12-31T00:00:00.000","Inactive","2017-11-25T00:00:00.000","Laundries","SING WAH LAUNDROMAT INC.",,"6914","4TH AVE",,"BROOKLYN","NY","11209","212-233-7016","Brooklyn","3","310","43","3145701","3058720047","BK31","68","Laundry Type: Retail Laundry","-74.02362065616948","40.63439650603149","
,  
(40.63439650603149, -74.02362065616948)"
"2009334-DCA","Business","2020-05-23T00:00:00.000","Inactive","2014-06-09T00:00:00.000","Sidewalk Cafe","DCB DELANCEY CORPORATION","SEL ROSE","1","DELANCEY ST",,"NEW YORK","NY","10002",,"Manhattan","1","103","01","1005662","1004240012","MN27","18","Sidewalk Cafe Type: Regular Unenclosed/Small Unenclosed, Square Feet: 560, Tables: 15, Chairs: 51","-73.99382027141543","40.720241568328824","
,  
(40.720241568328824, -73.99382027141543)"
"2016468-DCA","Individual",,"Inactive","2014-12-15T00:00:00.000","Home Improvement Salesperson",,,,,,"BAYSIDE","NY","11360",,,,,,,,,,,,,
"2038840-DCA","Business","2021-07-31T00:00:00.000","Inactive","2016-06-09T00:00:00.000","Secondhand Dealer - General","MD BROADWAY ELECTRONICS LLC",,"1888","JEROME AVE",,"BRONX","NY","10453","9176454480","Bronx","2","205","14","2013962","2031790031",,,,"-73.90607848934312","40.85520587133494","
,  
(40.85520587133494, -73.90607848934312)"
"1215532-DCA","Individual","2025-05-31T00:00:00.000","Active","2005-12-06T00:00:00.000","Locksmith","MORTILLARO, PHILIP",,,,,"WHIPPANY","NJ","07981",,,,,,,,,,,,,
"2104048-DCA","Business","2024-06-30T00:00:00.000","Active","2022-02-22T00:00:00.000","Electronic & Appliance Service","L & F Group Inc",,"87","ELIZABETH ST",,"NEW YORK","NY","10013","9175306045","Manhattan","1","102","01","1086597","1002387503",,,,"-73.9960137864345","40.71813094517476","
,  
(40.71813094517476, -73.9960137864345)"
"2103416-DCA","Individual","2024-03-31T00:00:00.000","Active","2022-01-11T00:00:00.000","Sightseeing Guide","DOWD, TIMOTHY",,,,,"NEW YORK","NY","10003",,,,,,,,,,,,,
"2000792-DCA","Business","2015-07-31T00:00:00.000","Inactive","2013-11-18T00:00:00.000","Secondhand Dealer - Auto","Recovery Racing V LLC","Maserati of Manhattan","619","W 54TH ST",,"NEW YORK","NY","10019",,"Manhattan","1",,,,,"MN15","135",,,,
"2107577-DCA","Individual","2023-09-30T00:00:00.000","Active","2022-07-19T00:00:00.000","General Vendor","Encarnacion, Madally",,,,,"BRONX","NY","10461",,,,,,,,,,"General Vendor Type: General Vendor (White)",,,
"2093407-DCA","Individual","2022-10-31T00:00:00.000","Inactive","2020-01-07T00:00:00.000","Tow Truck Driver","PAKHOMOV, ALEKSANDR",,,,,"VALLEY STREAM","NY","11581",,,,,,,,,,,,,
"1400302-DCA","Business","2024-06-30T00:00:00.000","Active","2011-07-14T00:00:00.000","Electronic & Appliance Service","MD BROADWAY ELECTRONICS LLC",,"1888","JEROME AVE",,"BRONX","NY","10453","3476306578","Bronx","2","205","14","2008233","2028520009",,,,"-73.9108248022589","40.84982178304856","
,  
(40.84982178304856, -73.9108248022589)"
"1357199-DCA","Business","2024-05-01T00:00:00.000","Active","2010-06-02T00:00:00.000","Employment Agency","POLAND EMPLOYMENT AGENCY INC.",,"861","MANHATTAN AVE",,"BROOKLYN","NY","11222","7183498787","Brooklyn","3","301","33","3337621","3025660041",,,,"-73.9538784546537","40.729295686168165","
,  
(40.729295686168165, -73.9538784546537)"
"1443396-DCA","Business","2019-02-28T00:00:00.000","Inactive","2012-08-31T00:00:00.000","Home Improvement Contractor","SINBAD INTERNATIONAL INC.",,"3964A","47TH ST",,"SUNNYSIDE","NY","11104","3476129819","Queens","4","402","26","4001474","4001490068","QN31","169",,"-73.91689867261931","40.747453438223395","
,  
(40.747453438223395, -73.91689867261931)"
"1191726-DCA","Business","2009-06-30T00:00:00.000","Inactive","2007-09-26T00:00:00.000","Home Improvement Contractor","F. J. SCIAME CONSTRUCTION CO., INC.",,"80","SOUTH ST",,"NEW YORK","NY","10038","2122322005","Manhattan","1","101","1","1079058","1000720031","MN25","1502",,"-74.00426318129169","40.70555169055625","
,  
(40.70555169055625, -74.00426318129169)"
"2089276-DCA","Business","2024-06-30T00:00:00.000","Active","2019-08-07T00:00:00.000","Electronic & Appliance Service","AVENUE D CELLULAR INC",,"1080","UTICA AVE",,"BROOKLYN","NY","11203","7185522050","Brooklyn","3","317","45","3349019","3047340032",,,,"-73.92985647239898","40.6467098637637","
,  
(40.6467098637637, -73.92985647239898)"
"2115098-DCA","Individual","2023-07-31T00:00:00.000","Active","2023-07-14T00:00:00.000","Ticket Seller","WRIGHT, OMAR",,,,,"MOUNT VERNON","NY","10550",,,,,,,,,,,,,
"2001198-2-DCA","Business","2020-12-31T00:00:00.000","Inactive","2013-12-02T00:00:00.000","Tobacco Retail Dealer","2474 QUAD VENTURES INC.","7 Eleven Store #35049A","2474","FLATBUSH AVE",,"BROOKLYN","NY","11234","718-252-0549","Brooklyn","3","318","46","3241945","3085420001","BK45","662",,"-73.9228393973037","40.61011182394454","
,  
(40.61011182394454, -73.9228393973037)"
"1382144-DCA","Business","2020-08-17T00:00:00.000","Inactive","2011-02-09T00:00:00.000","Sidewalk Cafe","IL RIFUGIO INC.","TARALLUCCI E VINO","475","COLUMBUS AVE",,"NEW YORK","NY","10024","2123625454","Manhattan","1","107","6","1031202","1011960061","MN12","169","Sidewalk Cafe Type: Unenclosed, Square Feet: 195, Tables: 8, Chairs: 16","-73.97369731189198","40.784380716447735","
,  
(40.784380716447735, -73.97369731189198)"
"2074087-1-DCA","Business","2023-11-30T00:00:00.000","Active","2018-06-21T00:00:00.000","Electronic Cigarette Dealer","JASANI, MUNIRA",,"N/W/C","WEST   46 STREET","6 AVENUE","NEW YORK","NY","10036","9173251525","Manhattan","1","105","04",,,,,,"-73.98225540711462","40.75738784087671","
,  
(40.75738784087671, -73.98225540711462)"
"2111464-DCA","Individual","2024-04-30T00:00:00.000","Active","2023-03-08T00:00:00.000","Pedicab Driver","ORIFZODA, SAIDDZHONI",,,,,"NEW YORK","NY","10159",,,,,,,,,,,,,
"2026969-DCA","Business","2017-02-28T00:00:00.000","Inactive","2015-08-12T00:00:00.000","Home Improvement Contractor","ARC. Construction & Contracting Corp.",,"393","EDGECOMBE AVE",,"NEW YORK","NY","10031","7185942188","Manhattan","1","109","09","1061184","1020540053","MN04","23501",,"-73.94042933518563","40.82835528024121","
,  
(40.82835528024121, -73.94042933518563)"
"2015841-DCA","Business","2024-06-30T00:00:00.000","Active","2014-11-24T00:00:00.000","Electronic & Appliance Service","ON POINT MOBILE CORP",,"16916","HILLSIDE AVE",,"JAMAICA","NY","11432","718-658-5213","Queens","4","412","27","4210190","4098250014",,,,"-73.79276836367801","40.7107971274873","
,  
(40.7107971274873, -73.79276836367801)"
"0885795-DCA","Business","2024-09-30T00:00:00.000","Active","2000-09-19T00:00:00.000","Newsstand","PATEL, HANSA M",,"N/W/C","PINE STREET","WILLIAM STREET","NEW YORK","NY","10005","917-592-7944","Manhattan","1","101","01",,,,,,"-74.0090062482607","40.70694026781641","
,  
(40.70694026781641, -74.0090062482607)"
"2030685-2-DCA","Business","2020-12-31T00:00:00.000","Inactive","2015-11-20T00:00:00.000","Tobacco Retail Dealer","RED PLANET INC.",,"30","AVENUE O",,"BROOKLYN","NY","11204","718-236-4531","Brooklyn","3","311","44","3174094","3065960009","BK29","430",,"-73.98416016244268","40.61018878277326","
,  
(40.61018878277326, -73.98416016244268)"
"1333668-DCA","Business","2022-12-31T00:00:00.000","Inactive","2009-09-21T00:00:00.000","Tobacco Retail Dealer","PYUN, KISUN","7-ELEVEN","1440","FOREST AVE",,"STATEN ISLAND","NY","10302","7184201340","Staten Island","5","501","49","5106785","5003930011","SI07","201",,"-74.13657697953764","40.62458752996328","
,  
(40.62458752996328, -74.13657697953764)"
"2107492-DCA","Individual","2024-03-31T00:00:00.000","Active","2022-07-15T00:00:00.000","Sightseeing Guide","HIERS, DRAYTON",,,,,"FLUSHING","NY","11355",,,,,,,,,,,,,
"1237141-DCA","Business","2020-05-27T00:00:00.000","Inactive","2006-08-25T00:00:00.000","Sidewalk Cafe","STARBUCKS CORPORATION","STARBUCKS COFFEE COMPANY","7419","3RD AVE",,"BROOKLYN","NY","11209","2126131280","Brooklyn","3","310","43","3148247","3059290001","BK31","66","Sidewalk Cafe Type: Enclosed, Square Feet: 260, Tables: 2, Chairs: 6","-74.02757564142522","40.63196099847803","
,  
(40.63196099847803, -74.02757564142522)"
"2068682-DCA","Individual","2025-05-31T00:00:00.000","Active","2018-03-30T00:00:00.000","Locksmith","FIGUEROA, JONATHAN",,,,,"BROOKLYN","NY","11206",,,,,,,,,,,,,
"2107654-DCA","Individual","2023-09-30T00:00:00.000","Active","2022-07-21T00:00:00.000","General Vendor","SIEH, CHRISTINA",,,,,"BRONX","NY","10455",,,,,,,,,,"General Vendor Type: General Vendor (White)",,,
"1387237-DCA","Business","2024-06-30T00:00:00.000","Active","2011-04-07T00:00:00.000","Electronic & Appliance Service","GM INTERNET CAFE, INC.",,"231","BRIGHTON BEACH AVE",,"BROOKLYN","NY","11235","718-891-4077","Brooklyn","3","313","48","3244608","3086700041",,,,"-73.9660215747078","40.576632425316525","
,  
(40.576632425316525, -73.9660215747078)"
"1178405-DCA","Business","2023-12-31T00:00:00.000","Active","2004-08-27T00:00:00.000","Tobacco Retail Dealer","OLSEN NEWS CORP.",,,"BROADWAY","WEST   40 STREET","NEW YORK","NY","10018","646-258-4324","Manhattan","1","105","03",,,,,,"-73.98686541972873","40.75431708865135","
,  
(40.75431708865135, -73.98686541972873)"
"0932155-DCA","Business","2025-03-31T00:00:00.000","Active","1997-03-25T00:00:00.000","Garage","301 PARK CORP.",,"301","E 64TH ST",,"NEW YORK","NY","10065","2124730135","Manhattan","1","108","5","1044689","1014390001","MN31","118","Vehicle Spaces: 84, Bicycle Spaces: 8","-73.96170261902068","40.763591451944784","
,  
(40.763591451944784, -73.96170261902068)"
"2031294-DCA","Business","2024-06-30T00:00:00.000","Active","2015-12-11T00:00:00.000","Electronic & Appliance Service","JUAN, CARLOS  FELIZ","JC  CENTER","27A","W 125TH ST",,"NEW YORK","NY","10027","6463186534","Manhattan","1","110","09","1053503","1017230023",,,,"-73.94317585886598","40.80681061648388","
,  
(40.80681061648388, -73.94317585886598)"
"2094469-DCA","Business","2023-02-28T00:00:00.000","Inactive","2020-02-13T00:00:00.000","Home Improvement Contractor","ALB TECH CONTRUCTION INC",,"105","AVENUE P",,"BROOKLYN","NY","11204","3477444365","Brooklyn","3","311","44","3174122","3065960050",,,,"-73.98426522279388","40.60758398675019","
,  
(40.60758398675019, -73.98426522279388)"
"0750593-DCA","Individual","2025-05-31T00:00:00.000","Active","2003-05-23T00:00:00.000","Locksmith","JAKA, ZION",,,,,"NEW YORK","NY","10128",,,,,,,,,,,,,
"2041190-DCA","Individual","2023-07-31T00:00:00.000","Active","2016-07-26T00:00:00.000","Ticket Seller","TOUGNON, KOKOU",,,,,"BRONX","NY","10456",,,,,,,,,,,,,
"2042978-DCA","Individual",,"Inactive","2016-08-26T00:00:00.000","Home Improvement Salesperson","MATUTE, BLANCA",,,,,"EAST ELMHURST","NY","11369",,,,,,,,,,,,,
"2083532-DCA","Business","2024-06-30T00:00:00.000","Active","2019-03-21T00:00:00.000","Electronic & Appliance Service","YAEL A ROSARIO AND MELVIN A GRULLART","TWIN AUTO SOUND PLUS","1292A","WESTCHESTER AVE",,"BRONX","NY","10459","6466259230","Bronx","2","202","17","2097226","2027570093",,,,"-73.88674304216549","40.827318719294674","
,  
(40.827318719294674, -73.88674304216549)"
"2078903-DCA","Business","2024-06-30T00:00:00.000","Active","2018-10-09T00:00:00.000","Electronic & Appliance Service","MOM ELECTRONICES INC",,"9215","GUY R BREWER BLVD",,"JAMAICA","NY","11433","3474761983","Queens","4","412","27","4216196","4101510001",,,,"-73.79671652193313","40.70421122719191","
,  
(40.70421122719191, -73.79671652193313)"
"2052462-DCA","Business","2024-06-30T00:00:00.000","Active","2017-05-04T00:00:00.000","Electronic & Appliance Service","WARRANTY LOGISTICS LLC","Warranty Logistics, LLC","494","GATEWAY DR",,"BROOKLYN","NY","11239","6154453228","Brooklyn","3","305","42","3397155","3044520515",,,,"-73.87682966513736","40.652684611812326","
,  
(40.652684611812326, -73.87682966513736)"
"2010802-DCA","Business","2020-05-25T00:00:00.000","Inactive","2014-07-17T00:00:00.000","Sidewalk Cafe","ASTORIA BRICK, LLC",,"3095","33RD ST","33-01 31ST AVENUE","ASTORIA","NY","11102","7182670142","Queens","4","401","22","4009053","4006250108","QN70","63","Sidewalk Cafe Type: Unenclosed, Square Feet: 892, Tables: 26, Chairs: 60","-73.92149507584305","40.764032186866324","
,  
(40.764032186866324, -73.92149507584305)"
"2107525-DCA","Individual","2023-09-30T00:00:00.000","Active","2022-07-15T00:00:00.000","General Vendor","HUANG, XIAO",,,,,"BROOKLYN","NY","11214",,,,,,,,,,"General Vendor Type: Citywide Specialized Vendor (Yellow)",,,
"1323280-DCA","Business","2020-05-27T00:00:00.000","Inactive","2009-06-25T00:00:00.000","Sidewalk Cafe","SYLVIA WOODS, INC.","SYLVIA'S RESTAURANT","328","LENOX AVE",,"NEW YORK","NY","10027","2129660660","Manhattan","1","110","9","1077374","1017240004","MN03","208","Sidewalk Cafe Type: Unenclosed, Square Feet: 533, Tables: 15, Chairs: 38","-73.94477087182707","40.808735443222886","
,  
(40.808735443222886, -73.94477087182707)"
"2040296-DCA","Individual","2023-07-31T00:00:00.000","Active","2016-07-13T00:00:00.000","Ticket Seller","JABATEH, ABDULLAH",,,,,"BRONX","NY","10452",,,,,,,,,,,,,
"2052350-DCA","Business","2018-12-31T00:00:00.000","Inactive","2017-05-03T00:00:00.000","Electronics Store","SPECTRUM WIRELESS, INC.","T-MOBILE LIMITED","80","W KINGSBRIDGE RD",,"BRONX","NY","10468","3475900800","Bronx","2","207","14","2014677","2032150026","BX30","265",,"-73.90044164590107","40.86812319354234","
,  
(40.86812319354234, -73.90044164590107)"
"2107322-DCA","Business","2024-06-30T00:00:00.000","Active","2022-07-07T00:00:00.000","Electronic & Appliance Service","TOP NOTCH SOUND & SECURITY LLC",,"2514","HOFFMAN ST",,"BRONX","NY","10458","9143098741","Bronx","2","206","15","2094652","2030670048",,,,"-73.88625614034004","40.858498143050895","
,  
(40.858498143050895, -73.88625614034004)"
"2081476-DCA","Business","2024-06-30T00:00:00.000","Active","2019-01-17T00:00:00.000","Electronic & Appliance Service","141 BROADWAY WIRELESS INC",,"3469","BROADWAY",,"NEW YORK","NY","10031",,"Manhattan","1","109","07","1062330","1020880091",,,,"-73.952107268642","40.824177774721214","
,  
(40.824177774721214, -73.952107268642)"
"2107550-DCA","Business","2024-03-31T00:00:00.000","Active","2022-07-18T00:00:00.000","Stoop Line Stand","MARGARITAS MEXICAN DELI CORP.",,"8717","ROOSEVELT AVE",,"JACKSON HEIGHTS","NY","11372",,"Queens","4","403","21","4036272","4014750027",,,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0","-73.87906039716577","40.7481555163397","
,  
(40.7481555163397, -73.87906039716577)"
"1141536-DCA","Business","2006-12-31T00:00:00.000","Inactive","2005-03-02T00:00:00.000","Electronics Store","CYBERXPRESS CORP.",,"120","UNION ST",,"BROOKLYN","NY","11231","7184888818","Brooklyn","3","306","39","3338859","3003420501","BK33","51",,"-74.00255997633951","40.68425508536598","
,  
(40.68425508536598, -74.00255997633951)"
"1039213-DCA","Business","2005-06-30T00:00:00.000","Inactive","2000-09-18T00:00:00.000","Home Improvement Contractor","MARRERO CONSTRUCTION CORP.",,"3712","LYME AVE",,"BROOKLYN","NY","11224","7183822111","Brooklyn","3","313","47","3188591","3070000031","BK21","336",,"-74.00390222456761","40.57751297611882","
,  
(40.57751297611882, -74.00390222456761)"
"1249186-DCA","Business","2008-12-31T00:00:00.000","Inactive","2007-03-01T00:00:00.000","Tobacco Retail Dealer","ALI, SALEM M.","MACON CORNER GROCERY","479","NOSTRAND AVE",,"BROOKLYN","NY","11216","7187839431","Brooklyn","3","303","36","3338725","3018490001","BK75","249",,"-73.94967911066585","40.680969597072355","
,  
(40.680969597072355, -73.94967911066585)"
"1072377-DCA","Business","2024-04-30T00:00:00.000","Inactive","2012-04-20T00:00:00.000","Tow Truck Company","DOLPHIN TRANSMISSIONS INC",,"8501","FLATLANDS AVE",,"BROOKLYN","NY","11236","7182090800","Brooklyn","3","318","46","3224527","3080060007",,,,"-73.90951897350581","40.63795077081008","
,  
(40.63795077081008, -73.90951897350581)"
"1144349-DCA","Business","2023-07-31T00:00:00.000","Inactive","2003-07-11T00:00:00.000","Secondhand Dealer - Auto","PARTS ARE US, INC.","A & G USED AUTO PARTS","1937","FLUSHING AVE",,"RIDGEWOOD","NY","11385","7184973900","Queens","4","405","34","4080421","4033750033",,,,"-73.91703173631379","40.7130562459018","
,  
(40.7130562459018, -73.91703173631379)"
"2107660-DCA","Individual","2023-07-31T00:00:00.000","Active","2022-07-21T00:00:00.000","Ticket Seller","HASSAN, AYINKE",,,,,"FAR ROCKAWAY","NY","11691",,,,,,,,,,,,,
"2107521-DCA","Business","2023-07-31T00:00:00.000","Active","2022-07-15T00:00:00.000","Secondhand Dealer - General","ECOATM LLC","ecoATM","359","E 204TH ST","(inside PLSFinancialServicesCC922)","BRONX","NY","10467","8587667242","Bronx","2","207","11","2018429","2033490046",,,,"-73.87757336531755","40.871932794128256","
,  
(40.871932794128256, -73.87757336531755)"
"2107499-DCA","Individual","2024-10-31T00:00:00.000","Active","2022-07-15T00:00:00.000","Tow Truck Driver","SANOGO, MOUSSA",,,,,"BROOKLYN","NY","11208",,,,,,,,,,,,,
"2078503-DCA","Business","2024-06-30T00:00:00.000","Active","2018-09-25T00:00:00.000","Electronic & Appliance Service","MOBITEL NEW YORK INC",,"175","DYCKMAN ST",,"NEW YORK","NY","10040","9175788401","Manhattan","1","112","10","1064818","1022240053",,,,"-73.92627946650808","40.864009079245974","
,  
(40.864009079245974, -73.92627946650808)"
"2090354-DCA","Business","2024-06-30T00:00:00.000","Active","2019-09-10T00:00:00.000","Electronic & Appliance Service","YUKI WIRELESS INC",,"5314","8TH AVE",,"BROOKLYN","NY","11220","6465209133","Brooklyn","3","307","38","3014443","3008180045",,,,"-74.0056137411089","40.63930098457214","
,  
(40.63930098457214, -74.0056137411089)"
"0853796-DCA","Business","2024-09-30T00:00:00.000","Active","2002-09-18T00:00:00.000","Newsstand","PATEL, DAKSHA",,,"BROADWAY","WEST   31 STREET","NEW YORK","NY","10001","2129999999","Manhattan","1",,"3",,,,,,"-73.98830675798419","40.74753497330908","
,  
(40.74753497330908, -73.98830675798419)"
"2016212-1-DCA","Business","2023-12-31T00:00:00.000","Active","2014-12-05T00:00:00.000","Tobacco Retail Dealer","ASTORIA CENTER INC",,"4402","ASTORIA BLVD",,"ASTORIA","NY","11103","347-668-4569","Queens","4","401","22","4012858","4007170029","QN70","141",,"-73.9069268281986","40.76820158202948","
,  
(40.76820158202948, -73.9069268281986)"
"2095824-1-DCA","Business","2023-11-30T00:00:00.000","Active","2020-06-16T00:00:00.000","Electronic Cigarette Dealer","VAPE MADE EASIER CORP",,"1702","SHEEPSHEAD BAY RD",,"BROOKLYN","NY","11235","7186191099","Brooklyn","3","315","48","3255048","3087700009",,,,"-73.95178861038603","40.585762037412096","
,  
(40.585762037412096, -73.95178861038603)"
"1385514-DCA","Business","2022-12-31T00:00:00.000","Inactive","2011-03-22T00:00:00.000","Tobacco Retail Dealer","PRIMAVERA DELI GROCERY CORP",,"79","E BURNSIDE AVE",,"BRONX","NY","10453","718-329-3180","Bronx","2","205","14","2013956","2031780060","BX41","241",,"-73.90597273624344","40.85330096084688","
,  
(40.85330096084688, -73.90597273624344)"
"2105480-DCA","Individual","2024-03-31T00:00:00.000","Active","2022-04-22T00:00:00.000","Sightseeing Guide","Pruitt, Blake",,,,,"NEW YORK","NY","10038",,,,,,,,,,,,,
"1070856-DCA","Business","2004-12-31T00:00:00.000","Inactive","2001-01-05T00:00:00.000","Tobacco Retail Dealer","DOOKHAN, HAROLD","CAESAR'S GROCERY & DELI","8619","SUTTER AVE",,"OZONE PARK","NY","11417","7183238139","Queens","4","410","32","4190296","4091470036","QN56","54",,"-73.8503934722929","40.675896079942085","
,  
(40.675896079942085, -73.8503934722929)"
"1088471-DCA","Business","2004-03-31T00:00:00.000","Inactive","2001-07-25T00:00:00.000","Stoop Line Stand","ALMARDAHI, NABIL H","NEW WAY SUPERMARKET","2224","AVENUE U",,"BROOKLYN","NY","11229","7183683373","Brooklyn","3","315","48","3199891","3073550010","BK44","576","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0","-73.94914985006353","40.59962213875259","
,  
(40.59962213875259, -73.94914985006353)"
"2018383-DCA","Individual","2024-10-31T00:00:00.000","Active","2015-02-17T00:00:00.000","Tow Truck Driver","WHITLEY, JOSEPH A",,,,,"BRONX","NY","10456",,,,,,,,,,,,,
"2107493-DCA","Business","2023-07-31T00:00:00.000","Active","2022-07-15T00:00:00.000","Secondhand Dealer - General","ECOATM LLC","ecoATM","17908","HILLSIDE AVE","(INSIDE PLS FINANCIAL SERVICES CC948)","JAMAICA","NY","11432","8587667242","Queens","4","412","27","4212309","4099140035",,,,"-73.78411292997198","40.712568066169254","
,  
(40.712568066169254, -73.78411292997198)"
"2054200-DCA","Business","2023-07-31T00:00:00.000","Active","2017-06-08T00:00:00.000","Secondhand Dealer - General","TCC WIRELESS, INC.","T-MOBILE","3021","VETERANS RD W",,"STATEN ISLAND","NY","10309","6304802224","Staten Island","5","503","51","5164867","5075150307",,,,"-74.23644971345792","40.52804138704568","
,  
(40.52804138704568, -74.23644971345792)"
