"latitude","applicant_house_number","applicant_street_name","applicant_address_2","applicant_city","applicant_state","applicant_postcode","applicant_phone","project_name","project_borough","new_construction","doce_amount","credit_year","doce_date","total_units","total_tax_credit_units","application_year","applicant_borough","latitude_1","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Alembic Community Development","11","Hanover Square","Ste. 701","New York","NY","10005","(212)566-8805","Home for Harlem Dowling","Manhattan","New Construction","$   1,060,000","2014","2014-06-30T00:00:00.000","60","58","2014","MANHATTAN","40.705371","-74.008516","1","1","7","1000833","1000280012","Battery Park City-Lower Manhattan"
"L&M Development Partners, Inc.","1865","Palmer Avenue","Suite 203","Larchmont","NY","10538","(212)233-0495","Edgecombe Preservation Portfolio","Manhattan","Rehabilitation","$   904,114","2014","2014-06-27T00:00:00.000","254","250","2014",,,,,,,,,
"Hudson Companies","826","Broadway","11th Floor","New York","NY","10003","(212)710-6023","Gateway Elton Phase III","Brooklyn","New Construction","$   3,967,803","2014","2014-06-27T00:00:00.000","287","285","2014","MANHATTAN","40.733326","-73.991077","2","2","61","1009208","1005640034","West Village"
"Property Resources Corporation","10","Bank Street",,"White Plains","NY","10606","(212)734-9191","2015 Monterey Avenue","Bronx","Rehabilitation","$   1,787,295","2014","2014-06-25T00:00:00.000","330","318","2014",,,,,,,,,
"L&M Development Partners, Inc.","1865","Palmer Avenue","Suite 203","Larchmont","NY","10538","(212)233-0495","Greenpoint Landing - G2 Building","Brooklyn","New Construction","$   1,100,483","2014","2014-06-26T00:00:00.000","93","92","2014",,,,,,,,,
"Workforce Housing Advisors","271","Madison Avenue","Suite 1007","New York","NY","10016","(212)682-2025","WFHA King Boulevard, L.P.","Bronx","Rehabilitation","$   1,265,909","2014","2014-06-27T00:00:00.000","139","118","2014","MANHATTAN","40.75124","-73.980416","6","4","82","1017589","1008690020","Murray Hill-Kips Bay"
"Services for the Underserved, Inc.","305","Seventh Avenue","10th Floor","New York","NY","10011","(212)633-9690","The Henry Apartments","Brooklyn","New Construction","$   2,187,114","2014","2014-09-15T00:00:00.000","134","133","2014","MANHATTAN","40.746817","-73.993655","5","3","95","1015060","1008037502","Midtown-Midtown South"
"L&M Development Partners, Inc.","1865","Palmer Avenue","Suite 203","Larchmont","NY","10538","(212)233-0495","Greenpoint Landing - E3 Building","Brooklyn","New Construction","$   738,923","2014","2014-12-22T00:00:00.000","98","48","2014",,,,,,,,,
"Preservation Development Partners LLC","641","Lexington Avenue","15th Floor","New York","NY","10022","(212)634-6362","North Shore Plaza","Staten Island","Rehabilitation","$   2,448,692","2014","2014-12-12T00:00:00.000","533","533","2014","MANHATTAN","40.75903","-73.970321","6","4","100","1036482","1013090023","Turtle Bay-East Midtown"
"The Arker Companies","1044","Northern Boulevard","2nd Floor","Roslyn","NY","11576","(516)277-9300","Morrisania Preservation Portfolio","Bronx","Rehabilitation","$   4,820,712","2014","2014-12-02T00:00:00.000","655","626","2014",,,,,,,,,
"SKA Marin","98","Cuttermill Road","Suite 342","Great Neck","NY","11021","(516)466-9581","Draper Hall Developers","Manhattan","New Construction","$   3,447,185","2014","2014-12-14T00:00:00.000","202","202","2014",,,,,,,,,
"SEBCO Development Inc.","885","Bruckner Boulevard",,"Bronx","NY","10459","(718)617-2800","Pio Mendez-SEBCO VIP","Bronx","Rehabilitation","$   1,564,574","2014","2014-12-18T00:00:00.000","184","182","2014","BRONX","40.817403","-73.893595","2","17","89","2102966","2027320037","Hunts Point"
"The Arker Companies","1044","Northern Boulevard","2nd Floor","Roslyn","NY","11576","(516)277-9300","Archer Avenue","Queens","New Construction","$   1,129,783","2014","2014-12-16T00:00:00.000","89","88","2014",,,,,,,,,
"Spectrum Development LLC","55","Bruckner Boulevard",,"Bronx","NY","10455","(917)674-8327","Summit Ridge Apartment","Bronx","New Construction","$   661,287","2014","2014-12-12T00:00:00.000","58","57","2014","BRONX","40.806519","-73.926697","1","8","19","2127461","2022967501","Mott Haven-Port Morris"
"Sandra Erickson Real Estate","1394","Clay Avenue","Ste. 1C","Bronx","NY","10456","(718)293-3344","1770 TPT LLC","Bronx","Rehabilitation","$   465,566","2014","2014-12-18T00:00:00.000","100","83","2014","BRONX","40.837051","-73.907965","4","16","17702","2009294","2028870082","East Concourse-Concourse Village"
"ELH Management LLC","16","Court Street","Suite 800","Brooklyn","NY","11241","(718)855-5620","Stanley Commons","Bronx","New Construction","$   3,004,807","2014","2014-12-18T00:00:00.000","240","239","2014","BROOKLYN","40.693445","-73.990577","2","33","9","3002108","3002500044","Brooklyn Heights-Cobble Hill"
"Forest City Ratner Partners","1","MetroTech Center","23rd Floor","Brooklyn","NY","11201","(718)923-8402","535 Carlton Ave at Pacific Park Brooklyn","Brooklyn","New Construction","$   1,525,321","2014","2014-12-11T00:00:00.000","298","90","2014","BROOKLYN","40.693463","-73.987227","2","33","11","3319418","3001470004","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Douglaston Development","42-09","235th Street",,"Douglaston","NY","11363","(212)400-9292","Crossroads I aka Crossroads IIIB","Bronx","New Construction","$   530,402","2014","2014-12-12T00:00:00.000","163","140","2014","QUEENS","40.768182","-73.74851","11","19","1479","4440077","4081000033","Douglas Manor-Douglaston-Little Neck"
"L&M Development Partners, Inc.","1865","Palmer Avenue","Suite 203","Larchmont","NY","10538","(212)233-0495","Triborough Preservation","Manhattan","Rehabilitation","$   12,631,390","2014","2014-12-19T00:00:00.000","876","871","2014",,,,,,,,,
"Blue Sea Development Company LLC","164","Main Street",,"Huntington","NY","11743","(631)923-0000","Prospect Plaza South","Brooklyn","New Construction","$   2,738,347","2014","2014-12-19T00:00:00.000","148","149","2014",,,,,,,,,
"Common Ground","505","Eighth Avenue","5th floor","New York","NY","10018","(212)389-9327","Park House","Bronx","New Construction","$   3,054,602","2014","2014-12-30T00:00:00.000","248","247","2014","MANHATTAN","40.753047","-73.99285","4","3","111","1013575","1007590037","Hudson Yards-Chelsea-Flatiron-Union Square"
"Trinity Financial Inc.","1350","Broadway","Suite 2203","New York","NY","10018","(212)267-8400","3160 Park Ave","Bronx","New Construction","$   1,501,595","2014","2014-12-30T00:00:00.000","95","94","2014","MANHATTAN","40.751306","-73.987656","5","4","109","1080606","1008110031","Midtown-Midtown South"
"L& M Development Partners Inc.","1865","Palmer Avenue","Suite 230","Larchmont","NY","10538","914-833-3000","Greenpoint Landing - F2 Building","Brooklyn","New Construction","$   1,400,537","2015","2015-04-30T00:00:00.000","103","102","2015",,,,,,,,,
"Omni New York LLC","885","Second Avenue","31st Floor","New York","NY","10017","646-502-7200","Hunts Point Peninsula Apartments","Bronx","Rehabilitation","$   943,318","2015","2015-06-18T00:00:00.000","165","157","2015","MANHATTAN","40.753194","-73.969757","6","4","90","1037988","1013210022","Turtle Bay-East Midtown"
"3475 Third Avenue Associates LLC","3251","Third Avenue","2nd Floor","Bronx","NY","10456","718-993-2280","La Casa Del Mondo","Bronx","New Construction","$   1,250,000","2015","2015-06-24T00:00:00.000","102","101","2015","BRONX","40.824152","-73.908684","3","17","185","2001229","2023680043","Morrisania-Melrose"
"West Farms Apartments LLC","1922","Boston Road","2nd Floor","Bronx","NY","10460","201-953-6400","West Farms Longfellow Apartments","Bronx","New Construction","$   2,112,313","2015","2015-06-17T00:00:00.000","181","154","2015","BRONX","40.839805","-73.881239","6","17","359","2010970","2030160042","East Tremont"
"2030 Creston Avenue LLC","2432","Grand Concourse","4th Fl","Bronx","NY","10458","718-733-6300","Creston Burnside Apartments","Bronx","New Construction","$   1,322,809","2015","2015-06-23T00:00:00.000","114","96","2015","BRONX","40.860634","-73.898114","5","15","23702","2013591","2031520060","Bedford Park-Fordham North"
"Mastermind Development LLC","668","Crescent Ave",,"Bronx","NY","10458","718-933-1353","Tremont Renaissance","Bronx","New Construction","$   1,951,450","2015","2015-12-16T00:00:00.000","256","129","2015","BRONX","40.854213","-73.885725","6","15","391","2012487","2030880022","Belmont"
"Phipps Houses","902","Broadway","13th Floor","New York","NY","10010","646-388-8216","Elton Crossing","Bronx","New Construction","$   1,986,655","2015","2015-06-29T00:00:00.000","199","151","2015","MANHATTAN","40.739279","-73.989726","5","2","52","1016201","1008490016","Hudson Yards-Chelsea-Flatiron-Union Square"
"Property Resources Corporation","10","Bank Street",,"White Plains","NY","10606","212-734-9191","PRC Andrews Avenue","Bronx","Rehabilitation","$   1,369,794","2015","2015-06-19T00:00:00.000","248","234","2015",,,,,,,,,
"Bowery Residences' Committee, Inc","131","West 25th Street",,"New York","NY","10001","212-803-5702","Landing Road Residence","Bronx","New Construction","$   1,535,944","2015","2015-06-29T00:00:00.000","136","135","2015","MANHATTAN","40.744629","-73.992898","4","3","91","1015006","1008017503","Hudson Yards-Chelsea-Flatiron-Union Square"
"Atlantic Yards Venture, LLC","1","MetroTech North","23rd Floor","Brooklyn","NY","11201","718-923-4805","38 Sixth Ave at Pacific Park Brooklyn","Brooklyn","New Construction","$   1,783,161","2015","2015-06-17T00:00:00.000","91","91","2015","BROOKLYN","40.693463","-73.987227","2","33","11","3319418","3001470004","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Urban Builders Collaborative LLC","334-336","East 110th Street",,"New York","NY","10029","212-996-6640","East 138th Street Bronx","Bronx","New Construction","$   1,224,243","2015","2015-06-25T00:00:00.000","96","76","2015","MANHATTAN","40.792786","-73.939638","11","8","180","1052844","1016810036","East Harlem North"
"L& M Development Partners Inc.","1865","Palmer Avenue","Suite 230","Larchmont","NY","10538","914-833-3000","IMPACCT Preservation","Brooklyn","Rehabilitation","$   2,136,862","2015","2015-06-25T00:00:00.000","492","482","2015",,,,,,,,,
"The Arker Companies","15","Verbena Avenue","Suite 100","Floral Park","NY","11001","516-277-9359","Beach Channel Senior Residences","Queens","New Construction","$   2,611,243","2015","2015-06-22T00:00:00.000","154","153","2015",,,,,,,,,
"Genesis Year 15 Owners LLC","594","Broadway","Suite 1107","New York","NY","10012","212-433-1336","Genesis Year 15 Apartments","Manhattan","Rehabilitation","$   2,164,781","2015","2015-06-24T00:00:00.000","357","335","2015","MANHATTAN","40.72496","-73.997157","2","1","43","1007944","1005110012","SoHo-TriBeCa-Civic Center-Little Italy"
"Joy Construction Corp","40","Fulton Street","Fl 21","New York","NY","10038","212-766-9651","Crotona Terrace Building B","Bronx","New Construction","$   1,278,507","2015","2015-06-17T00:00:00.000","100","99","2015","MANHATTAN","40.707904","-74.004411","1","1","1502","1075618","1000750021","Battery Park City-Lower Manhattan"
"MBD Community Housing Corp","1762","Boston Road",,"Bronx","NY","10460","347-226-2481","Rose Ellen Smith MBD L.P.","Bronx","New Construction","$   449,852","2015","2015-06-22T00:00:00.000","47","45","2015","BRONX","40.837777","-73.887079","3","17","161","2010683","2029910003","Crotona Park East"
"The D & F Development Group, LLC","100","Schoolhouse Road",,"Levittown","NY","11756","516-437-0900","The Pavilion at Locust Manor","Queens","New Construction","$   789,594","2015","2015-06-18T00:00:00.000","85","67","2015",,,,,,,,,
"CAMBA Housing Ventures, Inc","1720","Church Avenue",,"Brooklyn","NY","11226","718-287-2600","Affordable and Supportive Family Housing at Van Dyke","Brooklyn","New Construction","$   2,067,143","2015","2015-06-19T00:00:00.000","101","100","2015","BROOKLYN","40.649339","-73.963307","14","40","512","3341487","3050970085","Flatbush"
"Women In Need, Inc.","115","West 31st Street","7th Floor","New York","NY","10001","212-695-4758","The Glenmore","Brooklyn","New Construction","$   2,920,729","2015","2015-06-16T00:00:00.000","161","160","2015","MANHATTAN","40.748205","-73.989869","5","3","101","1080603","1008070050","Midtown-Midtown South"
"L& M Development Partners Inc.","1865","Palmer Avenue","Suite 230","Larchmont","NY","10538","914-833-3000","Essex Crossing-Site 2","Manhattan","New Construction","$   1,197,848","2015","2015-06-30T00:00:00.000","195","53","2015",,,,,,,,,
"L& M Development Partners Inc.","1865","Palmer Avenue","Suite 230","Larchmont","NY","10538","914-833-3000","Essex Crossing-Site 5","Manhattan","New Construction","$   1,006,686","2015","2015-06-30T00:00:00.000","211","59","2015",,,,,,,,,
"BGN Developer, LLC","90-11","161st Street","Suite 100","Jamaica","NY","11432","347-572-6324","Beach Green North","Queens","New Construction","$   631,684","2015","2015-06-23T00:00:00.000","101","50","2015","QUEENS","40.705204","-73.799256","12","24","44601",,,"Jamaica"
"Monadnock Development LLC","155","3rd Street",,"Brooklyn","NY","11231","718-875-8160","Compass Residences Building 2B","Bronx","New Construction","$   2,208,871","2015","2015-06-29T00:00:00.000","164","163","2015","BROOKLYN","40.676465","-73.990861","6","39","77","3255167","3004620014","Carroll Gardens-Columbia Street-Red Hook"
"Monadnock Development LLC","155","3rd Street",,"Brooklyn","NY","11231","718-875-8160","Compass Residences Building 2A","Bronx","New Construction","$   891,475","2015","2015-06-29T00:00:00.000","128","64","2015","BROOKLYN","40.676465","-73.990861","6","39","77","3255167","3004620014","Carroll Gardens-Columbia Street-Red Hook"
"Mutual Housing Association of New York, Inc.","1","MetroTech North","11th Floor","Brooklyn","NY","11201","718-246-8080","MHANY 75","Brooklyn","Rehabilitation","$   2,165,124","2015","2015-10-26T00:00:00.000","255","230","2015","BROOKLYN","40.693463","-73.987227","2","33","11","3319418","3001470004","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"The Doe Fund, Inc.","345","East 102nd Street",,"New York","NY","10029","646-672-4456","Rogers Avenue","Brooklyn","New Construction","$   1,966,139","2015","2015-12-17T00:00:00.000","123","122","2015","MANHATTAN","40.787394","-73.942709","11","8","164","1086440","1016747501","East Harlem South"
"Fordham Bedford Housing Corporation","2751","Grand Concourse",,"Bronx","NY","10468","718-367-3200","Serviam Heights","Bronx","Rehabilitation","$   3,415,131","2015","2015-12-23T00:00:00.000","197","195","2015","BRONX","40.868185","-73.89278","7","14","40303","2017431","2033150001","Van Cortlandt Village"
"Douglaston Development","42-09","235th Street",,"Douglaston","NY","11363","212-991-4548","2605 Grand Concourse","Bronx","New Construction","$   308,520","2015","2015-12-16T00:00:00.000","94","24","2015","QUEENS","40.768182","-73.74851","11","19","1479","4440077","4081000033","Douglas Manor-Douglaston-Little Neck"
"Monadnock Development LLC","155","3rd Street",,"Brooklyn","NY","11231","718-875-8160","530 Exterior Street","Bronx","New Construction","$   2,234,129","2015","2015-12-28T00:00:00.000","157","156","2015","BROOKLYN","40.676465","-73.990861","6","39","77","3255167","3004620014","Carroll Gardens-Columbia Street-Red Hook"
"Metropolitan Jewish Health System Inc.","2164","78th Street",,"Brooklyn","NY","11214","718-921-7964","Bensonhurst Housing for the Elderly","Brooklyn","Rehabilitation","$   549,278","2015","2015-05-14T00:00:00.000","71","70","2015","BROOKLYN","40.606976","-73.990013","11","44","270","3331517","3062640029","Bensonhurst West"
"Peoples Firehouse Inc / St Nicks Alliance","113","Berry Street",,"Brooklyn","NY","11211","718-388-4696","Jarka Hall L.P.","Brooklyn","Rehabilitation","$   604,431","2016","2016-03-21T00:00:00.000","64","63","2016","BROOKLYN","40.718906","-73.958705","1","33","553","3335673","3023190005","North Side-South Side"
"Promesa HDFC","300","East 175th Street",,"Bronx","NY","10457","347-649-3134","Acacia Gardens","Manhattan","New Construction","$   2,447,653","2016","2016-03-30T00:00:00.000","179","160","2016","BRONX","40.84663","-73.904558","5","15","231","2112731","2028910039","Mount Hope"
"MDG Design & Procida","456","E. 173rd Street",,"Bronx","NY","10457","718-299-7000","Williamsburg Bridgeview Apartments","Brooklyn","New Construction","$   914,959","2016","2016-06-24T00:00:00.000","55","54","2016","BRONX","40.841806","-73.901775","3","16","167","2009492","2029050024","Claremont-Bathgate"
"The Arker Companies","15","Verbena Avenue","Suite 100","Floral Park","NY","11001","516-277-9359","Elbee Gardens","Brooklyn","New Construction","$   1,168,769","2016","2016-03-22T00:00:00.000","178","160","2016",,,,,,,,,
