"object_id","orgname","appronstre","boroughname","apprfromst","apprtostre","apprdayswe","reviewstat","apprmonope","apprmonclo","apprtueope","apprtueclo","apprwedope","apprwedclo","apprthuope","apprthuclo","apprfriope","apprfriclo","apprsatope","apprsatclo","apprsunope","apprsunclo","sunday_end","apprenddat","shape_stle","the_geom","segmentidt","segmentidf","lionversion"
"12","Merchants Of third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","83 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-28T00:00:00.000",,"2023-08-04T00:00:00.000","265.235069463","MULTILINESTRING ((975079.6643261313 164665.68581038713, 975001.6953219771 164412.16958513856))","0016905","0016905",
"13","Merchants Of third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","83 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-28T00:00:00.000",,"2023-08-04T00:00:00.000","192.933591092","MULTILINESTRING ((975157.475850299 164914.15677013993, 975100.0514244735 164729.9671778977))","0016908","0016908",
"14","Merchants Of third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","83 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-28T00:00:00.000",,"2023-08-04T00:00:00.000","97.7896886546","MULTILINESTRING ((975186.7244794667 165007.4699037224, 975157.475850299 164914.15677013993))","0016918","0016918",
"15","Merchants Of third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","83 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-28T00:00:00.000",,"2023-08-04T00:00:00.000","161.976592477","MULTILINESTRING ((975234.6607353091 165162.19072289765, 975186.7244794667 165007.4699037224))","0016920","0016920",
"16","Merchants Of third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","83 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-28T00:00:00.000",,"2023-08-04T00:00:00.000","136.642581776","MULTILINESTRING ((975275.500548631 165292.58744372427, 975234.6607353091 165162.19072289765))","0016922","0016922",
"17","Merchants Of third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","83 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-28T00:00:00.000",,"2023-08-04T00:00:00.000","124.175725143","MULTILINESTRING ((975312.2327586412 165411.20597289503, 975275.500548631 165292.58744372427))","0016923","0016923",
"18","Merchants Of third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","83 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-28T00:00:00.000",,"2023-08-04T00:00:00.000","134.840687397","MULTILINESTRING ((975352.6165361404 165539.85729038715, 975312.2327586412 165411.20597289503))","0016924","0016924",
"19","Merchants Of third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","83 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-28T00:00:00.000",,"2023-08-04T00:00:00.000","124.460951136","MULTILINESTRING ((975389.3487461358 165658.774375394, 975352.6165361404 165539.85729038715))","0016926","0016926",
"20","Merchants Of third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","83 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-28T00:00:00.000",,"2023-08-04T00:00:00.000","260.043030901","MULTILINESTRING ((975466.8321869671 165907.00550623238, 975389.3487461358 165658.774375394))","0016928","0016928",
"21","Merchants Of third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","83 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-28T00:00:00.000",,"2023-08-04T00:00:00.000","259.662976369","MULTILINESTRING ((975544.4271761328 166154.8035670668, 975466.8321869671 165907.00550623238))","0016931","0016931",
"22","Merchants Of third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","83 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-28T00:00:00.000",,"2023-08-04T00:00:00.000","280.141969981","MULTILINESTRING ((975627.7931511402 166422.25381955504, 975544.4271761328 166154.8035670668))","0016933","0016933",
"23","Merchants Of third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","83 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-28T00:00:00.000",,"2023-08-04T00:00:00.000","330.082093011","MULTILINESTRING ((975725.6636902988 166737.4926903993, 975627.7931511402 166422.25381955504))","0016935","0016935",
"24","Merchants Of third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","83 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-28T00:00:00.000",,"2023-08-04T00:00:00.000","260.272018748","MULTILINESTRING ((975803.6097286344 166985.81896539032, 975725.6636902988 166737.4926903993))","0016937","0016937",
"25","Merchants Of third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","83 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-28T00:00:00.000",,"2023-08-04T00:00:00.000","259.820076011","MULTILINESTRING ((975880.817579478 167233.90245872736, 975803.6097286344 166985.81896539032))","0016947","0016947",
"26","Merchants of Third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","68 STREET","83 STREET","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-21T00:00:00.000",,"2023-08-04T00:00:00.000","260.384731838","MULTILINESTRING ((975958.1861911416 167482.52728955448, 975880.817579478 167233.90245872736))","0016949","0016949",
"27","Merchants of Third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","68 STREET","83 STREET","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-21T00:00:00.000",,"2023-08-04T00:00:00.000","278.579974214","MULTILINESTRING ((976041.0501986444 167748.49788622558, 975958.1861911416 167482.52728955448))","0017086","0017086",
"28","Merchants of Third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","68 STREET","83 STREET","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-21T00:00:00.000",,"2023-08-04T00:00:00.000","278.323134419","MULTILINESTRING ((976123.9142061323 168014.19945456088, 976041.0501986444 167748.49788622558))","0017094","0017094",
"29","Merchants of Third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","68 STREET","83 STREET","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-21T00:00:00.000",,"2023-08-04T00:00:00.000","278.999934748","MULTILINESTRING ((976206.9685019702 168280.55062788725, 976123.9142061323 168014.19945456088))","0017096","0017096",
"30","Merchants of Third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","68 STREET","83 STREET","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-21T00:00:00.000",,"2023-08-04T00:00:00.000","278.593040312","MULTILINESTRING ((976289.7078378052 168546.57371789217, 976206.9685019702 168280.55062788725))","0017098","0017098",
"31","Merchants of Third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","68 STREET","83 STREET","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-21T00:00:00.000",,"2023-08-04T00:00:00.000","277.969649694","MULTILINESTRING ((976372.499666974 168811.92751789093, 976289.7078378052 168546.57371789217))","0017100","0017100",
"32","Merchants of Third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","68 STREET","83 STREET","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-21T00:00:00.000",,"2023-08-04T00:00:00.000","279.168986505","MULTILINESTRING ((976455.816429466 169078.37383539975, 976372.499666974 168811.92751789093))","0017104","0017104",
"33","Merchants of Third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","68 STREET","83 STREET","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-21T00:00:00.000",,"2023-08-04T00:00:00.000","270.566439606","MULTILINESTRING ((976536.1705994755 169336.73289872706, 976455.816429466 169078.37383539975))","0017106","0017106",
"34","Merchants of Third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","68 STREET","83 STREET","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-21T00:00:00.000",,"2023-08-04T00:00:00.000","263.864648177","MULTILINESTRING ((976615.0123053044 169588.54341872036, 976536.1705994755 169336.73289872706))","0017108","0017108",
"35","Merchants of Third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","68 STREET","83 STREET","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-21T00:00:00.000",,"2023-08-04T00:00:00.000","259.962313158","MULTILINESTRING ((976692.1611011326 169836.79423455894, 976615.0123053044 169588.54341872036))","0017110","0017110",
"36","Merchants of Third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","68 STREET","83 STREET","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-21T00:00:00.000",,"2023-08-04T00:00:00.000","259.498730733","MULTILINESTRING ((976769.6150144637 170084.46434289217, 976692.1611011326 169836.79423455894))","0017549","0017549",
"37","Merchants of Third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","68 STREET","83 STREET","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-21T00:00:00.000",,"2023-08-04T00:00:00.000","259.383531413","MULTILINESTRING ((976844.952790305 170332.6659462303, 976769.6150144637 170084.46434289217))","0017551","0017551",
"38","Merchants of Third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","68 STREET","83 STREET","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-21T00:00:00.000",,"2023-08-04T00:00:00.000","257.420884564","MULTILINESTRING ((976928.3348413855 170576.20843814313, 976844.952790305 170332.6659462303))","0017552","0017552",
"39","Merchants of Third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","68 STREET","83 STREET","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-21T00:00:00.000",,"2023-08-04T00:00:00.000","332.585698424","MULTILINESTRING ((977022.7575528026 170895.10904705524, 976928.3348413855 170576.20843814313))","0017629","0017629",
"40","Merchants of Third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","68 STREET","83 STREET","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-21T00:00:00.000",,"2023-08-04T00:00:00.000","276.166590478","MULTILINESTRING ((977104.4568644762 171158.91429372132, 977022.7575528026 170895.10904705524))","0017640","0017640",
"41","Hometown Bar B Que","REED STREET","Brooklyn","VAN BRUNT STREET","CONOVER STREET","tue,wed,thu,fri,sat,sun","approvedFull",,,"12:00","22:00","12:00","22:00","12:00","22:00","12:00","23:00","12:00","23:00","12:00","2022-12-08T00:00:00.000","22:00","2023-12-06T00:00:00.000","454.115102858","MULTILINESTRING ((979801.7480577976 185080.70994089544, 979461.5220322162 185381.48689839244))","0017991","0017991",
"42","Alliance for Coney Island","WEST 12 STREET","Brooklyn","SURF AVENUE","DEAD END","sat","approvedFull",,,,,,,,,,,"12:00","18:00",,"2023-06-17T00:00:00.000",,"2023-09-09T00:00:00.000","279.146182738","MULTILINESTRING ((989906.3928747177 148960.65225988626, 989905.0900558084 148681.5091173947))","0018473","0018473",
"43","Hebrew Language Academy 2","82 STREET","Brooklyn","STILLWELL AVENUE","24 AVENUE","mon,tue,wed,thu,fri","approvedFullSchools","08:30","15:30","08:30","15:30","08:30","15:30","08:30","15:30","08:30","15:30",,,,"2023-09-05T00:00:00.000",,"2024-06-28T00:00:00.000","340.382923174","MULTILINESTRING ((987853.0931755602 158431.62708431482, 988121.1241355538 158221.81779263914))","0019065","0019065",
"44","Bobobover Yeshiva Bnei Zion","48 STREET","Brooklyn","15 AVENUE","16 AVENUE","mon,tue,wed,thu","approvedFullSchools","13:30","16:45","13:30","16:45","13:30","16:45","13:30","16:45",,,,,,"2023-07-03T00:00:00.000",,"2023-08-30T00:00:00.000","780.342149422","MULTILINESTRING ((987821.692319721 169869.0120178908, 988433.4758730531 169384.60025705397))","0020327","0020327",
"45","PS 169 Sunset Park School","43 STREET","Brooklyn","7 AVENUE","8 AVENUE","mon,thu,fri","approvedFullSchools","09:30","14:00",,,,,"09:30","14:00","09:30","14:00",,,,"2023-04-17T00:00:00.000",,"2025-06-30T00:00:00.000","778.422874359","MULTILINESTRING ((983740.5131461322 174766.47367964685, 984350.219931975 174282.53173413873))","0020973","0020973",
"46","PS 230","ALBEMARLE ROAD","Brooklyn","MCDONALD AVENUE","DAHILL ROAD","mon,tue,wed,thu,fri","approvedFullSchools","08:00","15:00","08:00","15:00","08:00","15:00","08:00","15:00","08:00","15:00",,,,"2023-09-05T00:00:00.000",,"2024-06-28T00:00:00.000","290.29187904","MULTILINESTRING ((989546.2328338921 174264.3506681472, 989833.2860655487 174307.59205147624))","0021487","0021487",
"47","Red Hook Initiative","WEST 9 STREET","Brooklyn","HENRY STREET","HICKS STREET","mon,tue,wed,thu,fri,sat,sun","approvedFull","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","2023-01-01T00:00:00.000","20:00","2023-12-31T00:00:00.000","463.967848632","MULTILINESTRING ((982928.5623422265 185819.9899583906, 983364.1487413943 185660.20681339502))","0021720","0021720",
"48","Living Traditions Inc.","COLUMBIA STREET","Brooklyn","WOODHULL STREET","HAMILTON AVENUE","sat","approvedFull",,,,,,,,,,,"11:00","22:00",,"2023-06-03T00:00:00.000",,"2023-07-15T00:00:00.000","216.27400544","MULTILINESTRING ((983057.0036863834 187640.88526672125, 982982.7551472187 187437.755751729))","0021936","0021936",
"49","Mary McDowell Friends School","SUMMIT STREET","Brooklyn","HENRY STREET","HICKS STREET","mon,tue,wed,thu,fri","approvedFullSchools","12:30","14:30","12:30","14:30","12:30","14:30","12:30","14:30","12:30","14:30",,,,"2023-01-31T00:00:00.000",,"2024-06-30T00:00:00.000","459.637057391","MULTILINESTRING ((983625.3326022178 187708.5130842328, 984057.4708455503 187551.91562838852))","0021961","0021961",
"50","Park Slope Fifth Avenue Business Improvement District","5 AVENUE","Brooklyn","6 STREET","8 STREET","sat","approvedFull",,,,,,,,,,,"17:00","22:00",,"2023-05-06T00:00:00.000",,"2023-10-28T00:00:00.000","259.909320987","MULTILINESTRING ((988329.4439288825 183516.14974981546, 988190.4514247179 183296.52748563886))","0022751","0022751",
"51","Park Slope Fifth Avenue Business Improvement District","5 AVENUE","Brooklyn","6 STREET","8 STREET","sat","approvedFull",,,,,,,,,,,"17:00","22:00",,"2023-05-06T00:00:00.000",,"2023-10-28T00:00:00.000","260.76082456","MULTILINESTRING ((988469.3124155551 183736.22476898134, 988329.4439288825 183516.14974981546))","0022753","0022753",
"52","Park Slope Fifth Avenue BID","4 STREET","Brooklyn","DEAD END","5 AVENUE","mon,tue,wed,thu,fri,sat,sun","approvedFull","08:00","22:00","08:00","22:00","08:00","22:00","08:00","22:00","08:00","22:00","08:00","22:00","08:00","2023-01-25T00:00:00.000","22:00","2023-12-31T00:00:00.000","413.915290676","MULTILINESTRING ((988394.6078405529 184391.05252756178, 988747.6419113874 184174.96732981503))","0022763","0022763",
"53","Park Slope Fifth Avenue Business Improvement District","5 AVENUE","Brooklyn","PRESIDENT STREET","5 STREET","sat","approvedFull",,,,,,,,,,,"10:00","23:00",,"2023-05-06T00:00:00.000",,"2023-10-28T00:00:00.000","259.921761833","MULTILINESTRING ((988747.6419113874 184174.96732981503, 988608.3213238865 183955.538306728))","0022764","0022764",
"54","Park Slope Fifth Avenue Business Improvement District","5 AVENUE","Brooklyn","PRESIDENT STREET","5 STREET","sat","approvedFull",,,,,,,,,,,"10:00","23:00",,"2023-05-06T00:00:00.000",,"2023-10-28T00:00:00.000","260.308346001","MULTILINESTRING ((988887.4775897264 184394.52693006396, 988747.6419113874 184174.96732981503))","0022766","0022766",
"55","Park Slope Fifth Avenue Business Improvement District","5 AVENUE","Brooklyn","PRESIDENT STREET","5 STREET","sat","approvedFull",,,,,,,,,,,"10:00","23:00",,"2023-05-06T00:00:00.000",,"2023-10-28T00:00:00.000","259.904573072","MULTILINESTRING ((989026.3782305568 184614.20168755949, 988887.4775897264 184394.52693006396))","0022875","0022875",
"56","Park Slope Fifth Avenue Business Improvement District","5 AVENUE","Brooklyn","PRESIDENT STREET","5 STREET","sat","approvedFull",,,,,,,,,,,"10:00","23:00",,"2023-05-06T00:00:00.000",,"2023-10-28T00:00:00.000","259.939432487","MULTILINESTRING ((989166.2007855475 184833.33215481043, 989026.3782305568 184614.20168755949))","0022877","0022877",
"57","Park Slope Fifth Avenue Business Improvement District","5 AVENUE","Brooklyn","PRESIDENT STREET","5 STREET","sat","approvedFull",,,,,,,,,,,"10:00","23:00",,"2023-05-06T00:00:00.000",,"2023-10-28T00:00:00.000","259.720732823","MULTILINESTRING ((989305.4160583019 185052.58991838992, 989166.2007855475 184833.33215481043))","0022885","0022885",
"58","Park Slope Fifth Avenue Business Improvement District","5 AVENUE","Brooklyn","PRESIDENT STREET","5 STREET","sat","approvedFull",,,,,,,,,,,"10:00","23:00",,"2023-05-06T00:00:00.000",,"2023-10-28T00:00:00.000","233.971093977","MULTILINESTRING ((989429.8321480602 185250.73912839592, 989305.4160583019 185052.58991838992))","0022887","0022887",
"59","Park Slope Fifth Avenue Business Improvement District","5 AVENUE","Brooklyn","PRESIDENT STREET","5 STREET","sat","approvedFull",,,,,,,,,,,"10:00","23:00",,"2023-05-06T00:00:00.000",,"2023-10-28T00:00:00.000","260.449861205","MULTILINESTRING ((989551.0326930583 185481.27016338706, 989429.8321480602 185250.73912839592))","0022889","0022889",
"60","Park Slope Fifth Avenue BID","5 AVENUE","Brooklyn","STERLING PLACE","UNION STREET","sat","approvedFull",,,,,,,,,,,"11:00","22:00",,"2023-05-06T00:00:00.000",,"2023-10-28T00:00:00.000","260.568001114","MULTILINESTRING ((989788.7389105558 185944.22560231388, 989669.9760247171 185712.296604231))","0022893","0022893",
"61","Park Slope Fifth Avenue BID","5 AVENUE","Brooklyn","STERLING PLACE","UNION STREET","sat","approvedFull",,,,,,,,,,,"11:00","22:00",,"2023-05-06T00:00:00.000",,"2023-10-28T00:00:00.000","259.473950473","MULTILINESTRING ((989908.9584863931 186174.16904005408, 989788.7389105558 185944.22560231388))","0022901","0022901",
"62","Stone Street Community Association","STONE STREET","Manhattan","HANOVER SQUARE","COENTIES ALLEY","mon,tue,wed,thu,fri,sat,sun","approvedFull","10:00","23:00","10:00","23:00","10:00","23:00","10:00","23:00","10:00","23:00","10:00","23:00","10:00","2023-03-15T00:00:00.000","23:00","2023-12-31T00:00:00.000","231.939683168","MULTILINESTRING ((981281.5121586323 195814.1035003066, 981296.0954627991 195821.9647050649, 981310.4274551421 195830.27505590022, 981324.4943561405 195839.02667881548, 981338.2827143818 195848.21104364097, 981351.7790784687 195857.819292143, 981364.9703250527 195867.84223797917, 981377.8439869732 195878.27003864944, 981390.3872689754 195889.0928516388, 981402.5886881351 195900.29985022545, 981414.4357773066 195911.88086381555, 981425.9173816442 195923.8240813911, 981437.0223463029 195936.11834813654, 981447.7401726395 195948.75152496994, 981458.0603619665 195961.71147280931))","0023140","0023140",
"63","Stone Street Community Association","STONE STREET","Manhattan","HANOVER SQUARE","COENTIES ALLEY","mon,tue,wed,thu,fri,sat,sun","approvedFull","10:00","23:00","10:00","23:00","10:00","23:00","10:00","23:00","10:00","23:00","10:00","23:00","10:00","2023-03-15T00:00:00.000","23:00","2023-12-31T00:00:00.000","122.538611454","MULTILINESTRING ((981458.0603619665 195961.71147280931, 981547.7055238932 196045.25461280346))","0023141","0023141",
"64","Peck Slip School","PECK SLIP","Manhattan","WATER STREET","PEARL STREET","mon,tue,wed,thu,fri","approvedFullSchools","07:30","16:00","07:30","16:00","07:30","16:00","07:30","16:00","07:30","16:00",,,,"2023-01-31T00:00:00.000",,"2024-06-30T00:00:00.000","267.377222317","MULTILINESTRING ((983556.1857588887 197528.0764503032, 983723.3750570565 197319.41807498038))","0023483","0023483",
"65","Willowtown Assocation","JORALEMON STREET","Brooklyn","FURMAN STREET","HICKS STREET","mon,tue,wed,thu,fri,sat,sun","approvedLimited","08:30","21:00","08:00","21:00","08:00","21:00","08:00","21:00","08:00","21:00","08:00","21:00","08:00","2023-04-17T00:00:00.000","21:00","2023-10-30T00:00:00.000","254.144307156","MULTILINESTRING ((984913.1088980585 191973.7502886504, 985160.3951488882 191915.10867364705))","0023659","0023659",
"66","Willowtown Assocation","JORALEMON STREET","Brooklyn","FURMAN STREET","HICKS STREET","mon,tue,wed,thu,fri,sat,sun","approvedLimited","08:30","21:00","08:00","21:00","08:00","21:00","08:00","21:00","08:00","21:00","08:00","21:00","08:00","2023-04-17T00:00:00.000","21:00","2023-10-30T00:00:00.000","200.370233374","MULTILINESTRING ((984718.0403905511 192019.5379267335, 984913.1088980585 191973.7502886504))","0023676","0023676",
"67","MONTAGUE ST BUSINESS IMPROVEMENT DISTRICT","MONTAGUE STREET","Brooklyn","CLINTON STREET","PIERREPONT PLACE","sat","approvedFull",,,,,,,,,,,"11:30","18:30",,"2023-06-03T00:00:00.000",,"2023-10-28T00:00:00.000","451.029708561","MULTILINESTRING ((984975.6054922193 192718.32589922845, 985399.44650805 192564.09687697887))","0023685","0023685",
"68","Chinatown BID","PELL STREET","Manhattan","MOTT STREET","BOWERY","sat,sun","approvedFull",,,,,,,,,,,"09:00","23:59","09:00","2023-04-01T00:00:00.000","21:00","2023-12-31T00:00:00.000","238.629383081","MULTILINESTRING ((984794.6511297226 199706.37918031216, 984564.2021155506 199768.32459448278))","0023787","0023787",
"69","Mary McDowell Friends School","AITKEN PLACE","Brooklyn","CLINTON STREET","SIDNEY PLACE","mon,tue,wed,thu,fri","approvedFullSchools","11:00","15:00","11:00","15:00","11:00","15:00","11:00","15:00","11:00","15:00",,,,"2023-03-01T00:00:00.000",,"2024-06-30T00:00:00.000","302.27415722","MULTILINESTRING ((985785.2790697217 191548.98768672347, 986069.8421488851 191447.03907172382))","0023828","0023828",
"70","MONTAGUE ST BUSINESS IMPROVEMENT DISTRICT","MONTAGUE STREET","Brooklyn","CLINTON STREET","PIERREPONT PLACE","sat","approvedFull",,,,,,,,,,,"11:30","18:30",,"2023-06-03T00:00:00.000",,"2023-10-28T00:00:00.000","459.095911276","MULTILINESTRING ((985399.44650805 192564.09687697887, 985831.1352772266 192407.8475175649))","0023840","0023840",
"71","MONTAGUE ST BUSINESS IMPROVEMENT DISTRICT","MONTAGUE STREET","Brooklyn","CLINTON STREET","PIERREPONT PLACE","sat","approvedFull",,,,,,,,,,,"11:30","18:30",,"2023-06-03T00:00:00.000",,"2023-10-28T00:00:00.000","552.75466353","MULTILINESTRING ((985831.1352772266 192407.8475175649, 986351.0062847137 192220.03949423134))","0023852","0023852",
"72","Chinatown BID","FORSYTH STREET","Manhattan","DIVISION STREET","EAST BROADWAY","sat","approvedFull",,,,,,,,,,,"09:00","16:00",,"2023-04-01T00:00:00.000",,"2023-12-31T00:00:00.000","198.793230157","MULTILINESTRING ((985928.7105413824 199312.76120114326, 985874.4094688892 199503.99441447854))","0023969","0023969",
