"project_id","bbl","validated_borough","validated_block","validated_lot","validated","validated_date","unverified_borough","unverified_block","unverified_lot"
"2018M0375 - 1 - 00209 - 0021","1002090021","Manhattan","209","21","true","2021-04-01T00:00:00.000","Manhattan","209","21"
"2018M0375 - 1 - 00209 - 0024","1002090024","Manhattan","209","24","true","2021-04-01T00:00:00.000","Manhattan","209","24"
"2018M0375 - 1 - 00209 - 0025","1002090025","Manhattan","209","25","true","2021-04-01T00:00:00.000","Manhattan","209","25"
"2018M0375 - 1 - 00209 - 0026","1002090026","Manhattan","209","26","true","2021-04-01T00:00:00.000","Manhattan","209","26"
"2018M0375 - 1 - 00209 - 0028","1002090028","Manhattan","209","28","true","2021-04-01T00:00:00.000","Manhattan","209","28"
"2018M0375 - 1 - 00209 - 0032","1002090032","Manhattan","209","32","true","2021-04-01T00:00:00.000","Manhattan","209","32"
"2018M0375 - 1 - 00209 - 0033","1002090033","Manhattan","209","33","true","2021-04-01T00:00:00.000","Manhattan","209","33"
"2018M0375 - 1 - 00209 - 0034","1002090034","Manhattan","209","34","true","2021-04-01T00:00:00.000","Manhattan","209","34"
"2018M0375 - 1 - 00209 - 0035","1002090035","Manhattan","209","35","true","2021-04-01T00:00:00.000","Manhattan","209","35"
"2018M0375 - 1 - 00209 - 7501","1002097501","Manhattan","209","7501","true","2021-04-01T00:00:00.000","Manhattan","209","7501"
"2018M0375 - 1 - 00209 - 7502","1002097502","Manhattan","209","7502","true","2021-04-01T00:00:00.000","Manhattan","209","7502"
"2018M0375 - 1 - 00232 - 0001","1002320001","Manhattan","232","1","true","2021-04-01T00:00:00.000","Manhattan","232","1"
"2018M0375 - 1 - 00232 - 0003","1002320003","Manhattan","232","3","true","2021-04-01T00:00:00.000","Manhattan","232","3"
"2018M0375 - 1 - 00232 - 0004","1002320004","Manhattan","232","4","true","2021-04-01T00:00:00.000","Manhattan","232","4"
"2018M0375 - 1 - 00232 - 0005","1002320005","Manhattan","232","5","true","2021-04-01T00:00:00.000","Manhattan","232","5"
"2018M0375 - 1 - 00232 - 0006","1002320006","Manhattan","232","6","true","2021-04-01T00:00:00.000","Manhattan","232","6"
"2018M0375 - 1 - 00232 - 0008","1002320008","Manhattan","232","8","true","2021-04-01T00:00:00.000","Manhattan","232","8"
"2018M0375 - 1 - 00232 - 0009","1002320009","Manhattan","232","9","true","2021-04-01T00:00:00.000","Manhattan","232","9"
"2018M0375 - 1 - 00232 - 0010","1002320010","Manhattan","232","10","true","2021-04-01T00:00:00.000","Manhattan","232","10"
"2018M0375 - 1 - 00232 - 0011","1002320011","Manhattan","232","11","true","2021-04-01T00:00:00.000","Manhattan","232","11"
"2018M0375 - 1 - 00232 - 0012","1002320012","Manhattan","232","12","true","2021-04-01T00:00:00.000","Manhattan","232","12"
"2018M0375 - 1 - 00232 - 0013","1002320013","Manhattan","232","13","true","2021-04-01T00:00:00.000","Manhattan","232","13"
"2018M0375 - 1 - 00232 - 0021","1002320021","Manhattan","232","21","true","2021-04-01T00:00:00.000","Manhattan","232","21"
"2018M0375 - 1 - 00232 - 0023","1002320023","Manhattan","232","23","true","2021-04-01T00:00:00.000","Manhattan","232","23"
"2018M0375 - 1 - 00232 - 7501","1002327501","Manhattan","232","7501","true","2021-04-01T00:00:00.000","Manhattan","232","7501"
"2018M0375 - 1 - 00233 - 0002","1002330002","Manhattan","233","2","true","2021-04-01T00:00:00.000","Manhattan","233","2"
"2018M0375 - 1 - 00233 - 0004","1002330004","Manhattan","233","4","true","2021-04-01T00:00:00.000","Manhattan","233","4"
"2018M0375 - 1 - 00233 - 0008","1002330008","Manhattan","233","8","true","2021-04-01T00:00:00.000","Manhattan","233","8"
"2018M0375 - 1 - 00233 - 0009","1002330009","Manhattan","233","9","true","2021-04-01T00:00:00.000","Manhattan","233","9"
"2018M0375 - 1 - 00233 - 0010","1002330010","Manhattan","233","10","true","2021-04-01T00:00:00.000","Manhattan","233","10"
"2018M0375 - 1 - 00233 - 0012","1002330012","Manhattan","233","12","true","2021-04-01T00:00:00.000","Manhattan","233","12"
"2018M0375 - 1 - 00233 - 0013","1002330013","Manhattan","233","13","true","2021-04-01T00:00:00.000","Manhattan","233","13"
"2018M0375 - 1 - 00233 - 0014","1002330014","Manhattan","233","14","true","2021-04-01T00:00:00.000","Manhattan","233","14"
"2018M0375 - 1 - 00233 - 0015","1002330015","Manhattan","233","15","true","2021-04-01T00:00:00.000","Manhattan","233","15"
"2018M0375 - 1 - 00233 - 0017","1002330017","Manhattan","233","17","true","2021-04-01T00:00:00.000","Manhattan","233","17"
"2018M0375 - 1 - 00233 - 0026","1002330026","Manhattan","233","26","true","2021-04-01T00:00:00.000","Manhattan","233","26"
"2018M0375 - 1 - 00233 - 0030","1002330030","Manhattan","233","30","true","2021-04-01T00:00:00.000","Manhattan","233","30"
"2018M0375 - 1 - 00233 - 0033","1002330033","Manhattan","233","33","true","2021-04-01T00:00:00.000","Manhattan","233","33"
"2018M0375 - 1 - 00234 - 0001","1002340001","Manhattan","234","1","true","2021-04-01T00:00:00.000","Manhattan","234","1"
"2018M0375 - 1 - 00234 - 0009","1002340009","Manhattan","234","9","true","2021-04-01T00:00:00.000","Manhattan","234","9"
"2018M0375 - 1 - 00234 - 0011","1002340011","Manhattan","234","11","true","2021-04-01T00:00:00.000","Manhattan","234","11"
"2018M0375 - 1 - 00234 - 0015","1002340015","Manhattan","234","15","true","2021-04-01T00:00:00.000","Manhattan","234","15"
"2018M0375 - 1 - 00234 - 0017","1002340017","Manhattan","234","17","true","2021-04-01T00:00:00.000","Manhattan","234","17"
"2018M0375 - 1 - 00234 - 7501","1002347501","Manhattan","234","7501","true","2021-04-01T00:00:00.000","Manhattan","234","7501"
"2018M0375 - 1 - 00235 - 0001","1002350001","Manhattan","235","1","true","2021-04-01T00:00:00.000","Manhattan","235","1"
"2018M0375 - 1 - 00235 - 0004","1002350004","Manhattan","235","4","true","2021-04-01T00:00:00.000","Manhattan","235","4"
"2018M0375 - 1 - 00235 - 0005","1002350005","Manhattan","235","5","true","2021-04-01T00:00:00.000","Manhattan","235","5"
"2018M0375 - 1 - 00235 - 0006","1002350006","Manhattan","235","6","true","2021-04-01T00:00:00.000","Manhattan","235","6"
"2018M0375 - 1 - 00235 - 0007","1002350007","Manhattan","235","7","true","2021-04-01T00:00:00.000","Manhattan","235","7"
"2018M0375 - 1 - 00235 - 0008","1002350008","Manhattan","235","8","true","2021-04-01T00:00:00.000","Manhattan","235","8"
"2018M0375 - 1 - 00235 - 0009","1002350009","Manhattan","235","9","true","2021-04-01T00:00:00.000","Manhattan","235","9"
"2018M0375 - 1 - 00235 - 0010","1002350010","Manhattan","235","10","true","2021-04-01T00:00:00.000","Manhattan","235","10"
"2018M0375 - 1 - 00235 - 0011","1002350011","Manhattan","235","11","true","2021-04-01T00:00:00.000","Manhattan","235","11"
"2018M0375 - 1 - 00235 - 0013","1002350013","Manhattan","235","13","true","2021-04-01T00:00:00.000","Manhattan","235","13"
"2018M0375 - 1 - 00235 - 0016","1002350016","Manhattan","235","16","true","2021-04-01T00:00:00.000","Manhattan","235","16"
"2018M0375 - 1 - 00235 - 0018","1002350018","Manhattan","235","18","true","2021-04-01T00:00:00.000","Manhattan","235","18"
"2018M0375 - 1 - 00235 - 0020","1002350020","Manhattan","235","20","true","2021-04-01T00:00:00.000","Manhattan","235","20"
"2018M0375 - 1 - 00235 - 0029","1002350029","Manhattan","235","29","true","2021-04-01T00:00:00.000","Manhattan","235","29"
"2018M0375 - 1 - 00235 - 7501","1002357501","Manhattan","235","7501","true","2021-04-01T00:00:00.000","Manhattan","235","7501"
"2018M0375 - 1 - 00472 - 0004","1004720004","Manhattan","472","4","true","2021-04-01T00:00:00.000","Manhattan","472","4"
"2018M0375 - 1 - 00472 - 0007","1004720007","Manhattan","472","7","true","2021-04-01T00:00:00.000","Manhattan","472","7"
"2018M0375 - 1 - 00472 - 0010","1004720010","Manhattan","472","10","true","2021-04-01T00:00:00.000","Manhattan","472","10"
"2018M0375 - 1 - 00472 - 0011","1004720011","Manhattan","472","11","true","2021-04-01T00:00:00.000","Manhattan","472","11"
"2018M0375 - 1 - 00472 - 0012","1004720012","Manhattan","472","12","true","2021-04-01T00:00:00.000","Manhattan","472","12"
"2018M0375 - 1 - 00472 - 0015","1004720015","Manhattan","472","15","true","2021-04-01T00:00:00.000","Manhattan","472","15"
"2018M0375 - 1 - 00472 - 0019","1004720019","Manhattan","472","19","true","2021-04-01T00:00:00.000","Manhattan","472","19"
"2018M0375 - 1 - 00472 - 0022","1004720022","Manhattan","472","22","true","2021-04-01T00:00:00.000","Manhattan","472","22"
"2018M0375 - 1 - 00472 - 0023","1004720023","Manhattan","472","23","true","2021-04-01T00:00:00.000","Manhattan","472","23"
"2018M0375 - 1 - 00472 - 0025","1004720025","Manhattan","472","25","true","2021-04-01T00:00:00.000","Manhattan","472","25"
"2018M0375 - 1 - 00472 - 0028","1004720028","Manhattan","472","28","true","2021-04-01T00:00:00.000","Manhattan","472","28"
"2018M0375 - 1 - 00473 - 0001","1004730001","Manhattan","473","1","true","2021-04-01T00:00:00.000","Manhattan","473","1"
"2018M0375 - 1 - 00473 - 0005","1004730005","Manhattan","473","5","true","2021-04-01T00:00:00.000","Manhattan","473","5"
"2018M0375 - 1 - 00473 - 0007","1004730007","Manhattan","473","7","true","2021-04-01T00:00:00.000","Manhattan","473","7"
"2018M0375 - 1 - 00473 - 0010","1004730010","Manhattan","473","10","true","2021-04-01T00:00:00.000","Manhattan","473","10"
"2018M0375 - 1 - 00473 - 0014","1004730014","Manhattan","473","14","true","2021-04-01T00:00:00.000","Manhattan","473","14"
"2018M0375 - 1 - 00473 - 0015","1004730015","Manhattan","473","15","true","2021-04-01T00:00:00.000","Manhattan","473","15"
"2018M0375 - 1 - 00473 - 0016","1004730016","Manhattan","473","16","true","2021-04-01T00:00:00.000","Manhattan","473","16"
"2018M0375 - 1 - 00473 - 0017","1004730017","Manhattan","473","17","true","2021-04-01T00:00:00.000","Manhattan","473","17"
"2018M0375 - 1 - 00473 - 0018","1004730018","Manhattan","473","18","true","2021-04-01T00:00:00.000","Manhattan","473","18"
"2018M0375 - 1 - 00473 - 0028","1004730028","Manhattan","473","28","true","2021-04-01T00:00:00.000","Manhattan","473","28"
"2018M0375 - 1 - 00473 - 0029","1004730029","Manhattan","473","29","true","2021-04-01T00:00:00.000","Manhattan","473","29"
"2018M0375 - 1 - 00473 - 0030","1004730030","Manhattan","473","30","true","2021-04-01T00:00:00.000","Manhattan","473","30"
"2018M0375 - 1 - 00473 - 0031","1004730031","Manhattan","473","31","true","2021-04-01T00:00:00.000","Manhattan","473","31"
"2018M0375 - 1 - 00473 - 0032","1004730032","Manhattan","473","32","true","2021-04-01T00:00:00.000","Manhattan","473","32"
"2018M0375 - 1 - 00473 - 0035","1004730035","Manhattan","473","35","true","2021-04-01T00:00:00.000","Manhattan","473","35"
"2018M0375 - 1 - 00473 - 0038","1004730038","Manhattan","473","38","true","2021-04-01T00:00:00.000","Manhattan","473","38"
"2018M0375 - 1 - 00473 - 0040","1004730040","Manhattan","473","40","true","2021-04-01T00:00:00.000","Manhattan","473","40"
"2018M0375 - 1 - 00473 - 0041","1004730041","Manhattan","473","41","true","2021-04-01T00:00:00.000","Manhattan","473","41"
"2018M0375 - 1 - 00473 - 0042","1004730042","Manhattan","473","42","true","2021-04-01T00:00:00.000","Manhattan","473","42"
"2018M0375 - 1 - 00473 - 0043","1004730043","Manhattan","473","43","true","2021-04-01T00:00:00.000","Manhattan","473","43"
"2018M0375 - 1 - 00473 - 0044","1004730044","Manhattan","473","44","true","2021-04-01T00:00:00.000","Manhattan","473","44"
"2018M0375 - 1 - 00473 - 0045","1004730045","Manhattan","473","45","true","2021-04-01T00:00:00.000","Manhattan","473","45"
"2018M0375 - 1 - 00473 - 0047","1004730047","Manhattan","473","47","true","2021-04-01T00:00:00.000","Manhattan","473","47"
"2018M0375 - 1 - 00473 - 0051","1004730051","Manhattan","473","51","true","2021-04-01T00:00:00.000","Manhattan","473","51"
"2018M0375 - 1 - 00473 - 0130","1004730130","Manhattan","473","130","true","2021-04-01T00:00:00.000","Manhattan","473","130"
"2018M0375 - 1 - 00473 - 7501","1004737501","Manhattan","473","7501","true","2021-04-01T00:00:00.000","Manhattan","473","7501"
"2018M0375 - 1 - 00473 - 7502","1004737502","Manhattan","473","7502","true","2021-04-01T00:00:00.000","Manhattan","473","7502"
"2018M0375 - 1 - 00473 - 7503","1004737503","Manhattan","473","7503","true","2021-04-01T00:00:00.000","Manhattan","473","7503"
"2018M0375 - 1 - 00473 - 7504","1004737504","Manhattan","473","7504","true","2021-04-01T00:00:00.000","Manhattan","473","7504"
"2018M0375 - 1 - 00473 - 7505","1004737505","Manhattan","473","7505","true","2021-04-01T00:00:00.000","Manhattan","473","7505"
"2018M0375 - 1 - 00482 - 0001","1004820001","Manhattan","482","1","true","2021-04-01T00:00:00.000","Manhattan","482","1"
"2018M0375 - 1 - 00482 - 0002","1004820002","Manhattan","482","2","true","2021-04-01T00:00:00.000","Manhattan","482","2"
"2018M0375 - 1 - 00482 - 0003","1004820003","Manhattan","482","3","true","2021-04-01T00:00:00.000","Manhattan","482","3"
"2018M0375 - 1 - 00482 - 0005","1004820005","Manhattan","482","5","true","2021-04-01T00:00:00.000","Manhattan","482","5"
"2018M0375 - 1 - 00482 - 0007","1004820007","Manhattan","482","7","true","2021-04-01T00:00:00.000","Manhattan","482","7"
"2018M0375 - 1 - 00482 - 0008","1004820008","Manhattan","482","8","true","2021-04-01T00:00:00.000","Manhattan","482","8"
"2018M0375 - 1 - 00482 - 0009","1004820009","Manhattan","482","9","true","2021-04-01T00:00:00.000","Manhattan","482","9"
"2018M0375 - 1 - 00482 - 0010","1004820010","Manhattan","482","10","true","2021-04-01T00:00:00.000","Manhattan","482","10"
"2018M0375 - 1 - 00482 - 0013","1004820013","Manhattan","482","13","true","2021-04-01T00:00:00.000","Manhattan","482","13"
"2018M0375 - 1 - 00482 - 0016","1004820016","Manhattan","482","16","true","2021-04-01T00:00:00.000","Manhattan","482","16"
"2018M0375 - 1 - 00482 - 0019","1004820019","Manhattan","482","19","true","2021-04-01T00:00:00.000","Manhattan","482","19"
"2018M0375 - 1 - 00482 - 0022","1004820022","Manhattan","482","22","true","2021-04-01T00:00:00.000","Manhattan","482","22"
"2018M0375 - 1 - 00482 - 0024","1004820024","Manhattan","482","24","true","2021-04-01T00:00:00.000","Manhattan","482","24"
"2018M0375 - 1 - 00482 - 0025","1004820025","Manhattan","482","25","true","2021-04-01T00:00:00.000","Manhattan","482","25"
"2018M0375 - 1 - 00482 - 0026","1004820026","Manhattan","482","26","true","2021-04-01T00:00:00.000","Manhattan","482","26"
"2018M0375 - 1 - 00482 - 0027","1004820027","Manhattan","482","27","true","2021-04-01T00:00:00.000","Manhattan","482","27"
"2018M0375 - 1 - 00482 - 0028","1004820028","Manhattan","482","28","true","2021-04-01T00:00:00.000","Manhattan","482","28"
"2018M0375 - 1 - 00482 - 0030","1004820030","Manhattan","482","30","true","2021-04-01T00:00:00.000","Manhattan","482","30"
"2018M0375 - 1 - 00482 - 0031","1004820031","Manhattan","482","31","true","2021-04-01T00:00:00.000","Manhattan","482","31"
"2018M0375 - 1 - 00482 - 0041","1004820041","Manhattan","482","41","true","2021-04-01T00:00:00.000","Manhattan","482","41"
"2018M0375 - 1 - 00482 - 7502","1004827502","Manhattan","482","7502","true","2021-04-01T00:00:00.000","Manhattan","482","7502"
"2018M0375 - 1 - 00482 - 7503","1004827503","Manhattan","482","7503","true","2021-04-01T00:00:00.000","Manhattan","482","7503"
"2018M0375 - 1 - 00482 - 7504","1004827504","Manhattan","482","7504","true","2021-04-01T00:00:00.000","Manhattan","482","7504"
"2018M0375 - 1 - 00483 - 0001","1004830001","Manhattan","483","1","true","2021-04-01T00:00:00.000","Manhattan","483","1"
"2018M0375 - 1 - 00483 - 0003","1004830003","Manhattan","483","3","true","2021-04-01T00:00:00.000","Manhattan","483","3"
"2018M0375 - 1 - 00483 - 0004","1004830004","Manhattan","483","4","true","2021-04-01T00:00:00.000","Manhattan","483","4"
"2018M0375 - 1 - 00483 - 0005","1004830005","Manhattan","483","5","true","2021-04-01T00:00:00.000","Manhattan","483","5"
"2018M0375 - 1 - 00483 - 0007","1004830007","Manhattan","483","7","true","2021-04-01T00:00:00.000","Manhattan","483","7"
"2018M0375 - 1 - 00483 - 0008","1004830008","Manhattan","483","8","true","2021-04-01T00:00:00.000","Manhattan","483","8"
"2018M0375 - 1 - 00483 - 0010","1004830010","Manhattan","483","10","true","2021-04-01T00:00:00.000","Manhattan","483","10"
"2018M0375 - 1 - 00483 - 0013","1004830013","Manhattan","483","13","true","2021-04-01T00:00:00.000","Manhattan","483","13"
"2018M0375 - 1 - 00483 - 0014","1004830014","Manhattan","483","14","true","2021-04-01T00:00:00.000","Manhattan","483","14"
"2018M0375 - 1 - 00483 - 0015","1004830015","Manhattan","483","15","true","2021-04-01T00:00:00.000","Manhattan","483","15"
"2018M0375 - 1 - 00483 - 0017","1004830017","Manhattan","483","17","true","2021-04-01T00:00:00.000","Manhattan","483","17"
"2018M0375 - 1 - 00483 - 0029","1004830029","Manhattan","483","29","true","2021-04-01T00:00:00.000","Manhattan","483","29"
"2018M0375 - 1 - 00483 - 0038","1004830038","Manhattan","483","38","true","2021-04-01T00:00:00.000","Manhattan","483","38"
"2018M0375 - 1 - 00483 - 7501","1004837501","Manhattan","483","7501","true","2021-04-01T00:00:00.000","Manhattan","483","7501"
"2018M0375 - 1 - 00483 - 7502","1004837502","Manhattan","483","7502","true","2021-04-01T00:00:00.000","Manhattan","483","7502"
"2018M0375 - 1 - 00483 - 7503","1004837503","Manhattan","483","7503","true","2021-04-01T00:00:00.000","Manhattan","483","7503"
"2018M0375 - 1 - 00496 - 0001","1004960001","Manhattan","496","1","true","2021-04-01T00:00:00.000","Manhattan","496","1"
"2018M0375 - 1 - 00496 - 0005","1004960005","Manhattan","496","5","true","2021-04-01T00:00:00.000","Manhattan","496","5"
"2018M0375 - 1 - 00496 - 0007","1004960007","Manhattan","496","7","true","2021-04-01T00:00:00.000","Manhattan","496","7"
"2018M0375 - 1 - 00496 - 0009","1004960009","Manhattan","496","9","true","2021-04-01T00:00:00.000","Manhattan","496","9"
"2018M0375 - 1 - 00496 - 0010","1004960010","Manhattan","496","10","true","2021-04-01T00:00:00.000","Manhattan","496","10"
"2018M0375 - 1 - 00496 - 0012","1004960012","Manhattan","496","12","true","2021-04-01T00:00:00.000","Manhattan","496","12"
"2018M0375 - 1 - 00496 - 0015","1004960015","Manhattan","496","15","true","2021-04-01T00:00:00.000","Manhattan","496","15"
"2018M0375 - 1 - 00496 - 0018","1004960018","Manhattan","496","18","true","2021-04-01T00:00:00.000","Manhattan","496","18"
"2018M0375 - 1 - 00496 - 0019","1004960019","Manhattan","496","19","true","2021-04-01T00:00:00.000","Manhattan","496","19"
"2018M0375 - 1 - 00496 - 0027","1004960027","Manhattan","496","27","true","2021-04-01T00:00:00.000","Manhattan","496","27"
"2018M0375 - 1 - 00496 - 0029","1004960029","Manhattan","496","29","true","2021-04-01T00:00:00.000","Manhattan","496","29"
"2018M0375 - 1 - 00496 - 0030","1004960030","Manhattan","496","30","true","2021-04-01T00:00:00.000","Manhattan","496","30"
"2018M0375 - 1 - 00496 - 0032","1004960032","Manhattan","496","32","true","2021-04-01T00:00:00.000","Manhattan","496","32"
"2018M0375 - 1 - 00496 - 0033","1004960033","Manhattan","496","33","true","2021-04-01T00:00:00.000","Manhattan","496","33"
"2018M0375 - 1 - 00496 - 0034","1004960034","Manhattan","496","34","true","2021-04-01T00:00:00.000","Manhattan","496","34"
"2018M0375 - 1 - 00496 - 0035","1004960035","Manhattan","496","35","true","2021-04-01T00:00:00.000","Manhattan","496","35"
"2018M0375 - 1 - 00496 - 0036","1004960036","Manhattan","496","36","true","2021-04-01T00:00:00.000","Manhattan","496","36"
"2018M0375 - 1 - 00496 - 0040","1004960040","Manhattan","496","40","true","2021-04-01T00:00:00.000","Manhattan","496","40"
"2018M0375 - 1 - 00496 - 7501","1004967501","Manhattan","496","7501","true","2021-04-01T00:00:00.000","Manhattan","496","7501"
"2018M0375 - 1 - 00496 - 7502","1004967502","Manhattan","496","7502","true","2021-04-01T00:00:00.000","Manhattan","496","7502"
"2018M0375 - 1 - 00497 - 0001","1004970001","Manhattan","497","1","true","2021-04-01T00:00:00.000","Manhattan","497","1"
