"kit_id_number","borough","zipcode","date_collected","received_date","first_draw_at_the_tap_lead","first_draw_at_the_tap_copper"
"22190314","BROOKLYN","11216","2022-06-23T06:39:00.000","2022-06-28T11:57:28.000","5","0.154"
"22190336","QUEENS","11432","2022-06-23T06:00:00.000","2022-06-28T12:04:17.000","4","0.315"
"22190422","STATEN ISLAND","10312","2022-06-23T05:00:00.000","2022-06-28T11:51:13.000","0","0.136"
"22190333","QUEENS","11432","2022-06-23T04:30:00.000","2022-06-28T12:01:28.000","5","0.055"
"22190329","QUEENS","11358","2022-06-22T07:50:00.000","2022-06-23T11:52:08.000","24","0.108"
"22190228","BROOKLYN","11226","2022-06-22T07:44:00.000","2022-06-23T12:03:25.000","12","0.081"
"22190275","BROOKLYN","11203","2022-06-22T06:45:00.000","2022-06-28T11:54:19.000","6","0.124"
"22190511","STATEN ISLAND","10312","2022-06-22T06:45:00.000","2022-06-23T11:55:14.000","1","0.178"
"22190494","QUEENS","11358","2022-06-22T06:30:00.000","2022-06-23T11:58:58.000","227","0.224"
"22190233","BROOKLYN","11228","2022-06-22T06:20:00.000","2022-06-23T12:01:40.000","17","0.164"
"22190393","STATEN ISLAND","10307","2022-06-22T06:00:00.000","2022-07-06T12:05:26.000","0","0.059"
"22190402","QUEENS","11377","2022-06-21T09:57:00.000","2022-06-22T11:56:28.000","5","0.127"
"22190276","BRONX","10461","2022-06-21T09:37:00.000","2022-06-23T12:04:26.000","6","0.046"
"22190586","STATEN ISLAND","10314","2022-06-21T09:10:00.000","2022-06-22T12:00:04.000","0","0.157"
"22190176","BRONX","10462","2022-06-21T08:00:00.000","2022-06-23T11:57:14.000","4","0.105"
"22190483","BROOKLYN","11209","2022-06-21T07:30:00.000","2022-06-30T11:30:25.000","5","0.042"
"22190193","QUEENS","11385","2022-06-21T06:30:00.000","2022-06-22T11:54:20.000","10","0.139"
"22190347","STATEN ISLAND","10309","2022-06-20T09:50:00.000","2022-06-23T12:00:39.000","0","0.065"
"22190424","STATEN ISLAND","10312","2022-06-20T07:30:00.000","2022-06-23T11:59:54.000","1","0.102"
"22291322","QUEENS","11358","2022-06-19T17:12:00.000","2022-06-23T14:08:23.000","4","0.25"
"22190335","QUEENS","11375","2022-06-19T16:50:00.000","2022-06-22T11:59:23.000","7","0.084"
"22190196","QUEENS","11358","2022-06-19T10:08:00.000","2022-06-22T11:58:18.000","3","0.127"
"22190348","STATEN ISLAND","10309","2022-06-19T08:09:00.000","2022-06-23T11:55:44.000","0","0.059"
"22190506","STATEN ISLAND","10306","2022-06-19T02:00:00.000","2022-06-22T12:13:42.000","0","0.09"
"22190320","BROOKLYN","11204","2022-06-18T21:55:00.000","2022-06-28T11:59:51.000","8","0.226"
"22190454","QUEENS","11374","2022-06-18T09:50:00.000","2022-06-21T12:43:40.000","3","0.029"
"22190338","QUEENS","11434","2022-06-18T07:30:00.000","2022-06-21T12:49:50.000","2","0.137"
"22190232","BROOKLYN","11214","2022-06-18T07:20:00.000","2022-06-22T11:55:43.000","0","0.06"
"22190257","STATEN ISLAND","10314","2022-06-18T07:00:00.000","2022-06-21T12:59:28.000","0","0.162"
"22190421","QUEENS","11419","2022-06-18T05:00:00.000","2022-06-22T11:57:31.000","1","0.072"
"22190326","QUEENS","11432","2022-06-18T04:00:00.000","2022-06-23T11:54:28.000","3","0.042"
"22190456","BROOKLYN","11209","2022-06-17T11:00:00.000","2022-06-21T13:19:20.000","0","0.045"
"22190372","QUEENS","11418","2022-06-17T07:45:00.000","2022-06-21T12:54:05.000","2","0.293"
"22190544","STATEN ISLAND","10312","2022-06-17T07:30:00.000","2022-06-21T13:02:18.000","1","0.143"
"22190381","STATEN ISLAND","10304","2022-06-17T07:00:00.000","2022-06-21T12:50:55.000","0","0.132"
"22190304","STATEN ISLAND","10314","2022-06-17T06:00:00.000","2022-06-28T12:00:45.000","0","0.177"
"22190288","QUEENS","11354","2022-06-17T05:00:00.000","2022-06-21T13:03:40.000","3","0.109"
"22190358","BROOKLYN","11204","2022-06-17T03:00:00.000","2022-06-21T12:56:25.000","6","0.148"
"22190556","BROOKLYN","11219","2022-06-16T14:30:00.000","2022-06-22T11:53:14.000","1","0.083"
"22190413","STATEN ISLAND","10306","2022-06-16T10:00:00.000","2022-06-22T11:52:24.000","0","0.167"
"22190384","STATEN ISLAND","10308","2022-06-16T08:11:00.000","2022-06-17T13:06:05.000","0","0.213"
"22190316","BROOKLYN","11213","2022-06-16T07:26:00.000","2022-06-17T13:07:50.000","4","0.155"
"22190291","QUEENS","11432","2022-06-16T07:03:00.000","2022-06-17T12:57:56.000","4","0.244"
"22190255","STATEN ISLAND","10301","2022-06-16T07:00:00.000","2022-06-17T13:10:45.000","17","0.079"
"22190444","BROOKLYN","11234","2022-06-16T06:15:00.000","2022-06-17T13:11:58.000","0","0.21"
"22190171","STATEN ISLAND","10308","2022-06-16T06:05:00.000","2022-06-17T13:09:25.000","18","0.129"
"22190419","STATEN ISLAND","10308","2022-06-16T06:00:00.000","2022-06-17T12:59:13.000","0","0.14"
"22190376","QUEENS","11691","2022-06-16T05:45:00.000","2022-06-21T12:52:42.000","0","0.143"
"22190309","STATEN ISLAND","10312","2022-06-15T08:57:00.000","2022-06-17T13:03:06.000","0","0.104"
"22190571","QUEENS","11354","2022-06-15T08:00:00.000","2022-06-16T12:07:13.000","3","0.054"
"22190473","STATEN ISLAND","10306","2022-06-15T07:35:00.000","2022-06-17T13:00:45.000","2","0.093"
"22190352","STATEN ISLAND","10306","2022-06-15T07:00:00.000","2022-06-16T12:00:11.000","0","0.167"
"22190434","STATEN ISLAND","10312","2022-06-15T06:48:00.000","2022-06-22T11:51:38.000","0","0.086"
"22190190","QUEENS","11378","2022-06-15T06:36:00.000","2022-06-16T12:06:24.000","5","0.142"
"22190206","STATEN ISLAND","10314","2022-06-15T06:15:00.000","2022-06-16T12:04:36.000","0","0.14"
"22190474","Manhattan","10018","2022-06-15T06:00:00.000","2022-06-21T12:46:07.000","4","0.116"
"22190256","STATEN ISLAND","10310","2022-06-15T05:25:00.000","2022-06-15T12:09:59.000","2","0.146"
"22190200","QUEENS","11358","2022-06-15T05:00:00.000","2022-06-16T12:07:59.000","5","0.132"
"22190436","STATEN ISLAND","10306","2022-06-15T05:00:00.000","2022-06-17T13:17:12.000","0","0.139"
"22190280","BROOKLYN","11224","2022-06-14T10:00:00.000","2022-06-17T13:04:42.000","0","0.093"
"22190168","STATEN ISLAND","10306","2022-06-14T08:05:00.000","2022-06-16T12:05:31.000","2","0.134"
"22190396","BROOKLYN","11225","2022-06-14T08:05:00.000","2022-06-21T12:55:24.000","9","0.089"
"22190302","STATEN ISLAND","10314","2022-06-14T08:02:00.000","2022-06-15T12:11:25.000","2","0.122"
"22190428","STATEN ISLAND","10308","2022-06-14T08:00:00.000","2022-06-21T12:47:23.000","0","0.136"
"22190548","STATEN ISLAND","10309","2022-06-14T08:00:00.000","2022-06-15T12:52:09.000","0","0.076"
"22190349","STATEN ISLAND","10309","2022-06-14T07:54:00.000","2022-06-16T12:02:45.000","1","0.112"
"22190249","QUEENS","11428","2022-06-14T07:20:00.000","2022-06-15T12:33:17.000","20","0.077"
"22190161","STATEN ISLAND","10314","2022-06-14T07:15:00.000","2022-06-15T12:53:25.000","1","0.11"
"22190394","Manhattan","10128","2022-06-14T07:05:00.000","2022-06-15T12:59:29.000","10","0.114"
"22190439","BROOKLYN","11234","2022-06-14T07:00:00.000","2022-06-15T12:38:17.000","4","0.146"
"22190484","BROOKLYN","11224","2022-06-14T07:00:00.000","2022-06-15T12:29:07.000","0","0.163"
"22190510","STATEN ISLAND","10308","2022-06-14T06:30:00.000","2022-06-16T12:03:41.000","0","0.114"
"22190535","STATEN ISLAND","10310","2022-06-14T06:30:00.000","2022-06-17T13:15:25.000","3","0.145"
"22190285","QUEENS","11379","2022-06-14T04:30:00.000","2022-06-17T13:02:06.000","9","0.109"
"22190165","STATEN ISLAND","10314","2022-06-14T00:30:00.000","2022-06-16T11:55:55.000","1","0.172"
"22190573","QUEENS","11362","2022-06-13T20:00:00.000","2022-06-15T12:50:22.000","5","0.1"
"22190271","BROOKLYN","11231","2022-06-13T19:10:00.000","2022-06-15T13:05:05.000","0","0.01"
"22190370","QUEENS","11358","2022-06-13T14:00:00.000","2022-06-16T12:01:56.000","6","0.133"
"22190404","QUEENS","11354","2022-06-13T12:30:00.000","2022-06-15T12:42:33.000","16","0.03"
"22190549","STATEN ISLAND","10309","2022-06-13T09:05:00.000","2022-06-15T12:11:31.000","0","0.103"
"22190449","QUEENS","11435","2022-06-13T09:00:00.000","2022-06-15T12:10:45.000","0","0.114"
"22190514","STATEN ISLAND","10309","2022-06-13T08:51:00.000","2022-06-15T12:10:18.000","0","0.148"
"22190489","QUEENS","11379","2022-06-13T08:20:00.000","2022-06-15T13:11:15.000","8","0.131"
"22190262","STATEN ISLAND","10309","2022-06-13T08:00:00.000","2022-06-15T12:21:17.000","2","0.221"
"22190492","QUEENS","11375","2022-06-13T08:00:00.000","2022-06-15T12:14:03.000","3","0.068"
"22190248","QUEENS","11432","2022-06-13T08:00:00.000","2022-06-15T13:02:14.000","1","0.12"
"22190339","STATEN ISLAND","10314","2022-06-13T07:55:00.000","2022-06-15T12:41:40.000","300","0.176"
"22190219","STATEN ISLAND","10309","2022-06-13T07:30:00.000","2022-06-15T12:23:26.000","1","0.111"
"22190431","STATEN ISLAND","10301","2022-06-13T07:16:00.000","2022-06-16T11:59:02.000","9","0.097"
"22190539","STATEN ISLAND","10305","2022-06-13T07:15:00.000","2022-06-15T12:30:55.000","0","0.114"
"22190491","QUEENS","11357","2022-06-13T06:45:00.000","2022-06-15T12:10:37.000","7","0.112"
"22190442","BROOKLYN","11234","2022-06-13T06:30:00.000","2022-06-15T13:03:45.000","8","0.157"
"22190465","STATEN ISLAND","10306","2022-06-13T06:30:00.000","2022-06-15T12:44:46.000","0","0.069"
"22190330","QUEENS","11104","2022-06-13T06:05:00.000","2022-06-23T11:53:05.000","6","0.149"
"22190211","STATEN ISLAND","10308","2022-06-13T06:00:00.000","2022-06-15T12:31:40.000","0","0.084"
"22190496","QUEENS","11415","2022-06-13T06:00:00.000","2022-06-15T12:19:27.000","0","0.079"
"22190263","STATEN ISLAND","10312","2022-06-13T05:50:00.000","2022-06-15T12:27:55.000","0","0.103"
"22190467","STATEN ISLAND","10306","2022-06-13T05:50:00.000","2022-06-15T12:39:39.000","0","0.188"
"22190505","STATEN ISLAND","10305","2022-06-13T05:00:00.000","2022-06-15T12:49:01.000","0","0.063"
"22190576","QUEENS","11101","2022-06-12T22:00:00.000","2022-06-15T12:34:18.000","55","0.241"
"22190530","QUEENS","11365","2022-06-12T10:33:00.000","2022-06-22T12:13:02.000","19","3.197"
"22190441","BROOKLYN","11218","2022-06-12T09:38:00.000","2022-06-15T12:26:38.000","4","0.072"
"22190337","QUEENS","11691","2022-06-12T09:00:00.000","2022-06-15T12:24:33.000","2","0.199"
"22190515","BRONX","10471","2022-06-12T09:00:00.000","2022-06-15T12:40:48.000","0","0.15"
"22190325","BROOKLYN","11234","2022-06-12T08:00:00.000","2022-06-15T12:35:45.000","10","0.086"
"22190532","QUEENS","11417","2022-06-12T08:00:00.000","2022-06-15T12:37:13.000","2","0.148"
"22190451","QUEENS","11105","2022-06-12T07:06:00.000","2022-06-15T12:18:16.000","6","0.138"
"22190485","BROOKLYN","11223","2022-06-12T07:00:00.000","2022-06-15T12:54:21.000","2","0.085"
"22190553","BROOKLYN","11217","2022-06-12T06:05:00.000","2022-06-15T12:43:32.000","4","0.145"
"22190265","STATEN ISLAND","10309","2022-06-12T06:00:00.000","2022-06-17T13:13:16.000","2","0.079"
"22190440","Manhattan","10010","2022-06-12T05:15:00.000","2022-06-15T13:14:19.000","0","0.153"
"22190406","QUEENS","11358","2022-06-12T05:00:00.000","2022-06-15T12:46:17.000","5","0.245"
"22190160","STATEN ISLAND","10314","2022-06-11T21:27:00.000","2022-06-15T12:25:25.000","0","0.192"
"22190204","STATEN ISLAND","10314","2022-06-11T17:30:00.000","2022-06-15T13:07:42.000","4","0.181"
"22190169","STATEN ISLAND","10306","2022-06-11T10:00:00.000","2022-06-13T12:39:10.000","0","0.127"
"22190242","QUEENS","11358","2022-06-11T10:00:00.000","2022-06-13T12:44:14.000","6","0.151"
"22190527","QUEENS","11358","2022-06-11T09:15:00.000","2022-06-13T12:48:38.000","5","0.107"
"22190208","STATEN ISLAND","10314","2022-06-11T09:11:00.000","2022-06-16T11:57:47.000","0","0.078"
"22190366","QUEENS","11379","2022-06-11T08:30:00.000","2022-06-15T12:55:25.000","5","0.13"
"22190365","QUEENS","11373","2022-06-11T08:15:00.000","2022-06-13T12:32:22.000","6","0.057"
"22190493","QUEENS","11374","2022-06-11T07:10:00.000","2022-06-21T12:48:46.000","5","0.124"
"22190409","STATEN ISLAND","10306","2022-06-11T07:05:00.000","2022-06-13T12:30:25.000","0","0.142"
"22190432","STATEN ISLAND","10309","2022-06-11T07:04:00.000","2022-06-13T12:19:37.000","0","0.103"
"22190523","BROOKLYN","11234","2022-06-11T07:00:00.000","2022-06-13T12:21:46.000","9","0.132"
"22190391","STATEN ISLAND","10309","2022-06-11T07:00:00.000","2022-06-13T12:16:29.000","0","0.092"
"22190327","QUEENS","11379","2022-06-11T07:00:00.000","2022-06-13T12:40:39.000","4","0.09"
"22190379","STATEN ISLAND","10314","2022-06-11T06:45:00.000","2022-06-13T12:24:47.000","0","0.166"
"22190334","QUEENS","11363","2022-06-11T06:30:00.000","2022-06-13T12:50:22.000","0","0.161"
"22190357","BROOKLYN","11218","2022-06-10T11:45:00.000","2022-06-13T12:56:46.000","6","0.15"
"22190166","STATEN ISLAND","10314","2022-06-10T11:15:00.000","2022-06-15T12:15:24.000","0","0.132"
"22190572","QUEENS","11361","2022-06-10T09:57:00.000","2022-06-13T12:49:37.000","3","0.047"
"22190201","QUEENS","11693","2022-06-10T09:43:00.000","2022-06-15T12:22:35.000","9","0.141"
"22190254","QUEENS","11385","2022-06-10T08:15:00.000","2022-06-13T12:18:38.000","6","0.123"
