"contract_id","organization_id","agency_id","agency_name","service_id","contract_amount","contract_end","contract_start","contract_number","fiscal_year"
"47","4","69","HRA","19","3390566.33","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171421062","FY2018"
"48","5","69","HRA","21","11932003.22","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171420911","FY2018"
"49","5","69","HRA","22","3706908.34","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171421182","FY2018"
"50","5","69","HRA","22","3390566.33","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171421198","FY2018"
"51","5","69","HRA","24","4206774.95","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171421126","FY2018"
"52","5","69","HRA","22","2225713.16","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171421186","FY2018"
"53","5","69","HRA","24","3302432.77","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171421121","FY2018"
"54","5","69","HRA","23","61506",,,,"FY2018"
"55","6","69","HRA","27","11478798","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171420534","FY2018"
"56","6","69","HRA","27","7007840.39","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171422141","FY2018"
"57","7","69","HRA","28","5236640.22","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171427740","FY2018"
"58","8","69","HRA","29","5236640.22","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171421034","FY2018"
"59","8","69","HRA","30","10394059","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171420533","FY2018"
"60","8","69","HRA","30","10067917.64","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171420930","FY2018"
"61","8","69","HRA","30","6219135","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171421092","FY2018"
"62","8","69","HRA","31","3150000","2017-10-31T00:00:00.000","2014-11-01T00:00:00.000","CT106920151408941","FY2018"
"63","9","69","HRA","33","7007839.88","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171421173","FY2018"
"64","9","69","HRA","35","3302432.77","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171421187","FY2018"
"65","9","69","HRA","33","2820817.31","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171421185","FY2018"
"66","9","69","HRA","35","1752328.37","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171421176","FY2018"
"67","9","69","HRA","34","10394059.09","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171420532","FY2018"
"68","10","69","HRA","36","437660.93","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171426476","FY2018"
"69","10","69","HRA","37","1200000","2020-06-30T00:00:00.000","2017-07-01T00:00:00.000","CT106920181404793","FY2018"
"70","10","69","HRA","38",,,,"CT106920161422487","FY2018"
"71","11","69","HRA","51","2250000","2018-03-31T00:00:00.000","2015-04-01T00:00:00.000","CT106920151422896","FY2018"
"72","11","69","HRA","51","3426726","2018-03-31T00:00:00.000","2015-04-01T00:00:00.000","CT106920151425683","FY2018"
"73","11","69","HRA","53",,,,"CT106920161427617","FY2018"
"74","11","69","HRA","53",,,,"CT106920161428127","FY2018"
"75","11","69","HRA","53",,,,"CT106920171400189","FY2018"
"76","11","69","HRA","52","29462.4",,,,"FY2018"
"77","12","69","HRA","54","2250000","2018-03-31T00:00:00.000","2015-04-01T00:00:00.000","CT106920151422896","FY2018"
"78","12","69","HRA","55","20911",,,,"FY2018"
"79","13","69","HRA","62","1163578.8","2018-03-31T00:00:00.000","2015-04-01T00:00:00.000","CT106920151423395","FY2018"
"80","14","69","HRA","63","1687695","2018-03-31T00:00:00.000","2015-04-01T00:00:00.000","CT106920151423643","FY2018"
"81","15","69","HRA","65","1498116","2018-03-31T00:00:00.000","2015-04-01T00:00:00.000","CT106920151424796","FY2018"
"82","15","69","HRA","66","12347631","2020-09-30T00:00:00.000","2017-10-01T00:00:00.000","CT106920181407866","FY2018"
"83","15","69","HRA","66","8819736","2020-09-30T00:00:00.000","2017-10-01T00:00:00.000","CT106920181408705","FY2018"
"84","15","69","HRA","66","14111577","2020-09-30T00:00:00.000","2017-10-01T00:00:00.000","CT106920181408522","FY2018"
"85","16","69","HRA","67","1875000","2018-03-31T00:00:00.000","2015-04-01T00:00:00.000","CT106920151426419","FY2018"
"86","16","69","HRA","68",,,,"CT106920161420891","FY2018"
"87","17","69","HRA","69","1954053","2018-03-31T00:00:00.000","2015-04-01T00:00:00.000","CT106920151426596","FY2018"
"88","17","69","HRA","70",,,,"CT106920161418639","FY2018"
"89","17","69","HRA","70",,,,"CT106920161424122","FY2018"
"90","17","69","HRA","70","1333433","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161414917","FY2018"
"91","17","69","HRA","70",,,,"CT106920171400106","FY2018"
"92","17","69","HRA","70","16031004","2018-06-30T00:00:00.000","2016-01-01T00:00:00.000","CT106920171402005","FY2018"
"93","18","69","HRA","73","1448370","2018-03-31T00:00:00.000","2015-04-01T00:00:00.000","CT106920151426641","FY2018"
"94","18","69","HRA","74","5229478.5","2019-06-30T00:00:00.000","2016-07-01T00:00:00.000","CT106920170001068","FY2018"
"95","19","69","HRA","78","1500000","2018-03-31T00:00:00.000","2015-04-01T00:00:00.000","CT106920151426659","FY2018"
"96","20","69","HRA","83","1987467","2018-03-31T00:00:00.000","2015-04-01T00:00:00.000","CT106920151426792","FY2018"
"97","21","69","HRA","84",,,,,"FY2018"
"98","21","69","HRA","85",,,,,"FY2018"
"99","21","69","HRA","86",,,,,"FY2018"
"100","22","69","HRA","87","14111577","2020-09-30T00:00:00.000","2017-10-01T00:00:00.000","CT106920181409514","FY2018"
"101","22","69","HRA","87","7937763","2020-09-30T00:00:00.000","2017-10-01T00:00:00.000","CT106920181412964","FY2018"
"102","22","69","HRA","87","8819886","2020-09-30T00:00:00.000","2017-10-01T00:00:00.000","CT106920181412616","FY2018"
"103","22","69","HRA","88",,,,"CT106920161420905","FY2018"
"104","22","69","HRA","88",,,,"CT106920161421213","FY2018"
"105","22","69","HRA","88",,,,"CT106920171410716","FY2018"
"106","23","69","HRA","107",,,,,"FY2018"
"107","23","69","HRA","107","6173814","2020-09-30T00:00:00.000","2017-10-01T00:00:00.000","CT106920181414854","FY2018"
"108","24","69","HRA","129","13229604","2020-09-30T00:00:00.000","2017-10-01T00:00:00.000","CT106920181412454","FY2018"
"109","24","69","HRA","132",,,,"CT106920161420973","FY2018"
"110","24","69","HRA","130","3223500","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920181402705","FY2018"
"111","24","69","HRA","129","7937763","2020-09-30T00:00:00.000","2017-10-01T00:00:00.000","CT106920181412722","FY2018"
"112","24","69","HRA","131",,,,"CT106920161418692","FY2018"
"113","24","69","HRA","131",,,,"CT106920171400083","FY2018"
"114","24","69","HRA","131",,,,"CT106920171401352","FY2018"
"115","25","69","HRA","146","7937763","2020-09-30T00:00:00.000","2017-10-01T00:00:00.000","CT106920181412722","FY2018"
"116","25","69","HRA","146","13229604","2020-09-30T00:00:00.000","2017-10-01T00:00:00.000","CT106920181412454","FY2018"
"117","25","69","HRA","146",,,,,"FY2018"
"118","25","69","HRA","147",,,,"CT106920161420226","FY2018"
"119","25","69","HRA","147",,,,"CT106920161424226","FY2018"
"120","26","69","HRA","151",,,,,"FY2018"
"121","27","69","HRA","152","15875373","2020-09-30T00:00:00.000","2017-10-01T00:00:00.000","CT106920181411313","FY2018"
"122","28","69","HRA","153","3150000","2019-03-31T00:00:00.000","2016-04-01T00:00:00.000","CT106920161420014","FY2018"
"123","28","69","HRA","154","180403",,,,"FY2018"
"124","29","69","HRA","162","3150000","2019-03-14T00:00:00.000","2016-03-15T00:00:00.000","CT106920161427235","FY2018"
"125","29","69","HRA","163","63102",,,,"FY2018"
"126","30","69","HRA","172","3150000","2019-03-31T00:00:00.000","2016-04-01T00:00:00.000","CT106920171423946","FY2018"
"127","30","69","HRA","172","1027807","2020-02-29T00:00:00.000","2017-03-01T00:00:00.000","CT106920171425113","FY2018"
"128","30","69","HRA","173","94792",,,,"FY2018"
"129","31","69","HRA","176","3149545","2019-03-31T00:00:00.000","2016-04-01T00:00:00.000","CT106920181401337","FY2018"
"130","31","69","HRA","177","3972107","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920181406654","FY2018"
"131","31","69","HRA","177","4206775","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920181406655","FY2018"
"132","32","69","HRA","178","3150000","2020-01-01T00:00:00.000","2017-01-02T00:00:00.000","CT106920171426821","FY2018"
"133","32","69","HRA","178",,,,"CT106920131418047","FY2018"
"134","33","69","HRA","179","9956736","2019-06-30T00:00:00.000","2016-07-01T00:00:00.000","CT106920171411676","FY2018"
"135","34","69","HRA","188","5229478.5","2019-06-30T00:00:00.000","2016-07-01T00:00:00.000","CT106920170001068","FY2018"
"136","34","69","HRA","188","4080000","2019-06-30T00:00:00.000","2016-07-01T00:00:00.000","CT106920171405747","FY2018"
"137","35","69","HRA","189","2856000","2019-06-30T00:00:00.000","2016-07-01T00:00:00.000","CT106920170001772","FY2018"
"138","36","69","HRA","190","52506",,,,"FY2018"
"139","37","69","HRA","191","72000",,,,"FY2018"
"140","38","69","HRA","192","66558",,,,"FY2018"
"141","39","69","HRA","194","65203",,,,"FY2018"
"142","40","69","HRA","195","124351",,,,"FY2018"
"143","41","69","HRA","196","197514",,,,"FY2018"
"144","42","69","HRA","197","42307",,,,"FY2018"
"145","43","69","HRA","198","32169",,,,"FY2018"
"146","44","69","HRA","199","62006",,,,"FY2018"
"147","45","69","HRA","204","52887",,,,"FY2018"
"148","46","69","HRA","205","205420",,,,"FY2018"
"149","47","69","HRA","218","201519",,,,"FY2018"
"150","48","69","HRA","219","63075",,,,"FY2018"
"151","49","69","HRA","224","41438",,,,"FY2018"
"152","50","69","HRA","228","74963",,,,"FY2018"
"153","51","69","HRA","233","175025",,,,"FY2018"
"154","52","69","HRA","234","122990",,,,"FY2018"
"155","53","69","HRA","240","33507",,,,"FY2018"
"156","54","69","HRA","243","51584",,,,"FY2018"
"157","55","69","HRA","244",,,,,"FY2018"
"158","56","69","HRA","245","38430",,,,"FY2018"
"159","56","69","HRA","246",,,,"CT106920171400428","FY2018"
"160","57","69","HRA","255","109443",,,,"FY2018"
"161","58","69","HRA","256","95460",,,,"FY2018"
"162","59","69","HRA","258","13769",,,,"FY2018"
"163","60","69","HRA","260","84823",,,,"FY2018"
"164","61","69","HRA","268","26998",,,,"FY2018"
"165","62","69","HRA","277","83701",,,,"FY2018"
"166","63","69","HRA","278","78593",,,,"FY2018"
"167","64","69","HRA","284","188100",,,,"FY2018"
"168","65","69","HRA","285","114990",,,,"FY2018"
"169","66","69","HRA","292","75400",,,,"FY2018"
"170","67","69","HRA","306","51683",,,,"FY2018"
"171","68","69","HRA","307","64433",,,,"FY2018"
"172","69","69","HRA","308","143889",,,,"FY2018"
"173","70","69","HRA","309","65215",,,,"FY2018"
"174","71","69","HRA","317","66177",,,,"FY2018"
"175","72","69","HRA","318","23658",,,,"FY2018"
"176","73","69","HRA","319","5608745","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171424137","FY2018"
"177","74","69","HRA","320",,,,"CT106920150000545","FY2018"
"178","75","69","HRA","321",,,,"CT106920150001352","FY2018"
"179","76","69","HRA","327",,,,"CT106920150001936","FY2018"
"180","76","69","HRA","327",,,,"CT106920150001986","FY2018"
"181","77","69","HRA","342",,,,"CT106920151400794","FY2018"
"182","78","69","HRA","349",,,,"CT106920151409601","FY2018"
"183","79","69","HRA","350",,,,"CT106920161413863","FY2018"
"184","79","69","HRA","350",,,,"CT106920171402178","FY2018"
"185","80","69","HRA","354",,,,"CT106920150002539","FY2018"
"186","80","69","HRA","354","4800397","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161423041","FY2018"
"187","81","69","HRA","363",,,,"CT106920171403097","FY2018"
"188","82","69","HRA","364",,,,"CT106920171406423","FY2018"
"189","83","69","HRA","366",,,,"CT106920171414870","FY2018"
"190","84","69","HRA","373",,,,"CT106920161418391","FY2018"
"191","84","69","HRA","373",,,,"CT106920171400155","FY2018"
"192","85","69","HRA","374","2256597","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161413329","FY2018"
"193","85","69","HRA","374",,,,"CT106920161423597","FY2018"
"194","85","69","HRA","374",,,,"CT106920171400041","FY2018"
"195","85","69","HRA","374",,,,"CT106920171407983","FY2018"
"196","86","69","HRA","375",,,,"CT106920150002540","FY2018"
"197","86","69","HRA","375","5641492","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161414791","FY2018"
"198","86","69","HRA","375","683133","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161419563","FY2018"
"199","87","69","HRA","376",,,,"CT106920171405327","FY2018"
"200","88","69","HRA","379",,,,"CT106920161422681","FY2018"
"201","89","69","HRA","380",,,,"CT106920171400045","FY2018"
"202","89","69","HRA","380",,,,"CT106920171408341","FY2018"
"203","90","69","HRA","381",,,,"CT106920171412202","FY2018"
"204","91","69","HRA","383",,,,"CT106920171408146","FY2018"
"205","92","69","HRA","388",,,,"CT106920161426772","FY2018"
"206","93","69","HRA","390",,,,"CT106920161416051","FY2018"
"207","93","69","HRA","390",,,,"CT106920161417632","FY2018"
"208","93","69","HRA","390",,,,"CT106920161419637","FY2018"
"209","94","69","HRA","391",,,,"CT106920161426886","FY2018"
"210","95","69","HRA","400",,,,"CT106920161423162","FY2018"
"211","95","69","HRA","400",,,,"CT106920171400158","FY2018"
"212","96","69","HRA","409",,,,"CT106920150003382","FY2018"
"213","96","69","HRA","409","1300525","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161413187","FY2018"
"214","96","69","HRA","409",,,,"CT106920161419012","FY2018"
"215","96","69","HRA","409",,,,"CT106920161428711","FY2018"
"216","96","69","HRA","409",,,,"CT106920161429480","FY2018"
"217","96","69","HRA","409",,,,"CT106920171400768","FY2018"
"218","96","69","HRA","409",,,,"CT106920171401143","FY2018"
"219","96","69","HRA","409",,,,"CT106920171401243","FY2018"
"220","97","69","HRA","410",,,,"CT106920171401309","FY2018"
"221","98","69","HRA","412",,,,"CT106920171401242","FY2018"
"222","99","69","HRA","416",,,,"CT106920161416052","FY2018"
"223","99","69","HRA","416",,,,"CT106920161429491","FY2018"
"224","99","69","HRA","416",,,,"CT106920171401731","FY2018"
"225","100","69","HRA","419",,,,"CT106920161417435","FY2018"
"226","100","69","HRA","419",,,,"CT106920171401415","FY2018"
"227","100","69","HRA","419",,,,"CT106920161424769","FY2018"
"228","101","69","HRA","421",,,,"CT106920171400703","FY2018"
"229","102","69","HRA","422",,,,"CT106920150003383","FY2018"
"230","102","69","HRA","422","6667217","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161422246","FY2018"
"231","103","69","HRA","424",,,,"CT106920161424916","FY2018"
"232","104","69","HRA","425",,,,"CT106920150002541","FY2018"
"233","104","69","HRA","425","1579618","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161413189","FY2018"
"234","104","69","HRA","425",,,,"CT106920161421197","FY2018"
"235","104","69","HRA","425","1937058","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161422562","FY2018"
"236","104","69","HRA","425",,,,"CT106920161422936","FY2018"
"237","104","69","HRA","425",,,,"CT106920161423122","FY2018"
"238","104","69","HRA","425",,,,"CT106920161424153","FY2018"
"239","104","69","HRA","425",,,,"CT106920161426893","FY2018"
"240","104","69","HRA","425",,,,"CT106920171402281","FY2018"
"241","104","69","HRA","425","1641161","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161413157","FY2018"
"242","105","69","HRA","427",,,,"CT106920171400212","FY2018"
"243","106","69","HRA","428",,,,"CT106920150003381","FY2018"
"244","106","69","HRA","428","1777925","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161413220","FY2018"
"245","106","69","HRA","428",,,,"CT106920161418693","FY2018"
"246","106","69","HRA","428",,,,"CT106920161419430","FY2018"
"247","106","69","HRA","428",,,,"CT106920161421722","FY2018"
"248","106","69","HRA","428",,,,"CT106920161423298","FY2018"
"249","106","69","HRA","428",,,,"CT106920171401697","FY2018"
"250","107","69","HRA","433",,,,"CT106920161427751","FY2018"
"251","108","69","HRA","436",,,,"CT106920161415878","FY2018"
"252","109","69","HRA","437",,,,"CT106920150002538","FY2018"
"253","109","69","HRA","437","2030937","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161421952","FY2018"
"254","109","69","HRA","438",,,,"CT106920161419621","FY2018"
"255","110","69","HRA","445",,,,"CT106920171400430","FY2018"
"256","110","69","HRA","445",,,,"CT106920171407924","FY2018"
"257","111","69","HRA","449",,,,"CT106920171400063","FY2018"
"258","112","69","HRA","450",,,,"CT106920161426434","FY2018"
"259","113","69","HRA","451",,,,"CT106920171403047","FY2018"
"260","113","69","HRA","451","1333443","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920171405088","FY2018"
"261","114","69","HRA","452",,,,"CT106920161422539","FY2018"
"262","114","69","HRA","452",,,,"CT106920161428426","FY2018"
"263","115","69","HRA","458",,,,"CT106920171400934","FY2018"
"264","116","69","HRA","460",,,,"CT106920161428637","FY2018"
"265","117","69","HRA","462",,,,"CT106920161413158","FY2018"
"266","118","69","HRA","463",,,,"CT106920161423048","FY2018"
"267","119","69","HRA","464",,,,"CT106920171401894","FY2018"
"268","120","69","HRA","466",,,,"CT106920171400037","FY2018"
"269","1","125","DFTA","3","65185","2018-06-30T00:00:00.000","2017-07-01T00:00:00.000","CT112520181402605","FY2018"
"2279","157","260","DYCD","558",,"2020-06-30T00:00:00.000","2017-09-01T00:00:00.000",,"FY2018"
"270","2","125","DFTA","7","313259","2018-06-30T00:00:00.000","2017-07-01T00:00:00.000","CT112520181402604","FY2018"
"271","23","125","DFTA","123","1042484","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000620","FY2018"
"272","23","125","DFTA","123","1607823","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000379","FY2018"
"273","23","125","DFTA","123","1311524","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000245","FY2018"
"274","23","125","DFTA","123","1142390","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000223","FY2018"
"275","23","125","DFTA","123","915416","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000382","FY2018"
"276","23","125","DFTA","123","940224","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000617","FY2018"
"277","23","125","DFTA","123","1199720","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000616","FY2018"
"278","23","125","DFTA","123","908418","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000380","FY2018"
"279","23","125","DFTA","123","1171056","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000381","FY2018"
"280","23","125","DFTA","123","1152504","2018-12-31T00:00:00.000","2017-07-01T00:00:00.000","CT112520180002493","FY2018"
"281","23","125","DFTA","123","904938","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000221","FY2018"
"282","23","125","DFTA","123","1846807","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000222","FY2018"
"283","23","125","DFTA","123","1838999","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000220","FY2018"
"284","23","125","DFTA","123","1945351","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000213","FY2018"
"285","23","125","DFTA","123","1391802","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000211","FY2018"
"286","23","125","DFTA","123","1210603","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000244","FY2018"
"287","23","125","DFTA","123","1206207","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000378","FY2018"
"288","23","125","DFTA","124","2023582","2018-06-30T00:00:00.000","2017-07-01T00:00:00.000","CT112520180003217","FY2018"
"289","23","125","DFTA","124","1144217","2018-06-30T00:00:00.000","2017-07-01T00:00:00.000","CT112520180003215","FY2018"
"290","23","125","DFTA","124","1143152","2018-06-30T00:00:00.000","2017-07-01T00:00:00.000","CT112520180003218","FY2018"
"291","23","125","DFTA","125","2790000","2019-06-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000527","FY2018"
"292","23","125","DFTA","125","3594000","2019-06-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000389","FY2018"
"293","24","125","DFTA","142","2275436","2018-12-31T00:00:00.000","2015-07-01T00:00:00.000","CT112520160000961","FY2018"
"294","24","125","DFTA","142","912374","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000219","FY2018"
"295","24","125","DFTA","142","548281","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000218","FY2018"
"296","24","125","DFTA","142","529489","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000769","FY2018"
"297","28","125","DFTA","159","226176","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000216","FY2018"
"298","28","125","DFTA","159","1162886","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000217","FY2018"
"299","28","125","DFTA","160","1162886","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170000217","FY2018"
"300","29","125","DFTA","168","1592686","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520170001683","FY2018"
"301","29","125","DFTA","169","2780798","2018-06-30T00:00:00.000","2017-07-01T00:00:00.000","CT112520181401265","FY2018"
"302","29","125","DFTA","170","845358","2020-06-30T00:00:00.000","2017-07-01T00:00:00.000","CT112520181402118","FY2018"
"303","33","125","DFTA","185",,,,,"FY2018"
"304","33","125","DFTA","185","2566500","2020-06-30T00:00:00.000","2017-07-01T00:00:00.000","CT112520181402607","FY2018"
"305","33","125","DFTA","186","967585","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520171400351","FY2018"
"306","33","125","DFTA","186","1742649","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520171400331","FY2018"
"307","33","125","DFTA","186","807788","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520171400339","FY2018"
"308","33","125","DFTA","186","1315810","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520171400340","FY2018"
"309","33","125","DFTA","186","1314978","2018-12-31T00:00:00.000","2017-07-01T00:00:00.000","CT112520181401594","FY2018"
"310","33","125","DFTA","187","602960","2018-06-30T00:00:00.000","2017-07-01T00:00:00.000","CT112520181409004","FY2018"
"311","50","125","DFTA","230","1948578","2018-11-30T00:00:00.000","2016-07-01T00:00:00.000","CT112520171400752","FY2018"
"312","50","125","DFTA","231","849348","2020-06-30T00:00:00.000","2017-07-01T00:00:00.000","CT112520181401262","FY2018"
