"location","request_date","requested_by","type_of_request","request_status","borough"
"Highland Ave from 162 St to Parsons Blvd","2019-12-19T00:00:00.000","Elected Official","One-way conversion","On-hold due to COVID","Queens"
"Palermo St from McLaughlin Ave to Palo Alto Ave","2020-01-10T00:00:00.000","Community Board 8","One-way conversion","Denied by NYCDOT","Queens"
"9 Ave from 130 St to 127 St","2020-01-23T00:00:00.000","Initiated by NYCDOT","One-way conversion","On-hold pending CB feedback","Queens"
"Penelope Ave from 69 Pl to 70 St","2020-01-28T00:00:00.000","Community Board 5","One-way conversion","Denied by NYCDOT","Queens"
"217 Pl from 104 Ave to Hempstead Ave","2020-02-03T00:00:00.000","Community Board 13","One-way conversion","Denied by NYCDOT","Queens"
"155 St from Foch Blvd to Linden Blvd","2020-02-20T00:00:00.000","Community Board 12","One-way conversion","On-hold due to COVID","Queens"
"Pineville Ln from Lucas St to Merrick Blvd","2020-05-01T00:00:00.000","Community Board 13/NYPD","One-way conversion","On-hold due to COVID","Queens"
"Lucas St from Springfield Blvd to Ridgedale St","2020-05-01T00:00:00.000","Community Board 13/NYPD","One-way conversion","On-hold due to COVID","Queens"
"227th St from Linden Blvd to 116th Ave","2020-06-12T00:00:00.000","Community Board 13","One-way conversion","On-hold due to COVID","Queens"
"51 Ave from 65 Pl to 61 St","2020-07-15T00:00:00.000","Community Board 2","One-way conversion","On-hold pending CB feedback","Queens"
"143 St from 14 Ave to 15 Ave","2020-12-08T00:00:00.000","Community Board 7","One-way conversion","Denied by NYCDOT","Queens"
"Beach 39 St from Rockaway Beach Blvd to Beach Channel Dr","2020-09-16T00:00:00.000","Community Board 14","One-way conversion","To be evaluated post-COVID","Queens"
"Reeder St from Queens Blvd to 51 Ave","2020-10-26T00:00:00.000","Elected Official","One-way conversion","On-hold pending CB letter of support","Queens"
"38 St from Hunter Point Ave to Greenpoint Ave","2020-06-11T00:00:00.000","Elected Official","One-way reversal","Denied by NYCDOT","Queens"
"50 Ave from 65 Pl to 69 St","2020-11-30T00:00:00.000","Community Board 2","One-way conversion","Undergoing internal review by MTA","Queens"
"Kessel St from 75 Rd to Union Turnpike","2021-01-25T00:00:00.000","Community Board 6","One-way reversal","On-hold pending CB feedback","Queens"
"42 Ave from Junction Blvd to 94 St","2021-12-03T00:00:00.000","NYPD","One-way conversion","Denied by NYCDOT","Queens"
"31 Pl from 47 Ave to 48 Ave","2021-08-04T00:00:00.000","Community Board 2","One-way conversion","On-hold pending CB feedback","Queens"
"64 Ave from 63 Ave to 138 St","2021-05-17T00:00:00.000","Community Board 7","One-way conversion","Denied by NYCDOT","Queens"
"41 St from Northern Blvd to 36 Ave","2021-06-21T00:00:00.000","Initiated by NYCDOT","One-way conversion","On-hold pending CB feedback","Queens"
"Barker St from Woodruff Ln to Castleton Ave","2019-09-16T00:00:00.000","Elected Official","One-way conversion","Denied by NYCDOT","Staten Island"
"Crystal Ave from Watchogue Rd to Victory Blvd","2019-09-24T00:00:00.000","Citizen Request*","One-way conversion","Denied by NYCDOT","Staten Island"
"Kensington Ave from McClean Ave to Foch Ave","2019-09-24T00:00:00.000","Citizen Request*","One-way conversion","Denied by NYCDOT","Staten Island"
"Jeannette Ave from Annadale Rd to Arden Ave","2019-09-30T00:00:00.000","Elected Official","One-way conversion","Denied by NYCDOT","Staten Island"
"Carlton Ave from Foster Rd to Vernon Ave","2019-10-02T00:00:00.000","Elected official and Community Board 3","One-way conversion","Denied by NYCDOT","Staten Island"
"South Railroad Rd from Guyon Ave to Montreal Ave","2019-10-23T00:00:00.000","Citizen Request*","One-way conversion","Denied by NYCDOT","Staten Island"
"Treadwell Ave from Bend to Hatfield Pl","2019-11-12T00:00:00.000","Citizen Request*","One-way conversion","Denied by NYCDOT","Staten Island"
"Beach Rd from Old Amboy Rd to Pacific Ave","2019-11-25T00:00:00.000","Elected Official","Two-way conversion","Denied by NYCDOT","Staten Island"
"North Railroad Ave from Old Town Rd to Tacoma St","2019-12-02T00:00:00.000","Elected Official","One-way conversion","Denied by NYCDOT","Staten Island"
"Edgegrove Ave from Arden Ave to Jefferson Blvd","2019-12-09T00:00:00.000","Initiated by NYCDOT","One-way conversion","Implemented by NYCDOT","Staten Island"
"Gurdon St from Crystal Ave to Wooley Ave","2020-01-02T00:00:00.000","Citizen Request*","One-way conversion","Denied by NYCDOT","Staten Island"
"Harold St from Roosevelt Ave to Fillmore Ave","2020-02-25T00:00:00.000","Citizen Request*","One-way conversion","Denied by NYCDOT","Staten Island"
"Travis Ave from Mulberry Ave to Draper Pl","2020-03-10T00:00:00.000","Citizen Request*","One-way conversion","Denied by NYCDOT","Staten Island"
"Dierauf St from Kenmore St to Woodrow Rd","2020-05-26T00:00:00.000","Citizen Request*","One-way conversion","Denied by NYCDOT","Staten Island"
"Arthur Ave from Cedar Ave to McClean Ave","2020-09-25T00:00:00.000","Elected Official","One-way reversal","Denied by NYCDOT","Staten Island"
"Gillard Ave from Arden Ave to Bovanizer St","2020-10-19T00:00:00.000","Elected Official","One-way conversion","Denied by NYCDOT","Staten Island"
"Figurea Ave from Annadale Rd to Lovelace Ave","2021-12-02T00:00:00.000","Community Board 3","One-way reversal","Denied by NYCDOT","Staten Island"
"Grove Street from Gordon Street to Court Street","2021-04-19T00:00:00.000","Community Board 1","One-way conversion","On-hold pending CB feedback","Staten Island"
"Boyd Street from Cedar Street to Wright Street","2021-04-19T00:00:00.000","Community Board 1","One-way conversion","On-hold pending CB feedback","Staten Island"
"William Ave from Russell Street to King Street","2021-06-04T00:00:00.000","Elected Official","One-way reversal","On-hold pending CB feedback","Staten Island"
"Sneden Ave from Barclay Ave to Annadale Road","2021-05-26T00:00:00.000","Elected Official","One-way conversion","Implemented on 7/6/2021","Staten Island"
"Boynton Avenue from Story Avenue to Lafayette Avenue","2021-07-02T00:00:00.000","Initiated by NYC DOT","One-way conversion","Implemented on 9/13/2021","Bronx"
"Taylor Avenue from Lafayette Avenue to Bruckner Boulevard","2021-07-02T00:00:00.000","Initiated by NYC DOT","One-way conversion","Implemented on 9/13/2021","Bronx"
"Rhinelander Avenue from White Plains Road to Unionport Road","2021-12-30T00:00:00.000","Community Board 11","One-way conversion","On-hold pending Community Board feedback","Bronx"
"East 175 Street from Southern Boulevard to Trafalgar Place","2022-06-28T00:00:00.000","Community Board 3","One-way conversion","Undergoing internal review by NYC DOT","Bronx"
"Homecrest Avenue from Avenue Z to Shore Parkway","2021-07-01T00:00:00.000","Community Board 15","One-way conversion","Denied by NYC DOT","Brooklyn"
"Ashland Place from Hanson Place to Dekalb Avenue","2021-09-13T00:00:00.000","Initiated by NYC DOT","One-way conversion","Undergoing internal review by NYC DOT","Brooklyn"
"Hanson Place from St. Felix Street to Ashland Place","2021-09-13T00:00:00.000","Initiated by NYC DOT","One-way conversion","Undergoing internal review by NYC DOT","Brooklyn"
"Dinsmore Place from Logan Street to Chestnut Street","2021-10-04T00:00:00.000","Initiated by NYC DOT","One-way conversion","Denied by NYC DOT","Brooklyn"
"Richmond Street from Fulton Street to Dinsmore Place","2021-10-04T00:00:00.000","Initiated by NYC DOT","One-way conversion","Denied by NYC DOT","Brooklyn"
"Seeley Street from McDonald Avenue to Prospect Park Southwest","2021-11-03T00:00:00.000","Community Board 7","One-way conversion","Undergoing internal review by NYC DOT","Brooklyn"
"20 Street from Terrace Place to Vanderbilt Avenue","2021-12-20T00:00:00.000","Elected Official","One-way conversion","Undergoing internal review by NYC DOT","Brooklyn"
"Chauncey Street from Evergreen Avenue to Central Avenue","2022-03-07T00:00:00.000","Community Board 4","One-way conversion","Denied by NYC DOT","Brooklyn"
"Berry Street from Broadway to South 6 Street","2022-03-10T00:00:00.000","Initiated by NYC DOT","One-way reversal","On-hold pending Community Board feedback","Brooklyn"
"Berry Street from Grand Street to Metropolitan Avenue","2022-03-10T00:00:00.000","Initiated by NYC DOT","One-way reversal","On-hold pending Community Board feedback","Brooklyn"
"Berry Street from North 3 Street to North 4 Street","2022-03-10T00:00:00.000","Initiated by NYC DOT","One-way reversal","On-hold pending Community Board feedback","Brooklyn"
"Berry Street from North 6 Street to North 7 Street","2022-03-10T00:00:00.000","Initiated by NYC DOT","One-way reversal","On-hold pending Community Board feedback","Brooklyn"
"Underhill Avenue from Bergen Street to St. Marks Avenue","2022-05-04T00:00:00.000","Initiated by NYC DOT","One-way conversion","Undergoing internal review by NYC DOT","Brooklyn"
"Underhill Avenue from Prospect Place to Park Place","2022-05-04T00:00:00.000","Initiated by NYC DOT","One-way conversion","Undergoing internal review by NYC DOT","Brooklyn"
"Underhill Avenue from St. Johns Place to Eastern Parkway","2022-05-04T00:00:00.000","Initiated by NYC DOT","One-way conversion","Undergoing internal review by NYC DOT","Brooklyn"
"Seaman Avenue from Riverside Drive to Dyckman Street","2021-07-23T00:00:00.000","Initiated by NYC DOT","Two-way conversion","Approved and awaiting implementation","Manhattan"
"West 133 Street from Broadway to 12 Avenue","2022-03-30T00:00:00.000","Initiated by NYC DOT","One-way conversion","Denied by NYC DOT","Manhattan"
"5 Street from 50 Avenue to Borden Avenue","2021-07-06T00:00:00.000","Community Board 2","One-way conversion","Approved and awaiting implementation","Queens"
"39 Avenue from Woodside Avenue to 52 Street","2021-07-15T00:00:00.000","Initiated by NYC DOT","One-way conversion","Implemented 9/2021","Queens"
"39 Avenue from 51 Street to 50 Street","2021-07-15T00:00:00.000","Initiated by NYC DOT","One-way conversion","Implemented 9/2021","Queens"
"39 Avenue from 49 Street to 50 Street","2021-07-15T00:00:00.000","Initiated by NYC DOT","One-way conversion","Implemented 9/2021","Queens"
"39 Avenue from 47 Street to Barnett Avenue","2021-07-15T00:00:00.000","Initiated by NYC DOT","One-way conversion","Implemented 9/2021","Queens"
"Barnett Avenue from 39 Avenue to 48 Street","2021-07-15T00:00:00.000","Initiated by NYC DOT","One-way conversion","Implemented 9/2021","Queens"
"Newtown Avenue from Astoria Boulevard to 23 Street","2021-09-14T00:00:00.000","Initiated by NYC DOT","One-way conversion","Approved and awaiting implementation","Queens"
"60 Lane from Cooper Avenue to 75 Avenue","2021-09-21T00:00:00.000","Initiated by NYC DOT","One-way conversion","On-hold pending Community Board feedback","Queens"
"37 Street from Bradley Avenue to Review Avenue","2021-10-01T00:00:00.000","Community Board 2","One-way reversal","Undergoing internal review by NYC DOT","Queens"
"225 Street from 103 Avenue to 104 Avenue","2021-11-24T00:00:00.000","Community Board 13","One-way conversion","Denied by NYC DOT","Queens"
"77 Road from Austin Street to Kew Gardens Lane","2021-12-07T00:00:00.000","Elected Official","One-way conversion","Undergoing internal review by NYC DOT","Queens"
"64 Place from Cooper Avenue to Cypress Hills Street","2021-12-14T00:00:00.000","Community Board 5","One-way conversion","On-hold pending Community Board feedback","Queens"
"64 Street from 75 Avenue to Cooper Avenue","2021-12-14T00:00:00.000","Community Board 5","One-way conversion","On-hold pending Community Board feedback","Queens"
"112 Avenue from 199 Street to 200 Street","2021-12-20T00:00:00.000","Elected Official","One-way conversion","Denied by NYC DOT","Queens"
"63 Street from 50 Avenue to Laurel Hill Boulevard","2022-01-06T00:00:00.000","Community Board 2","One-way reversal","Approved and awaiting implementation","Queens"
"65 Street from 48 Avenue to Laurel Hill Boulevard","2022-01-06T00:00:00.000","Community Board 2","One-way conversion","Approved and awaiting implementation","Queens"
"56 Drive from 56 Street to 58 Street","2022-02-23T00:00:00.000","Initiated by NYC DOT","One-way conversion","Approved and awaiting implementation","Queens"
"Reeder Street from Queens Boulevard to 51 Avenue","2022-03-10T00:00:00.000","Community Board 4","One-way conversion","Denied by NYC DOT","Queens"
"Grandview Avenue from Gates Avenue to Forest Avenue","2022-04-15T00:00:00.000","Initiated by NYC DOT","One-way conversion","Undergoing internal review by NYC DOT","Queens"
"78 Street from 34 Avenue to 35 Avenue","2022-04-19T00:00:00.000","Initiated by NYC DOT/Elected Official","Partial two-way conversion","Implemented on 7/12/2022","Queens"
"34 Avenue from 69 Street to 70 Street","2022-04-19T00:00:00.000","Initiated by NYC DOT","One-way conversion","Approved and awaiting implementation","Queens"
"34 Avenue from 73 Street to 74 Street","2022-04-19T00:00:00.000","Initiated by NYC DOT","One-way conversion","Approved and awaiting implementation","Queens"
"34 Avenue from 78 Street to 79 Street","2022-04-19T00:00:00.000","Initiated by NYC DOT","One-way conversion","Approved and awaiting implementation","Queens"
"Kessel Street from Ascan Avenue to 75 Road","2022-05-31T00:00:00.000","Community Board 6","Two-way conversion","Undergoing internal review by NYC DOT","Queens"
"Joline Avenue from Hylan Boulevard to Amboy Road","2021-07-20T00:00:00.000","Elected Official & Community Board 3","One-way conversion","Denied by NYC DOT","Staten Island"
"Great Kills Road from Hylan Boulevard to Coral Court","2021-08-04T00:00:00.000","Elected Official","One-way conversion","Denied by NYC DOT","Staten Island"
"Wiman Avenue from Hillcrest Street to Hylan Boulevard","2021-08-12T00:00:00.000","Elected Official","Two-way conversion","Undergoing internal review by NYC DOT","Staten Island"
"Brook Street from Fremont Street to Westervelt Avenue","2022-01-01T00:00:00.000","Initiated by NYC DOT","One-way conversion","Approved and awaiting implementation","Staten Island"
"Swinnerton Street from Amboy Road to Hylan Boulevard","2022-02-16T00:00:00.000","Community Board 3","Two-way conversion","Approved and awaiting implementation","Staten Island"
"Farview Place from Todt Hill Road to Cromwell Circle","2022-04-26T00:00:00.000","Community Board 2","One-way conversion","Denied by NYC DOT","Staten Island"
"Wolcott Avenue from Drumgoole Road West to Annadale Road","2022-06-03T00:00:00.000","Elected Official","One-way conversion","Undergoing internal review by NYC DOT","Staten Island"
