"dbn","district","school_name","is_org_split_sited","building_id_s","transfer_school","total_enrollment","grades_3k_5_enrollment","grades_6_8_enrollment","grades_9_12_enrollment","asian","black","hispanic","multiracial","native_american","white","missing_race_ethnicity_data","swd","ell","poverty","_2018_19_ela_tested","_2018_19_ela_proficient_l3","_2018_19_ela_proficient_l3_1","_2018_19_math_tested","_2018_19_math_proficient","_2018_19_math_proficient_1","_2019_20_total_4_year_august","_2019_20_4_year_august","_2019_20_total_6_year_grad","_2019_20_6_year_graduates"
"01M364","1","Earth School",,"M064","false","291","291","0","0","0.065","0.124","0.405","0.113","0.0","0.292","0.0","0.278","0.027","0.553","32","7","21.9%","28","5","17.9%",,,,
"01M378","1","School for Global Leaders",,"M025","false","185","0","185","0","0.076","0.184","0.622","0.022","0.011","0.086","0.0","0.351","0.124","0.865","198","64","32.3%","209","73","34.9%",,,,
"01M450","1","East Side Community School",,"M060","false","681","0","304","377","0.079","0.147","0.549","0.018","0.007","0.2","0.0","0.273","0.013","0.664","248","156","62.9%","243","144","59.3%","89","96.6%","92","97.8%"
"01M458","1","Forsyth Satellite Academy",,"M510","true","149","0","0","149","0.034","0.362","0.564","0.0","0.007","0.034","0.0","0.389","0.081","0.886",,,,,,,"67","37.3%","85","64.7%"
"01M515","1","Lower East Side Preparatory High School",,"M025","true","481","0","0","481","0.416","0.098","0.455","0.0","0.004","0.027","0.0","0.1","0.744","0.748",,,,,,,"284","41.9%","232","55.6%"
"01M650","1","Cascades High School",,"M510","true","167","0","0","167","0.024","0.335","0.617","0.006","0.006","0.012","0.0","0.329","0.078","0.838",,,,,,,"99","35.4%","117","59.0%"
"01M839","1","Tompkins Square Middle School",,"M064","false","354","0","354","0","0.169","0.15","0.441","0.017","0.003","0.22","0.0","0.285","0.042","0.661","286","175","61.2%","262","143","54.6%",,,,
"02M033","2","P.S. 033 Chelsea Prep",,"M033","false","555","555","0","0","0.277","0.169","0.267","0.076","0.011","0.2","0.0","0.157","0.061","0.494","286","183","64.0%","285","183","64.2%",,,,
"02M040","2","P.S. 040 Augustus Saint-Gaudens",,"M040","false","634","634","0","0","0.153","0.021","0.155","0.088","0.002","0.58","0.002","0.131","0.019","0.12","270","236","87.4%","274","237","86.5%",,,,
"02M047","2","47 The American Sign Language and English Secondary School",,"M047","false","222","0","0","222","0.018","0.23","0.716","0.0","0.009","0.023","0.005","0.261","0.068","0.869",,,,,,,"48","100.0%","34","94.1%"
"02M051","2","P.S. 051 Elias Howe",,"M338","false","467","467","0","0","0.133","0.165","0.482","0.024","0.002","0.195","0.0","0.199","0.084","0.565","166","75","45.2%","161","82","50.9%",,,,
"02M059","2","P.S. 059 Beekman Hill International",,"M488","false","587","587","0","0","0.221","0.02","0.089","0.082","0.009","0.579","0.0","0.153","0.063","0.077","251","220","87.6%","263","223","84.8%",,,,
"02M077","2","P.S. 77 Lower Lab School",,"M198","false","351","351","0","0","0.447","0.0","0.048","0.137","0.0","0.365","0.003","0.054","0.009","0.1","185","181","97.8%","185","183","98.9%",,,,
"02M089","2","P.S. 89",,"M089","false","340","340","0","0","0.221","0.009","0.094","0.112","0.006","0.559","0.0","0.147","0.076","0.05","173","147","85.0%","173","151","87.3%",,,,
"02M111","2","P.S. 111 Adolph S. Ochs",,"M111","false","396","396","0","0","0.144","0.149","0.487","0.018","0.005","0.194","0.003","0.235","0.101","0.596","179","92","51.4%","179","85","47.5%",,,,
"02M114","2","East Side Middle School",,"M114","false","435","0","435","0","0.198","0.037","0.115","0.048","0.007","0.575","0.021","0.189","0.002","0.168","437","413","94.5%","294","283","96.3%",,,,
"02M131","2","M.S. 131",,"M131","false","252","0","252","0","0.611","0.143","0.214","0.004","0.0","0.028","0.0","0.298","0.27","0.861","358","176","49.2%","375","239","63.7%",,,,
"02M135","2","The Urban Assembly School for Emergency Management",,"M520","false","272","0","0","272","0.055","0.298","0.599","0.004","0.011","0.026","0.007","0.217","0.074","0.86",,,,,,,"62","93.5%","73","80.8%"
"02M139","2","Stephen T. Mather Building Arts & Craftsmanship High School",,"M625","false","406","0","0","406","0.042","0.249","0.623","0.005","0.022","0.042","0.017","0.296","0.071","0.82",,,,,,,"97","84.5%","97","83.5%"
"02M158","2","P.S. 158 Bayard Taylor",,"M158","false","667","667","0","0","0.13","0.022","0.079","0.066","0.004","0.697","0.0","0.163","0.067","0.079","325","273","84.0%","329","269","81.8%",,,,
"02M177","2","Yorkville East Middle School",,"M158","false","240","0","240","0","0.104","0.083","0.188","0.038","0.0","0.558","0.029","0.267","0.021","0.267","211","159","75.4%","146","121","82.9%",,,,
"02M198","2","P.S. 198 Isador E. Ida Straus",,"M198","false","460","460","0","0","0.178","0.078","0.243","0.043","0.011","0.443","0.002","0.211","0.065","0.372","190","132","69.5%","194","138","71.1%",,,,
"02M212","2","P.S. 212 Midtown West",,"M017","false","328","328","0","0","0.168","0.082","0.277","0.085","0.0","0.387","0.0","0.116","0.018","0.262","141","110","78.0%","142","107","75.4%",,,,
"02M225","2","Ella Baker School",,"M480","false","343","267","76","0","0.093","0.143","0.292","0.073","0.032","0.367","0.0","0.222","0.012","0.259","87","67","77.0%","87","51","58.6%",,,,
"02M255","2","M.S. 255 Salk School of Science",,"M040","false","361","0","361","0","0.241","0.008","0.102","0.078","0.003","0.565","0.003","0.177","0.006","0.15","386","363","94.0%","381","351","92.1%",,,,
"02M276","2","Battery Park City School",,"M276","false","791","505","286","0","0.228","0.028","0.115","0.094","0.0","0.535","0.001","0.183","0.037","0.147","514","398","77.4%","443","366","82.6%",,,,
"02M280","2","Manhattan Early College School for Advertising",,"M520","false","460","0","0","460","0.107","0.326","0.487","0.004","0.011","0.043","0.022","0.18","0.059","0.75",,,,,,,"89","86.5%","84","97.6%"
"02M281","2","The River School",,"M281","false","459","459","0","0","0.312","0.083","0.153","0.046","0.007","0.399","0.002","0.163","0.153","0.216","87","71","81.6%","92","79","85.9%",,,,
"02M282","2","Urban Assembly Maker Academy",,"M520","false","484","0","0","484","0.087","0.302","0.473","0.008","0.006","0.103","0.021","0.211","0.064","0.686",,,,,,,"92","89.1%","91","93.4%"
"02M288","2","Food and Finance High School",,"M535","false","417","0","0","417","0.053","0.321","0.564","0.0","0.005","0.038","0.019","0.228","0.046","0.801",,,,,,,"88","84.1%","81","91.4%"
"02M289","2","I.S. 289",,"M089","false","263","0","263","0","0.513","0.053","0.19","0.023","0.004","0.209","0.008","0.221","0.053","0.551","259","193","74.5%","259","186","71.8%",,,,
"02M294","2","Essex Street Academy",,"M445","false","370","0","0","370","0.081","0.27","0.432","0.014","0.008","0.159","0.035","0.268","0.027","0.678",,,,,,,"67","97.0%","83","91.6%"
"02M296","2","High School of Hospitality Management",,"M535","false","322","0","0","322","0.059","0.224","0.693","0.003","0.012","0.009","0.0","0.224","0.102","0.851",,,,,,,"85","75.3%","78","88.5%"
"02M297","2","M.S. 297",,"M323","false","818","0","818","0","0.087","0.117","0.295","0.043","0.006","0.447","0.005","0.22","0.024","0.412","522","342","65.5%","527","320","60.7%",,,,
"02M298","2","Pace High School",,"M131","false","595","0","0","595","0.084","0.319","0.518","0.005","0.015","0.054","0.005","0.213","0.049","0.808",,,,,,,"131","90.1%","109","93.6%"
"02M300","2","Urban Assembly School of Design and Construction, The",,"M535","false","257","0","0","257","0.058","0.202","0.693","0.0","0.0","0.039","0.008","0.28","0.078","0.817",,,,,,,"69","69.6%","81","79.0%"
"02M303","2","Facing History School, The",,"M535","false","331","0","0","331","0.015","0.272","0.637","0.009","0.006","0.039","0.021","0.296","0.13","0.807",,,,,,,"114","83.3%","104","75.0%"
"02M305","2","Urban Assembly Academy of Government and Law, The",,"M445","false","349","0","0","349","0.074","0.367","0.513","0.0","0.011","0.026","0.009","0.209","0.043","0.874",,,,,,,"64","89.1%","55","87.3%"
"02M308","2","Lower Manhattan Arts Academy",,"M445","false","346","0","0","346","0.081","0.301","0.578","0.0","0.012","0.029","0.0","0.312","0.064","0.829",,,,,,,"70","85.7%","74","91.9%"
"02M312","2","New York City Lab Middle School for Collaborative Studies",,"M070","false","574","0","574","0","0.552","0.017","0.07","0.068","0.002","0.275","0.016","0.141","0.01","0.26","542","497","91.7%","415","384","92.5%",,,,
"02M313","2","James Baldwin School, The: A School for Expeditionary Learning",,"M440","true","210","0","0","210","0.024","0.443","0.481","0.01","0.005","0.033","0.005","0.338","0.09","0.829",,,,,,,"83","24.1%","141","62.4%"
"02M316","2","Urban Assembly School of Business for Young Women, the",,"M282","false","147","0","0","147","0.068","0.367","0.469","0.02","0.014","0.048","0.014","0.17","0.136","0.878",,,,,,,"49","83.7%","62","80.6%"
"02M340","2","Sixth Avenue Elementary School",,"M340","false","355","355","0","0","0.093","0.037","0.115","0.155","0.0","0.6","0.0","0.177","0.003","0.124","77","57","74.0%","77","57","74.0%",,,,
"02M343","2","The Peck Slip School",,"M343","false","424","424","0","0","0.182","0.066","0.146","0.132","0.0","0.474","0.0","0.165","0.019","0.156","171","138","80.7%","172","127","73.8%",,,,
"02M347","2","The 47 American Sign Language & English Lower School",,"M047","false","192","148","44","0","0.031","0.214","0.479","0.047","0.005","0.219","0.005","0.516","0.141","0.667","50","32","64.0%","43","22","51.2%",,,,
"02M374","2","Gramercy Arts High School",,"M460","false","483","0","0","483","0.06","0.317","0.52","0.014","0.006","0.062","0.021","0.207","0.037","0.81",,,,,,,"110","95.5%","111","90.1%"
"02M376","2","NYC iSchool",,"M615","false","489","0","0","489","0.082","0.123","0.258","0.031","0.012","0.446","0.049","0.215","0.012","0.44",,,,,,,"101","98.0%","111","100.0%"
"02M391","2","District 2 Pre-K Center","true","M343, M391, M444, M453, M471, M474, M491, M860","false","527","527","0","0","0.243","0.044","0.123","0.053","0.0","0.537","0.0","0.133","0.0","0.152",,,,,,,,,,
"02M392","2","Manhattan Business Academy",,"M440","false","404","0","0","404","0.045","0.23","0.666","0.0","0.007","0.042","0.01","0.208","0.101","0.812",,,,,,,"101","92.1%","95","90.5%"
"02M393","2","Business Of Sports School",,"M625","false","447","0","0","447","0.004","0.347","0.613","0.007","0.009","0.02","0.0","0.233","0.078","0.848",,,,,,,"101","83.2%","91","91.2%"
"02M394","2","Emma Lazarus High School",,"M131","true","246","0","0","246","0.35","0.26","0.309","0.0","0.012","0.069","0.0","0.0","0.915","0.919",,,,,,,"141","52.5%","99","64.6%"
"02M397","2","Spruce Street School",,"M971","false","492","321","171","0","0.195","0.039","0.171","0.096","0.01","0.484","0.006","0.22","0.03","0.183","311","248","79.7%","240","200","83.3%",,,,
"02M399","2","The High School For Language And Diplomacy",,"M460","false","239","0","0","239","0.134","0.209","0.569","0.004","0.004","0.063","0.017","0.192","0.105","0.778",,,,,,,"68","80.9%","117","88.9%"
"02M400","2","High School for Environmental Studies",,"M834","false","1185","0","0","1185","0.121","0.132","0.621","0.011","0.009","0.093","0.014","0.169","0.069","0.758",,,,,,,"247","89.5%","283","90.5%"
"02M407","2","Institute for Collaborative Education",,"M475","false","496","0","210","286","0.048","0.224","0.228","0.044","0.002","0.442","0.012","0.208","0.002","0.302","22","17","77.3%","20","16","80.0%","65","98.5%","68","98.5%"
"02M408","2","Professional Performing Arts High School",,"M017","false","563","0","91","472","0.066","0.192","0.226","0.055","0.007","0.43","0.025","0.201","0.005","0.337","79","63","79.7%","59","44","74.6%","115","97.4%","122","97.5%"
"02M412","2","N.Y.C. Lab School for Collaborative Studies",,"M070","false","483","0","0","483","0.226","0.021","0.112","0.062","0.002","0.555","0.023","0.205","0.006","0.317",,,,,,,"128","98.4%","124","100.0%"
"02M414","2","N.Y.C. Museum School",,"M070","false","443","0","0","443","0.205","0.122","0.248","0.027","0.011","0.35","0.036","0.228","0.005","0.4",,,,,,,"114","97.4%","114","98.2%"
"02M419","2","Landmark High School",,"M440","false","368","0","0","368","0.03","0.261","0.622","0.003","0.014","0.054","0.016","0.253","0.101","0.861",,,,,,,"84","71.4%","63","90.5%"
"02M420","2","High School for Health Professions and Human Services",,"M475","false","1780","0","0","1780","0.221","0.142","0.531","0.003","0.01","0.081","0.012","0.146","0.052","0.743",,,,,,,"437","96.3%","385","95.8%"
"02M422","2","Quest to Learn",,"M440","false","609","0","232","377","0.097","0.273","0.422","0.034","0.003","0.163","0.008","0.274","0.03","0.688","137","62","45.3%","129","32","24.8%","78","74.4%","76","89.5%"
"02M427","2","Manhattan Academy For Arts & Language",,"M620","false","188","0","0","188","0.011","0.021","0.936","0.0","0.0","0.021","0.011","0.085","0.654","0.984",,,,,,,"52","84.6%","65","81.5%"
"02M432","2","Murray Hill Academy",,"M620","true","266","0","0","266","0.105","0.248","0.496","0.004","0.015","0.105","0.026","0.241","0.023","0.801",,,,,,,"84","86.9%","60","85.0%"
"02M437","2","Hudson High School of Learning Technologies",,"M440","false","367","0","0","367","0.068","0.259","0.627","0.0","0.005","0.027","0.014","0.245","0.079","0.831",,,,,,,"113","87.6%","105","81.0%"
"02M438","2","International High School at Union Square",,"M460","false","307","0","0","307","0.143","0.189","0.564","0.0","0.003","0.101","0.0","0.039","0.821","0.919",,,,,,,"88","85.2%","68","79.4%"
"02M449","2","Vanguard High School",,"M480","false","428","0","0","428","0.049","0.276","0.577","0.016","0.002","0.061","0.019","0.215","0.026","0.715",,,,,,,"109","80.7%","117","87.2%"
"02M459","2","Manhattan International High School",,"M480","false","298","0","0","298","0.178","0.195","0.466","0.003","0.0","0.151","0.007","0.02","0.772","0.718",,,,,,,"81","69.1%","73","86.3%"
"02M475","2","Stuyvesant High School",,"M477","false","3342","0","0","3342","0.714","0.014","0.038","0.032","0.007","0.176","0.02","0.006","0.0","0.454",,,,,,,"839","99.6%","823","99.6%"
"02M500","2","Unity Center for Urban Technologies",,"M620","false","314","0","0","314","0.099","0.201","0.627","0.003","0.01","0.051","0.01","0.188","0.07","0.892",,,,,,,"49","91.8%","66","92.4%"
"02M507","2","Urban Assembly Gateway School for Technology",,"M625","false","456","0","0","456","0.039","0.23","0.614","0.009","0.013","0.083","0.011","0.254","0.061","0.654",,,,,,,"110","97.3%","98","95.9%"
"02M519","2","Talent Unlimited High School",,"M480","false","523","0","0","523","0.04","0.241","0.474","0.017","0.002","0.159","0.067","0.147","0.011","0.522",,,,,,,"128","96.9%","115","98.3%"
"02M520","2","Murry Bergtraum High School for Business Careers",,"M520","false","130","0","0","130","0.085","0.531","0.323","0.008","0.023","0.015","0.015","0.154","0.023","0.838",,,,,,,"39","69.2%","75","82.7%"
"02M533","2","Union Square Academy for Health Sciences",,"M460","false","423","0","0","423","0.095","0.182","0.655","0.005","0.005","0.052","0.007","0.177","0.059","0.839",,,,,,,"79","93.7%","86","95.3%"
"02M542","2","Manhattan Bridges High School",,"M535","false","514","0","0","514","0.0","0.004","0.99","0.002","0.0","0.002","0.002","0.07","0.449","0.875",,,,,,,"127","89.8%","122","97.5%"
"02M543","2","New Design High School",,"M445","false","511","0","0","511","0.061","0.323","0.581","0.002","0.0","0.025","0.008","0.254","0.047","0.8",,,,,,,"100","81.0%","91","92.3%"
"02M544","2","Independence High School",,"M834","true","315","0","0","315","0.025","0.343","0.578","0.0","0.01","0.044","0.0","0.327","0.089","0.879",,,,,,,"152","21.1%","147","46.9%"
"02M545","2","High School for Dual Language and Asian Studies",,"M445","false","403","0","0","403","0.908","0.012","0.035","0.005","0.0","0.032","0.007","0.057","0.196","0.844",,,,,,,"101","99.0%","98","100.0%"
"02M546","2","Academy for Software Engineering",,"M460","false","447","0","0","447","0.11","0.242","0.532","0.007","0.009","0.085","0.016","0.264","0.047","0.669",,,,,,,"110","94.5%","113","92.9%"
"02M560","2","High School M560 - City As School",,"M641","true","554","0","0","554","0.038","0.357","0.424","0.031","0.004","0.146","0.0","0.307","0.043","0.731",,,,,,,"262","39.7%","301","60.5%"
"02M565","2","Urban Academy Laboratory High School",,"M480","true","144","0","0","144","0.056","0.264","0.375","0.021","0.014","0.271","0.0","0.25","0.014","0.611",,,,,,,"36","38.9%","48","83.3%"
"02M580","2","Richard R. Green High School of Teaching",,"M282","false","287","0","0","287","0.07","0.279","0.596","0.007","0.007","0.031","0.01","0.24","0.052","0.85",,,,,,,"135","82.2%","115","80.0%"
"02M586","2","Harvey Milk High School",,"M807","true","59","0","0","59","0.034","0.339","0.542","0.0","0.0","0.085","0.0","0.339","0.017","0.881",,,,,,,"31","32.3%","38","52.6%"
"02M605","2","Humanities Preparatory Academy",,"M440","true","261","0","0","261","0.088","0.211","0.582","0.011","0.011","0.08","0.015","0.199","0.042","0.808",,,,,,,"53","96.2%","56","89.3%"
"02M615","2","Chelsea Career and Technical Education High School",,"M615","false","458","0","0","458","0.133","0.225","0.574","0.004","0.011","0.037","0.015","0.24","0.048","0.843",,,,,,,"97","88.7%","93","90.3%"
"02M630","2","Art and Design High School",,"M488","false","1507","0","0","1507","0.098","0.131","0.472","0.046","0.005","0.214","0.033","0.218","0.009","0.55",,,,,,,"359","94.2%","363","93.4%"
"02M655","2","Life Sciences Secondary School",,"M645","false","352","0","0","352","0.082","0.241","0.605","0.009","0.011","0.045","0.006","0.281","0.102","0.821",,,,,,,"132","79.5%","113","85.0%"
"02M896","2","Lower Manhattan Community Middle School",,"M282","false","378","0","378","0","0.413","0.069","0.146","0.05","0.005","0.312","0.005","0.265","0.053","0.513","347","248","71.5%","348","230","66.1%",,,,
"02M933","2","City Knoll Middle School",,"M111","false","129","0","129","0","0.039","0.163","0.667","0.0","0.008","0.124","0.0","0.302","0.163","0.86","163","51","31.3%","161","37","23.0%",,,,
"03M009","3","P.S. 009 Sarah Anderson",,"M009","false","514","514","0","0","0.091","0.047","0.204","0.078","0.006","0.568","0.006","0.206","0.041","0.195","290","232","80.0%","294","241","82.0%",,,,
"03M075","3","P.S. 075 Emily Dickinson",,"M075","false","479","479","0","0","0.017","0.186","0.557","0.033","0.004","0.198","0.004","0.453","0.134","0.685","243","122","50.2%","241","131","54.4%",,,,
"03M076","3","P.S. 076 A. Philip Randolph",,"M076","false","303","173","130","0","0.01","0.739","0.191","0.01","0.01","0.04","0.0","0.241","0.129","0.977","236","70","29.7%","221","27","12.2%",,,,
"03M145","3","P.S. 145, The Bloomingdale School",,"M145","false","393","393","0","0","0.013","0.249","0.471","0.018","0.0","0.247","0.003","0.28","0.081","0.682","143","28","19.6%","144","28","19.4%",,,,
"03M149","3","P.S. 149 Sojourner Truth",,"M149","false","203","115","88","0","0.064","0.547","0.33","0.01","0.015","0.034","0.0","0.271","0.128","0.911","145","38","26.2%","146","31","21.2%",,,,
"03M165","3","P.S. 165 Robert E. Simon",,"M165","false","381","381","0","0","0.076","0.157","0.509","0.013","0.0","0.244","0.0","0.199","0.066","0.625","193","97","50.3%","198","111","56.1%",,,,
"03M185","3","The Locke School of Arts and Engineering",,"M185","false","321","321","0","0","0.037","0.517","0.308","0.022","0.006","0.109","0.0","0.268","0.028","0.798","126","33","26.2%","128","24","18.8%",,,,
"03M241","3","STEM Institute of Manhattan",,"M113","false","102","102","0","0","0.02","0.588","0.275","0.01","0.0","0.098","0.01","0.353","0.118","0.912","70","15","21.4%","71","15","21.1%",,,,
"03M242","3","P.S. 242 - The Young Diplomats Magnet Academy",,"M144","false","144","144","0","0","0.021","0.66","0.271","0.021","0.0","0.028","0.0","0.292","0.09","0.868","47","7","14.9%","48","6","12.5%",,,,
"03M243","3","M.S. 243 Center School",,"M009","false","255","66","189","0","0.055","0.149","0.196","0.035","0.0","0.557","0.008","0.196","0.012","0.169","222","203","91.4%","174","149","85.6%",,,,
"03M245","3","M.S. M245 The Computer School",,"M044","false","389","0","389","0","0.044","0.116","0.306","0.067","0.003","0.455","0.01","0.216","0.015","0.303","369","301","81.6%","289","209","72.3%",,,,
"03M247","3","M.S. M247 Dual Language Middle School",,"M044","false","230","0","230","0","0.009","0.013","0.93","0.004","0.0","0.043","0.0","0.252","0.257","0.822","178","83","46.6%","184","87","47.3%",,,,
"03M250","3","M.S. 250 West Side Collaborative Middle School",,"M075","false","110","0","110","0","0.009","0.327","0.564","0.018","0.009","0.064","0.009","0.436","0.055","0.818","143","33","23.1%","141","24","17.0%",,,,
"03M256","3","Lafayette Academy",,"M118","false","178","0","178","0","0.022","0.303","0.281","0.034","0.006","0.348","0.006","0.208","0.096","0.618","135","74","54.8%","137","68","49.6%",,,,
"03M258","3","Community Action School - MS 258",,"M118","false","229","0","229","0","0.026","0.293","0.546","0.022","0.004","0.109","0.0","0.293","0.096","0.799","203","82","40.4%","133","46","34.6%",,,,
"03M299","3","The Maxine Greene HS for Imaginative Inquiry",,"M490","false","198","0","0","198","0.03","0.404","0.5","0.01","0.0","0.056","0.0","0.268","0.126","0.879",,,,,,,"102","71.6%","88","84.1%"
"03M307","3","Urban Assembly School for Media Studies, The",,"M490","false","372","0","0","372","0.019","0.298","0.64","0.003","0.008","0.019","0.013","0.164","0.046","0.841",,,,,,,"92","92.4%","102","82.4%"
"06M368","6","Hamilton Heights School",,"M153","false","208","208","0","0","0.034","0.216","0.433","0.038","0.0","0.279","0.0","0.183","0.139","0.582","90","27","30.0%","92","31","33.7%",,,,
"03M333","3","P.S. 333 Manhattan School for Children",,"M118","false","579","420","159","0","0.074","0.138","0.193","0.073","0.003","0.516","0.002","0.252","0.021","0.244","421","312","74.1%","372","266","71.5%",,,,
"03M334","3","The Anderson School",,"M044","false","517","336","181","0","0.333","0.019","0.077","0.122","0.0","0.449","0.0","0.097","0.004","0.11","329","319","97.0%","270","267","98.9%",,,,
"03M402","3","The Urban Assembly School for Green Careers",,"M470","false","302","0","0","302","0.033","0.258","0.646","0.0","0.007","0.05","0.007","0.272","0.103","0.851",,,,,,,"69","92.8%","85","91.8%"
"03M403","3","The Global Learning Collaborative",,"M470","false","464","0","0","464","0.024","0.185","0.754","0.002","0.004","0.022","0.009","0.22","0.129","0.849",,,,,,,"97","85.6%","102","86.3%"
"03M404","3","Innovation Diploma Plus",,"M470","true","155","0","0","155","0.013","0.335","0.632","0.0","0.006","0.013","0.0","0.135","0.11","0.858",,,,,,,"71","9.9%","111","63.1%"
"03M415","3","Wadleigh Secondary School for the Performing & Visual Arts",,"M088","false","361","0","79","282","0.008","0.446","0.479","0.008","0.017","0.025","0.017","0.213","0.05","0.828","68","25","36.8%","50","13","26.0%","42","95.2%","46","84.8%"
"03M417","3","Frank McCourt High School",,"M470","false","406","0","0","406","0.052","0.099","0.411","0.02","0.012","0.362","0.044","0.212","0.015","0.429",,,,,,,"101","92.1%","91","98.9%"
"03M421","3","West Prep Academy",,"M145","false","185","0","185","0","0.016","0.443","0.454","0.022","0.005","0.059","0.0","0.389","0.032","0.832","176","69","39.2%","124","31","25.0%",,,,
"03M479","3","Beacon High School",,"M912","false","1509","0","0","1509","0.118","0.148","0.232","0.032","0.009","0.384","0.078","0.148","0.0","0.322",,,,,,,"349","97.1%","319","99.1%"
"03M492","3","High School for Law, Advocacy and Community Justice",,"M490","false","401","0","0","401","0.052","0.274","0.596","0.005","0.017","0.035","0.02","0.177","0.062","0.87",,,,,,,"106","89.6%","112","83.9%"
"03M494","3","High School of Arts and Technology",,"M490","false","457","0","0","457","0.053","0.254","0.626","0.0","0.009","0.039","0.02","0.225","0.092","0.86",,,,,,,"111","77.5%","113","69.0%"
"03M505","3","Edward A. Reynolds West Side High School",,"M506","true","294","0","0","294","0.0","0.367","0.612","0.003","0.014","0.003","0.0","0.439","0.112","0.888",,,,,,,"165","16.4%","187","30.5%"
"03M541","3","Manhattan / Hunter Science High School",,"M490","false","452","0","0","452","0.283","0.157","0.294","0.02","0.009","0.197","0.04","0.164","0.011","0.659",,,,,,,"111","99.1%","113","98.2%"
"03M859","3","Special Music School","true","M490, M932","false","298","78","41","179","0.144","0.074","0.168","0.097","0.01","0.456","0.05","0.141","0.01","0.221","81","79","97.5%","68","67","98.5%","47","100.0%","45","100.0%"
"03M860","3","Frederick Douglass Academy II Secondary School",,"M088","false","336","0","90","246","0.009","0.628","0.31","0.003","0.024","0.027","0.0","0.28","0.068","0.86","55","15","27.3%","36","6","16.7%","73","87.7%","74","83.8%"
"03M862","3","Mott Hall II",,"M165","false","393","0","393","0","0.043","0.262","0.425","0.031","0.003","0.229","0.008","0.249","0.048","0.601","388","226","58.2%","261","116","44.4%",,,,
"04M012","4","Tag Young Scholars",,"M117","false","578","378","200","0","0.493","0.111","0.116","0.081","0.014","0.185","0.0","0.057","0.017","0.272","399","379","95.0%","316","307","97.2%",,,,
"04M037","4","River East Elementary",,"M045","false","272","272","0","0","0.015","0.441","0.471","0.029","0.004","0.04","0.0","0.257","0.066","0.809","99","36","36.4%","98","21","21.4%",,,,
"04M038","4","P.S. 38 Roberto Clemente",,"M121","false","206","206","0","0","0.029","0.379","0.51","0.0","0.01","0.073","0.0","0.272","0.102","0.893","110","21","19.1%","111","16","14.4%",,,,
"04M083","4","P.S. 083 Luis Munoz Rivera",,"M083","false","349","349","0","0","0.089","0.14","0.725","0.003","0.006","0.037","0.0","0.238","0.08","0.865","198","98","49.5%","195","109","55.9%",,,,
"04M102","4","P.S. 102 Jacques Cartier",,"M102","false","180","180","0","0","0.078","0.344","0.511","0.022","0.022","0.017","0.006","0.361","0.122","0.878","109","46","42.2%","108","45","41.7%",,,,
