"origid","name","address","borough","zipcode","facility_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"41118571","KANEVSKY ALEXANDER - DDS","312 NEPTUNE AVENUE","BROOKLYN","11235","Dental X-Ray","40.580983","-73.964515","313","48","36047036400","3244401","3086647504","BK19"
"40609821","DEBOCK MARK S. - DDS","7500 4 AVENUE","BROOKLYN","11209","Dental X-Ray","40.630724","-74.025136","310","43","36047006600","3148731","3059400038","BK31"
"40506752","GREENSPAN HOWARD DC","2692 FORD ST","BROOKLYN","11235","Non-Hospital X-Ray","40.587843","-73.935665","315","48","36047059800","3205652","3074780052","BK17"
"40501927","KENNETH MARCUS - DDS","1750 OCEAN PARKWAY","BROOKLYN","11223","Dental X-Ray","40.605912","-73.967019","315","44","36047042200","3177428","3066620033","BK25"
"40913606","SZCZUPAKIEWICZ JOSEPH - DMD","1530 54 STREET 1ST FLOOR","BROOKLYN","11219","Dental X-Ray","40.629162","-73.989751","312","44","36047023800","3130428","3054840023","BK88"
"41602135","KORNGOLD MICHAEL - DDS","1801 AVENUE M","BROOKLYN","11230","Dental X-Ray","40.618340","-73.957121","314","44","36047053800","3180710","3067380049","BK43"
"40584459","ESKENAZI ELLIOT - DDS","2904 AVENUE X","BROOKLYN","11235","Dental X-Ray","40.593712","-73.941370","315","48","36047059402","3203600","3074221001","BK17"
"40649981","ABELLARD BEAUVOIR - DDS","47 EAST 32 STREET","BROOKLYN","11226","Dental X-Ray","40.649788","-73.947530","317","40","36047082400","3109354","3048860051","BK95"
"40501150","SUSSMAN STANLEY DDS","1802 55 STREET","BROOKLYN","11204","Dental X-Ray","40.624662","-73.984038","312","44","36047046800","3130884","3054940032","BK88"
"50036883","NORTH BROOKLYN DENTAL CARE","169 KENT ST","BROOKLYN","11222","Non-Hospital X-Ray","40.730976","-73.953755","301","33","36047057500","3064648","3025510058","BK76"
"50081490","BRYAN STIMMLER","169 KENT ST","BROOKLYN","11222","Dental CBCT X-Ray","40.730976","-73.953755","301","33","36047057500","3064648","3025510058","BK76"
"40505696","DIXIT CHAITANYA DPM","2235 WEST 9 STREET","BROOKLYN","11223","Podiatric X-Ray","40.593851","-73.979919","315","47","36047038600","3193240","3071420027","BK26"
"41439368","LANGROODI HOUMAN - DDS","2233 WEST 9 STREET","BROOKLYN","11223","Dental X-Ray","40.593860","-73.979919","315","47","36047038600","3193240","3071420027","BK26"
"41127138","KHODOSH ALBERT - D.D.S.","2085 EAST 27 STREET","BROOKLYN","11229","Dental X-Ray","40.600367","-73.944778","315","46","36047057400","3198787","3073320055","BK44"
"41142644","SOKOL JOEL L. - DMD","636 74 STREET","BROOKLYN","11209","Dental X-Ray","40.628255","-74.018986","310","43","36047013400","3148441","3059320023","BK31"
"41590528","SAM FISCH","919 2 AVENUE","NEW YORK","10017","Non-Hospital X-Ray","40.754119","-73.969086","106","4","36061009000","1038040","1013227502","MN19"
"40807400","LIKHOLETOVA TAMARA - D.D.S.","3051 OCEAN AVENUE","BROOKLYN","11235","Dental X-Ray","40.586881","-73.949026","315","48","36047060000","3205067","3074650040","BK17"
"41386871","ERACLEOUS VASOS - DDS","2584 EAST 19 STREET","BROOKLYN","11235","Dental X-Ray","40.588913","-73.950652","315","48","36047059200","3204121","3074390144","BK17"
"40635369","BOULOS ADLY - DDS","3123 CONEY ISLAND AVE","BROOKLYN","11235","Dental X-Ray","40.579823","-73.959770","313","48","36047061003","3245305","3087060049","BK19"
"50016023","PETER A. COSTALOS DMD PC","466 BAY RIDGE PKWY FL 1","BROOKLYN","11209","Dental X-Ray","40.630000","-74.023507","310","43","36047013400","3148775","3059410034","BK31"
"40500124","VOGEL MARK DDS","3502 KINGS HIGHWAY STE A9","BROOKLYN","11234","Dental X-Ray","40.620558","-73.940698","318","45","36047073800","3209847","3076530001","BK58"
"50061252","SUNSET PARK HEALTH COUNCIL INC","427 38TH ST FL 3","BROOKLYN","11232","Dental X-Ray","40.652701","-74.004743","307","38","36047008400","3346119","3007010001","BK32"
"40602679","KURLAND HOWARD J. - DDS","717 WYTHE AVENUE","BROOKLYN","11249","Dental X-Ray","40.701038","-73.960750","301","33","36047053700","3060475","3022107503","BK72"
"40497125","BERNARD N. DD GRAYSON","1951 FLATBUSH AVE","BROOKLYN","11234","Dental X-Ray","40.622118","-73.936323","318","45","36047073600","3217250","3078200052","BK58"
"50041283","CITY MEDICAL OF UPPER EAST SIDE PLLC","2175 86TH ST","BROOKLYN","11214","Non-Hospital X-Ray","40.602225","-73.994245","311","47","36047029000","3165897","3063470043","BK28"
"40537089","OSKOTSKAYA YELENA-D.D.S","7101 4 AVENUE","BROOKLYN","11209","Dental X-Ray","40.633593","-74.023927","310","43","36047013000","3146596","3058920006","BK31"
"41554125","DR. RAFLA DEMETRIOU","8715 5 AVENUE","BROOKLYN","11209","Non-Hospital X-Ray","40.620713","-74.026876","310","43","36047016000","3153766","3060510001","BK31"
"77-0000046","Leading Edge Radiation Oncology Services (LEROS)","8715 FIFTH AVENUE","BROOKLYN","11209","Linear Accelerator","40.620713","-74.026876","310","43","36047016000","3153766","3060510001","BK31"
"91-3241-01","Sameer Rafla M.D.","8715 FIFTH AVE","BROOKLYN","11209","Radioactive Materials","40.620713","-74.026876","310","43","36047016000","3153766","3060510001","BK31"
"40500964","LAWRENCE & TURE NALITT","820 BROADWAY","BROOKLYN","11206","Dental X-Ray","40.699327","-73.939466","303","36","36047028501","3329565","3015790022","BK78"
"50068680","UP DENTAL PLLC","1916 KINGS HWY FL 2","BROOKLYN","11229","Dental X-Ray","40.610362","-73.954386","315","48","36047055000","3182549","3067820074","BK44"
"50092923","BROOKLYN OAK DENTAL CARE PC","319 6TH AVE","BROOKLYN","11215","Dental X-Ray","40.671880","-73.980721","306","39","36047015500","3020982","3009760001","BK37"
"41191389","ZHANG H.- MD HE F.-","833 58 STREET FLOOR 1","BROOKLYN","11220","Non-Hospital X-Ray","40.636139","-74.007534","312","38","36047010400","3140215","3056930064","BK34"
"91-3250-01","Paul Lee M.D.","833 58TH STREET","BROOKLYN","11220","Radioactive Materials","40.636139","-74.007534","312","38","36047010400","3140215","3056930064","BK34"
"41224034","MCDONALD MARJORIE - DDS","1908 FLATBUSH AVENUE","BROOKLYN","11210","Dental X-Ray","40.623178","-73.937471","318","45","36047073800","3217009","3078100036","BK58"
"41087026","CHAVKIN ROSS - DDS","372 86 STREET","BROOKLYN","11209","Dental X-Ray","40.622925","-74.028898","310","43","36047006000","3153490","3060440037","BK31"
"50092324","COSMOPOLITAN DENTAL PC.","372 86TH ST APT 1","BROOKLYN","11209","Dental CBCT X-Ray","40.622925","-74.028898","310","43","36047006000","3153490","3060440037","BK31"
"50092325","COSMOPOLITAN DENTAL PC","372 86TH ST","BROOKLYN","11209","Dental X-Ray","40.622925","-74.028898","310","43","36047006000","3153490","3060440037","BK31"
"40506132","DARREN FITZPATRICK MD","3201 KINGS HWY","BROOKLYN","11234","Hospital X-Ray","40.617911","-73.943009","318","45","36047074600","3210431","3076680024","BK58"
"91-3022-01","Mount Sinai Brooklyn","3201 KINGS HIGHWAY","BROOKLYN","11234","Radioactive Materials","40.617911","-73.943009","318","45","36047074600","3210431","3076680024","BK58"
"40503502","MIKHAIL PLOSKIN - DDS","6723 19th Ave","BROOKLYN","11204","Dental X-Ray","40.616511","-73.989439","311","47","36047025600","3134704","3055700001","BK28"
"40501530","GRAZIANO ROBERT DDS","302 95 STREET","BROOKLYN","11209","Dental X-Ray","40.617006","-74.033199","310","43","36047005400","3155577","3061170005","BK31"
"40495208","AHMED SHAHED-MD","2102 KINGS HIGHWAY","BROOKLYN","11229","Non-Hospital X-Ray","40.611001","-73.952411","315","48","36047055000","3182578","3067840001","BK44"
"40536428","MORGERA FRANK-D.C.","337 COURT STREET","BROOKLYN","11231","Non-Hospital X-Ray","40.682652","-73.995745","306","39","36047007500","3007005","3004280004","BK33"
"40586064","KAGANOVSKY LAZAR Y. - M.D.","2700 OCEAN AVE","BROOKLYN","11229","Non-Hospital X-Ray","40.595662","-73.950712","315","48","36047059200","3200952","3073800040","BK17"
"41700938","LAM WAN C. - DDS P","828 55 STREET","BROOKLYN","11220","Dental X-Ray","40.637844","-74.005859","312","38","36047010600","3139498","3056790018","BK34"
"40502587","LERNER B. & GAMSS A.","777 MONTGOMERY ST","BROOKLYN","11213","Dental X-Ray","40.664749","-73.938860","309","35","36047033300","3038208","3014170087","BK63"
"41634474","FREYBERG ILYA - DDS","789 FLATBUSH AVENUE","BROOKLYN","11226","Dental X-Ray","40.653405","-73.959409","314","40","36047079602","3116606","3050830016","BK60"
"50072211","CHINAR MAHADKAR","789 FLATBUSH AVE OFC","BROOKLYN","11226","Dental X-Ray","40.653405","-73.959409","314","40","36047079602","3116606","3050830016","BK60"
"50003526","PM PEDIATRICS","240 ATLANTIC AVE","BROOKLYN","11201","Non-Hospital X-Ray","40.689305","-73.991234","302","33","36047004300","3424484","3002787501","BK38"
"50064579","A CARING DOCTOR (MINNESOTA) P.A.","238 ATLANTIC AVE","BROOKLYN","11201","Veterinary X-Ray","40.689322","-73.991288","302","33","36047004300","3424484","3002787501","BK38"
"41052776","KUGELEV MIKHAIL - DDS","1580 DAHILL ROAD","BROOKLYN","11204","Dental X-Ray","40.609347","-73.974170","311","44","36047043400","3253559","3066060015","BK29"
"50087232","ALWAYS SMILE DENTAL PLLC","1580 DAHILL RD STE 1","BROOKLYN","11204","Dental X-Ray","40.609347","-73.974170","311","44","36047043400","3253559","3066060015","BK29"
"41677680","KENNY H. - DDS HO","816 59 STREET","BROOKLYN","11220","Dental X-Ray","40.635716","-74.008377","312","38","36047010400","3140848","3057070013","BK34"
"50088662","PROHEALTH CARE ASSOCIATES LLP","1783 STILLWELL AVE","BROOKLYN","11223","Non-Hospital X-Ray","40.602960","-73.986434","311","44","36047040400","3176370","3066430055","BK29"
"91-3725-01","Shahrokh Abiri M.D.","1783 STILLWELL AVENUE","BROOKLYN","11214","Radioactive Materials","40.602960","-73.986434","311","44","36047040400","3176370","3066430055","BK29"
"40984754","MITTAL SURESH C. - DDS","153 4 AVENUE","BROOKLYN","11217","Dental X-Ray","40.679171","-73.981840","306","39","36047013100","3019322","3009460009","BK37"
"50056641","QUENTIN SMILE DENTAL SERVICES P.C.","2148 OCEAN AVE STE 401","BROOKLYN","11229","Dental X-Ray","40.609489","-73.953331","315","48","36047055000","3413743","3067820038","BK44"
"50066950","QUENTIN SMILE DENTAL SERVICES P.C.","2148 OCEAN AVE STE 401","BROOKLYN","11229","Dental CBCT X-Ray","40.609489","-73.953331","315","48","36047055000","3413743","3067820038","BK44"
"50082805","MARIO VOLOSHIN","2148 OCEAN AVE","BROOKLYN","11229","Podiatric X-Ray","40.609489","-73.953331","315","48","36047055000","3413743","3067820038","BK44"
"40736174","BRONSTEIN TATIANA - DDS","1714 BATH AVENUE","BROOKLYN","11214","Dental X-Ray","40.604961","-74.007963","311","43","36047017600","3168562","3064330036","BK27"
"41240364","HALPERT NANDOR - DDS","2811 OCEAN AVENUE SUITE 2","BROOKLYN","11229","Dental X-Ray","40.593074","-73.950203","315","48","36047059401","3202165","3074050038","BK17"
"50048759","ITNY DENTAL PC","163 8TH ST","BROOKLYN","11215","Dental X-Ray","40.671799","-73.989942","306","39","36047012100","3330546","3009970001","BK37"
"40508344","NORWEGIAN CHRISTIAN HOME","1270 67 STREET","BROOKLYN","11219","Dental X-Ray","40.625281","-74.003505","310","43","36047019600","3330934","3057670028","BK30"
"40955892","JOHNSON CLAYTON - DDS","910 PARK PL APT 1B SUITE 1B","BROOKLYN","11216","Dental X-Ray","40.673289","-73.947861","308","36","36047031701","3031550","3012417501","BK61"
"41705929","JOHNSON GOLDA O. - MD","910 PARK PLACE SUITE 1B","BROOKLYN","11216","Non-Hospital X-Ray","40.673289","-73.947861","308","36","36047031701","3031550","3012417501","BK61"
"40505433","ROSEN ALAN DPM","5402 FLATLANDS AVENUE","BROOKLYN","11234","Podiatric X-Ray","40.628654","-73.923852","318","46","36047072000","3336786","3077800005","BK58"
"40725631","VISINTINI FRANK - DDS","7710 4 AVENUE","BROOKLYN","11209","Dental X-Ray","40.629220","-74.025737","310","43","36047006400","3149797","3059600043","BK31"
"50054845","JAKE WONG DDS PC","8684 15TH AVE","BROOKLYN","11228","Dental X-Ray","40.609759","-74.011241","311","43","36047017000","3166134","3063590070","BK27"
"40812967","GELMAN YEVGENIYA - D.D","7601 3RD AVE","BROOKLYN","11209","Dental X-Ray","40.630641","-74.028116","310","43","36047006400","3149191","3059500011","BK31"
"40706700","ELIAV IGOR D.D.S.","203 NASSAU AVE","BROOKLYN","11222","Dental X-Ray","40.725600","-73.944735","301","33","36047058900","3066437","3026540031","BK76"
"50073968","GARRY SHNAYDER","1512 AVENUE Z","BROOKLYN","11235","Dental X-Ray","40.588000","-73.953962","315","48","36047059000","3204953","3074600006","BK17"
"50073973","GARRY SHNAYDER","1512 AVENUE Z","BROOKLYN","11235","Dental CBCT X-Ray","40.588000","-73.953962","315","48","36047059000","3204953","3074600006","BK17"
"41515604","MARINE PARK DENTAL","2865 NOSTRAND AVENUE","BROOKLYN","11229","Dental X-Ray","40.614541","-73.944514","318","45","36047064400","3211327","3076910030","BK45"
"40496125","IRWIN DDS GOLDSCHEIN","4901 FORT HAMILTON PARKWAY","BROOKLYN","11219","Dental X-Ray","40.638294","-73.997759","312","44","36047022000","3137614","3056390040","BK88"
"40505663","ESPOSITO ANTHONY DPM","2305 AVENUE U","BROOKLYN","11229","Podiatric X-Ray","40.599726","-73.948358","315","48","36047057600","3198518","3073280050","BK44"
"50037944","QIAO GUO","5417 5TH AVE","BROOKLYN","11220","Dental X-Ray","40.642712","-74.012796","307","38","36047010000","3014643","3008240003","BK34"
"41317067","WALTNER JONATHAN - DDS","390 BERRY STREET","BROOKLYN","11249","Dental X-Ray","40.710035","-73.965589","301","33","36047054900","3059507","3021300021","BK73"
"40503242","MARINA HOROWITZ DDS","300 OCEAN PARKWAY","BROOKLYN","11218","Dental X-Ray","40.642087","-73.973876","312","39","36047049400","3125450","3053570030","BK41"
"40504020","GOLDFARB A. & KAUDERER C. DDS/DPM","7713 13 AVENUE","BROOKLYN","11228","Dental X-Ray","40.619006","-74.008767","310","43","36047019800","3161194","3062440005","BK30"
"40571711","KREYMAN ZAKHAR DDS","2001 AVENUE P SUITE A2","BROOKLYN","11229","Dental X-Ray","40.610982","-73.953452","314","48","36047054600","3182092","3067670052","BK43"
"41736428","UVAYDOV IOSIF - DDS","2001 AVENUE P","BROOKLYN","11229","Dental X-Ray","40.610982","-73.953452","314","48","36047054600","3182092","3067670052","BK43"
"50008176","MARINE PARK VETERINARY GROUP PC","6315 AVENUE N","BROOKLYN","11234","Veterinary X-Ray","40.619602","-73.916543","318","46","36047069602","3396632","3083630005","BK45"
"40575378","JOHN VALENTINO","472 BAY RIDGE PKWY","BROOKLYN","11209","Dental X-Ray","40.629942","-74.023410","310","43","36047013400","3148777","3059410036","BK31"
"50034242","SHAMIS CHIROPRACTIC PC","2409 AVENUE Z","BROOKLYN","11235","Non-Hospital X-Ray","40.588965","-73.945334","315","48","36047059401","3425904","3074417501","BK17"
"40499273","LUTWAK ELLIS DDS","207 OCEAN PARKWAY","BROOKLYN","11218","Dental X-Ray","40.644632","-73.974354","312","39","36047049400","3347526","3053390001","BK41"
"40501267","VAYNSHTEYN SOFYA & BLINSHT","207 OCEAN PARKWAY","BROOKLYN","11218","Dental X-Ray","40.644632","-73.974354","312","39","36047049400","3347526","3053390001","BK41"
"41235062","ALAN S. BRONER - DDS","773 MONTGOMERY STREET","BROOKLYN","11213","Dental X-Ray","40.664754","-73.938953","309","35","36047033300","3038211","3014170089","BK63"
"41644946","KFG OPERATING I LLC","155 DEAN STREET","BROOKLYN","11217","Dental X-Ray","40.686258","-73.987203","302","33","36047004100","3392440","3001890001","BK38"
"40502258","ALLAN LEBOVITZ - DDS","1490 OCEAN AVENUE","BROOKLYN","11230","Dental X-Ray","40.626121","-73.956479","314","45","36047076200","3179781","3067120001","BK43"
"40502307","EINHORN JACK DDS","1929 AVENUE J","BROOKLYN","11230","Dental X-Ray","40.625652","-73.957178","314","45","36047076200","3179781","3067120001","BK43"
"50053604","HOWARD BERGER","2095 FLATBUSH AVE","BROOKLYN","11234","Non-Hospital X-Ray","40.618690","-73.932548","318","45","36047065000","3219627","3078690001","BK58"
"91-3151-01","David Rosenthal M.D.","2095 FLATBUSH AVE.","BROOKLYN","11234","Radioactive Materials","40.618690","-73.932548","318","45","36047065000","3219627","3078690001","BK58"
"40504479","MOLLICA RAYMOND DPM","8223 14 AVENUE","BROOKLYN","11228","Podiatric X-Ray","40.614839","-74.009512","311","43","36047018400","3164068","3063040001","BK28"
"40498785","STERN WILLIAM - DDS","1607 55 STREET","BROOKLYN","11204","Dental X-Ray","40.627397","-73.988530","312","44","36047047000","3130515","3054850084","BK88"
"50090913","WILLIAM STERN","1607 55TH ST","BROOKLYN","11204","Dental CBCT X-Ray","40.627397","-73.988530","312","44","36047047000","3130515","3054850084","BK88"
"41633620","PATRICIA FERNANDEZ CEO","1456 FULTON STREET","BROOKLYN","11216","Dental X-Ray","40.679998","-73.942458","303","36","36047027100","3399697","3018630160","BK61"
"50033745","MULTICARE MEDICAL NY PLLC","1009 BRIGHTON BEACH AVE","BROOKLYN","11235","Non-Hospital X-Ray","40.578058","-73.959372","313","48","36047061004","3245413","3087070452","BK19"
"41549228","PAUL MARKEL","81 WILLOUGHBY STREET","BROOKLYN","11201","Dental X-Ray","40.692184","-73.985753","302","33","36047001100","3000350","3001480046","BK38"
"41735438","RASKIN SIMON - DPM PC","491 FLUSHING AVENUE","BROOKLYN","11205","Podiatric X-Ray","40.699167","-73.955475","301","33","36047053100","3061401","3022630074","BK75"
"50053925","MICHAEL CARAMICO","415 BAY RIDGE PKWY","BROOKLYN","11209","Dental X-Ray","40.630521","-74.024336","310","43","36047013400","3148354","3059300084","BK31"
"41350018","EZRA MEDICAL CENTER","1312 38 STREET","BROOKLYN","11218","Non-Hospital X-Ray","40.640868","-73.985194","312","39","36047022600","3123349","3052990011","BK88"
"41424122","LREFUAH MEDICAL & DIAGN","1312 38 STREET","BROOKLYN","11218","Non-Hospital X-Ray","40.640868","-73.985194","312","39","36047022600","3123349","3052990011","BK88"
"41645860","L'REFUAH MEDICAL & REHAB","1312 38 STREET","BROOKLYN","11218","Non-Hospital X-Ray","40.640868","-73.985194","312","39","36047022600","3123349","3052990011","BK88"
"40504385","HORN STEVEN DPM","704 KINGS HIGHWAY","BROOKLYN","11223","Podiatric X-Ray","40.606178","-73.965459","315","44","36047041800","3177515","3066640051","BK25"
"50006144","OCEANSIDE ANIMAL CLINIC","704 KINGS HWY BSMT 1","BROOKLYN","11223","Veterinary X-Ray","40.606178","-73.965459","315","44","36047041800","3177515","3066640051","BK25"
"50073446","DAVID WALTUCH","1475 48TH ST DEPT 1","BROOKLYN","11219","Dental X-Ray","40.633361","-73.987833","312","44","36047023400","3137287","3056300048","BK88"
"40505978","JACOBSON LINDA DVM","291 KINGS HIGHWAY","BROOKLYN","11223","Veterinary X-Ray","40.605143","-73.979746","311","44","36047042600","3176813","3066500016","BK29"
"40499725","CHOKSHI DIVAKAR D.D.S.","73 EASTERN PARKWAY","BROOKLYN","11238","Dental X-Ray","40.672739","-73.966257","308","35","36047021500","3029633","3011790083","BK64"
"40497388","ALBANO JOSEPH & JOHN","2001 EAST 55 STREET","BROOKLYN","11234","Dental X-Ray","40.613232","-73.921471","318","46","36047067000","3242191","3085470043","BK45"
"41668768","VAYSMAN YELENA - DDS","1201 OCEAN PARKWAY","BRROKLYN","11230","Dental X-Ray","40.619041","-73.969487","312","44","36047045200","3171753","3065420001","BK46"
"50036092","NEW YORK-PRESBYTERIAN/BROOKLYN METHODIST","50 COURT ST STE 600","BROOKLYN","11201","Non-Hospital X-Ray","40.692314","-73.991100","302","33","36047000900","3002549","3002650043","BK09"
"91-3696-01","Ozgen Dogan M.D.","50 COURT ST.","BROOKLYN","11201","Radioactive Materials","40.692314","-73.991100","302","33","36047000900","3002549","3002650043","BK09"
"40502336","LIBIN LIANA DDS","1513 VOORHIES AVE","BROOKLYN","11235","Dental X-Ray","40.585752","-73.953672","315","48","36047060600","3204938","3074590061","BK17"
"41749640","CHAPMAN KENNETH - MD","1513 VOORHIES AVENUE","BROOKLYN","11235","Non-Hospital X-Ray","40.585752","-73.953672","315","48","36047060600","3204938","3074590061","BK17"
"50046413","LENOX HILL RADIOLOGY & MEDICAL ASSOCIATES PC","3245 NOSTRAND AVE","BROOKLYN","11229","Dental CBCT X-Ray","40.604716","-73.942689","315","46","36047056600","3256875","3073090001","BK44"
"41700933","MACDERMOTT MARTIN C. - DDS","120 MONTAGUE STREET","BROOKLYN","11201","Dental X-Ray","40.694894","-73.994699","302","33","36047000501","3002065","3002480034","BK09"
"41683093","BRAYLOVSKAYA MARIYA - DDS","2250 86 STREET","BROOKLYN","11214","Dental X-Ray","40.601151","-73.992542","311","47","36047029600","3167143","3063820045","BK28"
"41693057","SAPIENZA THOMAS M - DDS","7505 FORT HAMILTON PARKWAY","BROOKLYN","11228","Dental X-Ray","40.625681","-74.016618","310","43","36047020600","3148931","3059450008","BK30"
"50083246","SUNSET PARK HEALTH COUNCIL INC PS92","601 PARKSIDE AVE","BROOKLYN","11226","Dental X-Ray","40.656046","-73.953742","309","40","36047080200","3115866","3050490055","BK60"
"50079506","BRIGHT SKY DENTAL PC","1152 BROADWAY","BROOKLYN","11221","Dental X-Ray","40.693121","-73.928445","303","36","36047028900","3043494","3016080027","BK35"
"40505586","TARTACK IRA DPM","2650 OCEAN PARKWAY","BROOKLYN","11235","Podiatric X-Ray","40.585466","-73.966438","313","47","36047037401","3196066","3072380115","BK26"
"50017237","OLEG KRUGLYANSKY DDS PC","2650 OCEAN PKWY APT 1M","BROOKLYN","11235","Dental X-Ray","40.585466","-73.966438","313","47","36047037401","3196066","3072380115","BK26"
"40502464","ROYZMAN Z. & POZNYANSKY","8100 19 AVENUE","BROOKLYN","11214","Dental X-Ray","40.608697","-73.997601","311","47","36047027800","3163821","3062960038","BK28"
"40501439","LEV J. & ROSEN J","4401 AVENUE D","BROOKLYN","11203","Dental X-Ray","40.641800","-73.934996","317","45","36047083800","3112156","3049610051","BK91"
"40717290","NIRENSTEIN J. & LEKHT A.","2841 BRAGG STREET","BROOKLYN","11235","Dental X-Ray","40.584682","-73.933079","315","48","36047062200","3247938","3088070142","BK17"
"40501915","SORKIN MILA - DDS","2667 CONEY ISLAND AVE","BROOKLYN","11223","Dental X-Ray","40.591705","-73.960678","315","48","36047058400","3201703","3073950032","BK25"
"40506247","INTERFAITH MEDICAL CENTER","1545 ATLANTIC AVENUE RADIOLOGY","BROOKLYN","11213","Hospital X-Ray","40.677788","-73.937041","303","36","36047027100","3048072","3017050001","BK61"
"50038156","SMILE BROOKLYN DENTAL PC","1545 ATLANTIC AVE","BROOKLYN","11213","Dental X-Ray","40.677788","-73.937041","303","36","36047027100","3048072","3017050001","BK61"
"50038159","SMILE BROOKLYN DENTAL PC","1545 ATLANTIC AVE","BROOKLYN","11213","Dental CBCT X-Ray","40.677788","-73.937041","303","36","36047027100","3048072","3017050001","BK61"
"91-2945-01","Interfaith Medical Center","1545 ATLANTIC AVENUE","BROOKLYN","11213","Radioactive Materials","40.677788","-73.937041","303","36","36047027100","3048072","3017050001","BK61"
"40846688","INTERFAITH MEDICAL CENTER(","528 PROSPECT PLACE","BROOKLYN","11238","Non-Hospital X-Ray","40.675572","-73.958927","308","35","36047030500","3393245","3011630010","BK61"
