"accession","artwork_title","artist_lastname","artist_firstname","medium","artwork_year","dimension","bldgid","school_name","borough"
"11105","GIRL WEEDING","ROBUS","HUGO","STONE",,,"Q445","WILLIAM C. BRYANT HS - Q","QUEENS"
"11106","LAMBS","NAGY","FRANK","STONE","1930-01-01T00:00:00.000",,"Q445","WILLIAM C. BRYANT HS - Q","QUEENS"
"11107","CULTURAL DEVELOPMENT OF THE UNITED STATES","BAHNMULLER","WILLIAM","MAPLE","1936-01-01T00:00:00.000",,"Q475","RICHMOND HILL HS - Q","QUEENS"
"11108","MOTHER OF KNOWLEDGE","CAVALLARO","VINCENT","CAST STONE",,,"Q210","I.S. 210 - QUEENS","QUEENS"
"11109","CHILDREN IN MUSIC (RT) MUSIC AND DANCE (LT)","FLERI","JOSEPH","PLASTER, PAINTED","1937-01-01T00:00:00.000",,"Q150","P.S. 150 - QUEENS","QUEENS"
"11110","REACHING FOR THE STARS (ASPERA AD ASTRA)","GILLEN","ANN","ALUMINUM, PAINTED, ENAMEL",,,"Q012","P.S. 12 - QUEENS","QUEENS"
"11111","THE STORY HOUR","LO MEDICO","THOMAS","ALUMINUM, CAST","1961-01-01T00:00:00.000",,"Q203","P.S. 203 - QUEENS","QUEENS"
"11112","""UNITY, SERENITY, PEACE""","KORAS","GEORGE","BRONZE, CAST","1971-01-01T00:00:00.000",,"Q237","J.H.S. 237 - QUEENS","QUEENS"
"11113","ASPIRATION OF YOUTH","SPAMPINATO","CLEMENTE","BRONZE, CAST","1967-01-01T00:00:00.000",,"Q416","CARDOZO AF - QUEENS","QUEENS"
"11114","LOUIS ARMSTRONG","ELL","DOLPH","BRONZE",,,"Q227","I.S. 227 - QUEENS","QUEENS"
"11115","JUSTICE BENJAMIN N. CARDOZO","SPAMPINATO","CLEMENTE","BRICK","1967-01-01T00:00:00.000",,"Q415","BENJAMIN N. CARDOZO HS - Q","QUEENS"
"11115","JUSTICE BENJAMIN N. CARDOZO","SPAMPINATO","CLEMENTE","BRONZE","1967-01-01T00:00:00.000",,"Q415","BENJAMIN N. CARDOZO HS - Q","QUEENS"
"11116","WINGED SHADOWS","ADZEMA","ROBERT","ALUMINUM, PAINTED, ENAMEL","1986-01-01T00:00:00.000",,"Q012","P.S. 12 - QUEENS","QUEENS"
"11117","WW I COMMEMORATIVE PLAQUE","KECK","M. H.","BRONZE","1921-01-01T00:00:00.000",,"Q445","WILLIAM C. BRYANT HS - Q","QUEENS"
"11118","WILLIAM CULLEN BRYANT","BLOCK","ADOLPH","BRONZE","1934-01-01T00:00:00.000",,"Q445","WILLIAM C. BRYANT HS - Q","QUEENS"
"11119","""LIBERTY""","FJELDE","PAUL","BRONZE","1933-01-01T00:00:00.000",,"Q470","JAMAICA HS - QUEENS","QUEENS"
"11120","AS YE SOW, SO SHALL YE REAP","AMATEIS","EDMOND","STONE","1948-01-01T00:00:00.000",,"Q171","P.S. 171 - QUEENS","QUEENS"
"11120","AS YE SOW, SO SHALL YE REAP","AMATEIS","EDMOND","BRONZE","1948-01-01T00:00:00.000",,"Q171","P.S. 171 - QUEENS","QUEENS"
"11122","KNOWLEDGE","TERKEN","JOHN","BRONZE","1966-01-01T00:00:00.000",,"Q072","J.H.S. 72 - QUEENS","QUEENS"
"11123","UNTITLED","NIVOLA","COSTANTINO","TERRA COTTA, GLAZED","1960-01-01T00:00:00.000",,"Q008","J.H.S. 8 - QUEENS","QUEENS"
"11125","UNTITLED","REINA","CHARLES","BRONZE, SHEET","1975-01-01T00:00:00.000",,"Q226","I.S. 226 - QUEENS","QUEENS"
"11126","JOHN BOWNE'S PERSECUTION BY GOV. STUYVESANT","REINA","CHARLES","PLASTER CAST","1939-01-01T00:00:00.000",,"Q460","FLUSHING HS - Q","QUEENS"
"11126","JOHN BOWNE'S PERSECUTION BY GOV. STUYVESANT","REINA","CHARLES","PLASTER, PAINTED","1939-01-01T00:00:00.000",,"Q460","FLUSHING HS - Q","QUEENS"
"11127","MAQUETTE FOR ""PIONEER MONUMENT""","MACNEIL","HERMAN","PLASTER, PAINTED","1920-01-01T00:00:00.000",,"Q029","P.S. 29  - QUEENS","QUEENS"
"11129","VAPOR TRAILS","LUX","GWEN","STEEL, STAINLESS","1958-01-01T00:00:00.000",,"Q610","AVIATION HS - Q","QUEENS"
"11130","THE PURSUIT OF LEARNING 1 & 2","GRIFFIS JR.","LARRY","STEEL, WEATHERING","1964-01-01T00:00:00.000",,"Q030","P.S. 30 - QUEENS","QUEENS"
"11131","PHYSICAL EDUCATION","SPAMPINATO","CLEMENTE","BRONZE","1961-01-01T00:00:00.000",,"Q093","I.S. 93 - QUEENS","QUEENS"
"11132","UNTITLED","REINA","CHARLES","BRONZE, SHEET","1975-01-01T00:00:00.000",,"Q053","I.S. 53 - QUEENS","QUEENS"
"11133","TRAGEDY AND COMEDY","KAZ","NATHANEL","ALUMINUM, PAINTED, ENAMEL","1959-01-01T00:00:00.000",,"Q194","J.H.S. 194 - QUEENS","QUEENS"
"11134","UNTITLED","HASTINGS","JACK","BRONZE, CAST","1962-01-01T00:00:00.000",,"Q183","P.S. 183 - QUEENS","QUEENS"
"11135","CHILDREN AT PLAY","HEBALD","MILTON","BRONZE, CAST","1972-01-01T00:00:00.000",,"Q086","P.S. 86 - QUEENS","QUEENS"
"11137","""MYTHOLOGICAL CREATURES""","HASTINGS","JACK","TERRA COTTA","1963-01-01T00:00:00.000",,"Q197","P.S. 197 - QUEENS","QUEENS"
"11138","EDUCATION AND ATHLETICS","HEBALD","MILTON","BRONZE, CAST","1972-01-01T00:00:00.000",,"Q505","HILLCREST HS - QUEENS","QUEENS"
"11139","THOMAS ALVA  EDISON","TERKEN","JOHN","BRONZE, CAST","1957-01-01T00:00:00.000",,"Q620","THOMAS A. EDISON VOC HS - Q","QUEENS"
"11200","BASKETBALL PLAYERS","GROSS","CHAIM","WOOD, CARVED","1935-01-01T00:00:00.000",,"K410","ABRAHAM LINCOLN HS - K","BROOKLYN"
"11201","""PROTECTION""","RUBITSCHUNG","FRANCOIS","PLASTER, PAINTED","1937-01-01T00:00:00.000",,"K008","P.S. 8 - BROOKLYN","BROOKLYN"
"11202","""AVIATOR""","ANONYMOUS",,"PLASTER","1937-01-01T00:00:00.000",,"K008","P.S. 8 - BROOKLYN","BROOKLYN"
"11203","LITERATURE","ROBUS","HUGO","PLASTER, PAINTED","1937-01-01T00:00:00.000",,"Q801","OSSS / DSF - QUEENS","QUEENS"
"11206","""EDUCATION-ASPIRATION""","LUX","GWEN","BRONZE","1954-01-01T00:00:00.000",,"K470","GEORGE W. WINGATE HS - K","BROOKLYN"
"11206","""EDUCATION-ASPIRATION""","LUX","GWEN","STEEL, PAINTED","1954-01-01T00:00:00.000",,"K470","GEORGE W. WINGATE HS - K","BROOKLYN"
"11207","GEMINI","CAVALLARO","VINCENT","BRONZE, CAST","1969-01-01T00:00:00.000",,"K540","JOHN DEWEY HS - K","BROOKLYN"
"11210","UNTITLED","BROWN","DAVID","STEEL, STAINLESS","1974-01-01T00:00:00.000",,"K384","P.S. 384 - BROOKLYN","BROOKLYN"
"11211","BASEBALL AND JUMPROPE","NELSON","HELEN","PLASTER CAST","1938-01-01T00:00:00.000",,"K232","I.S. 232 - BROOKLYN","BROOKLYN"
"11212","COL. DAVID MARCUS","ROSENTHAL","WILLIAM","BRONZE","1958-01-01T00:00:00.000",,"K263","P.S./I.S. 323 - BROOKLYN","BROOKLYN"
"11213","UNTITLED","WILLIAMS","TODD","STEEL, STAINLESS","1975-01-01T00:00:00.000",,"K455","BOYS & GIRLS HS - K","BROOKLYN"
"11214","MOTIVATION","WINTER","LUMEN","MARBLE","1969-01-01T00:00:00.000",,"K515","SOUTH SHORE HS - K","BROOKLYN"
"11215","ASCENT","WINTER","LUMEN","MARBLE","1970-01-01T00:00:00.000",,"K515","SOUTH SHORE HS - K","BROOKLYN"
"11217","MAN & SPACE","MENCONI","RALPH","BRASS","1966-01-01T00:00:00.000",,"K005","P.S. 5 - BROOKLYN","BROOKLYN"
"11217","MAN & SPACE","MENCONI","RALPH","EPOXY CAST","1966-01-01T00:00:00.000",,"K005","P.S. 5 - BROOKLYN","BROOKLYN"
"11217","MAN & SPACE","MENCONI","RALPH","FIBERGLASS","1966-01-01T00:00:00.000",,"K005","P.S. 5 - BROOKLYN","BROOKLYN"
"11218","MIDDLE PASSAGE","WILSON","ED","CONCRETE","1976-01-01T00:00:00.000",,"K455","BOYS & GIRLS HS - K","BROOKLYN"
"11218","MIDDLE PASSAGE","WILSON","ED","BRONZE","1976-01-01T00:00:00.000",,"K455","BOYS & GIRLS HS - K","BROOKLYN"
"11219","""EDUCATION""","SPAMPINATO","CLEMENTE","ALUMINUM, CAST","1961-01-01T00:00:00.000",,"K224","P.S. 224 - BROOKLYN","BROOKLYN"
"11221","UNTITLED","LEFKOW","JOHN","BRONZE, SHEET","1976-01-01T00:00:00.000",,"K391","I.S. 391 - BROOKLYN","BROOKLYN"
"11300","ATHLETICS","BROWN","JUDITH","BRASS",,,"R455","TOTTENVILLE HS - S. I.","STATEN ISLAND"
"11300","ATHLETICS","BROWN","JUDITH","STEEL",,,"R455","TOTTENVILLE HS - S. I.","STATEN ISLAND"
"11300","ATHLETICS","BROWN","JUDITH","COPPER, HAMMERED",,,"R455","TOTTENVILLE HS - S. I.","STATEN ISLAND"
"11301","ACADEMIC ACHIEVEMENT","NIVOLA","COSTANTINO","CONCRETE, PRECAST",,,"R455","TOTTENVILLE HS - S. I.","STATEN ISLAND"
"11302","SYNTHESIS OF ACADEMIC AND VOCATN'L ENDEAVORS","NIVOLA","COSTANTINO","CONCRETE, PRECAST","1970-01-01T00:00:00.000",,"R455","TOTTENVILLE HS - S. I.","STATEN ISLAND"
"11303","""DRAMATIC ARTS""","BONEVARDI","MARCELO","CONCRETE, PRECAST","1972-01-01T00:00:00.000",,"R455","TOTTENVILLE HS - S. I.","STATEN ISLAND"
"11400","THE BOY COLUMBUS","MONTEVERDE","GIULIO","MARBLE",,,"Q801","OSSS / DSF - QUEENS","QUEENS"
"11555","DREAMING OF FAR AWAY PLACES:  THE SHIPS COME TO WASHINGTON MARKET","DENNIS","DONNA","STEEL, PAINTED","1988-01-01T00:00:00.000",,"M234","P.S. 234 - MANHATTAN","MANHATTAN"
"21663","DESTINATIONS","SMYTH","NED","MARBLE","2002-01-01T00:00:00.000",,"K156","P.S. 156 - BROOKLYN","BROOKLYN"
"21663","DESTINATIONS","SMYTH","NED","GLASS","2002-01-01T00:00:00.000",,"K156","P.S. 156 - BROOKLYN","BROOKLYN"
"10006","NATURAL IMPUMENTS","SPICER","KATHLEEN","ALUMINUM, CAST","2002-01-01T00:00:00.000",,"Q028","P.S. 28 (ECC) - QUEENS","QUEENS"
"10006","NATURAL IMPUMENTS","SPICER","KATHLEEN","WOOD","2002-01-01T00:00:00.000",,"Q028","P.S. 28 (ECC) - QUEENS","QUEENS"
"11556","UNTITLED","NIVOLA","COSTANTINO","CONCRETE, PRECAST","1968-01-01T00:00:00.000",,"K345","P.S. 345 - BROOKLYN","BROOKLYN"
"11557","UNTITLED","NIVOLA","COSTANTINO","TERRA COTTA, GLAZED","1961-01-01T00:00:00.000",,"K113","I.S. 113 - BROOKLYN","BROOKLYN"
"11558","""HORSES""","NIVOLA","COSTANTINO","CONCRETE","1960-01-01T00:00:00.000",,"K046","P.S. 46 - BROOKLYN","BROOKLYN"
"11560","UNTITLED","LO MEDICO","THOMAS","ALUMINUM, CAST","1967-01-01T00:00:00.000",,"K328","P.S. 328 - BROOKLYN","BROOKLYN"
"11561","UNTITLED","POWELL","FRED","ALUMINUM, CAST","1958-01-01T00:00:00.000",,"K270","P.S. 270 - BROOKLYN","BROOKLYN"
"11562","""OPEN WIDE THE MIND'S CAGE DOOR; (SEE NOTES)","TERKEN","JOHN","ALUMINUM, CAST","1958-01-01T00:00:00.000",,"K011","P.S. 11 - BROOKLYN","BROOKLYN"
"11564","""MUSIC""","HENN","RUDOLF","TERRA COTTA","1939-01-01T00:00:00.000",,"K420","FRANKLIN K. LANE HS - K","BROOKLYN"
"11565","""CHEMISTRY""","TURNER","RAYMOND","TERRA COTTA","1939-01-01T00:00:00.000",,"K420","FRANKLIN K. LANE HS - K","BROOKLYN"
"11566","""WINTER GAMES"" ""SUMMER GAMES""","TOOR","N.","PLASTER","1937-01-01T00:00:00.000",,"K743","ADULT LRNG CTR (OLD GRLS HS) - K","BROOKLYN"
"11567","""UNTITLED""","HAVANNES","JOHN","BRONZE, CAST","1955-01-01T00:00:00.000",,"K026","P.S. 26 - BROOKLYN","BROOKLYN"
"11568","""GROWTH""","KAZ","NATHANEL","BRONZE, CAST","1959-01-01T00:00:00.000",,"K059","P.S. 59 - BROOKLYN","BROOKLYN"
"11569","UNTITLED","MARANTZ","IRVING","BRONZE, CAST","1970-01-01T00:00:00.000",,"K302","I.S. 302 - BROOKLYN","BROOKLYN"
"11570","UNTITLED","TINCH","ROBERT","ALUMINUM, PAINTED, ENAMEL","1975-01-01T00:00:00.000",,"K013","P.S. 13 - BROOKLYN","BROOKLYN"
"11571","UNTITLED","TINCH","ROBERT","ALUMINUM, PAINTED, ENAMEL","1975-01-01T00:00:00.000",,"K013","P.S. 13 - BROOKLYN","BROOKLYN"
"11572","""BAYARD RUSTIN""","SARASON","FRANCES","BRONZE","1988-01-01T00:00:00.000",,"M440","BAYARD RUSTIN EDUCATIONAL COMP-M","MANHATTAN"
"11573","""MUSIC AND DANCE"", ""SONG, DRAMA, LITERATURE""","WALTER","JOSEPH","PLASTER CAST",,,"K440","PROSPECT HEIGHTS HS - K","BROOKLYN"
"11576","ART AND SCIENCE","MUNDHENK","OSCAR","PLASTER CAST","1934-01-01T00:00:00.000",,"M088","I.S. 88 - MANHATTAN","MANHATTAN"
"11577","DR. BAILEY K. ASHFORD (1873-1934)","DANGERFIELD","MARJORIE","BRONZE","1957-01-01T00:00:00.000",,"K287","P.S. 287 - BROOKLYN","BROOKLYN"
"11579","UNTITLED","CAVALLARO","VINCENT","CAST STONE","1965-01-01T00:00:00.000",,"K023","P.S. 23 - BROOKLYN","BROOKLYN"
"11580","UNTITLED","CHOATE","NATHANIEL","STEEL, GALVANIZED",,,"K288","P.S. 288 - BROOKLYN","BROOKLYN"
"11581","WOMEN IN INDUSTRIES","BAHNMULLER","WILLIAM","WOOD","1934-01-01T00:00:00.000",,"K655","BKLYN HS OF THE ARTS (OL S J HL)-K","BROOKLYN"
"11582","TRUTH, RESEARCH","ADAMS","HERBERT","PLASTER CAST","1896-01-01T00:00:00.000",,"K465","ERASMUS HALL CAMPUS - K","BROOKLYN"
"11583","""BABOON""","WOLFF","ADOLPH","CAST STONE","1937-01-01T00:00:00.000",,"K465","ERASMUS HALL CAMPUS - K","BROOKLYN"
"11584","""J. HERBERT LOW""","KANNO","GERTRUDE","BRONZE","1929-01-01T00:00:00.000",,"K465","ERASMUS HALL CAMPUS - K","BROOKLYN"
"11586","INDIAN CORN DANCE","BRENNECKE","MURIEL","WOOD, CARVED","1939-01-01T00:00:00.000",,"K465","ERASMUS HALL CAMPUS - K","BROOKLYN"
"11587","UNTITLED","MILSTEIN","EMANUEL","GLASS","1982-01-01T00:00:00.000",,"K450","GRAND STREET CAMPUS (OLD E.D.HS)-K","BROOKLYN"
"11587","UNTITLED","MILSTEIN","EMANUEL","FIBERGLASS","1982-01-01T00:00:00.000",,"K450","GRAND STREET CAMPUS (OLD E.D.HS)-K","BROOKLYN"
"11588","UNTITLED","MILSTEIN","EMANUEL","FIBERGLASS","1982-01-01T00:00:00.000",,"K450","GRAND STREET CAMPUS (OLD E.D.HS)-K","BROOKLYN"
"11591","""UNTITLED""","SUGARMAN","GEORGE","ALUMINUM, PAINTED, ENAMEL","1985-01-01T00:00:00.000",,"R004","P.S. 4 - STATEN ISLAND","STATEN ISLAND"
"11592","UNTITLED","BLAIR","BARRY","STEEL, PAINTED","1985-01-01T00:00:00.000",,"R004","P.S. 4 - STATEN ISLAND","STATEN ISLAND"
"11593","LEWIS HOWARD LATIMER (1848-1928)","HARDISON","INGE","CAST STONE","1967-01-01T00:00:00.000",,"K056","P.S. 56 - BROOKLYN","BROOKLYN"
"11594","ABSTRACTION","STEFANELLI","JOE","METAL PAINTED","1977-01-01T00:00:00.000",,"K324","I.S. 324 - BROOKLYN","BROOKLYN"
"11596","ADOLPH S. OCHS","MISERENDINO","VINCENZO","BRONZE","1933-01-01T00:00:00.000",,"M111","P.S. 111 - MANHATTAN","MANHATTAN"
"11597","""MINER""","ANONYMOUS",,"PLASTER, PAINTED","1937-01-01T00:00:00.000",,"K705","MIDWOOD HS ADDITION - BROOKLYN","BROOKLYN"
"11602","CREATIVITY","ESCOBAR","MARISOL","METAL PAINTED","1986-01-01T00:00:00.000",,"M485","FIORELLO LAGUARDIA HS - MANHATTAN","MANHATTAN"
"11602","CREATIVITY","ESCOBAR","MARISOL","GRANITE","1986-01-01T00:00:00.000",,"M485","FIORELLO LAGUARDIA HS - MANHATTAN","MANHATTAN"
"11602","CREATIVITY","ESCOBAR","MARISOL","BRONZE","1986-01-01T00:00:00.000",,"M485","FIORELLO LAGUARDIA HS - MANHATTAN","MANHATTAN"
"11603","""TOSCANINI""","RUOTOLO","ONORIO","BRONZE","1919-01-01T00:00:00.000",,"M485","FIORELLO LAGUARDIA HS - MANHATTAN","MANHATTAN"
"11605","""STRIKERS""","ANONYMOUS",,"PLASTER, PAINTED","1937-01-01T00:00:00.000",,"K410","ABRAHAM LINCOLN HS - K","BROOKLYN"
"11606","""STANDING CHILDREN""","NELSON","HELEN","PLASTER, PAINTED","1937-01-01T00:00:00.000",,"K410","ABRAHAM LINCOLN HS - K","BROOKLYN"
"11607","""SEATED MAN HOLDING BOOK""","ANONYMOUS",,"PLASTER","1937-01-01T00:00:00.000",,"K410","ABRAHAM LINCOLN HS - K","BROOKLYN"
"11608","""CAT""","ANONYMOUS",,"WOOD, CARVED",,,"K410","ABRAHAM LINCOLN HS - K","BROOKLYN"
"11609","""CUBIST WOMAN""","ANONYMOUS",,"LIMESTONE",,,"K410","ABRAHAM LINCOLN HS - K","BROOKLYN"
"11610","""SEATED FIGURE""","ANONYMOUS",,"WOOD","1937-01-01T00:00:00.000",,"K410","ABRAHAM LINCOLN HS - K","BROOKLYN"
"11611","""CHEERLEADER""","KAZ","NATHANEL","WOOD, PAINTED","1942-01-01T00:00:00.000",,"K410","ABRAHAM LINCOLN HS - K","BROOKLYN"
"11612","VIEWS OF WASHINGTON MARKET THROUGH THE ...","DENNIS","DONNA","TERRA COTTA, GLAZED","1986-01-01T00:00:00.000",,"M234","P.S. 234 - MANHATTAN","MANHATTAN"
"11613","""MENTAL, SPIRITUAL AND PHYSICAL ACTIVITIES""","PURVES","AUSTIN","ALUMINUM, POLISHED","1959-01-01T00:00:00.000",,"M163","P.S. 163 - MANHATTAN","MANHATTAN"
"11615","""SOUTHERLAND TABLET""","KECK","CHARLES","BRONZE, CAST","1917-01-01T00:00:00.000",,"M003","P.S. 3 - MANHATTAN","MANHATTAN"
"11616","""HARI IV ""","BARRETT","WILLIAM","ALUMINUM, POLISHED","1982-01-01T00:00:00.000",,"R435","NEW DORP HS (NEW) - S. I.","STATEN ISLAND"
"11617","""INDUSTRY ARTS SCIENCE COMMERCE""","ANONYMOUS",,"CONCRETE","1929-01-01T00:00:00.000",,"X425","EVANDER CHILDS HS - X","BRONX"
"11618","ALMA MATER","KRAUS","ROMAULD","TERRA COTTA",,,"X425","EVANDER CHILDS HS - X","BRONX"
"11619","UNTITLED","STEA","CESARE","PLASTER, PAINTED","1937-01-01T00:00:00.000",,"X425","EVANDER CHILDS HS - X","BRONX"
"11620","""NEGRO COUPLE""","STEA","CESARE","PLASTER, PAINTED","1936-01-01T00:00:00.000",,"X425","EVANDER CHILDS HS - X","BRONX"
"11621","""MUSIC AND ART""","ANONYMOUS",,"PLASTER","1937-01-01T00:00:00.000",,"K216","P.S. 216 - BROOKLYN","BROOKLYN"
"11622","""THREE SEATED GIRLS"" ""DANCING GIRLS""","ANONYMOUS",,"PLASTER","1937-01-01T00:00:00.000",,"K216","P.S. 216 - BROOKLYN","BROOKLYN"
"11623","HEAD OF A CHILD","MELIKOV","DINA","CAST STONE","1937-01-01T00:00:00.000",,"K216","P.S. 216 - BROOKLYN","BROOKLYN"
"11624","""UNTITLED""","ANONYMOUS",,"BRONZE","1940-01-01T00:00:00.000",,"K615","E NY VOC HS OF TRANSIT TECH.-K","BROOKLYN"
"11625","""EDUCATION""","KECK","CHARLES","PLASTER","1921-01-01T00:00:00.000",,"K138","P.S. 138 - BROOKLYN","BROOKLYN"
"11626","BUST OF VITO MARCANTONIO","RHODEN","JOHN","BRONZE, CAST","1975-01-01T00:00:00.000",,"M050","P.S. 50 (UDC & ECF) - MANHATTAN","MANHATTAN"
"11628","""SEAL OF THE CITY OF NEW YORK 1664""","JENNEWEIN","CARL","LIMESTONE","1956-01-01T00:00:00.000",,"M044","I.S. 44 - MANHATTAN","MANHATTAN"
"11629","ABSTRACTION","KORAS","GEORGE","BRONZE, CAST","1976-01-01T00:00:00.000",,"M153","P.S. 153 - MANHATTAN","MANHATTAN"
"11630","UNTITLED","FONSECA","GONZALO","CONCRETE","1967-01-01T00:00:00.000",,"M046","P.S. 46 - MANHATTAN","MANHATTAN"
"11631","BUST OF JOHN BURROUGHS, 1837 - 1921","PIETRO","CARTAINO","BRONZE",,,"M188","P.S. 188 - MANHATTAN","MANHATTAN"
"11632","GIRL READING","HENN","RUDOLF","STONE","1935-01-01T00:00:00.000",,"M189","P.S. 189 - MANHATTAN","MANHATTAN"
"11633","""UNTITLED""","VINES",,"PLASTER","1946-01-01T00:00:00.000",,"Q801","OSSS / DSF - QUEENS","QUEENS"
"11635","""WILLIAM H. SEWARD""","NICOLOSI","JOSEPH","BRONZE","1931-01-01T00:00:00.000",,"M445","SEWARD PARK HS - MANHATTAN","MANHATTAN"
"11636","MAGIC SEEDS","MARGILETH","LYNN","STEEL","1991-01-01T00:00:00.000",,"X121","P.S. 121 - BRONX","BRONX"
"11636","MAGIC SEEDS","MARGILETH","LYNN","WOOD","1991-01-01T00:00:00.000",,"X121","P.S. 121 - BRONX","BRONX"
"11636","MAGIC SEEDS","MARGILETH","LYNN","PLEXIGLASS","1991-01-01T00:00:00.000",,"X121","P.S. 121 - BRONX","BRONX"
"11637","ABSTRACT","WILLIAMS","TODD","STEEL, PAINTED","1973-01-01T00:00:00.000",,"X167","P.S. 214 - BRONX","BRONX"
"11639","HISTORY OF SCIENCE AND LANGUAGE","HASTINGS","JACK","BRONZE",,,"Q425","JOHN BOWNE HS - QUEENS","QUEENS"
"11641","""GETTYSBURG ADDRESS""","BRENNER","VICTOR","BRONZE",,,"Q092","P.S. 92 - QUEENS","QUEENS"
"11642","MUSIC","ROBUS","HUGO","PLASTER","1938-01-01T00:00:00.000",,"K625","ROBESON HS COMP&BUS TC (A HML)-K","BROOKLYN"
