"unique_id","publish_date","site_id","status","ppt_id","address","city","state","zip","boro","latitude","longitude","cross_street_1","cross_street_2","corner","install_date","active_date","wifi_status","tablet_status","phone_status","community_board","council_district","census_tract","nta","nta_name"
"20181120_041521.mn-01-123002","2018-11-20T04:15:21.000","mn-01-123002","Link Active!","123002_139270","55 WATER STREET","New York","NY","10004","Manhattan","40.70331108026864","-74.00998457382894","COENTIES SLIP","OLD SLIP","SEC","2017-11-11T00:00:00.000","2018-02-27T00:00:00.000","up","up","up","1","1","9","MN25","Battery Park City-Lower Manhattan"
"20181120_041521.bx-04-119157","2018-11-20T04:15:21.000","bx-04-119157","Link Active!","119157","96 EAST 170 STREET","New York","NY","10452","Bronx","40.839445","-73.915848","WALTON AVENUE","WYTHE PLACE","SE","2016-06-09T00:00:00.000","2016-09-15T00:00:00.000","up","up","up","4","16","22102","BX63","West Concourse"
"20181120_041521.bk-01-140988","2018-11-20T04:15:21.000","bk-01-140988","Link Installed; Connecting Power and Fiber","140988","182 BEDFORD AVENUE","New York","NY","11249","Brooklyn","40.71777024","-73.95786908","NORTH 7 STREET","NORTH 6 STREET","SWC","2017-11-03T00:00:00.000",,"Not Available","Not Available","Not Available","1","33","553","BK73","North Side-South Side"
"20181120_041521.mn-07-133620","2018-11-20T04:15:21.000","mn-07-133620","Link Active!","133620_133621","2659 BROADWAY","New York","NY","10025","Manhattan","40.798018","-73.969557","WEST 101 STREET","WEST 102 STREET","NWC","2017-09-10T00:00:00.000","2018-01-03T00:00:00.000","up","up","up","7","6","187","MN12","Upper West Side"
"20181120_041521.mn-09-134916","2018-11-20T04:15:21.000","mn-09-134916","Link Installed; Connecting Power and Fiber","134916","601 WEST 111 STREET","New York","NY","10025","Manhattan","40.80511380585583","-73.9667880645693","BROADWAY","RIVERSIDE DRIVE","NWC","2018-05-01T00:00:00.000",,"Not Available","Not Available","Not Available","9","7","199","MN09","Morningside Heights"
"20181120_041521.qu-01-140339","2018-11-20T04:15:21.000","qu-01-140339","Link Active!","140339","47-16 BROADWAY","New York","NY","11103","Queens","40.75607269","-73.91297466","48 STREET","47 STREET","SW","2017-04-22T00:00:00.000","2017-05-23T00:00:00.000","up","up","up","1","26","161","QN70","Astoria"
"20181120_041521.qu-04-111122","2018-11-20T04:15:21.000","qu-04-111122","Link Active!","111122","95-36 ROOSEVELT AVENUE","New York","NY","11373","Queens","40.74897101","-73.8704887","WARREN STREET","95 STREET","SW","2017-07-22T00:00:00.000","2017-09-08T00:00:00.000","up","up","up","4","21","465","QN29","Elmhurst"
"20181120_041521.mn-07-120524","2018-11-20T04:15:21.000","mn-07-120524","Link Active!","120524","201 WEST 100 STREET","New York","NY","10025","Manhattan","40.79673748","-73.96864684","AMSTERDAM AVENUE","BROADWAY","NW","2016-07-28T00:00:00.000","2016-10-10T00:00:00.000","up","up","up","7","7","187","MN12","Upper West Side"
"20181120_041521.mn-06-121703","2018-11-20T04:15:21.000","mn-06-121703","Link Active!","121703","1044 1 AVENUE","New York","NY","10022","Manhattan","40.75811339809418","-73.96291404940564","EAST 57 STREET","EAST 56 STREET","SE","2017-10-25T00:00:00.000","2018-05-09T00:00:00.000","up","up","up","6","5","10601","MN19","Turtle Bay-East Midtown"
"20181120_041521.bx-01-117230","2018-11-20T04:15:21.000","bx-01-117230","Link Active!","117230","256 ST. ANN'S AVENUE","New York","NY","10454","Bronx","40.80737752","-73.91700042","EAST 139 STREET","MONSIGNOR GERALD J RYAN BOULEVAR","SE","2018-02-25T00:00:00.000","2018-07-02T00:00:00.000","up","up","up","1","8","2702","BX39","Mott Haven-Port Morris"
"20181120_041521.mn-04-122691","2018-11-20T04:15:21.000","mn-04-122691","Link Active!","122691_139229","413 8 AVENUE","New York","NY","10001","Manhattan","40.75022678","-73.99505137","WEST 31 STREET","WEST 30 STREET","NW","2016-03-18T00:00:00.000","2016-04-07T00:00:00.000","up","up","up","4","3","103","MN13","Hudson Yards-Chelsea-Flatiron-Union Square"
"20181120_041521.mn-05-118228","2018-11-20T04:15:21.000","mn-05-118228","Link Active!","118228","1745 BROADWAY","New York","NY","10019","Manhattan","40.76534122","-73.98212946","WEST 56 STREET","WEST 55 STREET","NE","2017-08-31T00:00:00.000","2018-02-07T00:00:00.000","up","up","up","5","3","137","MN17","Midtown-Midtown South"
"20181120_041521.mn-05-138006","2018-11-20T04:15:21.000","mn-05-138006","Link Active!","138006_138007","750 6 AVENUE","New York","NY","10010","Manhattan","40.7437055","-73.99208429","WEST 25 STREET","WEST 24 STREET","NE","2017-09-24T00:00:00.000","2017-12-04T00:00:00.000","up","up","up","5","3","58","MN13","Hudson Yards-Chelsea-Flatiron-Union Square"
"20181120_041521.mn-01-123041","2018-11-20T04:15:21.000","mn-01-123041","Link Installed; Connecting Power and Fiber","123041_123054","70 CHAMBERS STREET","New York","NY","10007","Manhattan","40.71420865","-74.0065117","BROADWAY","CHURCH STREET","SWC","2018-05-24T00:00:00.000",,"Not Available","Not Available","Not Available","1","1","21","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"20181120_041521.bx-05-119569","2018-11-20T04:15:21.000","bx-05-119569","Link Active!","119569","2454 CRESTON AVENUE","New York","NY","10468","Bronx","40.86215226","-73.89839588","EAST FORDHAM ROAD","EAST 188 STREET","SE","2017-06-24T00:00:00.000","2017-10-26T00:00:00.000","up","up","up","5","14","23703","BX40","Fordham South"
"20181120_041521.bx-04-119160","2018-11-20T04:15:21.000","bx-04-119160","Link Active!","119160_119162","52 EAST 161 STREET","New York","NY","10451","Bronx","40.82755199","-73.92590252","RIVER AVENUE","GERARD AVENUE","SE","2016-08-13T00:00:00.000","2016-09-13T00:00:00.000","up","up","up","4","8","63","BX63","West Concourse"
"20181120_041521.bk-07-108701","2018-11-20T04:15:21.000","bk-07-108701","Link Active!","108701","731 4 AVENUE","New York","NY","11232","Brooklyn","40.660871","-73.997387","24 STREET","25 STREET","SE","2017-03-06T00:00:00.000","2017-04-26T00:00:00.000","up","up","up","7","38","101","BK32","Sunset Park West"
"20181120_041521.bk-01-143275","2018-11-20T04:15:21.000","bk-01-143275","Link Active!","143275","88 NORMAN AVENUE","New York","NY","11222","Brooklyn","40.725456","-73.951496","MANHATTAN AVENUE","LEONARD STREET","SE","2017-03-11T00:00:00.000","2017-06-09T00:00:00.000","up","up","up","1","33","569","BK76","Greenpoint"
"20181120_041521.mn-06-134921","2018-11-20T04:15:21.000","mn-06-134921","Link Active!","134921","341 3 AVENUE","New York","NY","10010","Manhattan","40.74021823","-73.98198848","EAST 25 STREET","EAST 26 STREET","NE","2018-03-18T00:00:00.000","2018-05-09T00:00:00.000","up","up","up","6","2","66","MN20","Murray Hill-Kips Bay"
"20181120_041521.mn-07-133408","2018-11-20T04:15:21.000","mn-07-133408","Link Active!","133408_133409","2120 BROADWAY","New York","NY","10023","Manhattan","40.78032124","-73.98131051","WEST 74 STREET","WEST 75 STREET","NE","2016-05-05T00:00:00.000","2016-05-26T00:00:00.000","up","up","up","7","6","163","MN12","Upper West Side"
"20181120_041521.mn-08-134746","2018-11-20T04:15:21.000","mn-08-134746","Link Active!","134746_134747","238 EAST 86 STREET","New York","NY","10028","Manhattan","40.77814082","-73.9525944","2 AVENUE","3 AVENUE","MIDBLK","2016-11-04T00:00:00.000","2017-02-01T00:00:00.000","up","up","up","8","5","14601","MN32","Yorkville"
"20181120_041521.mn-09-134828","2018-11-20T04:15:21.000","mn-09-134828","Link Active!","134828","3559 BROADWAY","New York","NY","10031","Manhattan","40.82704355","-73.95022615","WEST 146 STREET","WEST 145 STREET","SWC","2017-08-25T00:00:00.000","2017-09-18T00:00:00.000","up","up","up","9","7","229","MN04","Hamilton Heights"
"20181120_041521.mn-10-142813","2018-11-20T04:15:21.000","mn-10-142813","Link Active!","142813","2306 FREDERICK DOUGLASS BOULEVARD","New York","NY","10027","Manhattan","40.8092681","-73.95170768","WEST 124 STREET","WEST 123 STREET","SE","2016-09-24T00:00:00.000","2016-10-14T00:00:00.000","up","down","up","10","9","222","MN11","Central Harlem South"
"20181120_041521.qu-01-140214","2018-11-20T04:15:21.000","qu-01-140214","Link Active!","140214","50-01 NORTHERN BOULEVARD","New York","NY","11103","Queens","40.75336987","-73.91232033","50 STREET","51 STREET","NE","2017-09-30T00:00:00.000","2017-10-18T00:00:00.000","up","up","up","1","26","163","QN70","Astoria"
"20181120_041521.qu-03-125399","2018-11-20T04:15:21.000","qu-03-125399","Link Active!","125399","85-10 NORTHERN BOULEVARD","New York","NY","11372","Queens","40.755835","-73.881778","86 STREET","85 STREET","SWC","2018-04-28T00:00:00.000","2018-06-28T00:00:00.000","up","up","up","3","25","281","QN28","Jackson Heights"
"20181120_041521.qu-04-111010","2018-11-20T04:15:21.000","qu-04-111010","Link Active!","111010","72-30 ROOSEVELT AVENUE","New York","NY","11377","Queens","40.74667176112246","-73.89253172616469","73 STREET","72 STREET","SW","2017-07-08T00:00:00.000","2017-08-24T00:00:00.000","up","up","up","4","25","265","QN50","Elmhurst-Maspeth"
"20181120_041521.qu-09-143998","2018-11-20T04:15:21.000","qu-09-143998","Link Active!","143998","97-20 JAMAICA AVENUE","New York","NY","11421","Queens","40.69469686","-73.8478444","98 STREET","97 STREET","SW","2017-08-19T00:00:00.000","2017-09-25T00:00:00.000","up","up","up","9","32","30","QN53","Woodhaven"
"20181120_041521.mn-07-120526","2018-11-20T04:15:21.000","mn-07-120526","Link Active!","120526","755 AMSTERDAM AVENUE","New York","NY","10025","Manhattan","40.794604","-73.969837","WEST 97 STREET","WEST 96 STREET","SE","2016-08-01T00:00:00.000","2016-10-07T00:00:00.000","up","up","up","7","7","181","MN12","Upper West Side"
"20181120_041521.mn-06-121787","2018-11-20T04:15:21.000","mn-06-121787","Link Active!","121787_121788","300 EAST 52 STREET","New York","NY","10022","Manhattan","40.75601841","-73.96746716","2 AVENUE","1 AVENUE","SEC","2017-08-26T00:00:00.000","2018-03-05T00:00:00.000","up","up","up","6","4","98","MN19","Turtle Bay-East Midtown"
"20181120_041521.mn-06-121695","2018-11-20T04:15:21.000","mn-06-121695","Link Active!","121695_121696","1011 1 AVENUE","New York","NY","10022","Manhattan","40.75717377","-73.96390551","EAST 55 STREET","EAST 56 STREET","NW","2017-10-20T00:00:00.000","2018-05-02T00:00:00.000","up","up","up","6","5","108","MN19","Turtle Bay-East Midtown"
"20181120_041521.bk-07-145862","2018-11-20T04:15:21.000","bk-07-145862","Link Active!","145862","899 4 AVENUE","New York","NY","11232","Brooklyn","40.6554376","-74.00305032","34 STREET","33 STREET","NE","2017-07-01T00:00:00.000","2017-08-22T00:00:00.000","up","up","up","7","38","84","BK32","Sunset Park West"
"20181120_041521.bx-01-116415","2018-11-20T04:15:21.000","bx-01-116415","Link Active!","116415_117207","522 MORRIS AVENUE","New York","NY","10451","Bronx","40.81675132","-73.92295481","EAST 148 STREET","EAST 149 STREET","NE","2017-01-21T00:00:00.000","2017-03-06T00:00:00.000","up","down","up","1","17","65","BX34","Melrose South-Mott Haven North"
"20181120_041521.mn-03-123367","2018-11-20T04:15:21.000","mn-03-123367","Link Active!","123367_142452","84 DELANCEY STREET","New York","NY","10002","Manhattan","40.719215","-73.98985","ORCHARD STREET","ALLEN STREET","NW","2016-11-14T00:00:00.000","2016-12-28T00:00:00.000","up","up","up","3","1","18","MN27","Chinatown"
"20181120_041521.mn-03-123295","2018-11-20T04:15:21.000","mn-03-123295","Link Active!","123295_142432","56 1 AVENUE","New York","NY","10009","Manhattan","40.724614","-73.98733637","EAST 3 STREET","EAST 4 STREET","NE","2017-10-07T00:00:00.000","2018-02-07T00:00:00.000","up","up","up","3","2","32","MN22","East Village"
"20181120_041521.mn-05-139462","2018-11-20T04:15:21.000","mn-05-139462","Link Active!","139462","828 8 AVENUE","New York","NY","10019","Manhattan","40.762151","-73.986052","WEST 50 STREET","WEST 49 STREET","SE","2016-03-06T00:00:00.000","2016-04-06T00:00:00.000","up","up","up","5","3","125","MN17","Midtown-Midtown South"
"20181120_041521.mn-05-121354","2018-11-20T04:15:21.000","mn-05-121354","Link Active!","121354_122081","678 8 AVENUE","New York","NY","10036","Manhattan","40.757753","-73.989252","WEST 42 STREET","WEST 43 STREET","SE","2016-03-11T00:00:00.000","2016-04-06T00:00:00.000","up","up","up","5","3","119","MN17","Midtown-Midtown South"
"20181120_041521.mn-06-121773","2018-11-20T04:15:21.000","mn-06-121773","Link Active!","121773_139571","1077 2 AVENUE","New York","NY","10022","Manhattan","40.75923366","-73.96550379","EAST 57 STREET","EAST 56 STREET","SW","2018-04-07T00:00:00.000","2018-06-12T00:00:00.000","up","up","up","6","4","108","MN19","Turtle Bay-East Midtown"
"20181120_041521.mn-05-137879","2018-11-20T04:15:21.000","mn-05-137879","Link Active!","137879","96 5 AVENUE","New York","NY","10011","Manhattan","40.73663894","-73.99328247","EAST 15 STREET","EAST 14 STREET","SW","2017-09-30T00:00:00.000","2018-04-04T00:00:00.000","up","up","up","5","3","54","MN13","Hudson Yards-Chelsea-Flatiron-Union Square"
"20181120_041521.mn-03-123797","2018-11-20T04:15:21.000","mn-03-123797","Link Active!","123797_142143","410 EAST 6 STREET","New York","NY","10009","Manhattan","40.72630382","-73.98610433","1 AVENUE","AVENUE A","SE","2017-04-08T00:00:00.000","2017-05-30T00:00:00.000","up","up","up","3","2","32","MN22","East Village"
"20181120_041521.mn-01-123076","2018-11-20T04:15:21.000","mn-01-123076","Link Active!","123076_139260","110 MAIDEN LANE","New York","NY","10005","Manhattan","40.70624185","-74.00624351","WATER STREET","PEARL STREET","SWC","2017-11-04T00:00:00.000","2018-02-09T00:00:00.000","up","up","up","1","1","7","MN25","Battery Park City-Lower Manhattan"
"20181120_041521.bx-05-119570","2018-11-20T04:15:21.000","bx-05-119570","Link Active!","119570_119571","100 EAST 188 STREET","New York","NY","10468","Bronx","40.86208577","-73.89952057","EAST 188 STREET","MORRIS STREET","SE","2017-05-10T00:00:00.000","2017-07-20T00:00:00.000","up","up","up","5","14","23703","BX40","Fordham South"
"20181120_041521.mn-05-122658","2018-11-20T04:15:21.000","mn-05-122658","Link Active!","122658_122671","704 7 AVENUE","New York","NY","10036","Manhattan","40.75937884","-73.98463666","WEST 47 STREET","WEST 48 STREET","NWC","2017-11-22T00:00:00.000","2018-03-08T00:00:00.000","up","up","up","5","4","125","MN17","Midtown-Midtown South"
"20181120_041521.mn-06-121770","2018-11-20T04:15:21.000","mn-06-121770","Link Installed; Connecting Power and Fiber","121770","1063 2 AVENUE","New York","NY","10022","Manhattan","40.75877707","-73.9658397","EAST 56 STREET","EAST 57 STREET","NW","2018-05-12T00:00:00.000",,"Not Available","Not Available","Not Available","6","4","108","MN19","Turtle Bay-East Midtown"
"20181120_041521.bx-04-140582","2018-11-20T04:15:21.000","bx-04-140582","Link Active!","140582","597 GRAND CONCOURSE","New York","NY","10451","Bronx","40.819886","-73.926847","EAST 151 STREET","EAST 150 STREET","SW","2016-06-09T00:00:00.000","2016-07-15T00:00:00.000","up","up","up","4","8","63","BX63","West Concourse"
"20181120_041521.bk-16-145761","2018-11-20T04:15:21.000","bk-16-145761","Link Active!","145761","2069 FULTON STREET","New York","NY","11233","Brooklyn","40.67831185","-73.91025266","ROCKAWAY AVENUE","TRUXTON STREET","NE","2017-03-03T00:00:00.000","2017-04-20T00:00:00.000","up","up","up","16","37","369","BK79","Ocean Hill"
"20181120_041521.bk-07-125841","2018-11-20T04:15:21.000","bk-07-125841","Link Active!","125841","875 4 AVENUE","New York","NY","11232","Brooklyn","40.656011","-74.002446","33 STREET","32 STREET","NE","2017-02-24T00:00:00.000","2017-04-13T00:00:00.000","up","up","up","7","38","101","BK32","Sunset Park West"
"20181120_041521.bk-02-134976","2018-11-20T04:15:21.000","bk-02-134976","Link Active!","134976","248 DUFFIELD STREET","New York","NY","11201","Brooklyn","40.690588","-73.984481","FULTON STREET","WILLOUGHBY STREET","NW","2017-02-13T00:00:00.000","2017-03-07T00:00:00.000","up","up","up","2","33","15","BK38","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"20181120_041521.bk-01-145857","2018-11-20T04:15:21.000","bk-01-145857","Link Active!","145857","256 GRAHAM AVENUE","New York","NY","11206","Brooklyn","40.7110789","-73.94373207","MAUJER STREET","GRAND STREET","NE","2017-06-27T00:00:00.000","2017-08-10T00:00:00.000","up","up","up","1","34","495","BK90","East Williamsburg"
"20181120_041521.mn-07-143295","2018-11-20T04:15:21.000","mn-07-143295","Link Active!","143295_143296","2276 BROADWAY","New York","NY","10024","Manhattan","40.7856129837694","-73.97843851454815","WEST 82 STREET","WEST 81 STREET","SE","2017-06-19T00:00:00.000","2017-07-20T00:00:00.000","up","up","up","7","6","167","MN12","Upper West Side"
"20181120_041521.mn-06-134920","2018-11-20T04:15:21.000","mn-06-134920","Link Active!","134920","438 3 AVENUE","New York","NY","10016","Manhattan","40.74349362","-73.97990736","EAST 30 STREET","EAST 31 STREET","NW","2017-06-30T00:00:00.000","2017-08-03T00:00:00.000","up","up","up","6","2","72","MN20","Murray Hill-Kips Bay"
"20181120_041521.mn-07-133397","2018-11-20T04:15:21.000","mn-07-133397","Link Active!","133397_133398","2206 BROADWAY","New York","NY","10024","Manhattan","40.783373","-73.980123","WEST 78 STREET","WEST 79 STREET","S MID","2017-09-10T00:00:00.000","2018-01-03T00:00:00.000","up","up","up","7","6","167","MN12","Upper West Side"
"20181120_041521.mn-07-138882","2018-11-20T04:15:21.000","mn-07-138882","Link Active!","138882","221 WEST 81 STREET","New York","NY","10024","Manhattan","40.78506849087569","-73.97863266901436","BROADWAY","AMSTERDAM AVENUE","NE","2016-12-18T00:00:00.000","2017-08-30T00:00:00.000","up","up","up","7","6","167","MN12","Upper West Side"
"20181120_041521.mn-08-119833","2018-11-20T04:15:21.000","mn-08-119833","Link Active!","119833_119834","1622 3 AVENUE","New York","NY","10128","Manhattan","40.782159","-73.951699","EAST 91 STREET","EAST 92 STREET","NW","2016-02-15T00:00:00.000","2016-03-23T00:00:00.000","up","up","up","8","5","15801","MN40","Upper East Side-Carnegie Hill"
"20181120_041521.mn-08-134742","2018-11-20T04:15:21.000","mn-08-134742","Link Active!","134742_134743","1330 3 AVENUE","New York","NY","10021","Manhattan","40.7724771","-73.95876684","EAST 76 STREET","EAST 77 STREET","NW","2016-03-05T00:00:00.000","2016-03-24T00:00:00.000","up","up","up","8","4","128","MN40","Upper East Side-Carnegie Hill"
"20181120_041521.mn-09-120565","2018-11-20T04:15:21.000","mn-09-120565","Link Active!","120565_120577","1722 AMSTERDAM AVENUE","New York","NY","10031","Manhattan","40.825419","-73.947604","WEST 145 STREET","WEST 146 STREET","NW","2016-06-24T00:00:00.000","2017-02-01T00:00:00.000","up","up","up","9","7","229","MN04","Hamilton Heights"
"20181120_041521.mn-09-134826","2018-11-20T04:15:21.000","mn-09-134826","Link Active!","134826_134827","598 WEST 146 STREET","New York","NY","10031","Manhattan","40.826928","-73.949868","AMSTERDAM AVENUE","BROADWAY","SEC","2017-10-28T00:00:00.000","2018-03-13T00:00:00.000","up","up","up","9","7","229","MN04","Hamilton Heights"
"20181120_041521.mn-10-134578","2018-11-20T04:15:21.000","mn-10-134578","Link Active!","134578","2380 ADAM CLAYTON POWELL JR. BOULEVARD","New York","NY","10030","Manhattan","40.81802907","-73.94192414","WEST 139 STREET","WEST 140 STREET","NW","2017-08-13T00:00:00.000","2017-09-15T00:00:00.000","up","down","up",,,,,
"20181120_041521.mn-10-142812","2018-11-20T04:15:21.000","mn-10-142812","Link Active!","142812","2307 FREDERICK DOUGLASS BOULEVARD","New York","NY","10027","Manhattan","40.80943715","-73.95184032","WEST 124 STREET","WEST 123 STREET","SW","2016-09-17T00:00:00.000","2016-10-14T00:00:00.000","up","up","up","10","9","257","MN11","Central Harlem South"
"20181120_041521.mn-12-120348","2018-11-20T04:15:21.000","mn-12-120348","Link Active!","120348","3779 BROADWAY","New York","NY","10032","Manhattan","40.83418925","-73.94544961","WEST 157 STREET","WEST 156 STREET","SW","2016-12-20T00:00:00.000","2018-03-27T00:00:00.000","up","up","up","12","7","241","MN36","Washington Heights South"
"20181120_041521.mn-12-120658","2018-11-20T04:15:21.000","mn-12-120658","Link Active!","120658","1463 ST. NICHOLAS AVENUE","New York","NY","10033","Manhattan","40.850683","-73.93287","WEST 183 STREET","WEST 184 STREET","NWC","2017-12-05T00:00:00.000","2018-04-18T00:00:00.000","up","up","up","12","10","271","MN35","Washington Heights North"
"20181120_041521.qu-01-145950","2018-11-20T04:15:21.000","qu-01-145950","Link Active!","145950","42-27 35 AVENUE","New York","NY","11101","Queens","40.754135517147404","-73.91981870706041","43 STREET","42 STREET","NW","2017-08-31T00:00:00.000","2017-10-23T00:00:00.000","up","up","up","1","26","159","QN70","Astoria"
"20181120_041521.qu-03-125359","2018-11-20T04:15:21.000","qu-03-125359","Link Active!","125359_125367_125369","82-01 37 AVENUE","New York","NY","11372","Queens","40.74982932","-73.88415453","82 STREET","83 STREET","NE","2017-08-19T00:00:00.000","2017-11-08T00:00:00.000","up","up","up","3","25","283","QN28","Jackson Heights"
"20181120_041521.qu-03-139600","2018-11-20T04:15:21.000","qu-03-139600","Link Active!","139600","37-99 84 STREET","New York","NY","11372","Queens","40.74799093","-73.8820337","ROOSEVELT AVENUE","37 AVENUE","NE","2017-08-19T00:00:00.000","2017-09-07T00:00:00.000","up","up","up","3","21","281","QN28","Jackson Heights"
"20181120_041521.qu-03-146071","2018-11-20T04:15:21.000","qu-03-146071","Link Active!","146071","79-20 37 AVENUE","New York","NY","11372","Queens","40.74945855","-73.88645545","80 STREET","79 STREET","Midblock","2018-03-09T00:00:00.000","2018-04-12T00:00:00.000","up","up","up","3","25","285","QN28","Jackson Heights"
"20181120_041521.qu-09-124784","2018-11-20T04:15:21.000","qu-09-124784","Link Active!","124784","112-01 JAMAICA AVENUE","New York","NY","11418","Queens","40.697562874894686","-73.8362804014256","112 STREET","113 STREET","NE","2017-05-20T00:00:00.000","2017-07-31T00:00:00.000","up","up","up","9","32","130","QN54","Richmond Hill"
"20181120_041521.qu-09-138287","2018-11-20T04:15:21.000","qu-09-138287","Link Active!","138287","87-06 126 STREET","New York","NY","11418","Queens","40.70104","-73.824719","JAMAICA AVENUE","89 AVENUE","SWC","2018-05-19T00:00:00.000","2018-06-29T00:00:00.000","up","up","up","9","29","14201","QN54","Richmond Hill"
"20181120_041521.si-02-146100","2018-11-20T04:15:21.000","si-02-146100","Link Active!","146100","1617 RICHMOND ROAD","New York","NY","10304","Staten Island","40.59045311240619","-74.10092194682801","LIBERTY AVENUE","SEAVIEW AVENUE","Midblock","2018-07-12T00:00:00.000","2018-07-19T00:00:00.000","up","up","up","2","50","181","SI24","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"20181120_041521.mn-07-120527","2018-11-20T04:15:21.000","mn-07-120527","Link Installed; Connecting Power and Fiber","120527","741 COLUMBUS AVENUE","New York","NY","10025","Manhattan","40.793402085795286","-73.96700523950693","WEST 97 STREET","WEST 96 STREET","SE","2018-04-30T00:00:00.000",,"Not Available","Not Available","Not Available","7","7","181","MN12","Upper West Side"
"20181120_041521.mn-06-135679","2018-11-20T04:15:21.000","mn-06-135679","Link Active!","135679","384 2 AVENUE","New York","NY","10010","Manhattan","40.73737306","-73.98115859","EAST 22 STREET","EAST 23 STREET","NE","2017-09-28T00:00:00.000","2018-01-03T00:00:00.000","up","up","up","6","2","64","MN21","Gramercy"
"20181120_041521.mn-06-121790","2018-11-20T04:15:21.000","mn-06-121790","Link Active!","121790_139573","300 EAST 48 STREET","New York","NY","10017","Manhattan","40.753496","-73.969261","2 AVENUE","1 AVENUE","SEC","2017-11-14T00:00:00.000","2018-02-16T00:00:00.000","up","up","up","6","4","90","MN19","Turtle Bay-East Midtown"
"20181120_041521.mn-06-134832","2018-11-20T04:15:21.000","mn-06-134832","Link Active!","134832_134833","476 2 AVENUE","New York","NY","10016","Manhattan","40.74023291","-73.97904816","EAST 27 STREET","EAST 26 STREET","SE","2017-09-26T00:00:00.000","2017-11-15T00:00:00.000","up","up","up","6","2","66","MN20","Murray Hill-Kips Bay"
