"event_id","event_name","start_date_time","end_date_time","event_agency","event_type","event_borough","event_location","event_street_side","street_closure_type","community_board","police_precinct"
"321746","Brownsville Pitkin Youthmarket","2017-11-18T10:00:00.000","2017-11-18T15:00:00.000","Street Activity Permit Office","Farmers Market","Brooklyn"," PITKIN AVENUE between AMBOY STREET and THOMAS BOYLAND STREET","West","Partial Sidewalk Closure ","16, ","73, "
"335783","October, November December model aircraft flying","2017-11-15T09:00:00.000","2017-11-15T20:00:00.000","Parks Department","Special Event","Staten Island","LaTourette Park & Golf Course: Model Airplane Field ",,"N/A","2, ","122, "
"340926","Hamilton Heights One-Day Plaza","2017-11-22T10:00:00.000","2017-11-22T18:00:00.000","Street Activity Permit Office","Plaza Event","Manhattan"," HAMILTON PLACE between WEST  143 STREET and WEST  144 STREET","Full","Full Street Closure ","9, ","30, "
"376700","OCTOBER SYNTHETIC TURF CARE","2017-11-30T06:00:00.000","2017-11-30T15:00:00.000","Parks Department","Construction","Queens","Grover Cleveland Playground: Soccer-01 ,Grover Cleveland Playground: Soccer-02 ,Murray Playground: Soccer-01 ,Murray Playground: Soccer-02 ,Big Bush Park: Soccer-01 ,Hinton Park: Baseball-01 ,Hinton Park: Softball-02 ,Rockaway Beach Boardwalk: Football-01 ,Flushing Meadows Corona Park: Soccer-04 ,Flushing Meadows Corona Park: Soccer-05 ,Flushing Meadows Corona Park: Soccer-06 ,Kissena Corridor West: Rachel Carson Plgd-Multi Purpose Play Area-01 ,Flushing Meadows Corona Park: Soccer-01 ,Flushing ",,"N/A","01, 02, 03, 05, 07, 10, 12, 13, 14, 2, 81, 82, ","101, 102, 103, 104, 105, 106, 108, 109, 110, 114, 115, "
"325678","Marcus Garvey Mart  MGM","2017-11-25T09:00:00.000","2017-11-25T17:00:00.000","Parks Department","Special Event","Manhattan","Marcus Garvey Park: Marcus Garvey Park ",,"N/A","11, ","25, "
"369846","Lawn Maintenance","2017-11-24T00:00:00.000","2017-11-24T23:58:00.000","Parks Department","Construction","Manhattan","Madison Square Park: Farragut Lawn ",,"N/A","5, ","13, "
"369858","Lawn Maintenance","2017-11-16T00:00:00.000","2017-11-16T23:58:00.000","Parks Department","Construction","Manhattan","Madison Square Park: Dogwood / 25th St Lawn North ",,"N/A","5, ","13, "
"317955","57 Street Greenmarket Wednesday  Saturday","2017-11-22T08:00:00.000","2017-11-22T18:00:00.000","Street Activity Permit Office","Farmers Market","Manhattan"," 10 AVENUE between WEST   57 STREET and WEST   58 STREET","East","Sidewalk and Curb Lane Closure ","4, ","18, "
"374185","NYRR Open Run - Canarsie Park","2017-11-25T08:00:00.000","2017-11-25T09:00:00.000","Parks Department","Special Event","Brooklyn","Canarsie Park: Canarsie Park ",,"N/A","18, ","75, "
"317499","(2017) Green Market (Jan - Dec)","2017-12-04T08:00:00.000","2017-12-04T20:00:00.000","Parks Department","Special Event","Manhattan","Union Square Park: North Plaza ",,"N/A","5, ","13, "
"351902","ECACICAAAA Championships","2017-11-18T09:30:00.000","2017-11-18T12:00:00.000","Parks Department","Special Event","Bronx","Van Cortlandt Park: Cross Country Parade Ground Broadway 1 ",,"N/A","26, ","50, "
"380029","IDNYC Mobile Command Center at Williamsbridge Oval Park","2017-11-24T10:00:00.000","2017-11-24T16:00:00.000","Parks Department","Special Event","Bronx","Williamsbridge Oval: Scenic Tables ",,"N/A","7, ","52, "
"376700","OCTOBER SYNTHETIC TURF CARE","2017-11-08T06:00:00.000","2017-11-08T15:00:00.000","Parks Department","Construction","Queens","Grover Cleveland Playground: Soccer-01 ,Grover Cleveland Playground: Soccer-02 ,Murray Playground: Soccer-01 ,Murray Playground: Soccer-02 ,Big Bush Park: Soccer-01 ,Hinton Park: Baseball-01 ,Hinton Park: Softball-02 ,Rockaway Beach Boardwalk: Football-01 ,Flushing Meadows Corona Park: Soccer-04 ,Flushing Meadows Corona Park: Soccer-05 ,Flushing Meadows Corona Park: Soccer-06 ,Kissena Corridor West: Rachel Carson Plgd-Multi Purpose Play Area-01 ,Flushing Meadows Corona Park: Soccer-01 ,Flushing ",,"N/A","01, 02, 03, 05, 07, 10, 12, 13, 14, 2, 81, 82, ","101, 102, 103, 104, 105, 106, 108, 109, 110, 114, 115, "
"374682","Tofurky Trot","2017-11-19T08:00:00.000","2017-11-19T12:00:00.000","Parks Department","Special Event","Manhattan","Randall's Island Park: Park Paths and Roadways ,Randall's Island Park: Harlem River Picnic Area ",,"N/A","11, ","25, "
"317953","Borough Park Greenmarket Thursday","2017-11-21T08:00:00.000","2017-11-21T17:00:00.000","Street Activity Permit Office","Farmers Market","Brooklyn"," 14 AVENUE between 49 STREET and 50 STREET","West","Sidewalk and Curb Lane Closure ","12, ","66, "
"330659","West Dalehead Arch Landscape Restoration","2017-11-27T00:00:00.000","2017-11-27T23:59:00.000","Parks Department","Construction","Manhattan","Central Park: West Dalehead Arch ",,"N/A","64, ","22, "
"325357","Stone Street Pedestrian Mall","2017-03-17T11:00:00.000","2017-11-30T22:00:00.000","Street Activity Permit Office","Street Event","Manhattan"," STONE STREET between BROAD STREET and HANOVER SQUARE,  MILL LANE between SOUTH WILLIAM STREET and STONE STREET","Full","Full Street Closure ","1, ","1, "
"381180","Cedar Hill Winter Closure until April 7, 2018","2017-11-27T00:00:00.000","2017-11-27T01:00:00.000","Parks Department","Construction","Manhattan","Central Park: Cedar Hill ",,"N/A","64, ","22, "
"330035","Marcy Park Farmer's Market","2017-11-16T08:00:00.000","2017-11-16T16:00:00.000","Parks Department","Special Event","Brooklyn","Marcy Playground: Marcy Playground ",,"N/A","3, ","79, "
"376356","Billy Johnson Playground Lawn reconstruction","2017-11-28T00:00:00.000","2017-11-28T23:00:00.000","Parks Department","Construction","Manhattan","Central Park: Johnson Playground Lawns ",,"N/A","64, ","22, "
"368882","Lawn Closure due to COnstruction","2017-11-24T00:00:00.000","2017-11-24T23:00:00.000","Parks Department","Construction","Manhattan","Inwood Hill Park: Behind Nature Center Lawn ",,"N/A","12, ","34, "
"369856","Lawn Maintenance","2017-11-15T00:00:00.000","2017-11-15T23:58:00.000","Parks Department","Construction","Manhattan","Madison Square Park: Magnolia Lawn ",,"N/A","5, ","13, "
"381184","E 72nd  Plygrnd Lawn Winter Closure until April 7, 2018","2017-12-05T00:00:00.000","2017-12-05T23:59:00.000","Parks Department","Construction","Manhattan","Central Park: East 72nd Street Playground Lawns ",,"N/A","8, ","19, "
"381182","DIana Ross Plygrnd Lawn Winter Closure until April 7, 2018","2017-11-27T00:00:00.000","2017-11-27T23:59:00.000","Parks Department","Construction","Manhattan","Central Park: Diana Ross Playground Lawn ",,"N/A","64, ","22, "
"381181","Dairy Lawn Winter Closure until April 7, 2018","2017-12-04T00:00:00.000","2017-12-04T23:59:00.000","Parks Department","Special Event","Manhattan","Central Park: Dairy Lawn ",,"N/A","64, ","22, "
"368421","Big Apple Circus","2017-12-08T19:00:00.000","2017-12-08T20:00:00.000","Parks Department","Special Event","Manhattan","Damrosch Park: Damrosch Park ,Damrosch Park: Tent Area ,Damrosch Park: Tent Area ,Damrosch Park: Bandshell ",,"N/A","7, ","20, "
"335783","October, November December model aircraft flying","2017-12-02T09:00:00.000","2017-12-02T20:00:00.000","Parks Department","Special Event","Staten Island","LaTourette Park & Golf Course: Model Airplane Field ",,"N/A","2, ","122, "
"376143","Walker Park Afterschool","2017-12-01T11:00:00.000","2017-12-01T19:00:00.000","Parks Department","Special Event","Staten Island","Walker Park: Walker Park - Whole Park ",,"N/A","1, ","120, "
"366760","Field Reconstruction","2017-11-18T06:00:00.000","2017-11-18T23:00:00.000","Parks Department","Construction","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ",,"N/A","11, ","25, "
"379800","Party ","2017-11-18T11:00:00.000","2017-11-18T13:00:00.000","Parks Department","Special Event","Manhattan","Riverside Park: Lawn-72nd Street Track-RSP ,Riverside Park: Lawn-N. 72nd Street Track-RSP ",,"N/A","7, ","20, "
"316786","2017 NO AMPLIFIED SOUND","2017-11-26T07:00:00.000","2017-11-26T21:00:00.000","Parks Department","Special Event","Manhattan","East River Park: Amphitheater ",,"N/A","3, ","7, "
"378413","March of Remembrance","2017-11-18T11:30:00.000","2017-11-18T14:00:00.000","Police Department","Parade","Manhattan","37 EAST    7 STREET between 2 AVENUE and TARAS SHEVCHENKO PLACE,  EAST   51 STREET between MADISON AVENUE and PARK AVENUE,  EAST   51 STREET between PARK AVENUE and MADISON AVENUE,  3 AVENUE between COOPER SQUARE and EAST   51 STREET,  EAST   51 STREET between 3 AVENUE and PARK AVENUE,  COOPER SQUARE between EAST    7 STREET and ST MARKS PLACE","Both","Full Street Closure ","3, 5, 6, ","13, 17, 18, 9, "
"335783","October, November December model aircraft flying","2017-11-28T09:00:00.000","2017-11-28T20:00:00.000","Parks Department","Special Event","Staten Island","LaTourette Park & Golf Course: Model Airplane Field ",,"N/A","2, ","122, "
"363387","Crab Apple Grove LAWN CLOSURE","2017-11-11T00:00:00.000","2017-11-11T23:59:00.000","Parks Department","Construction","Manhattan","Riverside Park: Crab Apple Grove-RSP ",,"N/A","7, ","24, "
"364912","Miscellaneous","2017-11-13T08:00:00.000","2017-11-13T20:00:00.000","Parks Department","Construction","Queens","Flushing Meadows Corona Park: Cricket-17 ,Flushing Meadows Corona Park: Cricket-19 ,Flushing Meadows Corona Park: Festival Site ",,"N/A","81, ","110, "
"369429","Ai WeiWei Installation","2017-11-19T01:00:00.000","2017-11-19T22:00:00.000","Parks Department","Special Event","Manhattan","Washington Square Park: Arch Plaza ",,"N/A","2, ","6, "
"375524","Great Hill Winter Closure","2017-11-23T00:00:00.000","2017-11-23T01:00:00.000","Parks Department","Construction","Manhattan","Central Park: Great Hill Oval ",,"N/A","64, ","22, "
"363387","Crab Apple Grove LAWN CLOSURE","2017-11-13T00:00:00.000","2017-11-13T23:59:00.000","Parks Department","Construction","Manhattan","Riverside Park: Crab Apple Grove-RSP ",,"N/A","7, ","24, "
"369858","Lawn Maintenance","2017-12-03T00:00:00.000","2017-12-03T23:58:00.000","Parks Department","Construction","Manhattan","Madison Square Park: Dogwood / 25th St Lawn North ",,"N/A","5, ","13, "
"324814","Model Helicopter Flying","2017-11-23T08:00:00.000","2017-11-23T19:00:00.000","Parks Department","Special Event","Brooklyn","Calvert Vaux Park: Hobby Field ",,"N/A","13, ","60, "
"376356","Billy Johnson Playground Lawn reconstruction","2017-11-13T00:00:00.000","2017-11-13T23:00:00.000","Parks Department","Construction","Manhattan","Central Park: Johnson Playground Lawns ",,"N/A","64, ","22, "
"315096","East 67th Street Market","2017-11-25T06:00:00.000","2017-11-25T17:00:00.000","Street Activity Permit Office","Farmers Market","Manhattan","408 EAST   67 STREET between YORK AVENUE and FIRST AVENUE","South","Partial Sidewalk Closure ","8, ","19, "
"379108","Permitted Film Event","2017-10-26T00:01:00.000","2017-11-08T23:59:00.000","Mayor's Office of Film, Theatre & Broadcasting","Shooting Permit","Brooklyn","73 WEST STREET, NOBLE STREET between WEST STREET and DEAD END",,"N/A","1, ","94, "
"314114","Columbia Greenmarket Sunday","2017-11-26T08:00:00.000","2017-11-26T05:00:00.000","Street Activity Permit Office","Farmers Market","Manhattan"," BROADWAY between WEST  114 STREET and WEST  116 STREET","East","Sidewalk and Curb Lane Closure ","9, ","26, "
"375524","Great Hill Winter Closure","2017-12-01T00:00:00.000","2017-12-01T01:00:00.000","Parks Department","Construction","Manhattan","Central Park: Great Hill Oval ",,"N/A","64, ","22, "
"374191","NYRR Open Run - Flushing Meadows Corona Park","2017-11-23T19:00:00.000","2017-11-23T20:00:00.000","Parks Department","Special Event","Queens","Flushing Meadows Corona Park: Zoo Large Event Area ",,"N/A","81, ","110, "
"365288","End of Season Celebration","2017-11-17T10:00:00.000","2017-11-17T13:00:00.000","Parks Department","Special Event","Bronx","Van Cortlandt Park: Friends' Compost Site   ",,"N/A","26, ","50, "
"369856","Lawn Maintenance","2017-11-17T00:00:00.000","2017-11-17T23:58:00.000","Parks Department","Construction","Manhattan","Madison Square Park: Magnolia Lawn ",,"N/A","5, ","13, "
"369134","Tinkergarten class","2017-11-09T10:00:00.000","2017-11-09T11:15:00.000","Parks Department","Special Event","Staten Island","Willowbrook Park: Carousel Lawn ",,"N/A","2, ","122, "
"374769","Miscellaneous","2017-12-02T07:00:00.000","2017-12-02T23:59:00.000","Parks Department","Construction","Manhattan","East River Park: Soccer-01 ,East River Park: Track-01 ",,"N/A","03, ","9, "
"368421","Big Apple Circus","2017-11-16T19:00:00.000","2017-11-16T20:00:00.000","Parks Department","Special Event","Manhattan","Damrosch Park: Damrosch Park ,Damrosch Park: Tent Area ,Damrosch Park: Tent Area ,Damrosch Park: Bandshell ",,"N/A","7, ","20, "
"349744","Celebration","2017-12-04T13:00:00.000","2017-12-04T15:00:00.000","Parks Department","Special Event","Manhattan","Central Park: Ladies' Pavilion ",,"N/A","64, ","22, "
"369858","Lawn Maintenance","2017-12-02T00:00:00.000","2017-12-02T23:58:00.000","Parks Department","Construction","Manhattan","Madison Square Park: Dogwood / 25th St Lawn North ",,"N/A","5, ","13, "
"376356","Billy Johnson Playground Lawn reconstruction","2017-12-06T00:00:00.000","2017-12-06T23:00:00.000","Parks Department","Construction","Manhattan","Central Park: Johnson Playground Lawns ",,"N/A","64, ","22, "
"320574","Park Slope Farmers Market","2017-11-26T10:00:00.000","2017-11-26T17:00:00.000","Street Activity Permit Office","Farmers Market","Brooklyn"," 4 STREET between 5 AVENUE and DEAD END","North","Full Sidewalk Closure ","6, ","78, "
"381180","Cedar Hill Winter Closure until April 7, 2018","2017-11-28T00:00:00.000","2017-11-28T01:00:00.000","Parks Department","Construction","Manhattan","Central Park: Cedar Hill ",,"N/A","64, ","22, "
"330659","West Dalehead Arch Landscape Restoration","2017-11-13T00:00:00.000","2017-11-13T23:59:00.000","Parks Department","Construction","Manhattan","Central Park: West Dalehead Arch ",,"N/A","64, ","22, "
"320618","Athletic Event Non Sports ","2017-12-07T07:30:00.000","2017-12-07T08:30:00.000","Parks Department","Special Event","Manhattan","Fort Tryon Park: Margaret Corbin Circle ,Fort Tryon Park: Heather Garden ,Fort Tryon Park: Fort Tryon Park ",,"N/A","12, ","34, "
"338048","Radio Control Airplanes","2017-11-15T08:00:00.000","2017-11-15T14:00:00.000","Parks Department","Special Event","Bronx","Ferry Point Park: Ferry Point Park ",,"N/A","10, ","45, "
"322449","Team meeting","2017-11-30T19:00:00.000","2017-11-30T21:30:00.000","Parks Department","Special Event","Staten Island","Silver Lake Park: Reservoir Circumference ",,"N/A","1, ","120, "
"347757","restoration project","2017-11-21T00:00:00.000","2017-11-21T23:30:00.000","Parks Department","Special Event","Manhattan","Morningside Park: West 114th St Picnic Area ",,"N/A","9, ","26, "
"369429","Ai WeiWei Installation","2017-11-12T01:00:00.000","2017-11-12T22:00:00.000","Parks Department","Special Event","Manhattan","Washington Square Park: Arch Plaza ",,"N/A","2, ","6, "
"368421","Big Apple Circus","2017-11-28T19:00:00.000","2017-11-28T20:00:00.000","Parks Department","Special Event","Manhattan","Damrosch Park: Damrosch Park ,Damrosch Park: Tent Area ,Damrosch Park: Tent Area ,Damrosch Park: Bandshell ",,"N/A","7, ","20, "
"376700","OCTOBER SYNTHETIC TURF CARE","2017-11-18T06:00:00.000","2017-11-18T15:00:00.000","Parks Department","Construction","Queens","Grover Cleveland Playground: Soccer-01 ,Grover Cleveland Playground: Soccer-02 ,Murray Playground: Soccer-01 ,Murray Playground: Soccer-02 ,Big Bush Park: Soccer-01 ,Hinton Park: Baseball-01 ,Hinton Park: Softball-02 ,Rockaway Beach Boardwalk: Football-01 ,Flushing Meadows Corona Park: Soccer-04 ,Flushing Meadows Corona Park: Soccer-05 ,Flushing Meadows Corona Park: Soccer-06 ,Kissena Corridor West: Rachel Carson Plgd-Multi Purpose Play Area-01 ,Flushing Meadows Corona Park: Soccer-01 ,Flushing ",,"N/A","01, 02, 03, 05, 07, 10, 12, 13, 14, 2, 81, 82, ","101, 102, 103, 104, 105, 106, 108, 109, 110, 114, 115, "
"375840","Winter Village at Bryant Park","2017-11-14T00:00:00.000","2017-11-14T23:59:00.000","Parks Department","Special Event","Manhattan","Bryant Park: Bryant Park ",,"N/A","5, ","14, "
"358771","Staten Island Athletic Club Fun Run","2017-11-29T09:00:00.000","2017-11-29T11:00:00.000","Parks Department","Special Event","Staten Island","Clove Lakes Park: Trails Clove Lakes ",,"N/A","1, ","120, "
"366760","Field Reconstruction","2017-11-30T06:00:00.000","2017-11-30T23:00:00.000","Parks Department","Construction","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ",,"N/A","11, ","25, "
"374198","NYRR Open Run -Soundview Park","2017-11-18T08:00:00.000","2017-11-18T09:00:00.000","Parks Department","Special Event","Bronx","Soundview Park: Soundview Park ",,"N/A","9, ","43, "
"324471","East Harlem Farmer's Market","2017-11-09T07:00:00.000","2017-11-09T17:00:00.000","Street Activity Permit Office","Farmers Market","Manhattan"," EAST  104 STREET between SECOND AVENUE and THIRD AVENUE","Full","Full Street Closure ","11, ","23, "
"328765","flea market","2017-11-12T08:00:00.000","2017-11-12T19:00:00.000","Street Activity Permit Office","Sidewalk Sale","Manhattan"," BLEECKER STREET between CARMINE STREET and LEROY STREET","South","Partial Sidewalk Closure ","2, ","6, "
"379802","Prodject - Chanel Event","2017-11-12T10:00:00.000","2017-11-12T22:00:00.000","Street Activity Permit Office","Production Event","Manhattan"," MERCER STREET between BROOME STREET and SPRING STREET","Both","Curb Lane Only","2, ","1, "
"318106","Old Cathedral Outdoor Market","2017-11-10T10:00:00.000","2017-11-10T19:00:00.000","Street Activity Permit Office","Sidewalk Sale","Manhattan"," PRINCE STREET between MOTT STREET and MULBERRY STREET","North","Sidewalk and Street Closure ","2, ","5, "
"378826","Party ","2017-11-12T12:00:00.000","2017-11-12T17:00:00.000","Parks Department","Special Event","Queens","Forest Park: BBQ Area Orange ",,"N/A","82, ","102, "
