"the_geom","objectid_1","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","siteid","category","installati","address","geocodeadd","street","crossstree","borough","comdist","busroute","bid","latitude","longitude","ntaname","femafldz","femafldt","hrcevac","seatingtyp"
"POINT (-73.98647041007366 40.704304841525406)","808.0","3","Brooklyn","302","33","52","26","7","3162.0","BID","2015-09-09T00:00:00.000","25 Jay Street","25 Jay Street","Jay Street","John Street & Plymouth Street","Brooklyn","302.0","Not Applicable","DUMBO Improvement District","40.7043048415","-73.9864704101","Downtown Brooklyn-DUMBO-Boerum Hill","AE",,"2","BACKED 1.0"
"POINT (-73.89229257704223 40.89585670424556)","1878.0","2","Bronx","226","11","81","34","16","3600","Bus Route","2017-03-11T00:00:00.000","Van Cortland Park","5983 Broadway","Broadway","Manhattan College Parkway & W 242nd Street","Bronx","208.0","BX09","Not Applicable","40.8958567042","-73.892292577","Van Cortlandt Park","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 2.0"
"POINT (-73.78361817086507 40.776536046181135)","1336.0","4","Queens","407","19","26","11","3","3071.0","General","2015-06-02T00:00:00.000","208-11 26th Avenue","208-11 26th Avenue","208-11 26th Avenue","Celarview Expwy & Corporal Kennedy Street","Queens","407.0","Not Applicable","Not Applicable","40.7765360462","-73.7836181709","Bay Terrace-Clearview","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.93633517569184 40.84595347252472)","1717.0","1","Manhattan","112","10","72","31","13","3153.0","General","2015-09-12T00:00:00.000","1313 St Nicholas Avenue","1313 St Nicholas Avenue","St Nicholas Avenue","W 175 Street & W 176 Street","Manhattan","112.0","Not Applicable","Not Applicable","40.8459534725","-73.9363351757","Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.90686297159101 40.773215945146944)","2093.0","4","Queens","401","22","36","13","14","3382.0","Municipal Facilities","2016-12-03T00:00:00.000","22-11 38th Street","22-11 38th Street","38th Street","38th Street & Steinway Street","Queens","401.0","Not Applicable","Not Applicable","40.7732159451","-73.9068629716","Astoria (North)-Ditmars-Steinway","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.97919234986585 40.789548838233365)","1410.0","1","Manhattan","107","6","67","31","10","2128.0","Senior Center","2014-03-24T00:00:00.000","333 West 86th Street","333 West 86th Street","West 86th Street","Riverside Drive and West End Avenue","Manhattan","107.0","Not Applicable","Not Applicable","40.7895488382","-73.9791923499","Upper West Side (Central)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.9678225651597 40.68304074800286)","628.0","3","Brooklyn","302","35","57","25","8","2239.0","BID",,"470 Vanderbilt Avenue","470 Vanderbilt","Fulton Street","Fulton Street & Atlantic Avenue","Brooklyn","302.0","B25","Fulton Area Business (FAB) Alliance","40.683040748","-73.9678225652","Clinton Hill","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.8782616218873 40.736435047904806)","1023.0","4","Queens","404","25","35","16","6","664.0","General","2013-02-14T00:00:00.000","87-09 Grand Avenue","87-09 Grand Avenue","Grand Avenue","Queens Boulevard & Seabury Street","Queens","404.0","Q58","Not Applicable","40.7364350479","-73.8782616219","Elmhurst","X","AREA OF MINIMAL FLOOD HAZARD","6","BACKLESS 1.0"
"POINT (-73.94191966424768 40.79781047648079)","1468.0","1","Manhattan","111","8","68","30","13","3686.0","General","2017-02-14T00:00:00.000","158 E 115th Street","158 E 115th Street","E 115th Street","Lexington Avenue & 3rd Avenue","Manhattan","111.0","Not Applicable","Not Applicable","40.7978104765","-73.9419196642","East Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","5","BACKED 1.0"
"POINT (-73.9525934673914 40.652780664013456)","364.0","3","Brooklyn","317","40","43","20","9","3895.0","Bus Route","2017-08-17T00:00:00.000","755 Rogers Avenue","755 Rogers Avenue","Rogers Avenue","Lenox Road & Linden Blvd","Brooklyn","317.0","B49","Not Applicable","40.652780664","-73.9525934674","East Flatbush-Erasmus","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 2.0"
"POINT (-73.97675217936546 40.780475102593286)","1368.0","1","Manhattan","107","6","67","29","10","1831.0","General","2013-03-25T00:00:00.000","100 West 77th Street","100 West 77th Street","Columbus Avenue","76th Street & 77th Street","Manhattan","107.0","Not Applicable","Columbus Avenue","40.7804751026","-73.9767521794","Upper West Side (Central)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-74.00867110348126 40.61078137093076)","137.0","3","Brooklyn","311","43","47","22","11","3982.0","General","2018-02-08T00:00:00.000","1532 86th Street","1532 86th Street","86th Street","Bay 10th Street & Bay 11th Street","Brooklyn","311.0","Not Applicable","Not Applicable","40.6107813709","-74.0086711035","Bath Beach","X","AREA OF MINIMAL FLOOD HAZARD","5","BACKED 2.0"
"POINT (-73.89684187928394 40.86880250628702)","1822.0","2","Bronx","207","11","81","34","13","3522.0","Municipal Facilities","2017-07-03T00:00:00.000","25 W 195th Street","25 W 195th Street","195th Street","Jerome Avenue & Reservoir Avenue","Bronx","207.0","Not Applicable","Not Applicable","40.8688025063","-73.8968418793","Bedford Park","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 2.0"
"POINT (-73.74038414055033 40.755028810075515)","1189.0","4","Queens","411","23","25","11","3","1947.0","General","2013-07-03T00:00:00.000","242-02 61st Avenue","242-02 61st Avenue","Douglaston Parkway","61st Avenue & 65th Avenue","Queens","411.0","Q30","Not Applicable","40.7550288101","-73.7403841406","Douglaston-Little Neck","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.82609060733185 40.751499729375574)","1167.0","4","Queens","407","20","25","16","6","3359.0","General","2016-07-13T00:00:00.000","43-50 Main Street","43-50 Main Street","Main Street","Elder Avenue & Peck Avenue","Queens","407.0","Not Applicable","Not Applicable","40.7514997294","-73.8260906073","Flushing-Willets Point","X","AREA OF MINIMAL FLOOD HAZARD","5","BACKED 1.0"
"POINT (-73.75224889852917 40.69847377277818)","759.0","4","Queens","412","27","33","14","5","3321.0","Municipal Facilities","2016-07-06T00:00:00.000","201-15 115th Avenue","201-15 115th Avenue","115th Avenue","201st Street & 202nd Street","Queens","412.0","Not Applicable","Not Applicable","40.6984737728","-73.7522488985","St. Albans","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.75318163904649 40.60298875595714)","100.0","4","Queens","414","31","23","10","5","2446.0","Plaza","2015-12-09T00:00:00.000","10-31 Beach 20th Street","10-31 Beach 20th Street","Plaza","Beach 20th & Beach 21st Street","Queens","414.0","Not Applicable","Not Applicable","40.602988756","-73.753181639","Far Rockaway-Bayswater","X","AREA OF MINIMAL FLOOD HAZARD","1","BACKED 1.0"
"POINT (-73.98500927747261 40.61016472603498)","2108.0","3","Brooklyn","311","44","47","17","10","3793.0","Senior Safety","2018-01-10T00:00:00.000","7023 Bay Pkwy","7023 Bay Pkwy","W 11th Street","Avenue O & Bay Pkwy","Brooklyn","311.0","Not Applicable","Not Applicable","40.610164726","-73.9850092775","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","6","BACKED 1.0"
"POINT (-73.82590745250407 40.85283502159515)","2130.0","2","Bronx","228","13","82","34","14","3569.0","Bus Route","2017-02-04T00:00:00.000","Charles J Cimi Plaza","Charles J Cimi Plaza","Bruckner Expressway","Wilkinson Avenue & Westchester Avenue","Bronx","210.0","Not Applicable","Not Applicable","40.8528350216","-73.8259074525","Pelham Bay Park","X","AREA OF MINIMAL FLOOD HAZARD","5","BACKLESS 2.0"
"POINT (-73.93390428669167 40.79526386771423)","1453.0","1","Manhattan","111","8","68","29","13","3355.0","Municipal Facilities","2016-09-15T00:00:00.000","440 E 116th Street","440 E 116th Street","E 116th Street","1st Avenue & Pleasant Avenue","Manhattan","111.0","Not Applicable","Not Applicable","40.7952638677","-73.9339042867","East Harlem (North)","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","3","BACKED 1.0"
"POINT (-73.71855943460102 40.74333721947834)","2030.0","4","Queens","413","23","24","11","3","2387.0","General","2014-05-07T00:00:00.000","251-15 Union Turnpike","251-15 Union Turnpike","252nd Street","Union Turnpike, 80th Avenue & 251st Street","Queens","413.0","Not Applicable","Not Applicable","40.7433372195","-73.7185594346","Bellerose","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.94847528611419 40.82945651581873)","1632.0","1","Manhattan","109","7","71","30","13","3004.0","Municipal Facilities","2015-01-23T00:00:00.000","3635 Broadway","3635 Broadway","Broadway","West 149th Street & West 150th Street","Manhattan","109.0","M5","Not Applicable","40.8294565158","-73.9484752861","Hamilton Heights-Sugar Hill","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.95874430212565 40.76485891183505)","2071.0","1","Manhattan","108","5","76","28","12","3033.0","Municipal Facilities","2014-12-15T00:00:00.000","1245 1st Avenue","1245 1st Avenue","67th Street","1st Avenue and 2nd Avenue","Manhattan","108.0","M66","Not Applicable","40.7648589118","-73.9587443021","Upper East Side-Lenox Hill-Roosevelt Island","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.91045582444694 40.85451295855581)","1766.0","2","Bronx","205","14","86","29","15","2096.0","Community Health Centers","2013-08-07T00:00:00.000","70 West Burnside Avenue","70 West Burnside Avenue","Burnside Avenue","University and Harrison Avenues","Bronx","205.0","Not Applicable","Not Applicable","40.8545129586","-73.9104558244","University Heights (South)-Morris Heights","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.92122965507627 40.763337559527436)","1994.0","4","Queens","401","22","36","12","12","1808.0","General","2013-06-11T00:00:00.000","33-21 31st Avenue","33-21 31st Avenue","31st Avenue","34th Street & 33rd Street","Queens","401.0","Not Applicable","Not Applicable","40.7633375595","-73.9212296551","Astoria (Central)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 2.0"
"POINT (-73.99072047729787 40.66771887556869)","478.0","3","Brooklyn","306","39","52","21","7","2350.0","General","2014-01-14T00:00:00.000","515 4th Avenue","515 4th Avenue","4th Avenue & 14th Street","13th & 14th Street","Brooklyn","306.0","Not Applicable","Not Applicable","40.6677188756","-73.9907204773","Park Slope","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.95255899217928 40.81740916863326)","1558.0","1","Manhattan","109","9","70","31","13","2789.0","Municipal Facilities","2014-12-05T00:00:00.000","499 West 133rd Street","499 West 133rd Street","West 133rd Street","Convent Avenue & Amsterdam Avenue","Manhattan","109.0","Not Applicable","Not Applicable","40.8174091686","-73.9525589922","Manhattanville-West Harlem","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.99789621956178 40.744948008255776)","1104.0","1","Manhattan","104","3","75","27","12","1113.0","Senior Center","2012-12-19T00:00:00.000","260 West 23rd Street","260 W 23rd Street","West 23rd Street","8th Avenue & 7th Avenue","Manhattan","104.0","M23","Not Applicable","40.7449480083","-73.9978962196","Chelsea-Hudson Yards","X","AREA OF MINIMAL FLOOD HAZARD","5","BACKLESS 1.0"
"POINT (-73.93880957632992 40.651337752854715)","346.0","3","Brooklyn","317","45","58","21","9","354.0","Bus Route","2012-07-17T00:00:00.000","4113 & 4115 Church Avenue",,"Church Avenue","East 42nd Street and Albany Avenue","Brooklyn","317.0","B35","Not Applicable","40.6513377529","-73.9388095763","East Flatbush-Rugby","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.93840556480296 40.846290715358926)","1728.0","1","Manhattan","112","10","72","31","13","3337.0","Plaza","2015-12-01T00:00:00.000","4140 Broadway","4140 Broadway","W. 175th Street","W. 175th Street & W. 176th Street","Manhattan","112.0","Not Applicable","Not Applicable","40.8462907154","-73.9384055648","Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.96630316164641 40.76171959849415)","1236.0","1","Manhattan","108","4","73","28","12","2926.0","General","2014-12-10T00:00:00.000","205 East 59th Street","999 3rd Ave","3rd Avenue","E. 59th Street & E. 60th Street","Manhattan","108.0","Not Applicable","East Midtown Partnership","40.7617195985","-73.9663031616","Upper East Side-Lenox Hill-Roosevelt Island","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-74.01360394538246 40.70809504731684)","845.0","1","Manhattan","101","1","65","26","10","1019.0","BID","2012-07-11T00:00:00.000","94 Greenwich Street","94 Greenwich Street","Greenwich Street","Rector Streets and Washington Streets","Manhattan","101.0","Not Applicable","Alliance for Downtown New York","40.7080950473","-74.0136039454","Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","1","BACKED 1.0"
"POINT (-73.98694900623863 40.71576351013719)","908.0","1","Manhattan","103","1","65","26","12","810.0","General","2012-09-28T00:00:00.000","411 Grand Street","411 Grand Street","Clinton Street","Grand Street & Clinton Street","Manhattan","103.0","Not Applicable","Not Applicable","40.7157635101","-73.9869490062","Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-74.00995471364112 40.649194733248976)","332.0","3","Brooklyn","307","38","51","25","7","1610.0","General","2013-01-15T00:00:00.000","4520 Fourth Avenue","4520 Fourth Avenue","4th Avenue","45th Street & 46th Street","Brooklyn","307.0","Not Applicable","Not Applicable","40.6491947332","-74.0099547136","Sunset Park (West)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.95531097021939 40.68262076296203)","627.0","3","Brooklyn","303","36","57","25","8","2719.0","Municipal Facilities","2014-10-06T00:00:00.000","50 Jefferson Avenue","50 Jefferson Avenue","Jefferson Avenue","Franklin Avenue & Bedford Avenue","Brooklyn","303.0","Not Applicable","Not Applicable","40.682620763","-73.9553109702","Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.97883364550623 40.73689391236503)","1030.0","1","Manhattan","106","2","74","27","12","2196.0","General","2013-10-07T00:00:00.000","352 E 23rd Street","352 E 23rd Street","E 23rd Street","1st Avenue and 2nd Avenue","Manhattan","106.0","M09","Not Applicable","40.7368939124","-73.9788336455","Gramercy","X","AREA OF MINIMAL FLOOD HAZARD","4","BACKLESS 1.0"
"POINT (-74.02974654916007 40.63366240629546)","248.0","3","Brooklyn","310","43","64","22","11","1543.0","General","2013-01-24T00:00:00.000","7223 Ridge Blvd.",,"Ridge Blvd","72nd & 73rd Street","Brooklyn","310.0","Not Applicable","Not Applicable","40.6336624063","-74.0297465492","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.99130738075233 40.69205915525057)","1898.0","3","Brooklyn","302","33","52","26","7","985.0","BID","2012-06-19T00:00:00.000","62 Court Street","62 Court Street","Court Street","Livingston and Joralemon Streets","Brooklyn","302.0","Not Applicable","Court-Livingston-Schermerhorn","40.6920591553","-73.9913073808","Brooklyn Heights","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.77897364211267 40.71370310599422)","892.0","4","Queens","412","27","29","11","5","3677.0","Senior Safety","2017-05-13T00:00:00.000","182-46 Hillside Avenue","182-46 Hillside Avenue","Hillside Avenue","182nd Place & 183rd Street","Queens","412.0","Not Applicable","Not Applicable","40.713703106","-73.7789736421","Jamaica","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 2.0"
"POINT (-73.88391707863002 40.874000459453846)","1839.0","2","Bronx","207","11","78","36","13","1795.0","General","2013-05-31T00:00:00.000","264 East 204th Street","264 East 204th Street","East 204th Street","E Mosholu Parkway & Grand Concourse","Bronx","207.0","Not Applicable","Not Applicable","40.8740004595","-73.8839170786","Bedford Park","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.98925549738405 40.77302449401798)","1314.0","1","Manhattan","107","6","67","31","10","4206.0","General","2019-04-11T00:00:00.000","250 West 61st Street","40 West End Avenue","West End Avenue","West 61st Street & West 62nd Street","Manhattan","107.0","M57","Not Applicable","40.773024494","-73.9892554974","Upper West Side-Lincoln Square","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 2.0"
"POINT (-73.90922877815329 40.66998132907421)","517.0","3","Brooklyn","316","41","55","20","8","1723.0","BID","2013-02-21T00:00:00.000","1731 Pitkin Avenue","1731 Pitkin Avenue","Pitkin Avenue","Thatford Avenue & Osborne Street","Brooklyn","316.0","B14","Pitkin Avenue","40.6699813291","-73.9092287782","Brownsville","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.87106972657618 40.878440695536554)","1849.0","2","Bronx","207","11","80","36","13","3534.0","Bus Route","2017-02-04T00:00:00.000","400 E Gun Hill Road","400 E Gun Hill Road","400 E Gun Hill Road","Bronx River Parkway & Webster Avenue","Bronx","207.0","Not Applicable","Not Applicable","40.8784406955","-73.8710697266","Norwood","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.92907457462115 40.74350073458316)","1082.0","4","Queens","402","26","37","12","14","1937.0","General","2013-07-03T00:00:00.000","45-30 36th Street","45-30 36th Street","36th Street","Queens Blvd & 47th Avenue","Queens","402.0","Not Applicable","Not Applicable","40.7435007346","-73.9290745746","Sunnyside","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-74.00546409906356 40.72688426424296)","961.0","1","Manhattan","102","3","66","27","10","979.0","BID","2012-07-03T00:00:00.000","160 Varick Street","160 Varick Street","Varick Street","Charlton and Vandam Streets","Manhattan","102.0","Not Applicable","Hudson Square Connection","40.7268842642","-74.0054640991","SoHo-Little Italy-Hudson Square","X","AREA OF MINIMAL FLOOD HAZARD","4","BACKED 1.0"
"POINT (-73.9415930010305 40.82280968565607)","1981.0","1","Manhattan","110","9","71","30","13","1658.0","Senior Center","2017-02-04T00:00:00.000","2730 Frederick Douglass Boulevard","2730 Frederick Douglass Boulevard","W 145th Street","W 145th Street & W 146th Street","Manhattan","110.0","BX19","Not Applicable","40.8228096857","-73.941593001","Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","5","BACKLESS 1.0"
"POINT (-73.98854451822233 40.666329404288746)","467.0","3","Brooklyn","306","39","52","21","7","998.0","General","2013-01-17T00:00:00.000","527 Fifth Avenue","527 Fifth Avenue","5th Avenue","13th & 14th Street","Brooklyn","306.0","B63","Fifth Avenue","40.6663294043","-73.9885445182","Park Slope","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-74.10540947486443 40.63068319935601)","233.0","5","Staten Island","501","49","61","24","11","1683.0","Bus Route","2013-01-29T00:00:00.000","475 Forest Avenue","475 Forest Avenue","Forest Avenue","Bard Avenue & Hoyt Avenue","Staten Island","501.0","S48","Not Applicable","40.6306831994","-74.1054094749","West New Brighton-Silver Lake-Grymes Hill","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.84416715291896 40.72181898087747)","940.0","4","Queens","406","29","28","16","6","1655.0","Senior Center","2013-03-05T00:00:00.000","107-55 Queens Boulevard","107-55 Queens Blvd","Queens Blvd","71st Avenue & 70th Road","Queens","406.0","Q60","Not Applicable","40.7218189809","-73.8441671529","Forest Hills","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-74.24333094367175 40.5086617049634)","1.0","5","Staten Island","503","51","62","24","11","2639.0","Municipal Facilities","2014-08-06T00:00:00.000","58 Summit Street","330 Yetman Avenue","Yetman Avenue","Brighton Street and Yetman Avenue","Staten Island","503.0","Not Applicable","Not Applicable","40.508661705","-74.2433309437","Tottenville-Charleston","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.78011146741244 40.75332826610754)","1178.0","4","Queens","411","20","25","11","6","489.0","Bus Route","2013-04-12T00:00:00.000","47-01 Francis Lewis Boulevard","47-01 Francis Lewis Boulevard","47th Avenue & Weeks Lane","Francis Lewis Boulevard","Queens","411.0","Q27","Not Applicable","40.7533282661","-73.7801114674","Auburndale","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.94413289915438 40.70053546524458)","776.0","3","Brooklyn","301","33","53","18","7","1046.0","Senior Center","2012-09-14T00:00:00.000","711 Flushing Avenue","711 Flushing Avenue","Flushing Avenue","Throp Avenue and Broadway","Brooklyn","301.0","B57","Not Applicable","40.7005354652","-73.9441328992","South Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","5","BACKLESS 1.0"
"POINT (-74.00187411279391 40.68717243048933)","665.0","3","Brooklyn","306","39","52","26","7","3109.0","General","2015-05-22T00:00:00.000","100 Columbia Street","100 Columbia Street","Columbia Street","Kane Street and Degraw Street","Brooklyn","306.0","Not Applicable","Not Applicable","40.6871724305","-74.0018741128","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","X","AREA OF MINIMAL FLOOD HAZARD","2","BACKED 1.0"
"POINT (-73.88306033218079 40.867779122585944)","1817.0","2","Bronx","207","11","78","34","13","2141.0","General","2013-10-25T00:00:00.000","2971 Webster Avenue","2971 Webster Avenue","Webster Avenue","Bedford Park Boulevard and Botanical Square","Bronx","207.0","Not Applicable","Not Applicable","40.8677791226","-73.8830603322","Bedford Park","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.95575695634014 40.76792130061878)","1294.0","1","Manhattan","108","5","76","28","12","1471.0","General","2013-05-21T00:00:00.000","1350 1st Avenue","1350 1st Avenue","1st Avenue","E 72nd & E73rd Street","Manhattan","108.0","Not Applicable","Not Applicable","40.7679213006","-73.9557569563","Upper East Side-Lenox Hill-Roosevelt Island","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
