"the_geom","segmentid","boroughcod","oftcode","onstreetna","fromstreet","tostreetna","wkt","manualrati","ratinglaye","inspection","shape_stle"
"MULTILINESTRING ((-73.87137578495327 40.85123837992771, -73.87148832588512 40.851454128265864))","139311","X","210240211060213820","BRONX RIVER PARKWAY SB EXIT 6","BRONX RIVER PKWY SB EN BOSTON RD","BOSTON ROAD","LINESTRING (1019587.6677999943 250382.37860000134, 1019584.4394000024 250379.08460000157, 1019576.8936000019 250371.38779999316, 1019569.3313000053 250356.69939999282, 1019566.6181000024 250339.98360000551, 1019569.1441999972 250323.65819999576, 1019575.","9","GOOD","2019-04-24T00:00:00.000","84.5467772398"
"MULTILINESTRING ((-73.80528937853087 40.589140739439515, -73.805338172688 40.589451135069176))","286109","Q","432490432240435290","BEACH 79 STREET","BEACH 74 STREET","BEACH CHANNEL DRIVE","LINESTRING (1038297.734799996 154234.52920000255, 1038315.4508000016 154089.43379999697, 1038329.2544 153976.37919999659)","9","GOOD","2022-12-02T00:00:00.000","113.894169974"
"MULTILINESTRING ((-74.07487805700485 40.6174213745639, -74.07454676880097 40.61694292962628))","15656","S","551500530950555468","TOMPKINS AVENUE","GREENFIELD AVENUE","WILLOW AVENUE","LINESTRING (963462.03560000658 164228.52359999716, 963553.86100000143 164054.13519999385, 963579.21539999545 164004.2173999995)","8","GOOD","2018-02-08T00:00:00.000","197.086828936"
"MULTILINESTRING ((-73.8040162621712 40.58649529202109, -73.8040262115123 40.586558480868185))","169805","Q","432390460790462200","BEACH 77 STREET","ROCKAWAY BEACH BOULEVARD","SHOREFRONT PARKWAY","LINESTRING (1038603.422999993 153680.62279999256, 1038682.1925999969 153036.38199999928, 1038685.0075999945 153013.36699999869)","8","GOOD","2022-12-02T00:00:00.000","23.1865143998"
"MULTILINESTRING ((-73.87148832588512 40.851454128265864, -73.8715621740185 40.851588527955535, -73.87162406630603 40.85171787153326, -73.87170025727673 40.851843007668485, -73.87178994314098 40.85196260271117, -73.87189201154231 40.852075430725364))","176207","X","210240211060213820","BRONX RIVER PARKWAY SB EXIT 6","BRONX RIVER PKWY SB EN BOSTON RD","BOSTON ROAD","LINESTRING (1019587.6677999943 250382.37860000134, 1019584.4394000024 250379.08460000157, 1019576.8936000019 250371.38779999316, 1019569.3313000053 250356.69939999282, 1019566.6181000024 250339.98360000551, 1019569.1441999972 250323.65819999576, 1019575.","9","GOOD","2019-04-24T00:00:00.000","253.439018779"
"MULTILINESTRING ((-73.81436854952868 40.587753299385525, -73.81555263942279 40.58937864617311))","192030","Q","433040435290460820","BEACH 90 STREET","BEACH CHANNEL DRIVE","ROCKAWAY FREEWAY","LINESTRING (1035808.6650999933 153465.42640000582, 1035478.5409999937 154056.88519999385)","8","GOOD","2022-09-14T00:00:00.000","677.351779716"
"MULTILINESTRING ((-74.11337449541973 40.61380446486396, -74.11371243541709 40.61377689116815))","126620","S","553000523900545810","VICTORY BOULEVARD","CLOVE ROAD","ROYAL OAK ROAD","LINESTRING (955512.89169999957 163870.36059999466, 955220.80380000174 163706.86239999533, 955184.29140000045 163686.065200001, 955080.01659999788 163626.67560000718, 955002.67319999635 163582.3410000056, 954923.58619999886 163537.13439999521, 954765.5028","6","FAIR","2018-05-08T00:00:00.000","94.3617350595"
"MULTILINESTRING ((-74.20612175244996 40.515881004829204, -74.20682604994028 40.51546597077669))","1014","S","556335521486556330","WOODVALE LOOP","CAROL COURT","WOODVALE AVENUE","LINESTRING (926835.14300000668 126920.28360000253, 927125.38519999385 127164.88940000534, 927038.34460000694 127345.14159999788, 926938.60079999268 127293.41920000315, 926742.41680000722 127142.67479999363)","3","POOR","2019-10-01T00:00:00.000","247.410662633"
"MULTILINESTRING ((-74.07641640067965 40.61956925102815, -74.07604477182885 40.61914157895849))","15673","S","551500535180540850","TOMPKINS AVENUE","KRISTEN COURT","NORWOOD AVENUE","LINESTRING (963035.63699999452 165011.42000000179, 963138.67159999907 164855.51809999347)","7","FAIR","2023-04-22T00:00:00.000","186.873035038"
"MULTILINESTRING ((-74.1387378366266 40.62037370237465, -74.13900214153314 40.61939464309168))","9094","S","556370529605535770","WOOLLEY AVENUE","GARRISON AVENUE","LATHROP AVENUE","LINESTRING (945734.72730000317 165325.75020000339, 945660.78730000556 164969.16969999671)","6","FAIR","2022-12-06T00:00:00.000","364.165864112"
"MULTILINESTRING ((-73.81236952944381 40.58466355614401, -73.81242159850007 40.58515458072396))","169785","Q","432940433040433040","BEACH 88 STREET","BEACH 90 STREET","BEACH 90 STREET","LINESTRING (1036366.2983999997 152340.94069999456, 1036351.452700004 152519.80189999938)","6","FAIR","2022-12-02T00:00:00.000","179.476248221"
"MULTILINESTRING ((-73.80200816023314 40.70079257478396, -73.80186021431851 40.70099371210852))","57402","Q","435390423840454102","BEAVER ROAD","158 STREET","LONG ISLAND RAILROAD","LINESTRING (1039268.605399996 194809.98170000315, 1039189.4979999959 194729.51270000637, 1039148.6418000013 194656.14010000229)","5","FAIR","2019-07-22T00:00:00.000","83.9807567801"
"MULTILINESTRING ((-74.14700547654358 40.6098527675025, -74.14774036822689 40.60999924891407))","8672","S","556470553000555480","WYONA AVENUE","VICTORY BOULEVARD","WILLOWBROOK ROAD","LINESTRING (943433.10150000453 161496.4469999969, 943229.14509999752 161550.15739999712)","9","GOOD","2023-07-26T00:00:00.000","210.909981205"
"MULTILINESTRING ((-73.82339572420445 40.75437726545376, -73.820869933296 40.7560228342937))","91392","Q","435590436590452390","BEECH AVENUE","BOWNE STREET","KISSENA BOULEVARD","LINESTRING (1033179.0049999952 214165.98880000412, 1033877.5600000024 214766.94239999354)","8","GOOD","2023-07-19T00:00:00.000","921.479417771"
"MULTILINESTRING ((-74.0658786014372 40.605509143304324, -74.06582160069513 40.60535136757912, -74.0657745834263 40.6051915977576, -74.06573770251931 40.60503038038142))","121969","S","551500536504537290","TOMPKINS AVENUE","LINCOLN PLACE","LYMAN AVENUE","LINESTRING (965883.06870000064 159999.23860000074, 965909.75180000067 159963.0150000006, 965934.50900000334 159925.40999999642, 965957.238499999 159886.581400007, 965973.02279999852 159829.08799999952, 965986.03460000455 159770.86980000138, 965996.231299","5","FAIR","2023-01-28T00:00:00.000","178.897120586"
"MULTILINESTRING ((-74.06537219684671 40.60450980432105, -74.06532771067798 40.60443917825203))","112550","S","551500553750597240","TOMPKINS AVENUE","WADSWORTH AVENUE","STATEN ISLAND EXIT WB","LINESTRING (966097.58200000226 159522.39139999449, 966109.91550000012 159496.65119999647)","6","FAIR","2018-05-04T00:00:00.000","28.5424791869"
"MULTILINESTRING ((-74.18278481166382 40.550266880189255, -74.18434906359097 40.5484908791475))","3120","S","548070516100521452","SINCLAIR AVENUE","ARDEN AVENUE","CARLTON BOULEVARD","LINESTRING (933453.48260000348 139806.56990000606, 933017.41060000658 139160.44239999354)","5","FAIR","2022-09-05T00:00:00.000","779.512370302"
"MULTILINESTRING ((-74.18209239753094 40.551103238154646, -74.18278481166382 40.550266880189255))","4035","S","548070521452530510","SINCLAIR AVENUE","CARLTON BOULEVARD","GRANTWOOD AVENUE","LINESTRING (933646.53980000317 140110.8736000061, 933453.48260000348 139806.56990000606)","8","GOOD","2022-09-05T00:00:00.000","360.377336004"
"MULTILINESTRING ((-74.19151571358144 40.54328922298454, -74.19271237790164 40.542990451507414))","118231","S","548070525800525908","SINCLAIR AVENUE","DELMAR AVENUE","DEAD END","LINESTRING (931405.37980000675 137407.34559999406, 931021.58130000532 137269.63259999454, 930688.75059999526 137161.51279999316)","9","GOOD","2017-09-25T00:00:00.000","349.951662407"
"MULTILINESTRING ((-74.19151571358144 40.54328922298454, -74.19271237790164 40.542990451507414))","118231","S","548070525800540350","SINCLAIR AVENUE","DELMAR AVENUE","NIPPON AVENUE","LINESTRING (931021.58130000532 137269.63259999454, 930688.75059999526 137161.51279999316, 930584.4956 137090.95180000365, 930289.68979999423 136998.33720000088)","9","GOOD","2017-09-25T00:00:00.000","349.951662407"
"MULTILINESTRING ((-74.18590282168901 40.54668989182956, -74.18736137674493 40.54499107918294))","3006","S","548070525908534597","SINCLAIR AVENUE","DEAD END","JEFFERSON BOULEVARD","LINESTRING (932584.21259999275 138505.21400000155, 932177.53039999306 137887.16089999676)","8","GOOD","2022-09-05T00:00:00.000","739.851367656"
"MULTILINESTRING ((-73.72164780470173 40.75382878473725, -73.7214848221074 40.7537391223238, -73.72130850574663 40.7536608738019, -73.72112100400378 40.7535956562251, -73.72092490480424 40.753544743727424, -73.72072308189097 40.7535090167277, -73.72051860036257 40.75348889956935, -73.72031453917167 40.75348433397723, -73.72011386069262 40.753494823766836))","103127","Q","427282414490436960","260 PLACE","69 AVENUE","BRIDGEWATER AVENUE","LINESTRING (1061369.2789999992 214039.36529999971, 1061414.5382000059 214006.84219999611, 1061463.4784000069 213978.489199996, 1061515.5025999993 213954.89350000024, 1061569.8921999931 213936.5177000016, 1061625.8500999957 213923.67960000038, 1061682.526","5","FAIR","2023-04-27T00:00:00.000","453.657249556"
"MULTILINESTRING ((-73.8400048612601 40.715872062815365, -73.83983178624936 40.71573067144234))","131171","Q","435625415590415740","BEECHKNOLL ROAD","74 AVENUE","75 ROAD","LINESTRING (1028392.1149999946 200329.62279999256, 1028458.1061999947 200267.82160000503, 1028602.9979999959 200128.51459999382, 1028651.0708000064 200077.08900000155, 1028674.1420000046 200054.45020000637, 1028798.9254000038 199908.70160000026)","6","FAIR","2015-01-23T00:00:00.000","70.39592627"
"MULTILINESTRING ((-73.72187737499688 40.76095209868653, -73.72170374576727 40.7603167484094))","103151","Q","427284412240412440","260 STREET","59 AVENUE","60 AVENUE","LINESTRING (1061297.4354999959 216634.40579999983, 1061346.2706999928 216403.08079999685)","8","GOOD","2023-06-22T00:00:00.000","236.423629075"
"MULTILINESTRING ((-73.89703363735194 40.90027862161797, -73.89702895103655 40.900315204106285))","176681","X","214920239220275185","BROADWAY","HENRY HUDSON PARKWAY","WEST 254 STREET","LINESTRING (1012757.3963000029 267568.27539999783, 1012732.1206 267411.79279999435, 1012716.1004000008 267303.94200000167, 1012714.8208000064 267290.61200000346)","7","FAIR","2017-05-30T00:00:00.000","13.3912761191"
"MULTILINESTRING ((-74.06554325334926 40.60474937545516, -74.06537219684671 40.60450980432105))","112551","S","551500536350553750","TOMPKINS AVENUE","LILY POND AVENUE","WADSWORTH AVENUE","LINESTRING (966037.71099999547 159634.12139999866, 966050.14859999716 159609.70859999955, 966097.58200000226 159522.39139999449)","6","FAIR","2018-05-04T00:00:00.000","99.3691141792"
"MULTILINESTRING ((-74.0727835755704 40.614520441904126, -74.07245782028295 40.61407824951121))","15807","S","551500547560549250","TOMPKINS AVENUE","SHAUGHNESSY LANE","ST MARYS AVENUE","LINESTRING (964042.63629999757 163171.14820000529, 964132.94439999759 163009.97089999914)","6","FAIR","2023-01-28T00:00:00.000","184.7530107"
"MULTILINESTRING ((-73.89641133509012 40.90450452040929, -73.89643503470546 40.90509299851187))","81144","X","214920223445252520","BROADWAY","DAVID SHERIDAN PLAZA","MOSHOLU AVENUE","LINESTRING (1012885.0338000059 268830.48420000076, 1012878.2292000055 269044.8832000047)","8","GOOD","2020-03-02T00:00:00.000","214.506955094"
"MULTILINESTRING ((-73.7148583457369 40.749032736534105, -73.71345485474265 40.74814571631144))","103265","Q","427284415690435780","260 STREET","75 AVENUE","BEND","LINESTRING (1063256.0240000039 212298.06939999759, 1063645.9541999996 211976.17039999366, 1063764.9795999974 211875.28820000589, 1064082.0426000059 211606.55500000715, 1064093.0137999952 211592.58540000021)","9","GOOD","2021-06-16T00:00:00.000","505.632798652"
"MULTILINESTRING ((-73.7558840788643 40.60397742982135, -73.75579538910549 40.60425656637724, -73.75568967067592 40.60453272194381, -73.75556723620194 40.60480500561957, -73.75542846689206 40.60507251673708, -73.75527384646144 40.60533443859091))","116050","Q","435290456090460140","BEACH CHANNEL DRIVE","MOTT AVENUE","REGINA AVENUE","LINESTRING (1052204.1369999945 159910.97759999335, 1052161.4696000069 159815.43320000172, 1052123.2085999995 159717.86460000277, 1052089.488199994 159618.57019999623, 1052060.4133999944 159517.87819999456, 1052036.069600001 159416.11319999397, 1051977.73","8","GOOD","2022-12-02T00:00:00.000","523.746756453"
"MULTILINESTRING ((-73.81763147448768 40.588289726347114, -73.817722042666 40.58824163792492))","169779","Q","435290497030497030","BEACH CHANNEL DRIVE","X BAY BRIDGE ENTRANCE RAMP","X BAY BRIDGE ENTRANCE RAMP","LINESTRING (1034901.9904000014 153658.95620000362, 1034876.8721999973 153641.38420000672)","7","FAIR","2017-09-15T00:00:00.000","30.6545128054"
"MULTILINESTRING ((-73.81702527137963 40.58864071218925, -73.81766266433563 40.58832289716395))","283433","Q","435290497030497030","BEACH CHANNEL DRIVE","CROSS BAY BRIDGE ENTRANCE RAMP","CROSS BAY BRIDGE ENTRANCE RAMP","LINESTRING (1034901.9904000014 153658.95620000362, 1034876.8721999973 153641.38420000672)","7","FAIR","2017-09-15T00:00:00.000","211.53561978"
"MULTILINESTRING ((-73.88119486547075 40.56786062073964, -73.88126893346457 40.56783215065483))","156100","Q","435290497370497370","BEACH CHANNEL DRIVE","MARINE PARKWAY BR APPROACH","MARINE PARKWAY BR APPROACH","LINESTRING (1017565.7220000029 146311.98479999602, 1017529.2337000072 146307.48829999566, 1017270.6384000033 146171.179399997, 1017252.4035000056 146162.30830000341, 1017234.8378999978 146152.81999999285)","7","FAIR","2022-03-04T00:00:00.000","23.0444433351"
"MULTILINESTRING ((-73.71920749649452 40.751825682517676, -73.71774099320682 40.75088408155252))","103223","Q","427284415390452870","260 STREET","73 AVENUE","LANGSTON AVENUE","LINESTRING (1062047.7194000036 213311.73190000653, 1062455.1397999972 212969.98399999738)","7","FAIR","2023-02-16T00:00:00.000","531.773456927"
"MULTILINESTRING ((-73.87576942162967 40.56915444802644, -73.87616290285987 40.569126137120286))","134448","Q","435290497370497470","BEACH CHANNEL DRIVE","MARINE PARKWAY BR APPROACH","JACOB RIIS PARK DRIVEWAY","LINESTRING (1019044.0764999986 146842.21819999814, 1018764.3525999933 146659.24600000679, 1018655.0481999964 146648.77709999681)","7","FAIR","2022-03-04T00:00:00.000","109.804597928"
"MULTILINESTRING ((-73.87476164648136 40.56965557692795, -73.87576942162967 40.56915444802644))","188732","Q","435290497370497470","BEACH CHANNEL DRIVE","MARINE PARKWAY BR APPROACH","JACOB RIIS PARK DRIVEWAY","LINESTRING (1019044.0764999986 146842.21819999814, 1018764.3525999933 146659.24600000679, 1018655.0481999964 146648.77709999681)","7","FAIR","2022-03-04T00:00:00.000","334.251830517"
"MULTILINESTRING ((-73.71636199687923 40.75000753198456, -73.71640533493068 40.74996034477444))","184401","Q","427284415590435780","260 STREET","74 AVENUE","BEND","MULTILINESTRING ((1063209.1539999992 212596.16259999573, 1063227.0838000029 212582.18639999628, 1063251.2797999978 212551.3628000021, 1063270.7450000048 212515.71340000629, 1063284.1703000069 212476.41220000386, 1063290.6728000045 212435.08040000498, 106","9","GOOD","2021-06-16T00:00:00.000","20.9702354041"
"MULTILINESTRING ((-73.83461920038552 40.5829058161616, -73.83633066934861 40.58233121120639))","169584","Q","435290457290460820","BEACH CHANNEL DRIVE","NEWPORT AVENUE","ROCKAWAY FREEWAY","LINESTRING (1030202.0031999946 151694.5476000011, 1030187.4396000057 151688.1006000042, 1029712.4405999929 151477.86499999464, 1029353.5664999932 151336.6263999939)","7","FAIR","2023-02-07T00:00:00.000","519.44495139"
"MULTILINESTRING ((-73.86738885546913 40.57346803726063, -73.86865065704949 40.57284345685973))","49684","Q","435290497470497470","BEACH CHANNEL DRIVE","JACOB RIIS PARK DRIVEWAY","JACOB RIIS PARK DRIVEWAY","MULTILINESTRING ((1021175.1907999963 148273.15369999409, 1021090.3020000011 148234.20460000634, 1020740.1062999964 148006.12649999559, 1019956.489199996 147460.0515999943), (1020864.5877999961 147789.9687999934, 1020832.0418000072 147732.30500000715, 102","7","FAIR","2022-03-04T00:00:00.000","417.919427649"
"MULTILINESTRING ((-74.18485758520553 40.59379408954541, -74.1845171347811 40.59361853008269))","4721","S","548040525908525908","SIMMONS LOOP","DEAD END","DEAD END","LINESTRING (932838.24109999835 155714.9430000037, 932910.91809999943 155665.77959999442, 933005.33380000293 155601.619599998, 932964.16920000315 155549.86120000482)","8","GOOD","2015-04-16T00:00:00.000","114.152660971"
"MULTILINESTRING ((-73.71915189930176 40.75187382423542, -73.71769035647442 40.75092681365405))","146271","Q","427284415390452870","260 STREET","73 AVENUE","LANGSTON AVENUE","LINESTRING (1062047.7194000036 213311.73190000653, 1062455.1397999972 212969.98399999738)","7","FAIR","2023-02-16T00:00:00.000","532.000113739"
"MULTILINESTRING ((-74.18448973172553 40.59410737894532, -74.18485758520553 40.59379408954541))","4756","S","548040518510570298","SIMMONS LOOP","BEND","SIMMONS LANE","MULTILINESTRING ((933013.31939999759 155779.70319999754, 932910.91809999943 155665.77959999442), (933104.91699999571 155712.55120000243, 933005.33380000293 155601.619599998))","8","GOOD","2015-04-16T00:00:00.000","153.181633622"
"MULTILINESTRING ((-73.80985433396944 40.59189005400121, -73.80985755444023 40.59203268449453))","129052","Q","432740435290462250","BEACH 84 STREET","BEACH CHANNEL DRIVE","BODY OF WATER","LINESTRING (1037051.5279999971 155118.02420000732, 1037058.196600005 155027.198300004, 1037059.2037999928 154975.2363999933, 1036945.9855999947 154458.26240000129)","3","POOR","2018-04-30T00:00:00.000","51.9716605905"
"MULTILINESTRING ((-73.80202173343842 40.58886042348998, -73.8021118423735 40.589424217628626))","188353","Q","432240460790460820","BEACH 74 STREET","ROCKAWAY BEACH BOULEVARD","ROCKAWAY FREEWAY","LINESTRING (1039189.2355999947 154408.70229999721, 1039191.5603999943 154394.0040999949, 1039198.054399997 154352.9442999959, 1039211.5538000017 154081.63480000198, 1039237.0447999984 153876.28740000725)","2","POOR","2002-11-04T00:00:00.000","206.92352637"
"MULTILINESTRING ((-73.8044660503315 40.58920818559664, -73.80452337519243 40.58952145346031))","286017","Q","432390432240435290","BEACH 77 STREET","BEACH 74 STREET","BEACH CHANNEL DRIVE","LINESTRING (1038524.0306999981 154240.15199999511, 1038541.695600003 154115.55619999766, 1038557.8716000021 154001.460800007)","9","GOOD","2023-05-22T00:00:00.000","115.236379998"
"MULTILINESTRING ((-73.80953334997498 40.589964244577445, -73.80955872669652 40.59033845488236))","8300689","Q","432690435290460820","BEACH 83 STREET","BEACH CHANNEL DRIVE","ROCKAWAY FREEWAY","LINESTRING (1037138.983799994 154481.70730000734, 1037142.5318000019 154410.12929999828, 1037149.8762000054 154273.81059999764)","3","POOR","2016-06-20T00:00:00.000","136.516402609"
