"mailed_date","boro","block","lot","ease","address_1","address_2","address_3","city_state_zip","country","tax_class","bld_class","original_market_value","original_assessed_value","original_exemption","original_transitional_assessed_value","original_transitional_exemption","original_taxable_value","revised_market_value","revised_assessed_value","revised_exemption","revised_transitional_assessed_value","revised_transitional_exemption","revised_taxable_value","rc_1","rc2","rc3","rc4","rc5","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"2016-03-18T00:00:00.000","1","803","1068",,"FAIRFIELD","1103      MAGIE AVENUE","45014","FAIRFIELD            OH 45014",,"2","R4","207088","93190","0","71916","0","71916","207088","93190","0","69189","0","69189","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","800","1331",,,"42        DORA LN",,"HOLMDEL              NJ 07733-1673",,"2","R4","698922","314515","121760","271684","104628","167056","698922","314515","121760","269239","103650","165589","E1","X",,,,,,,,,,,,,
"2016-02-23T00:00:00.000","1","615","23",,,"248       W 12TH ST",,"NEW YORK             NY 10014-1912",,"1","B9","9828000","140340","8450","0","0","131890","8859442","140340","8450","0","0","131890","M",,,,,"MANHATTAN","10014","40.737605","-74.002746","2","3","77","1011012","1006150023","West Village"
"2016-02-23T00:00:00.000","1","631","26",,,"60        FERNWOOD RD",,"SUMMIT               NJ 07901-2954",,"1","A4","14102000","316209","0","0","0","316209","14624000","316209","0","0","0","316209","M",,,,,,,,,,,,,,
"2016-02-23T00:00:00.000","3","353","46",,,"275       COLUMBIA ST",,"BROOKLYN             NY 11231-1340",,"1","B9","1697000","22208","0","0","0","22208","1749000","22208","0","0","0","22208","M",,,,,"BROOKLYN","11231","40.682735","-74.003793","6","39","51","3004858","3003530006","Carroll Gardens-Columbia Street-Red Hook"
"2016-02-23T00:00:00.000","3","356","2",,,"435       CLINTON ST",,"BROOKLYN             NY 11231-4296",,"1","C0","2534000","47476","0","0","0","47476","2611000","47476","0","0","0","47476","M",,,,,"BROOKLYN","11231","40.681272","-73.998673","6","39","65","3004942","3003560002","Carroll Gardens-Columbia Street-Red Hook"
"2016-03-18T00:00:00.000","1","800","1376",,,"325       OCTAVIA ST","APT 202","SAN FRANCISCO        CA 94102-5883",,"2","R4","337800","152010","58849","131305","50567","80738","337800","152010","58849","130121","50093","80028","E1","X",,,,,,,,,,,,,
"2016-02-23T00:00:00.000","3","365","16",,,"28        2ND PL",,"BROOKLYN             NY 11231-3680",,"1","C0","2665000","37203","1550","0","0","35653","2746000","37203","1550","0","0","35653","M",,,,,"BROOKLYN","11231","40.680311","-74.000224","6","39","65","3005229","3003650016","Carroll Gardens-Columbia Street-Red Hook"
"2016-02-23T00:00:00.000","3","365","56",,,"595       W END AVE",,"NEW YORK             NY 10024-1727",,"1","B3","2254000","28663","0","0","0","28663","2323000","28663","0","0","0","28663","M",,,,,,,,,,,,,,
"2016-02-23T00:00:00.000","3","366","57",,,"366       W 11TH ST",,"NEW YORK             NY 10014-6225",,"1","B9","2274000","58040","0","0","0","58040","2343000","58040","0","0","0","58040","M",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","803","1036",,,"107       FOREST DR",,"PISCATAWAY           NJ 08854-2275",,"2","R4","316535","142441","0","109928","0","109928","316535","142441","2360","105759","2360","103399","E1","X",,,,,,,,,,,,,
"2016-02-23T00:00:00.000","4","3331","36",,,"8420      104TH ST",,"RICHMOND HILL        NY 11418-1121",,"1","A1","952000","55537","0","0","0","55537","982000","55537","0","0","0","55537","M",,,,,"QUEENS","11418","40.699154","-73.844935","9","32","24","4191475","4091820032","Richmond Hill"
"2016-03-18T00:00:00.000","1","803","1086",,,"4832      BALTIMORE AVE",,"PHILADELPHIA         PA 19143-3419",,"2","R4","221311","99590","2360","76853","2360","74493","221311","99590","2360","73939","2360","71579","E1",,,,,,,,,,,,,,
"2016-02-23T00:00:00.000","4","5119","40",,,"5620      136TH ST",,"FLUSHING             NY 11355-5029",,"1","B2","1426000","51831","1550","0","0","50281","1250000","51831","1550","0","0","50281","M",,,,,"QUEENS","11355","40.748825","-73.828766","7","20","799","4115297","4051190040","Queensboro Hill"
"2016-02-23T00:00:00.000","4","5219","11",,,"4718      SMART ST",,"FLUSHING             NY 11355-3531",,"1","C0","786000","38808","0","0","0","38808","811000","38808","0","0","0","38808","M",,,,,"QUEENS","11355","40.751091","-73.814154","7","20","1205","4443499","4052190011","East Flushing"
"2016-03-18T00:00:00.000","1","817","1036",,,"106       CHESTNUT ST",,"GARDEN CITY          NY 11530-6408",,"2","R4","262855","118285","2360","106283","2360","103923","262855","118285","2360","104781","2360","102421","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","142","1632",,"RAYMOND CHAU","57-25     256TH STREET 2ND FL",,"LITTLE NECK          NY 11362",,"2","R4","981550","441698","160980","381252","136802","244450","981550","441698","160980","373109","133544","239565","E1","X",,,,,,,,,,,,,
"2016-02-23T00:00:00.000","3","370","12",,,"99        BUTLER ST",,"BROOKLYN             NY 11231-4708",,"1","B9","1853000","25081","0","0","0","25081","1909000","25081","0","0","0","25081","M",,,,,"BROOKLYN","11231","40.683786","-73.991166","6","33","69","3323321","3004030060","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"2016-04-01T00:00:00.000","4","824","32",,,"3685      CONDOR RD",,"LEVITTOWN            NY 11756-5011",,"1","B1","757000","37865","22250","0","0","15615","757000","37865","0","0","0","37865","X",,,,,,,,,,,,,,
"2016-04-01T00:00:00.000","4","1954","15",,"M. BARNADJIAN","92        BAYVIEW AVENUE","APT G","GREAT NECK           NY 11021",,,"C2","168234","75705","0","0","0","75705","126518","56933","0","0","0","56933","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","142","1250",,,"26859     AVENUE OF THE OAKS","UNIT A","SANTA CLARITA        CA 91321-5619",,"2","R4","220689","99310","17989","87017","15530","71487","220689","99310","17989","85860","15299","70561","E1","X",,,,,,,,,,,,,
"2016-04-01T00:00:00.000","5","2114","108",,,"8672      21ST AVE",,"BROOKLYN             NY 11214-4054",,"1","B2","594000","34920","1550","0","0","33370","594000","34920","0","0","0","34920","X",,,,,,,,,,,,,,
"2016-04-01T00:00:00.000","5","6671","101",,,"271       ARTHUR AVENUE",,"STATEN ISLAND        NY 10305",,"1","B2","849000","50313","1550","0","0","48763","849000","50313","0","0","0","50313","X",,,,,,,,,,,,,,
"2016-02-19T00:00:00.000","1","212","1213",,,"210       WALNUT DR",,"MORGANVILLE          NJ 07751-4656",,"2","R4","312521","140634","0","137966","0","137966","344377","154970","0","140833","0","140833","E1",,,,,,,,,,,,,,
"2016-02-23T00:00:00.000","3","371","21",,,"78        3RD PL",,"BROOKLYN             NY 11231-4006",,"1","A4","2609000","28510","0","0","0","28510","2688000","28510","0","0","0","28510","M",,,,,"BROOKLYN","11231","40.678944","-73.998644","6","39","65","3005401","3003710021","Carroll Gardens-Columbia Street-Red Hook"
"2016-02-23T00:00:00.000","3","373","12",,,"70        REMSEN ST",,"BROOKLYN             NY 11201-3432",,"1","C0","1437000","38345","0","0","0","38345","1481000","38345","0","0","0","38345","M",,,,,"BROOKLYN","11201","40.694403","-73.995658","2","33","501","3002201","3002530057","Brooklyn Heights-Cobble Hill"
"2016-02-23T00:00:00.000","3","374","29",,,"408       GREENWICH ST",,"NEW YORK             NY 10013-2077",,"1","C0","1789000","35830","0","0","0","35830","1843000","35830","0","0","0","35830","M",,,,,,,,,,,,,,
"2016-02-23T00:00:00.000","3","377","55",,,"141A      NELSON ST",,"BROOKLYN             NY 11231",,"1","B9","1606000","18630","0","0","0","18630","1655000","18630","0","0","0","18630","M",,,,,"BROOKLYN","11231","40.676866","-74.00005","6","39","65","3005608","3003770055","Carroll Gardens-Columbia Street-Red Hook"
"2016-03-18T00:00:00.000","1","142","1274",,,"28        RIVIERA DR",,"MONROE TWP           NJ 08831-8891",,"2","R4","210432","94694","17152","82969","14807","68162","210432","94694","17152","81865","14586","67279","E1","X",,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","142","1275",,,"15        NORTH RD",,"OYSTER BAY           NY 11771-1903",,"2","R4","210432","94694","17152","82969","14807","68162","210432","94694","17152","81865","14586","67279","E1","X",,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","142","1320",,"DOSCIENTOS INC","1942      NE 148TH ST",,"NORTH MIAMI          FL 33181-1161",,"2","R4","182951","82328","14913","72135","12874","59261","182951","82328","14913","71176","12682","58494","E1","X",,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","928","1339",,,"1261      LAS LOMAS AVE",,"PACIFIC PALISADES    CA 90272-2437",,"2","R4","349990","157496","58870","125956","46254","79702","349990","157496","58870","123979","45463","78516","E1","X",,,,,,,,,,,,,
"2016-02-23T00:00:00.000","3","435","18",,,"310       UNION ST",,"BROOKLYN             NY 11231-4612",,"1","B1","2765000","27049","0","0","0","27049","2849000","27049","0","0","0","27049","M",,,,,"BROOKLYN","11231","40.682021","-73.994931","6","39","75","3007231","3004350018","Carroll Gardens-Columbia Street-Red Hook"
"2016-02-23T00:00:00.000","3","436","31",,,"376       UNION ST",,"BROOKLYN             NY 11231-4912",,"1","B3","2389000","30171","3380","0","0","26791","2462000","30171","3380","0","0","26791","M",,,,,"BROOKLYN","11231","40.681088","-73.992515","6","39","75","3007285","3004360031","Carroll Gardens-Columbia Street-Red Hook"
"2016-02-23T00:00:00.000","3","436","42",,,"229       DEGRAW ST",,"BROOKLYN             NY 11231-3704",,"1","B1","1895000","28663","0","0","0","28663","1953000","28663","0","0","0","28663","M",,,,,"BROOKLYN","11231","40.68442","-73.997624","6","39","67","3336003","3003247501","Carroll Gardens-Columbia Street-Red Hook"
"2016-02-23T00:00:00.000","3","437","38",,,"320       BOND ST",,"BROOKLYN             NY 11231-5014",,"1","B1","1597000","27261","0","0","0","27261","1646000","27261","0","0","0","27261","M",,,,,"BROOKLYN","11231","40.679756","-73.989699","6","39","75","3007331","3004370038","Carroll Gardens-Columbia Street-Red Hook"
"2016-03-18T00:00:00.000","1","928","1205",,,"28        WAGNER ST",,"STATEN ISLAND        NY 10305-2957",,"2","R4","364952","164228","61386","131342","48232","83110","364952","164228","61386","129280","47407","81873","E1","X",,,,,,,,,,,,,
"2016-02-19T00:00:00.000","1","855","1099",,,"13208     W 75TH CT",,"SHAWNEE              KS 66216-3036",,"2","R4","263839","118728","0","103696","0","103696","263839","118728","0","101915","0","101915","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","928","1331",,,"30        PINE TER",,"DEMAREST             NJ 07627-1213",,"2","R4","498133","224160","83788","179273","65834","113439","498133","224160","83788","176457","64707","111750","E1","X",,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","1006","1088",,,"341       HERITAGE HLS","UNIT B","SOMERS               NY 10589-1709",,"2","R4","214746","96636","0","74057","0","74057","214746","96636","0","73030","0","73030","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","1423","1203",,,"3524      165TH ST",,"FLUSHING             NY 11358-1721",,"2","R4","238109","107149","0","95296","0","95296","238109","107149","0","93643","0","93643","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","1151","1481",,,"5001      ISLIN AVENUE",,"RIVERDALE            NY 10471",,"2","R4","745489","335470","119402","281180","98707","182473","745489","335470","119402","272325","95332","176993","E1","X",,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","1229","1105",,,"4308      OLD COURSE DR",,"CHARLOTTE            NC 28277-4592",,"2","R4","362665","163199","0","127635","0","127635","362665","163199","0","122900","0","122900","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","1231","1072",,,"11608     MONTICELLO AVE",,"SILVER SPRING        MD 20902-1710",,"2","R4","302092","135941","0","112899","0","112899","302092","135941","0","109922","0","109922","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","1231","1073",,,"11608     MONTICELLO AVE",,"SILVER SPRING        MD 20902-1710",,"2","R4","283399","127530","0","105911","0","105911","283399","127530","0","103117","0","103117","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","1231","1121",,,"1615      QUAIL RUN LN",,"CEDAR FALLS          IA 50613-4978",,"2","R4","264557","119051","0","98871","0","98871","264557","119051","0","96264","0","96264","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","1231","1198",,,"47        HORIZON TER",,"HILLSDALE            NJ 07642-1027",,"2","R4","376631","169484","0","140750","0","140750","376631","169484","0","137039","0","137039","E1",,,,,,,,,,,,,,
"2016-02-19T00:00:00.000","1","968","1283",,,"10        LINDEN ST",,"WOODMERE             NY 11598-2620",,"2","R4","188452","84803","0","80807","0","80807","188452","84803","0","80375","0","80375","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","1231","1302",,"A BECKENSTEIN/J O'ROURKE","58        OYSTER SHORES RD",,"EAST HAMPTON         NY 11937-1179",,"2","R4","519486","233769","0","194139","0","194139","519486","233769","0","189020","0","189020","E1",,,,,,,,,,,,,,
"2016-02-23T00:00:00.000","3","474","16",,,"188       NELSON ST",,"BROOKLYN             NY 11231-4502",,"1","B1","1756000","21390","1550","0","0","19840","1809000","21390","1550","0","0","19840","M",,,,,"BROOKLYN","11231","40.676304","-73.998107","6","39","77","3008118","3004740016","Carroll Gardens-Columbia Street-Red Hook"
"2016-02-23T00:00:00.000","3","775","26",,,"548       48TH ST",,"BROOKLYN             NY 11220-1303",,"1","C0","938000","35261","0","0","0","35261","938222","35261","0","0","0","35261","M",,,,,"BROOKLYN","11220","40.645565","-74.008075","7","38","98","3012654","3007750026","Sunset Park East"
"2016-02-23T00:00:00.000","3","832","24",,,"540       55TH ST",,"BROOKLYN             NY 11220-3109",,"1","B9","933000","28483","1550","0","0","26933","906000","28483","1550","0","0","26933","E1","P",,,,"BROOKLYN","11220","40.641719","-74.01228","7","38","100","3015022","3008320024","Sunset Park East"
"2016-02-23T00:00:00.000","3","856","20",,,"424       COMMERCE STREET","SUITE 3F","HAWTHORNE            NY 10532",,"1","B1","1043000","31648","0","0","0","31648","612000","31648","0","0","0","31648","E1","P",,,,,,,,,,,,,
"2016-02-23T00:00:00.000","3","856","29",,,"617       61ST ST",,"BROOKLYN             NY 11220-4110",,"1","B9","1036000","31185","0","0","0","31185","778000","31185","0","0","0","31185","E1","P",,,,"BROOKLYN","11220","40.637226","-74.013976","7","38","118","3143580","3057840070","Sunset Park East"
"2016-02-23T00:00:00.000","3","871","62",,,"515A      17TH ST",,"BROOKLYN             NY 11215-6379",,"1","B1","1067000","18248","0","0","0","18248","1099000","18248","0","0","0","18248","M",,,,,"BROOKLYN","11215","40.657767","-73.981421","7","38","169","3016650","3008710062","Windsor Terrace"
"2016-02-23T00:00:00.000","3","900","53",,,"315       23RD ST",,"BROOKLYN             NY 11215-6409",,"1","A1","1511000","13443","1550","0","0","11893","1557000","13443","1550","0","0","11893","M",,,,,"BROOKLYN","11215","40.658221","-73.99122","7","38","147","3017705","3009000053","Sunset Park West"
"2016-03-18T00:00:00.000","1","1423","1294",,"SALEM TRUCK LEASING","9505      AVENUE D",,"BROOKLYN             NY 11236-1810",,"2","R4","651320","293094","0","260677","0","260677","651320","293094","0","256145","0","256145","E1",,,,,,,,,,,,,,
"2016-02-23T00:00:00.000","3","914","20",,,"636       39TH ST",,"BROOKLYN             NY 11232-3102",,"1","C0","894000","19911","1550","0","0","18361","921000","19911","1550","0","0","18361","M",,,,,"BROOKLYN","11232","40.649394","-74.000825","7","38","88","3324924","3009140020","Sunset Park East"
"2016-03-18T00:00:00.000","1","1423","1318",,,"496       N LAKE WAY",,"PALM BEACH           FL 33480-3633",,"2","R4","1505654","677544","0","602614","0","602614","1505654","677544","0","592137","0","592137","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","1513","1130",,,"1045      SWALLOW DR",,"CHERRY HILL          NJ 08003-2849",,"2","R4","317810","143015","0","125687","0","125687","317810","143015","0","123648","0","123648","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","1607","1027",,,"1200         5 AVENUE","4C","NEW YORK             NY 10029",,"2","R4","463719","208674","149717","163634","143129","20505","0","0","0","0","0","0","P","X",,,,"MANHATTAN","10029","40.791176","-73.953359","11","8","168","1051486","1016077501","East Harlem South"
"2016-02-19T00:00:00.000","1","968","1284",,,"16        TIFFANCY CIRCLE",,"NORTH HILLS          NY 11030",,"2","R4","183115","82402","0","78515","0","78515","183115","82402","0","78098","0","78098","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","1615","1139",,,"1280         5 AVENUE","PSM3","NEW YORK             NY 10029",,"4","RG","0","0","0","0","0","0","33622","15130","9007","14662","8726","5936","E1","P",,,,"MANHATTAN","10029","40.796304","-73.949614","11","9","17401","1089046","1016157501","East Harlem South"
"2016-03-18T00:00:00.000","1","1791","20",,,,,,,"4","V9","800000","360000","0","360000","0","360000","800000","360000","360000","360000","360000","0","X",,,,,,,,,,,,,,
"2016-02-23T00:00:00.000","3","942","34",,,"136       PARK PL",,"BROOKLYN             NY 11217-3303",,"1","C0","3950000","68805","1550","0","0","67255","3704000","68805","1550","0","0","67255","M",,,,,"BROOKLYN","11217","40.678038","-73.974089","6","39","161","3019106","3009420034","Prospect Heights"
"2016-02-23T00:00:00.000","3","951","6",,,"183       6TH AVE",,"BROOKLYN             NY 11217-3509",,"1","C0","3553000","38635","1550","0","0","37085","2925000","38635","1550","0","0","37085","M",,,,,"BROOKLYN","11217","40.676387","-73.977309","6","39","159","3019608","3009510006","Park Slope-Gowanus"
"2016-02-19T00:00:00.000","1","1011","7075",,,"PO BOX 17250",,"BOULDER              CO 80308-0250",,"2","R4","646787","291054","0","260920","0","260920","646787","291054","0","255762","0","255762","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","4","3076","22",,,"PO BOX 47",,"SYOSSET              NY 11791-0047",,"2","C6","4639000","2087550","42480","1785010","42480","1742530","4639000","2087550","44840","1785010","44840","1740170","X",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","4","3077","2",,,"405       MAIN ST","APT PH1","NEW YORK             NY 10044-0352",,"1","A1","669000","29664","0","0","0","29664","669000","29664","1550","0","0","28114","X",,,,,,,,,,,,,,
"2016-02-23T00:00:00.000","3","955","19",,,"642       UNION ST",,"BROOKLYN             NY 11215-1103",,"1","B2","2098000","32788","1550","0","0","31238","1940000","32788","1550","0","0","31238","M",,,,,"BROOKLYN","11215","40.677068","-73.982194","6","39","133","3020047","3009550019","Park Slope-Gowanus"
"2016-03-18T00:00:00.000","1","1808","10",,,"411       EAST  120 STREET",,"NEW YORK             NY 10035",,"4","W1","0","0","0","0","0","0","997000","448650","0","768724","0","448650","E1","P",,,,"MANHATTAN","10035","40.798396","-73.933041","11","8","192","1089835","1018080010","East Harlem North"
"2016-02-19T00:00:00.000","1","1423","1269",,,"46        REED DR",,"ROSLYN               NY 11576-3216",,"2","R4","909308","409189","0","363935","0","363935","909308","409189","0","357609","0","357609","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","1832","21",,,"165       W 73RD ST",,"NEW YORK             NY 10023-2901",,,"C5","967000","354690","2360","0","0","352330","0","0","0","0","0","0","P","X",,,,"MANHATTAN","10023","40.77883","-73.980015","7","6","157","1079327","1011450008","Lincoln Square"
"2016-03-18T00:00:00.000","2","3271","221",,,,,,,,"V0","93000","5580","0","0","0","5580","0","0","0","0","0","0","P",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","1963","9",,,"707       PALISADES AVENUE",,"ENGLEWOOD CLIFFS     NY 07632",,"2","D3","2529000","1138050","1138050","1186290","1186290","0","2529000","1138050","0","1186290","0","1138050","X",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","2","3080","53",,,"2016      BELMONT AVE",,"BRONX                NY 10457-4933",,"1","B2","505000","24048","16235","0","0","7813","505000","24048","1662","0","0","22386","X",,,,,"BRONX","10457","40.847378","-73.890746","6","15","373","2100768","2030800053","East Tremont"
"2016-02-19T00:00:00.000","1","1423","1270",,,"15305     SW 74TH CT",,"PALMETTO BAY         FL 33157-2457",,"2","R4","583654","262644","0","233597","0","233597","583654","262644","0","229537","0","229537","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","2","3103","36",,"C/O THE RELATED COMPANIES","60        COLUMBUS CIR",,"NEW YORK             NY 10023-5802",,"2","C1","1330000","598500","0","376020","0","376020","1330000","598500","388035","376020","360270","15750","X",,,,,,,,,,,,,,
"2016-02-19T00:00:00.000","1","1423","1271",,,"319       VICTORY BLVD",,"NEW ROCHELLE         NY 10804-1720",,"2","R4","685157","308321","0","274221","0","274221","685157","308321","0","269453","0","269453","E1",,,,,,,,,,,,,,
"2016-02-23T00:00:00.000","3","963","80",,,"173       GARFIELD PL",,"BROOKLYN             NY 11215-2105",,"1","B9","3354000","35246","0","0","0","35246","3456000","35246","0","0","0","35246","M",,,,,"BROOKLYN","11215","40.672961","-73.978363","6","39","157","3020555","3009630080","Park Slope-Gowanus"
"2016-03-18T00:00:00.000","2","3123","39",,,"2074      MOHEGAN AVE",,"BRONX                NY 10460-1760",,"1","B1","575000","29510","16051","0","0","13459","575000","29510","17601","0","0","11909","X",,,,,"BRONX","10460","40.844833","-73.884031","6","17","363","2112760","2031230039","East Tremont"
"2016-02-23T00:00:00.000","3","1017","76",,,"189       8TH AVE",,"BROOKLYN             NY 11215-2277",,"1","B1","1401000","23408","0","0","0","23408","1444000","23408","0","0","0","23408","M",,,,,"BROOKLYN","11215","40.670732","-73.975051","6","39","165","3025115","3010750001","Park Slope-Gowanus"
"2016-03-18T00:00:00.000","2","5284","2",,,,,,,"4","V1","0","0","0","0","0","0","589000","265050","0","265050","0","265050","E1","P",,,,,,,,,,,,,
"2016-02-19T00:00:00.000","1","1423","1348",,,"4200      SUNSHINE RD",,"MIAMI                FL 33133-6741",,"2","R4","219924","98966","0","88020","0","88020","219924","98966","0","86490","0","86490","E1",,,,,,,,,,,,,,
