"borough_location","park_location","sports_played","week_start_date","week_end_date","sunday_s_attendance","monday_s_attendance","tuesday_s_attendance","wednesday_s_attendance","thursday_s_attendance","friday_s_attendance","saturday_s_attendance","attendance_sum"
"Brooklyn","Sunset Park","Soccer","2017-07-10T00:00:00.000","2017-07-10T00:00:00.000","0","23","0","0","0","0","0","23"
"Brooklyn","Sunset Park","Volleyball","2017-07-10T00:00:00.000","2017-07-10T00:00:00.000","0","19","0","0","0","0","0","19"
"Brooklyn","Sunset Park","Field Games","2017-07-10T00:00:00.000","2017-07-10T00:00:00.000","0","18","0","0","0","0","0","18"
"Brooklyn","Sunset Park","Basketball","2017-07-11T00:00:00.000","2017-07-11T00:00:00.000","0","0","27","0","0","0","0","27"
"Brooklyn","Sunset Park","Kickball","2017-07-11T00:00:00.000","2017-07-11T00:00:00.000","0","0","22","0","0","0","0","22"
"Brooklyn","Sunset Park","Soccer","2017-07-11T00:00:00.000","2017-07-11T00:00:00.000","0","0","24","0","0","0","0","24"
"Brooklyn","Sunset Park","Softball","2017-07-11T00:00:00.000","2017-07-11T00:00:00.000","0","0","24","0","0","0","0","24"
"Brooklyn","Sunset Park","Flag Football","2017-07-11T00:00:00.000","2017-07-11T00:00:00.000","0","0","15","0","0","0","0","15"
"Brooklyn","Sunset Park","Basketball","2017-07-12T00:00:00.000","2017-07-12T00:00:00.000","0","0","0","17","0","0","0","17"
"Brooklyn","Sunset Park","Track","2017-07-12T00:00:00.000","2017-07-12T00:00:00.000","0","0","0","18","0","0","0","18"
"Brooklyn","Sunset Park","Free Play","2017-07-12T00:00:00.000","2017-07-12T00:00:00.000","0","0","0","20","0","0","0","20"
"Brooklyn","Sunset Park","Field Games","2017-07-12T00:00:00.000","2017-07-12T00:00:00.000","0","0","0","14","0","0","0","14"
"Brooklyn","Sunset Park","Family Zumba","2017-07-12T00:00:00.000","2017-07-12T00:00:00.000","0","0","0","14","0","0","0","14"
"Bronx","Williamsbridge Oval","Basketball,soccer, kickball, ping pong, flag football","2017-07-02T00:00:00.000","2017-07-08T00:00:00.000","0","0","0","46","42","15","20","123"
"Brooklyn","Sunset Park","Field Games","2017-07-13T00:00:00.000","2017-07-13T00:00:00.000","0","0","0","0","20","0","0","20"
"Brooklyn","Sunset Park","Soccer","2017-07-13T00:00:00.000","2017-07-13T00:00:00.000","0","0","0","0","22","0","0","22"
"Brooklyn","Sunset Park","Basketball","2017-07-13T00:00:00.000","2017-07-13T00:00:00.000","0","0","0","0","24","0","0","24"
"Brooklyn","Sunset Park","Kickball","2017-07-13T00:00:00.000","2017-07-13T00:00:00.000","0","0","0","0","22","0","0","22"
"Brooklyn","Sunset Park","Basketball","2017-07-14T00:00:00.000","2017-07-14T00:00:00.000","0","0","0","0","0","12","0","12"
"Brooklyn","Sunset Park","Track","2017-07-14T00:00:00.000","2017-07-14T00:00:00.000","0","0","0","0","0","13","0","13"
"Brooklyn","Sunset Park","Soccer","2017-07-14T00:00:00.000","2017-07-14T00:00:00.000","0","0","0","0","0","19","0","19"
"Brooklyn","Sunset Park","Field Games","2017-07-14T00:00:00.000","2017-07-14T00:00:00.000","0","0","0","0","0","17","0","17"
"Brooklyn","Sunset Park","Softball","2017-07-14T00:00:00.000","2017-07-14T00:00:00.000","0","0","0","0","0","17","0","17"
"Queens","Playground for All Children","Basketball, Rugby, soccer, ultimate frisbee, dodgeball","2017-07-09T00:00:00.000","2017-07-15T00:00:00.000","0","520","650","355","525","0","375","2425"
"Bronx","Williamsbridge Oval","Soccer, Basketball, Kickball, Flag Football,","2017-07-09T00:00:00.000","2017-07-15T00:00:00.000","0","0","54","45","47","0","0","146"
"Brooklyn","Sunset Park","Basketball","2017-07-17T00:00:00.000","2017-07-17T00:00:00.000","0","23","0","0","0","0","0","23"
"Brooklyn","Sunset Park","Basketball","2017-07-18T00:00:00.000","2017-07-18T00:00:00.000","0","0","22","0","0","0","0","22"
"Brooklyn","Sunset Park","Basketball","2017-07-19T00:00:00.000","2017-07-19T00:00:00.000","0","0","0","29","0","0","0","29"
"Brooklyn","Sunset Park","Basketball","2017-07-20T00:00:00.000","2017-07-20T00:00:00.000","0","0","0","0","18","0","0","18"
"Brooklyn","Sunset Park","Track","2017-07-17T00:00:00.000","2017-07-17T00:00:00.000","0","18","0","0","0","0","0","18"
"Brooklyn","Sunset Park","Track","2017-07-19T00:00:00.000","2017-07-19T00:00:00.000","0","0","0","25","0","0","0","25"
"Brooklyn","Sunset Park","Soccer","2017-07-17T00:00:00.000","2017-07-17T00:00:00.000","0","30","0","0","0","0","0","30"
"Brooklyn","Sunset Park","Soccer","2017-07-18T00:00:00.000","2017-07-18T00:00:00.000","0","0","20","0","0","0","0","20"
"Brooklyn","Sunset Park","Soccer","2017-07-20T00:00:00.000","2017-07-20T00:00:00.000","0","0","0","0","21","0","0","21"
"Brooklyn","Sunset Park","Volleyball","2017-07-17T00:00:00.000","2017-07-17T00:00:00.000","0","21","0","0","0","0","0","21"
"Brooklyn","Sunset Park","Volleyball","2017-07-20T00:00:00.000","2017-07-20T00:00:00.000","0","0","0","0","13","0","0","13"
"Brooklyn","Sunset Park","Field Games","2017-07-17T00:00:00.000","2017-07-17T00:00:00.000","0","21","0","0","0","0","0","21"
"Brooklyn","Sunset Park","Field Games","2017-07-18T00:00:00.000","2017-07-18T00:00:00.000","0","0","13","0","0","0","0","13"
"Brooklyn","Sunset Park","Field Games","2017-07-19T00:00:00.000","2017-07-19T00:00:00.000","0","0","0","8","0","0","0","8"
"Brooklyn","Sunset Park","Softball","2017-07-18T00:00:00.000","2017-07-18T00:00:00.000","0","0","14","0","0","0","0","14"
"Brooklyn","Sunset Park","Rugby","2017-07-19T00:00:00.000","2017-07-19T00:00:00.000","0","0","0","14","0","0","0","14"
"Brooklyn","Sunset Park","Family Zumba","2017-07-19T00:00:00.000","2017-07-19T00:00:00.000","0","0","0","13","0","0","0","13"
"Brooklyn","Sunset Park","Kickball","2017-07-18T00:00:00.000","2017-07-18T00:00:00.000","0","0","16","0","0","0","0","16"
"Brooklyn","Sunset Park","Kickball","2017-07-20T00:00:00.000","2017-07-20T00:00:00.000","0","0","0","0","18","0","0","18"
"Brooklyn","Sunset Park","Softball","2017-07-21T00:00:00.000","2017-07-21T00:00:00.000","0","0","0","0","0","11","0","11"
"Brooklyn","Sunset Park","Track","2017-07-21T00:00:00.000","2017-07-21T00:00:00.000","0","0","0","0","0","21","0","21"
"Brooklyn","Sunset Park","Soccer","2017-07-21T00:00:00.000","2017-07-21T00:00:00.000","0","0","0","0","0","14","0","14"
"Brooklyn","Sunset Park","Basketball","2017-07-21T00:00:00.000","2017-07-21T00:00:00.000","0","0","0","0","0","23","0","23"
"Queens","Playground for All Children","Paddle Ball, Soccer, Ultimate Frisbee, Rugby, Softball","2017-07-16T00:00:00.000","2017-07-22T00:00:00.000","0","520","450","355","425","0","375","2125"
"Brooklyn","Sunset Park","Track","2017-07-24T00:00:00.000","2017-07-24T00:00:00.000","0","7","0","0","0","0","0","7"
"Brooklyn","Sunset Park","Soccer","2017-07-24T00:00:00.000","2017-07-24T00:00:00.000","0","30","0","0","0","0","0","30"
"Brooklyn","Sunset Park","Volleyball","2017-07-24T00:00:00.000","2017-07-24T00:00:00.000","0","11","0","0","0","0","0","11"
"Brooklyn","Sunset Park","Field Games","2017-07-24T00:00:00.000","2017-07-24T00:00:00.000","0","8","0","0","0","0","0","8"
"Brooklyn","Sunset Park","Basketball","2017-07-25T00:00:00.000","2017-07-25T00:00:00.000","0","0","31","0","0","0","0","31"
"Brooklyn","Sunset Park","Soccer","2017-07-25T00:00:00.000","2017-07-25T00:00:00.000","0","0","22","0","0","0","0","22"
"Brooklyn","Sunset Park","Softball","2017-07-25T00:00:00.000","2017-07-25T00:00:00.000","0","0","19","0","0","0","0","19"
"Brooklyn","Sunset Park","Flag Football","2017-07-25T00:00:00.000","2017-07-25T00:00:00.000","0","0","17","0","0","0","0","17"
"Brooklyn","Sunset Park","Kickball","2017-07-25T00:00:00.000","2017-07-25T00:00:00.000","0","0","25","0","0","0","0","25"
"Brooklyn","Sunset Park","Basketball","2017-07-26T00:00:00.000","2017-07-26T00:00:00.000","0","0","0","31","0","0","0","31"
"Brooklyn","Sunset Park","Track","2017-07-26T00:00:00.000","2017-07-26T00:00:00.000","0","0","0","23","0","0","0","23"
"Brooklyn","Sunset Park","Soccer","2017-07-26T00:00:00.000","2017-07-26T00:00:00.000","0","0","0","14","0","0","0","14"
"Brooklyn","Sunset Park","Softball","2017-07-26T00:00:00.000","2017-07-26T00:00:00.000","0","0","0","17","0","0","0","17"
"Brooklyn","Sunset Park","Field Games","2017-07-26T00:00:00.000","2017-07-26T00:00:00.000","0","0","0","14","0","0","0","14"
"Bronx","Williamsbridge Oval","Basketball, soccer, flag football, kickball","2017-07-16T00:00:00.000","2017-07-22T00:00:00.000","0","0","47","48","74","46","55","270"
"Brooklyn","Sunset Park","Flag Football","2017-07-27T00:00:00.000","2017-07-27T00:00:00.000","0","0","0","0","17","0","0","17"
"Brooklyn","Sunset Park","Basketball","2017-07-27T00:00:00.000","2017-07-27T00:00:00.000","0","0","0","0","26","0","0","26"
"Brooklyn","Sunset Park","Red Bull Soccer Clinic 1st Session","2017-07-27T00:00:00.000","2017-07-27T00:00:00.000","0","0","0","0","38","0","0","38"
"Brooklyn","Sunset Park","Red Bull Soccer Clinic 2nd Session","2017-07-27T00:00:00.000","2017-07-27T00:00:00.000","0","0","0","0","24","0","0","24"
"Brooklyn","Sunset Park","Volleyball","2017-07-27T00:00:00.000","2017-07-27T00:00:00.000","0","0","0","0","17","0","0","17"
"Queens","Playground for All Children","Basketball, paddleball, rugby, dodgeball, soccer","2017-07-23T00:00:00.000","2017-07-29T00:00:00.000","0","0","330","250","230","300","250","1360"
"Brooklyn","Sunset Park","Volleyball","2017-07-31T00:00:00.000","2017-07-31T00:00:00.000","0","21","0","0","0","0","0","21"
"Brooklyn","Sunset Park","Soccer","2017-07-31T00:00:00.000","2017-07-31T00:00:00.000","0","24","0","0","0","0","0","24"
"Brooklyn","Sunset Park","Field Games","2017-07-31T00:00:00.000","2017-07-31T00:00:00.000","0","19","0","0","0","0","0","19"
"Brooklyn","Sunset Park","Track","2017-07-31T00:00:00.000","2017-07-31T00:00:00.000","0","28","0","0","0","0","0","28"
"Brooklyn","Sunset Park","Basketball","2017-07-31T00:00:00.000","2017-07-31T00:00:00.000","0","35","0","0","0","0","0","35"
"Brooklyn","Sunset Park","Track","2017-08-28T00:00:00.000","2017-08-28T00:00:00.000","0","0","0","0","0","30","0","30"
"Brooklyn","Sunset Park","Flag Football","2017-08-28T00:00:00.000","2017-08-28T00:00:00.000","0","0","0","0","0","16","0","16"
"Brooklyn","Sunset Park","Basketball","2017-08-28T00:00:00.000","2017-08-28T00:00:00.000","0","0","0","0","0","33","0","33"
"Brooklyn","Sunset Park","Soccer","2017-08-28T00:00:00.000","2017-08-28T00:00:00.000","0","0","0","0","0","21","0","21"
"Brooklyn","Sunset Park","Softball","2017-08-28T00:00:00.000","2017-08-28T00:00:00.000","0","0","0","0","0","16","0","16"
"Bronx","Williamsbridge Oval","Basketball, Soccer, Flag Football, Kickball, Group Games","2017-07-23T00:00:00.000","2017-07-29T00:00:00.000","0","0","41","0","56","98","0","195"
"Brooklyn","Sunset Park","Softball","2017-08-01T00:00:00.000","2017-08-01T00:00:00.000","0","0","17","0","0","0","0","17"
"Brooklyn","Sunset Park","Soccer","2017-08-01T00:00:00.000","2017-08-01T00:00:00.000","0","0","22","0","0","0","0","22"
"Brooklyn","Sunset Park","Kickball","2017-08-01T00:00:00.000","2017-08-01T00:00:00.000","0","0","28","0","0","0","0","28"
"Brooklyn","Sunset Park","Basketball","2017-08-01T00:00:00.000","2017-08-01T00:00:00.000","0","0","34","0","0","0","0","34"
"Staten Island","CPL. Thompson Park","Softball, Kickball, Wiffleball, Ultimate Frisbee","2017-07-11T00:00:00.000","2017-07-15T00:00:00.000","0","0","17","0","0","11","0","28"
"Staten Island","Dugan Playground","Softball, Kickball, Wiffleball","2017-07-11T00:00:00.000","2017-07-15T00:00:00.000","0","0","14","0","0","0","0","14"
"Staten Island","Schmul Park","Softball, Kickball, Wiffleball, Basketball","2017-07-11T00:00:00.000","2017-07-15T00:00:00.000","0","0","48","0","7","0","287","342"
"Staten Island","Cedar Grove","Volleyball","2017-07-11T00:00:00.000","2017-07-15T00:00:00.000","0","0","0","6","0","0","0","6"
"Staten Island","Midland Beach","Volleyball/Spikeball","2017-07-11T00:00:00.000","2017-07-15T00:00:00.000","0","0","0","24","0","0","0","24"
"Brooklyn","Sunset Park","Flag Football","2017-08-02T00:00:00.000","2017-08-02T00:00:00.000","0","0","0","17","0","0","0","17"
"Brooklyn","Sunset Park","Basketball","2017-08-02T00:00:00.000","2017-08-02T00:00:00.000","0","0","0","23","0","0","0","23"
"Brooklyn","Sunset Park","Track","2017-08-02T00:00:00.000","2017-08-02T00:00:00.000","0","0","0","18","0","0","0","18"
"Brooklyn","Sunset Park","Ultimate Frisbee","2017-08-02T00:00:00.000","2017-08-02T00:00:00.000","0","0","0","17","0","0","0","17"
"Brooklyn","Sunset Park","Family Zumba","2017-08-02T00:00:00.000","2017-08-02T00:00:00.000","0","0","0","15","0","0","0","15"
"Brooklyn","Sunset Park","Field Games","2017-08-03T00:00:00.000","2017-08-03T00:00:00.000","0","0","0","0","17","0","0","17"
"Brooklyn","Sunset Park","Volleyball","2017-08-03T00:00:00.000","2017-08-03T00:00:00.000","0","0","0","0","18","0","0","18"
"Brooklyn","Sunset Park","Basketball","2017-08-03T00:00:00.000","2017-08-03T00:00:00.000","0","0","0","0","33","0","0","33"
"Brooklyn","Sunset Park","Kickball","2017-08-03T00:00:00.000","2017-08-03T00:00:00.000","0","0","0","0","25","0","0","25"
"Brooklyn","Sunset Park","Soccer","2017-08-03T00:00:00.000","2017-08-03T00:00:00.000","0","0","0","0","22","0","0","22"
"Brooklyn","Sunset Park","Softball","2017-08-04T00:00:00.000","2017-08-04T00:00:00.000","0","0","0","0","0","14","0","14"
"Brooklyn","Sunset Park","Track","2017-08-04T00:00:00.000","2017-08-04T00:00:00.000","0","0","0","0","0","14","0","14"
"Brooklyn","Sunset Park","Flag Football","2017-08-04T00:00:00.000","2017-08-04T00:00:00.000","0","0","0","0","0","14","0","14"
"Queens","Playground for All Children","Basketball, Soccer, Dodgeball, Paddle ball,","2017-07-30T00:00:00.000","2017-08-05T00:00:00.000","0","330","275","310","300","265","310","1790"
"Brooklyn","Sunset Park","Field Games","2017-08-07T00:00:00.000","2017-08-07T00:00:00.000","0","13","0","0","0","0","0","13"
"Brooklyn","Sunset Park","Track","2017-08-07T00:00:00.000","2017-08-07T00:00:00.000","0","14","0","0","0","0","0","14"
"Brooklyn","Sunset Park","Soccer","2017-08-07T00:00:00.000","2017-08-07T00:00:00.000","0","16","0","0","0","0","0","16"
"Brooklyn","Sunset Park","Volleyball","2017-08-07T00:00:00.000","2017-08-07T00:00:00.000","0","14","0","0","0","0","0","14"
"Bronx","Williamsbridge Oval","Basketball, Soccer, Flag Football, Kickball, Track","2017-07-30T00:00:00.000","2017-08-05T00:00:00.000","0","0","66","41","80","55","15","257"
"Manhattan","Thomas Jefferson Park","Dodgeball & Basketball","2017-07-25T00:00:00.000","2017-07-29T00:00:00.000","0","0","300","201","149","332","220","1202"
"Manhattan","Thomas Jefferson Park","Football & Tag","2017-07-18T00:00:00.000","2017-07-22T00:00:00.000","0","0","200","1502","300","250","150","2402"
"Brooklyn","Sunset Park","Basketball","2017-08-09T00:00:00.000","2017-08-09T00:00:00.000","0","0","0","20","0","0","0","20"
"Brooklyn","Sunset Park","Track","2017-08-09T00:00:00.000","2017-08-09T00:00:00.000","0","0","0","0","21","0","0","21"
"Brooklyn","Sunset Park","Field Games","2017-08-09T00:00:00.000","2017-08-09T00:00:00.000","0","0","0","13","0","0","0","13"
"Brooklyn","Sunset Park","Ultimate Frisbee","2017-08-09T00:00:00.000","2017-08-09T00:00:00.000","0","0","0","16","0","0","0","16"
"Brooklyn","Sunset Park","Family Zumba","2017-08-09T00:00:00.000","2017-08-09T00:00:00.000","0","0","0","11","0","0","0","11"
"Brooklyn","Sunset Park","Kickball","2017-08-09T00:00:00.000","2017-08-09T00:00:00.000","0","0","0","15","0","0","0","15"
"Brooklyn","Sunset Park","Flag Football","2017-08-10T00:00:00.000","2017-08-10T00:00:00.000","0","0","0","0","13","0","0","13"
"Brooklyn","Sunset Park","Field Games","2017-08-10T00:00:00.000","2017-08-10T00:00:00.000","0","0","0","0","16","0","0","16"
"Brooklyn","Sunset Park","Basketball","2017-08-10T00:00:00.000","2017-08-10T00:00:00.000","0","0","0","0","27","0","0","27"
"Brooklyn","Sunset Park","Kickball","2017-08-10T00:00:00.000","2017-08-10T00:00:00.000","0","0","0","0","23","0","0","23"
"Brooklyn","Sunset Park","Soccer","2017-08-10T00:00:00.000","2017-08-10T00:00:00.000","0","0","0","0","20","0","0","20"
"Brooklyn","Sunset Park","Field Games","2017-08-14T00:00:00.000","2017-08-14T00:00:00.000","0","11","0","0","0","0","0","11"
"Brooklyn","Sunset Park","Basketball","2017-08-14T00:00:00.000","2017-08-14T00:00:00.000","0","20","0","0","0","0","0","20"
"Brooklyn","Sunset Park","Track","2017-08-14T00:00:00.000","2017-08-14T00:00:00.000","0","20","0","0","0","0","0","20"
"Brooklyn","Sunset Park","Soccer","2017-08-14T00:00:00.000","2017-08-14T00:00:00.000","0","14","0","0","0","0","0","14"
"Brooklyn","Sunset Park","Softball","2017-08-14T00:00:00.000","2017-08-14T00:00:00.000","0","12","0","0","0","0","0","12"
"Bronx","Williamsbridge Oval","Basketball, Soccer, Kickball, Tennis, Flag Football, Street Hockey, Table Tennis","2017-08-06T00:00:00.000","2017-08-12T00:00:00.000","0","0","62","48","64","49","43","266"
"Brooklyn","Sunset Park","Soccer","2017-08-15T00:00:00.000","2017-08-15T00:00:00.000","0","0","11","0","0","0","0","11"
"Brooklyn","Sunset Park","Kickball","2017-08-15T00:00:00.000","2017-08-15T00:00:00.000","0","0","10","0","0","0","0","10"
"Brooklyn","Sunset Park","Free Play","2017-08-15T00:00:00.000","2017-08-15T00:00:00.000","0","0","20","0","0","0","0","20"
"Brooklyn","Sunset Park","Kickball","2017-08-17T00:00:00.000","2017-08-17T00:00:00.000","0","0","0","0","19","0","0","19"
"Brooklyn","Sunset Park","Soccer","2017-08-17T00:00:00.000","2017-08-17T00:00:00.000","0","0","0","0","17","0","0","17"
"Brooklyn","Sunset Park","Volleyball","2017-08-17T00:00:00.000","2017-08-17T00:00:00.000","0","0","0","0","13","0","0","13"
"Brooklyn","Sunset Park","Basketball","2017-08-17T00:00:00.000","2017-08-17T00:00:00.000","0","0","0","0","19","0","0","19"
"Brooklyn","Sunset Park","Flag Football","2017-08-17T00:00:00.000","2017-08-17T00:00:00.000","0","0","0","0","6","0","0","6"
"Brooklyn","Sunset Park","Child's Tumbling","2017-08-11T00:00:00.000","2017-08-11T00:00:00.000","0","0","0","0","0","19","0","19"
"Brooklyn","Sunset Park","Field Games","2017-08-11T00:00:00.000","2017-08-11T00:00:00.000","0","0","0","0","0","15","0","15"
"Brooklyn","Sunset Park","Track","2017-08-11T00:00:00.000","2017-08-11T00:00:00.000","0","0","0","0","0","28","0","28"
"Brooklyn","Sunset Park","Basketball","2017-08-11T00:00:00.000","2017-08-11T00:00:00.000","0","0","0","0","0","36","0","36"
"Brooklyn","Sunset Park","Flag Football","2017-08-11T00:00:00.000","2017-08-11T00:00:00.000","0","0","0","0","0","22","0","22"
"Brooklyn","Sunset Park","Basketball","2017-08-18T00:00:00.000","2017-08-18T00:00:00.000","0","0","0","0","0","7","0","7"
"Brooklyn","Sunset Park","Track","2017-08-18T00:00:00.000","2017-08-18T00:00:00.000","0","0","0","0","0","8","0","8"
"Bronx","Williamsbridge Oval","Basketball, Kickball, Soccer, Tennis, Flag Football, Group Games, Ping-Pong","2017-08-13T00:00:00.000","2017-08-19T00:00:00.000","0","0","22","0","45","50","58","175"
"Brooklyn","Sunset Park","Basketball","2017-08-21T00:00:00.000","2017-08-21T00:00:00.000","0","11","0","0","0","0","0","11"
"Brooklyn","Sunset Park","Track","2017-08-21T00:00:00.000","2017-08-21T00:00:00.000","0","13","0","0","0","0","0","13"
"Brooklyn","Sunset Park","Soccer","2017-08-21T00:00:00.000","2017-08-21T00:00:00.000","0","12","0","0","0","0","0","12"
"Brooklyn","Sunset Park","Volleyball","2017-08-21T00:00:00.000","2017-08-21T00:00:00.000","0","7","0","0","0","0","0","7"
"Brooklyn","Sunset Park","Field Games","2017-08-21T00:00:00.000","2017-08-21T00:00:00.000","0","6","0","0","0","0","0","6"
"Brooklyn","Sunset Park","Softball","2017-08-22T00:00:00.000","2017-08-22T00:00:00.000","0","0","14","0","0","0","0","14"
"Brooklyn","Sunset Park","Free Play","2017-08-22T00:00:00.000","2017-08-22T00:00:00.000","0","0","9","0","0","0","0","9"
"Brooklyn","Sunset Park","Basketball","2017-08-22T00:00:00.000","2017-08-22T00:00:00.000","0","0","13","0","0","0","0","13"
"Brooklyn","Sunset Park","Track","2017-08-22T00:00:00.000","2017-08-22T00:00:00.000","0","0","20","0","0","0","0","20"
"Brooklyn","Sunset Park","Kickball","2017-08-22T00:00:00.000","2017-08-22T00:00:00.000","0","0","20","0","0","0","0","20"
"Brooklyn","Sunset Park","Soccer","2017-08-22T00:00:00.000","2017-08-22T00:00:00.000","0","0","22","0","0","0","0","22"
"Manhattan","Thomas Jefferson Park","Football and frisbee Tag","2017-08-01T00:00:00.000","2017-08-05T00:00:00.000","0","0","300","100","250","350","400","1400"
"Manhattan","Thomas Jefferson Park","Basketball and Football","2017-08-08T00:00:00.000","2017-08-12T00:00:00.000","0","0","0","250","300","250","100","900"
"Manhattan","Thomas Jefferson Park","Flag Football","2017-08-15T00:00:00.000","2017-08-19T00:00:00.000","0","0","150","300","400","80","70","1000"
"Queens","Playground for All Children","Soccer, basketball, dodgeball, Ultimate Frisbee","2017-08-06T00:00:00.000","2017-08-12T00:00:00.000","0","0","150","175","200","75","195","795"
"Brooklyn","Sunset Park","Soccer","2017-08-24T00:00:00.000","2017-08-24T00:00:00.000","0","0","0","0","22","0","0","22"
"Brooklyn","Sunset Park","Basketball","2017-08-24T00:00:00.000","2017-08-24T00:00:00.000","0","0","0","0","15","0","0","15"
"Brooklyn","Sunset Park","Kickball","2017-08-24T00:00:00.000","2017-08-24T00:00:00.000","0","0","0","0","19","0","0","19"
"Brooklyn","Sunset Park","Free play","2017-08-25T00:00:00.000","2017-08-25T00:00:00.000","0","0","0","0","0","15","0","15"
"Brooklyn","Sunset Park","Basketball","2017-08-25T00:00:00.000","2017-08-25T00:00:00.000","0","0","0","0","0","14","0","14"
"Brooklyn","Sunset Park","Track","2017-08-25T00:00:00.000","2017-08-25T00:00:00.000","0","0","0","0","0","22","0","22"
"Brooklyn","Sunset Park","Soccer","2017-08-25T00:00:00.000","2017-08-25T00:00:00.000","0","0","0","0","0","12","0","12"
