"borough","block","lot","address","zip_code","final_18_19_actual_av","tax_class","bldg_class","rpie_year","status","x_coordinate","ycoordinate","latitude","longitude","community_district","city_council_district","census_tract","bin","bbl","nta"
"Manhattan","40","1002","72 WALL STREET  #2","10005","15157267","4","RB","2017","Nonfiler","981975","196380","40.705694","-74.008205","101","1","7","1001003","1000407501","Battery Park City-Lower Manhattan"
"Manhattan","41","1001","50 PINE STREET  #C-2","10005","205851","4","RK","2017","Nonfiler","981860","196758","40.706732","-74.00862","101","1","7","1001011","1000417501","Battery Park City-Lower Manhattan"
"Manhattan","41","1203","56 PINE STREET  #C2","10005","101501","4","RK","2017","Nonfiler","981920","196712","40.706606","-74.008404","101","1","7","1001009","1000417503","Battery Park City-Lower Manhattan"
"Manhattan","51","14","22 THAMES STREET","10006","6306480","2","D8","2017","Nonfiler","980681","197692","40.709295","-74.012873","101","1","13","1001034","1000510014","Battery Park City-Lower Manhattan"
"Manhattan","51","15","90 TRINITY PLACE","10006","6718950","4","W1","2017","Nonfiler","980831","197486","40.70873","-74.012332","101","1","13","1001035","1000510015","Battery Park City-Lower Manhattan"
"Manhattan","52","1","96 TRINITY PLACE","10006","11297700","4","W6","2017","Nonfiler","980888","197599","40.70904","-74.012127","101","1","13","1001037","1000520001","Battery Park City-Lower Manhattan"
"Manhattan","53","37","102 GREENWICH STREET","10006","2749050","4","H3","2017","Nonfiler","980521","197337","40.708321","-74.01345","101","1","13","1001054","1000530037","Battery Park City-Lower Manhattan"
"Manhattan","55","1021","RECTOR STREET","10006","360005","4","RB","2017","Nonfiler",,,,,,,,,,
"Manhattan","63","3","22 CORTLANDT STREET","10007","62964450","4","O4","2017","Nonfiler","981229","198030","40.710223","-74.010897","101","1","13","1001069","1000630003","Battery Park City-Lower Manhattan"
"Manhattan","65","20","12 JOHN STREET","10038","2876850","2","D6","2017","Nonfiler","981727","197950","40.710004","-74.0091","101","1","1502","1001103","1000650020","Battery Park City-Lower Manhattan"
"Manhattan","68","29","13 GOLD STREET","10038","337500","4","G6","2017","Nonfiler","982318","197104","40.707682","-74.006968","101","1","1502","1000000","1000680029","Battery Park City-Lower Manhattan"
"Manhattan","68","1001","80 JOHN STREET  #COM1","10038","370190","4","RK","2017","Nonfiler","982341","197382","40.708445","-74.006886","101","1","1502","1001115","1000687501","Battery Park City-Lower Manhattan"
"Manhattan","70","1037","125 MAIDEN LANE  #5C","10038","262612","4","RB","2017","Nonfiler","982492","196636","40.706397","-74.006341","101","1","1502","1087484","1000707501","Battery Park City-Lower Manhattan"
"Manhattan","70","1041","125 MAIDEN LANE  #8A","10038","2080067","4","RB","2017","Nonfiler","982492","196636","40.706397","-74.006341","101","1","1502","1087484","1000707501","Battery Park City-Lower Manhattan"
"Manhattan","72","25","87 SOUTH STREET","10038","943200","4","K1","2017","Nonfiler","983151","196398","40.705744","-74.003964","101","1","1502","1001141","1000720025","Battery Park City-Lower Manhattan"
"Manhattan","76","23","38 GOLD STREET","10038","135000","4","Z9","2017","Nonfiler","982606","197484","40.708725","-74.00593","101","1","1502","1085600","1000760023","Battery Park City-Lower Manhattan"
"Manhattan","77","24","82 FULTON STREET","10038","15597900","2","D7","2017","Nonfiler","982662","197654","40.709191","-74.005728","101","1","1502","1077403","1000770024","Battery Park City-Lower Manhattan"
"Manhattan","78","41","86A NASSAU STREET","10038","402750","4","K2","2017","Nonfiler","982038","197937","40.709968","-74.007979","101","1","1502",,,"Battery Park City-Lower Manhattan"
"Manhattan","88","4","18 VESEY STREET","10007","1556550","4","M3","2017","Nonfiler","981615","198610","40.711815","-74.009505","101","1","21","1001234","1000880004","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","92","23","35 ANN STREET","10038","294300","4","K2","2017","Nonfiler","982260","198126","40.710487","-74.007178","101","1","1501","1001273","1000920023","Battery Park City-Lower Manhattan"
"Manhattan","92","26","118 NASSAU STREET","10038","666900","4","K4","2017","Nonfiler","982321","198266","40.710871","-74.006958","101","1","1501","1001274","1000920026","Battery Park City-Lower Manhattan"
"Manhattan","93","24","164 WILLIAM STREET","10038","565650","4","K4","2017","Nonfiler","982655","198034","40.710234","-74.005753","101","1","1501","1001282","1000930024","Battery Park City-Lower Manhattan"
"Manhattan","100","1203","8 SPRUCE STREET  #NYDH","10038","2284650","4","RB","2017","Nonfiler","982705","198461","40.711407","-74.005573","101","1","1501","1087485","1001007502","Battery Park City-Lower Manhattan"
"Manhattan","107","26","259 FRONT STREET","10038","905400","4","L9","2017","Nonfiler","984077","197319","40.708272","-74.000624","101","1","1501","1079138","1001070026","Battery Park City-Lower Manhattan"
"Manhattan","107","38","29 PECK SLIP","10038","6465795","4","HB","2017","Nonfiler","983777","197206","40.707962","-74.001706","101","1","1501","1082022","1001070038","Battery Park City-Lower Manhattan"
"Manhattan","107","40","25 PECK SLIP","10038","708468","2A","S9","2017","Nonfiler","983754","197239","40.708053","-74.001789","101","1","1501","1078990","1001070040","Battery Park City-Lower Manhattan"
"Manhattan","107","51","279 WATER STREET","10038","572850","4","K4","2017","Nonfiler","983955","197467","40.708678","-74.001064","101","1","1501","1082487","1001070051","Battery Park City-Lower Manhattan"
"Manhattan","133","7","45 MURRAY STREET","10007","1094850","4","K4","2017","Nonfiler","981649","199426","40.714055","-74.009382","101","1","21","1001435","1001330007","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","133","1202","49 MURRAY STREET  #2","10007","121553","2C","R8","2017","Nonfiler","981615","199446","40.71411","-74.009505","101","1","21","1001437","1001337503","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","133","1502","49 WARREN STREET  #1F","10007","93144","4","RK","2017","Nonfiler","981753","199637","40.714634","-74.009007","101","1","21","1079150","1001337506","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","134","11","33 WARREN STREET","10007","3757050","2","D6","2017","Nonfiler","982009","199483","40.714212","-74.008084","101","1","21","1001453","1001340011","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","134","1401","25 MURRAY STREET  #COM 1","10007","341750","4","RK","2017","Nonfiler",,,,,,,,,,
"Manhattan","134","1402","25 MURRAY STREET  #COM 2","10007","140254","4","RK","2017","Nonfiler",,,,,,,,,,
"Manhattan","134","1403","25 MURRAY STREET  #COM 3","10007","146680","4","RK","2017","Nonfiler",,,,,,,,,,
"Manhattan","134","1404","25 MURRAY STREET  #COM 4","10007","158022","4","RK","2017","Nonfiler",,,,,,,,,,
"Manhattan","134","1405","25 MURRAY STREET  #COM 5","10007","306214","4","RK","2017","Nonfiler",,,,,,,,,,
"Manhattan","134","1406","25 MURRAY STREET  #COM 6","10007","316421","4","RK","2017","Nonfiler",,,,,,,,,,
"Manhattan","134","1407","25 MURRAY STREET  #COM 7","10007","486162","4","RK","2017","Nonfiler",,,,,,,,,,
"Manhattan","134","1408","25 MURRAY STREET  #COM 8","10007","220776","4","RK","2017","Nonfiler",,,,,,,,,,
"Manhattan","134","1409","25 MURRAY STREET  #COM 9","10007","187509","4","RK","2017","Nonfiler",,,,,,,,,,
"Manhattan","134","1410","25 MURRAY STREET  #COM10","10007","174655","4","RK","2017","Nonfiler","981932","199256","40.713588","-74.008361","101","1","21","1001451","1001347505","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","134","1411","25 MURRAY STREET  #COM11","10007","202253","4","RK","2017","Nonfiler","981932","199256","40.713588","-74.008361","101","1","21","1001451","1001347505","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","134","1412","25 MURRAY STREET  #COM12","10007","202253","4","RK","2017","Nonfiler","981932","199256","40.713588","-74.008361","101","1","21","1001451","1001347505","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","134","1488","25 MURRAY STREET  #STOR1","10007","277861","4","RK","2017","Nonfiler","981932","199256","40.713588","-74.008361","101","1","21","1001451","1001347505","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","134","1489","25 MURRAY STREET  #STOR2","10007","85059","4","RK","2017","Nonfiler","981932","199256","40.713588","-74.008361","101","1","21","1001451","1001347505","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","134","1490","25 MURRAY STREET  #STOR3","10007","148949","4","RK","2017","Nonfiler","981932","199256","40.713588","-74.008361","101","1","21","1001451","1001347505","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","134","1491","25 MURRAY STREET  #STOR4","10007","92242","4","RK","2017","Nonfiler","981932","199256","40.713588","-74.008361","101","1","21","1001451","1001347505","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","134","1492","25 MURRAY STREET  #STOR5","10007","92242","4","RK","2017","Nonfiler","981932","199256","40.713588","-74.008361","101","1","21","1001451","1001347505","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","135","1101","18 WARREN STREET  #UNIT1","10007","321894","2C","R8","2017","Nonfiler","982149","199403","40.713992","-74.007579","101","1","21","1077807","1001357502","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","135","1201","86 CHAMBERS STREET  #C1","10007","960582","4","RK","2017","Nonfiler","982283","199597","40.714524","-74.007095","101","1","21","1079153","1001357504","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","135","1401","22 WARREN STREET  #1","10007","239501","2C","R8","2017","Nonfiler","982110","199427","40.714058","-74.007719","101","1","21","1001462","1001357505","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","136","24","116 CHAMBERS STREET","10007","900450","4","O5","2017","Nonfiler","981903","199828","40.715158","-74.008466","101","1","21","1001485","1001360024","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","137","1401","148 CHAMBERS STREET  #1","10007","148387","2C","R8","2017","Nonfiler","981490","200075","40.715836","-74.009956","101","1","21","1001496","1001377505","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","137","1501","146 CHAMBERS STREET  #C","10007","106184","2C","R8","2017","Nonfiler","981511","200063","40.715803","-74.00988","101","1","21","1001497","1001377504","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","140","1202","139 READE STREET  #139-C","10013","174956","4","RK","2017","Nonfiler","981556","200284","40.71641","-74.009718","101","1","21","1084396","1001407503","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","140","1215","143 READE STREET  #LOBBY","10013","147766","4","RK","2017","Nonfiler","981540","200294","40.716437","-74.009776","101","1","21","1084396","1001407503","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","140","1401","157 CHAMBERS STREET  #COM1","10007","1819863","4","RK","2017","Nonfiler","981409","200130","40.715987","-74.010248","101","1","21","1001505","1001407505","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","140","1402","157 CHAMBERS STREET  #COM2","10007","187588","4","RK","2017","Nonfiler","981409","200130","40.715987","-74.010248","101","1","21","1001505","1001407505","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","141","28","172 DUANE STREET","10013","888750","4","O2","2017","Nonfiler","981572","200570","40.717195","-74.009661","101","1","39","1001528","1001410028","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","141","1104","184 DUANE STREET  #4","10013","143797","4","RB","2017","Nonfiler","981410","200646","40.717403","-74.010245","101","1","39","1075718","1001417502","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","141","1607","138 READE STREET  #7GARG","10013","79764","2C","R8","2017","Nonfiler","981559","200289","40.716424","-74.009707","101","1","39","1087486","1001417507","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","143","1001","8 JAY STREET  #COMM","10013","734850","4","RK","2017","Nonfiler","981575","200865","40.718005","-74.00965","101","1","39","1001556","1001437501","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","144","1002","42 HUDSON STREET  #2FL","10013","158782","2C","R8","2017","Nonfiler","981744","200613","40.717313","-74.00904","101","1","33","1001573","1001447501","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","145","5","111 CHAMBERS STREET","10007","518086","2B","C7","2017","Nonfiler","981933","199817","40.715128","-74.008358","101","1","21","1001578","1001450005","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","145","1401","123 CHAMBERS STREET  #1","10007","64279","2C","R8","2017","Nonfiler","981839","199874","40.715285","-74.008697","101","1","21","1088443","1001457505","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","146","27","176 CHURCH STREET","10013","1029150","4","K4","2017","Nonfiler","982185","199976","40.715565","-74.007449","101","1","33","1001604","1001460027","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","146","1101","150 DUANE STREET  #COMM","10013","1393200","4","RK","2017","Nonfiler","982000","200301","40.716457","-74.008117","101","1","33","1001599","1001467502","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","146","1201","104 READE STREET  #COM 1","10013","723150","4","RK","2017","Nonfiler",,,,,,,,,,
"Manhattan","146","1401","148 DUANE STREET  #C","10013","220485","2C","R8","2017","Nonfiler","982021","200289","40.716424","-74.008041","101","1","33","1077207","1001467505","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","147","14","141 WEST BROADWAY","10013","273150","4","O2","2017","Nonfiler","981998","200462","40.716899","-74.008124","101","1","33","1001614","1001470014","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","147","1101","68 THOMAS STREET  #COMM","10013","204199","2C","R8","2017","Nonfiler","982149","200477","40.71694","-74.007579","101","1","33","1001616","1001477504","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","147","1201","143 DUANE STREET  #1Comm","10013","208902","2C","R8","2017","Nonfiler","982050","200278","40.716394","-74.007936","101","1","33","1001608","1001477502","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","147","1251","129 DUANE STREET  #1DCOM","10013","177647","2C","R8","2017","Nonfiler","982209","200182","40.71613","-74.007363","101","1","33","1001605","1001477505","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","149","14","99 CHAMBERS STREET","10007","2844900","2","D7","2017","Nonfiler","982140","199692","40.714785","-74.007611","101","1","21","1001631","1001490014","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","150","1001","70 READE STREET  #1","10007","2844000","4","RK","2017","Nonfiler","982370","199805","40.715095","-74.006782","101","1","33","1001640","1001507501","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","150","1002","70 READE STREET  #2","10007","297000","4","RK","2017","Nonfiler","982370","199805","40.715095","-74.006782","101","1","33","1001640","1001507501","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","150","1201","106 DUANE STREET  #COM","10007","493005","2C","R8","2017","Nonfiler","982547","199973","40.715557","-74.006143","101","1","33","1001646","1001507503","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","162","13","24 MOTT STREET","10013","567900","2","C7","2017","Nonfiler","984593","199542","40.714374","-73.998763","103","1","29","1001690","1001620013","Chinatown"
"Manhattan","162","21","29 PELL STREET","10013","349264","2A","S9","2017","Nonfiler","984739","199718","40.714857","-73.998236","103","1","29","1001696","1001620021","Chinatown"
"Manhattan","162","47","10 DOYERS STREET","10013","148500","4","K4","2017","Nonfiler","984774","199569","40.714448","-73.99811","103","1","29","1001711","1001620047","Chinatown"
"Manhattan","162","53","18 BOWERY","10013","896850","4","O8","2017","Nonfiler","985036","199602","40.714538","-73.997165","103","1","29","1001716","1001620053","Chinatown"
"Manhattan","162","1008","7 CHATHAM SQUARE  #201","10038","107939","4","RB","2017","Nonfiler","984779","199294","40.713693","-73.998092","103","1","29","1001726","1001627501","Chinatown"
"Manhattan","162","1033","7 CHATHAM SQUARE  #608","10038","88388","4","RB","2017","Nonfiler","984779","199294","40.713693","-73.998092","103","1","29","1001726","1001627501","Chinatown"
"Manhattan","162","1039","7 CHATHAM SQUARE  #706","10038","88909","4","RB","2017","Nonfiler","984779","199294","40.713693","-73.998092","103","1","29","1001726","1001627501","Chinatown"
"Manhattan","162","1040","7 CHATHAM SQUARE  #705","10038","66032","4","RB","2017","Nonfiler","984779","199294","40.713693","-73.998092","103","1","29","1001726","1001627501","Chinatown"
"Manhattan","162","1041","7 CHATHAM SQUARE  #703","10038","116191","4","RB","2017","Nonfiler","984779","199294","40.713693","-73.998092","103","1","29","1001726","1001627501","Chinatown"
"Manhattan","162","1043","7 CHATHAM SQUARE  #800","10038","224642","4","RB","2017","Nonfiler","984779","199294","40.713693","-73.998092","103","1","29","1001726","1001627501","Chinatown"
"Manhattan","162","1044","7 CHATHAM SQUARE  #802","10038","93682","4","RB","2017","Nonfiler","984779","199294","40.713693","-73.998092","103","1","29","1001726","1001627501","Chinatown"
"Manhattan","162","1045","7 CHATHAM SQUARE  #804","10038","86495","4","RB","2017","Nonfiler","984779","199294","40.713693","-73.998092","103","1","29","1001726","1001627501","Chinatown"
"Manhattan","162","1046","7 CHATHAM SQUARE  #801","10038","52788","4","RB","2017","Nonfiler","984779","199294","40.713693","-73.998092","103","1","29","1001726","1001627501","Chinatown"
"Manhattan","162","1047","7 CHATHAM SQUARE  #803","10038","121401","4","RB","2017","Nonfiler","984779","199294","40.713693","-73.998092","103","1","29","1001726","1001627501","Chinatown"
"Manhattan","162","1050","7 CHATHAM SQUARE  #507","10038","51279","4","RB","2017","Nonfiler","984779","199294","40.713693","-73.998092","103","1","29","1001726","1001627501","Chinatown"
"Manhattan","162","1052","7 CHATHAM SQUARE  #3","10038","69699","4","RK","2017","Nonfiler","984779","199294","40.713693","-73.998092","103","1","29","1001726","1001627501","Chinatown"
"Manhattan","162","1053","7 CHATHAM SQUARE  #4","10038","68017","4","RK","2017","Nonfiler","984779","199294","40.713693","-73.998092","103","1","29","1001726","1001627501","Chinatown"
"Manhattan","162","1054","7 CHATHAM SQUARE  #5","10038","55459","4","RK","2017","Nonfiler","984779","199294","40.713693","-73.998092","103","1","29","1001726","1001627501","Chinatown"
"Manhattan","162","1057","7 CHATHAM SQUARE  #8","10038","60638","4","RK","2017","Nonfiler","984779","199294","40.713693","-73.998092","103","1","29","1001726","1001627501","Chinatown"
"Manhattan","162","1058","7 CHATHAM SQUARE  #9","10038","61309","4","RK","2017","Nonfiler","984779","199294","40.713693","-73.998092","103","1","29","1001726","1001627501","Chinatown"
"Manhattan","164","26","47 MOTT STREET","10013","1575000","2","C7","2017","Nonfiler","984618","199897","40.715348","-73.998673","103","1","29","1001815","1001640026","Chinatown"
"Manhattan","164","61","191 WORTH STREET","10013","2054250","4","W2","2017","Nonfiler","984379","199379","40.713926","-73.999535","103","1","29","1001827","1001640061","Chinatown"
"Manhattan","164","62","20 MULBERRY STREET","10013","2105550","2","C7","2017","Nonfiler","984370","199501","40.714261","-73.999567","103","1","29","1077118","1001640062","Chinatown"
"Manhattan","170","6","346 BROADWAY","10013","26496990","2","D6","2017","Nonfiler","983096","200388","40.716696","-74.004163","101","1","31","1001835","1001700006","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","171","7","360 BROADWAY","10013","2849271","2B","D7","2017","Nonfiler","983236","200604","40.717289","-74.003658","101","1","31","1001841","1001710007","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","171","1001","356 BROADWAY  #C1","10013","749038","4","RB","2017","Nonfiler",,,,,,,,,,
"Manhattan","173","2","83 WORTH STREET","10013","2831850","4","O5","2017","Nonfiler","982813","200351","40.716594","-74.005184","101","1","33","1001873","1001730002","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","175","5","80 FRANKLIN STREET","10013","552654","2A","S9","2017","Nonfiler","982957","200856","40.71798","-74.004664","101","1","33","1001921","1001750005","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","175","7","84 FRANKLIN STREET","10013","883350","4","L9","2017","Nonfiler","982920","200879","40.718043","-74.004798","101","1","33","1001923","1001750007","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","175","13","273 CHURCH STREET","10013","1013400","4","K4","2017","Nonfiler","982838","201059","40.718537","-74.005094","101","1","33","1001925","1001750013","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","175","1001","377 BROADWAY  #A","10013","403849","4","RB","2017","Nonfiler",,,,,,,,,,
"Manhattan","175","1002","377 BROADWAY  #B","10013","403849","4","RB","2017","Nonfiler",,,,,,,,,,
"Manhattan","175","1016","377 BROADWAY  #A","10013","526954","4","RB","2017","Nonfiler",,,,,,,,,,
"Manhattan","175","1017","377 BROADWAY  #B","10013","526954","4","RB","2017","Nonfiler",,,,,,,,,,
"Manhattan","176","12","35 WORTH STREET","10013","1221300","4","O2","2017","Nonfiler","982234","200700","40.717552","-74.007273","101","1","33","1001962","1001760012","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","176","17","179 WEST BROADWAY","10013","695250","4","K2","2017","Nonfiler","982245","200873","40.718027","-74.007233","101","1","33","1001966","1001760017","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","177","2","59 LEONARD STREET","10013","16362450","4","O3","2017","Nonfiler","982562","200802","40.717832","-74.006089","101","1","33","1001971","1001770002","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","178","11","116 FRANKLIN STREET","10013","1322550","4","L9","2017","Nonfiler","982547","201105","40.718664","-74.006144","101","1","33","1001985","1001780011","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","178","19","225 WEST BROADWAY","10013","908550","4","K4","2017","Nonfiler","982520","201338","40.719303","-74.006241","101","1","33","1001986","1001780019","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","178","22","3 WHITE STREET","10013","2746350","4","L9","2017","Nonfiler","982603","201354","40.719347","-74.005942","101","1","33","1001988","1001780022","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","178","24","9 WHITE STREET","10013","701118","2C","C6","2017","Nonfiler","982650","201326","40.71927","-74.005772","101","1","33","1001989","1001780024","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","179","42","33 LEONARD STREET","10013","133200","4","K1","2017","Nonfiler","982213","201014","40.718414","-74.007348","101","1","33","1079304","1001790042","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","179","43","31 LEONARD STREET","10013","938250","4","L9","2017","Nonfiler","982193","201025","40.718444","-74.007421","101","1","33","1002003","1001790043","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","179","44","29 LEONARD STREET","10013","1063350","4","L9","2017","Nonfiler","982173","201037","40.718477","-74.007493","101","1","33","1002004","1001790044","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","179","73","198 WEST BROADWAY","10013","139050","4","O1","2017","Nonfiler","982300","201118","40.718699","-74.007035","101","1","33","1002019","1001790073","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","180","1051","77 HUDSON STREET  #1-COM","10013","90841","2C","R8","2017","Nonfiler","981791","201005","40.718389","-74.008871","101","1","39","1002022","1001807509","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","180","1101","69 HUDSON STREET  #COMM","10013","126546","4","RB","2017","Nonfiler","981777","200899","40.718098","-74.008921","101","1","39","1002045","1001807502","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","180","1201","11 HARRISON STREET  #Com2","10013","94321","2C","R8","2017","Nonfiler","981567","201125","40.718718","-74.009679","101","1","39","1066435","1001807504","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","180","1351","13 HARRISON STREET  #1","10013","76618","2C","R8","2017","Nonfiler","981541","201129","40.718729","-74.009773","101","1","39","1002035","1001807506","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","180","1501","5 HARRISON STREET  #A","10013","71904","2C","R8","2017","Nonfiler","981684","201109","40.718674","-74.009257","101","1","39","1085818","1001807510","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","180","1502","5 HARRISON STREET  #1","10013","132730","2C","R8","2017","Nonfiler","981684","201109","40.718674","-74.009257","101","1","39","1085818","1001807510","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","180","1701","7 HARRISON STREET  #  RET","10013","387450","4","RK","2017","Nonfiler",,,,,,,,,,
"Manhattan","181","2","10 HARRISON STREET","10013","1220850","4","L9","2017","Nonfiler","981601","201127","40.718724","-74.009556","101","1","39","1002067","1001810002","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","181","20","173 FRANKLIN STREET","10013","954000","4","K4","2017","Nonfiler","981714","201349","40.719333","-74.009149","101","1","39","1002078","1001810020","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","181","41","24 HARRISON STREET","10013","874350","4","L9","2017","Nonfiler","981469","201145","40.718773","-74.010032","101","1","39","1002082","1001810041","SoHo-TriBeCa-Civic Center-Little Italy"
