"fiscal_year","ats_system_code","location_code","location_name","beds_number","managed_by_name","location_type_description","location_category_description","grades_text","grades_final_text","open_date","status_descriptions","primary_building_code","primary_address_line_1","state_code","x_coordinate","y_coordinate","community_district","council_district","census_tract","borough_block_lot","nta","nta_name","principal_name","principal_title","principal_phone_number","fax_number","geographical_district_code","admin_district_location_code","administrative_district_name","community_school_sup_name","field_support_center_name","field_support_center_leader_name","school_support_team_name","school_support_team_leader_name","highschool_network_location_code","highschool_network_name","highschool_network_superintendent","location_1"
"2018","01M184      ","M184","P.S. 184m Shuang Wen","310100010184","DOE","General Academic","K-8","PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08","1999-06-22T00:00:00.000","Open","M137","327 CHERRY STREET","NY","988287","198359","103","1","201","1002450007","MN28","Lower East Side                                                            ","Iris Chiu","PRINCIPAL","212-602-9700","212-602-9710","1","M801","COMMUNITY SCHOOL DISTRICT 01","PHILLIPS, DANIELLA","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","327 CHERRY STREET
MANHATTAN, NY 10002
(40.711125, -73.985438)"
"2018","01M188      ","M188","P.S. 188 The Island School","310100010188","DOE","General Academic","K-8","PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08","1904-07-01T00:00:00.000","Open","M188","442 EAST HOUSTON STREET","NY","990520","201552","103","2","2000","1003560100","MN28","Lower East Side                                                            ","Suany Ramos","PRINCIPAL","212-677-5710","212-228-3007","1","M801","COMMUNITY SCHOOL DISTRICT 01","PHILLIPS, DANIELLA","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","442 EAST HOUSTON STREET
NEW YORK, NY 10002
(40.719888, -73.97738)"
"2018","01M292      ","M292","Orchard Collegiate Academy","310100011292","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","2004-09-08T00:00:00.000","Open","M056","220 HENRY STREET","NY","988117","199174","103","1","201","1002690041","MN28","Lower East Side                                                            ","MILES DOYLE","PRINCIPAL","212-406-9411","NULL","1","M801","COMMUNITY SCHOOL DISTRICT 01","PHILLIPS, DANIELLA","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","220 HENRY STREET
MANHATTAN, NY 10002
(40.713362, -73.986051)"
"2018","01M301      ","M301","Technology, Arts, and Sciences Studio","310100010301","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","2005-07-01T00:00:00.000","Open","M019","185 1 AVENUE","NY","988547","205239","103","2","4000","1004530034","MN22","East Village                                                               ","GEORGE MORGAN","PRINCIPAL","212-982-1836","212-982-0528","1","M801","COMMUNITY SCHOOL DISTRICT 01","PHILLIPS, DANIELLA","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","185 1 AVENUE
MANHATTAN, NY 10003
(40.730009, -73.984496)"
"2018","01M315      ","M315","The East Village Community School","310100010315","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1999-07-01T00:00:00.000","Open","M061","610 EAST  12 STREET","NY","990277","204339","103","2","2800","1003940012","MN28","Lower East Side                                                            ","Bradley Goodman","PRINCIPAL","212-982-0682","212-260-4012","1","M801","COMMUNITY SCHOOL DISTRICT 01","PHILLIPS, DANIELLA","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","610 EAST 12 STREET
MANHATTAN, NY 10009
(40.727537, -73.978254)"
"2018","01M332      ","M332","University Neighborhood Middle School","310100010332","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","2004-09-13T00:00:00.000","Open","M056","220 HENRY STREET","NY","988117","199174","103","1","201","1002690041","MN28","Lower East Side                                                            ","LAURA PEYNADO CASTRO","PRINCIPAL","212-267-5701","212-349-8224","1","M801","COMMUNITY SCHOOL DISTRICT 01","PHILLIPS, DANIELLA","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","220 HENRY STREET
MANHATTAN, NY 10002
(40.713362, -73.986051)"
"2018","01M361      ","M361","The Children's Workshop School","310100010361","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1999-07-01T00:00:00.000","Open","M061","610 EAST  12 STREET","NY","990277","204339","103","2","2800","1003940012","MN28","Lower East Side                                                            ","MARIA VELEZ CLARKE","PRINCIPAL","212-614-9531","212-614-9462","1","M801","COMMUNITY SCHOOL DISTRICT 01","PHILLIPS, DANIELLA","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","610 EAST 12 STREET
MANHATTAN, NY 10009
(40.727537, -73.978254)"
"2018","01M363      ","M363","Neighborhood School","310100010363","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1999-07-01T00:00:00.000","Open","M063","121 EAST  3 STREET","NY","988071","203210","103","2","3200","1004310014","MN22","East Village                                                               ","Dyanthe Spielberg","PRINCIPAL","212-387-0195","212-387-0198","1","M801","COMMUNITY SCHOOL DISTRICT 01","PHILLIPS, DANIELLA","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","121 EAST 3 STREET
MANHATTAN, NY 10009
(40.72444, -73.986214)"
"2018","01M364      ","M364","Earth School","310100010364","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1999-07-01T00:00:00.000","Open","M064","600 EAST  6 STREET","NY","989351","202733","103","2","2601","1003870001","MN28","Lower East Side                                                            ","ABBE FUTTERMAN","PRINCIPAL","212-477-1735","212-477-2396","1","M801","COMMUNITY SCHOOL DISTRICT 01","PHILLIPS, DANIELLA","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","600 EAST 6 STREET
MANHATTAN, NY 10009
(40.72313, -73.981597)"
"2018","01M378      ","M378","School for Global Leaders","310100010378","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","2008-07-01T00:00:00.000","Open","M025","145 STANTON STREET","NY","988120","201607","103","1","3001","1003540080","MN27","Chinatown                                                                  ","Keri Ricks","PRINCIPAL","212-260-5375","212-432-5586","1","M801","COMMUNITY SCHOOL DISTRICT 01","PHILLIPS, DANIELLA","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","145 STANTON STREET
MANHATTAN, NY 10002
(40.72004, -73.986038)"
"2018","01M448      ","M448","University Neighborhood High School","310100011448","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","1999-06-04T00:00:00.000","Open","M446","200 MONROE STREET","NY","988650","198776","103","1","202","1002590044","MN28","Lower East Side                                                            ","Elizabeth Collins","PRINCIPAL","212-962-4341","212-267-5611","1","HS04","NULL","NULL","Field Support Center - Manhattan","CHU, YUET","School Support Team 1- Manhattan","NULL","HS04","HS Network 04 Superintendent Office","ROSALES, MARISOL","200 MONROE STREET
MANHATTAN, NY 10002
(40.712269, -73.984128)"
"2018","01M450      ","M450","East Side Community School","310100011450","DOE","General Academic","Secondary School","06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12","1996-06-05T00:00:00.000","Open","M060","420 EAST 12 STREET","NY","989108","204927","103","2","3400","1004390017","MN22","East Village                                                               ","MARK FEDERMAN","PRINCIPAL","212-460-8467","212-260-9657","1","HS12","NULL","NULL","Affinity Group","ANORMALIZA, ALEXANDRA","School Support Team 5- Affinity Group","NULL","HS12","H.S. Network 12 Superintendent Office","PELLES, KATHY","420 EAST 12 STREET
MANHATTAN, NY 10009
(40.729152, -73.982472)"
"2018","01M458      ","M458","Forsyth Satellite Academy","310100011458","DOE","Transfer School","High school","09,10,11,12,SE","09,10,11,12","2010-07-01T00:00:00.000","Open","M510","198 FORSYTH STREET","NY","986892","202472","103","1","3601","1004220072","MN27","Chinatown                                                                  ","Brady Smith","Acting Principal","212-677-8900","212-260-3063","1","HS12","NULL","NULL","Affinity Group","ANORMALIZA, ALEXANDRA","School Support Team 5- Affinity Group","NULL","HS12","H.S. Network 12 Superintendent Office","PELLES, KATHY","198 FORSYTH STREET
MANHATTAN, NY 10002
(40.722415, -73.990468)"
"2018","01M509      ","M509","Marta Valle High School","310100011509","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","1996-06-05T00:00:00.000","Open","M025","145 STANTON STREET","NY","988120","201607","103","1","3001","1003540080","MN27","Chinatown                                                                  ","Steven Aragona","PRINCIPAL","212-473-8152","212-475-7588","1","HS04","NULL","NULL","Field Support Center - Manhattan","CHU, YUET","School Support Team 1- Manhattan","NULL","HS04","HS Network 04 Superintendent Office","ROSALES, MARISOL","145 STANTON STREET
MANHATTAN, NY 10002
(40.72004, -73.986038)"
"2018","01M515      ","M515","Lower East Side Preparatory High School","310100011515","DOE","Transfer School","High school","10,11,12","09,10,11,12","1996-06-05T00:00:00.000","Open","M025","145 STANTON STREET","NY","988120","201607","103","1","3001","1003540080","MN27","Chinatown                                                                  ","Rene Anaya","PRINCIPAL","212-505-6366","212-260-0813","1","HS10","NULL","NULL","Field Support Center - Manhattan","CHU, YUET","School Support Team 2- Manhattan","NULL","HS10","HS Network 10 Superintendent Office","ROTONDO, PAUL","145 STANTON STREET
MANHATTAN, NY 10002
(40.72004, -73.986038)"
"2018","01M539      ","M539","New Explorations into Science, Technology and Math","310100011539","DOE","General Academic","K-12 all grades","0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","0K,01,02,03,04,05,06,07,08,09,10,11,12","2000-07-01T00:00:00.000","Open","M022","111 COLUMBIA STREET","NY","989910","201380","103","2","2201","1003350001","MN28","Lower East Side                                                            ","MARK BERKOWITZ","PRINCIPAL","212-677-5190","212-260-8124","1","HS04","NULL","NULL","Field Support Center - Manhattan","CHU, YUET","School Support Team 1- Manhattan","NULL","HS04","HS Network 04 Superintendent Office","ROSALES, MARISOL","111 COLUMBIA STREET
MANHATTAN, NY 10002
(40.719416, -73.979581)"
"2018","01M650      ","M650","Cascades High School","310100011650","DOE","Transfer School","High school","09,10,11,12","09,10,11,12","1998-01-05T00:00:00.000","Open","M510","198 FORSYTH STREET","NY","986892","202472","103","1","3601","1004220072","MN27","Chinatown                                                                  ","Claire Sheehan","I.A. PRINCIPAL","646-654-1261","646-654-1742","1","HS10","NULL","NULL","Field Support Center - Manhattan","CHU, YUET","School Support Team 2- Manhattan","NULL","HS10","HS Network 10 Superintendent Office","ROTONDO, PAUL","198 FORSYTH STREET
MANHATTAN, NY 10002
(40.722415, -73.990468)"
"2018","01M696      ","M696","Bard High School Early College","310100011696","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","2001-07-01T00:00:00.000","Open","M097","525 EAST HOUSTON STREET","NY","990877","200965","103","2","1002","1003250025","MN28","Lower East Side                                                            ","MICHAEL LERNER","PRINCIPAL","212-995-8479","212-777-4702","1","HS04","NULL","NULL","Field Support Center - Manhattan","CHU, YUET","School Support Team 1- Manhattan","NULL","HS04","HS Network 04 Superintendent Office","ROSALES, MARISOL","525 EAST HOUSTON STREET
MANHATTAN, NY 10002
(40.718276, -73.976093)"
"2018","01M839      ","M839","Tompkins Square Middle School","310100010839","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","2001-07-01T00:00:00.000","Open","M064","600 EAST  6 STREET","NY","989351","202733","103","2","2601","1003870001","MN28","Lower East Side                                                            ","SONHANDO ESTWICK","PRINCIPAL","212-995-1430","212-979-1341","1","M801","COMMUNITY SCHOOL DISTRICT 01","PHILLIPS, DANIELLA","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","600 EAST 6 STREET
MANHATTAN, NY 10009
(40.72313, -73.981597)"
"2018","02M001      ","M001","P.S. 001 Alfred E. Smith","310200010001","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1898-07-01T00:00:00.000","Open","M001","8 HENRY STREET","NY","984949","198878","103","1","2700","1002790040","MN27","Chinatown                                                                  ","AMY HOM","PRINCIPAL","212-267-4133","212-267-4469","2","M802","COMMUNITY SCHOOL DISTRICT 02","LABOY, BONNIE","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","8 HENRY STREET
MANHATTAN, NY 10038
(40.71255, -73.997478)"
"2018","02M002      ","M002","P.S. 002 Meyer London","310200010002","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1958-07-01T00:00:00.000","Open","M002","122 HENRY STREET","NY","986600","199008","103","1","600","1002730001","MN28","Lower East Side                                                            ","Silvana Ng","PRINCIPAL","212-964-0350","212-608-4080","2","M802","COMMUNITY SCHOOL DISTRICT 02","LABOY, BONNIE","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","122 HENRY STREET
MANHATTAN, NY 10002
(40.712907, -73.991523)"
"2018","02M003      ","M003","P.S. 003 Charrette School","310200010003","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1905-07-01T00:00:00.000","Open","M003","490 HUDSON STREET","NY","982601","206184","102","3","7300","1005850041","MN23","West Village                                                               ","LISA SIEGMAN","PRINCIPAL","212-691-1183","212-675-5306","2","M802","COMMUNITY SCHOOL DISTRICT 02","LABOY, BONNIE","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","490 HUDSON STREET
MANHATTAN, NY 10014
(40.732603, -74.005949)"
"2018","02M006      ","M006","P.S. 006 Lillie D. Blake","310200010006","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05","1953-07-01T00:00:00.000","Open","M006","45 EAST  81 STREET","NY","995210","222630","108","4","14200","1014930021","MN40","Upper East Side-Carnegie Hill                                              ","LAUREN FONTANA","PRINCIPAL","212-737-9774","212-772-8669","2","M802","COMMUNITY SCHOOL DISTRICT 02","LABOY, BONNIE","Field Support Center - Manhattan","CHU, YUET","School Support Team 4- Manhattan","NULL","NULL","NULL","NULL","45 EAST 81 STREET
MANHATTAN, NY 10028
(40.777737, -73.960427)"
"2018","02M011      ","M011","P.S. 011 William T. Harris","310200010011","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1925-07-01T00:00:00.000","Open","M011","320 WEST  21 STREET","NY","984044","210404","104","3","8900","1007440024","MN13","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","ROBERT BENDER","PRINCIPAL","212-929-1743","212-989-7816","2","M802","COMMUNITY SCHOOL DISTRICT 02","LABOY, BONNIE","Field Support Center - Manhattan","CHU, YUET","School Support Team 4- Manhattan","NULL","NULL","NULL","NULL","320 WEST 21 STREET
MANHATTAN, NY 10011
(40.744186, -74.000743)"
"2018","02M033      ","M033","P.S. 033 Chelsea Prep","310200010033","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1951-07-01T00:00:00.000","Open","M033","281 9 AVENUE","NY","984184","212163","104","3","9700","1007240023","MN13","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","Chingchien Wang","PRINCIPAL","212-244-6426","212-629-6893","2","M802","COMMUNITY SCHOOL DISTRICT 02","LABOY, BONNIE","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","281 9 AVENUE
MANHATTAN, NY 10001
(40.749014, -74.000238)"
"2018","02M040      ","M040","P.S. 040 Augustus Saint-Gaudens","310200010040","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1899-07-01T00:00:00.000","Open","M040","319 EAST 19 STREET","NY","989367","207177","106","2","6400","1009250012","MN21","Gramercy                                                                   ","SUSAN FELDER","PRINCIPAL","212-475-5500","212-533-5388","2","M802","COMMUNITY SCHOOL DISTRICT 02","LABOY, BONNIE","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","319 EAST 19 STREET
MANHATTAN, NY 10003
(40.735328, -73.981536)"
"2018","02M041      ","M041","P.S. 041 Greenwich Village","310200010041","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1958-07-01T00:00:00.000","Open","M041","116 WEST  11 STREET","NY","984501","207221","102","3","7100","1006060049","MN23","West Village                                                               ","KELLY SHANNON","PRINCIPAL","212-675-2756","212-924-0910","2","M802","COMMUNITY SCHOOL DISTRICT 02","LABOY, BONNIE","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","116 WEST 11 STREET
MANHATTAN, NY 10011
(40.73545, -73.999094)"
"2018","02M042      ","M042","P.S. 042 Benjamin Altman","310200010042","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1899-07-01T00:00:00.000","Open","M042","71 HESTER STREET","NY","986793","200181","103","1","1600","1003090001","MN27","Chinatown                                                                  ","May Lee","PRINCIPAL","212-226-8410","212-431-7384","2","M802","COMMUNITY SCHOOL DISTRICT 02","LABOY, BONNIE","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan","NULL","NULL","NULL","NULL","71 HESTER STREET
MANHATTAN, NY 10002
(40.716126, -73.990826)"
"2018","02M047      ","M047","47 The American Sign Language and English Secondar","310200010047","DOE","Special Education","High school","03,09,10,11,12,SE","09,10,11,12,SE","1908-07-01T00:00:00.000","Open","M047","223 EAST 23 STREET","NY","989424","208287","106","2","6400","1009040024","MN21","Gramercy                                                                   ","WATFA SHAMA","PRINCIPAL","917-326-6668","917-326-6688","2","HS04","NULL","NULL","Field Support Center - Manhattan","CHU, YUET","School Support Team 1- Manhattan","NULL","HS04","HS Network 04 Superintendent Office","ROSALES, MARISOL","223 EAST 23 STREET
MANHATTAN, NY 10010
(40.738374, -73.981329)"
"2018","02M051      ","M051","P.S. 051 Elias Howe","310200010051","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05","1905-07-01T00:00:00.000","Open","M338","525 WEST 44TH STREET","NY","985501","216735","104","3","12900","1010730014","MN15","Clinton                                                                    ","Ryan Bourke","I.A. PRINCIPAL","212-315-7160","212-315-7165","2","M802","COMMUNITY SCHOOL DISTRICT 02","LABOY, BONNIE","Field Support Center - Manhattan","CHU, YUET","School Support Team 4- Manhattan","NULL","NULL","NULL","NULL","525 WEST 44TH STREET
MANHATTAN, NY 10036
(40.761487, -73.995825)"
"2018","02M059      ","M059","P.S. 059 Beekman Hill International","310200010059","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05","1960-07-01T00:00:00.000","Open","M488","231-249 EAST 56 STREET","NY","993533","215912","106","4","10800","1013300013","MN19","Turtle Bay-East Midtown                                                    ","ADELE SCHROETER","PRINCIPAL","212-888-7870","212-888-7872","2","M802","COMMUNITY SCHOOL DISTRICT 02","LABOY, BONNIE","Field Support Center - Manhattan","CHU, YUET","School Support Team 4- Manhattan","NULL","NULL","NULL","NULL","231-249 EAST 56 STREET
MANHATTAN, NY 10019
(40.759248, -73.967204)"
"2018","02M077      ","M077","P.S. 77 Lower Lab School","310200010077","DOE","General Academic","Elementary","0K,01,02,03,04,05","0K,01,02,03,04,05","1999-07-01T00:00:00.000","Open","M198","1700 3 AVENUE","NY","997980","225284","108","5","15801","1015240023","MN40","Upper East Side-Carnegie Hill                                              ","Sandra Miller","PRINCIPAL","212-427-2798","212-423-0634","2","M802","COMMUNITY SCHOOL DISTRICT 02","LABOY, BONNIE","Field Support Center - Manhattan","CHU, YUET","School Support Team 4- Manhattan","NULL","NULL","NULL","NULL","1700 3 AVENUE
MANHATTAN, NY 10128
(40.785018, -73.95042)"
"2018","02M089      ","M089","P.S. 89","310200010089","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05","1998-07-01T00:00:00.000","Open","M089","201 WARREN STREET","NY","980378","200503","101","1","31703","1000160221","MN25","Battery Park City-Lower Manhattan                                          ","VERONICA NAJJAR","PRINCIPAL","212-571-5659","212-571-0739","2","M802","COMMUNITY SCHOOL DISTRICT 02","LABOY, BONNIE","Field Support Center - Manhattan","CHU, YUET","School Support Team 4- Manhattan","NULL","NULL","NULL","NULL","201 WARREN STREET
MANHATTAN, NY 10282
(40.71701, -74.013967)"
