"the_geom","boro","block","lot","bbl","type","shape_star","shape_stle"
"MULTIPOLYGON (((-74.02847382289838 40.62252687719108, -74.02845227314585 40.62252128849462, -74.02845992891082 40.62250415059951, -74.02848147865843 40.622509739294586, -74.02847382289838 40.62252687719108)))","3","27000","38","3270000038","1","41.6793212891","25.8297283943"
"MULTIPOLYGON (((-74.03084995544563 40.61670885097117, -74.03082995866916 40.61670255178976, -74.03083793925559 40.61668783964157, -74.03085793721009 40.61669413882129, -74.03084995544563 40.61670885097117)))","3","27000","39","3270000039","1","34.8430023193","23.6148278385"
"MULTIPOLYGON (((-73.97247802104883 40.6771960045746, -73.97242028664095 40.677196386976426, -73.97241982890297 40.67715632026633, -73.97247756327616 40.67715593786475, -73.97247802104883 40.6771960045746)))","3","27000","41","3270000041","1","233.783081055","61.2254616081"
"MULTIPOLYGON (((-73.96154411927833 40.65507988080049, -73.96154192531485 40.6550767741835, -73.96154599380075 40.65507510778614, -73.96154818776435 40.65507821440305, -73.96154411927833 40.65507988080049)))","3","27000","43","3270000043","1","1.64726257324","5.13384911003"
"MULTIPOLYGON (((-73.96133538551719 40.57769336415532, -73.96129560320185 40.577589110573534, -73.96138600515233 40.57756905480035, -73.96142578759631 40.57767330925153, -73.96133538551719 40.57769336415532)))","3","27000","55","3270000055","1","1034.58779907","131.422955434"
"MULTIPOLYGON (((-73.96863816983812 40.57632958992267, -73.96855923678613 40.57632532957953, -73.96856508060385 40.576262379123904, -73.96864401358175 40.57626663946305, -73.96863816983812 40.57632958992267)))","3","27000","56","3270000056","1","505.407684326","89.9477696096"
"MULTIPOLYGON (((-73.99452319835699 40.64641998377417, -73.99450995512495 40.64641367861701, -73.99451866457198 40.646403066429166, -73.99453190662042 40.64640937158528, -73.99452319835699 40.64641998377417)))","3","27000","59","3270000059","1","19.7598114014","17.7865410773"
"MULTIPOLYGON (((-73.9943472327182 40.64094309224969, -73.99424867884511 40.64094240476992, -73.99424949447575 40.64087458676721, -73.9943480482487 40.6408752742463, -73.9943472327182 40.64094309224969)))","3","27000","60","3270000060","1","675.851165771","104.122863374"
"MULTIPOLYGON (((-73.99482501404508 40.636319353045145, -73.99471945782174 40.63631100854066, -73.99472907731746 40.63624039119084, -73.99483463343029 40.63624873568656, -73.99482501404508 40.636319353045145)))","3","27000","61","3270000061","1","761.855880737","110.639911551"
"MULTIPOLYGON (((-73.99549698142954 40.63155175843164, -73.99542522027404 40.63154264324343, -73.9954375654246 40.631486233400324, -73.99550932533909 40.63149534858086, -73.99549698142954 40.63155175843164)))","3","27000","62","3270000062","1","420.731292725","82.0569906709"
"MULTIPOLYGON (((-73.99700977892601 40.62627522299138, -73.99690470777612 40.62626163947056, -73.99692473228478 40.62617172670137, -73.99702980329721 40.626185310204, -73.99700977892601 40.62627522299138)))","3","27000","63","3270000063","1","982.931228638","125.618362086"
"MULTIPOLYGON (((-73.99898498866548 40.61929757669976, -73.99888615252272 40.61928647686919, -73.99889962721387 40.619216804626596, -73.99899846443748 40.619227904445665, -73.99898498866548 40.61929757669976)))","3","27000","64","3270000064","1","711.616882324","106.78545885"
"MULTIPOLYGON (((-74.00072280994566 40.613176673270324, -74.00065433994969 40.613173100412816, -74.0006591275821 40.6131198192542, -74.00072759870534 40.61312339210888, -74.00072280994566 40.613176673270324)))","3","27000","65","3270000065","1","370.753189087","77.024010699"
"MULTIPOLYGON (((-74.0017485748246 40.60776116108005, -74.0016660413208 40.607761162306026, -74.00166603978674 40.60769969000129, -74.00174857321454 40.60769968877533, -74.0017485748246 40.60776116108005)))","3","27000","66","3270000066","1","513.239562988","90.6251468062"
"MULTIPOLYGON (((-73.99827057418199 40.6046517067004, -73.99821406371126 40.604622418163736, -73.99825744590612 40.604573794251124, -73.9983139563547 40.60460308366711, -73.99827057418199 40.6046517067004)))","3","27000","67","3270000067","1","406.517196655","80.7973727449"
"MULTIPOLYGON (((-73.99384713053423 40.60198914377198, -73.99381384173931 40.601970111251475, -73.99383485041668 40.60194876370292, -73.99386813920688 40.6019677962174, -73.99384713053423 40.60198914377198)))","3","27000","68","3270000068","1","112.346450806","42.5556891748"
"MULTIPOLYGON (((-73.98685241158074 40.59773579127616, -73.98680979037877 40.59771018633897, -73.98684027287251 40.59768070492648, -73.98688289406735 40.59770630985241, -73.98685241158074 40.59773579127616)))","3","27000","69","3270000069","1","206.098068237","57.4921683694"
"MULTIPOLYGON (((-73.98370524821034 40.588439016577226, -73.98366869396833 40.58844214610916, -73.98366384358003 40.58840922769131, -73.98370039780426 40.58840609816091, -73.98370524821034 40.588439016577226)))","3","27000","70","3270000070","1","123.298034668","44.5700156003"
"MULTIPOLYGON (((-73.97821750219862 40.59248263493235, -73.97818187667957 40.59246309042756, -73.97820693268586 40.592436550467006, -73.97824255819839 40.592456094063536, -73.97821750219862 40.59248263493235)))","3","27000","79","3270000079","1","145.219604492","48.2060179852"
"MULTIPOLYGON (((-73.87330553536903 40.68963549325549, -73.87328094954013 40.689607488109466, -73.87333193076599 40.68958155629627, -73.87335651660672 40.6896095614315, -73.87330553536903 40.68963549325549)))","3","27000","86","3270000086","1","208.671463013","58.5520619066"
"MULTIPOLYGON (((-73.87391569862965 40.68317999536772, -73.87389309459094 40.68313351033081, -73.87395553391033 40.683115915143006, -73.8739781379849 40.68316240106825, -73.87391569862965 40.68317999536772)))","3","27000","87","3270000087","1","333.478775024","73.0501369394"
"MULTIPOLYGON (((-73.87962098239467 40.68155084144998, -73.8796003892804 40.681515557536706, -73.87965660731896 40.6814965425386, -73.87967720045705 40.6815318264419, -73.87962098239467 40.68155084144998)))","3","27000","88","3270000088","1","240.009613037","62.2579002804"
"MULTIPOLYGON (((-73.88517844502071 40.67979596672473, -73.88515346902885 40.679760202153375, -73.88520727335784 40.67973842465576, -73.88523224937047 40.679774189215536, -73.88517844502071 40.67979596672473)))","3","27000","89","3270000089","1","249.417068481","63.317188473"
"MULTIPOLYGON (((-73.89164613171377 40.678055181194395, -73.89163180676961 40.678011327919606, -73.89169412309337 40.677999529511006, -73.89170844807593 40.6780433827781, -73.89164613171377 40.678055181194395)))","3","27000","90","3270000090","1","293.23916626","68.5499155188"
"MULTIPOLYGON (((-73.89851185314797 40.67704908996526, -73.89849784677897 40.67699904227975, -73.8985635834431 40.67698837871826, -73.89857758986061 40.67703842549527, -73.89851185314797 40.67704908996526)))","3","27000","91","3270000091","1","347.562911987","74.5721563599"
"MULTIPOLYGON (((-73.90428584314947 40.67940895528228, -73.90423815308398 40.67938330225469, -73.90429105039505 40.67932630584926, -73.90433874044012 40.67935195885513, -73.90428584314947 40.67940895528228)))","3","27000","92","3270000092","1","411.803451538","83.2441396081"
"MULTIPOLYGON (((-73.91036327457904 40.68290008485045, -73.91030112403763 40.68286244804329, -73.91035964470159 40.6828064447242, -73.91042179522383 40.68284408150001, -73.91036327457904 40.68290008485045)))","3","27000","93","3270000093","1","574.269287109","96.1965648141"
"MULTIPOLYGON (((-73.91662709231832 40.68644648838606, -73.91657593709255 40.6864141462713, -73.91663189210692 40.68636286202523, -73.91668304731942 40.68639520501587, -73.91662709231832 40.68644648838606)))","3","27000","94","3270000094","1","447.935928345","85.4614985292"
"MULTIPOLYGON (((-73.92220195472291 40.689589494405794, -73.92213967296904 40.68955692303015, -73.92217480594734 40.68951799687882, -73.922237087682 40.68955056823565, -73.92220195472291 40.689589494405794)))","3","27000","95","3270000095","1","360.573791504","76.3244207146"
"MULTIPOLYGON (((-73.92850589449392 40.69320651873431, -73.92846178783007 40.693178615040104, -73.92851466498938 40.69313019218374, -73.92855877282642 40.693158095858585, -73.92850589449392 40.69320651873431)))","3","27000","96","3270000096","1","364.854888916","77.6896267358"
"MULTIPOLYGON (((-73.93562204929343 40.697223948761994, -73.93558389675847 40.697203239037115, -73.9356174078325 40.69716747861931, -73.93565556035648 40.697188189233714, -73.93562204929343 40.697223948761994)))","3","27000","97","3270000097","1","207.94694519","57.9943958666"
"MULTIPOLYGON (((-73.94140326868302 40.70045892688721, -73.94135007048894 40.70043112439215, -73.94139206381871 40.700384583896955, -73.94144526199317 40.70041238637275, -73.94140326868302 40.70045892688721)))","3","27000","98","3270000098","1","368.058868408","76.9257572145"
"MULTIPOLYGON (((-73.9473635658125 40.70387698880659, -73.9473117329195 40.7038488475116, -73.94735705069189 40.703800503558675, -73.94740888356644 40.70382864483347, -73.9473635658125 40.70387698880659)))","3","27000","99","3270000099","1","381.951904297","78.5789543379"
"MULTIPOLYGON (((-73.95349814383704 40.706925810087654, -73.95344555537592 40.70691006320027, -73.9534713574274 40.7068601609867, -73.95352394585589 40.70687590696191, -73.95349814383704 40.706925810087654)))","3","27000","100","3270000100","1","306.124191284","70.4122064498"
"MULTIPOLYGON (((-73.95784283801765 40.708433526268045, -73.95777146774341 40.70840776800044, -73.95780188985404 40.70835895523977, -73.95787326008784 40.70838471348873, -73.95784283801765 40.708433526268045)))","3","27000","101","3270000101","1","431.045944214","83.164875729"
"MULTIPOLYGON (((-73.91215449853142 40.699480180823976, -73.91214611257702 40.69942942513507, -73.91220784118079 40.69942351714656, -73.9122162271803 40.69947427373156, -73.91215449853142 40.699480180823976)))","3","27000","112","3270000112","1","321.51890564","71.7773761808"
"MULTIPOLYGON (((-73.91971129310357 40.69868889081198, -73.9196840945329 40.69865885054577, -73.91972865452621 40.69863547911017, -73.91975585429064 40.69866551936671, -73.91971129310357 40.69868889081198)))","3","27000","113","3270000113","1","199.450561523","56.5947407088"
"MULTIPOLYGON (((-73.92721602217051 40.69790476575454, -73.92720949797008 40.69785830057936, -73.9272823184608 40.697852378013586, -73.92728884152824 40.69789884318394, -73.92721602217051 40.69790476575454)))","3","27000","114","3270000114","1","345.729919434","74.6643775549"
"MULTIPOLYGON (((-73.95666793873106 40.717200078470256, -73.95663272319229 40.717179813637046, -73.95666672553008 40.71714560705382, -73.95670194106107 40.71716587187667, -73.95666793873106 40.717200078470256)))","3","27000","120","3270000120","1","191.251281738","55.7304208576"
"MULTIPOLYGON (((-73.9502685158352 40.71408247614593, -73.95022076414153 40.714082455507764, -73.95022078949805 40.714048503568335, -73.9502685411674 40.7140485242065, -73.9502685158352 40.71408247614593)))","3","27000","121","3270000121","1","163.748382568","51.215120703"
"MULTIPOLYGON (((-73.9439738513577 40.714592092412076, -73.94391118989635 40.714600475370005, -73.943900298983 40.714553339141794, -73.94396296040064 40.714544957090254, -73.9439738513577 40.714592092412076)))","3","27000","122","3270000122","1","307.533050537","70.1476331532"
"MULTIPOLYGON (((-73.9405219688395 40.71159337990556, -73.94046763424797 40.7116080643672, -73.94045075543994 40.71157190012308, -73.94050508882228 40.71155721566872, -73.9405219688395 40.71159337990556)))","3","27000","123","3270000123","1","223.503479004","59.9341558258"
"MULTIPOLYGON (((-73.93980602180127 40.707298833688476, -73.93974066022994 40.707304737463154, -73.9397324857145 40.707252334223284, -73.93979784723601 40.707246429552676, -73.93980602180127 40.707298833688476)))","3","27000","124","3270000124","1","350.855743408","74.9500769027"
"MULTIPOLYGON (((-73.93311755970326 40.706179354845574, -73.93305023603932 40.706188250584475, -73.933041092491 40.70614817700098, -73.93310841611483 40.70613928216789, -73.93311755970326 40.706179354845574)))","3","27000","125","3270000125","1","280.734039307","67.526776328"
"MULTIPOLYGON (((-73.9224878199637 40.7063682626634, -73.92243975504488 40.70634318795737, -73.92247032086853 40.70630925655595, -73.9225183857755 40.70633433034884, -73.9224878199637 40.7063682626634)))","3","27000","126","3270000126","1","242.161087036","62.2899665975"
"MULTIPOLYGON (((-73.91824496049222 40.70372181169877, -73.91819919915359 40.70369402630588, -73.91823289350849 40.70366188485655, -73.91827865602241 40.70368967023705, -73.91824496049222 40.70372181169877)))","3","27000","127","3270000127","1","243.154037476","62.4237840986"
"MULTIPOLYGON (((-73.91099379929491 40.69950530579562, -73.91091438921744 40.6995125493172, -73.9109062034412 40.69946056449262, -73.91098561345765 40.69945332097664, -73.91099379929491 40.69950530579562)))","3","27000","128","3270000128","1","423.02243042","82.503553228"
"MULTIPOLYGON (((-73.90525172165142 40.682850387398595, -73.9052388215085 40.682843229391636, -73.90525642453426 40.682824844573496, -73.90526932467552 40.68283200257845, -73.90525172165142 40.682850387398595)))","3","27000","131","3270000131","1","36.6973419189","25.4321035404"
"MULTIPOLYGON (((-73.90192063563264 40.66914719101866, -73.90191443815984 40.66914818620827, -73.90191250647182 40.66914121186527, -73.9019187027613 40.66914021667479, -73.90192063563264 40.66914719101866)))","3","27000","134","3270000134","1","4.56243896484","8.70753451294"
"MULTIPOLYGON (((-73.9594046547609 40.66995544823208, -73.95937039396813 40.66994900285459, -73.95937743587614 40.66992730021544, -73.95941169665838 40.66993374559085, -73.9594046547609 40.66995544823208)))","3","27000","142","3270000142","1","79.7353668213","35.8691285778"
"MULTIPOLYGON (((-73.98495799172267 40.68856896591103, -73.98492662584917 40.68855602683236, -73.98494290691679 40.68853315592329, -73.98497427396573 40.688546094997726, -73.98495799172267 40.68856896591103)))","3","27000","175","3270000175","1","93.76902771","38.7427271282"
"MULTIPOLYGON (((-73.97395057124271 40.68612668814853, -73.97392883034449 40.68611828413359, -73.97394150501711 40.68609928616535, -73.97396324472778 40.686107690177614, -73.97395057124271 40.68612668814853)))","3","27000","176","3270000176","1","52.4951019287","29.0504115529"
"MULTIPOLYGON (((-73.96586606877834 40.68328474406459, -73.96579921114386 40.68327814055424, -73.96580694230781 40.68323278576019, -73.96587379871467 40.683239389265715, -73.96586606877834 40.68328474406459)))","3","27000","177","3270000177","1","311.561187744","70.7216704593"
"MULTIPOLYGON (((-73.95687060000436 40.68140036167498, -73.95680957678641 40.681390093634505, -73.95682080850352 40.681351409054, -73.95688183168781 40.681361677088546, -73.95687060000436 40.68140036167498)))","3","27000","178","3270000178","1","250.197341919","63.5357426494"
"MULTIPOLYGON (((-73.95044787216658 40.68045723096368, -73.95039655312237 40.68045593462369, -73.95039813801449 40.68041956442933, -73.95044945703141 40.680420859868065, -73.95044787216658 40.68045723096368)))","3","27000","179","3270000179","1","188.819915771","54.999902102"
"MULTIPOLYGON (((-73.94087274086107 40.67993404507144, -73.94083925331991 40.6799335514861, -73.94083993964531 40.67990658412957, -73.94087342717293 40.6799070777147, -73.94087274086107 40.67993404507144)))","3","27000","180","3270000180","1","91.2911376953","38.2336356499"
"MULTIPOLYGON (((-73.9307448074997 40.67935873290585, -73.93068903702697 40.67935895777192, -73.93068881872352 40.679327725089216, -73.93074458917113 40.67932749932271, -73.9307448074997 40.67935873290585)))","3","27000","181","3270000181","1","176.027267456","53.6967590666"
"MULTIPOLYGON (((-73.92080434454704 40.678836500083804, -73.92074707229355 40.67883669928569, -73.92074687597265 40.6788038276573, -73.92080414701503 40.67880362845465, -73.92080434454704 40.678836500083804)))","3","27000","182","3270000182","1","190.24848938","55.7234911347"
"MULTIPOLYGON (((-73.91196162571755 40.67835547638632, -73.91191562064274 40.67835544117614, -73.91191566281209 40.67832351435036, -73.91196166786489 40.67832354956052, -73.91196162571755 40.67835547638632)))","3","27000","183","3270000183","1","148.428131104","48.7846793532"
"MULTIPOLYGON (((-73.89658094931691 40.67456261617837, -73.89650427193176 40.6745716505407, -73.896492152407 40.67451202460693, -73.89656882972523 40.67450299025259, -73.89658094931691 40.67456261617837)))","3","27000","185","3270000185","1","473.107025146","87.0089486868"
"MULTIPOLYGON (((-73.890391278939 40.67274231336288, -73.89027296132662 40.6727598317797, -73.89025452301203 40.67268764054978, -73.89037284050264 40.67267012125127, -73.890391278939 40.67274231336288)))","3","27000","186","3270000186","1","895.876083374","120.459303612"
"MULTIPOLYGON (((-73.88080491648117 40.67415119977519, -73.88070522690775 40.67415952888286, -73.88069734816018 40.674104865706816, -73.88079703765294 40.67409653660588, -73.88080491648117 40.67415119977519)))","3","27000","187","3270000187","1","557.345733643","95.7072760946"
"MULTIPOLYGON (((-73.87215513359156 40.67539804837031, -73.87206374164965 40.67540461780324, -73.87205698368322 40.67535012818153, -73.87214837673389 40.675343558755266, -73.87215513359156 40.67539804837031)))","3","27000","188","3270000188","1","507.752487183","90.8078026268"
"MULTIPOLYGON (((-73.98689064946609 40.69977432763976, -73.98676329734579 40.69977118648601, -73.98676669480552 40.699691397900196, -73.98689404795677 40.69969453905034, -73.98689064946609 40.69977432763976)))","3","27000","235","3270000235","1","1027.59234619","128.831489338"
"MULTIPOLYGON (((-73.9803125031923 40.666310411172454, -73.98023389178532 40.66627166020196, -73.98027185048842 40.66622701283827, -73.98035046186456 40.66626576468354, -73.9803125031923 40.666310411172454)))","3","27000","240","3270000240","1","503.412017822","90.7135463691"
"MULTIPOLYGON (((-73.97576504026355 40.650761492332805, -73.97574157902116 40.65076148738671, -73.97574158887542 40.65073438541475, -73.97576505010831 40.65073439036082, -73.97576504026355 40.650761492332805)))","3","27000","242","3270000242","1","64.2812805176","32.7683071792"
"MULTIPOLYGON (((-73.97976685000684 40.64441463133591, -73.97972086176186 40.64441672504485, -73.9797179858938 40.64438007525159, -73.97976397411361 40.64437798154383, -73.97976685000684 40.64441463133591)))","3","27000","243","3270000243","1","171.017501831","52.3228328138"
"MULTIPOLYGON (((-73.97825120922359 40.63620425348337, -73.97812922795745 40.636217096961296, -73.97811325611725 40.6361290591916, -73.97823523722555 40.636116215730524, -73.97825120922359 40.63620425348337)))","3","27000","244","3270000244","1","1106.63978577","133.113356715"
"MULTIPOLYGON (((-73.97699420905985 40.62955175515691, -73.97685425814261 40.62956542757322, -73.97683943137729 40.62947732765742, -73.97697938211286 40.62946365525902, -73.97699420905985 40.62955175515691)))","3","27000","245","3270000245","1","1267.36911011","143.049395303"
"MULTIPOLYGON (((-73.97612560150192 40.62504352104403, -73.9760114583288 40.62505660255175, -73.97599489361664 40.624972688639346, -73.97610903664923 40.62495960804845, -73.97612560150192 40.62504352104403)))","3","27000","246","3270000246","1","990.593933105","125.914946025"
"MULTIPOLYGON (((-73.97402657111898 40.61434599255474, -73.97401597757379 40.61428125620696, -73.97408678513533 40.614274527288714, -73.97409737874777 40.61433926453052, -73.97402657111898 40.61434599255474)))","3","27000","248","3270000248","1","470.869262695","87.1581139901"
"MULTIPOLYGON (((-73.97305449965573 40.60883415265769, -73.97293569357866 40.60884782527867, -73.97292086883593 40.60877300465745, -73.97303967478288 40.6087593320517, -73.97305449965573 40.60883415265769)))","3","27000","249","3270000249","1","919.71875","121.859593184"
"MULTIPOLYGON (((-73.97240897546126 40.60324519025639, -73.97230972560648 40.6032398046785, -73.9723161816408 40.60317067765995, -73.97241543139371 40.603176062331755, -73.97240897546126 40.60324519025639)))","3","27000","250","3270000250","1","697.614089966","105.756817504"
"MULTIPOLYGON (((-73.97340674713197 40.595920939579976, -73.97333329412702 40.59591794453003, -73.97333756546621 40.59585707559148, -73.97341101840443 40.59586007063877, -73.97340674713197 40.595920939579976)))","3","27000","251","3270000251","1","453.662658691","85.2717554781"
"MULTIPOLYGON (((-73.94816964550262 40.678406703873584, -73.94814035263151 40.67840669067444, -73.948140370566 40.67838362760117, -73.948169663427 40.6783836408003, -73.94816964550262 40.678406703873584)))","3","27001","64","3270010064","1","68.2705078125","33.0550520122"
"MULTIPOLYGON (((-73.90279578055468 40.6758610478935, -73.90276599120278 40.675858354495205, -73.90276946080908 40.67583611649923, -73.90279924896711 40.67583881079615, -73.90279578055468 40.6758610478935)))","3","27001","65","3270010065","1","67.888092041","32.9592859881"
"MULTIPOLYGON (((-73.97427042890398 40.58935286497184, -73.97423342487062 40.58935285667994, -73.97423343376987 40.58932979248085, -73.97427043779044 40.58932980077274, -73.97427042890398 40.58935286497184)))","3","27000","252","3270000252","1","86.3607788086","37.3608176708"
