"cmplnt_num","addr_pct_cd","boro_nm","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","crm_atpt_cptd_cd","hadevelopt","housing_psa","jurisdiction_code","juris_desc","ky_cd","law_cat_cd","loc_of_occur_desc","ofns_desc","parks_nm","patrol_boro","pd_cd","pd_desc","prem_typ_desc","rpt_dt","station_name","susp_age_group","susp_race","susp_sex","transit_district","vic_age_group","vic_race","vic_sex","x_coord_cd","y_coord_cd","latitude","longitude","lat_lon","geocoded_column"
"265196204","19","MANHATTAN","2022-11-30T00:00:00.000","12:40:00","2023-02-06T00:00:00.000","10:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","361","MISDEMEANOR","(null)","OFF. AGNST PUB ORD SENSBLTY &","(null)","PATROL BORO MAN NORTH","639","AGGRAVATED HARASSMENT 2","HOSPITAL","2023-03-14T00:00:00.000","(null)","UNKNOWN","WHITE","M",,"18-24","UNKNOWN","M","995921","218078","40.7652424","-73.95786786","(40.7652424, -73.95786786)","POINT (-73.95786786 40.7652424)"
"262087402","108","QUEENS","2022-12-20T00:00:00.000","08:00:00","2022-12-25T00:00:00.000","20:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","INSIDE","PETIT LARCENY","(null)","PATROL BORO QUEENS NORTH","338","LARCENY,PETIT FROM BUILDING,UN","RESIDENCE - APT. HOUSE","2023-01-17T00:00:00.000","(null)","(null)","(null)","(null)",,"18-24","ASIAN / PACIFIC ISLANDER","M","1001349","212016","40.748595","-73.938287","(40.748595, -73.938287)","POINT (-73.938287 40.748595)"
"262411082","49","BRONX","2022-11-26T00:00:00.000","21:44:00","2022-11-26T00:00:00.000","21:45:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","INSIDE","PETIT LARCENY","(null)","PATROL BORO BRONX","333","LARCENY,PETIT FROM STORE-SHOPL","DRUG STORE","2023-01-23T00:00:00.000","(null)","45-64","BLACK","M",,"UNKNOWN","UNKNOWN","D","1023240","247831","40.84683","-73.859071","(40.84683, -73.859071)","POINT (-73.859071 40.84683)"
"269703511","67","BROOKLYN","2023-01-01T00:00:00.000","00:01:00",,"(null)","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO BKLYN SOUTH","432","LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED","RESIDENCE-HOUSE","2023-06-12T00:00:00.000","(null)","(null)","(null)","(null)",,"65+","BLACK","M","997063","173988","40.644227","-73.953826","(40.644227, -73.953826)","POINT (-73.953826 40.644227)"
"261883093","83","BROOKLYN","2022-04-04T00:00:00.000","12:00:00","2023-01-12T00:00:00.000","10:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","INSIDE","PETIT LARCENY","(null)","PATROL BORO BKLYN NORTH","349","LARCENY,PETIT OF LICENSE PLATE","PARKING LOT/GARAGE (PUBLIC)","2023-01-12T00:00:00.000","(null)","(null)","(null)","(null)",,"45-64","BLACK","F","1010318","187977","40.682592","-73.906009","(40.682592, -73.906009)","POINT (-73.906009 40.682592)"
"261901853","40","BRONX","2022-12-26T00:00:00.000","11:50:00","2022-12-26T00:00:00.000","12:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","INSIDE","PETIT LARCENY","(null)","PATROL BORO BRONX","333","LARCENY,PETIT FROM STORE-SHOPL","CHAIN STORE","2023-01-13T00:00:00.000","(null)","UNKNOWN","BLACK","M",,"UNKNOWN","UNKNOWN","D","1007667","237199","40.817703","-73.915395","(40.817703, -73.915395)","POINT (-73.915395 40.817703)"
"263222753","20","MANHATTAN","2022-07-20T00:00:00.000","12:30:00","2023-02-07T00:00:00.000","13:45:00","COMPLETED","(null)","17402","2","N.Y. HOUSING POLICE","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO MAN NORTH","432","LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED","RESIDENCE - PUBLIC HOUSING","2023-02-07T00:00:00.000","(null)","(null)","(null)","(null)",,"45-64","WHITE HISPANIC","F","987539","221023","40.773335","-73.988123","(40.773335, -73.988123)","POINT (-73.988123 40.773335)"
"262541504","67","BROOKLYN","2022-12-29T00:00:00.000","14:45:00","2022-12-29T00:00:00.000","14:49:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","112","FELONY","INSIDE","THEFT-FRAUD","(null)","PATROL BORO BKLYN SOUTH","739","FRAUD,UNCLASSIFIED-FELONY","GROCERY/BODEGA","2023-01-26T00:00:00.000","(null)","(null)","(null)","(null)",,"65+","BLACK HISPANIC","F","1005293","181242","40.66412","-73.924149","(40.66412, -73.924149)","POINT (-73.924149 40.66412)"
"264721858","44","BRONX","2022-11-21T00:00:00.000","11:30:00",,"(null)","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","FRONT OF","GRAND LARCENY","(null)","PATROL BORO BRONX","439","LARCENY,GRAND FROM OPEN AREAS, UNATTENDED","MAILBOX OUTSIDE","2023-03-08T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"45-64","WHITE HISPANIC","M","1006247","244723","40.838357","-73.920502","(40.838357, -73.920502)","POINT (-73.920502 40.838357)"
"263528791","77","BROOKLYN","2021-08-23T00:00:00.000","00:01:00","2021-08-25T00:00:00.000","23:59:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","FRONT OF","PETIT LARCENY","(null)","PATROL BORO BKLYN NORTH","349","LARCENY,PETIT OF LICENSE PLATE","RESIDENCE - APT. HOUSE","2023-02-13T00:00:00.000","(null)","(null)","(null)","(null)",,"65+","WHITE","M","992901","184954","40.67433","-73.96881","(40.67433, -73.96881)","POINT (-73.96881 40.67433)"
"265084297","45","BRONX","2022-01-05T00:00:00.000","14:30:00","2023-03-14T00:00:00.000","14:30:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","FRONT OF","PETIT LARCENY","(null)","PATROL BORO BRONX","301","LARCENY,PETIT BY ACQUIRING LOS","STREET","2023-03-14T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"25-44","WHITE HISPANIC","F","1032994","241050","40.828169","-73.823868","(40.828169, -73.823868)","POINT (-73.823868 40.828169)"
"261369120","72","BROOKLYN","2022-11-23T00:00:00.000","12:30:00","2022-12-27T00:00:00.000","11:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO BKLYN SOUTH","402","LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT","RESIDENCE - APT. HOUSE","2023-01-04T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"18-24","ASIAN / PACIFIC ISLANDER","F","982788","174191","40.644793","-74.005266","(40.644793, -74.005266)","POINT (-74.005266 40.644793)"
"262764062","1","MANHATTAN","2022-11-27T00:00:00.000","08:00:00","2022-12-03T00:00:00.000","14:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","INSIDE","PETIT LARCENY","(null)","PATROL BORO MAN SOUTH","338","LARCENY,PETIT FROM BUILDING,UN","HOTEL/MOTEL","2023-01-30T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"45-64","ASIAN / PACIFIC ISLANDER","M","983085","202272","40.721869","-74.004201","(40.721869, -74.004201)","POINT (-74.004201 40.721869)"
"263019994","94","BROOKLYN","2021-02-03T00:00:00.000","17:35:00","2023-02-03T00:00:00.000","17:40:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","FRONT OF","PETIT LARCENY","(null)","PATROL BORO BKLYN NORTH","313","LARCENY,PETIT BY FALSE PROMISE","RESIDENCE - APT. HOUSE","2023-02-03T00:00:00.000","(null)","UNKNOWN","BLACK","M",,"25-44","UNKNOWN","F","997007","207156","40.735264","-73.953966","(40.735264, -73.953966)","POINT (-73.953966 40.735264)"
"261233723","90","BROOKLYN","2023-01-01T00:00:00.000","20:00:00","2023-01-02T00:00:00.000","10:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","121","FELONY","REAR OF","CRIMINAL MISCHIEF & RELATED OF","(null)","PATROL BORO BKLYN NORTH","269","MISCHIEF,CRIMINAL,    UNCL 2ND","COMMERCIAL BUILDING","2023-01-02T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"UNKNOWN","UNKNOWN","D","1004162","196216","40.705223","-73.928182","(40.705223, -73.928182)","POINT (-73.928182 40.705223)"
"268349153","77","BROOKLYN","2022-06-29T00:00:00.000","14:00:00",,"(null)","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","578","VIOLATION","FRONT OF","HARRASSMENT 2","(null)","PATROL BORO BKLYN NORTH","637","HARASSMENT,SUBD 1,CIVILIAN","RESIDENCE - APT. HOUSE","2023-05-16T00:00:00.000","(null)","45-64","WHITE","M",,"45-64","WHITE","M","999179","183894","40.671413","-73.94618","(40.671413, -73.94618)","POINT (-73.94618 40.671413)"
"261487604","18","MANHATTAN","2022-12-20T00:00:00.000","16:00:00","2022-12-20T00:00:00.000","17:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","INSIDE","PETIT LARCENY","(null)","PATROL BORO MAN SOUTH","352","LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE","RESIDENCE - APT. HOUSE","2023-01-05T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"45-64","WHITE","M","987043","217881","40.764711","-73.989914","(40.764711, -73.989914)","POINT (-73.989914 40.764711)"
"261210618","77","BROOKLYN","2023-01-01T00:00:00.000","16:30:00","2023-01-02T00:00:00.000","23:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","110","FELONY","FRONT OF","GRAND LARCENY OF MOTOR VEHICLE","(null)","PATROL BORO BKLYN NORTH","441","LARCENY,GRAND OF AUTO","STREET","2023-01-02T00:00:00.000","(null)","(null)","(null)","(null)",,"45-64","WHITE","F","1000083","185748","40.676499","-73.942919","(40.676499, -73.942919)","POINT (-73.942919 40.676499)"
"261207683","69","BROOKLYN","2022-12-31T00:00:00.000","22:00:00","2023-01-01T00:00:00.000","00:10:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","351","MISDEMEANOR","REAR OF","CRIMINAL MISCHIEF & RELATED OF","(null)","PATROL BORO BKLYN SOUTH","254","MISCHIEF, CRIMINAL 4, OF MOTOR","RESIDENCE-HOUSE","2023-01-01T00:00:00.000","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","M","1013924","175068","40.647148","-73.893064","(40.647148, -73.893064)","POINT (-73.893064 40.647148)"
"265114162","104","QUEENS","2022-06-05T00:00:00.000","16:00:00","2023-03-14T00:00:00.000","18:17:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","361","MISDEMEANOR","INSIDE","OFF. AGNST PUB ORD SENSBLTY &","(null)","PATROL BORO QUEENS NORTH","639","AGGRAVATED HARASSMENT 2","RESIDENCE - APT. HOUSE","2023-03-14T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"25-44","WHITE","F","1013371","194147","40.699519","-73.894977","(40.699519, -73.894977)","POINT (-73.894977 40.699519)"
"262162558","14","MANHATTAN","2022-12-03T00:00:00.000","00:03:00",,"(null)","COMPLETED","(null)",,"1","N.Y. TRANSIT POLICE","121","FELONY","(null)","CRIMINAL MISCHIEF & RELATED OF","(null)","PATROL BORO MAN SOUTH","273","TAMPERING 1,CRIMINAL","TRANSIT - NYC SUBWAY","2023-01-19T00:00:00.000","34 STREET","45-64","BLACK","M","2","UNKNOWN","UNKNOWN","E","987526","211899","40.74828972","-73.98817669","(40.74828972, -73.98817669)","POINT (-73.98817669 40.74828972)"
"263337583","66","BROOKLYN","2022-09-26T00:00:00.000","12:00:00","2022-10-03T00:00:00.000","12:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO BKLYN SOUTH","420","LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT","RESIDENCE - APT. HOUSE","2023-02-09T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"25-44","ASIAN / PACIFIC ISLANDER","F","982394","171181","40.636531","-74.006687","(40.636531, -74.006687)","POINT (-74.006687 40.636531)"
"261185897","45","BRONX","2023-01-01T00:00:00.000","02:21:00","2023-01-01T00:00:00.000","02:30:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","118","FELONY","(null)","DANGEROUS WEAPONS","(null)","PATROL BORO BRONX","792","CRIMINAL POSSESSION WEAPON","STREET","2023-01-01T00:00:00.000","(null)","18-24","BLACK HISPANIC","M",,"UNKNOWN","UNKNOWN","E","1027425","246061","40.8419502","-73.8439591","(40.8419502, -73.8439591)","POINT (-73.8439591 40.8419502)"
"265375894","48","BRONX","2022-10-11T00:00:00.000","11:30:00","2022-10-11T00:00:00.000","11:35:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO BRONX","428","LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE","RESIDENCE - APT. HOUSE","2023-03-20T00:00:00.000","(null)","(null)","(null)","(null)",,"45-64","BLACK","M","1015388","248252","40.848017","-73.887451","(40.848017, -73.887451)","POINT (-73.887451 40.848017)"
"264732817","32","MANHATTAN","2022-01-01T00:00:00.000","00:00:00","2022-03-04T00:00:00.000","23:59:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","233","MISDEMEANOR","INSIDE","SEX CRIMES","(null)","PATROL BORO MAN NORTH","175","SEXUAL ABUSE 3,2","RESIDENCE - APT. HOUSE","2023-03-08T00:00:00.000","(null)","25-44","WHITE HISPANIC","M",,"25-44","UNKNOWN","F","999433","236538","40.81591307653","-73.9451493066481","(40.81591307653, -73.9451493066481)","POINT (-73.9451493066481 40.81591307653)"
"261823105","69","BROOKLYN","2022-12-29T00:00:00.000","19:30:00","2022-12-30T00:00:00.000","09:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","FRONT OF","GRAND LARCENY","(null)","PATROL BORO BKLYN SOUTH","421","LARCENY,GRAND FROM VEHICLE/MOTORCYCLE","STREET","2023-01-13T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"25-44","BLACK","M","1010134","174228","40.644855","-73.906726","(40.644855, -73.906726)","POINT (-73.906726 40.644855)"
"266523314","20","MANHATTAN","2021-11-26T00:00:00.000","00:01:00","2023-04-11T00:00:00.000","20:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","112","FELONY","INSIDE","THEFT-FRAUD","(null)","PATROL BORO MAN NORTH","739","FRAUD,UNCLASSIFIED-FELONY","(null)","2023-04-11T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"25-44","WHITE","F","989005","221909","40.775767","-73.98283","(40.775767, -73.98283)","POINT (-73.98283 40.775767)"
"261817029","102","QUEENS","2022-10-11T00:00:00.000","10:00:00","2022-10-26T00:00:00.000","23:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO QUEENS SOUTH","403","LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK","COMMERCIAL BUILDING","2023-01-12T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"UNKNOWN","UNKNOWN","D","1033182","191954","40.693411","-73.823546","(40.693411, -73.823546)","POINT (-73.823546 40.693411)"
"262100548","52","BRONX","2022-05-16T00:00:00.000","15:10:00",,"(null)","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","INSIDE","PETIT LARCENY","(null)","PATROL BORO BRONX","333","LARCENY,PETIT FROM STORE-SHOPL","DEPARTMENT STORE","2023-01-18T00:00:00.000","(null)","25-44","BLACK","M",,"UNKNOWN","UNKNOWN","D","1012876","253478","40.862368","-73.896509","(40.862368, -73.896509)","POINT (-73.896509 40.862368)"
"261291350","122","STATEN ISLAND","2022-12-31T00:00:00.000","17:00:00","2023-01-03T00:00:00.000","09:45:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","351","MISDEMEANOR","REAR OF","CRIMINAL MISCHIEF & RELATED OF","(null)","PATROL BORO STATEN ISLAND","259","CRIMINAL MISCHIEF,UNCLASSIFIED 4","CLOTHING/BOUTIQUE","2023-01-03T00:00:00.000","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","D","960927","159801","40.605264","-74.083993","(40.605264, -74.083993)","POINT (-74.083993 40.605264)"
"261499711","106","QUEENS","2022-12-31T00:00:00.000","13:00:00",,"(null)","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","578","VIOLATION","INSIDE","HARRASSMENT 2","(null)","PATROL BORO QUEENS SOUTH","638","HARASSMENT,SUBD 3,4,5","RESIDENCE - APT. HOUSE","2023-01-06T00:00:00.000","(null)","UNKNOWN","UNKNOWN","M",,"25-44","ASIAN / PACIFIC ISLANDER","F","1038102","185240","40.674956","-73.805857","(40.674956, -73.805857)","POINT (-73.805857 40.674956)"
"267241909","67","BROOKLYN","2020-04-01T00:00:00.000","00:00:00","2023-04-13T00:00:00.000","12:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","112","FELONY","INSIDE","THEFT-FRAUD","(null)","PATROL BORO BKLYN SOUTH","739","FRAUD,UNCLASSIFIED-FELONY","RESIDENCE - APT. HOUSE","2023-04-25T00:00:00.000","(null)","(null)","(null)","(null)",,"<18","UNKNOWN","F","1004277","181522","40.664891","-73.927811","(40.664891, -73.927811)","POINT (-73.927811 40.664891)"
"261806942","112","QUEENS","2022-12-20T00:00:00.000","14:40:00",,"(null)","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","(null)","PETIT LARCENY","(null)","PATROL BORO QUEENS NORTH","333","LARCENY,PETIT FROM STORE-SHOPL","CHAIN STORE","2023-01-10T00:00:00.000","(null)","UNKNOWN","WHITE HISPANIC","M",,"25-44","WHITE HISPANIC","D","1026818","201907","40.720763","-73.846429","(40.720763, -73.846429)","POINT (-73.846429 40.720763)"
"262974084","109","QUEENS","2022-12-30T00:00:00.000","17:00:00","2023-01-13T00:00:00.000","14:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO QUEENS NORTH","405","LARCENY,GRAND BY THEFT OF CREDIT CARD","BANK","2023-02-03T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"25-44","ASIAN / PACIFIC ISLANDER","F","1031174","216404","40.760532","-73.830613","(40.760532, -73.830613)","POINT (-73.830613 40.760532)"
"265977558","34","MANHATTAN","2022-10-28T00:00:00.000","10:00:00","2022-12-05T00:00:00.000","00:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","112","FELONY","FRONT OF","THEFT-FRAUD","(null)","PATROL BORO MAN NORTH","739","FRAUD,UNCLASSIFIED-FELONY","STREET","2023-03-29T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"65+","BLACK HISPANIC","M","1003170","248389","40.848427","-73.931611","(40.848427, -73.931611)","POINT (-73.931611 40.848427)"
"261233658","70","BROOKLYN","2022-12-23T00:00:00.000","19:30:00","2022-12-23T00:00:00.000","19:50:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","351","MISDEMEANOR","FRONT OF","CRIMINAL MISCHIEF & RELATED OF","(null)","PATROL BORO BKLYN SOUTH","258","CRIMINAL MISCHIEF 4TH, GRAFFIT","CONSTRUCTION SITE","2023-01-02T00:00:00.000","(null)","(null)","(null)","(null)",,"25-44","WHITE","M","998234","170504","40.634661","-73.949614","(40.634661, -73.949614)","POINT (-73.949614 40.634661)"
"261745238","13","MANHATTAN","2022-10-23T00:00:00.000","08:00:00","2023-01-11T00:00:00.000","08:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","INSIDE","GRAND LARCENY","(null)","PATROL BORO MAN SOUTH","402","LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT","RESIDENCE - APT. HOUSE","2023-01-11T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"25-44","WHITE","M","989096","208038","40.737694","-73.982512","(40.737694, -73.982512)","POINT (-73.982512 40.737694)"
"269290079","13","MANHATTAN","2022-10-01T00:00:00.000","09:00:00","2023-06-04T00:00:00.000","14:00:00","COMPLETED","(null)",,"97","OTHER","351","MISDEMEANOR","INSIDE","CRIMINAL MISCHIEF & RELATED OF","(null)","PATROL BORO MAN SOUTH","645","FALSE ALARM FIRE","RESIDENCE - APT. HOUSE","2023-06-04T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"UNKNOWN","UNKNOWN","D","987719","206808","40.734319","-73.987483","(40.734319, -73.987483)","POINT (-73.987483 40.734319)"
"266467148","111","QUEENS","2022-02-02T00:00:00.000","01:00:00","2022-12-31T00:00:00.000","01:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","340","MISDEMEANOR","INSIDE","FRAUDS","(null)","PATROL BORO QUEENS NORTH","718","FRAUD,UNCLASSIFIED-MISDEMEANOR","RESIDENCE-HOUSE","2023-04-10T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"65+","ASIAN / PACIFIC ISLANDER","M","1054562","210528","40.744249","-73.746253","(40.744249, -73.746253)","POINT (-73.746253 40.744249)"
"268398693","45","BRONX","2022-11-20T00:00:00.000","10:00:00","2023-05-16T00:00:00.000","11:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","107","FELONY","INSIDE","BURGLARY","(null)","PATROL BORO BRONX","221","BURGLARY,RESIDENCE,DAY","MARINA/PIER","2023-05-17T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"45-64","BLACK HISPANIC","M","1035369","247046","40.844613","-73.815241","(40.844613, -73.815241)","POINT (-73.815241 40.844613)"
