"development_name","borough","account_name","location","meter_amr","meter_scope","tds","edp","rc_code","funding_source","amp","vendor_name","umis_bill_id","revenue_month","service_start_date","service_end_date","days","meter_number","estimated","current_charges","rate_class","bill_analyzed","consumption_mlbs"
"ROBBINS PLAZA","MANHATTAN","ROBBINS PLAZA","BLD 01","AMR",,"218","329","M021800","FEDERAL","NY005011390P","CONSOLIDATED EDISON COMPANY OF NY","12170043","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","621132","N","30150.07","SC3","Yes","874.07"
"ROBBINS PLAZA","MANHATTAN","ROBBINS PLAZA","BLD 01","AMR",,"218","329","M021800","FEDERAL","NY005011390P","CONSOLIDATED EDISON COMPANY OF NY","12170043","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","610014","N","6669.74","SC3","Yes","193.36"
"DE HOSTOS APARTMENTS","MANHATTAN","DE HOSTOS APARTMENTS","BLD 01","AMR",,"155","265","M015500","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12170074","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","621273","N","18320.97","SC3","Yes","564.09"
"DE HOSTOS APARTMENTS","MANHATTAN","DE HOSTOS APARTMENTS","BLD 01","AMR",,"155","265","M015500","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12170074","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","641095","N","50034.9","SC3","Yes","1540.54"
"STRAUS","MANHATTAN","STRAUS","BLD 01","AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","12170181","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","632064","N","48704.88","SC3","Yes","1426.04"
"STRAUS","MANHATTAN","STRAUS",,"AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","12170181","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","7210299","N","52606.97","SC3","Yes","1540.29"
"SEWARD PARK EXTENSION","MANHATTAN","SEWARD PARK EXTENSION","BLD 01","AMR",,"192","312","M019200","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","12170191","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","632136","N","39877.13","SC3","Yes","1218"
"SEWARD PARK EXTENSION","MANHATTAN","SEWARD PARK EXTENSION","BLD 01","AMR",,"192","312","M019200","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","12170191","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","621076","N","43190.41","SC3","Yes","1319.2"
"THOMAS APARTMENTS","MANHATTAN","THOMAS APARTMENTS","BLD 01","AMR",,"268","387","M026800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12170200","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","622046","N","8227.14","SC3","Yes","228.83"
"THOMAS APARTMENTS","MANHATTAN","THOMAS APARTMENTS","BLD 01","AMR",,"268","387","M026800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12170200","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","621262","N","12571.72","SC3","Yes","349.67"
"AMSTERDAM ADDITION","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","12170208","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","7310054","N","39869.49","SC3","Yes","1224.95"
"AMSTERDAM ADDITION","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","12170208","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","7210047","N","25407.18","SC3","Yes","780.61"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12170215","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","7110098","N","3296.02","SC3","Yes","91.27"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12170215","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","7220091","N","6528.11","SC3","Yes","180.77"
"GOMPERS","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","12170228","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","62310","N","0","SC3","Yes","0"
"GOMPERS","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","12170228","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","62107","N","65763.3","SC3","Yes","1876.9"
"STRAUS","MANHATTAN","STRAUS","BLD 01","AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","12064501","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","632064","N","39282.19","SC3","Exception","1297.05"
"STRAUS","MANHATTAN","STRAUS",,"AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","12064501","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","7210299","N","40055.99","SC3","Exception","1322.6"
"GOMPERS","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","12064698","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","62310","N","91411.05","SC3","Yes","3677.7"
"GOMPERS","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","12064698","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","62107","N","45813.64","SC3","Yes","1843.2"
"WSUR (SITE C) 589 AMSTERDAM AVENUE","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE C)","BLD 01","AMR",,"174","259","M017400","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12064699","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","7210262","N","10595.52","SC3","Yes","357.72"
"WSUR (SITE C) 589 AMSTERDAM AVENUE","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE C)","BLD 01","AMR",,"174","259","M017400","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12064699","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","7310053","N","33178.99","SC3","Yes","1120.17"
"DE HOSTOS APARTMENTS","MANHATTAN","DE HOSTOS APARTMENTS","BLD 01","AMR",,"155","265","M015500","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12064703","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","641095","N","52189","SC3","Yes","1917.82"
"DE HOSTOS APARTMENTS","MANHATTAN","DE HOSTOS APARTMENTS","BLD 01","AMR",,"155","265","M015500","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12064703","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","621273","N","17193.78","SC3","Yes","631.83"
"ROBBINS PLAZA","MANHATTAN","ROBBINS PLAZA","BLD 01","AMR",,"218","329","M021800","FEDERAL","NY005011390P","CONSOLIDATED EDISON COMPANY OF NY","12064706","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","610014","N","5780.7","SC3","Yes","188.28"
"ROBBINS PLAZA","MANHATTAN","ROBBINS PLAZA","BLD 01","AMR",,"218","329","M021800","FEDERAL","NY005011390P","CONSOLIDATED EDISON COMPANY OF NY","12064706","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","621132","N","22290.12","SC3","Yes","726"
"WSUR (SITE A) 120 WEST 94TH STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE A)","BLD 03","AMR",,"151","259","M015100","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12064708","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","621295","N","16750.45","SC3","Yes","534.65"
"WSUR (SITE A) 120 WEST 94TH STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE A)","BLD 03","AMR",,"151","259","M015100","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12064708","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","622030","N","6983.09","SC3","Yes","222.89"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12064710","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","622092","N","11176.7","SC3","Yes","369.76"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12064710","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","621044","N","22374.86","SC3","Yes","740.23"
"FULTON","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","12064713","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","63121","N","100801.4","SC3","Yes","3829"
"FULTON","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","12064713","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","64031","N","244750.75","SC3","Yes","9297"
"WSUR (SITE B) 74 WEST 92ND STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE B)","BLD 05","AMR",,"173","259","M017300","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12064715","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","7220047","N","11062.33","SC3","Exception","379.24"
"WSUR (SITE B) 74 WEST 92ND STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE B)","BLD 05","AMR",,"173","259","M017300","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12064715","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","7310022","N","47523.64","SC3","Exception","1629.21"
"CAMPOS PLAZA II","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA II ALL","286","593","M028600","FEDERAL","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","12064719","2022-12",,,,"630022-593","N","16419.92","SC3","Yes","0"
"CAMPOS PLAZA II","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA II ALL","286","593","M028600","FEDERAL","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","12064719","2022-12",,,,"632026-593","N","16419.92","SC3","Yes","0"
"CAMPOS PLAZA I","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","12064719","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","630022-544","N","16419.92","SC3","Yes","1549"
"CAMPOS PLAZA I","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","12064719","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","632026-544","N","16419.92","SC3","Yes","729.8"
"AMSTERDAM ADDITION","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","12083008","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","7210047","N","27246.85","SC3","Yes","973.99"
"AMSTERDAM ADDITION","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","12083008","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","7310054","N","27829.28","SC3","Yes","994.81"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12175264","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","7220091","N","51590.62","SC3","Yes","1540"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12175264","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","7110098","N","26063.31","SC3","Yes","778"
"THOMAS APARTMENTS","MANHATTAN","THOMAS APARTMENTS","BLD 01","AMR",,"268","387","M026800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12175615","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","621262","N","128876.74","SC3","Yes","4085"
"THOMAS APARTMENTS","MANHATTAN","THOMAS APARTMENTS","BLD 01","AMR",,"268","387","M026800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12175615","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","622046","N","61520.11","SC3","Yes","1950"
"SEWARD PARK EXTENSION","MANHATTAN","SEWARD PARK EXTENSION","BLD 01","AMR",,"192","312","M019200","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","12175799","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","621076","N","347400.68","SC3","Yes","12366"
"SEWARD PARK EXTENSION","MANHATTAN","SEWARD PARK EXTENSION","BLD 01","AMR",,"192","312","M019200","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","12175799","2022-12","2022-11-30T00:00:00.000","2022-12-30T00:00:00.000","30","632136","N","320768.32","SC3","Yes","11418"
"GOMPERS","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","11983975","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","62310","N","2.99","SC3","Yes","0.1"
"GOMPERS","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","11983975","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","62107","N","48680.67","SC3","Yes","1626"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11983981","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","7220091","N","3973.4","SC3","Yes","114.12"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11983981","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","7110098","N","2624.91","SC3","Yes","75.39"
"AMSTERDAM ADDITION","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","11983988","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","331058","N","11969.09","SC3","Yes","398.11"
"AMSTERDAM ADDITION","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","11983988","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","321136","N","32980.46","SC3","Yes","1096.98"
"CAMPOS PLAZA I","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","11983995","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","630022-544","N","13279.06","SC3","Yes","979"
"CAMPOS PLAZA II","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA II ALL","286","593","M028600","FEDERAL","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","11983995","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","632026-593","N","13279.06","SC3","Yes","0"
"CAMPOS PLAZA I","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","11983995","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","632026-544","N","13279.06","SC3","Yes","710.5"
"CAMPOS PLAZA II","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA II ALL","286","593","M028600","FEDERAL","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","11983995","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","630022-593","N","13279.06","SC3","Yes","0"
"WSUR (SITE B) 74 WEST 92ND STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE B)","BLD 05","AMR",,"173","259","M017300","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11983999","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","7220047","N","9050.58","SC3","Yes","291.55"
"WSUR (SITE B) 74 WEST 92ND STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE B)","BLD 05","AMR",,"173","259","M017300","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11983999","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","7310022","N","27234","SC3","Yes","877.3"
"FULTON","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","11984002","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","63121","N","113175.82","SC3","Yes","4025"
"FULTON","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","11984002","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","64031","N","161145.5","SC3","Yes","5731"
"THOMAS APARTMENTS","MANHATTAN","THOMAS APARTMENTS","BLD 01","AMR",,"268","387","M026800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11984006","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","621262","N","8131.46","SC3","Yes","239.72"
"THOMAS APARTMENTS","MANHATTAN","THOMAS APARTMENTS","BLD 01","AMR",,"268","387","M026800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11984006","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","622046","N","7952.35","SC3","Yes","234.44"
"SEWARD PARK EXTENSION","MANHATTAN","SEWARD PARK EXTENSION","BLD 01","AMR",,"192","312","M019200","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","11984011","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","621076","N","28135.37","SC3","Yes","942.2"
"SEWARD PARK EXTENSION","MANHATTAN","SEWARD PARK EXTENSION","BLD 01","AMR",,"192","312","M019200","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","11984011","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","632136","N","23193.31","SC3","Yes","776.7"
"STRAUS","MANHATTAN","STRAUS","BLD 01","AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","11984015","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","632064","N","17374.44","SC3","Yes","581.17"
"STRAUS","MANHATTAN","STRAUS",,"AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","11984015","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","7210299","N","32749.16","SC3","Yes","1095.45"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11984017","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","622092","Y","18029.88","SC3","Yes","573.8"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11984017","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","621044","N","13837.26","SC3","Yes","440.37"
"WSUR (SITE C) 589 AMSTERDAM AVENUE","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE C)","BLD 01","AMR",,"174","259","M017400","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11984024","2022-11","2022-10-28T00:00:00.000","2022-11-30T00:00:00.000","33","7310053","N","27201.94","SC3","Yes","869.25"
