"hvfhs_license_num","dispatching_base_num","pickup_datetime","dropoff_datetime","pulocationid","dolocationid","sr_flag"
"HV0003","B02836","2021-07-31T23:59:57.000","2021-08-01T00:10:32.000","62","89",
"HV0005","B02510","2021-07-31T23:59:57.000","2021-08-01T00:12:28.000","161","50",
"HV0003","B02883","2021-07-31T23:59:57.000","2021-08-01T00:22:29.000","24","69",
"HV0005","B02510","2021-07-31T23:59:56.000","2021-08-01T00:18:02.000","213","51",
"HV0003","B02887","2021-07-31T23:59:56.000","2021-08-01T00:36:37.000","7","228",
"HV0003","B02617","2021-07-31T23:59:56.000","2021-08-01T00:29:46.000","232","126",
"HV0003","B02764","2021-07-31T23:59:56.000","2021-08-01T00:17:42.000","182","243",
"HV0003","B02869","2021-07-31T23:59:56.000","2021-08-01T00:32:10.000","202","73",
"HV0005","B02510","2021-07-31T23:59:56.000","2021-08-01T00:16:32.000","79","87",
"HV0003","B02872","2021-07-31T23:59:56.000","2021-08-01T00:08:34.000","80","112",
"HV0003","B02880","2021-07-31T23:59:56.000","2021-08-01T00:22:55.000","148","145",
"HV0005","B02510","2021-07-31T23:59:56.000","2021-08-01T00:15:31.000","61","228",
"HV0003","B02765","2021-07-31T23:59:56.000","2021-08-01T00:24:00.000","65","193",
"HV0003","B02878","2021-07-31T23:59:56.000","2021-08-01T00:09:04.000","76","222",
"HV0003","B02872","2021-07-31T23:59:55.000","2021-08-01T00:08:55.000","79","148",
"HV0003","B02879","2021-07-31T23:59:55.000","2021-08-01T00:24:29.000","230","87",
"HV0003","B02869","2021-07-31T23:59:55.000","2021-08-01T00:20:08.000","90","141",
"HV0003","B02865","2021-07-31T23:59:55.000","2021-08-01T00:20:58.000","159","259",
"HV0003","B02869","2021-07-31T23:59:55.000","2021-08-01T00:27:45.000","63","112",
"HV0003","B02876","2021-07-31T23:59:55.000","2021-08-01T00:34:41.000","85","50",
"HV0003","B02869","2021-07-31T23:59:55.000","2021-08-01T00:11:50.000","186","233",
"HV0005","B02510","2021-07-31T23:59:54.000","2021-08-01T00:23:40.000","164","160",
"HV0005","B02510","2021-07-31T23:59:54.000","2021-08-01T00:08:27.000","235","220",
"HV0003","B02764","2021-07-31T23:59:54.000","2021-08-01T00:08:38.000","174","18",
"HV0003","B02875","2021-07-31T23:59:54.000","2021-08-01T00:10:01.000","220","241",
"HV0003","B02875","2021-07-31T23:59:54.000","2021-08-01T00:19:52.000","169","213",
"HV0003","B02875","2021-07-31T23:59:54.000","2021-08-01T00:22:25.000","35","210",
"HV0005","B02510","2021-07-31T23:59:54.000","2021-08-01T00:12:08.000","39","76",
"HV0003","B02617","2021-07-31T23:59:54.000","2021-08-01T00:37:21.000","87","80",
"HV0003","B02871","2021-07-31T23:59:54.000","2021-08-01T00:09:51.000","127","116",
"HV0003","B02878","2021-07-31T23:59:53.000","2021-08-01T00:21:02.000","54","234",
"HV0005","B02510","2021-07-31T23:59:53.000","2021-08-01T00:10:02.000","76","76",
"HV0003","B02875","2021-07-31T23:59:53.000","2021-08-01T00:07:57.000","170","107",
"HV0003","B02875","2021-07-31T23:59:53.000","2021-08-01T00:19:14.000","231","142",
"HV0003","B02765","2021-07-31T23:59:53.000","2021-08-01T00:15:02.000","243","241",
"HV0005","B02510","2021-07-31T23:59:53.000","2021-08-01T01:02:31.000","221","221",
"HV0003","B02888","2021-07-31T23:59:53.000","2021-08-01T00:20:26.000","148","161",
"HV0004","B02800","2021-07-31T23:59:53.000","2021-08-01T00:15:39.000","148","140","1"
"HV0003","B02872","2021-07-31T23:59:52.000","2021-08-01T00:55:51.000","144","265",
"HV0003","B02872","2021-07-31T23:59:52.000","2021-08-01T00:11:07.000","137","68",
"HV0003","B02872","2021-07-31T23:59:52.000","2021-08-01T00:18:59.000","262","164",
"HV0003","B02764","2021-07-31T23:59:52.000","2021-08-01T00:06:50.000","158","186",
"HV0003","B02867","2021-07-31T23:59:52.000","2021-08-01T00:22:01.000","85","76",
"HV0003","B02869","2021-07-31T23:59:52.000","2021-08-01T00:19:28.000","107","80",
"HV0005","B02510","2021-07-31T23:59:51.000","2021-08-01T00:11:30.000","144","186",
"HV0005","B02510","2021-07-31T23:59:51.000","2021-08-01T00:33:17.000","138","79",
"HV0003","B02869","2021-07-31T23:59:51.000","2021-08-01T00:19:42.000","28","38",
"HV0003","B02764","2021-07-31T23:59:51.000","2021-08-01T00:08:10.000","37","36",
"HV0003","B02887","2021-07-31T23:59:51.000","2021-08-01T00:10:13.000","35","39",
"HV0003","B02865","2021-07-31T23:59:51.000","2021-08-01T00:01:02.000","262","140",
"HV0003","B02871","2021-07-31T23:59:51.000","2021-08-01T00:17:48.000","4","87",
"HV0003","B02883","2021-07-31T23:59:51.000","2021-08-01T00:22:03.000","112","263",
"HV0003","B02764","2021-07-31T23:59:51.000","2021-08-01T00:26:57.000","50","7",
"HV0003","B02889","2021-07-31T23:59:51.000","2021-08-01T00:05:24.000","113","107",
"HV0003","B02879","2021-07-31T23:59:50.000","2021-08-01T00:08:35.000","47","47",
"HV0005","B02510","2021-07-31T23:59:50.000","2021-08-01T00:27:04.000","248","35",
"HV0003","B02872","2021-07-31T23:59:50.000","2021-08-01T00:10:17.000","231","232",
"HV0005","B02510","2021-07-31T23:59:50.000","2021-08-01T00:09:49.000","79","231",
"HV0003","B02867","2021-07-31T23:59:50.000","2021-08-01T00:08:50.000","61","188",
"HV0003","B02765","2021-07-31T23:59:49.000","2021-08-01T00:05:15.000","20","47",
"HV0005","B02510","2021-07-31T23:59:49.000","2021-08-01T00:04:50.000","56","56",
"HV0003","B02875","2021-07-31T23:59:49.000","2021-08-01T00:24:27.000","209","50",
"HV0003","B02877","2021-07-31T23:59:49.000","2021-08-01T00:09:20.000","82","160",
"HV0003","B02865","2021-07-31T23:59:49.000","2021-08-01T00:13:54.000","247","243",
"HV0003","B02864","2021-07-31T23:59:49.000","2021-08-01T00:21:40.000","49","112",
"HV0003","B02765","2021-07-31T23:59:49.000","2021-08-01T00:14:27.000","155","89",
"HV0003","B02872","2021-07-31T23:59:49.000","2021-08-01T00:28:45.000","225","223",
"HV0005","B02510","2021-07-31T23:59:49.000","2021-08-01T00:05:20.000","38","265",
"HV0003","B02682","2021-07-31T23:59:49.000","2021-08-01T00:23:03.000","226","198",
"HV0003","B02869","2021-07-31T23:59:49.000","2021-08-01T00:12:58.000","226","82",
"HV0003","B02888","2021-07-31T23:59:49.000","2021-08-01T00:11:19.000","56","160",
"HV0003","B02884","2021-07-31T23:59:49.000","2021-08-01T00:10:00.000","198","36",
"HV0003","B02617","2021-07-31T23:59:49.000","2021-08-01T00:06:48.000","197","197",
"HV0003","B02765","2021-07-31T23:59:49.000","2021-08-01T00:14:26.000","188","165",
"HV0003","B02872","2021-07-31T23:59:48.000","2021-08-01T00:31:21.000","100","116",
"HV0005","B02510","2021-07-31T23:59:48.000","2021-08-01T00:05:52.000","48","50",
"HV0003","B02872","2021-07-31T23:59:48.000","2021-08-01T00:11:56.000","229","145",
"HV0005","B02510","2021-07-31T23:59:48.000","2021-08-01T00:07:53.000","164","137",
"HV0003","B02869","2021-07-31T23:59:48.000","2021-08-01T00:24:10.000","142","7",
"HV0005","B02510","2021-07-31T23:59:48.000","2021-08-01T00:38:07.000","132","246",
"HV0003","B02871","2021-07-31T23:59:48.000","2021-08-01T00:10:52.000","79","141",
"HV0005","B02510","2021-07-31T23:59:48.000","2021-08-01T00:06:00.000","62","89",
"HV0003","B02871","2021-07-31T23:59:48.000","2021-08-01T00:12:28.000","80","112",
"HV0005","B02510","2021-07-31T23:59:48.000","2021-08-01T00:11:52.000","259","254",
"HV0003","B02765","2021-07-31T23:59:47.000","2021-08-01T00:36:36.000","101","22",
"HV0005","B02510","2021-07-31T23:59:47.000","2021-08-01T00:12:56.000","115","156",
"HV0003","B02764","2021-07-31T23:59:47.000","2021-08-01T00:06:13.000","145","7",
"HV0003","B02864","2021-07-31T23:59:47.000","2021-08-01T00:12:48.000","17","97",
"HV0003","B02888","2021-07-31T23:59:47.000","2021-08-01T00:06:54.000","223","7",
"HV0005","B02510","2021-07-31T23:59:47.000","2021-08-01T00:10:41.000","244","42",
"HV0005","B02510","2021-07-31T23:59:47.000","2021-08-01T00:06:57.000","137","170",
"HV0003","B02879","2021-07-31T23:59:46.000","2021-08-01T00:10:12.000","220","265",
"HV0005","B02510","2021-07-31T23:59:46.000","2021-08-01T00:14:21.000","61","37",
"HV0005","B02510","2021-07-31T23:59:46.000","2021-08-01T00:29:43.000","164","97",
"HV0003","B02764","2021-07-31T23:59:46.000","2021-08-01T00:12:21.000","255","256",
"HV0005","B02510","2021-07-31T23:59:46.000","2021-08-01T00:21:00.000","256","249",
"HV0003","B02764","2021-07-31T23:59:46.000","2021-08-01T00:06:47.000","243","235",
"HV0005","B02510","2021-07-31T23:59:46.000","2021-08-01T00:22:48.000","125","49",
"HV0003","B02835","2021-07-31T23:59:46.000","2021-08-01T00:13:30.000","225","97",
"HV0003","B02872","2021-07-31T23:59:46.000","2021-08-01T00:18:15.000","256","209",
"HV0003","B02869","2021-07-31T23:59:46.000","2021-08-01T00:07:11.000","234","233",
"HV0003","B02866","2021-07-31T23:59:46.000","2021-08-01T00:07:33.000","76","76",
"HV0003","B02869","2021-07-31T23:59:46.000","2021-08-01T00:18:49.000","235","74",
"HV0003","B02764","2021-07-31T23:59:46.000","2021-08-01T00:15:24.000","61","112",
"HV0003","B02884","2021-07-31T23:59:46.000","2021-08-01T00:05:53.000","119","47",
"HV0003","B02867","2021-07-31T23:59:46.000","2021-08-01T00:33:22.000","33","76",
"HV0003","B02765","2021-07-31T23:59:45.000","2021-08-01T00:20:58.000","138","76",
"HV0003","B02864","2021-07-31T23:59:45.000","2021-08-01T00:28:23.000","41","193",
"HV0005","B02510","2021-07-31T23:59:45.000","2021-08-01T00:16:36.000","127","47",
"HV0005","B02510","2021-07-31T23:59:45.000","2021-08-01T00:20:19.000","260","255",
"HV0003","B02682","2021-07-31T23:59:45.000","2021-08-01T00:08:00.000","234","249",
"HV0003","B02888","2021-07-31T23:59:45.000","2021-08-01T00:20:55.000","132","86",
"HV0005","B02510","2021-07-31T23:59:45.000","2021-08-01T00:20:02.000","200","74",
"HV0003","B02872","2021-07-31T23:59:45.000","2021-08-01T00:23:53.000","79","189",
"HV0005","B02510","2021-07-31T23:59:45.000","2021-08-01T00:17:25.000","61","85",
"HV0003","B02875","2021-07-31T23:59:45.000","2021-08-01T00:01:48.000","151","151",
"HV0003","B02864","2021-07-31T23:59:45.000","2021-08-01T00:19:39.000","76","62",
"HV0003","B02871","2021-07-31T23:59:44.000","2021-08-01T00:10:55.000","87","211",
"HV0003","B02765","2021-07-31T23:59:44.000","2021-08-01T00:18:13.000","17","36",
"HV0003","B02878","2021-07-31T23:59:44.000","2021-08-01T00:10:11.000","14","21",
"HV0003","B02764","2021-07-31T23:59:44.000","2021-08-01T00:18:03.000","192","179",
"HV0005","B02510","2021-07-31T23:59:44.000","2021-08-01T00:27:42.000","148","112",
"HV0003","B02872","2021-07-31T23:59:44.000","2021-08-01T00:26:27.000","55","130",
"HV0003","B02866","2021-07-31T23:59:44.000","2021-08-01T00:09:27.000","63","258",
"HV0003","B02877","2021-07-31T23:59:44.000","2021-08-01T00:25:31.000","148","61",
"HV0005","B02510","2021-07-31T23:59:44.000","2021-08-01T00:12:10.000","42","238",
"HV0003","B02869","2021-07-31T23:59:44.000","2021-08-01T00:28:43.000","256","140",
"HV0005","B02510","2021-07-31T23:59:44.000","2021-08-01T00:12:16.000","42","69",
"HV0003","B02872","2021-07-31T23:59:44.000","2021-08-01T00:10:16.000","164","249",
"HV0003","B02835","2021-07-31T23:59:44.000","2021-08-01T00:10:43.000","203","130",
"HV0005","B02510","2021-07-31T23:59:44.000","2021-08-01T00:11:55.000","235","116",
"HV0003","B02876","2021-07-31T23:59:43.000","2021-08-01T00:19:37.000","61","80",
"HV0003","B02872","2021-07-31T23:59:43.000","2021-08-01T00:05:04.000","101","101",
"HV0005","B02510","2021-07-31T23:59:43.000","2021-08-01T00:09:30.000","198","37",
"HV0003","B02395","2021-07-31T23:59:43.000","2021-08-01T00:14:08.000","18","127",
"HV0003","B02765","2021-07-31T23:59:43.000","2021-08-01T00:20:22.000","95","205",
"HV0003","B02682","2021-07-31T23:59:43.000","2021-08-01T00:07:06.000","66","65",
"HV0003","B02864","2021-07-31T23:59:43.000","2021-08-01T00:08:32.000","170","137",
"HV0003","B02764","2021-07-31T23:59:43.000","2021-08-01T00:13:02.000","237","233",
"HV0003","B02889","2021-07-31T23:59:43.000","2021-08-01T00:05:31.000","210","150",
"HV0005","B02510","2021-07-31T23:59:42.000","2021-08-01T00:15:24.000","230","79",
"HV0005","B02510","2021-07-31T23:59:42.000","2021-08-01T00:05:18.000","35","72",
"HV0003","B02871","2021-07-31T23:59:42.000","2021-08-01T00:13:05.000","68","79",
"HV0005","B02510","2021-07-31T23:59:42.000","2021-08-01T00:09:22.000","263","239",
"HV0005","B02510","2021-07-31T23:59:42.000","2021-08-01T00:08:01.000","79","114",
"HV0003","B02872","2021-07-31T23:59:42.000","2021-08-01T00:23:16.000","151","87",
"HV0005","B02510","2021-07-31T23:59:42.000","2021-08-01T00:40:57.000","136","265",
"HV0005","B02510","2021-07-31T23:59:41.000","2021-08-01T00:15:35.000","121","129",
"HV0003","B02872","2021-07-31T23:59:41.000","2021-08-01T00:18:51.000","36","112",
"HV0003","B02871","2021-07-31T23:59:41.000","2021-08-01T00:08:07.000","191","205",
"HV0003","B02872","2021-07-31T23:59:41.000","2021-08-01T00:11:36.000","90","114",
"HV0005","B02510","2021-07-31T23:59:41.000","2021-08-01T00:07:37.000","242","81",
"HV0003","B02869","2021-07-31T23:59:41.000","2021-08-01T00:06:48.000","236","161",
"HV0005","B02510","2021-07-31T23:59:41.000","2021-08-01T00:14:24.000","3","259",
"HV0003","B02872","2021-07-31T23:59:41.000","2021-08-01T00:21:16.000","80","79",
"HV0005","B02510","2021-07-31T23:59:41.000","2021-08-01T00:35:08.000","219","42",
"HV0003","B02877","2021-07-31T23:59:40.000","2021-08-01T00:11:31.000","10","38",
"HV0003","B02875","2021-07-31T23:59:40.000","2021-08-01T00:15:36.000","168","169",
"HV0003","B02872","2021-07-31T23:59:40.000","2021-08-01T00:31:44.000","36","141",
"HV0005","B02510","2021-07-31T23:59:40.000","2021-08-01T00:09:22.000","198","225",
"HV0003","B02617","2021-07-31T23:59:40.000","2021-08-01T00:06:34.000","227","89",
"HV0003","B02876","2021-07-31T23:59:40.000","2021-08-01T00:11:38.000","187","206",
"HV0005","B02510","2021-07-31T23:59:40.000","2021-08-01T00:01:39.000","132","132",
"HV0005","B02510","2021-07-31T23:59:40.000","2021-08-01T00:11:39.000","181","97",
"HV0005","B02510","2021-07-31T23:59:40.000","2021-08-01T00:24:37.000","49","161",
"HV0003","B02875","2021-07-31T23:59:40.000","2021-08-01T00:10:24.000","233","236",
"HV0003","B02864","2021-07-31T23:59:40.000","2021-08-01T00:15:57.000","129","7",
"HV0003","B02872","2021-07-31T23:59:40.000","2021-08-01T00:18:29.000","142","90",
"HV0003","B02617","2021-07-31T23:59:39.000","2021-08-01T00:08:30.000","206","156",
"HV0003","B02869","2021-07-31T23:59:39.000","2021-08-01T00:22:54.000","80","146",
"HV0003","B02879","2021-07-31T23:59:39.000","2021-08-01T00:17:34.000","131","19",
"HV0003","B02889","2021-07-31T23:59:39.000","2021-08-01T00:19:13.000","112","263",
"HV0003","B02869","2021-07-31T23:59:39.000","2021-08-01T00:20:39.000","189","232",
"HV0003","B02875","2021-07-31T23:59:39.000","2021-08-01T00:07:04.000","246","158",
"HV0003","B02878","2021-07-31T23:59:39.000","2021-08-01T00:02:53.000","212","212",
"HV0003","B02617","2021-07-31T23:59:39.000","2021-08-01T00:07:43.000","36","225",
"HV0003","B02765","2021-07-31T23:59:39.000","2021-08-01T00:10:47.000","51","254",
"HV0003","B02872","2021-07-31T23:59:38.000","2021-08-01T00:09:23.000","231","148",
"HV0003","B02866","2021-07-31T23:59:38.000","2021-08-01T00:12:27.000","247","47",
"HV0003","B02875","2021-07-31T23:59:38.000","2021-08-01T00:08:39.000","231","249",
"HV0003","B02869","2021-07-31T23:59:38.000","2021-08-01T00:48:21.000","246","62",
"HV0003","B02765","2021-07-31T23:59:38.000","2021-08-01T00:11:03.000","234","148",
"HV0003","B02872","2021-07-31T23:59:38.000","2021-08-01T00:04:23.000","227","227",
"HV0005","B02510","2021-07-31T23:59:38.000","2021-08-01T00:21:10.000","61","76",
"HV0003","B02875","2021-07-31T23:59:37.000","2021-08-01T00:15:09.000","181","89",
"HV0003","B02879","2021-07-31T23:59:37.000","2021-08-01T00:03:47.000","28","131",
"HV0003","B02878","2021-07-31T23:59:37.000","2021-08-01T00:37:16.000","137","85",
"HV0003","B02872","2021-07-31T23:59:37.000","2021-08-01T00:13:25.000","42","42",
"HV0003","B02867","2021-07-31T23:59:37.000","2021-08-01T00:14:57.000","177","36",
"HV0005","B02510","2021-07-31T23:59:37.000","2021-08-01T00:07:33.000","167","60",
"HV0003","B02765","2021-07-31T23:59:36.000","2021-08-01T00:13:14.000","193","226",
"HV0003","B02764","2021-07-31T23:59:36.000","2021-08-01T00:04:52.000","53","53",
"HV0005","B02510","2021-07-31T23:59:36.000","2021-08-01T00:16:05.000","208","168",
"HV0003","B02872","2021-07-31T23:59:36.000","2021-08-01T00:07:40.000","246","234",
"HV0003","B02835","2021-07-31T23:59:36.000","2021-08-01T01:08:36.000","158","265",
"HV0003","B02764","2021-07-31T23:59:36.000","2021-08-01T00:14:31.000","249","137",
"HV0003","B02872","2021-07-31T23:59:36.000","2021-08-01T00:25:34.000","189","158",
"HV0005","B02510","2021-07-31T23:59:36.000","2021-08-01T00:22:56.000","263","256",
"HV0003","B02887","2021-07-31T23:59:36.000","2021-08-01T00:13:12.000","167","169",
"HV0005","B02510","2021-07-31T23:59:36.000","2021-08-01T00:32:07.000","76","191",
"HV0003","B02682","2021-07-31T23:59:35.000","2021-08-01T00:18:27.000","49","89",
"HV0003","B02871","2021-07-31T23:59:35.000","2021-08-01T00:09:41.000","204","5",
"HV0003","B02875","2021-07-31T23:59:35.000","2021-08-01T00:11:16.000","215","205",
"HV0003","B02866","2021-07-31T23:59:35.000","2021-08-01T00:09:45.000","37","17",
"HV0003","B02872","2021-07-31T23:59:35.000","2021-08-01T00:04:05.000","226","260",
"HV0003","B02871","2021-07-31T23:59:35.000","2021-08-01T00:11:15.000","17","80",
"HV0005","B02510","2021-07-31T23:59:35.000","2021-08-01T00:23:00.000","79","14",
"HV0003","B02870","2021-07-31T23:59:35.000","2021-08-01T00:09:46.000","148","66",
"HV0005","B02510","2021-07-31T23:59:35.000","2021-08-01T00:08:03.000","209","144",
"HV0003","B02875","2021-07-31T23:59:35.000","2021-08-01T00:18:28.000","79","260",
"HV0003","B02866","2021-07-31T23:59:35.000","2021-08-01T00:13:47.000","234","140",
"HV0003","B02765","2021-07-31T23:59:35.000","2021-08-01T00:13:59.000","18","42",
"HV0003","B02765","2021-07-31T23:59:35.000","2021-08-01T00:15:38.000","181","67",
"HV0003","B02877","2021-07-31T23:59:35.000","2021-08-01T00:09:06.000","152","244",
"HV0004","B02800","2021-07-31T23:59:35.000","2021-08-01T00:18:42.000","249","141","1"
"HV0003","B02884","2021-07-31T23:59:35.000","2021-08-01T00:03:34.000","86","117",
"HV0005","B02510","2021-07-31T23:59:35.000","2021-08-01T00:08:16.000","48","90",
"HV0003","B02875","2021-07-31T23:59:34.000","2021-08-01T00:09:10.000","252","16",
"HV0005","B02510","2021-07-31T23:59:34.000","2021-08-01T00:16:07.000","39","89",
"HV0003","B02882","2021-07-31T23:59:34.000","2021-08-01T00:19:40.000","97","36",
"HV0003","B02878","2021-07-31T23:59:34.000","2021-08-01T00:25:48.000","80","79",
"HV0003","B02764","2021-07-31T23:59:34.000","2021-08-01T00:14:05.000","37","37",
"HV0005","B02510","2021-07-31T23:59:34.000","2021-08-01T00:05:08.000","212","248",
"HV0003","B02875","2021-07-31T23:59:34.000","2021-08-01T00:11:12.000","168","75",
"HV0005","B02510","2021-07-31T23:59:33.000","2021-08-01T01:02:16.000","181","159",
"HV0003","B02871","2021-07-31T23:59:33.000","2021-08-01T00:33:32.000","80","89",
"HV0003","B02764","2021-07-31T23:59:33.000","2021-08-01T00:17:35.000","239","234",
"HV0003","B02876","2021-07-31T23:59:33.000","2021-08-01T00:10:06.000","90","50",
"HV0003","B02869","2021-07-31T23:59:33.000","2021-08-01T00:14:25.000","40","189",
"HV0003","B02875","2021-07-31T23:59:33.000","2021-08-01T00:19:14.000","77","71",
"HV0003","B02866","2021-07-31T23:59:33.000","2021-08-01T00:21:23.000","29","29",
"HV0003","B02883","2021-07-31T23:59:32.000","2021-08-01T00:04:15.000","229","262",
"HV0003","B02883","2021-07-31T23:59:32.000","2021-08-01T00:14:18.000","32","60",
"HV0005","B02510","2021-07-31T23:59:32.000","2021-08-01T00:12:49.000","181","188",
"HV0003","B02765","2021-07-31T23:59:32.000","2021-08-01T00:04:28.000","196","196",
"HV0003","B02835","2021-07-31T23:59:32.000","2021-08-01T00:15:10.000","181","256",
"HV0003","B02889","2021-07-31T23:59:32.000","2021-08-01T00:03:21.000","169","235",
"HV0003","B02877","2021-07-31T23:59:32.000","2021-08-01T00:12:08.000","170","249",
"HV0003","B02884","2021-07-31T23:59:32.000","2021-08-01T00:24:17.000","76","89",
"HV0003","B02867","2021-07-31T23:59:31.000","2021-08-01T00:29:25.000","138","143",
"HV0003","B02866","2021-07-31T23:59:31.000","2021-08-01T00:17:03.000","114","265",
"HV0003","B02876","2021-07-31T23:59:31.000","2021-08-01T00:04:33.000","168","147",
"HV0003","B02682","2021-07-31T23:59:31.000","2021-08-01T00:11:47.000","143","229",
"HV0003","B02888","2021-07-31T23:59:31.000","2021-08-01T00:08:54.000","165","26",
"HV0003","B02884","2021-07-31T23:59:31.000","2021-08-01T00:39:49.000","145","265",
"HV0003","B02872","2021-07-31T23:59:31.000","2021-08-01T00:06:55.000","76","258",
"HV0005","B02510","2021-07-31T23:59:31.000","2021-08-01T00:09:10.000","213","147",
"HV0003","B02866","2021-07-31T23:59:31.000","2021-08-01T00:13:05.000","142","230",
"HV0005","B02510","2021-07-31T23:59:31.000","2021-08-01T00:06:13.000","36","225",
"HV0005","B02510","2021-07-31T23:59:31.000","2021-08-01T00:24:41.000","170","220",
"HV0003","B02872","2021-07-31T23:59:31.000","2021-08-01T00:08:42.000","7","129",
"HV0003","B02887","2021-07-31T23:59:31.000","2021-08-01T00:07:48.000","36","37",
"HV0003","B02871","2021-07-31T23:59:31.000","2021-08-01T00:12:12.000","259","169",
"HV0005","B02510","2021-07-31T23:59:31.000","2021-08-01T00:03:00.000","41","75",
"HV0003","B02872","2021-07-31T23:59:31.000","2021-08-01T00:13:42.000","242","254",
"HV0003","B02876","2021-07-31T23:59:31.000","2021-08-01T00:05:31.000","149","155",
"HV0003","B02765","2021-07-31T23:59:31.000","2021-08-01T00:25:32.000","238","79",
"HV0003","B02875","2021-07-31T23:59:30.000","2021-08-01T00:20:32.000","112","198",
"HV0003","B02764","2021-07-31T23:59:30.000","2021-08-01T00:20:29.000","206","172",
"HV0005","B02510","2021-07-31T23:59:30.000","2021-08-01T00:12:16.000","62","225",
"HV0003","B02869","2021-07-31T23:59:30.000","2021-08-01T00:26:04.000","234","265",
"HV0003","B02765","2021-07-31T23:59:30.000","2021-08-01T00:04:05.000","184","184",
"HV0003","B02889","2021-07-31T23:59:30.000","2021-08-01T00:12:54.000","76","76",
"HV0003","B02878","2021-07-31T23:59:30.000","2021-08-01T00:04:24.000","211","249",
"HV0003","B02884","2021-07-31T23:59:30.000","2021-08-01T00:05:03.000","101","101",
"HV0003","B02872","2021-07-31T23:59:30.000","2021-08-01T00:17:53.000","151","246",
"HV0005","B02510","2021-07-31T23:59:30.000","2021-08-01T00:24:13.000","249","49",
"HV0003","B02882","2021-07-31T23:59:29.000","2021-08-01T00:13:56.000","14","55",
"HV0005","B02510","2021-07-31T23:59:29.000","2021-08-01T00:13:37.000","72","188",
"HV0003","B02875","2021-07-31T23:59:29.000","2021-08-01T00:15:41.000","113","232",
"HV0003","B02878","2021-07-31T23:59:29.000","2021-08-01T00:16:10.000","127","94",
"HV0003","B02617","2021-07-31T23:59:29.000","2021-08-01T00:34:24.000","205","60",
"HV0003","B02872","2021-07-31T23:59:29.000","2021-08-01T00:05:32.000","29","123",
"HV0003","B02875","2021-07-31T23:59:29.000","2021-08-01T00:36:18.000","186","61",
"HV0003","B02872","2021-07-31T23:59:29.000","2021-08-01T00:19:58.000","140","249",
"HV0003","B02876","2021-07-31T23:59:29.000","2021-08-01T00:36:34.000","148","29",
"HV0005","B02510","2021-07-31T23:59:29.000","2021-08-01T00:06:47.000","74","238",
"HV0003","B02836","2021-07-31T23:59:29.000","2021-08-01T00:14:00.000","148","90",
"HV0003","B02617","2021-07-31T23:59:29.000","2021-08-01T00:16:15.000","158","148",
"HV0005","B02510","2021-07-31T23:59:29.000","2021-08-01T00:16:12.000","170","80",
"HV0003","B02764","2021-07-31T23:59:29.000","2021-08-01T00:15:05.000","74","69",
"HV0003","B02867","2021-07-31T23:59:28.000","2021-08-01T00:13:43.000","61","177",
"HV0003","B02875","2021-07-31T23:59:28.000","2021-08-01T00:44:30.000","48","17",
