"oid","blockcode","geo_id","bctcb2010","borocode","nta_code","nta_name","borough","puma","maximum_residential_broadband","residential_isp_count_by","commerical_fiber_count_by"
"109","360610018005003","360610018005","10018005003","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"110","360610018007000","360610018007","10018007000","1","MN27","Chinatown","Manhattan","3809","940","2","3"
"111","360610018007001","360610018007","10018007001","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"112","360610018001000","360610018001","10018001000","1","MN27","Chinatown","Manhattan","3809","940","2","2"
"113","360610018001004","360610018001","10018001004","1","MN27","Chinatown","Manhattan","3809","940","1","1"
"114","360610018006000","360610018006","10018006000","1","MN27","Chinatown","Manhattan","3809","940","1","1"
"115","360610018006001","360610018006","10018006001","1","MN27","Chinatown","Manhattan","3809","940","1","1"
"116","360610006001001","360610006001","10006001001","1","MN28","Lower East Side","Manhattan","3809","940","2","3"
"117","360610006001000","360610006001","10006001000","1","MN28","Lower East Side","Manhattan","3809","940","2","3"
"118","360610006003001","360610006003","10006003001","1","MN28","Lower East Side","Manhattan","3809","940","1","3"
"119","360610006001002","360610006001","10006001002","1","MN28","Lower East Side","Manhattan","3809","940","2","3"
"120","360610006002000","360610006002","10006002000","1","MN28","Lower East Side","Manhattan","3809","940","2","3"
"121","360610006002001","360610006002","10006002001","1","MN28","Lower East Side","Manhattan","3809","940","2","3"
"122","360610006002002","360610006002","10006002002","1","MN28","Lower East Side","Manhattan","3809","940","2","3"
"123","360610006002003","360610006002","10006002003","1","MN28","Lower East Side","Manhattan","3809","940","2","3"
"124","360610006002004","360610006002","10006002004","1","MN28","Lower East Side","Manhattan","3809","940","2","4"
"125","360610006003000","360610006003","10006003000","1","MN28","Lower East Side","Manhattan","3809","940","1","3"
"126","360610006003002","360610006003","10006003002","1","MN28","Lower East Side","Manhattan","3809","940","1","2"
"127","360610006004000","360610006004","10006004000","1","MN28","Lower East Side","Manhattan","3809","940","2","3"
"128","360610006004001","360610006004","10006004001","1","MN28","Lower East Side","Manhattan","3809","940","1","2"
"129","360610006005000","360610006005","10006005000","1","MN28","Lower East Side","Manhattan","3809","940","2","3"
"130","360610006005002","360610006005","10006005002","1","MN28","Lower East Side","Manhattan","3809","940","2","3"
"131","360610006006000","360610006006","10006006000","1","MN28","Lower East Side","Manhattan","3809","940","2","3"
"132","360610006006001","360610006006","10006006001","1","MN28","Lower East Side","Manhattan","3809","940","2","3"
"133","360610006006002","360610006006","10006006002","1","MN28","Lower East Side","Manhattan","3809","940","2","3"
"134","360610006006003","360610006006","10006006003","1","MN28","Lower East Side","Manhattan","3809","940","1","2"
"135","360610006006004","360610006006","10006006004","1","MN28","Lower East Side","Manhattan","3809","940","1","2"
"136","360610006000001","360610006000","10006000001","1","MN28","Lower East Side","Manhattan","3809",,,
"137","360610006002005","360610006002","10006002005","1","MN28","Lower East Side","Manhattan","3809","940","2","2"
"138","360610006002006","360610006002","10006002006","1","MN28","Lower East Side","Manhattan","3809","940","1","1"
"139","360610006005001","360610006005","10006005001","1","MN28","Lower East Side","Manhattan","3809","940","2","2"
"140","360610078004002","360610078004","10078004002","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","4"
"141","360610078002004","360610078002","10078002004","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","3"
"142","360610078006002","360610078006","10078006002","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","940","2","3"
"143","360610078001001","360610078001","10078001001","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","4"
"144","360610078002002","360610078002","10078002002","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","940","2","3"
"145","360610078007000","360610078007","10078007000","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","3"
"146","360610078002003","360610078002","10078002003","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","940","2","4"
"147","360610078004001","360610078004","10078004001","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","940","2","4"
"148","360610078001000","360610078001","10078001000","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","5"
"149","360610078002000","360610078002","10078002000","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","4"
"150","360610078002005","360610078002","10078002005","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","4"
"151","360610078003000","360610078003","10078003000","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","3"
"152","360610078004000","360610078004","10078004000","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","3"
"153","360610078005003","360610078005","10078005003","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","5"
"154","360610078006000","360610078006","10078006000","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","4","5"
"155","360610078007001","360610078007","10078007001","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","4"
"156","360610078002001","360610078002","10078002001","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","940","1","2"
"157","360610078005001","360610078005","10078005001","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","940","1","2"
"158","360610078005002","360610078005","10078005002","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","940","1","3"
"159","360610078006001","360610078006","10078006001","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","940","2","3"
"160","360610078006004","360610078006","10078006004","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","940","1","2"
"161","360610078005000","360610078005","10078005000","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","940","2","2"
"162","360610078006003","360610078006","10078006003","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","940","2","2"
"163","360610078006005","360610078006","10078006005","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","940","1","1"
"164","360610015022001","360610015022","10015022001","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","1000","3","3"
"165","360610015021001","360610015021","10015021001","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","1000","3","7"
"166","360610015021003","360610015021","10015021003","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","1000","3","7"
"167","360610015021004","360610015021","10015021004","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","1000","3","9"
"168","360610015022004","360610015022","10015022004","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","2","7"
"169","360610015022006","360610015022","10015022006","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","1000","3","5"
"170","360610015021002","360610015021","10015021002","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","2","3"
"171","360610015021005","360610015021","10015021005","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","1000","3","9"
"172","360610015021006","360610015021","10015021006","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","2","6"
"173","360610015021008","360610015021","10015021008","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","2","5"
"174","360610015021009","360610015021","10015021009","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","1000","3","6"
"175","360610015021010","360610015021","10015021010","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","1000","3","7"
"176","360610015022002","360610015022","10015022002","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","2","7"
"177","360610015022005","360610015022","10015022005","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","1000","3","5"
"178","360610015022008","360610015022","10015022008","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","2","4"
"179","360610015020001","360610015020","10015020001","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810",,,
"180","360610015021000","360610015021","10015021000","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","3","5"
"181","360610015021007","360610015021","10015021007","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","1","3"
"182","360610015021011","360610015021","10015021011","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","1","3"
"183","360610015022000","360610015022","10015022000","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","2","3"
"184","360610015022003","360610015022","10015022003","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","1000","3","4"
"185","360610015022007","360610015022","10015022007","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","1000","3","4"
"186","360610015022009","360610015022","10015022009","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","1","2"
"187","360610015022010","360610015022","10015022010","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","2","4"
"188","360610015022011","360610015022","10015022011","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","2","3"
"189","360610015022012","360610015022","10015022012","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","1000","3","4"
"190","360610015022013","360610015022","10015022013","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","1","2"
"191","360610015022014","360610015022","10015022014","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","1","1"
"192","360610015022015","360610015022","10015022015","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","1","4"
"193","360610015023000","360610015023","10015023000","1","MN25","Battery Park City-Lower Manhattan","Manhattan","3810","940","1","2"
"194","360610042001000","360610042001","10042001000","1","MN22","East Village","Manhattan","3809","1000","3","4"
"195","360610042002000","360610042002","10042002000","1","MN22","East Village","Manhattan","3809","940","2","3"
"196","360610042001002","360610042001","10042001002","1","MN22","East Village","Manhattan","3809","1000","3","3"
"197","360610042002001","360610042002","10042002001","1","MN22","East Village","Manhattan","3809","940","2","3"
"198","360610042002003","360610042002","10042002003","1","MN22","East Village","Manhattan","3809","940","1","3"
"199","360610042002002","360610042002","10042002002","1","MN22","East Village","Manhattan","3809","940","2","4"
"200","360610042001001","360610042001","10042001001","1","MN22","East Village","Manhattan","3809","1000","3","5"
"201","360610042002004","360610042002","10042002004","1","MN22","East Village","Manhattan","3809","940","1","2"
"202","360610042002005","360610042002","10042002005","1","MN22","East Village","Manhattan","3809","940","1","2"
"203","360610040001000","360610040001","10040001000","1","MN22","East Village","Manhattan","3809","1000","3","3"
"204","360610040006000","360610040006","10040006000","1","MN22","East Village","Manhattan","3809","940","2","4"
"205","360610040002000","360610040002","10040002000","1","MN22","East Village","Manhattan","3809","940","3","3"
"206","360610040001001","360610040001","10040001001","1","MN22","East Village","Manhattan","3809","940","2","3"
"207","360610040002001","360610040002","10040002001","1","MN22","East Village","Manhattan","3809","940","2","3"
"208","360610040003000","360610040003","10040003000","1","MN22","East Village","Manhattan","3809","940","2","3"
"209","360610040003001","360610040003","10040003001","1","MN22","East Village","Manhattan","3809","940","2","3"
"210","360610040003002","360610040003","10040003002","1","MN22","East Village","Manhattan","3809","940","1","2"
"211","360610040004000","360610040004","10040004000","1","MN22","East Village","Manhattan","3809","940","2","3"
"212","360610040005000","360610040005","10040005000","1","MN22","East Village","Manhattan","3809","940","2","3"
"213","360610040005001","360610040005","10040005001","1","MN22","East Village","Manhattan","3809","1000","3","3"
"214","360610040006001","360610040006","10040006001","1","MN22","East Village","Manhattan","3809","940","3","4"
"215","360610070006000","360610070006","10070006000","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","4"
"216","360610070001000","360610070001","10070001000","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","940","2","5"
"217","360610070002000","360610070002","10070002000","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","4"
"218","360610070002001","360610070002","10070002001","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","4","6"
"219","360610070003001","360610070003","10070003001","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","940","2","3"
"220","360610070005000","360610070005","10070005000","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","4"
"221","360610070001001","360610070001","10070001001","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","4"
"222","360610070003000","360610070003","10070003000","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","4"
"223","360610070004000","360610070004","10070004000","1","MN20","Murray Hill-Kips Bay","Manhattan","3808","1000","3","3"
"224","360610031001007","360610031001","10031001007","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","3"
"225","360610031001000","360610031001","10031001000","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","4"
"226","360610031001003","360610031001","10031001003","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","5"
"227","360610031001004","360610031001","10031001004","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","3"
"228","360610031001009","360610031001","10031001009","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","4"
"229","360610031001010","360610031001","10031001010","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","4"
"230","360610031001014","360610031001","10031001014","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","4"
"231","360610031001015","360610031001","10031001015","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","5"
"232","360610031001001","360610031001","10031001001","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","4"
"233","360610031001005","360610031001","10031001005","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","4"
"234","360610031001011","360610031001","10031001011","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","1000","3","4"
"235","360610031001002","360610031001","10031001002","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","3"
"236","360610031001006","360610031001","10031001006","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","3"
"237","360610031001008","360610031001","10031001008","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"238","360610031001012","360610031001","10031001012","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","4"
"239","360610031001013","360610031001","10031001013","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"240","360610031001016","360610031001","10031001016","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","3"
"241","360610031001017","360610031001","10031001017","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","3"
"242","360610031001018","360610031001","10031001018","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"243","360610031001019","360610031001","10031001019","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"244","360610031001020","360610031001","10031001020","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"245","360610031001021","360610031001","10031001021","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"246","360610031001022","360610031001","10031001022","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","4"
"247","360610033001006","360610033001","10033001006","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","3"
"248","360610033001002","360610033001","10033001002","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","3","6"
"249","360610033002000","360610033002","10033002000","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","3"
"250","360610033002001","360610033002","10033002001","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","1000","2","7"
"251","360610033003003","360610033003","10033003003","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","7"
"252","360610033003021","360610033003","10033003021","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","1000","2","13"
