"objectid","dbh","tpstructure","tpcondition","stumpdiameter","plantingspaceglobalid","geometry","globalid","genusspecies","createddate","updateddate","planteddate","riskrating","riskratingdate","location"
"89632","24","Stump","Poor",,"8B439710-A036-411D-810D-EFDCE9ADDF5B","POINT (-73.9420528267876875 40.6718019956114318)","EB0B3E3B-03D8-4059-A04E-31D6F7AC4E3E","Platanus x acerifolia - London planetree","2015-03-04 05:00:00.0000000","2015-03-27 04:00:00.0000000",,,,"POINT (-73.94205282678769 40.67180199561143)"
"90023","11","Retired","Dead",,"CAEE2FF2-EE07-40CC-847E-A554DA5C0D2E","POINT (-74.1308713550198206 40.6065797258052115)","DBC215C9-8576-44BF-AD2C-1CEEC8402A04","Acer platanoides - Norway maple","2015-03-04 05:00:00.0000000","2017-09-11 08:50:47.0000000",,,,"POINT (-74.13087135501982 40.60657972580521)"
"90423","8","Retired","Dead","10","710AE376-7FD6-4146-B5A8-1174A4DBCADA","POINT (-73.9935265201868191 40.7220358803581206)","3F232143-9B90-4E43-85F1-D2FB0589FDCB","Pyrus calleryana - Callery pear","2015-03-05 05:00:00.0000000","2023-02-02 16:38:00.0000000",,"7","2022-06-13 15:33:00.0000000","POINT (-73.99352652018682 40.72203588035812)"
"90823","18","Full","Fair",,"B3E480C9-E951-4EB8-BF00-2A6BBC68A701","POINT (-73.9457330273540521 40.6807275850500716)","5AE610CF-7ABB-416D-8852-58EF62A35DB3","Gleditsia triacanthos var. inermis - Thornless honeylocust","2015-03-06 05:00:00.0000000","2023-07-20 16:05:50.0000000",,"8","2023-07-20 16:05:50.0000000","POINT (-73.94573302735405 40.68072758505007)"
"90824","16","Retired","Unknown",,"8EE97251-0953-4A33-9050-4950F2318BC8","POINT (-74.1310220441123278 40.6012840349809423)","FFB7B0CB-2B9A-40F6-8507-0535F363BD17","Acer saccharinum - silver maple","2015-04-08 10:29:00.0000000","2021-11-26 19:19:28.0000000",,,,"POINT (-74.13102204411233 40.60128403498094)"
"91223","16","Retired","Unknown","16","877312FA-0D7B-4508-9AAB-C50F8A48B9E4","POINT (-74.1310884583301402 40.6012774071790901)","5541167A-B22A-437C-A4E6-8B0704203FD6","Acer saccharinum - silver maple","2015-04-08 10:34:00.0000000","2017-04-11 10:10:24.0000000",,,,"POINT (-74.13108845833014 40.60127740717909)"
"91623","18","Full","Fair",,"D8247903-EBCC-47E6-8736-48B593B1E2B9","POINT (-74.1309205729631771 40.6012987106399521)","C0A5D089-61B5-4990-BB2D-4F8F395107D2","Acer saccharinum - silver maple","2015-03-06 05:00:00.0000000","2021-11-26 19:24:59.0000000",,"7","2021-11-26 19:24:59.0000000","POINT (-74.13092057296318 40.60129871063995)"
"91624","20","Retired","Unknown","20","09AC76E0-89DD-4551-8FC7-D31CEB4E46D7","POINT (-74.1308196743280092 40.6013027311586399)","2ADD717B-E5B0-4C32-80CF-A68A9C4B1EC3","Acer saccharinum - silver maple","2015-04-08 10:39:00.0000000","2017-04-11 10:10:39.0000000",,,,"POINT (-74.13081967432801 40.60130273115864)"
"92023","10","Retired","Poor",,"FAD30141-44AD-4A95-BA52-F06FE2387F97","POINT (-73.9877138317714440 40.7629019737487326)","F763D1C0-3020-434A-AD05-F61D69CEC648","Pyrus calleryana - Callery pear","2015-03-08 05:00:00.0000000","2018-02-21 11:49:59.0000000",,"7","2017-10-30 04:00:00.0000000","POINT (-73.98771383177144 40.76290197374873)"
"92024","12","Retired","Dead",,"4EE7B013-A06E-46D8-9818-B560C49E9180","POINT (-73.9876409817818796 40.7628698015765849)","4969C73F-543E-4638-B4ED-3D820B02DA21","Pyrus calleryana - Callery pear","2015-03-08 05:00:00.0000000","2021-12-07 19:35:37.0000000",,"7","2020-08-04 15:29:00.0000000","POINT (-73.98764098178188 40.762869801576585)"
"92423","4","Retired","Good",,"A25C0602-5BC6-478E-9DEF-7043F23C3454","POINT (-73.7263796655233534 40.7257220614209956)","AF2DD244-1122-4BBB-B5FC-83E1CDFD3CD7","Cercis canadensis - eastern redbud","2015-03-09 04:00:00.0000000","2017-12-05 08:47:46.0000000",,,,"POINT (-73.72637966552335 40.725722061420996)"
"92424","24","Retired","Unknown",,"568A662E-15D4-4E57-BD16-F9D55D9C80A2","POINT (-73.9557523710910232 40.7685265007756783)","911153D0-F00A-41B3-A79A-809790EC9420","Pyrus calleryana - Callery pear","2015-03-09 04:00:00.0000000","2020-01-29 16:52:00.0000000",,,,"POINT (-73.95575237109102 40.76852650077568)"
"92823","18","Full","Fair",,"2B1B37B1-37A3-4210-878B-DBA3CFBA29DC","POINT (-73.9854775259179007 40.7181852295283875)","9D2488AC-3B5E-4239-B6A1-0D0B4744847E","Pyrus calleryana - Callery pear","2015-03-09 04:00:00.0000000","2018-04-06 13:58:16.0000000",,,,"POINT (-73.9854775259179 40.71818522952839)"
"92824","30","Retired","Good",,"92FFFF33-89EA-489F-9460-C3EBF56ECCA6","POINT (-73.7386698105784291 40.7203093161584349)","230C109D-B900-427A-92F1-D14C5BB40C51","Quercus palustris - pin oak","2015-03-09 04:00:00.0000000","2017-12-01 12:15:28.0000000",,,,"POINT (-73.73866981057843 40.720309316158435)"
"92825","4","Full","Good",,"6006AC89-CBD3-404A-9775-CCEA2CC7212F","POINT (-74.0107720466828880 40.7250435213771667)","8AA3C30A-9F05-47B9-B345-17C6741F6164","Gleditsia triacanthos var. inermis - Thornless honeylocust","2015-03-09 04:00:00.0000000","2021-01-26 15:17:16.0000000",,"5","2021-01-26 15:17:16.0000000","POINT (-74.01077204668289 40.72504352137717)"
"92826","19","Full","Good",,"5FA53832-1420-44E7-B6C2-AC7601E2729C","POINT (-73.8088963149131132 40.7109087214598304)","DF7840E2-3BE0-415A-A1EF-88DB38E93B20","Acer buergerianum - trident maple","2015-03-09 04:00:00.0000000",,,,,"POINT (-73.80889631491311 40.71090872145983)"
"92827","13","Full","Good",,"A783840B-36A9-475B-BEE1-E8B2248F6333","POINT (-73.9445209132974099 40.7796698088564540)","3898A869-3706-44D3-A30D-7828BA2299B2","Gleditsia triacanthos var. inermis - Thornless honeylocust","2015-03-09 04:00:00.0000000","2022-05-31 13:47:31.0000000",,"4","2022-05-31 13:47:31.0000000","POINT (-73.94452091329741 40.779669808856454)"
"92828","36","Stump","Poor",,"F2FAA9DF-F587-44C8-8B86-25D72AE4E287","POINT (-73.8455160751631041 40.6816144445412746)","8AC2480E-188A-4771-90F2-41C44F12DE5A","Quercus palustris - pin oak","2015-03-09 04:00:00.0000000","2015-03-20 04:00:00.0000000",,,,"POINT (-73.8455160751631 40.681614444541275)"
"92829","9","Retired","Unknown",,"CE09E6F2-15F7-4353-93F1-D9EE92A98A02","POINT (-73.9461412303027572 40.8311527811318484)","54722507-DB54-4499-86A1-FEC6EB922E66","Tilia cordata - littleleaf linden","2015-03-09 04:00:00.0000000","2016-08-05 12:32:00.0000000",,,,"POINT (-73.94614123030276 40.83115278113185)"
"92830","10","Retired","Dead",,"BDF7324E-C3BE-4F38-B2D5-9BC4BB465E89","POINT (-73.8526577538962812 40.8793914615932579)","4B97CBB2-B204-4509-8808-A3569189589F","Prunus cerasifera - cherry plum","2015-03-09 04:00:00.0000000","2016-06-13 14:20:00.0000000",,,,"POINT (-73.85265775389628 40.87939146159326)"
"93223","16","Full","Fair",,"0291F2B2-E63E-4992-85D6-D987A019D9FC","POINT (-74.0038238775131276 40.7378967554477072)","A1B51BE2-D02F-4D02-9DB5-654DEEAF84BA","Acer - maple","2015-03-09 04:00:00.0000000","2019-11-01 19:13:37.0000000",,"6","2019-11-01 19:13:37.0000000","POINT (-74.00382387751313 40.73789675544771)"
"93224","0","Retired","Dead","18","7760CDB3-7F87-4115-97A7-5E58D4BC2B40","POINT (-73.7261306428160310 40.7352810244039816)","585EEE85-0809-4E70-B38F-418033902E51","Acer platanoides - Norway maple","2015-03-09 04:00:00.0000000","2017-11-14 13:17:00.0000000",,,,"POINT (-73.72613064281603 40.73528102440398)"
"93225","4","Retired","Poor","4","6C99D4EF-9481-4A43-B94E-DB80923312C8","POINT (-73.9856923171743830 40.7318353524249872)","925EB161-3E0B-4F73-B45A-257B03DAF1E0","Pyrus calleryana - Callery pear","2015-03-09 04:00:00.0000000","2022-09-14 17:15:23.0000000",,,,"POINT (-73.98569231717438 40.73183535242499)"
"93227","27","Full","Good",,"99FE920F-5C68-4F25-B042-38BED8A72177","POINT (-73.7331248022006633 40.7222639193264584)","64244044-ACA0-40BD-B96A-093DEE915CA6","Platanus occidentalis - American sycamore","2015-03-09 04:00:00.0000000","2020-03-02 16:01:23.0000000",,"6","2020-03-02 16:01:23.0000000","POINT (-73.73312480220066 40.72226391932646)"
"93228","8","Retired","Unknown",,"AC4BB13F-02D6-4975-A18F-1FFBD4B72EF3","POINT (-73.9461663150635360 40.8311641096407598)","74F37A66-C783-4577-ADAA-734146D5AD48","Tilia cordata - littleleaf linden","2015-03-09 04:00:00.0000000","2016-01-26 13:26:00.0000000",,,,"POINT (-73.94616631506354 40.83116410964076)"
"93625","20","Retired","Good",,"F6FBE1E0-C633-46A4-807D-2EED2E3B32FA","POINT (-73.9804583884554745 40.6386327393789344)","72337C70-A97A-4959-A654-E31F97803F66","Acer platanoides - Norway maple","2015-03-09 04:00:00.0000000","2019-08-07 14:27:58.0000000",,,,"POINT (-73.98045838845547 40.638632739378934)"
"94023","12","Retired","Dead",,"624FD0B1-4440-4F0A-894A-6A9B1A692964","POINT (-73.8575233915723857 40.8806620092063966)","78CD7F63-4493-4C6A-BEC7-E4B93F07BF6D","Zelkova serrata - Japanese zelkova","2015-03-10 04:00:00.0000000","2019-03-18 16:35:25.0000000",,,,"POINT (-73.85752339157239 40.8806620092064)"
"94024","3","Full","Unknown",,"757328E2-3378-4C45-971F-886BF556E8CD","POINT (-73.7499973190097080 40.6873751205686247)","68DD99A3-DB78-45A3-A79B-B748389E5FE6","Acer campestre - hedge maple","2015-03-10 04:00:00.0000000","2018-03-26 09:49:20.0000000",,"3","2017-04-20 09:57:22.0000000","POINT (-73.74999731900971 40.687375120568625)"
"94025","12","Retired","Critical",,"2EAB0B2A-F17C-428A-8CFB-2E8F3497F735","POINT (-73.9222049683197611 40.6081029507373543)","C40C4778-243C-4BE3-A3D6-ECB0F5838BCC","Tilia x. europaea - Common linden","2015-03-10 04:00:00.0000000","2017-04-13 11:11:11.0000000",,,,"POINT (-73.92220496831976 40.608102950737354)"
"94026","27","Full","Good",,"B914F50F-66E2-4665-A74C-EF38E1F4439C","POINT (-73.7976124721417079 40.7720037730735498)","BC569266-A28D-403A-A727-4F2268187E1E","Platanus x acerifolia - London planetree","2015-03-10 04:00:00.0000000","2017-02-13 06:13:44.0000000",,,,"POINT (-73.79761247214171 40.77200377307355)"
"94027","14","Stump","Good",,"77728080-487B-4FE8-AE8B-4CE07538A74B","POINT (-73.7709483207372756 40.7463121442995941)","9B345525-8F5D-4695-8193-26E5D3190080","Acer platanoides - Norway maple","2015-03-10 04:00:00.0000000","2019-09-25 18:39:00.0000000",,,,"POINT (-73.77094832073728 40.746312144299594)"
"94028","42","Full","Fair",,"2F0C0FC8-75AE-49A3-8EF7-60388FCAB917","POINT (-73.7785646756924791 40.7496111821781213)","4D5590A2-D335-41DB-9FBA-06636D8B3E70","Quercus palustris - pin oak","2015-03-10 04:00:00.0000000","2018-01-31 08:40:41.0000000",,"8","2018-01-31 08:40:41.0000000","POINT (-73.77856467569248 40.74961118217812)"
"94423","3","Retired","Excellent",,"EB85EFF6-B658-4419-87F1-640983144DDD","POINT (-73.8626212890814315 40.8667684138496341)","C6817D14-4FF0-429E-9704-BD60AAD7B788","Acer platanoides 'Not Green Leaf' - 'Not Green Leaf' Norway maple","2015-03-10 04:00:00.0000000","2019-02-05 15:06:24.0000000",,,,"POINT (-73.86262128908143 40.866768413849634)"
"94424","18","Retired","Poor",,"462E1DE0-B006-4AA4-9876-4CE54597585C","POINT (-74.1335151640083723 40.6181657235814697)","876E5D36-AD66-4B2A-BB86-FB7EB4138C34","Aesculus hippocastanum - horse chestnut","2015-03-10 04:00:00.0000000","2016-09-09 11:20:20.0000000",,,,"POINT (-74.13351516400837 40.61816572358147)"
"94425","10","Retired","Poor",,"6D904278-B4B3-4197-A77F-0707135A8D2E","POINT (-74.1338703432420374 40.5988604582317549)","6B1279A4-3F0D-4E28-9F2B-BF8E272AEBAF","Tilia cordata - littleleaf linden","2015-03-10 04:00:00.0000000","2016-10-05 13:40:20.0000000",,,,"POINT (-74.13387034324204 40.598860458231755)"
"94426","2","Retired","Critical",,"DDC385AF-B0F2-43FF-B54A-B7F922F0A5F1","POINT (-73.9934154523583487 40.6641418005223159)","560AADE4-1A81-443D-ADBA-412DCEF4899A","Ginkgo biloba - maidenhair tree","2015-03-10 04:00:00.0000000","2019-03-01 15:31:00.0000000",,,,"POINT (-73.99341545235835 40.664141800522316)"
"94427","35","Full","Poor",,"E9D2728E-E15E-4B65-82D4-DBB46C5EB766","POINT (-73.8990805846024159 40.7577647616506056)","3D0E5037-9EC3-41C0-8460-2FBC49CE2A70","Tilia x. europaea - Common linden","2015-03-10 04:00:00.0000000","2020-08-12 19:26:26.0000000",,"7","2020-08-12 19:26:26.0000000","POINT (-73.89908058460242 40.757764761650606)"
"94428","15","Full","Poor",,"D1DAA292-6756-4129-9842-2691BD2C87D2","POINT (-73.8892603234463081 40.7714001290851868)","EB3FDDB5-7EB3-4E14-8138-A199C812A6C9","Acer platanoides - Norway maple","2015-03-10 04:00:00.0000000","2016-10-11 15:13:38.0000000",,,,"POINT (-73.88926032344631 40.77140012908519)"
"94823","22","Full","Good",,"C8E1BAF8-B507-4E2A-BA4A-7318752FEA87","POINT (-73.9217630781089099 40.7368782604169155)","06FC8063-71FC-4142-A813-80FF2882EAE7","Platanus x acerifolia - London planetree","2015-03-10 04:00:00.0000000",,,,,"POINT (-73.92176307810891 40.736878260416916)"
"94824","28","Retired","Unknown","28","8AADD266-D82F-4623-BA41-5D91D30233F5","POINT (-74.1149398062367482 40.6158399175707103)","131916EB-2AD7-4A64-9F9B-E6F2161AB7E8","Acer - maple","2015-07-23 16:13:31.0000000","2016-10-12 13:17:20.0000000",,,,"POINT (-74.11493980623675 40.61583991757071)"
"95223","10","Retired","Dead",,"968BA8D4-8193-4803-88F7-274297801327","POINT (-74.1285209978016439 40.6068294716452840)","721B859B-53EB-4F14-AE19-EB1F7D3DEB92","Acer - maple","2015-03-10 04:00:00.0000000","2016-10-04 11:42:13.0000000",,,,"POINT (-74.12852099780164 40.606829471645284)"
"95624","6","Full","Fair",,"4F63C29D-896E-420E-A44D-F69499BB0CDE","POINT (-73.7387453976871399 40.6556888690116836)","831738DB-B37E-4475-8821-CC458E789570","Quercus palustris - pin oak","2015-03-11 04:00:00.0000000","2023-04-13 15:04:15.0000000",,"6","2023-04-13 15:03:33.0000000","POINT (-73.73874539768714 40.65568886901168)"
"95625","20","Full","Fair",,"E41F7509-8FFB-4533-8AD0-BB53FD9024BA","POINT (-73.9329766803402748 40.6806903352695173)","C2062E33-3321-427E-AC18-926C62E0AFE6","Quercus phellos - willow oak","2015-03-11 04:00:00.0000000","2017-11-21 04:11:11.0000000",,"10","2017-08-14 10:07:24.0000000","POINT (-73.93297668034027 40.68069033526952)"
"95626","7","Full","Fair",,"F2F51901-06E4-4941-8A2C-365346908761","POINT (-74.0702517467610164 40.6110996332301895)","49F09EEB-BD00-4906-8106-D665EEE1B54B","Gleditsia triacanthos var. inermis - Thornless honeylocust","2015-03-11 04:00:00.0000000","2022-06-15 14:03:00.0000000",,"6","2022-01-21 16:46:00.0000000","POINT (-74.07025174676102 40.61109963323019)"
"95627","24","Retired","Dead","21","D1C8F2EE-716C-48EC-A042-A81157CCD025","POINT (-74.1002335702762025 40.6303509523447062)","43A9125F-E5A3-4C0A-8F89-52DCA9A75C6D","Acer platanoides - Norway maple","2015-03-11 04:00:00.0000000","2019-02-01 18:47:55.0000000",,,,"POINT (-74.1002335702762 40.630350952344706)"
"95628","24","Retired","Dead","25","03E02A15-69F8-400D-A398-7A0EAF3D2ECD","POINT (-73.7981754367322651 40.7734347273561752)","8E69E24C-1D68-4951-92D5-40FE7FB4377C","Acer saccharinum - silver maple","2015-03-11 04:00:00.0000000","2017-04-20 07:58:09.0000000",,,,"POINT (-73.79817543673227 40.773434727356175)"
"96023","18","Full","Fair",,"AEFED561-2B48-44B5-9362-C727AD875013","POINT (-73.9528555673302463 40.7984793501061347)","9A846DCA-4124-4D81-AE60-EC6DC3C0905E","Ginkgo biloba - maidenhair tree","2015-03-11 04:00:00.0000000","2023-04-06 12:08:43.0000000",,"4","2023-04-06 12:08:43.0000000","POINT (-73.95285556733025 40.798479350106135)"
"96024","10","Retired","Poor","10","60EA9E6B-DC66-4FEC-BF73-737BBF6F2E6B","POINT (-74.0626105181923151 40.6095016991854365)","1CC1D1DB-E74D-4F23-B34D-116A3677D228","Acer - maple","2015-03-11 04:00:00.0000000","2016-12-06 08:01:03.0000000",,,,"POINT (-74.06261051819232 40.60950169918544)"
"96025","3","Retired","Dead",,"214BE02E-5353-4879-A6FA-C5BF51ADC799","POINT (-74.0636954026935257 40.6106062188996901)","D7A32B8E-1622-4DAD-97B8-B4DDC3416542","Prunus cerasifera - cherry plum","2015-03-11 04:00:00.0000000","2015-03-25 04:00:00.0000000",,,,"POINT (-74.06369540269353 40.61060621889969)"
"96026","22","Full","Good",,"F8672F08-D92E-440F-8AC3-6248F272F82A","POINT (-73.9557957277577458 40.8144129515653233)","C2FA5D21-1113-4987-B002-1C89886D0C4B","Quercus palustris - pin oak","2015-03-11 04:00:00.0000000","2019-06-13 17:20:36.0000000",,"9","2019-06-13 12:30:18.0000000","POINT (-73.95579572775775 40.81441295156532)"
"96027","26","Retired","Dead",,"2421DF8B-73D1-4F3F-A137-BC27035E620F","POINT (-73.8338865322118778 40.6933171485149856)","5D9783E0-E0EB-4DE5-B806-C121BE0C5F91","Fraxinus pennsylvanica - Green ash","2015-03-11 04:00:00.0000000","2018-05-09 13:07:00.0000000",,,,"POINT (-73.83388653221188 40.693317148514986)"
"96028","20","Retired","Poor","20","81408ADA-E137-48C1-9536-76CEEE5D49A0","POINT (-74.0719501534118621 40.6109781192889017)","C154AB18-EFE9-44AF-A615-59D675C21EE7","Quercus palustris - pin oak","2015-03-11 04:00:00.0000000","2016-12-06 08:03:31.0000000",,,,"POINT (-74.07195015341186 40.6109781192889)"
"96029","20","Retired","Dead","17","088C963B-A7AE-4457-8871-B8B6979D72BE","POINT (-74.0668141040773804 40.6136566899617080)","FD9BF78C-647B-47D8-A298-1C9609C338DB","Tilia cordata - littleleaf linden","2015-03-11 04:00:00.0000000","2017-03-18 13:40:00.0000000",,,,"POINT (-74.06681410407738 40.61365668996171)"
"96030","12","Full","Good",,"D309D545-9A62-4C7C-8FAB-8C7FD0619C68","POINT (-73.9183024350370204 40.6775118220189498)","A5889D64-7F83-4471-B979-1D09F3758125","Quercus palustris - pin oak","2015-03-11 04:00:00.0000000","2018-04-18 12:07:47.0000000",,"5","2018-04-18 12:07:47.0000000","POINT (-73.91830243503702 40.67751182201895)"
"96031","35","Retired","Dead","34","C338E864-C9B0-4CC5-9FD6-407FEC433652","POINT (-74.1411085892630837 40.6350245049402972)","F583CCEB-2C50-494B-921A-355D36994175","Acer - maple","2015-05-07 10:16:00.0000000","2016-01-26 15:08:00.0000000",,,,"POINT (-74.14110858926308 40.6350245049403)"
"96032","35","Retired","Good",,"026741F0-9E70-4ABF-BF84-740E3C184AE3","POINT (-73.7453906882797554 40.7246404610834105)","89D9E230-A86D-41AE-83F4-ACFE7AF7C559","Acer saccharinum - silver maple","2015-03-11 04:00:00.0000000","2017-11-27 13:25:16.0000000",,,,"POINT (-73.74539068827976 40.72464046108341)"
"96033","12","Retired","Poor",,"7694AFA5-FD19-4A6A-A37B-3909165D40B2","POINT (-73.9135897078403019 40.7720282721250626)","4C56B90D-A5A5-4B4F-B137-B68780C9AC27","Acer platanoides - Norway maple","2015-03-11 04:00:00.0000000","2022-03-25 13:51:38.0000000",,,,"POINT (-73.9135897078403 40.77202827212506)"
"96423","14","Retired","Fair","14","DC0872D4-5695-46BB-B18A-BB1BF0C36688","POINT (-74.0636598743663797 40.6109077817784723)","D76ABC03-CF2D-43E2-A73F-3B8987E1D2D3","Liquidambar styraciflua - sweetgum","2015-03-11 04:00:00.0000000","2018-02-14 13:31:31.0000000",,,,"POINT (-74.06365987436638 40.61090778177847)"
"96424","22","Stump","Unknown","22","B9C7D141-6C5F-474E-AA8E-003B3B4B11FC","POINT (-74.0315146768094792 40.6298268656186750)","B5F4EF9A-3267-478D-9D69-7EDFCFE09DE1","Acer platanoides - Norway maple","2015-03-11 04:00:00.0000000","2023-01-26 16:22:11.0000000",,"8","2022-02-14 16:53:00.0000000","POINT (-74.03151467680948 40.629826865618675)"
"96425","8","Retired","Dead",,"64A60C3B-1124-4F2F-80CA-6E6EE6EC5AD4","POINT (-74.0750582486491282 40.6098445091164706)","308E4312-9430-406E-9839-20DFCB8DF0E6","Quercus ellipsoidalis - northern pin oak","2015-03-11 04:00:00.0000000","2018-02-23 10:46:40.0000000",,,,"POINT (-74.07505824864913 40.60984450911647)"
"96426","23","Full","Fair",,"270BAE85-D920-4B1E-800F-EB240240ED43","POINT (-73.9303560964182367 40.6144842589832820)","5C388BD5-D434-45FD-9077-61112CDD31BE","Platanus x acerifolia - London planetree","2015-03-11 04:00:00.0000000","2022-12-06 19:53:12.0000000",,"7","2022-12-06 19:53:12.0000000","POINT (-73.93035609641824 40.61448425898328)"
"96428","27","Full","Good",,"5434DFCB-E38F-40E2-950A-56FDD523595E","POINT (-73.8529312477412816 40.8789735414114617)","BE53A203-3014-4200-940E-603EEDBEAEA4","Platanus x acerifolia - London planetree","2015-03-11 04:00:00.0000000","2023-02-02 11:53:48.0000000",,"3","2023-02-02 11:53:48.0000000","POINT (-73.85293124774128 40.87897354141146)"
"96429","23","Retired","Dead","0","2C87449D-345C-4EB0-9E3C-1821C76ECFB0","POINT (-73.9301234004764041 40.6907568223457616)","932B716F-8C0C-41B1-B0B1-BE9FE6E94209","Tilia cordata - littleleaf linden","2015-03-11 04:00:00.0000000","2018-10-29 14:17:45.0000000",,"9","2016-10-06 13:22:04.0000000","POINT (-73.9301234004764 40.69075682234576)"
