"vendorid","lpep_pickup_datetime","lpep_dropoff_datetime","store_and_fwd_flag","ratecodeid","pulocationid","dolocationid","passenger_count","trip_distance","fare_amount","extra","mta_tax","tip_amount","tolls_amount","ehail_fee","improvement_surcharge","total_amount","payment_type","trip_type","congestion_surcharge"
"2","2019-02-01T00:23:25.000","2019-02-01T00:27:55.000","N","1","255","112","1","1.14","5.5","0.5","0.5","1.7","0",,"0.3","8.5","1","1","0"
"2","2019-02-01T00:36:32.000","2019-02-01T01:04:46.000","N","1","255","143","1","7.69","25.5","0.5","0.5","5.36","0",,"0.3","32.16","1","1","0"
"1","2019-02-01T00:35:09.000","2019-02-01T00:37:39.000","N","1","49","49","1","0.60","4","0.5","0.5","0","0",,"0.3","5.3","2","1","0"
"2","2019-02-01T00:55:55.000","2019-02-01T00:55:59.000","N","1","42","42","1","0.02","2.5","0.5","0.5","0","0",,"0.3","3.8","2","1","0"
"1","2019-02-01T00:04:12.000","2019-02-01T00:22:42.000","N","5","116","241","2","5.00","7","0","0","0","0",,"0","7","4","2","0"
"2","2019-02-01T00:29:26.000","2019-02-01T01:02:17.000","N","1","112","216","1","11.21","35.5","0.5","0.5","0","0",,"0.3","36.8","2","1","0"
"2","2019-02-01T00:42:56.000","2019-02-01T01:07:51.000","N","1","66","225","2","7.73","25.5","0.5","0.5","3.5","0",,"0.3","30.3","1","1","0"
"1","2019-02-01T00:43:50.000","2019-02-01T00:49:30.000","Y","1","41","42","1","0.80","6","0.5","0.5","0","0",,"0.3","7.3","2","1","0"
"2","2019-02-01T00:31:30.000","2019-02-01T00:34:27.000","N","1","82","160","1","0.48","4","0.5","0.5","1","0",,"0.3","6.3","1","1","0"
"2","2019-02-01T00:48:10.000","2019-02-01T00:52:36.000","N","1","82","56","1","0.80","5","0.5","0.5","0","0",,"0.3","6.3","1","1","0"
"2","2019-02-01T00:07:40.000","2019-02-01T00:13:57.000","N","1","82","129","3","1.21","6.5","0.5","0.5","0","0",,"0.3","7.8","2","1","0"
"2","2019-02-01T00:32:41.000","2019-02-01T00:41:18.000","N","1","129","56","3","2.14","9","0.5","0.5","0","0",,"0.3","10.3","2","1","0"
"2","2019-02-01T01:01:08.000","2019-02-01T01:06:23.000","N","1","260","226","2","1.32","6.5","0.5","0.5","1.56","0",,"0.3","9.36","1","1","0"
"2","2019-02-01T00:10:03.000","2019-02-01T00:22:04.000","N","1","83","56","1","2.23","10","0.5","0.5","0","0",,"0.3","11.3","2","1","0"
"2","2019-02-01T00:35:27.000","2019-02-01T00:40:27.000","N","1","7","7","1","1.05","5.5","0.5","0.5","2","0",,"0.3","8.8","1","1","0"
"2","2019-02-01T00:50:18.000","2019-02-02T00:40:27.000","N","1","7","146","1","0.81","5","0.5","0.5","0","0",,"0.3","6.3","2","1","0"
"2","2019-02-01T00:09:52.000","2019-02-01T00:15:16.000","N","1","134","216","2","2.62","9","0.5","0.5","0","0",,"0.3","10.3","1","1","0"
"2","2019-02-01T00:23:28.000","2019-02-01T00:26:54.000","N","1","134","134","2","0.75","4.5","0.5","0.5","1.16","0",,"0.3","6.96","1","1","0"
"2","2019-02-01T00:16:15.000","2019-02-01T00:23:37.000","N","1","80","37","5","1.34","7","0.5","0.5","1.66","0",,"0.3","9.96","1","1","0"
"2","2019-02-01T00:35:40.000","2019-02-01T00:39:18.000","N","1","36","36","5","0.10","4","0.5","0.5","0","0",,"0.3","5.3","2","1","0"
"2","2019-02-01T00:44:32.000","2019-02-01T01:04:41.000","N","1","36","145","5","4.51","17","0.5","0.5","5.49","0",,"0.3","23.79","1","1","0"
"2","2019-02-01T00:19:51.000","2019-02-01T00:27:11.000","N","1","82","157","1","2.19","8.5","0.5","0.5","3","0",,"0.3","12.8","1","1","0"
"2","2019-02-01T00:40:43.000","2019-02-01T01:05:23.000","N","1","260","124","1","6.79","24","0.5","0.5","2","0",,"0.3","27.3","1","1","0"
"2","2019-02-01T00:03:16.000","2019-02-01T00:14:29.000","N","1","130","203","1","6.94","19.5","0.5","0.5","0","0",,"0.3","20.8","1","1","0"
"2","2019-02-01T00:34:18.000","2019-02-01T00:43:17.000","N","1","130","218","1","2.60","9.5","0.5","0.5","2.16","0",,"0.3","12.96","1","1","0"
"2","2019-02-01T00:48:25.000","2019-02-01T00:58:19.000","N","1","82","134","1","2.79","11","0.5","0.5","3.08","0",,"0.3","15.38","1","1","0"
"2","2019-02-01T00:48:45.000","2019-02-01T00:51:56.000","N","1","223","223","5","0.78","4.5","0.5","0.5","0","0",,"0.3","5.8","2","1","0"
"2","2019-02-01T00:14:41.000","2019-02-01T00:27:06.000","N","1","130","191","1","3.80","13","0.5","0.5","3.58","0",,"0.3","17.88","1","1","0"
"2","2019-02-01T00:31:53.000","2019-02-01T00:50:05.000","N","1","51","136","5","6.08","20","0.5","0.5","0","0",,"0.3","21.3","1","1","0"
"2","2019-02-01T00:35:19.000","2019-02-01T00:38:54.000","N","1","223","223","2","0.96","5.5","0.5","0.5","2.04","0",,"0.3","8.84","1","1","0"
"1","2019-02-01T00:08:13.000","2019-02-01T00:17:54.000","N","1","244","127","1","3.20","11","0.5","0.5","2","0",,"0.3","14.3","1","1","0"
"2","2019-02-01T00:29:20.000","2019-02-01T01:04:15.000","N","1","66","161","6","7.16","29","0.5","0.5","7.58","0",,"0.3","37.88","1","1","0"
"2","2019-02-01T00:26:26.000","2019-02-01T00:30:59.000","N","1","7","260","1","1.00","5.5","0.5","0.5","1.36","0",,"0.3","8.16","1","1","0"
"2","2019-02-01T00:43:02.000","2019-02-01T00:46:38.000","N","1","7","7","1","0.71","4.5","0.5","0.5","1.74","0",,"0.3","7.54","1","1","0"
"1","2019-02-01T00:27:08.000","2019-02-01T00:38:53.000","N","1","82","129","2","1.30","9","0.5","0.5","0","0",,"0.3","10.3","1","1","0"
"1","2019-02-01T00:39:58.000","2019-02-01T00:43:05.000","N","1","129","70","1","0.50","4.5","0.5","0.5","0","0",,"0.3","5.8","1","1","0"
"2","2019-02-01T00:59:43.000","2019-02-01T01:04:48.000","N","1","7","7","1","0.79","5.5","0.5","0.5","0","0",,"0.3","6.8","2","1","0"
"2","2019-02-01T00:12:43.000","2019-02-01T00:19:02.000","N","1","244","152","1","1.27","6.5","0.5","0.5","0","0",,"0.3","7.8","2","1","0"
"2","2019-02-01T00:21:27.000","2019-02-01T00:34:44.000","N","1","152","42","1","1.23","6.5","0.5","0.5","0","0",,"0.3","7.8","2","1","0"
"1","2019-02-01T00:41:43.000","2019-02-01T00:46:11.000","N","1","256","80","1","0.70","5","0.5","0.5","1.25","0",,"0.3","7.55","1","1","0"
"2","2019-02-01T00:06:43.000","2019-02-01T00:18:21.000","N","5","42","136","1","4.33","20","0","0","0","0",,"0","20","2","2","0"
"2","2019-02-01T00:24:57.000","2019-02-01T00:29:00.000","N","1","41","151","1","1.09","5.5","0.5","0.5","0","0",,"0.3","6.8","1","1","0"
"2","2019-02-01T00:40:44.000","2019-02-01T00:42:17.000","N","1","41","41","1","0.30","3.5","0.5","0.5","0","0",,"0.3","4.8","2","1","0"
"1","2019-02-01T00:46:06.000","2019-02-01T00:50:40.000","N","1","82","173","1","0.60","5","0.5","0.5","0","0",,"0.3","6.3","4","1","0"
"2","2019-02-01T00:12:43.000","2019-02-01T00:28:39.000","N","1","255","82","1","4.97","17.5","0.5","0.5","0","0",,"0.3","18.8","2","1","0"
"2","2019-02-01T00:48:19.000","2019-02-01T01:06:08.000","N","1","255","237","1","5.66","18.5","0.5","0.5","3.96","0",,"0.3","23.76","1","1","0"
"2","2019-02-01T00:00:25.000","2019-02-01T00:04:23.000","N","1","75","236","1","0.69","5","0.5","0.5","1.89","0",,"0.3","8.19","1","1","0"
"2","2019-02-01T00:08:25.000","2019-02-01T00:30:17.000","N","1","75","75","2","3.80","15","0.5","0.5","0","0",,"0.3","16.3","2","1","0"
"2","2019-02-01T00:31:30.000","2019-02-01T00:35:52.000","N","1","75","74","2","1.36","6","0.5","0.5","0","0",,"0.3","7.3","2","1","0"
"2","2019-02-01T00:56:09.000","2019-02-01T01:04:02.000","N","1","75","43","1","1.42","7.5","0.5","0.5","1.76","0",,"0.3","10.56","1","1","0"
"1","2019-02-01T00:05:40.000","2019-02-01T00:06:43.000","N","1","119","119","1","0.10","3","0.5","0.5","0","0",,"0.3","4.3","2","1","0"
"1","2019-02-01T00:37:46.000","2019-02-01T00:47:04.000","N","1","74","119","1","2.70","10.5","0.5","0.5","0","0",,"0.3","11.8","2","1","0"
"2","2019-02-01T00:13:04.000","2019-02-01T00:22:53.000","N","1","116","166","2","1.84","9.5","0.5","0.5","2.7","0",,"0.3","13.5","1","1","0"
"2","2019-02-01T00:29:23.000","2019-02-01T00:33:56.000","N","1","166","238","2","1.62","6.5","0.5","0.5","1.56","0",,"0.3","9.36","1","1","0"
"2","2019-02-01T00:41:38.000","2019-02-01T00:49:11.000","N","1","166","116","2","1.73","8","0.5","0.5","0","0",,"0.3","9.3","2","1","0"
"2","2019-02-01T00:56:08.000","2019-02-01T01:02:51.000","N","1","152","41","2","1.42","7","0.5","0.5","0","0",,"0.3","8.3","2","1","0"
"2","2019-02-01T00:53:18.000","2019-02-01T00:56:49.000","N","1","25","40","1","0.67","4.5","0.5","0.5","0.5","0",,"0.3","6.3","1","1","0"
"2","2019-02-01T01:01:41.000","2019-02-01T01:05:02.000","N","1","25","40","1","1.11","5","0.5","0.5","0.58","0",,"0.3","6.88","1","1","0"
"1","2019-02-01T00:32:10.000","2019-02-01T00:45:31.000","N","1","173","53","1","5.00","16.5","0.5","0.5","0","0",,"0.3","17.8","2","1","0"
"2","2019-02-01T00:22:20.000","2019-02-01T00:48:57.000","N","1","82","171","5","4.84","21","0.5","0.5","0","0",,"0.3","22.3","2","1","0"
"1","2019-02-01T00:05:27.000","2019-02-01T00:17:54.000","N","1","129","129","1","2.20","10.5","0.5","0.5","0","0",,"0.3","11.8","2","1","0"
"1","2019-02-01T00:47:08.000","2019-02-01T01:03:28.000","N","1","129","56","1","3.00","13.5","0.5","0.5","0","0",,"0.3","14.8","2","1","0"
"1","2019-02-01T00:28:12.000","2019-02-01T00:35:35.000","N","1","74","152","1","1.20","7","0.5","0.5","0","0",,"0.3","8.3","2","1","0"
"2","2019-02-01T00:17:21.000","2019-02-01T00:21:29.000","N","1","74","168","1","1.59","6.5","0.5","0.5","0","0",,"0.3","7.8","2","1","0"
"2","2019-02-01T00:04:07.000","2019-02-01T00:06:49.000","N","1","181","181","1","0.54","4","0.5","0.5","1.59","0",,"0.3","6.89","1","1","0"
"2","2019-02-01T00:27:20.000","2019-02-01T00:33:22.000","N","1","25","61","1","1.22","6.5","0.5","0.5","1.56","0",,"0.3","9.36","1","1","0"
"2","2019-01-31T23:15:25.000","2019-01-31T23:25:11.000","N","1","40","62","1","2.23","9.5","0.5","0.5","2.16","0",,"0.3","12.96","1","1","0"
"2","2019-01-31T23:27:49.000","2019-01-31T23:31:27.000","N","1","62","190","1","0.67","4.5","0.5","0.5","0","0",,"0.3","5.8","2","1","0"
"2","2019-01-31T23:39:59.000","2019-01-31T23:46:56.000","N","1","190","61","1","1.50","7.5","0.5","0.5","1.76","0",,"0.3","10.56","1","1","0"
"2","2019-02-01T00:51:50.000","2019-02-01T00:55:44.000","N","1","42","42","1","0.58","4.5","0.5","0.5","0","0",,"0.3","5.8","2","1","0"
"2","2019-02-01T01:01:02.000","2019-02-01T01:09:27.000","N","1","41","194","1","2.20","9.5","0.5","0.5","0","5.76",,"0.3","16.56","1","1","0"
"2","2019-02-01T00:28:59.000","2019-02-01T00:47:35.000","N","1","189","36","1","4.33","16","0.5","0.5","0","0",,"0.3","17.3","2","1","0"
"2","2019-02-01T00:49:45.000","2019-02-01T01:01:59.000","N","1","36","256","1","2.35","10","0.5","0.5","0","0",,"0.3","11.3","2","1","0"
"2","2019-02-01T00:10:43.000","2019-02-01T00:12:04.000","N","1","134","28","1","0.53","3.5","0.5","0.5","0.96","0",,"0.3","5.76","1","1","0"
"2","2019-02-01T00:23:52.000","2019-02-01T00:26:58.000","N","1","95","95","1","0.57","4.5","0.5","0.5","1.74","0",,"0.3","7.54","1","1","0"
"2","2019-02-01T00:06:26.000","2019-02-01T00:12:53.000","N","1","42","74","1","1.15","6.5","0.5","0.5","0","0",,"0.3","7.8","2","1","0"
"2","2019-02-01T00:55:37.000","2019-02-01T00:58:14.000","N","1","75","74","1","0.93","4.5","0.5","0.5","1.16","0",,"0.3","6.96","1","1","0"
"1","2019-02-01T00:33:17.000","2019-02-01T00:42:24.000","N","1","112","256","1","1.90","8.5","0.5","0.5","1.95","0",,"0.3","11.75","1","1","0"
"2","2019-02-01T00:20:34.000","2019-02-01T00:22:06.000","N","1","74","41","1","0.43","3.5","0.5","0.5","0","0",,"0.3","4.8","2","1","0"
"2","2019-02-01T00:35:47.000","2019-02-01T00:37:33.000","N","1","41","42","1","0.43","3.5","0.5","0.5","0","0",,"0.3","4.8","2","1","0"
"2","2019-02-01T00:46:48.000","2019-02-01T00:50:08.000","N","1","42","41","1","1.07","5.5","0.5","0.5","0","0",,"0.3","6.8","1","1","0"
"2","2019-02-01T00:31:59.000","2019-02-01T00:38:02.000","N","1","130","215","1","1.60","7","0.5","0.5","1.66","0",,"0.3","9.96","1","1","0"
"2","2019-02-01T00:23:23.000","2019-02-01T00:30:14.000","N","1","65","97","1","1.24","7","0.5","0.5","0","0",,"0.3","8.3","2","1","0"
"2","2019-02-01T00:34:17.000","2019-02-01T00:40:11.000","N","1","97","49","1","1.27","6.5","0.5","0.5","0","0",,"0.3","7.8","2","1","0"
"2","2019-02-01T00:43:41.000","2019-02-01T01:00:38.000","N","1","62","37","1","4.10","15","0.5","0.5","0","0",,"0.3","16.3","2","1","0"
"2","2019-02-01T00:57:59.000","2019-02-01T01:00:31.000","N","1","65","52","1","0.65","4","0.5","0.5","1.06","0",,"0.3","6.36","1","1","0"
"2","2019-02-01T00:06:46.000","2019-02-01T00:15:20.000","N","1","82","226","1","1.61","8","0.5","0.5","2.79","0",,"0.3","12.09","1","1","0"
"2","2019-02-01T00:18:47.000","2019-02-01T00:36:49.000","N","1","97","13","6","4.01","16.5","0.5","0.5","0","0",,"0.3","17.8","2","1","0"
"1","2019-02-01T00:30:24.000","2019-02-01T00:34:50.000","N","1","95","95","2","0.90","5","0.5","0.5","0","0",,"0.3","6.3","2","1","0"
"2","2019-02-01T00:13:13.000","2019-02-01T00:17:48.000","N","1","179","179","1","0.91","5","0.5","0.5","1.89","0",,"0.3","8.19","1","1","0"
"2","2019-02-01T00:29:53.000","2019-02-01T00:33:46.000","N","1","179","179","1","0.85","5","0.5","0.5","1.26","0",,"0.3","7.56","1","1","0"
"2","2019-02-01T00:52:08.000","2019-02-01T01:06:54.000","N","1","7","137","1","4.94","16","0.5","0.5","0","0",,"0.3","17.3","2","1","0"
"2","2019-02-01T00:35:16.000","2019-02-01T00:50:13.000","N","1","244","151","1","5.59","18","0.5","0.5","3.86","0",,"0.3","23.16","1","1","0"
"1","2019-02-01T00:25:24.000","2019-02-01T00:30:51.000","N","1","80","112","1","0.90","6","0.5","0.5","0","0",,"0.3","7.3","2","1","0"
"2","2019-02-01T00:10:00.000","2019-02-01T00:19:42.000","N","1","260","7","1","2.82","11","0.5","0.5","0","0",,"0.3","12.3","2","1","0"
"2","2019-02-01T00:16:42.000","2019-02-01T00:26:03.000","N","1","116","69","4","1.87","9","0.5","0.5","0","0",,"0.3","10.3","2","1","0"
"2","2019-02-01T00:34:11.000","2019-02-01T00:46:16.000","N","1","92","135","1","3.10","12","0.5","0.5","3.32","0",,"0.3","16.62","1","1","0"
"2","2019-02-01T00:27:00.000","2019-02-01T00:52:24.000","N","1","260","151","1","8.19","26.5","0.5","0.5","0","5.76",,"0.3","33.56","2","1","0"
"2","2019-02-01T00:23:58.000","2019-02-01T00:27:45.000","N","1","255","255","5","0.56","4.5","0.5","0.5","1.45","0",,"0.3","7.25","1","1","0"
"2","2019-02-01T00:45:50.000","2019-02-01T01:16:40.000","N","5","255","265","1","10.17","65","0","0","13","0",,"0","78","1","2","0"
"2","2019-02-01T00:21:22.000","2019-02-01T00:26:22.000","N","1","134","197","1","1.05","6","0.5","0.5","1.82","0",,"0.3","9.12","1","1","0"
"2","2019-02-01T00:47:03.000","2019-02-01T00:49:59.000","N","1","134","197","1","1.03","5","0.5","0.5","0","0",,"0.3","6.3","2","1","0"
"2","2019-02-01T00:48:28.000","2019-02-01T01:00:21.000","N","1","244","41","1","2.62","11.5","0.5","0.5","3.2","0",,"0.3","16","1","1","0"
"2","2019-02-01T00:01:00.000","2019-02-01T00:09:28.000","N","1","166","243","1","3.71","12.5","0.5","0.5","0","0",,"0.3","13.8","2","1","0"
"1","2019-02-01T00:50:34.000","2019-02-01T00:57:35.000","N","1","210","55","1","2.00","8","0.5","0.5","0","0",,"0.3","9.3","2","1","0"
"2","2019-02-01T00:01:31.000","2019-02-01T00:12:02.000","N","1","95","258","1","2.44","10","0.5","0.5","2.82","0",,"0.3","14.12","1","1","0"
"2","2019-02-01T00:26:08.000","2019-02-01T00:32:59.000","N","1","95","102","1","2.09","8","0.5","0.5","1.86","0",,"0.3","11.16","1","1","0"
"2","2019-02-01T00:59:20.000","2019-02-01T01:07:41.000","N","1","95","28","1","2.56","9.5","0.5","0.5","2.16","0",,"0.3","12.96","1","1","0"
"1","2019-02-01T00:09:27.000","2019-02-01T00:16:05.000","N","1","41","238","1","1.90","7.5","0.5","0.5","0","0",,"0.3","8.8","2","1","0"
"2","2019-02-01T00:05:46.000","2019-02-01T00:10:13.000","N","1","92","93","1","1.13","6","0.5","0.5","0","0",,"0.3","7.3","2","1","0"
"2","2019-02-01T00:20:54.000","2019-02-01T00:26:50.000","N","1","223","223","5","1.55","7","0.5","0.5","1.66","0",,"0.3","9.96","1","1","0"
"1","2019-02-01T00:21:58.000","2019-02-01T00:42:38.000","N","1","36","63","1","3.90","16","0.5","0.5","0.02","0",,"0.3","17.32","1","1","0"
"2","2019-02-01T00:05:11.000","2019-02-01T00:11:13.000","N","1","260","157","2","1.62","7","0.5","0.5","1.66","0",,"0.3","9.96","1","1","0"
"1","2019-02-01T00:21:31.000","2019-02-01T00:29:12.000","N","1","82","129","1","1.50","7.5","0.5","0.5","0","0",,"0.3","8.8","2","1","0"
"2","2019-02-01T00:57:18.000","2019-02-01T00:59:13.000","N","1","106","40","1","0.48","4","0.5","0.5","1.06","0",,"0.3","6.36","1","1","0"
"2","2019-02-01T00:17:04.000","2019-02-01T00:21:14.000","N","1","75","74","1","0.71","5","0.5","0.5","1","0",,"0.3","7.3","1","1","0"
"2","2019-02-01T00:36:31.000","2019-02-01T00:42:56.000","N","1","74","236","1","2.05","8","0.5","0.5","2.79","0",,"0.3","12.09","1","1","0"
"2","2019-02-01T00:39:43.000","2019-02-01T00:40:10.000","N","5","210","210","2","0.14","30","0","0","6","0",,"0","36","1","2","0"
"2","2019-02-01T00:45:19.000","2019-02-02T00:00:00.000","N","1","66","65","1","1.46","9.5","0.5","0.5","2.16","0",,"0.3","12.96","1","1","0"
"2","2019-02-01T00:15:29.000","2019-02-02T00:00:00.000","N","1","33","255","2","4.23","17.5","0.5","0.5","0","0",,"0.3","18.8","1","1","0"
"2","2019-02-01T00:37:57.000","2019-02-01T00:44:41.000","N","1","129","82","2","1.49","7","0.5","0.5","0","0",,"0.3","8.3","2","1","0"
"2","2019-02-01T00:12:30.000","2019-02-01T00:21:40.000","N","1","97","225","1","2.13","9","0.5","0.5","0","0",,"0.3","10.3","1","1","0"
"2","2019-02-01T00:49:31.000","2019-02-01T01:15:10.000","N","1","255","186","1","5.97","21.5","0.5","0.5","0","0",,"0.3","22.8","2","1","0"
"2","2019-01-31T23:43:03.000","2019-01-31T23:58:51.000","N","1","65","113","1","3.84","14.5","0.5","0.5","3.16","0",,"0.3","18.96","1","1","0"
"2","2019-02-01T00:41:45.000","2019-02-01T01:15:20.000","N","1","255","244","1","13.88","40","0.5","0.5","0","0",,"0.3","41.3","2","1","0"
"2","2019-02-01T00:15:27.000","2019-02-01T00:23:33.000","N","1","260","129","5","1.52","7.5","0.5","0.5","2","0",,"0.3","10.8","1","1","0"
"1","2019-02-01T00:23:42.000","2019-02-01T00:40:21.000","N","1","112","195","1","6.60","20.5","0.5","0.5","0","0",,"0.3","21.8","2","1","0"
"2","2019-02-01T00:37:33.000","2019-02-01T00:41:56.000","N","1","43","238","1","1.62","6.5","0.5","0.5","0","0",,"0.3","7.8","2","1","0"
"2","2019-02-01T00:59:58.000","2019-02-01T01:09:16.000","N","1","75","168","1","2.85","10","0.5","0.5","0","0",,"0.3","11.3","2","1","0"
"2","2019-02-01T00:02:28.000","2019-02-01T00:06:01.000","N","1","130","130","1","0.55","4.5","0.5","0.5","0","0",,"0.3","5.8","2","1","0"
"2","2019-02-01T00:10:08.000","2019-02-01T00:18:54.000","N","1","130","130","1","2.40","9.5","0.5","0.5","2.16","0",,"0.3","12.96","1","1","0"
"2","2019-02-01T00:25:18.000","2019-02-01T00:29:42.000","N","1","255","112","5","1.11","5.5","0.5","0.5","0","0",,"0.3","6.8","2","1","0"
"2","2019-02-01T00:34:35.000","2019-02-01T00:45:40.000","N","1","112","141","5","3.77","13.5","0.5","0.5","0","0",,"0.3","14.8","2","1","0"
"1","2019-02-01T00:00:42.000","2019-02-01T00:09:08.000","N","1","82","82","1","1.50","8","0.5","0.5","1.85","0",,"0.3","11.15","1","1","0"
"1","2019-02-01T00:25:33.000","2019-02-01T00:31:20.000","N","1","82","157","1","1.20","6.5","0.5","0.5","0","0",,"0.3","7.8","2","1","0"
"1","2019-02-01T00:30:42.000","2019-02-01T00:33:00.000","N","1","82","56","1","0.60","4","0.5","0.5","0","0",,"0.3","5.3","2","1","0"
"1","2019-02-01T00:43:05.000","2019-02-01T00:51:04.000","N","1","129","70","1","1.60","8","0.5","0.5","0","0",,"0.3","9.3","2","1","0"
"2","2019-02-01T00:03:14.000","2019-02-01T00:11:52.000","N","1","129","7","1","1.53","8","0.5","0.5","1.86","0",,"0.3","11.16","1","1","0"
"2","2019-02-01T00:23:11.000","2019-02-01T00:29:50.000","N","1","129","129","1","1.14","6.5","0.5","0.5","0","0",,"0.3","7.8","2","1","0"
"2","2019-02-01T00:20:43.000","2019-02-01T00:20:47.000","N","1","42","42","1","0.03","2.5","0.5","0.5","0","0",,"0.3","3.8","2","1","0"
"1","2019-02-01T00:11:18.000","2019-02-01T00:16:14.000","N","1","166","151","2","0.80","5.5","0.5","0.5","1.35","0",,"0.3","8.15","1","1","0"
"1","2019-02-01T00:23:44.000","2019-02-01T00:30:17.000","N","1","166","238","1","1.30","7","0.5","0.5","0","0",,"0.3","8.3","2","1","0"
"1","2019-02-01T00:50:56.000","2019-02-01T01:00:34.000","N","1","41","127","1","4.50","14.5","0.5","0.5","1","0",,"0.3","16.8","1","1","0"
"2","2019-02-01T00:47:12.000","2019-02-01T01:02:27.000","N","1","244","166","4","2.69","13","0.5","0.5","0","0",,"0.3","14.3","2","1","0"
"2","2019-02-01T00:30:20.000","2019-02-01T00:43:16.000","N","1","95","258","1","2.34","11.5","0.5","0.5","2.56","0",,"0.3","15.36","1","1","0"
"2","2019-02-01T00:32:00.000","2019-02-01T00:50:40.000","N","1","129","92","1","4.10","16","0.5","0.5","0","0",,"0.3","17.3","2","1","0"
"2","2019-02-01T00:32:38.000","2019-02-01T00:36:16.000","N","1","223","223","1","0.54","4.5","0.5","0.5","0","0",,"0.3","5.8","2","1","0"
"2","2019-02-01T00:31:33.000","2019-02-01T00:36:56.000","N","1","129","129","6","0.58","5.5","0.5","0.5","0","0",,"0.3","6.8","2","1","0"
"2","2019-02-01T00:20:19.000","2019-02-01T00:27:54.000","N","1","130","197","1","1.87","8.5","0.5","0.5","0","0",,"0.3","9.8","1","1","0"
"1","2019-02-01T00:07:01.000","2019-02-01T00:16:40.000","N","1","82","82","1","1.60","8","0.5","0.5","0","0",,"0.3","9.3","2","1","0"
"2","2019-01-31T20:14:51.000","2019-01-31T20:18:44.000","N","1","223","223","4","0.76","5","0.5","0.5","1.89","0",,"0.3","8.19","1","1","0"
"1","2019-02-01T00:05:24.000","2019-02-01T00:14:00.000","N","5","97","181","1","1.20","10","0","0","0","0",,"0","10","1","2","0"
"1","2019-02-01T00:38:58.000","2019-02-01T00:47:10.000","N","1","97","40","1","1.70","8","0.5","0.5","2.3","0",,"0.3","11.6","1","1","0"
"2","2019-02-01T00:19:53.000","2019-02-01T00:43:02.000","N","1","66","225","1","4.32","18.5","0.5","0.5","3.96","0",,"0.3","23.76","1","1","0"
"2","2019-02-01T00:31:20.000","2019-02-01T00:36:48.000","N","1","74","41","1","1.38","6.5","0.5","0.5","0","0",,"0.3","7.8","2","1","0"
"2","2019-02-01T00:41:53.000","2019-02-01T00:47:39.000","N","1","41","42","1","1.36","7","0.5","0.5","0","0",,"0.3","8.3","2","1","0"
"1","2019-02-01T00:15:47.000","2019-02-01T00:18:49.000","N","1","223","223","1","1.00","5","0.5","0.5","0","0",,"0.3","6.3","2","1","0"
"1","2019-02-01T00:31:22.000","2019-02-01T00:34:06.000","N","1","223","223","1","0.50","4","0.5","0.5","0","0",,"0.3","5.3","2","1","0"
"2","2019-02-01T00:03:10.000","2019-02-01T00:18:22.000","N","1","255","198","1","3.51","13","0.5","0.5","0","0",,"0.3","14.3","2","1","0"
