"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount"
"2","2017-01-29T02:59:57.000","2017-01-29T03:09:53.000","1","3.95","1","N","148","13","1","13.5","0.5","0.5","2","0","0.3","16.8"
"2","2017-01-29T02:59:57.000","2017-01-29T03:13:15.000","1","2.82","1","N","148","162","1","11.5","0.5","0.5","0","0","0.3","12.8"
"2","2017-01-29T02:59:57.000","2017-01-29T03:07:29.000","1","1.46","1","N","148","231","1","7.5","0.5","0.5","1.76","0","0.3","10.56"
"2","2017-01-29T02:59:57.000","2017-01-29T03:06:11.000","2","1.04","1","N","79","107","1","6","0.5","0.5","1.46","0","0.3","8.76"
"2","2017-01-29T02:59:57.000","2017-01-29T03:14:03.000","2","2.54","1","N","148","90","1","11.5","0.5","0.5","1.5","0","0.3","14.3"
"1","2017-01-29T02:59:58.000","2017-01-29T03:08:46.000","1","2.50","1","N","230","141","1","9.5","0.5","0.5","1","0","0.3","11.8"
"1","2017-01-29T02:59:58.000","2017-01-29T03:11:38.000","1","2.40","1","N","249","246","2","11","0.5","0.5","0","0","0.3","12.3"
"2","2017-01-29T02:59:58.000","2017-01-29T03:08:08.000","5","2.17","1","N","239","230","1","9","0.5","0.5","2.58","0","0.3","12.88"
"1","2017-01-29T02:59:59.000","2017-01-29T03:10:15.000","1","2.20","1","N","256","225","1","9.5","0.5","0.5","2.15","0","0.3","12.95"
"1","2017-01-29T02:59:59.000","2017-01-29T03:18:10.000","1","4.50","1","N","186","75","2","17","0.5","0.5","0","0","0.3","18.3"
"1","2017-01-29T02:59:59.000","2017-01-29T03:10:37.000","1","3.20","1","N","170","145","1","11.5","0.5","0.5","3.8","0","0.3","16.6"
"1","2017-01-29T02:59:59.000","2017-01-29T03:07:19.000","2","1.00","1","N","148","249","1","7","0.5","0.5","1.65","0","0.3","9.95"
"1","2017-01-29T02:59:59.000","2017-01-29T03:05:09.000","1","0.80","1","N","50","230","2","5.5","0.5","0.5","0","0","0.3","6.8"
"2","2017-01-29T02:59:59.000","2017-01-29T03:04:55.000","1","0.89","1","N","114","249","1","5.5","0.5","0.5","0.8","0","0.3","7.6"
"2","2017-01-29T03:00:00.000","2017-01-29T03:06:08.000","6","1.36","1","N","90","125","1","6.5","0.5","0.5","1.95","0","0.3","9.75"
"2","2017-01-29T03:00:00.000","2017-01-29T03:22:15.000","1","3.81","1","N","43","148","2","16.5","0.5","0.5","0","0","0.3","17.8"
"2","2017-01-29T03:00:01.000","2017-01-29T03:07:19.000","2","1.72","1","N","114","170","1","8","0.5","0.5","1","0","0.3","10.3"
"2","2017-01-29T03:00:01.000","2017-01-29T03:19:32.000","1","3.14","1","N","48","68","1","15","0.5","0.5","0","0","0.3","16.3"
"2","2017-01-29T03:00:01.000","2017-01-29T03:07:40.000","3","1.67","1","N","48","143","1","8","0.5","0.5","1.86","0","0.3","11.16"
"2","2017-01-29T03:00:02.000","2017-01-29T03:13:21.000","1","5.18","1","N","107","107","2","16.5","0.5","0.5","0","0","0.3","17.8"
"2","2017-01-29T03:00:02.000","2017-01-29T03:13:27.000","1","2.32","1","N","68","137","1","10.5","0.5","0.5","1","0","0.3","12.8"
"1","2017-01-29T03:00:03.000","2017-01-29T03:06:30.000","1","1.70","1","N","48","90","1","7.5","0.5","0.5","1","0","0.3","9.8"
"1","2017-01-29T03:00:03.000","2017-01-29T03:16:40.000","4","5.40","1","N","164","166","2","17.5","0.5","0.5","0","0","0.3","18.8"
"2","2017-01-29T03:00:03.000","2017-01-29T03:20:44.000","1","5.84","1","N","79","238","1","19.5","0.5","0.5","5.2","0","0.3","26"
"2","2017-01-29T03:00:03.000","2017-01-29T03:08:34.000","1","1.73","1","N","79","170","1","8.5","0.5","0.5","1.96","0","0.3","11.76"
"1","2017-01-29T03:00:04.000","2017-01-29T03:03:41.000","2","0.60","1","N","48","50","2","4.5","0.5","0.5","0","0","0.3","5.8"
"2","2017-01-29T03:00:04.000","2017-01-29T03:06:13.000","1","1.04","1","N","79","107","1","6","0.5","0.5","0","0","0.3","7.3"
"2","2017-01-29T03:00:04.000","2017-01-29T03:11:44.000","1","2.73","1","N","158","13","1","11.5","0.5","0.5","3.84","0","0.3","16.64"
"1","2017-01-29T03:00:05.000","2017-01-29T03:10:06.000","1","2.40","1","N","107","48","1","9.5","0.5","0.5","2.15","0","0.3","12.95"
"1","2017-01-29T03:00:05.000","2017-01-29T03:10:50.000","1","1.50","1","N","158","79","1","8.5","0.5","0.5","1.95","0","0.3","11.75"
"1","2017-01-29T03:00:06.000","2017-01-29T03:03:03.000","1","0.80","1","N","163","50","2","4.5","0.5","0.5","0","0","0.3","5.8"
"1","2017-01-29T03:00:06.000","2017-01-29T03:11:06.000","1","6.40","1","N","141","209","1","19","0.5","0.5","4.05","0","0.3","24.35"
"1","2017-01-29T03:00:06.000","2017-01-29T03:24:33.000","2","5.30","1","N","79","181","1","20.5","0.5","0.5","4.35","0","0.3","26.15"
"1","2017-01-29T03:00:06.000","2017-01-29T03:03:37.000","1","0.90","1","N","164","230","2","5","0.5","0.5","0","0","0.3","6.3"
"2","2017-01-29T03:00:06.000","2017-01-29T03:13:24.000","5","3.83","1","N","164","236","1","13.5","0.5","0.5","2.2","0","0.3","17"
"2","2017-01-29T03:00:07.000","2017-01-29T03:12:08.000","1","1.17","1","N","148","113","1","9","0.5","0.5","1","0","0.3","11.3"
"2","2017-01-29T03:00:07.000","2017-01-29T03:10:07.000","1","1.61","1","N","68","164","1","8.5","0.5","0.5","1.5","0","0.3","11.3"
"1","2017-01-29T03:00:08.000","2017-01-29T03:02:57.000","1","0.50","1","N","148","79","1","4","0.5","0.5","1","0","0.3","6.3"
"1","2017-01-29T03:00:08.000","2017-01-29T03:05:09.000","1","0.80","1","N","144","232","1","5.5","0.5","0.5","1.35","0","0.3","8.15"
"1","2017-01-29T03:00:08.000","2017-01-29T03:36:11.000","1","8.40","1","N","158","223","1","29","0.5","0.5","4","0","0.3","34.3"
"2","2017-01-29T03:00:08.000","2017-01-29T03:07:50.000","1","2.48","1","N","141","74","1","9.5","0.5","0.5","2.16","0","0.3","12.96"
"2","2017-01-29T03:00:08.000","2017-01-29T03:06:33.000","2","0.60","1","N","79","79","1","6","0.5","0.5","1.46","0","0.3","8.76"
"2","2017-01-29T03:00:08.000","2017-01-29T03:20:54.000","4","10.22","1","N","88","129","2","30.5","0.5","0.5","0","0","0.3","31.8"
"1","2017-01-29T03:00:09.000","2017-01-29T03:32:27.000","2","6.60","1","N","170","37","2","25.5","0.5","0.5","0","0","0.3","26.8"
"1","2017-01-29T03:00:09.000","2017-01-29T03:23:11.000","3","6.30","1","N","79","146","1","22.5","0.5","0.5","2","0","0.3","25.8"
"1","2017-01-29T03:00:09.000","2017-01-29T03:07:32.000","1","1.50","1","N","107","229","1","7.5","0.5","0.5","1.75","0","0.3","10.55"
"2","2017-01-29T03:00:09.000","2017-01-29T03:08:23.000","5","2.70","1","N","158","48","1","9.5","0.5","0.5","2.16","0","0.3","12.96"
"1","2017-01-29T03:00:10.000","2017-01-29T03:08:00.000","4","1.90","1","N","48","90","1","8.5","0.5","0.5","2.9","0","0.3","12.7"
"1","2017-01-29T03:00:13.000","2017-01-29T03:13:33.000","1","1.40","1","N","144","148","1","10","0.5","0.5","2.25","0","0.3","13.55"
"2","2017-01-29T03:00:13.000","2017-01-29T03:08:07.000","3","1.98","1","N","148","170","1","8.5","0.5","0.5","1","0","0.3","10.8"
"1","2017-01-29T03:00:14.000","2017-01-29T03:05:34.000","1","1.70","1","N","68","48","1","7.5","0.5","0.5","1.75","0","0.3","10.55"
"1","2017-01-29T03:00:15.000","2017-01-29T03:12:08.000","2","3.20","1","N","90","209","1","11.5","0.5","0.5","2","0","0.3","14.8"
"1","2017-01-29T03:00:15.000","2017-01-29T03:07:52.000","1","1.30","1","N","263","237","1","7","0.5","0.5","1.65","0","0.3","9.95"
"2","2017-01-29T03:00:15.000","2017-01-29T03:04:23.000","6","0.83","1","N","224","4","1","5","0.5","0.5","1.26","0","0.3","7.56"
"2","2017-01-29T03:00:15.000","2017-01-29T03:06:45.000","1","0.75","1","N","79","234","1","6","0.5","0.5","2.19","0","0.3","9.49"
"2","2017-01-29T03:00:15.000","2017-01-29T03:09:27.000","1","2.19","1","N","41","236","1","9.5","0.5","0.5","2.16","0","0.3","12.96"
"1","2017-01-29T03:00:16.000","2017-01-29T03:11:03.000","1","2.70","1","N","79","229","1","11","0.5","0.5","1","0","0.3","13.3"
"1","2017-01-29T03:00:16.000","2017-01-29T03:07:07.000","2","1.20","1","N","246","158","1","6.5","0.5","0.5","1.55","0","0.3","9.35"
"2","2017-01-29T03:00:16.000","2017-01-29T03:15:03.000","6","3.16","1","N","164","148","1","13","0.5","0.5","2.86","0","0.3","17.16"
"2","2017-01-29T03:00:16.000","2017-01-29T03:08:05.000","1","2.31","1","N","141","170","1","9","0.5","0.5","2.06","0","0.3","12.36"
"2","2017-01-29T03:00:16.000","2017-01-29T03:05:39.000","5","1.20","1","N","125","113","1","6","0.5","0.5","1.46","0","0.3","8.76"
"1","2017-01-29T03:00:18.000","2017-01-29T03:11:08.000","1","1.50","1","N","263","141","2","7.5","0.5","0.5","0","0","0.3","8.8"
"2","2017-01-29T03:00:18.000","2017-01-29T03:14:16.000","2","4.25","1","N","142","166","1","15.5","0.5","0.5","3.36","0","0.3","20.16"
"2","2017-01-29T03:00:18.000","2017-01-29T03:16:04.000","1","2.24","1","N","158","79","1","12","0.5","0.5","2.66","0","0.3","15.96"
"1","2017-01-29T03:00:19.000","2017-01-29T03:09:04.000","2","1.70","1","N","79","137","1","8","0.5","0.5","0","0","0.3","9.3"
"1","2017-01-29T03:00:19.000","2017-01-29T03:13:50.000","1","4.50","1","N","264","264","2","15","0.5","0.5","0","0","0.3","16.3"
"2","2017-01-29T03:00:19.000","2017-01-29T03:05:32.000","1","1.80","1","N","68","48","1","7.5","0.5","0.5","1.76","0","0.3","10.56"
"2","2017-01-29T03:00:19.000","2017-01-29T03:06:53.000","2","1.07","1","N","211","79","1","6.5","0.5","0.5","1.56","0","0.3","9.36"
"2","2017-01-29T03:00:19.000","2017-01-29T03:08:17.000","3","1.86","1","N","50","170","1","8.5","0.5","0.5","1.96","0","0.3","11.76"
"2","2017-01-29T03:00:19.000","2017-01-29T03:08:39.000","1","1.42","1","N","164","230","1","8","0.5","0.5","1.86","0","0.3","11.16"
"1","2017-01-29T03:00:20.000","2017-01-29T03:02:55.000","1","1.00","1","N","236","237","2","5","0.5","0.5","0","0","0.3","6.3"
"2","2017-01-29T03:00:20.000","2017-01-29T03:10:40.000","2","2.31","1","N","249","233","1","9.5","0.5","0.5","2.16","0","0.3","12.96"
"2","2017-01-29T03:00:20.000","2017-01-29T03:08:57.000","1","1.59","1","N","238","263","1","8.5","0.5","0.5","1","0","0.3","10.8"
"2","2017-01-29T03:00:20.000","2017-01-29T03:04:38.000","1","1.02","1","N","186","230","2","5.5","0.5","0.5","0","0","0.3","6.8"
"2","2017-01-29T03:00:20.000","2017-01-29T03:14:01.000","1","2.29","1","N","114","137","1","11","0.5","0.5","2","0","0.3","14.3"
"2","2017-01-29T03:00:20.000","2017-01-29T03:14:05.000","2","2.38","1","N","79","249","1","11","0.5","0.5","2.46","0","0.3","14.76"
"1","2017-01-29T03:00:21.000","2017-01-29T03:12:26.000","1","2.70","1","N","68","143","1","11.5","0.5","0.5","2.55","0","0.3","15.35"
"2","2017-01-29T03:00:21.000","2017-01-29T03:05:12.000","1","1.20","1","N","231","249","1","6","0.5","0.5","0","0","0.3","7.3"
"2","2017-01-29T03:00:21.000","2017-01-29T03:01:15.000","5","0.21","1","N","90","249","1","3","0.5","0.5","0.86","0","0.3","5.16"
"2","2017-01-29T03:00:21.000","2017-01-29T03:26:09.000","2","19.18","2","N","209","132","1","52","0","0.5","8","0","0.3","60.8"
"2","2017-01-29T03:00:21.000","2017-01-29T03:10:38.000","5","1.77","1","N","158","48","1","9","0.5","0.5","1","0","0.3","11.3"
"1","2017-01-29T03:00:23.000","2017-01-29T03:05:58.000","1","1.00","1","N","148","4","1","6","0.5","0.5","1.45","0","0.3","8.75"
"1","2017-01-29T03:00:23.000","2017-01-29T03:13:23.000","1","2.90","1","N","148","233","1","11.5","0.5","0.5","3.2","0","0.3","16"
"1","2017-01-29T03:00:23.000","2017-01-29T03:13:46.000","1","2.80","1","N","148","162","1","12","0.5","0.5","2.65","0","0.3","15.95"
"1","2017-01-29T03:00:23.000","2017-01-29T03:24:54.000","4","5.50","1","N","246","256","2","20.5","0.5","0.5","0","0","0.3","21.8"
"1","2017-01-29T03:00:23.000","2017-01-29T03:32:27.000","2","13.20","1","N","162","36","1","40.5","0.5","0.5","8.35","0","0.3","50.15"
"1","2017-01-29T03:00:23.000","2017-01-29T03:12:13.000","1","3.80","1","N","264","264","1","13","0.5","0.5","2.85","0","0.3","17.15"
"1","2017-01-29T03:00:23.000","2017-01-29T03:11:38.000","1","1.90","1","N","79","186","1","9.5","0","0.5","1","0","0.3","11.3"
"2","2017-01-29T03:00:23.000","2017-01-29T03:05:03.000","1","1.36","1","N","238","41","1","6","0.5","0.5","1.46","0","0.3","8.76"
"2","2017-01-29T03:00:23.000","2017-01-29T03:09:43.000","2","2.65","1","N","87","249","1","10","0.5","0.5","2.26","0","0.3","13.56"
"1","2017-01-29T03:00:24.000","2017-01-29T03:18:39.000","1","3.60","1","N","79","65","2","15.5","0.5","0.5","0","0","0.3","16.8"
"1","2017-01-29T03:00:24.000","2017-01-29T03:11:47.000","1","3.30","1","N","48","41","1","12.5","0.5","0.5","2.75","0","0.3","16.55"
"2","2017-01-29T03:00:24.000","2017-01-29T03:11:28.000","1","2.37","1","N","48","137","1","10","0.5","0.5","0","0","0.3","11.3"
"1","2017-01-29T03:00:25.000","2017-01-29T03:07:23.000","2","1.50","1","N","264","264","2","7.5","0.5","0.5","0","0","0.3","8.8"
"1","2017-01-29T03:00:25.000","2017-01-29T03:08:17.000","1","2.10","1","N","140","75","1","8.5","0.5","0.5","0","0","0.3","9.8"
"1","2017-01-29T03:00:25.000","2017-01-29T03:11:27.000","1","2.80","1","N","48","43","2","11","0.5","0.5","0","0","0.3","12.3"
"2","2017-01-29T03:00:25.000","2017-01-29T03:13:44.000","1","6.11","1","N","230","152","2","19","0.5","0.5","0","0","0.3","20.3"
"2","2017-01-29T03:00:25.000","2017-01-29T03:21:44.000","3","13.09","1","N","236","254","2","36.5","0","0.5","0","0","0.3","37.3"
"1","2017-01-29T03:00:26.000","2017-01-29T03:08:56.000","1","1.10","1","N","114","4","1","7.5","0.5","0.5","1.75","0","0.3","10.55"
"2","2017-01-29T03:00:26.000","2017-01-29T03:06:59.000","1","1.84","1","N","141","170","2","7.5","0.5","0.5","0","0","0.3","8.8"
"2","2017-01-29T03:00:26.000","2017-01-29T03:03:43.000","1","0.56","1","N","100","230","2","4","0.5","0.5","0","0","0.3","5.3"
"2","2017-01-29T03:00:26.000","2017-01-29T03:23:56.000","2","4.77","1","N","249","80","1","19","0.5","0.5","4.06","0","0.3","24.36"
"2","2017-01-29T03:00:26.000","2017-01-29T03:11:02.000","5","1.18","1","N","68","211","2","7.5","0.5","0.5","0","0","0.3","8.8"
"1","2017-01-29T03:00:27.000","2017-01-29T03:16:33.000","1","3.70","1","N","25","211","1","15","0.5","0.5","3.25","0","0.3","19.55"
"1","2017-01-29T03:00:27.000","2017-01-29T03:00:52.000","1","5.30","3","N","75","75","1","20","0.5","0","6","16.8","0.3","43.6"
"2","2017-01-29T03:00:27.000","2017-01-29T03:06:36.000","1","0.55","1","N","79","114","1","5.5","0.5","0.5","1.36","0","0.3","8.16"
"2","2017-01-29T03:00:28.000","2017-01-29T03:04:42.000","3","0.73","1","N","230","164","1","5","0.5","0.5","1.26","0","0.3","7.56"
"2","2017-01-29T03:00:28.000","2017-01-29T03:14:11.000","1","2.50","1","N","68","224","1","11.5","0.5","0.5","2","0","0.3","14.8"
"2","2017-01-29T03:00:29.000","2017-01-29T03:07:06.000","1","0.88","1","N","158","211","2","6.5","0.5","0.5","0","0","0.3","7.8"
"1","2017-01-29T03:00:30.000","2017-01-29T03:10:51.000","1","2.10","1","N","148","137","1","9.5","0.5","0.5","2.15","0","0.3","12.95"
"1","2017-01-29T03:00:30.000","2017-01-29T03:16:50.000","1","5.00","1","N","263","7","2","18","0.5","0.5","0","0","0.3","19.3"
"1","2017-01-29T03:00:30.000","2017-01-29T03:06:17.000","1","1.60","1","N","90","48","1","7","0.5","0.5","0.83","0","0.3","9.13"
"2","2017-01-29T03:00:30.000","2017-01-29T03:20:50.000","2","8.41","1","N","148","83","1","26","0.5","0.5","0","0","0.3","27.3"
"2","2017-01-29T03:00:30.000","2017-01-29T03:01:28.000","3","0.21","1","N","263","263","2","3","0.5","0.5","0","0","0.3","4.3"
"2","2017-01-29T03:00:30.000","2017-01-29T03:10:54.000","5","2.86","1","N","148","229","1","10.5","0.5","0.5","2.36","0","0.3","14.16"
"2","2017-01-29T03:00:30.000","2017-01-29T03:07:38.000","2","1.23","1","N","249","107","1","7","0.5","0.5","1.66","0","0.3","9.96"
"2","2017-01-29T03:00:31.000","2017-01-29T03:16:53.000","1","2.14","1","N","79","233","1","12.5","0.5","0.5","2.76","0","0.3","16.56"
"2","2017-01-29T03:00:31.000","2017-01-29T03:07:23.000","6","1.04","1","N","144","79","1","6.5","0.5","0.5","1.56","0","0.3","9.36"
"1","2017-01-29T03:00:32.000","2017-01-29T03:14:33.000","1","1.20","1","N","234","164","3","10","0.5","0.5","0","0","0.3","11.3"
"1","2017-01-29T03:00:32.000","2017-01-29T03:20:52.000","1","5.70","1","N","246","97","1","19.5","0.5","0.5","4.15","0","0.3","24.95"
"2","2017-01-29T03:00:32.000","2017-01-29T03:06:06.000","5","0.77","1","N","144","232","1","5.5","0.5","0.5","1.36","0","0.3","8.16"
"2","2017-01-29T03:00:32.000","2017-01-29T03:10:46.000","1","1.80","1","N","144","249","1","9","0.5","0.5","2.06","0","0.3","12.36"
"1","2017-01-29T03:00:33.000","2017-01-29T03:12:56.000","3","1.90","1","N","246","164","1","10.5","0.5","0.5","2","0","0.3","13.8"
"1","2017-01-29T03:00:33.000","2017-01-29T03:15:46.000","1","3.20","1","N","238","152","2","14","0.5","0.5","0","0","0.3","15.3"
"1","2017-01-29T03:00:34.000","2017-01-29T03:12:23.000","1","4.60","1","N","137","43","1","14.5","0.5","0.5","3.15","0","0.3","18.95"
"1","2017-01-29T03:00:34.000","2017-01-29T03:04:44.000","4","1.00","1","N","263","75","2","5.5","0.5","0.5","0","0","0.3","6.8"
"1","2017-01-29T03:00:34.000","2017-01-29T03:07:07.000","2","0.80","1","N","231","144","1","6","0.5","0.5","1","0","0.3","8.3"
"2","2017-01-29T03:00:34.000","2017-01-29T03:05:12.000","1","0.56","1","N","79","148","1","5","0.5","0.5","1.26","0","0.3","7.56"
"2","2017-01-29T03:00:34.000","2017-01-29T03:13:43.000","1","3.07","1","N","79","246","1","12","0.5","0.5","2.66","0","0.3","15.96"
"1","2017-01-29T03:00:35.000","2017-01-29T03:08:10.000","1","1.50","1","N","68","107","1","7.5","0.5","0.5","1.2","0","0.3","10"
"1","2017-01-29T03:00:35.000","2017-01-29T03:23:30.000","1","5.10","1","N","158","141","1","20","0.5","0.5","4.25","0","0.3","25.55"
"2","2017-01-29T03:00:35.000","2017-01-29T03:10:33.000","2","1.79","1","N","68","186","2","9","0.5","0.5","0","0","0.3","10.3"
"2","2017-01-29T03:00:35.000","2017-01-29T03:18:18.000","2","4.65","1","N","170","226","1","17","0.5","0.5","2","0","0.3","20.3"
"1","2017-01-29T03:00:36.000","2017-01-29T03:14:16.000","1","1.90","1","N","148","107","1","10.5","0.5","0.5","2.35","0","0.3","14.15"
"1","2017-01-29T03:00:36.000","2017-01-29T03:08:12.000","2","1.00","1","N","148","79","1","7","0.5","0.5","1.65","0","0.3","9.95"
"2","2017-01-29T03:00:36.000","2017-01-29T03:17:15.000","1","2.90","1","N","158","148","1","13.5","0.5","0.5","2.96","0","0.3","17.76"
"2","2017-01-29T03:00:36.000","2017-01-29T03:16:42.000","2","3.71","1","N","148","48","1","15","0.5","0.5","2","0","0.3","18.3"
"1","2017-01-29T03:00:37.000","2017-01-29T03:05:17.000","2","1.70","1","N","246","48","1","6.5","0.5","0.5","1","0","0.3","8.8"
"1","2017-01-29T03:00:37.000","2017-01-29T03:09:08.000","2","2.40","1","N","234","50","1","9.5","0.5","0.5","2.15","0","0.3","12.95"
"2","2017-01-29T03:00:37.000","2017-01-29T03:07:51.000","1","1.02","1","N","141","163","1","6.5","0.5","0.5","1.56","0","0.3","9.36"
"2","2017-01-29T03:00:37.000","2017-01-29T03:07:27.000","6","0.70","1","N","148","79","1","6","0.5","0.5","1","0","0.3","8.3"
"2","2017-01-29T03:00:37.000","2017-01-29T03:05:50.000","3","0.69","1","N","79","79","1","5.5","0.5","0.5","1.36","0","0.3","8.16"
"2","2017-01-29T03:00:37.000","2017-01-29T03:07:23.000","1","1.31","1","N","234","137","1","6.5","0.5","0.5","1.56","0","0.3","9.36"
"1","2017-01-29T03:00:38.000","2017-01-29T03:03:39.000","1","0.50","1","N","236","236","1","4.5","0.5","0.5","1.15","0","0.3","6.95"
"1","2017-01-29T03:00:38.000","2017-01-29T03:30:19.000","1","8.70","1","N","68","89","2","29","0.5","0.5","0","0","0.3","30.3"
"1","2017-01-29T03:00:38.000","2017-01-29T03:13:58.000","1","2.80","1","N","79","230","1","11.5","0.5","0.5","2.55","0","0.3","15.35"
"2","2017-01-29T03:00:38.000","2017-01-29T03:04:04.000","1","1.47","1","N","263","75","1","6","0.5","0.5","2.19","0","0.3","9.49"
"2","2017-01-29T03:00:38.000","2017-01-29T03:03:15.000","3","0.45","1","N","148","144","2","4","0.5","0.5","0","0","0.3","5.3"
"2","2017-01-29T03:00:38.000","2017-01-29T03:07:36.000","1","0.49","1","N","112","255","2","6","0.5","0.5","0","0","0.3","7.3"
"2","2017-01-29T03:00:38.000","2017-01-30T02:58:11.000","1","1.42","1","N","79","231","2","7","0.5","0.5","0","0","0.3","8.3"
"1","2017-01-29T03:00:39.000","2017-01-29T03:13:31.000","1","4.10","1","N","79","262","1","14","0.5","0.5","3.05","0","0.3","18.35"
"1","2017-01-29T03:00:39.000","2017-01-29T03:04:45.000","1","0.40","1","N","148","148","1","4.5","0.5","0.5","1.15","0","0.3","6.95"
"1","2017-01-29T03:00:39.000","2017-01-29T03:09:37.000","1","0.80","1","N","234","107","1","7","0.5","0.5","1.65","0","0.3","9.95"
"1","2017-01-29T03:00:39.000","2017-01-29T03:14:11.000","2","4.50","1","N","79","236","2","14.5","0.5","0.5","0","0","0.3","15.8"
"2","2017-01-29T03:00:39.000","2017-01-29T03:06:39.000","1","1.42","1","N","114","261","1","6.5","0.5","0.5","1.95","0","0.3","9.75"
"1","2017-01-29T03:00:40.000","2017-01-29T03:14:09.000","2","3.40","1","N","148","141","1","12.5","0.5","0.5","2.75","0","0.3","16.55"
"1","2017-01-29T03:00:40.000","2017-01-29T03:12:15.000","2","1.50","1","N","114","234","2","9","0.5","0.5","0","0","0.3","10.3"
"1","2017-01-29T03:00:40.000","2017-01-29T03:34:40.000","2","27.30","5","N","148","265","1","80","0","0","0","5.54","0.3","85.84"
"2","2017-01-29T03:00:40.000","2017-01-29T03:08:51.000","2","1.60","1","N","246","170","1","8","0.5","0.5","2.32","0","0.3","11.62"
"2","2017-01-29T03:00:40.000","2017-01-29T03:00:43.000","1","0.00","5","N","143","143","2","15.55","0","0","0","0","0.3","15.85"
"2","2017-01-29T03:00:40.000","2017-01-29T03:10:50.000","6","1.60","1","N","148","87","1","9","0.5","0.5","2.06","0","0.3","12.36"
"2","2017-01-29T03:00:40.000","2017-01-29T03:02:32.000","1","0.22","1","N","148","148","1","3.5","0.5","0.5","0.96","0","0.3","5.76"
"2","2017-01-29T03:00:40.000","2017-01-29T03:18:54.000","5","9.34","1","N","24","200","2","27","0.5","0.5","0","2.54","0.3","30.84"
"1","2017-01-29T03:00:41.000","2017-01-29T03:11:48.000","3","2.50","1","N","148","186","2","10.5","0.5","0.5","0","0","0.3","11.8"
"1","2017-01-29T03:00:41.000","2017-01-29T03:13:57.000","1","1.50","1","N","234","79","1","10","0.5","0.5","1","0","0.3","12.3"
