"order_number","record_type","order_type","borough","on_street","on_street_suffix","from_street","from_street_suffix","to_street","to_street_suffix","side_of_street","order_completed_on_date","sign_code","sign_description","sign_size","sign_design_voided_on_date","sign_location","distance_from_intersection","arrow_direction","facing_direction","sheeting_type","support","sign_notes","sign_x_coord","sign_y_coord"
"S-393800","Current","S-","Brooklyn","ATKINS AVENUE",,"LIBERTY AVENUE",,"GLENMORE AVENUE",,"W","2016-10-01T00:00:00.000","PS-2DA","STAR (SYMBOL) AVO DEPT OF EDUCATION SCHOOL DAYS 7AM-4PM --> (SUPERSEDES PS-16EA)(PUBLIC SCHOOL SIGN)","018 X 024",,,"355","North",,"PNTD","PNTD",,"1017706","185546"
"S-387052","Current","S-","Brooklyn","BAY   48 STREET",,"CROPSEY AVENUE",,"SHORE PARKWAY","N RDWY","W","2016-04-15T00:00:00.000","PS-37B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY 11:30AM-1PM <-> (SUPERSEDES SP-379C & SP-454C)","018 X 012",,,"365",,,"PNTD","PNTD",,"987118","152760"
"S-396312","Current","S-","Queens","BEACH FRONT ROAD",,"BEACH WAY",,"B   67 STREET",,"N","2016-10-14T00:00:00.000","PS-2G","NO PARKING ANYTIME <-> (SUPERSEDES SP-854C)","018 X 012",,,"214",,,"PNTD","PNTD",,"1040997","153501"
"S-507332","Current","S-","Queens","35 STREET",,"HUNTERS POINT AVENUE",,"48 AVENUE",,"W","2017-05-10T00:00:00.000","PS-2GA","NO PARKING ANYTIME --> (SUPERSEDES SP-854CA)","018 X 012",,,"609","North",,"PNTD","PNTD",,"1003423","208810"
"S-396489","Current","S-","Manhattan","EAST  127 STREET",,"3 AVENUE",,"LEXINGTON AVENUE",,"N","2017-02-28T00:00:00.000","PS-176B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 5:30AM-7AM <-> (SUPERSEDES SP-625C)","018 X 012",,,"91",,,"PNTD","PNTD",,"1002189","232633"
"S-396470","Current","S-","Brooklyn","AVENUE S",,"WEST    3 STREET",,"VAN SICKLEN STREET",,"S","2016-11-03T00:00:00.000","PS-34B","NO PARKING (SANITATION BROOM SYMBOL) WEDNESDAY 9:30AM-11AM <-> (SUPERSEDES SP-388C)","018 X 012",,,"11",,,"PNTD","PNTD",,"991075","158390"
"S-434965","Current","S-","Queens","37 AVENUE",,"36 STREET",,"35 STREET",,"N","2017-04-27T00:00:00.000","PS-16BA","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM --> (SUPERSEDES SP-850CA)","018 X 012",,,"219","East",,"PNTD","PNTD",,"1004225","213720"
"S-336784","Current","S-","Queens","BEACH   77 STREET",,"SHORE FRONT PARKWAY",,"ROCKAWAY BEACH BOULEVARD",,"E","2014-04-15T00:00:00.000","PS-28B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY 8:30AM-10AM <-> (SUPERSEDES SP-381C)","018 X 012",,,"181",,,"PNTD","PNTD",,"1038684","153243"
"S-393769","Current","S-","Queens","118 STREET",,"HILLSIDE AVENUE",,"85 AVENUE",,"E","2016-07-09T00:00:00.000","PS-190B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY NOON-1:30PM <-> (SUPERSEDES SP-386C)","018 X 012",,,"547",,,"PNTD","PNTD",,"1030587","195219"
"S-460380","Current","S-","Brooklyn","MILFORD STREET",,"LINDEN BOULEVARD",,"STANLEY AVENUE",,"W","2017-03-02T00:00:00.000","PS-122B","NO PARKING (SANITATION BROOM SYMBOL) MOON & STARS (SYMBOLS) MONDAY THURSDAY MIDNIGHT-3AM <-> (SUPERSEDES SP-340C)","018 X 012",,,"298",,,"PNTD","PNTD",,"1019518","181592"
"S-379920","Current","S-","Queens","BEACH CHANNEL DRIVE",,"REGINA AVENUE",,"MOTT AVENUE",,"E","2015-11-25T00:00:00.000","PS-3G","NO STOPPING ANYTIME <-> (SUPERSEDES SP-14A)","018 X 012",,,"215",,,"PNTD","PNTD",,"1052108","159571"
"S-435408","Current","S-","Queens","36 AVENUE",,"28 STREET",,"CRESCENT STREET",,"N","2017-01-05T00:00:00.000","PS-39B","NO PARKING (SANITATION BROOM SYMBOL) WEDNESDAY 11:30AM-1PM <-> (SUPERSEDES SP-460C)","018 X 012",,,"13",,,"PNTD","PNTD",,"1003030","215370"
"S-245825","Current","S-","Bronx","EAST  151 STREET",,"CEDAR LANE",,"WALTON AVENUE",,"N","2010-12-08T00:00:00.000","SP-415C","NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM TUES & FRI <-----> (SUPERSEDED BY PS-68B)","018 X 012","2019-05-22T00:00:00.000",,"39",,,"PNTD","PNTD",,"1004428","238212"
"S-01515188","Current","S-","Queens","32 AVENUE",,"138 STREET",,"137 STREET",,"N","2021-03-15T00:00:00.000","R7-40R","NO PARKING ANYTIME <----> (SUPERSEDES R7-40 DON'T USE --R7-40)(SUPERSEDED BY SP-854C)","018 X 012","2019-05-22T00:00:00.000",,"135",,,"PNTD","PNTD",,"1031257","219188"
"S-530888","Current","S-","Bronx","EAST  223 STREET",,"SCHIEFFELIN AVENUE",,"EASTCHESTER ROAD",,"S","2017-04-17T00:00:00.000","PS-41B","NO PARKING (SANITATION BROOM SYMBOL) FRIDAY 11:30AM-1PM <-> (SUPERSEDES SP-466C)","018 X 012`",,,"196",,,"PNTD","PNTD",,"1026332","260605"
"S-353730","Current","S-","Brooklyn","LINCOLN ROAD",,"BEDFORD AVENUE",,"FLATBUSH AVENUE",,"S","2015-02-04T00:00:00.000","PS-50B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9:30AM-11AM <-> (SUPERSEDES SP-63C)","018 X 012",,,"986",,,"PNTD","PNTD",,"995193","180065"
"S-363310","Current","S-","Brooklyn","LINCOLN PLACE",,"UTICA AVENUE",,"ROCHESTER AVENUE",,"S","2015-06-18T00:00:00.000","PS-12B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> (SUPERSEDES SP-846C)","018 X 012",,,"517",,,"PNTD","PNTD",,"1003914","183239"
"S-564774","Current","S-","Brooklyn","JEROME STREET",,"LIBERTY AVENUE",,"ATLANTIC AVENUE",,"E","2017-05-08T00:00:00.000","PS-2GA","NO PARKING ANYTIME --> (SUPERSEDES SP-854CA)","018 X 012",,,"96","North",,"PNTD","PNTD",,"1015481","185604"
"S-386262","Current","S-","Manhattan","HUDSON STREET",,"READE STREET",,"DUANE STREET",,"E","2016-03-25T00:00:00.000","PS-191E","TRUCK (SYMBOL) TRUCK LOADING ONLY MONDAY-FRIDAY 8AM-6PM <-> (SUPERSEDES SP-449C & SP-70B)","018 X 018",,,"210",,,"PNTD","PNTD",,"981743","200428"
"S-397956","Current","S-","Bronx","GRENADA PLACE",,"EDSON AVENUE",,"EAST  233 STREET",,"N","2016-09-13T00:00:00.000","PS-3A","BACK IN ANGLE PARKING ONLY <-> (SUPERSEDES SP-7D)","018 X 012",,,"28",,,"PNTD","PNTD",,"1027756","262988"
"S-349062","Current","S-","Brooklyn","AVENUE P",,"STILLWELL AVENUE",,"WEST   13 STREET",,"S","2014-11-10T00:00:00.000","PS-33B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY 9:30AM-11AM<-> (SUPERSEDES SP-382C)","018 X 012",,,"12",,,"PNTD","PNTD",,"987828","160486"
"S-461793","Current","S-","Staten Island","LISBON PLACE",,"BEDFORD AVENUE",,"MIDLAND AVENUE",,"N","2016-12-23T00:00:00.000","PS-31G","NO STANDING SCHOOL DAYS 7AM-4PM <-> (SUPERSEDES SP-279C)","018 X 012",,,"164",,,"PNTD","PNTD",,"954103","151223"
"S-559812","Current","S-","Manhattan","WEST   79 STREET",,"BROADWAY",,"WEST END AVENUE",,"N","2017-05-17T00:00:00.000","PS-18B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11AM-12:30PM <-> (SUPERSEDES SP-853C)","018 X 012",,,"208",,,"PNTD","PNTD",,"989578","225007"
"S-375364","Current","S-","Bronx","CARPENTER AVENUE",,"EAST  233 STREET",,"EAST  229 STREET",,"W","2015-11-18T00:00:00.000","PS-40B","NO PARKING (SANITATION BROOM SYMBOL) THURSDAY 11:30AM-1PM <-> (SUPERSEDES SP-463C)","018 X 012",,,"757",,,"PNTD","PNTD",,"1022565","264411"
"S-399158","Current","S-","Bronx","FAILE STREET",,"OAK POINT AVENUE",,"RANDALL AVENUE",,"E","2016-10-24T00:00:00.000","PS-122BA","NO PARKING (SANITATION BROOM SYMBOL) MOON & STARS (SYMBOLS) MONDAY THURSDAY MIDNIGHT-3AM --> (SUPERSEDES SP-340CA)","018 X 012",,,"251","North",,"PNTD","PNTD",,"1015939","234803"
"S-385385","Current","S-","Brooklyn","RALPH AVENUE",,"BROADWAY",,"QUINCY STREET",,"W","2016-06-09T00:00:00.000","PS-18B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11AM-12:30PM <-> (SUPERSEDES SP-853C)","018 X 012",,,"224",,,"PNTD","PNTD",,"1005270","190705"
"S-391638","Current","S-","Brooklyn","AVENUE O",,"OCEAN PARKWAY",,"EAST    5 STREET",,"N","2016-10-18T00:00:00.000","PS-40B","NO PARKING (SANITATION BROOM SYMBOL) THURSDAY 11:30AM-1PM <-> (SUPERSEDES SP-463C)","018 X 012",,,"264",,,"PNTD","PNTD",,"992735","162201"
"S-396704","Current","S-","Bronx","RHINELANDER AVENUE",,"COLDEN AVENUE",,"PAULDING AVENUE",,"S","2016-08-24T00:00:00.000","PS-50B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9:30AM-11AM <-> (SUPERSEDES SP-63C)","018 X 012",,,"180",,,"PNTD","PNTD",,"1023768","249089"
"S-348215","Current","S-","Queens","67 AVENUE",,"108 STREET",,"110 STREET",,"S","2014-09-12T00:00:00.000","PS-38B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY 11:30AM-1PM <-> (SUPERSEDES SP-385C)","018 X 012",,,"44",,,"PNTD","PNTD",,"1026567","204901"
"S-375594","Current","S-","Staten Island","SOUTH RAILROAD AVENUE",,"RENO AVENUE",,"CANNON BOULEVARD",,"S","2015-09-22T00:00:00.000","PS-1GA","NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)","018 X 012",,,"176","East",,"PNTD","PNTD",,"950364","146627"
"S-401677","Current","S-","Queens","BEACH CHANNEL DRIVE",,"B  169 STREET",,"B  149 STREET",,"S","1979-05-24T00:00:00.000","R7-20R","NO STANDING ANYTIME (REPLACED BY SP-10B)","018 X 012","2017-06-02T00:00:00.000",,"1973",,,,,,"1016832","146061"
"S-388205","Current","S-","Queens","43 STREET",,"30 AVENUE",,"28 AVENUE",,"E","2016-06-21T00:00:00.000","PS-50B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9:30AM-11AM <-> (SUPERSEDES SP-63C)","018 X 012",,,"387",,,"PNTD","PNTD",,"1008688","217522"
"S-523862","Current","S-","Brooklyn","LENOX ROAD",,"BEDFORD AVENUE",,"ROGERS AVENUE",,"S","2017-05-30T00:00:00.000","PS-68B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> (SUPERSEDES SP-415C)","018 X 012",,,"549",,,"PNTD","PNTD",,"996979","177495"
"S-01630979","Current","S-","Staten Island","THE BOULEVARD",,"JEWETT AVENUE",,"WARDWELL AVENUE",,"N","2023-06-21T00:00:00.000","PS-1GA","NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)","018 X 012",,,"260","West",,"PNTD","PNTD","FOR DAYLIGHTING","947522","164659"
"S-398098","Current","S-","Manhattan","WEST   54 STREET",,"10 AVENUE",,"9 AVENUE",,"S","2016-11-29T00:00:00.000","PS-39GA","NO PARKING 8AM-6PM EXCEPT SUNDAY --> (SUPERSEDES R7-44RA)","018 X 012",,,"640","West",,"PNTD","PNTD",,"987609","218445"
"S-541356","Current","S-","Bronx","INDEPENDENCE AVENUE",,"WEST  236 STREET",,"WEST  235 STREET",,"W","2017-04-10T00:00:00.000","PS-8A","BACK IN 60 DEG PARKING ONLY <-> (SUPERSEDES SP-176D)","018 X 012",,,"223",,,"PNTD","PNTD",,"1008064","262299"
"S-350790","Current","S-","Brooklyn","CENTRAL AVENUE",,"PALMETTO STREET",,"WOODBINE STREET",,"W","2014-12-19T00:00:00.000","PS-54B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 8AM-9:30AM <-> (SUPERSEDES SP-412C)","018 X 012",,,"13",,,"PNTD","PNTD",,"1007276","191899"
"S-388237","Current","S-","Queens","46 STREET",,"BROADWAY",,"34 AVENUE",,"W","2016-09-22T00:00:00.000","PS-16B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> (SUPERSEDES SP-850C)","018 X 012",,,"535",,,"PNTD","PNTD",,"1007713","214516"
"S-375293","Current","S-","Bronx","MORRIS AVENUE",,"EAST  173 STREET",,"MT EDEN PARKWAY",,"W","2015-10-27T00:00:00.000","PS-112D","CROSS (SYMBOL) DOCTOR LICENSE PLATES ONLY 7AM-7PM ALL DAYS <->","018 X 018",,,"173",,,"PNTD","PNTD",,"1009267","246516"
"S-392385","Current","S-","Brooklyn","LORRAINE STREET",,"COURT STREET",,"CLINTON STREET",,"N","2016-09-06T00:00:00.000","PS-122B","NO PARKING (SANITATION BROOM SYMBOL) MOON & STARS (SYMBOLS) MONDAY THURSDAY MIDNIGHT-3AM <-> (SUPERSEDES SP-340C)","018 X 012",,,"268",,,"PNTD","PNTD",,"983819","184444"
"S-564425","Current","S-","Brooklyn","IRVING PLACE",,"FULTON STREET",,"PUTNAM AVENUE",,"E","2017-04-27T00:00:00.000","PS-33BA","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY 9:30AM-11AM--> (SUPERSEDES SP-382CA)","018 X 012",,,"35","North",,"PNTD","PNTD",,"995464","187785"
"S-475803","Current","S-","Manhattan","WEST  155 STREET",,"RIVERSIDE DRIVE",,"BROADWAY",,"N","2017-04-28T00:00:00.000","PS-39BA","NO PARKING (SANITATION BROOM SYMBOL) WEDNESDAY 11:30AM-1PM --> (SUPERSEDES SP-460CA)","018 X 012",,,"242","East",,"PNTD","PNTD",,"998791","242965"
"S-397956","Current","S-","Bronx","GRENADA PLACE",,"EDSON AVENUE",,"EAST  233 STREET",,"N","2016-09-13T00:00:00.000","PS-40B","NO PARKING (SANITATION BROOM SYMBOL) THURSDAY 11:30AM-1PM <-> (SUPERSEDES SP-463C)","018 X 012",,,"28",,,"PNTD","PNTD",,"1027756","262988"
"S-581162","Current","S-","Staten Island","TRAVIS AVENUE",,"NEHRING AVENUE",,"KEATING PLACE",,"N","2017-05-11T00:00:00.000","SI-1883G","LIMITED MTA BUS DESTINATION PANEL (TEXT TO BE MODIFIED AS REQUESTED)","18.12 X 6""",,,"90",,,"PNTD","PNTD","STATEN ISLAND MALL","940600","154352"
"S-364377","Current","S-","Brooklyn","BRIGHTON    2 LANE",,"BRIGHTON    2 PLACE",,"BRIGHTON    3 STREET",,"N","2015-07-07T00:00:00.000","PS-2GA","NO PARKING ANYTIME --> (SUPERSEDES SP-854CA)","018 X 012",,,"6","East",,"PNTD","PNTD",,"993700","150309"
"S-394026","Current","S-","Brooklyn","WEST END AVENUE",,"CASS PLACE",,"OCEANVIEW AVENUE",,"W","2016-09-27T00:00:00.000","PS-16B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> (SUPERSEDES SP-850C)","018 X 012",,,"101",,,"PNTD","PNTD",,"997072","151098"
"S-326404","Current","S-","Queens","39 PLACE",,"47 AVENUE",,"QUEENS BOULEVARD",,"W","2013-08-23T00:00:00.000","PS-35B","NO PARKING (SANITATION BROOM SYMBOL) THURSDAY 9:30AM-11AM <-> (SUPERSEDES SP-394C)","018 X 012",,,"48",,,"PNTD","PNTD",,"1004865","209653"
"S-141108","Current","S-","Queens","112 STREET",,"70 AVENUE",,"JEWEL AVENUE",,"W","2005-01-03T00:00:00.000","SP-394C","NO PARKING (SANITATION BROOM SYMBOL) 9:30-11AM THURS <----> (SUPERSEDED BY PS-35B)","018 X 012","2019-05-22T00:00:00.000",,"200",,,"PNTD","PNTD",,"1028502","203399"
"S-338772","Current","S-","Brooklyn","NEW JERSEY AVENUE",,"LIVONIA AVENUE",,"RIVERDALE AVENUE",,"W","2015-08-13T00:00:00.000","PS-54B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 8AM-9:30AM <-> (SUPERSEDES SP-412C)","018 X 012",,,"80",,,"PNTD","PNTD",,"1013925","181436"
"S-348606","Current","S-","Queens","PROSPECT AVENUE",,"PINE STREET",,"POPLAR STREET",,"E","2014-09-05T00:00:00.000","PS-15G","NO PARKING MONDAY-FRIDAY 8AM-6PM <-> (SUPERSEDES R7-45R)","018 X 012",,,"195",,,"PNTD","PNTD",,,
"S-395011","Current","S-","Bronx","EDGEWATER ROAD",,"LAFAYETTE AVENUE",,"GARRISON AVENUE",,"E","2016-08-31T00:00:00.000","PS-3B","NO PARKING (SANITATION BROOM SYMBOL) MOON & STARS (SYMBOLS) TUESDAY FRIDAY 3AM-6AM <-> (SUPERSEDES SP-833C)","018 X 012",,,"960",,,"PNTD","PNTD",,"1016316","238018"
"S-393821","Current","S-","Brooklyn","LINWOOD STREET",,"RIDGEWOOD AVENUE",,"ARLINGTON AVENUE",,"W","2016-10-01T00:00:00.000","PS-18B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11AM-12:30PM <-> (SUPERSEDES SP-853C)","018 X 012",,,"570",,,"PNTD","PNTD",,"1016392","187508"
"S-068134","Current","S-","Bronx","MATTHEWS AVENUE",,"NEILL AVENUE",,"BRADY AVENUE",,"W","2001-03-03T00:00:00.000","SP-370C","NO PARKING (SANITATION BROOM SYMBOL) 9:30-11AM MON & THURS <---> (SUPERSEDED BY PS-57B)","018 X 012","2019-05-22T00:00:00.000",,"46",,,"PNTD","PNTD",,"1022124","249268"
"S-599207","Current","S-","Brooklyn","RIVERDALE AVENUE",,"BRADFORD STREET",,"WYONA STREET",,"N","2017-05-31T00:00:00.000","PS-54B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 8AM-9:30AM <-> (SUPERSEDES SP-412C)","018 X 012",,,"198",,,"PNTD","PNTD",,"1014582","181105"
"S-501903","Current","S-","Brooklyn","ROGERS AVENUE",,"PROSPECT PLACE",,"SAINT MARKS AVENUE",,"W","2017-04-26T00:00:00.000","PS-6G","NO STANDING MONDAY-FRIDAY 7AM-10AM 4PM-7PM <-> (SUPERSEDES SP-1120B)","018 X 018",,,"100",,,"PNTD","PNTD",,"997317","185124"
"S-396253","Current","S-","Manhattan","NAGLE AVENUE",,"ELLWOOD STREET",,"SICKLES STREET",,"E","2017-02-28T00:00:00.000","PS-2D","STAR (SYMBOL) AVO DEPT OF EDUCATION SCHOOL DAYS 7AM-4PM <-> (SUPERSEDES PS-16E) (PUBLIC SCHOOL SIGN)","018 X 024",,,"305",,,"PNTD","PNTD",,"1004314","252864"
"S-396273","Current","S-","Brooklyn","SEABRING STREET",,"COLUMBIA STREET",,"RICHARDS STREET",,"N","2016-11-21T00:00:00.000","PS-122B","NO PARKING (SANITATION BROOM SYMBOL) MOON & STARS (SYMBOLS) MONDAY THURSDAY MIDNIGHT-3AM <-> (SUPERSEDES SP-340C)","018 X 012",,,"357",,,"PNTD","PNTD",,"982527","187192"
"S-398159","Current","S-","Brooklyn","MENAHAN STREET",,"KNICKERBOCKER AVENUE",,"MYRTLE AVENUE",,"N","2016-11-17T00:00:00.000","PS-18B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11AM-12:30PM <-> (SUPERSEDES SP-853C)","018 X 012",,,"297",,,"PNTD","PNTD",,"1007385","193932"
"S-396760","Current","S-","Manhattan","WEST   91 STREET",,"CENTRAL PARK WEST",,"COLUMBUS AVENUE",,"N","2017-02-08T00:00:00.000","PS-16B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> (SUPERSEDES SP-850C)","018 X 012",,,"275",,,"PNTD","PNTD",,"993126","226703"
"S-940213","Current","S-","Bronx","BOUCK AVENUE",,"ARNOW AVENUE",,"ALLERTON AVENUE",,"W","1997-01-10T00:00:00.000","R7-70","NO PARKING 7AM-4PM SCHOOL DAYS (SUPERSEDED BY SP-279C)","012 X 018","2019-05-22T00:00:00.000",,"133",,,,,,"1025716","255191"
"P-411100","Current","P-","Manhattan","3 AVENUE",,"EAST   43 STREET",,"EAST   44 STREET",,"W","2017-04-29T00:00:00.000","PS-9A","PAY-BY-CELL LOCATOR NUMBER","018 X 006",,,"204",,,"PNTD","PNTD","103020","991541","213257"
"S-398276","Current","S-","Bronx","EAST  224 STREET",,"BRONXWOOD AVENUE",,"BARNES AVENUE",,"S","2016-10-11T00:00:00.000","PS-31B","NO PARKING (SANITATION BROOM SYMBOL) FRIDAY 8:30AM-10AM <-> (SUPERSEDES SP-464C)","018 X 012",,,"115",,,"PNTD","PNTD",,"1024184","261877"
"S-175423","Current","S-","Queens","178 STREET",,"88 AVENUE",,"HILLSIDE AVENUE",,"W","2007-10-09T00:00:00.000","SP-373C","NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM MON & THURS <----> (SUPERSEDED BY SP-850C)","018 X 012","2019-05-22T00:00:00.000",,"31",,,"PNTD","PNTD",,"1043815","198638"
"S-396553","Current","S-","Bronx","SHAKESPEARE AVENUE",,"JEROME AVENUE",,"WEST  169 STREET",,"E","2016-08-23T00:00:00.000","PS-80BA","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11:30AM-1PM --> (SUPERSEDES SP-361CA)","018 X 012",,,"921","South",,"PNTD","PNTD",,"1005618","244569"
"S-192329","Current","S-","Staten Island","FREEMAN PLACE",,"EAST RALEIGH AVENUE",,"PURCELL STREET",,"E","2008-10-08T00:00:00.000","R7-40R","NO PARKING ANYTIME <----> (SUPERSEDES R7-40 DON'T USE --R7-40)(SUPERSEDED BY SP-854C)","018 X 012","2019-05-22T00:00:00.000",,"156",,,"PNTD","PNTD",,"951690","167793"
"P-443744","Current","P-","Manhattan","WEST   56 STREET",,"6 AVENUE",,"5 AVENUE",,"N","2016-12-14T00:00:00.000","PS-11GA","NO STANDING HOTEL LOADING ZONE --> (SUPERSEDES SP-1045BA)","018 X 012",,,"691","West",,"PNTD","PNTD",,"991069","217162"
