"boro_block_lot","address","neighborhood","building_classification","total_units","year_built","gross_sqft","estimated_gross_income","gross_income_per_sqft","estimated_expense","expense_per_sqft","net_operating_income","full_market_value","market_value_per_sqft","boro_block_lot_1","address_1","neighborhood_1","building_classification_1","total_units_1","year_built_1","gross_sqft_1","estimated_gross_income_1","gross_income_per_sqft_1","estimated_expense_1","expense_per_sqft_1","net_operating_income_1","full_market_value_1","market_value_per_sqft_1","distance_from_co_op_in_miles","boro_block_lot_2","address_2","neighborhood_2","building_classification_2","total_units_2","year_built_2","gross_sqft_2","estimated_gross_income_2","gross_income_per_sqft_2","estimated_expense_2","expense_per_sqft_2","net_operating_income_2","full_market_value_2","market_value_per_sqft_2","distance_from_co_op_in_miles_1","boro_block_lot_3","address_3","neighborhood_3","building_classification_3","total_units_3","year_built_3","gross_sqft_3","estimated_gross_income_3","gross_income_per_sqft_3","estimated_expense_3","expense_per_sqft_3","net_operating_income_3","full_market_value_3","market_value_per_sqft_3","distance_from_co_op_in_miles_2","report_year"
"1-00144-0001","16 HUDSON STREET","TRIBECA","D4  -ELEVATOR","36","1915","78306","4780581","61.05","1159712","14.81","3620869","29407000","375.54","1-00140-0005","121 READE STREET","TRIBECA","D6  -ELEVATOR","123","1997","144568","7787878","53.87","2025398","14.01","5762480","46802000","323.74","0.07","1-00174-0023","81 FRANKLIN STREET","CIVIC CENTER","D7  -ELEVATOR","12","1915","25738","1756104","68.23","401513","15.6","1354591","11001000","427.42","0.23",,,,,,,,,,,,,,,,"2019"
"1-00144-0023","84 THOMAS STREET","TRIBECA","D4  -ELEVATOR","12","1880","30222","1278391","42.3","351482","11.63","926909","7527000","249.06","1-00470-0005","160 MOTT STREET","LITTLE ITALY","D1  -ELEVATOR","35","1910","11967","516017","43.12","155810","13.02","360207","2663000","222.53","0.67","1-00504-0036","100 SULLIVAN STREET","SOHO","D1  -ELEVATOR","70","1920","33750","1427625","42.3","425588","12.61","1002037","11997000","355.47","0.68","1-00506-0016","30 CHARLTON STREET","SOHO","D1  -ELEVATOR","86","1920","44256","1851228","41.83","554970","12.54","1296258","13720000","310.01","0.69","2019"
"1-00146-0021","134 DUANE STREET","CIVIC CENTER","D0  -ELEVATOR","18","1920","41756","1750412","41.92","525290","12.58","1225122","9951000","238.31","1-00150-0015","122 DUANE STREET","CIVIC CENTER","D5  -ELEVATOR","25","1920","29165","1156684","39.66","295733","10.14","860951","10423000","357.38","0.09","1-00134-0011","33 WARREN STREET","CIVIC CENTER","D6  -ELEVATOR","20","1930","30999","1299478","41.92","424376","13.69","875102","8581000","276.82","0.16","1-00174-0023","81 FRANKLIN STREET","CIVIC CENTER","D7  -ELEVATOR","12","1915","25738","1175712","45.68","304223","11.82","871489","11001000","427.42","0.2","2019"
"1-00150-0010","74 READE STREET","CIVIC CENTER","D4  -ELEVATOR","11","1915","20788","878917","42.28","227005","10.92","651912","5295000","254.71","1-00470-0005","160 MOTT STREET","LITTLE ITALY","D1  -ELEVATOR","35","1910","11967","505845","42.27","126611","10.58","379234","2663000","222.53","0.62","1-00504-0031","110 SULLIVAN STREET","SOHO","D1  -ELEVATOR","60","1920","38880","1643846","42.28","437400","11.25","1206446","10625000","273.28","0.75",,,,,,,,,,,,,,,,"2019"
"1-00161-0001","196 PARK ROW","CIVIC CENTER","D4  -ELEVATOR","253","1965","306862","14649592","47.74","5756731","18.76","8892861","72223000","235.36","1-00309-0022","51 LUDLOW STREET","LOWER EAST SIDE","D3  -ELEVATOR","35","2000","26300","1279495","48.65","469718","17.86","809777","10383000","394.79","0.52","1-00274-0014","75 MONROE STREET","LOWER EAST SIDE","D3  -ELEVATOR","24","1900","10785","514876","47.74","202327","18.76","312549","2375000","220.21","0.35","1-00470-0005","160 MOTT STREET","LITTLE ITALY","D1  -ELEVATOR","35","1910","11967","558859","46.7","216244","18.07","342615","2663000","222.53","0.45","2019"
"1-00172-0001","364 BROADWAY","CHINATOWN","D0  -ELEVATOR","39","1920","93378","4647423","49.77","1707884","18.29","2939539","23877000","255.7","1-00172-0030","54 FRANKLIN STREET","CHINATOWN","D5  -ELEVATOR","12","1920","29575","1553575","52.53","507507","17.16","1046068","6249000","211.29","0.04","1-00206-0026","203 CANAL STREET","CHINATOWN","D7  -ELEVATOR","14","1915","16120","802292","49.77","285969","17.74","516323","4468000","277.17","0.22","1-00304-0021","249 GRAND STREET","CHINATOWN","D7  -ELEVATOR","26","1910","26565","1298232","48.87","449480","16.92","848752","2671000","100.55","0.43","2019"
"1-00178-0025","13 WHITE STREET","CIVIC CENTER","D4  -ELEVATOR","29","1890","49000","2167760","44.24","750680","15.32","1417080","11510000","234.9","1-00178-0022","3 WHITE STREET","CIVIC CENTER","D7  -ELEVATOR","13","1918","32803","1453501","44.31","482204","14.7","971297","6604000","201.32","0","1-00170-0001","336 BROADWAY","CIVIC CENTER","D6  -ELEVATOR","151","1999","139697","6061453","43.39","2236549","16.01","3824904","51970000","372.02","0.22","1-00134-0011","33 WARREN STREET","CIVIC CENTER","D6  -ELEVATOR","20","1930","30999","1371396","44.24","524193","16.91","847203","8581000","276.82","0.37","2019"
"1-00179-0006","7 WORTH STREET","TRIBECA","D4  -ELEVATOR","13","1880","47520","2081376","43.8","671458","14.13","1409918","11452000","240.99","1-00134-0011","33 WARREN STREET","CIVIC CENTER","D6  -ELEVATOR","20","1930","30999","1456333","46.98","399577","12.89","1056756","8581000","276.82","0.32","1-01422-0021","1283 2 AVENUE","UPPER EAST SIDE (59-79)","D6  -ELEVATOR","181","1973","348130","14141041","40.62","4738049","13.61","9402992","76383000","219.41","4.07",,,,,,,,,,,,,,,,"2019"
"1-00179-0011","1 WORTH STREET","TRIBECA","D4  -ELEVATOR","11","1915","19285","1011113","52.43","320902","16.64","690211","5606000","290.69","1-00179-0032","176 WEST BROADWAY","TRIBECA","D6  -ELEVATOR","19","2008","52930","2889978","54.6","1011492","19.11","1878486","27264000","515.1","0","1-00142-0025","310 GREENWICH STREET","TRIBECA","D6  -ELEVATOR","1349","1975","1970736","99955730","50.72","28950112","14.69","71005618","375422000","190.5","0.2","1-00016-0100","345 SOUTH END AVENUE","TRIBECA","D6  -ELEVATOR","1722","1983","1881621","98653389","52.43","31310173","16.64","67343216","426598000","226.72","0.66","2019"
"1-00179-0021","10 LEONARD STREET","TRIBECA","D0  -ELEVATOR","17","1920","29610","1585912","53.56","679550","22.95","906362","7362000","248.63","1-00142-0025","310 GREENWICH STREET","TRIBECA","D6  -ELEVATOR","1349","1975","1970736","105079644","53.32","46115222","23.4","58964422","375422000","190.5","0.2","1-00016-0100","345 SOUTH END AVENUE","TRIBECA","D6  -ELEVATOR","1722","1983","1881621","103545604","55.03","47699092","25.35","55846512","426598000","226.72","0.66","1-00016-0221","450 NORTH END AVENUE","TRIBECA","D8  -ELEVATOR","152","1998","244617","13101687","53.56","6188810","25.3","6912877","64777000","264.81","0.66","2019"
"1-00179-0056","100 HUDSON STREET","TRIBECA","D4  -ELEVATOR","49","1919","73954","3524648","47.66","1026482","13.88","2498166","20289000","274.35","1-00179-0032","176 WEST BROADWAY","TRIBECA","D6  -ELEVATOR","19","2008","52930","2637502","49.83","865406","16.35","1772096","27264000","515.1","0.03","1-00142-0025","310 GREENWICH STREET","TRIBECA","D6  -ELEVATOR","1349","1975","1970736","90555319","45.95","23530588","11.94","67024731","375422000","190.5","0.22","1-00016-0100","345 SOUTH END AVENUE","TRIBECA","D6  -ELEVATOR","1722","1983","1881621","89678057","47.66","26116899","13.88","63561158","426598000","226.72","0.69","2019"
"1-00187-0030","105 HUDSON STREET","TRIBECA","D0  -ELEVATOR","32","1920","89724","4514912","50.32","1302792","14.52","3212120","26087000","290.75","1-00142-0025","310 GREENWICH STREET","TRIBECA","D6  -ELEVATOR","1349","1975","1970736","98674752","50.07","24870688","12.62","73804064","375422000","190.5","0.19","1-00016-0100","345 SOUTH END AVENUE","TRIBECA","D6  -ELEVATOR","1722","1983","1881621","97430335","51.78","27415218","14.57","70015117","426598000","226.72","0.69","1-00016-0221","450 NORTH END AVENUE","TRIBECA","D8  -ELEVATOR","152","1998","244617","12309127","50.32","3551839","14.52","8757288","64777000","264.81","0.69","2019"
"1-00188-0001","55 NORTH MOORE STREET","TRIBECA","D4  -ELEVATOR","14","1915","23700","1103709","46.57","316632","13.36","787077","6392000","269.7","1-00142-0025","310 GREENWICH STREET","TRIBECA","D6  -ELEVATOR","1349","1975","1970736","88407217","44.86","22505805","11.42","65901412","375422000","190.5","0.23","1-00016-0100","345 SOUTH END AVENUE","TRIBECA","D6  -ELEVATOR","1722","1983","1881621","87627090","46.57","25138457","13.36","62488633","426598000","226.72","0.73","1-00092-0017","47 ANN STREET","SOUTHBRIDGE","D9  -ELEVATOR","13","1900","24610","1169713","47.53","344786","14.01","824927","4990000","202.76","0.69","2019"
"1-00189-0025","34 NORTH MOORE STREET","TRIBECA","D0  -ELEVATOR","14","1910","28500","1096395","38.47","521835","18.31","574560","4666000","163.72","1-00140-0005","121 READE STREET","TRIBECA","D6  -ELEVATOR","123","1997","144568","4160667","28.78","2182977","15.1","1977690","46802000","323.74","0.27","1-00179-0032","176 WEST BROADWAY","TRIBECA","D6  -ELEVATOR","19","2008","52930","2036217","38.47","969148","18.31","1067069","27264000","515.1","0.08","1-00174-0023","81 FRANKLIN STREET","CIVIC CENTER","D7  -ELEVATOR","12","1915","25738","1027718","39.93","404859","15.73","622859","11001000","427.42","0.21","2019"
"1-00189-0030","20 NORTH MOORE STREET","TRIBECA","D4  -ELEVATOR","20","1921","60600","2390670","39.45","768408","12.68","1622262","13175000","217.41","1-00142-0025","310 GREENWICH STREET","TRIBECA","D6  -ELEVATOR","1349","1975","1970736","74375577","37.74","21165705","10.74","53209872","375422000","190.5","0.25","1-00016-0100","345 SOUTH END AVENUE","TRIBECA","D6  -ELEVATOR","1722","1983","1881621","74229948","39.45","23858954","12.68","50370994","426598000","226.72","0.73","1-00092-0017","47 ANN STREET","SOUTHBRIDGE","D9  -ELEVATOR","13","1900","24610","994490","40.41","328051","13.33","666439","4990000","202.76","0.62","2019"
"1-00210-0026","45 LISPENARD STREET","TRIBECA","D4  -ELEVATOR","19","1920","37400","1653454","44.21","553894","14.81","1099560","8931000","238.8","1-00134-0011","33 WARREN STREET","CIVIC CENTER","D6  -ELEVATOR","20","1930","30999","1412624","45.57","542483","17.5","870141","8581000","276.82","0.49","1-00016-0221","450 NORTH END AVENUE","TRIBECA","D8  -ELEVATOR","152","1998","244617","10814518","44.21","3838041","15.69","6976477","64777000","264.81","0.91","1-00477-0001","80 VARICK STREET","SOHO","D5  -ELEVATOR","61","1920","125235","5500321","43.92","1963685","15.68","3536636","17950000","143.33","0.28","2019"
"1-00214-0025","135 HUDSON STREET","TRIBECA","C6  -WALK-UP","12","1915","22363","922250","41.24","319344","14.28","602906","4897000","218.98","1-00489-0005","63 SULLIVAN STREET","SOHO","C1  -WALK-UP","13","1989","9110","381071","41.83","135648","14.89","245423","1734000","190.34","0.37","1-00489-0007","67 SULLIVAN STREET","SOHO","C1  -WALK-UP","12","1900","9110","375696","41.24","130091","14.28","245605","1656000","181.78","0.37","1-00479-0039","366 BROOME STREET","LITTLE ITALY","C4  -WALK-UP","22","1905","14875","595893","40.06","245140","16.48","350753","4685000","314.96","0.7","2019"
"1-00219-0026","165 HUDSON STREET","TRIBECA","D0  -ELEVATOR","18","1910","30000","1419900","47.33","458100","15.27","961800","7811000","260.37","1-00179-0032","176 WEST BROADWAY","TRIBECA","D6  -ELEVATOR","19","2008","52930","2622682","49.55","962797","18.19","1659885","27264000","515.1","0.29","1-00142-0025","310 GREENWICH STREET","TRIBECA","D6  -ELEVATOR","1349","1975","1970736","89983806","45.66","27137035","13.77","62846771","375422000","190.5","0.36","1-00178-0022","3 WHITE STREET","CIVIC CENTER","D7  -ELEVATOR","13","1918","32803","1552566","47.33","500902","15.27","1051664","6604000","201.32","0.3","2019"
"1-00229-0020","71 GRAND STREET","SOHO","D4  -ELEVATOR","18","1920","42240","1905446","45.11","465485","11.02","1439961","11693000","276.82","1-00488-0037","508 BROOME STREET","SOHO","D5  -ELEVATOR","14","1900","21598","974286","45.11","280990","13.01","693296","6124000","283.54","0.2","1-00477-0001","80 VARICK STREET","SOHO","D5  -ELEVATOR","61","1920","125235","5611780","44.81","1395118","11.14","4216662","17950000","143.33","0.2","1-00501-0006","423 WEST BROADWAY","SOHO","D7  -ELEVATOR","28","1910","20670","993814","48.08","273671","13.24","720143","10328000","499.66","0.28","2019"
"1-00229-0022","75 GRAND STREET","SOHO","D4  -ELEVATOR","31","1915","76492","4464073","58.36","1088481","14.23","3375592","27412000","358.36","1-00488-0037","508 BROOME STREET","SOHO","D5  -ELEVATOR","14","1900","21598","1210136","56.03","335201","15.52","874935","6124000","283.54","0.2","1-00501-0006","423 WEST BROADWAY","SOHO","D7  -ELEVATOR","28","1910","20670","1219530","59","325759","15.76","893771","10328000","499.66","0.28","1-00504-0019","202 AVENUE OF THE AMERICAS","SOHO","D9  -ELEVATOR","40","1910","21740","1268746","58.36","365884","16.83","902862","8541000","392.87","0.33","2019"
"1-00230-0015","16 GREENE STREET","SOHO","D4  -ELEVATOR","12","1920","23628","1029708","43.58","239115","10.12","790593","6421000","271.75","1-00504-0036","100 SULLIVAN STREET","SOHO","D1  -ELEVATOR","70","1920","33750","1470825","43.58","341550","10.12","1129275","11997000","355.47","0.36","1-00506-0016","30 CHARLTON STREET","SOHO","D1  -ELEVATOR","86","1920","44256","1907434","43.1","444330","10.04","1463104","13720000","310.01","0.42","1-00470-0005","160 MOTT STREET","LITTLE ITALY","D1  -ELEVATOR","35","1910","11967","531215","44.39","125893","10.52","405322","2663000","222.53","0.35","2019"
"1-00230-0031","31 MERCER STREET","SOHO","D4  -ELEVATOR","14","1920","30000","1576200","52.54","534900","17.83","1041300","8456000","281.87","1-00488-0037","508 BROOME STREET","SOHO","D5  -ELEVATOR","14","1900","21598","1134759","52.54","458958","21.25","675801","6124000","283.54","0.23","1-00477-0001","80 VARICK STREET","SOHO","D5  -ELEVATOR","61","1920","125235","6542276","52.24","2425802","19.37","4116474","17950000","143.33","0.24","1-00501-0006","423 WEST BROADWAY","SOHO","D7  -ELEVATOR","28","1910","20670","1147392","55.51","443992","21.48","703400","10328000","499.66","0.3","2019"
"1-00232-0009","452 BROADWAY","SOHO","D4  -ELEVATOR","28","1900","42111","2126184","50.49","393317","9.34","1732867","14075000","334.24","1-00488-0037","508 BROOME STREET","SOHO","D5  -ELEVATOR","14","1900","21598","1090483","50.49","301292","13.95","789191","6124000","283.54","0.29","1-00477-0001","80 VARICK STREET","SOHO","D5  -ELEVATOR","61","1920","125235","6285545","50.19","1511586","12.07","4773959","17950000","143.33","0.34","1-00501-0006","423 WEST BROADWAY","SOHO","D7  -ELEVATOR","28","1910","20670","1105018","53.46","293101","14.18","811917","10328000","499.66","0.33","2019"
"1-00244-0019","605 WATER STREET","LOWER EAST SIDE","D4  -ELEVATOR","124","1964","124600","2777334","22.29","1415456","11.36","1361878","10637000","85.37","1-00248-0070","80 RUTGERS SLIP","LOWER EAST SIDE","D9  -ELEVATOR","109","1987","83904","1863508","22.21","937208","11.17","926300","13922000","165.93","0.34","1-00273-0017","191 MADISON STREET","LOWER EAST SIDE","D1  -ELEVATOR","24","1910","8995","201218","22.37","103802","11.54","97416","1187000","131.96","0.38",,,,,,,,,,,,,,,,"2019"
"1-00259-0001","604 WATER STREET","LOWER EAST SIDE","D4  -ELEVATOR","124","1964","126150","2670596","21.17","1566783","12.42","1103813","8535000","67.66","1-00346-0001","50 NORFOLK STREET","LOWER EAST SIDE","D1  -ELEVATOR","156","1982","137909","2885056","20.92","1646633","11.94","1238423","9941000","72.08","0.36","1-00248-0070","80 RUTGERS SLIP","LOWER EAST SIDE","D9  -ELEVATOR","109","1987","83904","1776248","21.17","1042088","12.42","734160","13922000","165.93","0.36","1-00273-0017","191 MADISON STREET","LOWER EAST SIDE","D1  -ELEVATOR","24","1910","8995","191863","21.33","115136","12.8","76727","1187000","131.96","0.36","2019"
"1-00259-0071","35 MONTGOMERY STREET","LOWER EAST SIDE","D4  -ELEVATOR","145","1964","287175","7061633","24.59","3242206","11.29","3819427","30306000","105.53","1-00346-0001","50 NORFOLK STREET","LOWER EAST SIDE","D1  -ELEVATOR","156","1982","137909","3356705","24.34","1490796","10.81","1865909","9941000","72.08","0.36","1-00248-0070","80 RUTGERS SLIP","LOWER EAST SIDE","D9  -ELEVATOR","109","1987","83904","2063199","24.59","947276","11.29","1115923","13922000","165.93","0.36","1-00273-0017","191 MADISON STREET","LOWER EAST SIDE","D1  -ELEVATOR","24","1910","8995","222626","24.75","104972","11.67","117654","1187000","131.96","0.36","2019"
"1-00267-0001","305 MADISON STREET","LOWER EAST SIDE","D4  -ELEVATOR","143","1964","136070","3457539","25.41","1306272","9.6","2151267","17151000","126.05","1-00341-0001","460 GRAND STREET","LOWER EAST SIDE","D6  -ELEVATOR","201","1976","265181","6738249","25.41","2545738","9.6","4192511","43649000","164.6","0.2","1-00341-0058","410 GRAND STREET","LOWER EAST SIDE","D6  -ELEVATOR","404","1972","225000","5870250","26.09","1887750","8.39","3982500","45135000","200.6","0.2","1-00248-0015","82 RUTGERS SLIP","LOWER EAST SIDE","D9  -ELEVATOR","203","1995","260000","6562400","25.24","2438800","9.38","4123600","16736000","64.37","0.46","2019"
"1-00299-0027","25 ORCHARD STREET","LOWER EAST SIDE","C8  -WALK-UP","16","1900","12325","535891","43.48","92561","7.51","443330","3601000","292.17","1-00283-0049","19 PIKE STREET","LOWER EAST SIDE","C7  -WALK-UP","27","1910","18936","811786","42.87","184247","9.73","627539","3339000","176.33","0.14","1-00308-0021","53 ORCHARD STREET","LOWER EAST SIDE","C7  -WALK-UP","14","1910","9478","419875","44.3","94780","10","325095","1981000","209.01","0.08","1-00418-0037","305 BROOME STREET","LOWER EAST SIDE","C7  -WALK-UP","24","1900","18055","785031","43.48","135593","7.51","649438","7271000","402.71","0.19","2019"
"1-00311-0013","357 GRAND STREET","LOWER EAST SIDE","D4  -ELEVATOR","893","1960","1025341","35169196","34.3","16077347","15.68","19091849","155054000","151.22","1-00309-0006","54 ORCHARD STREET","LOWER EAST SIDE","D7  -ELEVATOR","35","2007","33860","1168170","34.5","531263","15.69","636907","9316000","275.13","0.13","1-00308-0020","55 ORCHARD STREET","LOWER EAST SIDE","D7  -ELEVATOR","14","1900","15500","528550","34.1","242885","15.67","285665","4200000","270.97","0.17",,,,,,,,,,,,,,,,"2019"
"1-00331-0001","504 GRAND STREET","LOWER EAST SIDE","D4  -ELEVATOR","240","1929","216200","7013528","32.44","1539344","7.12","5474184","44459000","205.64","1-00309-0006","54 ORCHARD STREET","LOWER EAST SIDE","D7  -ELEVATOR","35","2007","33860","1098418","32.44","241083","7.12","857335","9316000","275.13","0.45","1-00308-0020","55 ORCHARD STREET","LOWER EAST SIDE","D7  -ELEVATOR","14","1900","15500","496775","32.05","110050","7.1","386725","4200000","270.97","0.49","1-00424-0010","169 BOWERY","LOWER EAST SIDE","D7  -ELEVATOR","13","1920","14839","489093","32.96","148093","9.98","341000","3424000","230.74","0.67","2019"
