"job_filing_name","job_type","bin","borough","house_no","street_name","block","lot","zip_code","submitted_date","c_of_o_status","c_of_o_sequence","c_of_o_filing_type","community_board","c_of_o_issuance_date","application_number","latitude","longitude","communitydistrict","citycouncildistrict","censustract2010","buildingidentificationnumber","bbl","ntaname","location_point"
"320377659","NEW BUILDING","3401675","BROOKLYN","60","FURMAN STREET","199","10","11201","2023-06-30T00:00:00.000","CO Issued","40682","Renewal Without Change","302","07/13/2023 15:35:17","CO-000040682","40.701586","-73.995528","302","33","1","3401675","3001990010","Brooklyn Heights-Cobble Hill","POINT (-73.995528 40.701586)"
"121603504","ALTERATION TYPE 1","1027117","MANHATTAN","622","WEST . 47TH ST","1094","46","10036","2023-03-24T00:00:00.000","CO Issued","35634","Renewal Without Change","104","03/24/2023 09:49:46","CO-000035634","40.764257","-73.996636","104","3","129","1027117","1010940046","Clinton","POINT (-73.996636 40.764257)"
"210178225","NEW BUILDING","2129224","BRONX","1325","JEROME AVENUE","2856","7501","10452","2023-03-16T00:00:00.000","CO Issued","35206","Renewal With Change","204","03/24/2023 15:41:18","CO-000035206","40.838715","-73.918794","204","16","219","2129224","2028560053","Highbridge","POINT (-73.918794 40.838715)"
"123871747","ALTERATION TYPE 1","1011144","MANHATTAN","340","BLEECKER STREET","619","26","10014","2023-07-13T00:00:00.000","CO Issued","40739","Renewal Without Change","102","07/13/2023 09:22:02","CO-000040739","40.733724","-74.004438","102","3","73","1011144","1006190026","West Village","POINT (-74.004438 40.733724)"
"321916922","ALTERATION TYPE 1","3051347","BROOKLYN","171","MADISON ST","1817","78","11216","2023-06-05T00:00:00.000","CO Issued","39283","Final","303","07/13/2023 14:59:03","CO-000039283","40.684531","-73.952276","303","36","245","3051347","3018170078","Bedford","POINT (-73.952276 40.684531)"
"401863676","NEW BUILDING","4532783","QUEENS","2947A","FAR ROCKAWAY BLVD","15788","219","11691","2023-06-06T00:00:00.000","CO Issued","39321","Final","414","07/13/2023 15:13:02","CO-000039321","40.598528","-73.764457","414","31","992","4532783","4157880219","Hammels-Arverne-Edgemere","POINT (-73.764457 40.598528)"
"121190308","NEW BUILDING","1089807","MANHATTAN","76","11TH AVENUE","689","17","10011","2023-07-21T00:00:00.000","CO Issued","40265","Renewal With Change","104","07/21/2023 15:52:43","CO-000040265","40.745183","-74.008236","104","3","99","1089807","1006890017","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-74.008236 40.745183)"
"123377862","ALTERATION TYPE 1","1007394","MANHATTAN","208","ELIZABETH STREET","492","10","10012","2023-05-24T00:00:00.000","CO Issued","38758","Initial","102","07/13/2023 15:22:20","CO-000038758","40.72218","-73.994354","102","1","43","1007394","1004920010","SoHo-TriBeCa-Civic Center-Little Italy","POINT (-73.994354 40.72218)"
"122387595","ALTERATION TYPE 1","1028726","MANHATTAN","32","WEST 75 STREET","1127","50","10023","2023-06-21T00:00:00.000","CO Issued","40186","Renewal Without Change","107","07/13/2023 14:01:02","CO-000040186","40.778601","-73.975584","107","6","161","1028726","1011270050","Upper West Side","POINT (-73.975584 40.778601)"
"110418931","ALTERATION TYPE 1","1009216","MANHATTAN","40","EAST   14 STREET","565","11","10003","2023-05-22T00:00:00.000","CO Issued","38668","Renewal Without Change","102","07/13/2023 12:38:36","CO-000038668","40.735148","-73.991571","102","2","61","1009216","1005650011","West Village","POINT (-73.991571 40.735148)"
"S00769221","New Building","5175644","STATEN ISLAND","54GAR","RIDGECREST AVENUE","5297","37","10312","2023-07-13T00:00:00.000","CO Issued","41272","Final","503","07/24/2023 15:23:20","CO-000041272","40.535734","-74.154991","503","51","15601",,,"Great Kills","POINT (-74.154991 40.535734)"
"220514931","NEW BUILDING","2129599","BRONX","1084","OGDEN AVENUE","2514","11","10452","2023-01-09T00:00:00.000","CO Issued","31632","Renewal Without Change","204","01/25/2023 14:08:59","CO-000031632","40.835125","-73.928126","204","8","193","2000000","2025140011","Highbridge","POINT (-73.928126 40.835125)"
"121193047","ALTERATION TYPE 1","1017839","MANHATTAN","44","UNION SQUARE EAST","872","78","10003","2023-01-25T00:00:00.000","CO Issued","32470","Renewal Without Change","105","01/25/2023 10:07:33","CO-000032470","40.73634","-73.989171","105","2","50","1017839","1008720078","Gramercy","POINT (-73.989171 40.73634)"
"220683366","ALTERATION TYPE 1","2051295","BRONX","2525","OLINVILLE AVENUE","4428","54","10467","2023-01-15T00:00:00.000","CO Issued","31968","Final","211","01/25/2023 16:39:54","CO-000031968","40.863741","-73.868431","211","15","33202","2051295","2044280054","Bronxdale","POINT (-73.868431 40.863741)"
"420843948","ALTERATION TYPE 1","4003456","QUEENS","33-02","48TH AVENUE","255","23","11101","2023-07-12T00:00:00.000","CO Issued","41186","Renewal Without Change","402","07/13/2023 15:03:43","CO-000041186","40.740789","-73.932302","402","26","199","4003456","4002550023","Hunters Point-Sunnyside-West Maspeth","POINT (-73.932302 40.740789)"
"123401292","ALTERATION TYPE 1","1055265","MANHATTAN","50","WEST 97TH STREET","1832","43","10025","2023-06-23T00:00:00.000","CO Issued","40351","Renewal With Change","107","07/13/2023 11:23:43","CO-000040351","40.793242","-73.966301","107","7","181","1055265","1018320043","Upper West Side","POINT (-73.966301 40.793242)"
"121191147","NEW BUILDING","1091605","MANHATTAN","501","WEST 18TH STREET","690","29","10011","2023-06-13T00:00:00.000","CO Issued","39720","Renewal With Change","104","07/13/2023 11:35:17","CO-000039720","40.744684","-74.006453","104","3","99","1000000","1006900029","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-74.006453 40.744684)"
"121333958","ALTERATION TYPE 1","1082869","MANHATTAN","274","1ST AVENUE","972","1","10009","2023-01-13T00:00:00.000","CO Issued","31952","Renewal Without Change","106","01/25/2023 14:15:34","CO-000031952","40.732715","-73.981414","106","4","44","1082869","1009720001","Stuyvesant Town-Cooper Village","POINT (-73.981414 40.732715)"
"220645899","NEW BUILDING","2130546","BRONX","972","WOODYCREST AVENUE","2507","7","10452","2022-12-07T00:00:00.000","CO Issued","30136","Renewal With Change","204","01/25/2023 11:22:30","CO-000030136","40.831986","-73.928483","204","8","189","2003115","2025070007","Highbridge","POINT (-73.928483 40.831986)"
"123331224","NEW BUILDING","1090733","MANHATTAN","159","WEST 48TH STREET","1001","6","10036","2023-07-13T00:00:00.000","CO Issued","40520","Renewal Without Change","105","07/13/2023 11:01:54","CO-000040520","40.759329","-73.982937","105","4","125","1000000","1010010006","Midtown-Midtown South","POINT (-73.982937 40.759329)"
"321358320","ALTERATION TYPE 1","3183262","BROOKLYN","1869","EAST 21 STREET","6804","63","11229","2023-05-08T00:00:00.000","CO Issued","37933","Final","315","07/13/2023 15:25:06","CO-000037933","40.607334","-73.951845","315","48","550","3183262","3068040063","Madison","POINT (-73.951845 40.607334)"
"220677006","ALTERATION TYPE 1","2086348","BRONX","6015","RIVERDALE AVENUE","5957","180","10471","2023-07-13T00:00:00.000","CO Issued","40699","Renewal Without Change","208","07/13/2023 16:49:51","CO-000040699","40.908967","-73.903542","208","11","323","2086348","2059570180","North Riverdale-Fieldston-Riverdale","POINT (-73.903542 40.908967)"
"121204721","NEW BUILDING","1091648","MANHATTAN","60","EAST 112TH STREET","1617","20","10029","2023-07-20T00:00:00.000","CO Issued","41602","Renewal Without Change","111","07/21/2023 09:27:36","CO-000041602","40.796931","-73.945507","111","8","17402","1000000","1016170020","East Harlem South","POINT (-73.945507 40.796931)"
"121188516","ALTERATION TYPE 1","1087764","MANHATTAN","310","WEST BROADWAY","227","28","10013","2022-02-23T00:00:00.000","CO Issued","13857","Renewal With Change","102","11/29/2022 10:23:44","CO-000013857","40.721713","-74.004347","102","1","47","1087764","1002270028","SoHo-TriBeCa-Civic Center-Little Italy","POINT (-74.004347 40.721713)"
"123579387","ALTERATION TYPE 1","1015919","MANHATTAN","990","6TH AVENUE","838","1","10018","2022-11-15T00:00:00.000","CO Issued","28945","Renewal Without Change","105","11/29/2022 12:27:25","CO-000028945","40.751411","-73.986599","105","4","84","1015919","1008380001","Midtown-Midtown South","POINT (-73.986599 40.751411)"
"122456797","ALTERATION TYPE 1","1003041","MANHATTAN","13","CROSBY STREET","233","4","10013","2023-04-18T00:00:00.000","CO Issued","36847","Renewal Without Change","102","07/13/2023 08:10:05","CO-000036847","40.720017","-74.000209","102","1","45","1003041","1002330004","SoHo-TriBeCa-Civic Center-Little Italy","POINT (-74.000209 40.720017)"
"121189418","ALTERATION TYPE 1","1000877","MANHATTAN","88","WALL STREET","39","1","10005","2022-11-15T00:00:00.000","CO Issued","28971","Renewal With Change","101","11/29/2022 13:27:55","CO-000028971","40.705286","-74.007534","101","1","7","1000877","1000390001","Battery Park City-Lower Manhattan","POINT (-74.007534 40.705286)"
"103848703","ALTERATION TYPE 1","1039641","MANHATTAN","317","EAST   50 STREET","1343","7501","10022","2022-11-29T00:00:00.000","CO Issued","27918","Renewal Without Change","106","11/29/2022 15:15:40","CO-000027918","40.754621","-73.967891","106","4","98","1039641","1013437501","Turtle Bay-East Midtown","POINT (-73.967891 40.754621)"
"402228255","ALTERATION TYPE 1","4000601","QUEENS","45-02","23 STREET","77","33","11101","2023-05-22T00:00:00.000","CO Issued","38708","Final","402","07/21/2023 15:09:38","CO-000038708","40.746776","-73.945371","402","26","7","4000601","4000770033","Hunters Point-Sunnyside-West Maspeth","POINT (-73.945371 40.746776)"
"120562284","NEW BUILDING","1090740","MANHATTAN","300","WEST 122ND STREET","1948","7504","10027","2023-07-13T00:00:00.000","CO Issued","41248","Renewal Without Change","110","07/13/2023 13:21:57","CO-000041248","40.808457","-73.953119","110","9","257","1000000","1019480035","Central Harlem South","POINT (-73.953119 40.808457)"
"421698103","NEW BUILDING","4624533","QUEENS","81-05GAR","139TH STREET","6638","1","11435","2023-06-26T00:00:00.000","CO Issued","40274","Final","408","07/21/2023 10:57:26","CO-000040274","40.715835","-73.81966","408","24","22001",,,"Briarwood-Jamaica Hills","POINT (-73.81966 40.715835)"
"103329658","ALTERATION TYPE 1","1009216","MANHATTAN","40","EAST   14 STREET","565","11","10003","2023-07-13T00:00:00.000","CO Issued","41253","Renewal Without Change","102","07/13/2023 14:05:50","CO-000041253","40.735148","-73.991571","102","2","61","1009216","1005650011","West Village","POINT (-73.991571 40.735148)"
"121329687","NEW BUILDING","1007348","MANHATTAN","73","SULLIVAN STREET","489","9","10012","2022-11-29T00:00:00.000","CO Issued","29600","Renewal Without Change","102","11/29/2022 15:38:33","CO-000029600","40.724669","-74.00385","102","3","47","1007348","1004890009","SoHo-TriBeCa-Civic Center-Little Italy","POINT (-74.00385 40.724669)"
"122516982","ALTERATION TYPE 1","1088750","MANHATTAN","40","RECTOR STREET","55","7501","10006","2023-07-13T00:00:00.000","CO Issued","41177","Renewal Without Change","101","07/13/2023 12:43:00","CO-000041177","40.708356","-74.014814","101","1","13","1088750","1000557501","Battery Park City-Lower Manhattan","POINT (-74.014814 40.708356)"
"421477538","NEW BUILDING","4616726","QUEENS","65-18","AUSTIN STREET","3104","79","11374","2023-05-17T00:00:00.000","CO Issued","38162","Initial","406","07/21/2023 11:36:27","CO-000038162","40.726138","-73.860051","406","29","69701","4000000","4031040079","Rego Park","POINT (-73.860051 40.726138)"
"121181112","NEW BUILDING","1088833","MANHATTAN","1045","6TH AVENUE","815","26","10018","2022-11-29T00:00:00.000","CO Issued","29561","Renewal Without Change","105","11/29/2022 10:56:49","CO-000029561","40.753129","-73.985361","105","4","113","1000000","1008150026","Midtown-Midtown South","POINT (-73.985361 40.753129)"
"104304263","ALTERATION TYPE 1","1034206","MANHATTAN","25","WEST   43 STREET","1259","19","10036","2022-11-29T00:00:00.000","CO Issued","29265","Renewal Without Change","105","11/29/2022 15:23:16","CO-000029265","40.754599","-73.981426","105","4","96","1034206","1012590019","Midtown-Midtown South","POINT (-73.981426 40.754599)"
"123531197","ALTERATION TYPE 1","1020438","MANHATTAN","301","FIRST AVENUE","923","7501","10003","2022-11-29T00:00:00.000","CO Issued","29586","Renewal Without Change","106","11/29/2022 13:14:10","CO-000029586","40.73341","-73.980923","106","2","48","1020438","1009237501","Gramercy","POINT (-73.980923 40.73341)"
"110188706","ALTERATION TYPE 1","1088732","MANHATTAN","167","EAST   82 STREET","1511","7502","10028","2021-11-05T00:00:00.000","CO Issued","11004","Renewal Without Change","108","11/29/2022 09:03:44","CO-000011004","40.776597","-73.956702","108","5","140","1088732","1015117502","Upper East Side-Carnegie Hill","POINT (-73.956702 40.776597)"
"121186983","NEW BUILDING","1090212","MANHATTAN","239","10 AVE","696","7503","10001","2023-07-13T00:00:00.000","CO Issued","40989","Renewal Without Change","104","07/13/2023 09:19:32","CO-000040989","40.748502","-74.003595","104","3","99","1090212","1006967503","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-74.003595 40.748502)"
"402900349","NEW BUILDING","4607476","QUEENS","40-10","99TH STREET","1607","1","11368","2023-07-21T00:00:00.000","CO Issued","41733","Renewal Without Change","404","07/21/2023 13:51:03","CO-000041733","40.749108","-73.866362","404","21","409","4607476","4016070001","North Corona","POINT (-73.866362 40.749108)"
"123579001","ALTERATION TYPE 1","1007817","MANHATTAN","150","VARICK ST","505","1","10013","2022-11-29T00:00:00.000","CO Issued","29544","Renewal Without Change","102","11/29/2022 11:08:30","CO-000029544","40.726143","-74.005693","102","3","37","1007817","1005050001","SoHo-TriBeCa-Civic Center-Little Italy","POINT (-74.005693 40.726143)"
"122804144","ALTERATION TYPE 1","1006661","MANHATTAN","4","ST MARKS PLACE","463","11","10003","2022-11-29T00:00:00.000","CO Issued","29545","Renewal Without Change","103","11/29/2022 11:10:07","CO-000029545","40.729362","-73.989479","103","2","38","1006661","1004630011","East Village","POINT (-73.989479 40.729362)"
"121184351","NEW BUILDING","1090331","MANHATTAN","326","WEST 37TH STREET","760","58","10018","2023-07-13T00:00:00.000","CO Issued","41270","Renewal Without Change","104","07/13/2023 15:37:04","CO-000041270","40.754488","-73.993037","104","3","111","1090331","1007600058","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-73.993037 40.754488)"
"122835637","ALTERATION TYPE 1","1005574","MANHATTAN","107","ELDRIDGE STREET","418","48","10002","2022-11-10T00:00:00.000","CO Issued","28781","Renewal Without Change","103","11/29/2022 16:01:25","CO-000028781","40.718071","-73.99202","103","1","18","1005574","1004180048","Chinatown","POINT (-73.99202 40.718071)"
"110459361","ALTERATION TYPE 1","1039612","MANHATTAN","891 1/2","FIRST AVENUE","1343","24","10022","2023-07-12T00:00:00.000","CO Issued","41217","Renewal Without Change","106","07/13/2023 09:23:24","CO-000041217","40.753978","-73.966097","106","4","98",,,"Turtle Bay-East Midtown","POINT (-73.966097 40.753978)"
"121188838","NEW BUILDING","1090978","MANHATTAN","422","WEST 49TH STREET","1058","7504","10019","2022-11-28T00:00:00.000","CO Issued","29549","Renewal Without Change","104","11/29/2022 09:07:13","CO-000029549","40.763219","-73.990286","104","3","127","1000000","1010580044","Clinton","POINT (-73.990286 40.763219)"
"110422579","ALTERATION TYPE 1","1059981","MANHATTAN","2276","12 AVENUE","2004","12","10027","2022-03-21T00:00:00.000","CO Issued","17106","Renewal Without Change","109","11/29/2022 15:11:05","CO-000017106","40.817797","-73.960851","109","7","219","1059981","1020040012","Manhattanville","POINT (-73.960851 40.817797)"
"104444175","NEW BUILDING","1087769","MANHATTAN","20","EAST   23 STREET","851","7505","10010","2022-11-28T00:00:00.000","CO Issued","29536","Renewal Without Change","105","11/29/2022 09:56:46","CO-000029536","40.740767","-73.987752","105","2","56","1087769","1008517505","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-73.987752 40.740767)"
"121326207","NEW BUILDING","1088982","MANHATTAN","180","AVENUE OF THE AMERICAS","504","7501","10013","2022-11-29T00:00:00.000","CO Issued","29583","Renewal Without Change","102","11/29/2022 11:30:11","CO-000029583","40.725981","-74.003828","102","3","49","1088982","1005047501","SoHo-TriBeCa-Civic Center-Little Italy","POINT (-74.003828 40.725981)"
"420229595","ALTERATION TYPE 1","4007959","QUEENS","33-10","36TH AVENUE","602","33","11106","2023-07-13T00:00:00.000","CO Issued","41231","Renewal Without Change","401","07/13/2023 10:13:20","CO-000041231","40.755745","-73.92798","401","26","55","4007959","4006020033","Queensbridge-Ravenswood-Long Island City","POINT (-73.92798 40.755745)"
"320625258","NEW BUILDING","3426835","BROOKLYN","626","SHEEPSHEAD BAY ROAD","7279","6","11224","2023-06-30T00:00:00.000","CO Issued","40526","Renewal Without Change","313","07/13/2023 15:47:00","CO-000040526","40.578979","-73.975261","313","48","354","3426835","3072790006","West Brighton","POINT (-73.975261 40.578979)"
"321911687","NEW BUILDING","3426622","BROOKLYN","610","EAST 54 STREET","4774","25","11203","2023-06-23T00:00:00.000","CO Issued","40347","Final","317","07/13/2023 14:29:18","CO-000040347","40.643367","-73.925601","317","45","846",,,"Rugby-Remsen Village","POINT (-73.925601 40.643367)"
"122513770","ALTERATION TYPE 1","1037575","MANHATTAN","837","2ND AVENUE","1318","29","10017","2023-05-31T00:00:00.000","CO Issued","39130","Renewal With Change","106","07/13/2023 14:28:26","CO-000039130","40.751548","-73.970964","106","4","90","1037575","1013180029","Turtle Bay-East Midtown","POINT (-73.970964 40.751548)"
"301248932","ALTERATION TYPE 1","3139177","BROOKLYN","901","55 STREET","5673","1","11220","2023-06-14T00:00:00.000","CO Issued","39869","Final","312","07/13/2023 08:29:55","CO-000039869","40.636768","-74.004046","312","38","116","3139177","3056730001","Borough Park","POINT (-74.004046 40.636768)"
"210000522","NEW BUILDING","2123693","BRONX","3039","WILSON AVENUE","4588","40","10469","2022-10-27T00:00:00.000","CO Issued","28076","Final","211","11/29/2022 09:18:19","CO-000028076","40.869997","-73.848966","211","12","350","2123693","2045880040","Allerton-Pelham Gardens","POINT (-73.848966 40.869997)"
"121191147","NEW BUILDING","1091605","MANHATTAN","501","WEST 18TH STREET","690","29","10011","2022-11-29T00:00:00.000","CO Issued","29574","Renewal Without Change","104","11/29/2022 15:19:06","CO-000029574","40.744684","-74.006453","104","3","99","1000000","1006900029","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-74.006453 40.744684)"
"122111044","ALTERATION TYPE 1","1049879","MANHATTAN","329","EAST 82ND STREET","1545","13","10028","2023-04-24T00:00:00.000","CO Issued","37152","Final","108","07/13/2023 10:29:48","CO-000037152","40.774949","-73.952793","108","5","138","1049879","1015450013","Yorkville","POINT (-73.952793 40.774949)"
"121185993","NEW BUILDING","1088692","MANHATTAN","1","AVENUE OF THE AMERICAS","178","7503","10013","2023-07-20T00:00:00.000","CO Issued","41634","Renewal Without Change","101","07/21/2023 09:34:29","CO-000041634","40.719128","-74.005188","101","1","33","1000000","1001910008","SoHo-TriBeCa-Civic Center-Little Italy","POINT (-74.005188 40.719128)"
"122143377","NEW BUILDING","1049869","MANHATTAN","1562","SECOND AVENUE","1544","7504","10028","2023-07-13T00:00:00.000","CO Issued","41110","Renewal Without Change","108","07/13/2023 11:05:22","CO-000041110","40.774746","-73.954013","108","5","138","1049869","0","Yorkville","POINT (-73.954013 40.774746)"
"321190563","NEW BUILDING","3426946","BROOKLYN","1","DOCK 72 WAY","2023","1","11205","2023-06-28T00:00:00.000","CO Issued","40566","Renewal With Change","302","07/13/2023 15:05:53","CO-000040566","40.699809","-73.972176","302","33","543","3426946","3020230001","park-cemetery-etc-Brooklyn","POINT (-73.972176 40.699809)"
"120304223","ALTERATION TYPE 1","1051496","MANHATTAN","1216","FIFTH AVENUE","1608","69","10029","2022-11-29T00:00:00.000","CO Issued","29579","Renewal Without Change","111","11/29/2022 13:18:33","CO-000029579","40.792101","-73.952174","111","8","168","1051496","1016080069","East Harlem South","POINT (-73.952174 40.792101)"
"122222406","ALTERATION TYPE 1","1000045","MANHATTAN","25","BROADWAY","13","27","10004","2023-07-21T00:00:00.000","CO Issued","40590","Renewal Without Change","101","07/21/2023 12:25:22","CO-000040590","40.705752","-74.013374","101","1","13","1000045","1000130027","Battery Park City-Lower Manhattan","POINT (-74.013374 40.705752)"
"122793762","ALTERATION TYPE 1","1001415","MANHATTAN","255","GREENWICH STREET","127","18","10007","2023-07-20T00:00:00.000","CO Issued","40746","Renewal Without Change","101","07/21/2023 09:41:45","CO-000040746","40.71445","-74.011475","101","1","21","1001415","1001270018","SoHo-TriBeCa-Civic Center-Little Italy","POINT (-74.011475 40.71445)"
"122874577","ALTERATION TYPE 1","1056410","MANHATTAN","244","WEST 99 STREET","1870","52","10025","2023-07-12T00:00:00.000","CO Issued","41208","Renewal Without Change","107","07/13/2023 14:09:39","CO-000041208","40.796754","-73.970767","107","6","187","1056410","1018700052","Upper West Side","POINT (-73.970767 40.796754)"
"121208576","ALTERATION TYPE 1","1000057","MANHATTAN","200","LIBERTY STREET","16","120","10281","2023-05-03T00:00:00.000","CO Issued","37639","Renewal With Change","101","07/13/2023 11:40:14","CO-000037639","40.711425","-74.015442","101","1","31704","1000057","1000160120","Battery Park City-Lower Manhattan","POINT (-74.015442 40.711425)"
"420655712","NEW BUILDING","4004535","QUEENS","37-29","31 STREET","373","7501","11101","2023-06-23T00:00:00.000","CO Issued","40325","Renewal With Change","401","07/21/2023 15:18:32","CO-000040325","40.754556","-73.931385","401","26","51","4004535","4003730006","Queensbridge-Ravenswood-Long Island City","POINT (-73.931385 40.754556)"
"104849844","ALTERATION TYPE 1","1030329","MANHATTAN","211","WEST   61 STREET","1154","7502","10023","2023-07-21T00:00:00.000","CO Issued","41349","Renewal Without Change","107","07/21/2023 11:31:03","CO-000041349","40.771911","-73.987245","107","6","151","1030329","1011547502","Lincoln Square","POINT (-73.987245 40.771911)"
"122831016","ALTERATION TYPE 1","1015171","MANHATTAN","132","WEST 31ST STREET","806","58","10001","2023-07-21T00:00:00.000","CO Issued","41621","Renewal Without Change","105","07/21/2023 11:47:11","CO-000041621","40.748345","-73.990245","105","3","101","1015171","1008060058","Midtown-Midtown South","POINT (-73.990245 40.748345)"
"122426071","ALTERATION TYPE 1","1017192","MANHATTAN","9","EAST 37 STREET","867","9","10016","2023-07-21T00:00:00.000","CO Issued","41696","Renewal Without Change","105","07/21/2023 11:49:59","CO-000041696","40.750013","-73.982369","105","4","82","1017192","1008670009","Murray Hill-Kips Bay","POINT (-73.982369 40.750013)"
"421527645","NEW BUILDING","4006365","QUEENS","31-05","21 STREET","552","15","11106","2023-04-26T00:00:00.000","CO Issued","37269","Final","401","07/21/2023 10:47:50","CO-000037269","40.76715","-73.929982","401","22","77","4006365","4005520015","Astoria","POINT (-73.929982 40.76715)"
"122668648","NEW BUILDING","1090530","MANHATTAN","147","EAST 86TH STREET","1515","7505","10028","2022-11-29T00:00:00.000","CO Issued","29259","Renewal Without Change","108","11/29/2022 15:26:38","CO-000029259","40.779369","-73.955259","108","5","14802","1090530","1015157505","Upper East Side-Carnegie Hill","POINT (-73.955259 40.779369)"
"420649490","ALTERATION TYPE 1","4112479","QUEENS","38-18","UNION STREET","4978","25","11354","2023-07-04T00:00:00.000","CO Issued","40779","Renewal Without Change","407","07/21/2023 11:16:29","CO-000040779","40.761492","-73.827073","407","20","871",,,"Flushing","POINT (-73.827073 40.761492)"
"421684289","NEW BUILDING","4594885","QUEENS","150-54","COHANCY STREET","11561","37","11417","2023-06-16T00:00:00.000","CO Issued","40049","Initial","410","07/21/2023 10:54:13","CO-000040049","40.667487","-73.834555","410","32","88","4000000","4115610037","Ozone Park","POINT (-73.834555 40.667487)"
"110023135","ALTERATION TYPE 1","1077683","MANHATTAN","83","FIRST AVENUE","447","7501","10003","2022-10-28T00:00:00.000","CO Issued","28104","Renewal Without Change","103","11/29/2022 09:52:38","CO-000028104","40.725873","-73.986546","103","2","38","1077683","1004477501","East Village","POINT (-73.986546 40.725873)"
"321387012","NEW BUILDING","3337992","BROOKLYN","204","MALCOLM X BOULEVARD","1646","45","11221","2023-07-21T00:00:00.000","CO Issued","41694","Renewal Without Change","303","07/21/2023 16:07:16","CO-000041694","40.686474","-73.929782","303","36","293","3337992","3016460045","Stuyvesant Heights","POINT (-73.929782 40.686474)"
"321192543","NEW BUILDING","3422370","BROOKLYN","137","4TH AVENUE","943","7504","11217","2023-07-10T00:00:00.000","CO Issued","40323","Renewal Without Change","306","07/21/2023 12:36:45","CO-000040323","40.679742","-73.981454","306","39","131","3422370","3009430005","Park Slope-Gowanus","POINT (-73.981454 40.679742)"
