"insptn_ops_detail","insptn_typ_cd","insp_inspect_dt","inspecting_unit_code","bldg_current_bin_fk","borough","cent_latitude","cent_longitude","communitydistrict","citycouncildistrict","bbl","location_1"
"2254303","RISK","2014-06-15T00:00:00.000","L042","2086555","BX","40.819521","-73.895832","202","17","2027110028","(40.819521, -73.895832)"
"5083938","RISK","2016-05-24T00:00:00.000","L175","3083159","BK","40.679049","-73.894108","305","37","3036630026","(40.679049, -73.894108)"
"7585805","RISK","2017-11-01T00:00:00.000","E166","5118435","SI","40.619568","-74.1551","501","49","5016597501","(40.619568, -74.1551)"
"7088862","RISK","2017-07-17T00:00:00.000","L080","5026632","SI","40.63353","-74.147905","501","49","5011550065","(40.63353, -74.147905)"
"8901709","RISK","2018-07-05T00:00:00.000","E239","3413512","BK",,,,,,
"10091547","RISK","2019-01-23T00:00:00.000","E245","3388176","BK",,,,,,
"9595611","RISK","2018-10-31T00:00:00.000","E168","5159017","SI",,,,,,
"10108409","RISK","2019-01-25T00:00:00.000","E328","4298961","QN",,,,,,
"10110305","RISK","2019-01-25T00:00:00.000","L105","3426045","BK",,,,,,
"10123880","RISK","2019-01-28T00:00:00.000","L138","4607799","QN",,,,,,
"10122861","RISK","2019-01-28T00:00:00.000","L058","2009918","BX",,,,,,
"10120720","RISK","2019-01-28T00:00:00.000","E268","4861333","QN",,,,,,
"5398096","RISK","2016-08-03T00:00:00.000","L058","2097278","BX",,,,,,
"8700178","RISK","2018-05-31T00:00:00.000","E070","2128029","BX",,,,,,
"2792626","RISK","2014-11-01T00:00:00.000","E065","1015998","MN",,,,,,
"10126638","RISK","2019-01-29T00:00:00.000","E045","2803666","BX",,,,,,
"10132016","RISK","2019-01-29T00:00:00.000","L138","4595617","QN",,,,,,
"4831799","RISK","2016-04-01T00:00:00.000","L053","2100413","BX",,,,,,
"10127417","RISK","2019-01-29T00:00:00.000","E092","2817392","BX",,,,,,
"10164427","RISK","2019-02-04T00:00:00.000","E168","5863511","SI",,,,,,
"8665578","RISK","2018-05-24T00:00:00.000","E034","1090391","MN",,,,,,
"2833204","RISK","2014-11-20T00:00:00.000","E023","1034805","MN",,,,,,
"8037805","RISK","2018-01-30T00:00:00.000","L130","4541700","QN",,,,,,
"8576892","RISK","2018-05-04T00:00:00.000","E165","5863338","SI",,,,,,
"9438134","RISK","2018-10-04T00:00:00.000","E168","5170438","SI",,,,,,
"10179220","RISK","2019-02-05T00:00:00.000","E059","1058082","MN",,,,,,
"10187704","RISK","2019-02-06T00:00:00.000","E221","3062292","BK",,,,,,
"10185028","RISK","2019-02-06T00:00:00.000","L080","5860106","SI",,,,,,
"10187709","RISK","2019-02-06T00:00:00.000","E247","3141129","BK",,,,,,
"8481145","RISK","2018-04-23T00:00:00.000","E067","1062974","MN",,,,,,
"10185024","RISK","2019-02-06T00:00:00.000","L080","5860122","SI",,,,,,
"8961728","RISK","2018-07-16T00:00:00.000","E234","3053861","BK",,,,,,
"10195831","RISK","2019-02-07T00:00:00.000","L122","3337731","BK",,,,,,
"2729538","RISK","2014-10-22T00:00:00.000","L087","5121474","SI",,,,,,
"8908166","RISK","2018-07-06T00:00:00.000","E166","5121381","SI",,,,,,
"10187799","RISK","2019-02-07T00:00:00.000","E045","2821083","BX",,,,,,
"3976645","RISK","2015-09-03T00:00:00.000","E329","4540311","QN",,,,,,
"10201817","RISK","2019-02-08T00:00:00.000","L121","4864833","QN",,,,,,
"8751525","RISK","2018-06-08T00:00:00.000","E158","5107179","SI",,,,,,
"10210108","RISK","2019-02-11T00:00:00.000","E164","5811097","SI",,,,,,
"8770976","RISK","2018-06-12T00:00:00.000","E153","5862235","SI",,,,,,
"10216830","RISK","2019-02-11T00:00:00.000","L120","3855970","BK",,,,,,
"10213890","RISK","2019-02-11T00:00:00.000","L056","2817471","BX",,,,,,
"8413168","RISK","2018-04-10T00:00:00.000","L052","2830513","BX",,,,,,
"10218187","RISK","2019-02-13T00:00:00.000","E152","5134998","SI",,,,,,
"10223997","RISK","2019-02-13T00:00:00.000","L106","3064396","BK",,,,,,
"10234418","RISK","2019-02-14T00:00:00.000","E210","3329472","BK",,,,,,
"9558770","RISK","2018-10-24T00:00:00.000","E287","4865469","QN",,,,,,
"10242129","RISK","2019-02-14T00:00:00.000","E291","4439292","QN",,,,,,
"10226898","RISK","2019-02-14T00:00:00.000","E022","1090531","MN",,,,,,
"9909639","RISK","2018-12-21T00:00:00.000","L086","5862930","SI",,,,,,
"10229441","RISK","2019-02-14T00:00:00.000","E258","4307212","QN",,,,,,
"2412034","RISK","2014-07-26T00:00:00.000","L013","1799397","MN",,,,,,
"9100601","RISK","2018-08-08T00:00:00.000","E279","3421398","BK",,,,,,
"10119729","RISK","2019-01-28T00:00:00.000","E222","3426007","BK",,,,,,
"10239495","RISK","2019-02-15T00:00:00.000","L058","2117959","BX",,,,,,
"2418060","RISK","2014-08-03T00:00:00.000","E074","1799311","MN",,,,,,
"10125855","RISK","2019-01-28T00:00:00.000","L153","3253579","BK",,,,,,
"8586859","RISK","2018-05-10T00:00:00.000","E243","3402462","BK",,,,,,
"10252329","RISK","2019-02-19T00:00:00.000","L037","2128821","BX",,,,,,
"9420865","RISK","2018-10-01T00:00:00.000","E235","3400391","BK",,,,,,
"10261203","RISK","2019-02-20T00:00:00.000","L080","5860028","SI",,,,,,
"10261719","RISK","2019-02-20T00:00:00.000","L119","3058124","BK",,,,,,
"8472717","RISK","2018-04-20T00:00:00.000","E165","5169418","SI",,,,,,
"9974624","RISK","2019-01-03T00:00:00.000","E230","3418427","BK",,,,,,
"8249339","RISK","2018-03-12T00:00:00.000","L175","3855935","BK",,,,,,
"10266508","RISK","2019-02-21T00:00:00.000","E239","3023563","BK",,,,,,
"8216993","RISK","2018-03-06T00:00:00.000","L146","3418424","BK",,,,,,
"10277041","RISK","2019-02-22T00:00:00.000","L080","5860102","SI",,,,,,
"5199580","RISK","2016-06-20T00:00:00.000","L079","5159657","SI",,,,,,
"8990569","RISK","2018-07-20T00:00:00.000","E158","5863258","SI",,,,,,
"7989224","RISK","2018-01-22T00:00:00.000","L080","5169862","SI",,,,,,
"10290017","RISK","2019-02-25T00:00:00.000","L101","3829719","BK",,,,,,
"10287032","RISK","2019-02-25T00:00:00.000","E235","3816079","BK",,,,,,
"8537778","RISK","2018-05-02T00:00:00.000","E157","5863190","SI",,,,,,
"9614527","RISK","2018-11-02T00:00:00.000","L080","5860486","SI",,,,,,
"10295769","RISK","2019-02-26T00:00:00.000","E249","3426217","BK",,,,,,
"10296648","RISK","2019-02-26T00:00:00.000","E328","4859628","QN",,,,,,
"8522837","RISK","2018-04-30T00:00:00.000","E154","5861129","SI",,,,,,
"8829430","RISK","2018-06-21T00:00:00.000","L049","2128956","BX",,,,,,
"10302385","RISK","2019-02-27T00:00:00.000","E211","3059918","BK",,,,,,
"10314171","RISK","2019-02-28T00:00:00.000","L104","3062682","BK",,,,,,
"10312195","RISK","2019-02-28T00:00:00.000","E292","4862668","QN",,,,,,
"8932995","RISK","2018-07-10T00:00:00.000","E332","3425163","BK",,,,,,
"10330437","RISK","2019-03-04T00:00:00.000","E161","5168490","SI",,,,,,
"8462278","RISK","2018-04-18T00:00:00.000","L132","3425461","BK",,,,,,
"8938697","RISK","2018-07-11T00:00:00.000","L116","4468183","QN",,,,,,
"10337270","RISK","2019-03-04T00:00:00.000","E212","3827326","BK",,,,,,
"7433295","RISK","2017-09-28T00:00:00.000","E088","2116704","BX",,,,,,
"10344904","RISK","2019-03-05T00:00:00.000","L115","4000015","QN",,,,,,
"8227259","RISK","2018-03-08T00:00:00.000","E164","5164819","SI",,,,,,
"8826472","RISK","2018-06-21T00:00:00.000","E164","5811097","SI",,,,,,
"10345854","RISK","2019-03-06T00:00:00.000","E065","1015993","MN",,,,,,
"8362302","RISK","2018-04-02T00:00:00.000","E158","5143889","SI",,,,,,
"9772024","RISK","2018-11-30T00:00:00.000","E167","5170172","SI",,,,,,
"8796132","RISK","2018-06-15T00:00:00.000","L076","5164341","SI",,,,,,
"9678086","RISK","2018-11-14T00:00:00.000","L129","4114169","QN",,,,,,
"10350596","RISK","2019-03-06T00:00:00.000","L080","5860527","SI",,,,,,
"5264526","RISK","2016-07-06T00:00:00.000","E168","5117796","SI",,,,,"5070557502",
"5812817","RISK","2016-11-04T00:00:00.000","L005","1083566","MN",,,,,,
"10361184","RISK","2019-03-07T00:00:00.000","L117","4013985","QN",,,,,,
"8463826","RISK","2018-04-18T00:00:00.000","L169","3395315","BK",,,,,,
"9671976","RISK","2018-11-13T00:00:00.000","L004","1806464","MN",,,,,,
"10364564","RISK","2019-03-08T00:00:00.000","E304","4863214","QN",,,,,,
"6366050","RISK","2017-02-26T00:00:00.000","L128","4003597","QN",,,,,,
"8968645","RISK","2018-07-17T00:00:00.000","E156","5146257","SI",,,,,,
"9167932","RISK","2018-08-20T00:00:00.000","E168","5863507","SI",,,,,,
"10389503","RISK","2019-03-11T00:00:00.000","L006","1005639","MN",,,,,,
"10072841","RISK","2019-01-18T00:00:00.000","L076","5161488","SI",,,,,,
"6081064","RISK","2017-01-03T00:00:00.000","E026","1080605","MN",,,,,,
"10381960","RISK","2019-03-12T00:00:00.000","E006","1001250","MN",,,,,,
"4020482","RISK","2015-09-18T00:00:00.000","L087","5117890","SI",,,,,,
"10389423","RISK","2019-03-12T00:00:00.000","L102","3830250","BK",,,,,,
"10384717","RISK","2019-03-12T00:00:00.000","E247","3138772","BK",,,,,,
"10395559","RISK","2019-03-13T00:00:00.000","L117","4853890","QN",,,,,,
"10397820","RISK","2019-03-13T00:00:00.000","L038","2832162","BX",,,,,,
"9883740","RISK","2018-12-18T00:00:00.000","E281","3855003","BK",,,,,,
"2357065","RISK","2014-07-13T00:00:00.000","E094","2109482","BX",,,,,,
"10399000","RISK","2019-03-14T00:00:00.000","E084","1813119","MN",,,,,,
"10400477","RISK","2019-03-14T00:00:00.000","E247","3139623","BK",,,,,,
"10408965","RISK","2019-03-15T00:00:00.000","E311","4612170","QN",,,,,,
"7405183","RISK","2017-09-22T00:00:00.000","L169","3204956","BK",,,,,,
"8827881","RISK","2018-06-21T00:00:00.000","E276","3418322","BK",,,,,,
"10408407","RISK","2019-03-15T00:00:00.000","E266","4457899","QN",,,,,,
"10425897","RISK","2019-03-18T00:00:00.000","L114","3013830","BK",,,,,,
"9425677","RISK","2018-10-02T00:00:00.000","L052","2129237","BX",,,,,,
"8955130","RISK","2018-07-13T00:00:00.000","E036","1811290","MN",,,,,,
"9702580","RISK","2018-11-19T00:00:00.000","E281","3425735","BK",,,,,,
"8343080","RISK","2018-03-28T00:00:00.000","E247","3140782","BK",,,,,,
"10430851","RISK","2019-03-19T00:00:00.000","L087","5117890","SI",,,,,,
"8340782","RISK","2018-03-28T00:00:00.000","L084","5169647","SI",,,,,,
"9738790","RISK","2018-11-26T00:00:00.000","E165","5170495","SI",,,,,,
"8460503","RISK","2018-04-18T00:00:00.000","L019","2831243","BX",,,,,,
"10436487","RISK","2019-03-20T00:00:00.000","E249","3837858","BK",,,,,,
"10438707","RISK","2019-03-20T00:00:00.000","L042","2127102","BX",,,,,,
"4289405","RISK","2015-11-30T00:00:00.000","E329","4540324","QN",,,,,,
"10449459","RISK","2019-03-21T00:00:00.000","L011","1005234","MN",,,,,,
"10444349","RISK","2019-03-21T00:00:00.000","E247","3131552","BK",,,,,,
"10448263","RISK","2019-03-21T00:00:00.000","L175","3855935","BK",,,,,,
"5099649","RISK","2016-05-27T00:00:00.000","E310","3345795","BK",,,,,,
"10443952","RISK","2019-03-21T00:00:00.000","E226","3424445","BK",,,,,,
"10028012","RISK","2019-01-11T00:00:00.000","L015","1812332","MN",,,,,,
"10451580","RISK","2019-03-22T00:00:00.000","E222","3399425","BK",,,,,,
"9213789","RISK","2018-08-27T00:00:00.000","L079","5816171","SI",,,,,,
"10455287","RISK","2019-03-22T00:00:00.000","L121","4303248","QN",,,,,,
"1969944","RISK","2014-04-09T00:00:00.000","E308","4202095","QN",,,,,,
"10454572","RISK","2019-03-22T00:00:00.000","L078","5862594","SI",,,,,,
"1814824","RISK","2014-03-05T00:00:00.000","E091","1052478","MN",,,,,,
"10462165","RISK","2019-03-25T00:00:00.000","E054","1806405","MN",,,,,,
"5578589","RISK","2016-09-14T00:00:00.000","E168","5117804","SI",,,,,"5070557502",
"10463151","RISK","2019-03-25T00:00:00.000","E167","5169670","SI",,,,,,
"1825076","RISK","2014-03-06T00:00:00.000","L157","3823185","BK",,,,,,
"1825797","RISK","2014-03-07T00:00:00.000","E026","1813351","MN",,,,,,
"10476126","RISK","2019-03-26T00:00:00.000","L168","3349704","BK",,,,,,
"8597265","RISK","2018-05-11T00:00:00.000","L143","4864225","QN",,,,,,
"1831660","RISK","2014-03-08T00:00:00.000","E004","1088818","MN",,,,,,
"1833572","RISK","2014-03-10T00:00:00.000","E162","5067442","SI",,,,,,
"3472705","RISK","2015-04-22T00:00:00.000","E221","3329985","BK",,,,,,
"10057394","RISK","2019-01-16T00:00:00.000","L076","5170426","SI",,,,,,
"6682498","RISK","2017-04-25T00:00:00.000","E329","4540316","QN",,,,,,
"7614832","RISK","2017-11-08T00:00:00.000","E166","5118339","SI",,,,,"5016687501",
"10485531","RISK","2019-03-27T00:00:00.000","L034","1089686","MN",,,,,,
"10485573","RISK","2019-03-28T00:00:00.000","E321","3854376","BK",,,,,,
"7515324","RISK","2017-10-17T00:00:00.000","L142","4525075","QN",,,,,,
"9610230","RISK","2018-11-02T00:00:00.000","E044","1090667","MN",,,,,,
"9603433","RISK","2018-11-01T00:00:00.000","E168","5165060","SI",,,,,,
"10498361","RISK","2019-03-29T00:00:00.000","L083","5017282","SI",,,,,,
"7960193","RISK","2018-01-17T00:00:00.000","E001","1089455","MN",,,,,,
"1864232","RISK","2014-03-17T00:00:00.000","E214","3828258","BK",,,,,,
"10508911","RISK","2019-04-01T00:00:00.000","E295","4864084","QN",,,,,,
"3416415","RISK","2015-04-09T00:00:00.000","E034","1012439","MN",,,,,,
"10506354","RISK","2019-04-01T00:00:00.000","E079","2831962","BX",,,,,,
"10519117","RISK","2019-04-02T00:00:00.000","L126","4615826","QN",,,,,,
"10515274","RISK","2019-04-02T00:00:00.000","E207","3423976","BK",,,,,,
"1876072","RISK","2014-03-19T00:00:00.000","E155","5089389","SI",,,,,,
"10519097","RISK","2019-04-02T00:00:00.000","L123","3426618","BK",,,,,,
"9769513","RISK","2018-11-29T00:00:00.000","D014","2116653","BX",,,,,,
"10527347","RISK","2019-04-03T00:00:00.000","L129","4803773","QN",,,,,,
"3890408","RISK","2015-08-14T00:00:00.000","E152","5162351","SI",,,,,,
"1888466","RISK","2014-03-21T00:00:00.000","E154","5819950","SI",,,,,,
"9167992","RISK","2018-08-20T00:00:00.000","E201","3421393","BK",,,,,,
"9034886","RISK","2018-07-27T00:00:00.000","L101","3809397","BK",,,,,,
"10549756","RISK","2019-04-08T00:00:00.000","E072","2124419","BX",,,,,,
"9569310","RISK","2018-10-26T00:00:00.000","E277","3402994","BK",,,,,,
"1906041","RISK","2014-03-25T00:00:00.000","L024","1015160","MN",,,,,,
"1908127","RISK","2014-03-26T00:00:00.000","E233","3040468","BK",,,,,,
"8188669","RISK","2018-03-01T00:00:00.000","E097","2831887","BX",,,,,,
"10558671","RISK","2019-04-09T00:00:00.000","E164","5158831","SI",,,,,,
"10561893","RISK","2019-04-09T00:00:00.000","L078","5843175","SI",,,,,,
"9639656","RISK","2018-11-08T00:00:00.000","E097","2831928","BX",,,,,,
"1912292","RISK","2014-03-26T00:00:00.000","E245","3244936","BK",,,,,,
"3082479","RISK","2015-01-20T00:00:00.000","E329","4540214","QN",,,,,,
"1913713","RISK","2014-03-27T00:00:00.000","E151","5145490","SI",,,,,,
"1916909","RISK","2014-03-27T00:00:00.000","L086","5863330","SI",,,,,,
"10570047","RISK","2019-04-10T00:00:00.000","L077","5864469","SI",,,,,,
"9666483","RISK","2018-11-13T00:00:00.000","E216","3425489","BK",,,,,,
"10574274","RISK","2019-04-11T00:00:00.000","E207","3325932","BK",,,,,,
"10575615","RISK","2019-04-11T00:00:00.000","E265","4854048","QN",,,,,,
"1924061","RISK","2014-03-28T00:00:00.000","L173","4295275","QN",,,,,,
"10024655","RISK","2019-01-11T00:00:00.000","E044","1082193","MN",,,,,,
"1924225","RISK","2014-03-23T00:00:00.000","L115","4442940","QN",,,,,,
"10585363","RISK","2019-04-12T00:00:00.000","L078","5856346","SI",,,,,,
"10587914","RISK","2019-04-12T00:00:00.000","L054","2021682","BX",,,,,,
"1997031","RISK","2014-04-16T00:00:00.000","E034","1012461","MN",,,,,,
"10593835","RISK","2019-04-15T00:00:00.000","E161","5168258","SI",,,,,,
"1929777","RISK","2014-03-31T00:00:00.000","L086","5863331","SI",,,,,,
"10593704","RISK","2019-04-15T00:00:00.000","E096","2022635","BX",,,,,,
"1933280","RISK","2014-04-01T00:00:00.000","E230","3850964","BK",,,,,,
"9245118","RISK","2018-08-31T00:00:00.000","L166","3186934","BK",,,,,,
"10602331","RISK","2019-04-16T00:00:00.000","E164","5169814","SI",,,,,,
"9186919","RISK","2018-08-22T00:00:00.000","L076","5857427","SI",,,,,,
"10600714","RISK","2019-04-16T00:00:00.000","L118","3319417","BK",,,,,,
"1942867","RISK","2014-03-30T00:00:00.000","E060","2113722","BX",,,,,,
"10613710","RISK","2019-04-17T00:00:00.000","L076","5862980","SI",,,,,,
"10613769","RISK","2019-04-17T00:00:00.000","L080","5164877","SI",,,,,,
"10617928","RISK","2019-04-18T00:00:00.000","E168","5863042","SI",,,,,,
"3635446","RISK","2015-06-05T00:00:00.000","E074","1032070","MN","40.784189","-73.974246","107","6","1012130030","(40.784189, -73.974246)"
"1953147","RISK","2014-04-04T00:00:00.000","L087","5159252","SI",,,,,,
"5291682","RISK","2016-07-12T00:00:00.000","E329","4540237","QN",,,,,,
"10641405","RISK","2019-04-22T00:00:00.000","L080","5860119","SI",,,,,,
"8994352","RISK","2018-07-20T00:00:00.000","L127","4585248","QN",,,,,,
"8261089","RISK","2018-03-14T00:00:00.000","E328","4857446","QN",,,,,,
"8900700","RISK","2018-07-05T00:00:00.000","E156","5146259","SI",,,,,,
"10637414","RISK","2019-04-22T00:00:00.000","E158","5169812","SI",,,,,,
"10639012","RISK","2019-04-22T00:00:00.000","E258","4004887","QN",,,,,,
"8913736","RISK","2018-07-06T00:00:00.000","E036","1051776","MN",,,,,,
"7038820","RISK","2017-07-06T00:00:00.000","L032","2111251","BX",,,,,,
"10644652","RISK","2019-04-23T00:00:00.000","E010","1813282","MN",,,,,,
"3826506","RISK","2015-07-28T00:00:00.000","E214","3325020","BK",,,,,,
"3675688","RISK","2015-06-16T00:00:00.000","L087","5117149","SI",,,,,,
"1966574","RISK","2014-04-08T00:00:00.000","L164","4864425","QN",,,,,,
"1966900","RISK","2014-04-08T00:00:00.000","E221","3335795","BK",,,,,,
"1969229","RISK","2014-04-09T00:00:00.000","E249","3107008","BK",,,,,,
"10658473","RISK","2019-04-24T00:00:00.000","L149","3160125","BK",,,,,,
"9175830","RISK","2018-08-21T00:00:00.000","E151","5165138","SI",,,,,,
"10661741","RISK","2019-04-25T00:00:00.000","E207","3325933","BK",,,,,,
"1975955","RISK","2014-04-10T00:00:00.000","E318","3856622","BK",,,,,,
"1977693","RISK","2014-04-10T00:00:00.000","L128","4003406","QN",,,,,,
"9313530","RISK","2018-09-14T00:00:00.000","E153","5822692","SI",,,,,,
"8322938","RISK","2018-03-26T00:00:00.000","E218","3425723","BK",,,,,,
"8443054","RISK","2018-04-16T00:00:00.000","E168","5159024","SI",,,,,,
"10686829","RISK","2019-04-29T00:00:00.000","L175","3086865","BK",,,,,,
"1981057","RISK","2014-04-11T00:00:00.000","E287","4062862","QN",,,,,,
"10685255","RISK","2019-04-29T00:00:00.000","L076","5170219","SI",,,,,,
"10684206","RISK","2019-04-29T00:00:00.000","L011","1005241","MN",,,,,,
"1984219","RISK","2014-04-11T00:00:00.000","L130","4865534","QN",,,,,,
"2412063","RISK","2014-07-26T00:00:00.000","E053","1799395","MN",,,,,,
"3398593","RISK","2015-04-06T00:00:00.000","E003","1080284","MN",,,,,,
"10703797","RISK","2019-05-01T00:00:00.000","E229","3067527","BK",,,,,,
"10699497","RISK","2019-05-01T00:00:00.000","E292","4053648","QN",,,,,,
"7247675","RISK","2017-08-18T00:00:00.000","E151","5155517","SI",,,,,,
"10708219","RISK","2019-05-02T00:00:00.000","L024","1090814","MN",,,,,,
"1998851","RISK","2014-04-16T00:00:00.000","E242","3257057","BK",,,,,,
"10711579","RISK","2019-05-02T00:00:00.000","E312","4017166","QN",,,,,,
"10716740","RISK","2019-05-03T00:00:00.000","L079","5005105","SI",,,,,,
"2005013","RISK","2014-04-17T00:00:00.000","E258","4862717","QN",,,,,,
"10818596","RISK","2019-05-03T00:00:00.000","L055","2830220","BX",,,,,,
"10715321","RISK","2019-05-03T00:00:00.000","E328","4859631","QN",,,,,,
"9942408","RISK","2018-12-27T00:00:00.000","E037","1059581","MN",,,,,,
"2887142","RISK","2014-12-03T00:00:00.000","E022","1047471","MN",,,,,,
"7513547","RISK","2017-10-17T00:00:00.000","E329","4540306","QN",,,,,,
"1597510","RISK","2014-01-09T00:00:00.000","E034","1076864","MN",,,,,,
"10724339","RISK","2019-05-06T00:00:00.000","E062","2831454","BX",,,,,,
"2013053","RISK","2014-04-18T00:00:00.000","L101","3856449","BK",,,,,,
"10733416","RISK","2019-05-07T00:00:00.000","E160","5016214","SI",,,,,,
"2018360","RISK","2014-04-21T00:00:00.000","E276","3183111","BK",,,,,,
"10747657","RISK","2019-05-08T00:00:00.000","E152","5107418","SI",,,,,,
"8209511","RISK","2018-03-05T00:00:00.000","L108","3418149","BK",,,,,,
"2020794","RISK","2014-04-21T00:00:00.000","L124","3326369","BK",,,,,,
"10745027","RISK","2019-05-08T00:00:00.000","L080","5858215","SI",,,,,,
"8743780","RISK","2018-06-07T00:00:00.000","E093","1812221","MN",,,,,,
"10818595","RISK","2019-05-09T00:00:00.000","L055","2001190","BX",,,,,,
"2025765","RISK","2014-04-22T00:00:00.000","L049","2814276","BX",,,,,,
"8810794","RISK","2018-06-19T00:00:00.000","E037","1087930","MN",,,,,,
"10749069","RISK","2019-05-09T00:00:00.000","E157","5005753","SI",,,,,,
"10753617","RISK","2019-05-09T00:00:00.000","L138","4616794","QN",,,,,,
"2028496","RISK","2014-04-23T00:00:00.000","E089","2095016","BX",,,,,,
"9148838","RISK","2018-08-16T00:00:00.000","E207","3335172","BK",,,,,,
"2030573","RISK","2014-04-23T00:00:00.000","E318","3828548","BK",,,,,,
"8967072","RISK","2018-07-16T00:00:00.000","L080","5169335","SI",,,,,,
"2031988","RISK","2014-04-23T00:00:00.000","L106","3394987","BK",,,,,,
"9987671","RISK","2019-01-04T00:00:00.000","E266","4529873","QN",,,,,,
"10755391","RISK","2019-05-10T00:00:00.000","L105","3018612","BK",,,,,,
"2032788","RISK","2014-04-23T00:00:00.000","L153","3174826","BK",,,,,,
"9995464","RISK","2019-01-07T00:00:00.000","E276","3426444","BK",,,,,,
"10760373","RISK","2019-05-10T00:00:00.000","L080","5860070","SI",,,,,,
"10771401","RISK","2019-05-13T00:00:00.000","L011","1005263","MN",,,,,,
"10768698","RISK","2019-05-13T00:00:00.000","E162","5065724","SI",,,,,,
"10775425","RISK","2019-05-13T00:00:00.000","E219","3027662","BK",,,,,,
"7353134","RISK","2017-09-12T00:00:00.000","L133","4527659","QN",,,,,,
"10768049","RISK","2019-05-13T00:00:00.000","E070","2128037","BX",,,,,,
"9666793","RISK","2018-11-13T00:00:00.000","E225","3421802","BK",,,,,,
"10776866","RISK","2019-05-14T00:00:00.000","E151","5164211","SI",,,,,,
"2043191","RISK","2014-04-25T00:00:00.000","L076","5105006","SI",,,,,,
"10782961","RISK","2019-05-14T00:00:00.000","L119","3322262","BK",,,,,,
"2178783","RISK","2014-05-25T00:00:00.000","L107","3343251","BK",,,,,"3042719001",
"2048268","RISK","2014-04-28T00:00:00.000","E274","4449967","QN",,,,,,
"4138311","RISK","2015-10-20T00:00:00.000","L130","4100759","QN",,,,,,
"9630855","RISK","2018-11-07T00:00:00.000","E040","1090139","MN",,,,,,
"9404115","RISK","2018-09-28T00:00:00.000","E321","3337280","BK",,,,,,
"2056750","RISK","2014-04-29T00:00:00.000","L175","3326692","BK",,,,,,
"6127037","RISK","2017-01-11T00:00:00.000","E166","5121393","SI",,,,,,
"2058447","RISK","2014-04-30T00:00:00.000","E168","5830291","SI",,,,,,
"10811147","RISK","2019-05-20T00:00:00.000","E062","2832147","BX",,,,,,
"10811801","RISK","2019-05-20T00:00:00.000","E097","2051559","BX",,,,,,
"5916919","RISK","2016-11-30T00:00:00.000","E034","1012473","MN",,,,,,
