"tru","start_date","end_date","status_description","street_activity","premise_no","street_name","borough","zip_code","facility_aka","facility_type","bin","block","lot","cross_street_on","cross_street_between","cross_street_and","building_owner_name","contractor_name","air_monitor_name","entire_floor","floor","section","acm_type","acm_amount","acm_unit","abatement_type","procedure_name","latitude","longitude","community_board","council_district","census_tract","bbl","nta"
"TRU0869BK19","2019-06-16T00:00:00.000","2020-06-04T00:00:00.000","Postponed","No","2475","West 16th street","Brooklyn","11214",,"Commercial","3337265","06919","0001",,,,"Eladia Rolon","PLI Group Corp.","Standard Environmental Services, inc.","No","1st","Supply room","pipe insulation","120","Linear Feet","Removal","Tent","40.586985","-73.985372","13","47","308","3069190001","Gravesend"
"TRU0790MN19","2019-04-11T00:00:00.000","2020-04-01T00:00:00.000","Submitted","No","972","Fifth Avenue","Manhattan","10075","French Cultural Services","Other","1041896","01393","0072",,,,"Republic of France","ETS Contracting, Inc.","DPV Consultants, Inc.","No","Cellar","At Convector Units","HVAC Panel","88","Square Feet","Removal","DEP Variance","40.776553","-73.964042","8","4","142","1013930072","Upper East Side-Carnegie Hill"
"TRU5099QN18","2018-02-15T00:00:00.000","2019-02-06T00:00:00.000","Closed","No","48-10","31 Avenue","Queens","11103","William C. Bryant HS (Q445)","School","4013655","00738","0002",,,,"NYC School Construction Authority (NYCSCA)","A Quest Corporation","TRC Engineers, Inc.","No","2nd","Room 250","pipe insulation","3","Linear Feet","Removal","Tent","40.75823","-73.910514","1","26","163","4007380002","Astoria"
"TRU0080SI21","2021-05-29T00:00:00.000","2022-05-17T00:00:00.000","Closed","No","19","Treadwell street","Staten Island","10302",,"Commercial","5025550","01084","0059",,,,"New world charter School","EC Abatement Inc","Liberty Environmental Services, LLC","No","Basement","Left wing room","Popcorn decorative Ceiling","600","Square Feet","Removal","Full Containment",,,,,,,
"TRU0018BK20","2020-01-17T00:00:00.000","2021-01-04T00:00:00.000","Closed","No","2576","Cropsey Ave","Brooklyn","11214",,"Residence","3187673","06932","0010",,,,"Tiffany, Peter, Cynthia, Phillip  Vuong","Alpha Environmental Services, Inc","Standard Environmental Services, inc.","No","1st Floor","Garage Area","VAT","230","Square Feet","Removal","Interior Foam","40.590705","-73.991805","11","43","304","3069320010","Bensonhurst East"
"TRU0471QN22","2022-09-26T00:00:00.000","2023-04-25T00:00:00.000","Postponed","No","82-68","164TH STREET","Queens","11432",,"Hospital","4442431","06858","0001",,,,"NYC QUEENS HOSPITAL","212 Services, LLC","LiRo Engineers, Inc.","No","ROOF","PUMPS #1","TAR","1","Square Feet","Removal","Exterior Foam","40.71725","-73.803433","8","24","1267","4068580001","Pomonok-Flushing Heights-Hillcrest"
"TRU1667BK21","2021-10-25T00:00:00.000","2022-10-17T00:00:00.000","Closed","No","109","Christopher Ave","Brooklyn","11212","Glenmore Houses Bldg #4","Residence","3326947","03709","0001",,,,"New York City Housing Authority (NYCHA)","Alpha Environmental Services, Inc","Genesis Environmental Consultants Inc.","No","7","Apt 7F Kitchen","Ceiling Plaster","3","Square Feet","Removal","Tent","40.671015","-73.906179","16","37","908","3037090001","Brownsville"
"TRU0431BK22","2022-06-01T00:00:00.000","2023-03-02T00:00:00.000","Postponed","No","570","Stanley Avenue","Brooklyn","11207","Linden Houses Building 1","Residence","3324019","04371","0001",,,,"Stanley Avenue Preservation LLC","Federal Property Maintenance Corp.","AIM Environmental LLC","No","5th","Apartment A","Vinyl Floor Tile and Mastic","10","Square Feet","Removal","Tent","40.657787","-73.887525","5","42","1106","3043710001","East New York"
"TRU0367MN21","2021-03-10T00:00:00.000","2022-03-02T00:00:00.000","Closed","No","498","West End Avenue","Manhattan","10024",,"Residence","1032795","01231","7502",,,,"Samson Management","The Asbestos Contractor, Inc.","New York Safety Services LLC","No","3","3c Kitchen","floor tile","40","Square Feet","Removal","Interior Foam","40.787519","-73.978835","7","6","171","1012317502","Upper West Side"
"TRU0829BK19","2019-06-14T00:00:00.000","2020-06-01T00:00:00.000","Closed","No","1570","East 102nd Street","Brooklyn","11236","Bayview Houses Bldg.#8 Contract # RF172553","Residence","3331430","08329","0225",,,,"New York City Housing Authority (NYCHA)","Zoria Housing, LLC","Genesis Environmental Consultants Inc.","No","Roof","Bulkhead Elevations # b,c&d","Vent/Louver Caulking","4","Square Feet","Removal","Exterior Vertical Surface","40.634918","-73.884576","18","46","1034","3083290225","Canarsie"
"TRU5962MN18","2018-05-04T00:00:00.000","2019-04-23T00:00:00.000","Closed","No","40","Madison Street","Manhattan","10038","Smith Houses Bldg 10","Residence","1077419","00111","0100",,,,"New York City Housing Authority (NYCHA)","New York Environmental Systems, Inc.","The ALC Group LLC dba ALC Environmental","No","2nd","2A","VAT","672","Square Feet","Removal","VAT Protocol in NYCHA Apt","40.711865","-73.998756","3","1","25","1001110100","Chinatown"
"TRU2798MN22","2022-11-26T00:00:00.000","2023-11-14T00:00:00.000","Closed","No","528","West 41 Street","Manhattan","10036","West 42nd St SS","Commercial","1000000","01069","0030",,,,"Consolidated Edison   Company of NY, Inc.","C.K.&B. Environmental Incorporated","Omega Laboratories, Inc.","No","1","Transformer 9 Deluge Enclosure","Pipe Tar Coating","3","Linear Feet","Removal","DEP Variance","40.759566","-73.997415","4","3","117","1010690030","Hudson Yards-Chelsea-Flatiron-Union Square"
"TRU5945MN18","2018-04-30T00:00:00.000","2019-04-19T00:00:00.000","Closed","No","842","6th Avenue","Manhattan","10001",,"Commercial","1015751","00831","0004",,,,"842 Enterprises Inc.","Alba Environmental Inc.","Environmental Management Services, Inc.","No","5th Floor","5th Floor, Parapet Wall","Roof Tar","40","Square Feet","Removal","Exterior Vertical Surface","40.746893","-73.989888","5","3","76","1008310004","Midtown-Midtown South"
"TRU1401MN22","2022-06-13T00:00:00.000","2023-06-02T00:00:00.000","Submitted","No","510","East 62nd Street","Manhattan","10065",,"Hospital","1046252","01474","0040",,,,"The Animal Medical Center","Pinnacle Environmental Corp.","McCabe Environmental Services, L.L.C.","No","7th Floor","Throughout","Wall Tar","2250","Square Feet","Removal","DEP Variance","40.760459","-73.958196","8","5","10602","1014740040","Lenox Hill-Roosevelt Island"
"TRU1965BK22","2022-12-05T00:00:00.000","2023-10-06T00:00:00.000","Submitted","No","1225","69th Street","Brooklyn","11219","SCA K176","School","3143190","05774","0001",,,,"NYC School Construction Authority (NYCSCA)","JVN Restoration Inc.","Airtek Environmental Corp.","No","2nd","Girls Toilet","Wall Plaster","34","Square Feet","Removal","DEP Variance","40.624611","-74.005378","10","43","196","3057740001","Dyker Heights"
"TRU0865QN21","2021-09-09T00:00:00.000","2022-08-11T00:00:00.000","Closed","No","30-02","48th Avenue","Queens","11101","IBZ Industrial Business Zone","Other","4003546","00287","0011",,,,"Alexandria Real Estate Equities","New York Insulation, Inc.","Precision Environmental Inc.","No","3","Bay 11 - East Elevation Exterior Facade","Window Caulking","6","Square Feet","Removal","Exterior Vertical Surface","40.741426","-73.937833","2","26","199","4002870011","Hunters Point-Sunnyside-West Maspeth"
"TRU0120MN23","2023-03-20T00:00:00.000","2024-01-19T00:00:00.000","Submitted","No","100","West 92nd Street","Manhattan","10025",,"Residence","1032499","01222","0029",,,,"Joshua Holzer","ESG, Inc.","Omega Laboratories, Inc.","No","10","Unit 10C - Kitchen","Joint compound","6","Square Feet","Removal","Tent","40.790446","-73.969766","7","6","177","1012220029","Upper West Side"
"TRU6967MN18","2018-07-27T00:00:00.000","2019-07-29T00:00:00.000","Submitted","No","129-131","5th Avenue","Manhattan","10003",,"Residence","1016187","00848","0074",,,,"129-131 Fifth Avenue Corp.","P.A.L. Environmental Safety Corp.","J.S. Held LLC","No","2nd","Apartment 202 Interior","Dust","5","Square Feet","Removal","Emergency Cleanup","40.739463","-73.991087","5","2","52","1008480074","Hudson Yards-Chelsea-Flatiron-Union Square"
"TRU0037BX19","2019-02-14T00:00:00.000","2020-01-14T00:00:00.000","Closed","No","1609","East 174th Street","Bronx","10472","Bronx River Houses Bldg.#5 Contract # 1721663","Residence","2092908","03886","0002",,,,"New York City Housing Authority (NYCHA)","Zoria Housing, LLC","Genesis Environmental Consultants Inc.","No","Roof","Roof","Vent Stack Coating","246","Square Feet","Removal","Exterior Vertical Surface","40.833915","-73.876422","9","18","62","2038860002","West Farms-Bronx River"
"TRU1072BK21","2021-07-29T00:00:00.000","2022-07-15T00:00:00.000","Closed","No","982","Hegeman Avenue","Brooklyn","11208","P.S.202(K)","School","3098664","04477","0001",,,,"NYC School Construction Authority (NYCSCA)","Citywide Environmental Services LLC","Core Environmental Consultants, Inc.","No","4","West Hallway","VAT/mastic","1740","Square Feet","Removal","Interior Foam","40.666417","-73.876563","5","42","1116","3044770001","East New York"
"TRU7606MN18","2018-10-12T00:00:00.000","2019-10-04T00:00:00.000","Submitted","No","730","Fifth Avenue","Manhattan","10019",,"Other","1035053","01272","7503",,,,"OKO Grp","212 Services, LLC","Environmental Consulting & Management Services, In","No","11","NORTH WING","WALL MASTIC","2400","Square Feet","Removal","Full Containment","40.762635","-73.974222","5","4","11201","1012727503","Midtown-Midtown South"
"TRU0732BX22","2022-06-27T00:00:00.000","2023-06-08T00:00:00.000","Closed","No","815","East 152nd Street","Bronx","10455","Adams Houses Bldg.#7","Residence","2091989","02665","0001",,,,"New York City Housing Authority (NYCHA)","Zoria Housing, LLC","Airtek Environmental Corp.","No","8th","Exterior Façade Elevations # 1,2,3,4,5,6,7,8,9 &10","Brick as ACM","517","Square Feet","Removal","Exterior Vertical Surface","40.815451","-73.905192","1","17","79","2026650001","Melrose South-Mott Haven North"
"TRU0127BK22","2022-02-23T00:00:00.000","2023-01-19T00:00:00.000","Closed","No","370","Bushwick Avenue","Brooklyn","11206","Bushwick Houses, Building #06","Residence","3338436","03129","0001",,,,"New York City Housing Authority (NYCHA)","Empire Control Abatement, Inc.","Airtek Environmental Corp.","No","13","Apartment # 13E","Floor Tiles","633","Square Feet","Removal","VAT Protocol in NYCHA Apt","40.703941","-73.938485","1","34","489","3031290001","Bushwick South"
"TRU0809BK20","2020-07-22T00:00:00.000","2021-07-14T00:00:00.000","Closed","No","1568","55th street","Brooklyn","11219",,"Commercial","3130631","05488","0034",,,,"David Frank","PLI Group Corp.","Standard Environmental Services, inc.","No","2nd floor","front room","mirror glue","6","Square Feet","Removal","Tent","40.628154","-73.989816","12","44","240","3054880034","Borough Park"
"TRU1112BX22","2022-08-18T00:00:00.000","2023-08-09T00:00:00.000","Closed","No","1364","Blondell Avenue","Bronx","10461",,"Commercial","2094995","04139","0106",,,,"1374 Blondell LLC","Dussan Inc. DBA AMCS Environmental","All Air Sampling Inc.","No","Roof","Right Side of Roof","BUR","2800","Square Feet","Removal","Exterior Foam","40.842415","-73.842483","11","13","284","2041390101","Van Nest-Morris Park-Westchester Square"
"TRU6558BK18","2018-09-11T00:00:00.000","2019-08-22T00:00:00.000","Closed","No","1590","East 102nd Street","Brooklyn","11236","Bayview Houses Bldg.#13 Contract # RF172553","Residence","3331430","08329","0225",,,,"New York City Housing Authority (NYCHA)","Zoria Housing, LLC","Genesis Environmental Consultants Inc.","No","2nd","Exterior Facade Elevations #2 to 12","Brick as ACM @ Bolt Locations & Shelf Angle","260","Square Feet","Removal","Exterior Vertical Surface","40.634475","-73.884112","18","46","1034","3083290225","Canarsie"
"TRU1208MN21","2021-06-30T00:00:00.000","2022-06-15T00:00:00.000","Closed","No","160","West 78th Street","Manhattan","10024","PS 87M","School","1030196","01149","0007",,,,"NYC School Construction Authority (NYCSCA)","A.S.A.R. International Corporation","WSP USA Solutions Inc.","No","1st Floor","Throughout","Floor tiles","1900","Square Feet","Removal","DEP Variance","40.781958","-73.977638","7","6","161","1011490007","Upper West Side"
"TRU0035QN23","2023-05-19T00:00:00.000","2024-01-11T00:00:00.000","Postponed","No","190-20","109 ROAD","Queens","11412","P.S. 118  QUEENS (Q118)","School","4233850","10926","0050",,,,"NYC School Construction Authority (NYCSCA)","Rici Corp.","Core Environmental Consultants, Inc.","No","Roof","1927 Bldg. Roof 3","#65-Concealed screed, roof membrane, flashing, tar","260","Square Feet","Removal","Exterior Foam","40.703585","-73.765838","12","27","504","4109260050","Hollis"
"TRU0053BX23","2023-01-25T00:00:00.000","2024-01-12T00:00:00.000","Submitted","No","370","East 150 street","Bronx","10455","Verizon","Commercial","2000856","02328","0012",,,,"Greg Coulon","ETS Contracting, Inc.","TRC Engineers, Inc.","No","3rd Floor","Northwest wing","Louver caulking","1","Square Feet","Removal","Tent","40.817031","-73.918539","1","17","65","2023280012","Melrose South-Mott Haven North"
"TRU2333MN21","2021-11-03T00:00:00.000","2022-10-21T00:00:00.000","Closed","No","19","West 4th Street","Manhattan","10012",,"Commercial","1080098","00546","0021",,,,"David Alonso","ETS Contracting, Inc.","Consulting And Testing Services, Inc.","No","Sub-Bsmt","Room SB05","Floor debris","100","Square Feet","Removal","DEP Variance","40.728951","-73.995324","2","1","59","1005460021","West Village"
"TRU0054BK21","2021-01-15T00:00:00.000","2022-01-12T00:00:00.000","Closed","No","70","Tompkins Avenue","Brooklyn","11206","I.S. 33K","School","3048517","01743","0018",,,,"NYC Dept of Education (NYCDOE)","D & S Restoration, Inc.","ATC Group Services LLC","No","Bsmnt","by Entrance A","Pipe Insulation","25","Linear Feet","Removal","Tent","40.697152","-73.946641","3","36","257","3017430018","Bedford"
"TRU0843BK20","2020-08-13T00:00:00.000","2021-07-21T00:00:00.000","Closed","No","346","Butler street","Brooklyn","11217",,"Commercial","3019145","00943","0009",,,,"346 Butler LLC","PLI Group Corp.","Sentinel Environmental Inc.","Yes","roof",,"roof material","1500","Square Feet","Removal","Exterior Foam","40.679807","-73.980967","6","39","131","3009430009","Park Slope-Gowanus"
"TRU0234QN19","2019-03-27T00:00:00.000","2020-03-10T00:00:00.000","Closed","No","15-30","Hassock Street","Queens","11691","NYCHA Redfern, Bld. #5 (GR1508571)","Residence","4449685","15501","0002",,,,"New York City Housing Authority (NYCHA)","Vestar, Inc.","Genesis Environmental Consultants Inc.","No","Bs'mt","Exterior Doors","Door Caulking","10","Square Feet","Removal","Exterior Vertical Surface","40.609014","-73.753287","14","31","103201","4155010002","Far Rockaway-Bayswater"
"TRU0093BK22","2022-06-01T00:00:00.000","2023-01-17T00:00:00.000","Postponed","No","180","Wortman Avenue","Brooklyn","11207",,"Residence","3337066","04393","0001",,,,"Stanley Avenue Preservation LLC","Federal Property Maintenance Corp.","AIM Environmental LLC","No","2nd","Apartment E","Vinyl Floor Tile and Mastic","10","Square Feet","Removal","Tent","40.65629","-73.886471","5","42","1106","3043930001","East New York"
"TRU0151MN21","2021-04-28T00:00:00.000","2022-01-24T00:00:00.000","Closed","No","762","Madison Avenue","Manhattan","10065",,"Commercial","1041147","01380","0017",,,,"SL Green Realty","P.A.L. Environmental Safety Corp.","Environmental Building Solutions, LLC","No","02","Facade","Window Caulking","4","Square Feet","Removal","Exterior Vertical Surface","40.767686","-73.968437","8","4","122","1013800056","Upper East Side-Carnegie Hill"
"TRU0968BX22","2022-08-15T00:00:00.000","2023-07-20T00:00:00.000","Submitted","No","100; 120; 140","Bellamy Loop","Bronx","10475","Building 21A/ 21B/ 21C","Residence","2095386","05141","0120",,,,"Riverbay Corporation","Abatement Unlimited, Inc.","Genesis Environmental Consultants Inc.","Yes","11",,"Floor mastic","3750","Square Feet","Repair","DEP Variance",,,,,,,
"TRU0923BK22","2022-05-11T00:00:00.000","2023-05-03T00:00:00.000","Closed","No","1008","Saint Marks Avenue","Brooklyn","11213","Albany Bldg #5","Residence","3324616","01352","0080",,,,"New York City Housing Authority (NYCHA)","New York Environmental Systems, Inc.","Genesis Environmental Consultants Inc.","No","3RD","3A","Floor Tile","628","Square Feet","Removal","VAT Protocol in NYCHA Apt","40.67458","-73.938469","8","36","343","3013520080","Crown Heights North"
"TRU0377MN20","2020-06-15T00:00:00.000","2021-02-17T00:00:00.000","Closed","No","50","Rockefeller Plaza","Manhattan","10020",,"Other","1083859","01266","0001",,,,"RCPI Landmark Properties, LLC","Degmor Environmental Services, LLC","Hillmann Consulting, LLC","No","Ground Flr","Former Bertliz","Duct Insulation","320","Square Feet","Removal","DEP Variance","40.75938","-73.97823","5","4","104","1012660001","Midtown-Midtown South"
"TRU1478BK22","2022-07-29T00:00:00.000","2023-07-26T00:00:00.000","Closed","No","760","Prospect Place","Brooklyn","11216","K138","School","3330794","01233","0026",,,,"NYC School Construction Authority (NYCSCA)","ABC Construction Contracting Inc.","New York Environmental & Analytical Laboratories,","No","1st Floor","Stairwell #I&J","Wall Plaster","1","Square Feet","Repair","Tent","40.67438","-73.951443","8","36","31701","3012330026","Crown Heights North"
"TRU1435BX21","2022-05-31T00:00:00.000","2022-12-02T00:00:00.000","Closed","No","980","Trinity Avenue","Bronx","10456","NYCHA RF1803947 Forest Houses, Bld. #15","Residence","2091968","02639","0001",,,,"New York City Housing Authority (NYCHA)","R.S.N. Construction Co., Inc.","Genesis Environmental Consultants Inc.","No","Roof","Bulkhead - Wall","ACM Caulking at Conduit Penetrations","1","Square Feet","Removal","Exterior Vertical Surface","40.824177","-73.905371","3","16","133","2026390001","Morrisania-Melrose"
"TRU0895BK21","2022-02-03T00:00:00.000","2022-06-16T00:00:00.000","Postponed","No","333","Lafayette Ave","Brooklyn","11238",,"Residence","3055377","01933","0100",,,,"Pratt Towers Inc","ESG, Inc.","Airtek Environmental Corp.","No","10","Unit G","Vertical Pipe Insulation","60","Linear Feet","Removal","DEP Variance","40.688657","-73.962027","2","35","193","3019330100","Clinton Hill"
"TRU5642MN18","2018-04-04T00:00:00.000","2019-03-19T00:00:00.000","Closed","No","50","East 69th Street","Manhattan","10021",,"Residence","1041269","01383","0040",,,,"East Side Homestead LLC","T L D Services, Inc.","Specialized United Services inc.","No","Mezzanine","Kitchen","pipe insulation","180","Linear Feet","Removal","Full Containment","40.769579","-73.966237","8","4","122","1013830040","Upper East Side-Carnegie Hill"
"TRU6539BK18","2018-08-27T00:00:00.000","2019-08-19T00:00:00.000","Closed","No","179","Waverly Avenue","Brooklyn","11205",,"Residence","3054804","01903","0011",,,,"Patricia Sims","AGG Environmental Corp.","Bertrand Environmental Services LLC","Yes","Cellar",,"pipe insulation","60","Linear Feet","Removal","Tent","40.692524","-73.967693","2","35","195","3019030011","Clinton Hill"
"TRU0013SI21","2021-02-13T00:00:00.000","2022-02-01T00:00:00.000","Closed","No","43","Bowling Green Place","Staten Island","10314",,"Residence","5035877","02115","0022",,,,"George Tinsman","Gig Services, Corp.","AVM Environmental Inc","No","1st Floor","Exterior","Caulking","10","Square Feet","Removal","Exterior Vertical Surface","40.595257","-74.165889","2","50","29103","5021150022","New Springville-Bloomfield-Travis"
"TRU6130BX18","2018-11-09T00:00:00.000","2019-10-15T00:00:00.000","Closed","No","165","Brown Place","Bronx","10454","PS 43 X","School","2000205","02280","0040",,,,"NYC School Construction Authority (NYCSCA)","U.S. Environmental Abatement, Corp.","Environmental Management Solutions Of New York, In","No","Cellar","Areaway C","Window Caulking","5","Square Feet","Removal","DEP Variance","40.806351","-73.921196","1","8","25","2022800040","Mott Haven-Port Morris"
"TRU1573BK22","2023-03-20T00:00:00.000","2023-08-09T00:00:00.000","Closed","No","142","Maujer Street","Brooklyn","11206","Bldg. 8; Stairhall #52","Residence","3327884","03025","0046",,,,"New York City Housing Authority (NYCHA)","T L D Services Inc","Airtek Environmental Corp.","No","1st","APT. #1A  Interior Windows","Window Caulking","6","Square Feet","Removal","Tent","40.710825","-73.944484","1","34","505","3030250046","East Williamsburg"
"TRU0215MN22","2022-02-10T00:00:00.000","2023-01-30T00:00:00.000","Closed","No","358","Bowery","Manhattan","10012","40 East 4th Street New York NY 10012","Residence","1080074","00531","0037",,,,"Bowery Development Partners LLC","Alba Environmental Inc.","Environmental Consulting & Management Services, In","No","Roof","Roof # 7","Roof Membrane materials","728","Square Feet","Removal","Exterior Foam","40.726772","-73.991673","2","1","5502","1005310037","West Village"
"TRU5652QN18","2018-07-24T00:00:00.000","2019-06-24T00:00:00.000","Closed","No","150-19","Barclay Ave","Queens","11355",,"Commercial","4114910","05058","0003",,,,"Forever 99 Holdings LLC","Tristate Cleaning Solutions Inc.","Environmental Management Services, Inc.","Yes","Roof",,"Parapet wall flashing","400","Square Feet","Removal","Exterior Vertical Surface","40.761797","-73.813355","7","20","1167","4050580003","Murray Hill"
"TRU0750MN23","2023-04-24T00:00:00.000","2024-03-29T00:00:00.000","Closed","No","46","Jane Street","Manhattan","10014",,"Residence","1011435","00625","0031",,,,"Mary Alyce Spencer & Brian Zakutansky","ESG, Inc.","Advanced Environmental Corp.","No","Roof","Bulkhead","Roof membrane","50","Square Feet","Removal","Exterior Foam","40.738129","-74.00476","2","3","77","1006250031","West Village"
"TRU0989BX22","2022-07-28T00:00:00.000","2023-07-20T00:00:00.000","Submitted","No","620-600","Baychester Avenue","Bronx","10475","Building 16A/16B","Residence","2128837","05141","0120",,,,"Riverbay Corporation","Abatement Unlimited, Inc.","Genesis Environmental Consultants Inc.","Yes","15",,"Floor mastic","5217","Square Feet","Repair","DEP Variance","40.871886","-73.833436","10","12","46201","2051410120","Co-op City"
"TRU0562MN22","2022-03-14T00:00:00.000","2023-03-06T00:00:00.000","Postponed","No","11","Madison Avenue","Manhattan","10010",,"Commercial","1088910","00854","7501",,,,"SL Green Realty Corp.","NTM Enterprises, LLC","Environmental Building Solutions, LLC","No","16","16th floor setback roof all elevations","coping stone caulk joint","11","Square Feet","Removal","Exterior Vertical Surface","40.741617","-73.987449","5","2","56","1008547501","Hudson Yards-Chelsea-Flatiron-Union Square"
"TRU0937BK22","2022-07-05T00:00:00.000","2023-05-05T00:00:00.000","Closed","No","1625","11th Avenue","Brooklyn","11215","K154","School","3121871","05257","0001",,,,"NYC School Construction Authority (NYCSCA)","M&N General Services, Inc.","LiRo Engineers, Inc.","No","1st Floor","Hallway","Floor Tiles","1634","Square Feet","Removal","Interior Foam","40.657472","-73.97618","7","39","171","3052570001","Windsor Terrace"
"TRU0864BX23","2023-07-21T00:00:00.000","2024-06-24T00:00:00.000","Submitted","No","100; 120","Dreiser Loop","Bronx","10475","Building 9 100-120","Residence","2096814","05141","0120",,,,"Riverbay Corporation","Abatement Unlimited, Inc.","Genesis Environmental Consultants Inc.","Yes","13",,"Floor mastic","5217","Square Feet","Repair","DEP Variance",,,,,,,
"TRU7170MN18","2019-05-14T00:00:00.000","2019-08-15T00:00:00.000","Closed","No","510","East 70th Street","Manhattan","10021","Harkness & A Bldg.","Hospital","1084784","01480","0001",,,,"Weill Cornell Medicine","ETS Contracting, Inc.","Lawrence Env LLC","No","12","Harkness 12","parapet caulk","5","Square Feet","Removal","Exterior Vertical Surface","40.765346","-73.954251","8","5","116","1014800001","Lenox Hill-Roosevelt Island"
