"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","siteid","benchid","category","benchtype","installati","address","geocodeadd","street","crossstree","borough","comdist","busroute","bid","latitude","longitude","femafldz","femafldt","hrcevac"
"POINT (-73.94169756698395 40.7977467251452)","1","Manhattan","111","8","68","30","13","3686.0","0.0","General","backed","2017-02-14T00:00:00.000","158 E 115th Street","158 E 115th Street","E 115th Street","Lexington Avenue & 3rd Avenue","Manhattan","111.0","Not Applicable","Not Applicable","40.797755","-73.941699","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.95267957174616 40.65274075342139)","3","Brooklyn","317","40","43","20","9","3895.0","234.0","Bus Route","backless 2","2017-08-17T00:00:00.000","755 Rogers Avenue","755 Rogers Avenue","Rogers Avenue","Lenox Road & Linden Blvd","Brooklyn","317.0","B49","Not Applicable","40.652749","-73.952681","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9768535562723 40.780813728828264)","1","Manhattan","107","6","67","29","10","1831.0","445.0","General","backed","2013-03-25T00:00:00.000","100 West 77th Street","100 West 77th Street","Columbus Avenue","76th Street & 77th Street","Manhattan","107.0","Not Applicable","Columbus Avenue","40.780822","-73.976855","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00863155680005 40.61085676374994)","3","Brooklyn","311","43","47","22","11","3982.0","440.0","General","backed 2","2018-02-08T00:00:00.000","1532 86th Street","1532 86th Street","86th Street","Bay 10th Street & Bay 11th Street","Brooklyn","311.0","Not Applicable","Not Applicable","40.610865","-74.008633","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.89748857623975 40.86899870940162)","2","Bronx","207","11","81","34","13","3522.0","77.0","Municipal Facilities","backed 2","2017-07-03T00:00:00.000","25 W 195th Street","25 W 195th Street","195th Street","Jerome Avenue & Reservoir Avenue","Bronx","207.0","Not Applicable","Not Applicable","40.869007","-73.89749","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.7388326347776 40.75553672555852)","4","Queens","411","23","25","11","3","1947.0","576.0","General","backed","2013-07-03T00:00:00.000","242-02 61st Avenue","242-02 61st Avenue","Douglaston Parkway","61st Avenue & 65th Avenue","Queens","411.0","Q30","Not Applicable","40.755545","-73.738834","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.82609060733185 40.75149972937553)","4","Queens","407","20","25","16","6","3359.0","330.0","General","backed","2016-07-13T00:00:00.000","43-50 Main Street","43-50 Main Street","Main Street","Elder Avenue & Peck Avenue","Queens","407.0","Not Applicable","Not Applicable","40.751508","-73.826092","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.75265263363269 40.69827073733982)","4","Queens","412","27","33","14","5","3321.0","202.0","Municipal Facilities","backed","2016-07-06T00:00:00.000","201-15 115th Avenue","201-15 115th Avenue","115th Avenue","201st Street & 202nd Street","Queens","412.0","Not Applicable","Not Applicable","40.698279","-73.752654","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.75318163904649 40.60298875595709)","4","Queens","414","31","23","10","5","2446.0","1852.0","Plaza","backed","2015-12-09T00:00:00.000","10-31 Beach 20th Street","10-31 Beach 20th Street","Plaza","Beach 20th & Beach 21st Street","Queens","414.0","Not Applicable","Not Applicable","40.602997","-73.753183","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.98463544420225 40.61075149060178)","3","Brooklyn","311","44","47","17","10","3793.0","291.0","Senior Safety","backed","2018-01-10T00:00:00.000","7023 Bay Pkwy","7023 Bay Pkwy","W 11th Street","Avenue O & Bay Pkwy","Brooklyn","311.0","Not Applicable","Not Applicable","40.6107514906","-73.9846354442","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.82609363574217 40.85231004751419)","2","Bronx","228","13","82","34","14","3569.0","23.0","Bus Route","backless 2","2017-02-04T00:00:00.000","Charles J Cimi Plaza","Charles J Cimi Plaza","Bruckner Expressway","Wilkinson Avenue & Westchester Avenue","Bronx","210.0","Not Applicable","Not Applicable","40.8523100475","-73.8260936357","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.9340035695616 40.79539372448657)","1","Manhattan","111","8","68","29","13","3355.0","104.0","Municipal Facilities","backed","2016-09-15T00:00:00.000","440 E 116th Street","440 E 116th Street","E 116th Street","1st Avenue & Pleasant Avenue","Manhattan","111.0","Not Applicable","Not Applicable","40.795402","-73.934005","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","3"
"POINT (-73.71913063186288 40.74327903962931)","4","Queens","413","23","24","11","3","2387.0","970.0","General","backed","2014-05-07T00:00:00.000","251-15 Union Turnpike","251-15 Union Turnpike","252nd Street","Union Turnpike, 80th Avenue & 251st Street","Queens","413.0","Not Applicable","Not Applicable","40.7432790396","-73.7191306319","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94832956234207 40.82934171855125)","1","Manhattan","109","7","71","30","13","3004.0","1972.0","Municipal Facilities","backless","2015-01-23T00:00:00.000","3635 Broadway","3635 Broadway","Broadway","West 149th Street & West 150th Street","Manhattan","109.0","M5","Not Applicable","40.82935","-73.948331","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95822916455306 40.76476221018549)","1","Manhattan","108","5","76","28","12","3033.0","1219.0","Municipal Facilities","backless","2014-12-15T00:00:00.000","1245 1st Avenue","1245 1st Avenue","67th Street","1st Avenue and 2nd Avenue","Manhattan","108.0","M66","Not Applicable","40.7647622102","-73.9582291646","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91024557412989 40.85450671235541)","2","Bronx","205","14","86","29","15","2096.0","776.0","Community Health Centers","backed","2013-08-07T00:00:00.000","70 West Burnside Avenue","70 West Burnside Avenue","Burnside Avenue","University and Harrison Avenues","Bronx","205.0","Not Applicable","Not Applicable","40.854515","-73.910247","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92164374163025 40.7634723205554)","4","Queens","401","22","36","12","12","1808.0","527.0","General","backed 2","2013-06-11T00:00:00.000","33-21 31st Avenue","33-21 31st Avenue","31st Avenue","34th Street & 33rd Street","Queens","401.0","Not Applicable","Not Applicable","40.7634723206","-73.9216437416","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99104455925901 40.66753675214442)","3","Brooklyn","306","39","52","21","7","2350.0","1989.0","General","backed","2014-01-14T00:00:00.000","515 4th Avenue","515 4th Avenue","4th Avenue & 14th Street","13th & 14th Street","Brooklyn","306.0","Not Applicable","Not Applicable","40.667545","-73.991046","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95303956211394 40.817541721275276)","1","Manhattan","109","9","70","31","13","2789.0","1475.0","Municipal Facilities","backed","2014-12-05T00:00:00.000","499 West 133rd Street","499 West 133rd Street","West 133rd Street","Convent Avenue & Amsterdam Avenue","Manhattan","109.0","Not Applicable","Not Applicable","40.81755","-73.953041","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99729155247505 40.74477473724793)","1","Manhattan","104","3","75","27","12","1113.0","1801.0","Senior Center","backless","2012-12-19T00:00:00.000","260 West 23rd Street","260 W 23rd Street","West 23rd Street","8th Avenue & 7th Avenue","Manhattan","104.0","M23","Not Applicable","40.744783","-73.997293","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.93880957632992 40.65133775285468)","3","Brooklyn","317","45","58","21","9","354.0","156.0","Bus Route","backless","2012-07-17T00:00:00.000","4113 & 4115 Church Avenue",,"Church Avenue","East 42nd Street and Albany Avenue","Brooklyn","317.0","B35","Not Applicable","40.651346","-73.938811","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93840556480296 40.84629071535887)","1","Manhattan","112","10","72","31","13","3337.0","9012.0","Plaza","backless","2015-12-01T00:00:00.000","4140 Broadway","4140 Broadway","W. 175th Street","W. 175th Street & W. 176th Street","Manhattan","112.0","Not Applicable","Not Applicable","40.846299","-73.938407","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9661715611344 40.761380732492306)","1","Manhattan","108","4","73","28","12","2926.0","1453.0","General","backed","2014-12-10T00:00:00.000","205 East 59th Street","999 3rd Ave","3rd Avenue","E. 59th Street & E. 60th Street","Manhattan","108.0","Not Applicable","East Midtown Partnership","40.761389","-73.966173","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.0135495496801 40.70807674453967)","1","Manhattan","101","1","65","26","10","1019.0","164.0","BID","backed","2012-07-11T00:00:00.000","94 Greenwich Street","94 Greenwich Street","Greenwich Street","Rector Streets and Washington Streets","Manhattan","101.0","Not Applicable","Alliance for Downtown New York","40.708085","-74.013551","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.9864745570227 40.71586074199739)","1","Manhattan","103","1","65","26","12","810.0","249.0","General","backed","2012-09-28T00:00:00.000","411 Grand Street","411 Grand Street","Clinton Street","Grand Street & Clinton Street","Manhattan","103.0","Not Applicable","Not Applicable","40.715869","-73.986476","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00984355410914 40.64910275584311)","3","Brooklyn","307","38","51","25","7","1610.0","390.0","General","backed","2013-01-15T00:00:00.000","4520 Fourth Avenue","4520 Fourth Avenue","4th Avenue","45th Street & 46th Street","Brooklyn","307.0","Not Applicable","Not Applicable","40.649111","-74.009845","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95533656925775 40.68265474749967)","3","Brooklyn","303","36","57","25","8","2719.0","1441.0","Municipal Facilities","backed","2014-10-06T00:00:00.000","50 Jefferson Avenue","50 Jefferson Avenue","Jefferson Avenue","Franklin Avenue & Bedford Avenue","Brooklyn","303.0","Not Applicable","Not Applicable","40.682663","-73.955338","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97957455889063 40.737306738002594)","1","Manhattan","106","2","74","27","12","2196.0","700.0","General","backless","2013-10-07T00:00:00.000","352 E 23rd Street","352 E 23rd Street","E 23rd Street","1st Avenue and 2nd Avenue","Manhattan","106.0","M09","Not Applicable","40.737315","-73.979576","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-74.02970754913733 40.63393375991917)","3","Brooklyn","310","43","64","22","11","1543.0","283.0","General","backed","2013-01-24T00:00:00.000","7223 Ridge Blvd.",,"Ridge Blvd","72nd & 73rd Street","Brooklyn","310.0","Not Applicable","Not Applicable","40.633942","-74.029709","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99124097525544 40.69202793123081)","3","Brooklyn","302","33","52","26","7","985.0","98.0","BID","backed","2012-06-19T00:00:00.000","62 Court Street","62 Court Street","Court Street","Livingston and Joralemon Streets","Brooklyn","302.0","Not Applicable","Court-Livingston-Schermerhorn","40.6920279312","-73.9912409753","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.77942562350887 40.71369273538245)","4","Queens","412","27","29","11","5","3677.0","104.0","Senior Safety","backed 2","2017-05-13T00:00:00.000","182-46 Hillside Avenue","182-46 Hillside Avenue","Hillside Avenue","182nd Place & 183rd Street","Queens","412.0","Not Applicable","Not Applicable","40.713701","-73.779427","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8839285807788 40.87405570789616)","2","Bronx","207","11","78","36","13","1795.0","470.0","General","backed","2013-05-31T00:00:00.000","264 East 204th Street","264 East 204th Street","East 204th Street","E Mosholu Parkway & Grand Concourse","Bronx","207.0","Not Applicable","Not Applicable","40.874064","-73.88393","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9890045529702 40.772624731680196)","1","Manhattan","107","6","67","27","10","4206.0","539.0","General","backless 2","2019-04-11T00:00:00.000","250 West 61st Street","40 West End Avenue","West End Avenue","West 61st Street & West 62nd Street","Manhattan","107.0","M57","Not Applicable","40.772633","-73.989006","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.90925758474243 40.669905748985215)","3","Brooklyn","316","41","55","20","8","1723.0","36.0","BID","backless","2013-02-21T00:00:00.000","1731 Pitkin Avenue","1731 Pitkin Avenue","Pitkin Avenue","Thatford Avenue & Osborne Street","Brooklyn","316.0","B14","Pitkin Avenue","40.669914","-73.909259","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.87150258426458 40.878609706437544)","2","Bronx","207","11","80","36","13","3534.0","649.0","Bus Route","backless","2017-02-04T00:00:00.000","400 E Gun Hill Road","400 E Gun Hill Road","400 E Gun Hill Road","Bronx River Parkway & Webster Avenue","Bronx","207.0","Not Applicable","Not Applicable","40.878618","-73.871504","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92907457462115 40.74350073458311)","4","Queens","402","26","37","12","14","1937.0","661.0","General","backed","2013-07-03T00:00:00.000","45-30 36th Street","45-30 36th Street","36th Street","Queens Blvd & 47th Avenue","Queens","402.0","Not Applicable","Not Applicable","40.743509","-73.929076","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00561555064876 40.726606740825034)","1","Manhattan","102","3","66","27","10","979.0","2058.0","BID","backed","2012-07-03T00:00:00.000","160 Varick Street","160 Varick Street","Varick Street","Charlton and Vandam Streets","Manhattan","102.0","Not Applicable","Hudson Square Connection","40.726615","-74.005617","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.94183246562226 40.822932397526635)","1","Manhattan","110","9","71","30","13","1658.0","2450.0","Senior Center","backless","2017-02-04T00:00:00.000","2730 Frederick Douglass Boulevard","2730 Frederick Douglass Boulevard","W 145th Street","W 145th Street & W 146th Street","Manhattan","110.0","BX19","Not Applicable","40.8229323975","-73.9418324656","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.98860456032008 40.66638875244382)","3","Brooklyn","306","39","52","21","7","998.0","251.0","General","backless","2013-01-17T00:00:00.000","527 Fifth Avenue","527 Fifth Avenue","5th Avenue","13th & 14th Street","Brooklyn","306.0","B63","Fifth Avenue","40.666397","-73.988606","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.10526552481225 40.63062076310184)","5","Staten Island","501","49","61","24","11","1683.0","308.0","Bus Route","backless","2013-01-29T00:00:00.000","475 Forest Avenue","475 Forest Avenue","Forest Avenue","Bard Avenue & Hoyt Avenue","Staten Island","501.0","S48","Not Applicable","40.630629","-74.105267","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8443546029465 40.721613736037995)","4","Queens","406","29","28","16","6","1655.0","2030.0","Senior Center","backless","2013-03-05T00:00:00.000","107-55 Queens Boulevard","107-55 Queens Blvd","Queens Blvd","71st Avenue & 70th Road","Queens","406.0","Q60","Not Applicable","40.721622","-73.844356","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.24411648741916 40.50902879225197)","5","Staten Island","503","51","62","24","11","2639.0","1616.0","Municipal Facilities","backed","2014-08-06T00:00:00.000","58 Summit Street","330 Yetman Avenue","Yetman Avenue","Brighton Street and Yetman Avenue","Staten Island","503.0","Not Applicable","Not Applicable","40.509037","-74.244118","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.78044262160627 40.753202727550175)","4","Queens","411","20","25","11","6","489.0","533.0","Bus Route","backless","2013-04-12T00:00:00.000","47-01 Francis Lewis Boulevard","47-01 Francis Lewis Boulevard","47th Avenue & Weeks Lane","Francis Lewis Boulevard","Queens","411.0","Q27","Not Applicable","40.753211","-73.780444","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94395757186219 40.7004767440574)","3","Brooklyn","303","36","56","18","7","1046.0","56.0","Senior Center","backless","2012-09-14T00:00:00.000","711 Flushing Avenue","711 Flushing Avenue","Flushing Avenue","Throp Avenue and Broadway","Brooklyn","301.0","B57","Not Applicable","40.700485","-73.943959","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.98154056204667 40.674861750387535)","3","Brooklyn","306","39","52","25","7","1003.0","252.0","General","backless","2013-01-17T00:00:00.000","249 Fifth Avenue","249 Fifth Avenue","5th Avenue","Garfield Street and Carroll Street","Brooklyn","306.0","B63","Fifth Avenue","40.67487","-73.981542","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00112355489817 40.688309748269134)","3","Brooklyn","306","39","52","26","7","3109.0","1800","General","backed","2015-05-22T00:00:00.000","100 Columbia Street","100 Columbia Street","Columbia Street","Kane Street and Degraw Street","Brooklyn","306.0","Not Applicable","Not Applicable","40.688318","-74.001125","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.88298858113204 40.867651708904404)","2","Bronx","207","11","78","34","13","2141.0","1053.0","General","backed","2013-10-25T00:00:00.000","2971 Webster Avenue","2971 Webster Avenue","Webster Avenue","Bedford Park Boulevard and Botanical Square","Bronx","207.0","Not Applicable","Not Applicable","40.86766","-73.88299","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95581056441588 40.7680357310893)","1","Manhattan","108","5","76","28","12","1471.0","603.0","General","backed","2013-05-21T00:00:00.000","1350 1st Avenue","1350 1st Avenue","1st Avenue","E 72nd & E73rd Street","Manhattan","108.0","Not Applicable","Not Applicable","40.768044","-73.955812","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99585152333212 40.65902776341366)","3","Brooklyn","307","38","51","20","7","1488.0","412.0","General","backed","2013-01-08T00:00:00.000","750 5th Avenue","750 5th Avenue","5th Avenue","25th Street & 26th Street","Brooklyn","307.0","Not Applicable","Not Applicable","40.6590277634","-73.9958515233","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.8625749634915 40.74953406636619)","4","Queens","404","21","39","13","14","1342.0","0.0","Plaza","backed 2","2018-06-01T00:00:00.000","103-12 Roosevelt Avenue","103-12 Roosevelt Avenue","Roosevelt Avenue","104th and National Streets","Queens","404.0","Q20A","Not Applicable","40.7495340664","-73.8625749635","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.09135353029801 40.60222176805855)","5","Staten Island","502","50","63","24","11","2647.0","1395.0","Municipal Facilities","backed","2014-08-13T00:00:00.000","1055 Targee Street","1055 Targee Street","Targee","Rome Avenue and Naples Avenue","Staten Island","502.0","Not Applicable","Not Applicable","40.60223","-74.091355","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90722357704135 40.81585572006793)","2","Bronx","201","8","84","29","15","3121.0","1982.0","General","backed","2015-08-06T00:00:00.000","745 E 152nd Street","668 Westchester Avenue","Westchester Avenue","Westchester Avenues & Tinton Avenue","Bronx","201.0","Not Applicable","Not Applicable","40.815864","-73.907225","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88819758238343 40.816969719023)","2","Bronx","202","17","85","32","15","1785.0","675.0","General","backed","2013-07-08T00:00:00.000","809 Hunts Point Avenue","809 Hunts Point Avenue","Hunts Point Avenue","Lafayette Avenue & Gilbert Place","Bronx","202.0","Not Applicable","Not Applicable","40.816978","-73.888199","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9913405545518 40.744881737128715)","1","Manhattan","105","3","75","28","12","3335.0","0.0","Municipal Facilities",,,"776 6th Avenue","776 6th Avenue","6th Avenue","W 26th Street & W 27th Street","Manhattan","105.0","Not Applicable","Not Applicable","40.74489","-73.991342","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94195556399144 40.83803171722275)","1","Manhattan","112","7","71","31","13","3634.0","47.0","Bus Route","backless 2","2017-05-06T00:00:00.000","3906 Broadway","3906 Broadway","Broadway","W. 164th Street & W. 163rd Street","Manhattan","112.0","M4","Not Applicable","40.83804","-73.941957","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99104455925901 40.66753675214442)","3","Brooklyn","306","39","52","21","7","3120.0","1730.0","General","backed","2014-01-14T00:00:00.000","515 4th Avenue","515 4th Avenue","13th Street","13th & 14th Street","Brooklyn","306.0","Not Applicable","Not Applicable","40.667545","-73.991046","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93023557975233 40.65176375311)","3","Brooklyn","317","45","58","21","9","3704.0","2231.0","Senior Safety","backed","2017-06-20T00:00:00.000","5001 Church Avenue","5001 Church Avenue","Church Avenue","Utica Avenue & E 51st Street","Brooklyn","317.0","Not Applicable","Not Applicable","40.651772","-73.930237","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.87837558157983 40.88136770656445)","2","Bronx","207","11","81","36","13","2220.0","1163.0","Senior Center","backed","2013-12-02T00:00:00.000","3518 Bainbridge Avenue","3518 Bainbridge Avenue","Bainbridge Avenue","East Gun Hill Road and East 211th Street","Bronx","207.0","Not Applicable","Not Applicable","40.881376","-73.878377","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88048858851508 40.75607273112447)","4","Queens","403","25","34","13","14","2002.0","792.0","General","backless","2013-07-08T00:00:00.000","87-15 Northern Boulevard","87-15 Northern Boulevard","Northern Boulevard","87th Street & 88th Street","Queens","403.0","Q66","Not Applicable","40.756081","-73.88049","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94846660449407 40.640381959871995)","3","Brooklyn","317","45","42","21","9","3048.0","0.0","General","backless 2","2014-11-25T00:00:00.000","1860 Nostrand Avenue","1860 Nostrand Avenue","Nostrand Avenue","Avenue D & Newkirk Avenue","Brooklyn","317.0","B44","Not Applicable","40.6403819599","-73.9484666045","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.91607557244329 40.849523713518025)","2","Bronx","205","14","77","29","15","2098.0","783.0","Community Health Centers","backless","2013-08-07T00:00:00.000","1700 Macombs Road","1700 Macombs Road","Macombs Road","176th Street and University Avenue","Bronx","205.0","BX18","Not Applicable","40.849532","-73.916077","X","AREA OF MINIMAL FLOOD HAZARD",
