"propertyborough","propertyblock","propertylot","propertyzip","permitnumber","issuancedate","applicationtype","requeststatus"
"Queens","1353","41",,"CONN00021775","2023-07-27T17:05:07.000","Water Service","Approved"
"Staten Island","4437","6",,"CONN00021730","2023-07-27T16:52:49.000","Water Service","Approved"
"Staten Island","4437",,,"CONN00021733","2023-07-27T16:51:44.000","Sewer Plug","Approved"
"Staten Island","6523",,,"CONN00021653","2023-07-27T16:45:28.000","Sewer Connection","Approved"
"Staten Island","6523",,,"CONN00021652","2023-07-27T16:45:28.000","Sewer Connection","Approved"
"Manhattan","753",,,"CONN00021324","2023-07-27T14:44:39.000","Sewer Connection","Approved"
"Brooklyn","2829","39",,"CONN00021098","2023-07-27T13:37:03.000","Water Service","Approved"
"Brooklyn","6247","60","11214","B-Relay-0032592","2023-07-27T13:33:59.000","Water Relay","Approved"
"Brooklyn","297","47","11201","B-Relay-0032589","2023-07-27T12:43:51.000","Sewer Relay","Approved"
"Queens","704",,,"CONN00016659","2023-07-27T11:57:13.000","Sewer Connection","Approved"
"Queens","704",,,"CONN00016656","2023-07-27T11:57:11.000","Sewer Connection","Approved"
"Queens","704",,,"CONN00016657","2023-07-27T11:57:09.000","Sewer Connection","Approved"
"Queens","704",,,"CONN00016658","2023-07-27T11:57:09.000","Sewer Connection","Approved"
"Queens","704",,,"CONN00016655","2023-07-27T11:57:08.000","Sewer Connection","Approved"
"Queens","3264","16","11375","Q-Relay-0032580","2023-07-27T11:44:06.000","Sewer Relay","Approved"
"Queens","3486","43","11385","Q-Repair-0032579","2023-07-27T11:41:10.000","Sewer Repair","Approved"
"Queens","640","48",,"CONN00021583","2023-07-27T08:53:30.000","Water Service","Approved"
"Queens","1737",,,"CONN00021632","2023-07-26T20:22:50.000","Sewer Connection","Approved"
"Queens","1737","30",,"CONN00021630","2023-07-26T20:21:32.000","Water Service","Approved"
"Bronx","3357","120",,"CONN00021763","2023-07-26T18:24:37.000","Water Service","Voided"
"Bronx","3357","120",,"CONN00021762","2023-07-26T18:24:36.000","Water Service","Voided"
"Staten Island","331",,,"CONN00021789","2023-07-26T18:19:22.000","Sewer Connection","Approved"
"Queens","2728","43",,"CONN00021679","2023-07-26T17:22:17.000","Water Service","Approved"
"Bronx","4653","89",,"CONN00021531","2023-07-26T16:27:21.000","Water Service","Approved"
"Brooklyn","2187","52",,"CONN00021683","2023-07-26T16:13:51.000","Water Service","Approved"
"Queens","6169","16",,"CONN00021758","2023-07-26T15:57:58.000","Water Service","Approved"
"Manhattan","1847","38","10026","M-Relay-0032539","2023-07-26T15:36:33.000","Water Relay","Approved"
"Staten Island","2879","176","10304","S-Relay-0032535","2023-07-26T15:09:36.000","Water Relay","Completed"
"Brooklyn","244","15",,"CONN00021037","2023-07-26T15:06:52.000","Water Service","Approved"
"Queens","3617","2","11385","Q-Relay-0032533","2023-07-26T15:06:42.000","Water Relay","Approved"
"Queens","10496","40","11423","Q-Relay-0032532","2023-07-26T15:03:41.000","Water Relay","Approved"
"Queens","6268","21","11361","Q-Repair-0032531","2023-07-26T14:58:14.000","Sewer Repair","Approved"
"Queens","630","17",,"CONN00021726","2023-07-26T14:53:56.000","Water Service","Approved"
"Bronx","4037","12","10462","X-Relay-0032529","2023-07-26T14:52:40.000","Sewer Relay","Approved"
"Queens","10629","49","11428","Q-Relay-0032524","2023-07-26T14:21:50.000","Water Relay","Completed"
"Brooklyn","3135","20",,"CONN00021626","2023-07-26T13:43:15.000","Water Service","Approved"
"Brooklyn","3135","20",,"CONN00021627","2023-07-26T13:43:13.000","Water Service","Approved"
"Manhattan","1745","5","10035","M-Repair-0032520","2023-07-26T12:47:20.000","Water Repair","Approved"
"Queens","15480","51",,"CONN00021703","2023-07-26T11:14:38.000","Water Service","Approved"
"Queens","15480",,,"CONN00021702","2023-07-26T11:13:39.000","Sewer Connection","Approved"
"Staten Island","13","121",,"CONN00021757","2023-07-25T19:40:20.000","Water Service","Approved"
"Staten Island","13",,,"CONN00021756","2023-07-25T19:37:46.000","Sewer Plug","Approved"
"Staten Island","13","127",,"CONN00021755","2023-07-25T19:36:05.000","Water Service","Approved"
"Staten Island","13",,,"CONN00021754","2023-07-25T19:33:29.000","Sewer Plug","Approved"
"Staten Island","13","1",,"CONN00021753","2023-07-25T19:31:13.000","Water Service","Approved"
"Staten Island","13",,,"CONN00021752","2023-07-25T19:27:29.000","Sewer Plug","Approved"
"Manhattan","1916","44",,"CONN00021686","2023-07-25T19:12:46.000","Water Service","Approved"
"Brooklyn","3341","1","11221","B-Repair-0032508","2023-07-25T19:09:59.000","Water Repair","Approved"
"Queens","9872","84","11432","Q-Relay-0032507","2023-07-25T18:54:05.000","Water Relay","Cancelled"
"Queens","11082","51","11411","Q-Relay-0032505","2023-07-25T17:58:26.000","Water Relay","Approved"
"Staten Island","7028",,,"CONN00021741","2023-07-25T17:54:58.000","Sewer Plug","Approved"
"Staten Island","7028","6",,"CONN00021739","2023-07-25T17:52:49.000","Water Service","Approved"
"Manhattan","1394","169","10022","M-Repair-0032502","2023-07-25T17:11:35.000","Sewer Repair","Approved"
"Manhattan","1745","5","10035","M-Repair-0032501","2023-07-25T17:05:53.000","Water Repair","Approved"
"Staten Island","802","74","10314","S-Repair-0032499","2023-07-25T15:34:58.000","Sewer Repair","Approved"
"Brooklyn","2326",,,"CONN00021659","2023-07-25T15:23:13.000","Sewer Plug","Approved"
"Brooklyn","5709",,,"CONN00021258","2023-07-25T14:33:17.000","Sewer Plug","Approved"
"Brooklyn","5709","19",,"CONN00021257","2023-07-25T14:29:15.000","Water Service","Approved"
"Manhattan","692","51","10011","M-Repair-0032493","2023-07-25T13:48:20.000","Water Repair","Approved"
"Brooklyn","7706","51","11234","B-Relay-0032491","2023-07-25T13:27:27.000","Sewer Relay","Approved"
"Brooklyn","5036","75",,"CONN00021700","2023-07-25T13:27:11.000","Water Service","Approved"
"Brooklyn","7706","51","11234","B-Relay-0032488","2023-07-25T13:18:36.000","Water Relay","Approved"
"Queens","1328","44","11377","Q-Relay-0032486","2023-07-25T12:40:21.000","Water Relay","Approved"
"Queens","12341","31","11434","Q-Repair-0032485","2023-07-25T12:30:37.000","Sewer Repair","Approved"
"Brooklyn","384","47","11201","B-Repair-0032483","2023-07-25T12:12:28.000","Water Repair","Completed"
"Queens","916","10",,"CONN00021669","2023-07-24T20:27:53.000","Water Service","Approved"
"Brooklyn","5227","17",,"CONN00021564","2023-07-24T19:52:24.000","Water Service","Approved"
"Brooklyn","5227","17",,"CONN00021565","2023-07-24T19:52:24.000","Water Service","Approved"
"Brooklyn","5227",,,"CONN00021566","2023-07-24T19:50:35.000","Sewer Connection","Approved"
"Brooklyn","7411","60",,"CONN00021639","2023-07-24T19:31:52.000","Water Service","Approved"
"Brooklyn","7411","60",,"CONN00021681","2023-07-24T19:31:52.000","Water Service","Approved"
"Brooklyn","1551","34","11233","B-Relay-0032471","2023-07-24T19:11:53.000","Water Relay","Approved"
"Brooklyn","3765","8","11207","B-Repair-0032470","2023-07-24T19:02:29.000","Water Repair","Approved"
"Queens","903","36","11102","Q-Repair-0032467","2023-07-24T18:24:08.000","Water Repair","Completed"
"Queens","85","13",,"CONN00021663","2023-07-24T18:12:58.000","Water Service","Approved"
"Queens","85","13",,"CONN00021662","2023-07-24T18:12:56.000","Water Service","Approved"
"Queens","85",,,"CONN00019907","2023-07-24T18:10:51.000","Sewer Connection","Approved"
"Brooklyn","8081","73","11236","B-Repair-0032462","2023-07-24T18:08:58.000","Sewer Repair","Approved"
"Brooklyn","1334","59",,"CONN00021420","2023-07-24T17:58:51.000","Water Service","Approved"
"Manhattan","1042",,,"CONN00021570","2023-07-24T17:52:10.000","Sewer Plug","Approved"
"Queens","13547","20","11422","Q-Relay-0032457","2023-07-24T17:50:58.000","Water Relay","Approved"
"Queens","7304",,,"CONN00021617","2023-07-24T17:36:45.000","Sewer Connection","Approved"
"Manhattan","1042","57",,"CONN00021567","2023-07-24T17:35:40.000","Water Service","Approved"
"Manhattan","1640","21","10029","M-Repair-0032453","2023-07-24T17:34:01.000","Sewer Repair","Approved"
"Queens","13246","39","11422","Q-Relay-0032451","2023-07-24T17:29:46.000","Water Relay","Approved"
"Queens","11659","69","11420","Q-Relay-0032449","2023-07-24T17:15:27.000","Water Relay","Completed"
"Queens","5374","57",,"CONN00021655","2023-07-24T16:41:23.000","Water Service","Approved"
"Queens","5374",,,"CONN00021654","2023-07-24T16:36:42.000","Sewer Plug","Approved"
"Manhattan","931","14","10010","M-Relay-0032445","2023-07-24T16:31:42.000","Water Relay","Completed"
"Brooklyn","7963","20","11236","B-Repair-0032441","2023-07-24T16:13:43.000","Sewer Repair","Approved"
"Brooklyn","4073","45","11207","B-Repair-0032440","2023-07-24T16:04:04.000","Sewer Repair","Approved"
"Brooklyn","802","55","11220","B-Repair-0032439","2023-07-24T15:53:39.000","Sewer Repair","Approved"
"Brooklyn","6820","23","11229","B-Relay-0032438","2023-07-24T15:51:54.000","Sewer Relay","Approved"
"Queens","11236","10",,"CONN00021672","2023-07-24T15:37:26.000","Water Service","Approved"
"Queens","1226","63",,"CONN00021619","2023-07-24T15:13:55.000","Water Service","Approved"
"Brooklyn","1035","58",,"CONN00021519","2023-07-24T15:13:20.000","Water Service","Approved"
"Brooklyn","518","7","11231","B-Relay-0032434","2023-07-24T14:26:38.000","Sewer Relay","Approved"
"Brooklyn","4018","32","11208","B-Repair-0032433","2023-07-24T14:19:01.000","Sewer Repair","Approved"
"Brooklyn","5559","18","11204","B-Repair-0032432","2023-07-24T14:07:05.000","Sewer Repair","Approved"
"Queens","1170","18",,"CONN00021622","2023-07-24T13:22:19.000","Water Service","Approved"
"Queens","267","21",,"CONN00021311","2023-07-24T13:20:18.000","Water Service","Approved"
"Queens","267","21",,"CONN00021312","2023-07-24T13:20:18.000","Water Service","Approved"
"Brooklyn","7842",,,"CONN00021319","2023-07-24T12:46:17.000","Sewer Connection","Approved"
"Brooklyn","7842","60",,"CONN00021320","2023-07-24T12:44:24.000","Water Service","Approved"
"Brooklyn","1522","48","11233","B-Relay-0032423","2023-07-24T12:34:24.000","Water Relay","Completed"
"Queens","6379","125","11355","Q-Repair-0032422","2023-07-24T12:27:10.000","Water Repair","Approved"
"Queens","11210","6","11429","Q-Repair-0032419","2023-07-24T12:24:02.000","Sewer Repair","Approved"
"Brooklyn","3408","8",,"CONN00021318","2023-07-24T12:18:18.000","Water Service","Approved"
"Brooklyn","3408","8",,"CONN00021645","2023-07-24T12:18:17.000","Water Service","Approved"
"Queens","6683","9","11367","Q-Relay-0032413","2023-07-24T12:01:20.000","Water Relay","Completed"
"Queens","10890","7","11412","Q-Relay-0032412","2023-07-24T11:59:07.000","Water Relay","Completed"
"Brooklyn","1188","1","11225","B-Relay-0032411","2023-07-24T11:31:31.000","Water Relay","Approved"
"Brooklyn","1524","1",,"CONN00021643","2023-07-21T21:32:08.000","Water Service","Approved"
"Brooklyn","2538",,,"CONN00019826","2023-07-21T20:11:17.000","Sewer Connection","Approved"
"Brooklyn","2538",,,"CONN00019849","2023-07-21T20:11:13.000","Sewer Connection","Approved"
"Brooklyn","5971","24","11209","B-Repair-0032407","2023-07-21T19:19:01.000","Sewer Repair","Approved"
"Brooklyn","5434","33",,"CONN00021637","2023-07-21T18:47:09.000","Water Service","Approved"
"Queens","1122","44",,"CONN00021291","2023-07-21T18:38:13.000","Water Service","Approved"
"Queens","1122","44",,"CONN00021292","2023-07-21T18:38:12.000","Water Service","Approved"
"Staten Island","5711","75",,"CONN00021650","2023-07-21T18:25:37.000","Water Service","Approved"
"Staten Island","5711",,,"CONN00021651","2023-07-21T18:23:31.000","Sewer Plug","Approved"
"Brooklyn","3408",,,"CONN00020543","2023-07-21T18:17:17.000","Sewer Connection","Approved"
"Staten Island","3417",,,"CONN00021638","2023-07-21T18:14:59.000","Sewer Connection","Approved"
"Manhattan","0",,,"CONN00021602","2023-07-21T18:12:04.000","Sewer Connection","Approved"
"Queens","8917",,,"CONN00021541","2023-07-21T17:52:36.000","Sewer Connection","Approved"
"Queens","5990",,,"CONN00021381","2023-07-21T17:41:24.000","Sewer Connection","Approved"
"Bronx","2816",,,"CONN00021636","2023-07-21T17:28:52.000","Sewer Plug","Approved"
"Staten Island","180","42","10310","S-Relay-0032394","2023-07-21T17:27:12.000","Water Relay","Completed"
"Bronx","2816","60",,"CONN00021631","2023-07-21T17:24:32.000","Water Service","Approved"
"Bronx","4846","1",,"CONN00021408","2023-07-21T16:44:22.000","Water Service","Approved"
"Brooklyn","6035","54",,"CONN00021635","2023-07-21T16:36:47.000","Water Service","Approved"
"Bronx","3281",,,"CONN00021628","2023-07-21T16:29:04.000","Sewer Connection","Approved"
"Bronx","3281","10",,"CONN00021633","2023-07-21T16:26:38.000","Water Service","Approved"
"Brooklyn","6129","33",,"CONN00021598","2023-07-21T16:07:54.000","Water Service","Approved"
"Queens","1494","27","11373","Q-Relay-0032387","2023-07-21T15:50:05.000","Water Relay","Completed"
"Queens","6907","16",,"CONN00021453","2023-07-21T15:41:27.000","Water Service","Approved"
"Queens","6907",,,"CONN00021454","2023-07-21T15:40:32.000","Sewer Connection","Approved"
"Queens","2831","4",,"CONN00021612","2023-07-21T15:36:31.000","Water Service","Approved"
"Queens","2831",,,"CONN00021614","2023-07-21T15:34:24.000","Sewer Plug","Approved"
"Staten Island","3417","170",,"CONN00021556","2023-07-21T15:16:09.000","Water Service","Approved"
"Queens","6252","34",,"CONN00021384","2023-07-21T15:15:06.000","Water Service","Approved"
"Brooklyn","5312","33",,"CONN00021568","2023-07-21T14:59:52.000","Water Service","Approved"
"Brooklyn","5312",,,"CONN00021571","2023-07-21T14:58:29.000","Sewer Plug","Approved"
"Queens","6747","80","11367","Q-Relay-0032378","2023-07-21T14:36:10.000","Water Relay","Approved"
"Brooklyn","2597",,,"CONN00021101","2023-07-21T14:07:03.000","Sewer Connection","Approved"
"Brooklyn","2597","34",,"CONN00019355","2023-07-21T13:58:46.000","Water Service","Approved"
"Brooklyn","2597","34",,"CONN00019352","2023-07-21T13:56:25.000","Water Service","Approved"
"Staten Island","8017","6",,"CONN00021599","2023-07-21T13:39:35.000","Water Service","Approved"
"Brooklyn","5701","50",,"CONN00021518","2023-07-21T13:35:21.000","Water Service","Approved"
"Brooklyn","5701","50",,"CONN00021524","2023-07-21T13:29:29.000","Water Service","Approved"
"Brooklyn","5701",,,"CONN00021521","2023-07-21T13:27:00.000","Sewer Connection","Approved"
"Brooklyn","5701",,,"CONN00021520","2023-07-21T13:25:40.000","Sewer Plug","Approved"
"Queens","5990","32",,"CONN00021261","2023-07-21T12:05:28.000","Water Service","Approved"
"Queens","5990",,,"CONN00021427","2023-07-21T12:02:48.000","Sewer Connection","Approved"
"Brooklyn","8179","38","11236","B-Repair-0032363","2023-07-21T12:00:38.000","Water Repair","Approved"
"Queens","552","19",,"CONN00021069","2023-07-21T11:56:22.000","Water Service","Approved"
"Queens","552",,,"CONN00021563","2023-07-21T11:52:56.000","Sewer Connection","Approved"
"Brooklyn","5434","33","11204","B-Relay-0032360","2023-07-21T11:47:51.000","Sewer Relay","Approved"
"Queens","2600",,,"CONN00021473","2023-07-21T11:46:07.000","Sewer Connection","Approved"
"Queens","9690","13","11435","Q-Relay-0032357","2023-07-20T19:50:39.000","Sewer Relay","Approved"
"Brooklyn","332","26","11231","B-Relay-0032356","2023-07-20T19:43:31.000","Sewer Relay","Approved"
"Queens","4225",,,"CONN00021056","2023-07-20T19:37:21.000","Sewer Connection","Approved"
"Queens","4225",,,"CONN00021065","2023-07-20T19:35:20.000","Sewer Connection","Approved"
"Queens","4225",,,"CONN00021064","2023-07-20T19:33:20.000","Sewer Connection","Approved"
"Queens","4225",,,"CONN00021063","2023-07-20T19:28:58.000","Sewer Connection","Approved"
"Brooklyn","6129","33","11209","B-Relay-0032351","2023-07-20T19:28:34.000","Sewer Relay","Approved"
"Bronx","2880",,,"CONN00021272","2023-07-20T19:22:47.000","Sewer Connection","Approved"
"Queens","4225",,,"CONN00021062","2023-07-20T19:17:31.000","Sewer Connection","Approved"
"Brooklyn","6374","64","11214","B-Relay-0032348","2023-07-20T19:07:12.000","Water Relay","Approved"
"Brooklyn","1043","76","11215","B-Relay-0032347","2023-07-20T19:04:07.000","Water Relay","Approved"
"Brooklyn","2326","7","11249","B-Relay-0032346","2023-07-20T18:56:15.000","Sewer Relay","Approved"
"Queens","12059","24","11436","Q-Relay-0032345","2023-07-20T18:52:21.000","Water Relay","Approved"
"Brooklyn","1023",,,"CONN00021538","2023-07-20T18:43:00.000","Sewer Plug","Approved"
"Brooklyn","1023",,,"CONN00021464","2023-07-20T18:41:27.000","Sewer Connection","Approved"
"Brooklyn","1023","79",,"CONN00021462","2023-07-20T18:39:49.000","Water Service","Approved"
"Brooklyn","1651","9",,"CONN00021440","2023-07-20T18:38:51.000","Water Service","Approved"
"Queens","4225","39",,"CONN00021058","2023-07-20T18:38:02.000","Water Service","Approved"
"Brooklyn","1763","38",,"CONN00021394","2023-07-20T18:28:34.000","Water Service","Approved"
"Brooklyn","1763",,,"CONN00021395","2023-07-20T18:26:56.000","Sewer Connection","Approved"
"Queens","4225","40",,"CONN00021059","2023-07-20T18:26:00.000","Water Service","Approved"
"Brooklyn","1763","40",,"CONN00021530","2023-07-20T18:25:26.000","Water Service","Approved"
"Brooklyn","1763","40",,"CONN00021396","2023-07-20T18:25:20.000","Water Service","Approved"
"Brooklyn","1763",,,"CONN00021405","2023-07-20T18:23:52.000","Sewer Connection","Approved"
"Queens","4225","41",,"CONN00021060","2023-07-20T18:22:28.000","Water Service","Approved"
"Manhattan","1432","45","10075","M-Relay-0032332","2023-07-20T18:22:21.000","Water Relay","Completed"
"Queens","1886","25","11373","Q-Relay-0032331","2023-07-20T18:16:25.000","Sewer Relay","Approved"
"Queens","4225","38",,"CONN00021055","2023-07-20T18:15:17.000","Water Service","Approved"
"Queens","4225","43",,"CONN00021061","2023-07-20T18:10:57.000","Water Service","Approved"
"Queens","7072","52","11365","Q-Repair-0032328","2023-07-20T18:08:14.000","Water Repair","Completed"
"Bronx","3298","9",,"CONN00021238","2023-07-20T18:06:25.000","Water Service","Approved"
"Brooklyn","266","7501",,"CONN00021505","2023-07-20T18:03:22.000","Water Service","Approved"
"Bronx","3298",,,"CONN00021240","2023-07-20T18:03:15.000","Sewer Connection","Approved"
"Brooklyn","266","7501",,"CONN00021504","2023-07-20T18:03:15.000","Water Service","Approved"
"Brooklyn","5456","67","11204","B-Relay-0032322","2023-07-20T17:56:01.000","Sewer Relay","Approved"
"Brooklyn","3342","133","11221","B-Relay-0032320","2023-07-20T17:43:05.000","Water Relay","Completed"
"Bronx","2663","29","10456","X-Relay-0032319","2023-07-20T17:34:30.000","Sewer Relay","Approved"
"Brooklyn","420","17","11217","B-Relay-0032318","2023-07-20T17:30:20.000","Sewer Relay","Approved"
"Brooklyn","1035",,,"CONN00020293","2023-07-20T17:22:52.000","Sewer Connection","Approved"
"Bronx","5900","1","10467","X-Relay-0032316","2023-07-20T17:11:47.000","Sewer Relay","Approved"
"Queens","8300","425",,"CONN00021481","2023-07-20T17:06:15.000","Water Service","Approved"
"Manhattan","1198","10","10024","M-Relay-0032312","2023-07-20T16:43:19.000","Water Relay","Cancelled"
"Brooklyn","5241","23","11230","B-Relay-0032311","2023-07-20T16:43:05.000","Sewer Relay","Approved"
"Brooklyn","5241","23","11230","B-Relay-0032310","2023-07-20T16:38:41.000","Sewer Relay","Approved"
"Brooklyn","5241","23","11230","B-Relay-0032309","2023-07-20T16:28:57.000","Sewer Relay","Approved"
"Brooklyn","2357","29",,"CONN00021448","2023-07-20T16:17:37.000","Water Service","Approved"
"Brooklyn","2357","29",,"CONN00021449","2023-07-20T16:17:37.000","Water Service","Approved"
"Brooklyn","2357",,,"CONN00021460","2023-07-20T16:16:56.000","Sewer Connection","Approved"
"Brooklyn","7293","78","11229","B-Relay-0032305","2023-07-20T16:02:25.000","Water Relay","Approved"
"Brooklyn","892","20","11215","B-Repair-0032304","2023-07-20T15:54:51.000","Sewer Repair","Approved"
"Queens",,,,"CONN00021543","2023-07-20T15:35:18.000","Water Service","Approved"
"Queens","16078",,,"CONN00021387","2023-07-20T15:27:37.000","Sewer Connection","Approved"
"Queens","16078",,,"CONN00021386","2023-07-20T15:27:37.000","Sewer Connection","Approved"
"Brooklyn","892","20","11215","B-Relay-0032300","2023-07-20T15:18:05.000","Water Relay","Approved"
"Queens","157","36",,"CONN00021379","2023-07-20T15:03:32.000","Water Service","Approved"
"Queens","157","36",,"CONN00021378","2023-07-20T15:03:31.000","Water Service","Approved"
"Queens","157",,,"CONN00021377","2023-07-20T14:55:35.000","Sewer Connection","Approved"
"Bronx","4290","32",,"CONN00021404","2023-07-20T14:50:10.000","Water Service","Approved"
"Staten Island","2015","42",,"CONN00021578","2023-07-20T14:40:24.000","Water Service","Approved"
"Staten Island","2015","42",,"CONN00021577","2023-07-20T14:40:22.000","Water Service","Approved"
"Brooklyn","4868","42",,"CONN00021572","2023-07-20T14:31:12.000","Water Service","Approved"
"Brooklyn","4868",,,"CONN00021569","2023-07-20T14:29:46.000","Sewer Plug","Approved"
"Brooklyn","7183",,,"CONN00020649","2023-07-20T13:58:25.000","Sewer Connection","Approved"
"Bronx","3737","49","10472","X-Relay-0032290","2023-07-20T13:56:31.000","Sewer Relay","Approved"
"Bronx","2371","49",,"CONN00021539","2023-07-20T13:54:15.000","Water Service","Approved"
"Queens","6357","39",,"CONN00021515","2023-07-20T13:43:51.000","Water Service","Approved"
"Manhattan","540","2","10012","M-Relay-0032286","2023-07-20T13:22:24.000","Water Relay","Approved"
"Brooklyn","7183",,,"CONN00020648","2023-07-20T13:21:41.000","Sewer Connection","Approved"
"Manhattan","813","31","10018","M-Repair-0032283","2023-07-20T13:17:32.000","Sewer Repair","Approved"
"Brooklyn","1188","1","11225","B-Relay-0032279","2023-07-20T12:57:43.000","Water Relay","Approved"
"Queens","11847","33","11420","Q-Repair-0032278","2023-07-20T12:55:12.000","Sewer Repair","Approved"
"Queens","517","6","11102","Q-Relay-0032277","2023-07-20T12:27:33.000","Water Relay","Approved"
"Manhattan","1281","21","10017","M-Relay-0032276","2023-07-19T21:03:01.000","Water Relay","Completed"
"Manhattan","1622","33",,"CONN00020676","2023-07-19T21:01:15.000","Water Service","Approved"
"Manhattan","1281","21","10017","M-Relay-0032274","2023-07-19T20:55:46.000","Water Relay","Completed"
"Queens","2703","103","11378","Q-Relay-0032273","2023-07-19T20:23:23.000","Water Relay","Completed"
"Brooklyn","6345","38","11214","B-Relay-0032271","2023-07-19T19:31:19.000","Sewer Relay","Approved"
"Brooklyn","2168","7501","11249","B-Repair-0032270","2023-07-19T19:21:42.000","Water Repair","Completed"
"Manhattan","1312","15","10022","M-Relay-0032269","2023-07-19T18:45:06.000","Water Relay","Approved"
"Brooklyn","3071",,,"CONN00020996","2023-07-19T18:43:27.000","Sewer Connection","Approved"
"Brooklyn","6326",,,"CONN00021256","2023-07-19T18:42:41.000","Sewer Plug","Approved"
"Queens","4457","44","11357","Q-Relay-0032266","2023-07-19T18:40:54.000","Water Relay","Completed"
"Manhattan","2058","37",,"CONN00021222","2023-07-19T17:52:46.000","Water Service","Approved"
"Brooklyn","7373","82",,"CONN00020951","2023-07-19T17:35:34.000","Water Service","Approved"
"Brooklyn","7373",,,"CONN00020953","2023-07-19T17:33:58.000","Sewer Connection","Approved"
"Brooklyn","7373",,,"CONN00020952","2023-07-19T17:33:57.000","Sewer Connection","Approved"
"Brooklyn","7373",,,"CONN00020954","2023-07-19T17:30:27.000","Sewer Plug","Approved"
"Brooklyn","7373",,,"CONN00020955","2023-07-19T17:30:27.000","Sewer Plug","Approved"
"Staten Island","696","238","10314","S-Relay-0032258","2023-07-19T17:24:12.000","Water Relay","Completed"
"Brooklyn","4393","1","11207","B-Repair-0032257","2023-07-19T17:11:41.000","Water Repair","Completed"
"Brooklyn","7321","40","11229","B-Repair-0032256","2023-07-19T17:08:49.000","Sewer Repair","Approved"
"Queens","1696",,,"CONN00020206","2023-07-19T17:05:58.000","Sewer Connection","Approved"
"Queens","1696","39",,"CONN00020210","2023-07-19T17:03:45.000","Water Service","Approved"
"Queens","1696","39",,"CONN00021480","2023-07-19T17:03:43.000","Water Service","Approved"
"Queens","16036",,,"CONN00021223","2023-07-19T16:59:00.000","Sewer Connection","Approved"
"Queens","16036",,,"CONN00021221","2023-07-19T16:58:59.000","Sewer Connection","Approved"
"Brooklyn","1853","64","11216","B-Repair-0032250","2023-07-19T16:58:15.000","Water Repair","Approved"
"Brooklyn","2095","26",,"CONN00021120","2023-07-19T16:58:02.000","Water Service","Approved"
"Brooklyn","2095","26",,"CONN00021119","2023-07-19T16:58:01.000","Water Service","Approved"
"Queens","16036","1",,"CONN00021088","2023-07-19T16:51:46.000","Water Service","Approved"
"Manhattan","1726",,,"CONN00021479","2023-07-19T16:49:31.000","Sewer Plug","Approved"
"Manhattan","1726","17",,"CONN00021478","2023-07-19T16:44:03.000","Water Service","Approved"
"Manhattan","1344","48",,"CONN00021544","2023-07-19T16:01:22.000","Water Service","Approved"
"Queens","11270","16","11411","Q-Repair-0032240","2023-07-19T15:59:54.000","Water Repair","Completed"
"Brooklyn","858","27",,"CONN00021512","2023-07-19T15:57:47.000","Water Service","Approved"
"Queens","3832","73","11385","Q-Relay-0032238","2023-07-19T15:55:37.000","Water Relay","Completed"
"Brooklyn","5045","6","11225","B-Repair-0032237","2023-07-19T15:40:26.000","Sewer Repair","Approved"
