"building_id","borough","certification_class","of_carriers","coax_cable_connections","fiber_connection","satellite_fixed_wireless_connection","fiber_distribution","isps_1","multiple_points_of_entry","designated_telecom_utility_space","additional_telecom_space","riser_space_for_current_providers","riser_space_for_additional_providers","diverse_riser_locations","signed_poes","agreements","new_service_providers","isps_2"
"building_41","Manhattan","Platinum","3","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","None available","Yes","Yes","Verizon FIOS,Verizon,Time Warner Cable,Broadview,AT&T"
"building_42","Manhattan","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Other,Verizon FIOS,Verizon,Time Warner Cable,Cogent,Broadview"
"building_43","Manhattan","Not certified","2","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","No","No","Yes","Yes","Yes - for installed connections","Yes","Yes",
"building_44","Manhattan","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Common (shared) room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Lightpath,Cogent,Broadview,Abovenet"
"building_45","Manhattan","Not certified",,"No","No","No",,,,,,"No","No",,,,,
"building_46","Manhattan","Not certified",,"No","No","No",,,,,,"No","No",,,,,
"building_47","Manhattan","Not certified",,"No","No","No",,,,,,"No","No",,,,,
"building_48","Manhattan","Gold","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon FIOS,Verizon,Time Warner Cable,Lightower,Cogent,Broadview,AT&T"
"building_49","Manhattan","Not certified","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Other,Zayo,XO Communications,Windstream,Verizon,Sidera,OCG,Lightpath,Lightower,Level(3)"
"building_50","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","2","Yes","Dedicated room","Yes","Yes","No","Yes","Yes - for installed connections","Yes","Yes","XO Communications,Verizon,RCN,AT&T"
"building_101","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","4","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Direct TV,Cogent"
"building_51","Manhattan","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Verizon FIOS,Verizon,Time Warner Cable,SignalPoint,RCN,Cogent,Broadview,AT&T"
"building_52","Manhattan","Silver","4","Yes","Yes","No","Full Distribution (all floors)","3","Yes","Hallway/Open Space","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","Yes","Yes","Verizon FIOS,Verizon,Time Warner Cable,Broadview"
"building_53","Manhattan","Not certified","3","Yes","Yes","No","No Distribution","1","No","Common (shared) room","Yes","Yes","No","Does not have two or more diverse riser locations","None available","No","Yes","Verizon,Time Warner Cable"
"building_54","Manhattan","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon FIOS,Verizon,Time Warner Cable,Lightpath,Lexent,Broadview"
"building_55","Manhattan","Platinum","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Rainbow Broadband,MegaPath,Broadview"
"building_56","Manhattan","Gold","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon FIOS,Verizon,Time Warner Cable,Sidera,Lightpath,Cogent,Abovenet"
"building_57","Manhattan","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon FIOS,Verizon,TW Telecom,Time Warner Cable,Sidera,Rainbow Broadband,Lightpath,Covad,Cogent,Broadview,AT&T,Abovenet"
"building_58","Brooklyn","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes",
"building_59","Brooklyn","Not certified","3","Yes","Yes","Yes","Partial Distribution (some floors)","3","Yes","Dedicated room","Yes","Yes","Yes","Yes","None available","No","Yes",
"building_60","Brooklyn","Not certified","3","Yes","Yes","No","Partial Distribution (some floors)","3","Yes","Dedicated room","Yes","Yes","Yes","Yes","None available","Yes","Yes","none"
"building_61","Brooklyn","Not certified","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Lightower,Cogent,Cablevision"
"building_62","Brooklyn","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes",
"building_63","Manhattan","Not certified","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Dedicated room","No","Yes","No","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Cogent,AT&T,Abovenet"
"building_64","Brooklyn","Not certified","3","Yes","Yes","No","No Distribution","3","Yes","Common (shared) room","No","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Other,Verizon,Level(3)"
"building_65","Brooklyn","Not certified","4","Yes","Yes","Yes","Partial Distribution (some floors)","4","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","None available","Yes","Yes","Verizon,Time Warner Cable,Lightpath,Abovenet"
"building_66","Manhattan","Not certified","3","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes",
"building_67","Manhattan","Not certified","4","Yes","Yes","No","Full Distribution (all floors)","4","No","Hallway/Open Space","No","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Verizon,TW Telecom,Time Warner Cable,Broadview"
"building_68",,"Not certified",,"No","No","No",,,,,,"No","No",,,,,"none"
"building_69","Manhattan","Not certified","2","Yes","No","No","Full Distribution (all floors)","2","Yes","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Verizon,Time Warner Cable"
"building_70","Manhattan","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Hallway/Open Space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Rainbow Broadband,OCG,Cogent"
"building_71","Manhattan","Gold","4","Yes","Yes","No","Full Distribution (all floors)","4","Yes","Hallway/Open Space","Yes","Yes","Yes","Yes","None available","Yes","Yes","Verizon,Time Warner Cable,OCG,Cogent"
"building_72","Manhattan","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,SignalPoint,Lightower,Cogent"
"building_73","Manhattan","Not certified",,"No","No","No",,,,,,"No","No",,,,,
"building_74","Manhattan","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon FIOS,Verizon,TW Telecom,Towerstream,Time Warner Cable,Abovenet"
"building_75","Manhattan","Gold","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Hallway/Open Space","Yes","Yes","Yes","Yes","None available","No","Yes","XO Communications,Windstream,Verizon,TW Telecom,Time Warner Cable,Cogent,AT&T"
"building_76","Manhattan","Not certified","0","No","No","No","none","none",,,,"No","No",,,,,"none"
"building_77","Manhattan","Gold","4","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","None available","Yes","Yes","Verizon,Time Warner Cable,SignalPoint,Cogent,Broadview"
"building_78","Manhattan","Not certified","5 or more","Yes","Yes","No","Partial Distribution (some floors)","4","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","None available","No","Yes","Zayo,Verizon,Time Warner Cable,AT&T"
"building_79","Manhattan","Not certified","1","Yes","Yes","No","Full Distribution (all floors)","1","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon"
"building_80","Queens","Not certified",,"No","No","No",,,,,,"No","No",,,,,
"building_81","Manhattan","Not certified","0","No","No","No","none","none",,,,"No","No",,,,,
"building_82","Manhattan","Not certified","5 or more","Yes","Yes","No","Full Distribution (all floors)","4","Yes","Dedicated room","No","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Direct TV,Cogent,AT&T"
"building_83","Manhattan","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Windstream,Verizon,TW Telecom,Time Warner Cable,Level(3),Broadview,Abovenet"
"building_84","Brooklyn","Not certified","2","Yes","Yes","No","Full Distribution (all floors)","2","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","No","Yes",,,,"Verizon,Time Warner Cable,AT&T"
"building_85","Manhattan","Not certified","5 or more","No","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Other,Verizon,Time Warner Cable,Sprint,Lightpath,Lightower,Level(3),Eureka,Direct TV,Cogent,Broadview,AT&T,Abovenet"
"building_86","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Hallway/Open Space","No","No","Yes","Yes","Yes - for installed connections","No","Yes","none"
"building_87","Manhattan","Not certified","4","Yes","Yes","No","Partial Distribution (some floors)","3","Yes","Dedicated room","Yes","No","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,TW Telecom,RCN,Eureka,Cogent,Broadview"
"building_88","Manhattan","Not certified","4","Yes","Yes","No","Partial Distribution (some floors)","4","none",,,"No","No",,,,,"none"
"building_202","Manhattan","Not certified","2","Yes","No","Yes","No Distribution","2","Yes","Dedicated room","Yes","Yes","Yes","Yes","None available","No","Yes","Time Warner Cable,Verizon"
"building_89","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Other"
"building_90","Brooklyn","Not certified","3","Yes","Yes","Yes","Full Distribution (all floors)","4","Yes","Combination of open, shared, and dedicated  space","Yes","No","Yes","Yes","None available","Yes","Yes","Other,Verizon,Towerstream"
"building_91","Manhattan","Not certified","0","No","No","No","none",,,,,"No","No",,,,,
"building_92","Manhattan","Not certified","2","Yes","No","No","No Distribution","2","Yes","Combination of open, shared, and dedicated  space","No","Yes","Yes","Yes","None available","Yes","Yes","Verizon,Time Warner Cable"
"building_93","Manhattan","Not certified","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","No","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Everest Broadband,Cogent"
"building_94","Manhattan","Not certified","2","Yes","Yes","Yes","Full Distribution (all floors)","2","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Direct TV"
"building_95","Manhattan","Not certified","3","Yes","Yes","Yes","Full Distribution (all floors)","3","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,RCN,Everest Broadband,Direct TV"
"building_96","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","3","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,TW Telecom,Time Warner Cable,Sidera,Level(3),Direct TV"
"building_97","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Common (shared) room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,TW Telecom,Time Warner Cable,Lightpath,Lightower"
"building_98","Manhattan","Not certified","4","Yes","Yes","Yes","Full Distribution (all floors)","4","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Lightpath,Direct TV,Cogent"
"building_99","Manhattan","Not certified",,"No","No","No",,,,,,"No","No",,,,,
"building_100","Manhattan","Not certified","4","Yes","Yes","Yes","Full Distribution (all floors)","4","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Direct TV,AT&T"
"building_102","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,TW Telecom,Time Warner Cable,Sidera,Lightpath,Level(3),Direct TV,Cogent,AT&T"
"building_103","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,TW Telecom,Time Warner Cable,Sidera,Lightpath,Level(3),Cogent,AT&T"
"building_104","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,TW Telecom,Time Warner Cable,Level(3),Direct TV,Cogent,AT&T"
"building_105","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Zayo,Verizon,TW Telecom,Time Warner Cable,Lightpath,Lightower,Level(3),Direct TV,Cogent,AT&T"
"building_106","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,RCN,Lightpath,Lightower,Direct TV,Cogent,AT&T"
"building_107","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Zayo,Verizon,TW Telecom,Time Warner Cable,Direct TV,Cogent,AT&T"
"building_108","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,TW Telecom,Time Warner Cable,RCN,Lightower,Direct TV,AT&T"
"building_109","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,TW Telecom,Time Warner Cable,Lightpath,Level(3),Direct TV,Cogent"
"building_110","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Zayo,Verizon,TW Telecom,Time Warner Cable,Lightpath,Direct TV,Cogent"
"building_111","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Lightpath,Direct TV,Cogent"
"building_112","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Reliance,RCN,Lightpath,Level(3),Direct TV"
"building_113","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,RCN,Direct TV,Cogent,AT&T"
"building_114","Brooklyn","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Lightpath,Lightower,Cogent,AT&T"
"building_115","Manhattan","Not certified","3","Yes","Yes","No","Partial Distribution (some floors)","3","No","Dedicated room","No","Yes","No","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","RGTS,Time Warner Cable,Verizon"
"building_203","Manhattan","Not certified","2","Yes","Yes","No","No Distribution","2","Yes","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","Yes","Yes","Time Warner Cable,Verizon"
"building_116","Manhattan","Not certified","3","Yes","Yes","No","Partial Distribution (some floors)","3","No","Dedicated room","No","Yes","No","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","RGTS,Time Warner Cable,Verizon"
"building_117","Manhattan","Not certified","3","Yes","Yes","No","Partial Distribution (some floors)","3","No","Dedicated room","No","Yes","No","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","RGTS,Time Warner Cable,Verizon"
"building_118","Manhattan","Silver","3","Yes","Yes","No","Partial Distribution (some floors)","3","Yes","Dedicated room","Yes","Yes","No","Yes","Yes - for installed connections","Yes","Yes","RGTS,Time Warner Cable,Verizon"
"building_119","Manhattan","Silver","3","Yes","Yes","No","Partial Distribution (some floors)","3","Yes","Dedicated room","Yes","Yes","No","Yes","Yes - for installed connections","Yes","Yes","RGTS,Time Warner Cable,Verizon"
