"building_id","bin","street_address","borocode","block","lot","bqi","aep_order","discharged_7a","hpd_vacate_order","dob_vacate_order","harassment_finding","date_added","borough","zipcode","latitude","longitude","community_board","council_district","bbl","census_tract","nta_neighborhood_tabulation"
"3640","1060536","2546 ADAM C POWELL BOULEVARD","1","2033","33","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10039","40.823211","-73.937941","110","9","1020330033","234","MN1002"
"3668","1013980","152 7 AVENUE","1","769","34","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10011","40.74178","-73.997348","104","3","1007690034","87","MN0401"
"4064","1059419","2459 FREDERICK DOUGLASS BOULEVARD","1","1958","22","Yes","No","No","No","No","No","2022-06-24T00:00:00.000",,,,,,,,,
"5036","1080026","3854 10 AVENUE","1","2219","29","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10034","40.863955","-73.919313","112","10","1022190029","293","MN1203"
"5390","1064805","618 ACADEMY STREET","1","2224","22","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10034","40.865048","-73.924192","112","10","1022240022","291","MN1203"
"5559","1059624","1437 AMSTERDAM AVENUE","1","1970","34","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10027","40.816395","-73.954053","109","7","1019700034","21303","MN0902"
"5617","1061246","1661 AMSTERDAM AVENUE","1","2058","29","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10031","40.823405","-73.948932","109","7","1020580029","227","MN0903"
"5634","1061944","1730 AMSTERDAM AVENUE","1","2077","34","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10031","40.825633","-73.947326","109","7","1020770034","229","MN0903"
"5785","1062644","2119 AMSTERDAM AVENUE","1","2111","44","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10032","40.837991","-73.93827","112","10","1021110044","249","MN1201"
"5790","1062647","2129 AMSTERDAM AVENUE","1","2111","50","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10032","40.838219","-73.938104","112","10","1021110050","249","MN1201"
"5801","1062662","2153 AMSTERDAM AVENUE","1","2111","84","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10032","40.838951","-73.937572","112","10","1021110084","249","MN1201"
"5873","1063584","495 WEST 186 STREET","1","2149","93","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.850951","-73.928072","112","10","1021490093","267","MN1202"
"5984","1033298","592 AMSTERDAM AVENUE","1","1236","35","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10024","40.789393","-73.973782","107","6","1012360035","175","MN0702"
"6089","1056658","964 AMSTERDAM AVENUE","1","1879","31","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10025","40.801336","-73.965065","107","7","1018790031","195","MN0703"
"6170","1063043","100 AUDUBON AVENUE","1","2127","22","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10032","40.841822","-73.937399","112","10","1021270022","253","MN1201"
"6196","1063222","200 AUDUBON AVENUE","1","2133","22","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.84495","-73.935116","112","10","1021330022","261","MN1201"
"6206","1063183","247 AUDUBON AVENUE","1","2132","21","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.846377","-73.934048","112","10","1021320021","261","MN1201"
"6248","1063739","421 AUDUBON AVENUE","1","2156","66","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.851938","-73.929983","112","10","1021560066","269","MN1202"
"6261","1063852","461 AUDUBON AVENUE","1","2159","35","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10040","40.853235","-73.929039","112","10","1021590035","277","MN1202"
"6279","1062996","59 AUDUBON AVENUE","1","2125","27","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10032","40.840626","-73.938254","112","10","1021250027","251","MN1201"
"6624","1004556","133 AVENUE D","1","379","37","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10009","40.724379","-73.975536","103","2","1003790037","28","MN0303"
"7205","1064131","1 BOGARDUS PLACE","1","2171","66","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10040","40.858857","-73.929792","112","10","1021710066","283","MN1202"
"7437","1003908","85 BOWERY","1","303","11","No","No","No","No","Yes","No","2022-06-24T00:00:00.000","MANHATTAN","10002","40.716984","-73.995595","103","1","1003030011","16","MN0301"
"8104","1062456","3661 BROADWAY","1","2098","29","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10031","40.830322","-73.947626","109","7","1020980029","237","MN0903"
"8106","1062457","3671 BROADWAY","1","2098","36","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10031","40.830684","-73.947358","109","7","1020980036","237","MN0903"
"8155","1062922","3880 BROADWAY","1","2122","48","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10032","40.837269","-73.942521","112","10","1021220048","245","MN1201"
"8283","1064465","4441 BROADWAY","1","2180","505","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10040","40.856888","-73.932552","112","10","1021800505","279","MN1202"
"9195","1055726","482 CENTRAL PARK WEST","1","1844","33","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10025","40.799742","-73.958803","107","7","1018440033","193","MN0703"
"9614","1059860","192 CLAREMONT AVENUE","1","1993","102","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10027","40.814951","-73.960123","109","7","1019930102","211","MN0901"
"9893","1059629","102 CONVENT AVENUE","1","1970","55","No","No","No","No","Yes","No","2022-06-24T00:00:00.000","MANHATTAN","10027","40.816789","-73.952597","109","7","1019700055","21303","MN0902"
"10073","1064989","98 COOPER STREET","1","2242","26","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10034","40.868688","-73.921216","112","10","1022420026","303","MN1203"
"10403","1006109","44 EAST 1 STREET","1","443","55","No","No","No","No","Yes","No","2022-06-24T00:00:00.000","MANHATTAN","10003","40.723911","-73.989945","103","2","1004430055","3602","MN0303"
"10600","1004360","298 EAST 3 STREET","1","372","22","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10009","40.721349","-73.979852","103","2","1003720022","2202","MN0303"
"10937","1006238","332 EAST 6 STREET","1","447","22","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10003","40.727015","-73.987643","103","2","1004470022","38","MN0303"
"10946","1006290","341 EAST 6 STREET","1","448","35","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10003","40.726971","-73.987499","103","2","1004480035","38","MN0303"
"11041","1004440","738 EAST 6 STREET","1","375","28","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10009","40.722938","-73.977957","103","2","1003750028","2601","MN0303"
"11104","1004679","206 EAST 7 STREET","1","389","21","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10009","40.724626","-73.980175","103","2","1003890021","2602","MN0303"
"11215","1005857","93 EAST 7 STREET","1","435","57","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10009","40.726818","-73.985337","103","2","1004350057","32","MN0303"
"11222","1005853","99 EAST 7 STREET","1","435","53","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10009","40.726735","-73.985146","103","2","1004350053","32","MN0303"
"11972","1005262","513 EAST 13 STREET","1","407","54","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10009","40.729391","-73.98004","103","2","1004070054","34","MN0303"
"13244","1020146","213 EAST 34 STREET","1","915","8","No","No","No","No","Yes","No","2022-06-24T00:00:00.000","MANHATTAN","10016","40.745536","-73.977646","106","4","1009150008","78","MN0603"
"14935","1044247","304 EAST 62 STREET","1","1436","47","No","No","No","No","No","Yes","2022-06-24T00:00:00.000","MANHATTAN","10065","40.762373","-73.962725","108","5","1014360047","110","MN0801"
"16417","1045205","337 EAST 77 STREET","1","1452","16","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10075","40.771623","-73.955048","108","5","1014520016","134","MN0801"
"17396","1048718","218 EAST 84 STREET","1","1529","37","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10028","40.777236","-73.954329","108","5","1015290037","138","MN0803"
"17485","1051206","504 EAST 84 STREET","1","1580","47","No","No","No","Yes","Yes","No","2022-06-24T00:00:00.000","MANHATTAN","10028","40.774428","-73.94767","108","5","1015800047","13604","MN0803"
"17762","1050047","311 EAST 87 STREET","1","1550","7","No","No","No","No","No","Yes","2022-09-26T00:00:00.000","MANHATTAN","10128","40.777986","-73.949884","108","5","1015500007","14602","MN0803"
"18913","1051903","122 EAST 103 STREET","1","1630","65","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10029","40.790622","-73.948437","111","8","1016300065","166","MN1101"
"18916","1051901","126 EAST 103 STREET","1","1630","61","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10029","40.790581","-73.948343","111","8","1016300061","166","MN1101"
"19029","1051995","169 EAST 105 STREET","1","1633","29","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10029","40.791258","-73.946002","111","8","1016330029","172","MN1101"
"19193","1052804","323 EAST 108 STREET","1","1680","15","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10029","40.791428","-73.940347","111","8","1016800015","170","MN1101"
"19309","1052463","245 EAST 110 STREET","1","1660","19","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10029","40.793701","-73.941764","111","8","1016600019","180","MN1102"
"19382","1052482","214 EAST 111 STREET","1","1660","42","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10029","40.794514","-73.941792","111","8","1016600042","180","MN1102"
"19561","1052906","335 EAST 115 STREET","1","1687","19","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10029","40.795667","-73.936746","111","8","1016870019","188","MN1102"
"19673","1052543","228 EAST 116 STREET","1","1665","38","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10029","40.797449","-73.938861","111","8","1016650038","188","MN1102"
"19681","1052540","238 EAST 116 STREET","1","1665","33","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10029","40.797347","-73.938619","111","8","1016650033","188","MN1102"
"19796","1052315","136 EAST 117 STREET","1","1644","59","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10035","40.799498","-73.941615","111","8","1016440059","182","MN1102"
"19824","1052363","177 EAST 117 STREET","1","1645","129","No","No","No","No","No","Yes","2022-06-24T00:00:00.000","MANHATTAN","10035","40.798921","-73.940199","111","8","1016450129","182","MN1102"
"19855","1052617","231 EAST 117 STREET","1","1667","16","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10035","40.798289","-73.938701","111","8","1016670016","188","MN1102"
"19867","1052972","316 EAST 117 STREET","1","1688","44","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10035","40.7973","-73.936405","111","8","1016880044","188","MN1102"
"19869","1052970","322 EAST 117 STREET","1","1688","42","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10035","40.797264","-73.936315","111","8","1016880042","188","MN1102"
"19958","1054348","147 EAST 118 STREET","1","1767","21","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10035","40.799843","-73.940433","111","8","1017670021","182","MN1102"
"20471","1054021","1 EAST 124 STREET","1","1749","104","No","No","No","Yes","No","No","2022-06-24T00:00:00.000","MANHATTAN","10035","40.805553","-73.942285","111","9","1017490104","198","MN1102"
"21160","1004269","309 EAST HOUSTON STREET","1","350","57","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10002","40.721317","-73.98334","103","2","1003500057","2201","MN0302"
"21518","1064129","2 ELLWOOD STREET","1","2171","42","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10040","40.859089","-73.927688","112","10","1021710042","283","MN1202"
"21801","1063506","350 FT WASHINGTON AVENUE","1","2142","175","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.84689","-73.939899","112","10","1021420175","263","MN1201"
"21803","1063450","359 FT WASHINGTON AVENUE","1","2139","530","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.847376","-73.939726","112","10","1021390530","255","MN1201"
"21804","1063507","370 FT WASHINGTON AVENUE","1","2142","178","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.847524","-73.939642","112","10","1021420178","263","MN1201"
"21811","1064292","391 FT WASHINGTON AVENUE","1","2177","23","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.848369","-73.93932","112","10","1021770023","265","MN1202"
"21858","1063331","75 FT WASHINGTON AVENUE","1","2136","140","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10032","40.837497","-73.944143","112","7","1021360140","247","MN1201"
"21859","1063357","80 FT WASHINGTON AVENUE","1","2137","40","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10032","40.837989","-73.943923","112","7","1021370040","245","MN1201"
"21860","1063365","86 FT WASHINGTON AVENUE","1","2137","91","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10032","40.838148","-73.943857","112","7","1021370091","245","MN1201"
"22529","1061743","61 HAMILTON PLACE","1","2071","45","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10031","40.822471","-73.951588","109","7","1020710045","225","MN0903"
"22841","1064130","34 HILLSIDE AVENUE","1","2171","52","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10040","40.858448","-73.929279","112","10","1021710052","283","MN1202"
"23447","1053233","186 LENOX AVENUE","1","1718","4","No","No","No","No","Yes","No","2022-06-24T00:00:00.000","MANHATTAN","10026","40.804236","-73.948058","110","9","1017180004","200","MN1001"
"23458","1057560","197 LENOX AVENUE","1","1904","35","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10026","40.80445","-73.947928","110","9","1019040035","220","MN1001"
"23642","1060007","551 LENOX AVENUE","1","2006","36","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10037","40.815935","-73.939534","110","9","1020060036","228","MN1002"
"24848","1017195","238 MADISON AVENUE","1","867","16","No","No","No","No","Yes","No","2022-06-24T00:00:00.000","MANHATTAN","10016","40.749947","-73.98138","105","4","1008670016","82","MN0502"
"25114","1003329","77 MADISON STREET","1","277","2","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10002","40.712142","-73.996259","103","1","1002770002","8","MN0301"
"25232","1055849","346 MANHATTAN AVENUE","1","1848","31","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10026","40.804039","-73.95754","110","9","1018480031","20102","MN1001"
"25306","1055398","50 MANHATTAN AVENUE","1","1838","21","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10025","40.796098","-73.963331","107","7","1018380021","189","MN0703"
"25387","1064584","99 MARBLE HILL AVENUE","1","2215","326","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10463","40.877059","-73.909248","208","10","1022150326","309","BX0802"
"25528","1059321","161 MORNINGSIDE AVENUE","1","1953","1","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10027","40.812195","-73.953438","109","9","1019530001","21303","MN0902"
"25684","1083081","221 MOTT STREET","1","494","29","No","No","No","No","Yes","No","2022-06-24T00:00:00.000","MANHATTAN","10012","40.722243","-73.995231","102","1","1004940029","43","MN0201"
"25929","1064716","192 NAGLE AVENUE","1","2217","39","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10034","40.862034","-73.923563","112","10","1022170039","291","MN1203"
"25930","1064715","200 NAGLE AVENUE","1","2217","35","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10034","40.862103","-73.923371","112","10","1022170035","291","MN1203"
"25944","1064125","65 NAGLE AVENUE","1","2171","26","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10040","40.860042","-73.928941","112","10","1021710026","283","MN1202"
"26291","1052332","1661 PARK AVENUE","1","1645","1","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10035","40.800157","-73.942589","111","8","1016450001","182","MN1102"
"26459","1041176","650 PARK AVENUE","1","1381","38","No","No","No","No","Yes","No","2022-06-24T00:00:00.000","MANHATTAN","10065","40.76768","-73.966336","108","4","1013810038","122","MN0802"
"26626","1001403","23 PARK PLACE","1","124","10","No","No","No","No","Yes","No","2022-06-24T00:00:00.000","MANHATTAN","10007","40.713045","-74.008773","101","1","1001240010","21","MN0102"
"26883","1079967","5 PINEHURST AVENUE","1","2177","28","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.848425","-73.940292","112","10","1021770028","265","MN1202"
"26885","1064306","60 PINEHURST AVENUE","1","2177","130","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.85034","-73.939586","112","10","1021770130","265","MN1202"
"26998","1064759","26 POST AVENUE","1","2220","39","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10034","40.862971","-73.924346","112","10","1022200039","291","MN1203"
"27002","1064756","38 POST AVENUE","1","2220","33","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10034","40.863099","-73.923999","112","10","1022200033","291","MN1203"
"27014","1064708","9 POST AVENUE","1","2217","7","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10034","40.862803","-73.924748","112","10","1022170007","291","MN1203"
"27393","1063326","884 RIVERSIDE DRIVE","1","2136","106","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10032","40.837331","-73.946569","112","7","1021360106","247","MN1201"
"27553","1064958","65 SEAMAN AVENUE","1","2239","1","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10034","40.867912","-73.925512","112","10","1022390001","295","MN1203"
"27561","1064963","89 SEAMAN AVENUE","1","2239","13","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10034","40.868178","-73.924792","112","10","1022390013","295","MN1203"
"27562","1064964","97 SEAMAN AVENUE","1","2239","17","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10034","40.868268","-73.924554","112","10","1022390017","295","MN1203"
"27568","1064746","109 SHERMAN AVENUE","1","2220","11","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10034","40.863945","-73.924982","112","10","1022200011","291","MN1203"
"27572","1064748","117 SHERMAN AVENUE","1","2220","15","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10034","40.864039","-73.924728","112","10","1022200015","291","MN1203"
"27595","1064239","20 SHERMAN AVENUE","1","2175","100","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10040","40.862669","-73.928479","112","10","1021750100","287","MN1202"
"27668","1063448","4 SOUTH PINEHURST AVENUE","1","2139","517","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.84775","-73.940557","112","10","1021390517","255","MN1201"
"27973","1063235","1356 ST NICHOLAS AVENUE","1","2133","66","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.847212","-73.935262","112","10","1021330066","261","MN1201"
"27997","1063958","1469 ST NICHOLAS AVENUE","1","2165","65","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.850806","-73.932659","112","10","1021650065","271","MN1202"
"27999","1063957","1471 ST NICHOLAS AVENUE","1","2165","63","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.850858","-73.93262","112","10","1021650063","271","MN1202"
"28013","1063788","1520 ST NICHOLAS AVENUE","1","2157","67","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.852479","-73.931411","112","10","1021570067","269","MN1202"
"28053","1054960","17 ST NICHOLAS AVENUE","1","1821","46","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10026","40.799308","-73.952436","110","9","1018210046","216","MN1001"
"28110","1084089","410 ST NICHOLAS AVENUE","1","1958","1","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10027","40.814112","-73.949604","110","9","1019580001","215","MN1002"
"28161","1061049","656 ST NICHOLAS AVENUE","1","2051","31","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10030","40.822616","-73.945424","109","9","1020510031","227","MN0903"
"28679","1064249","78 THAYER STREET","1","2175","175","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10040","40.864057","-73.927462","112","10","1021750175","287","MN1202"
"28755","1007367","59 THOMPSON STREET","1","489","36","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10012","40.724112","-74.003283","102","1","1004890036","47","MN0201"
"28776","1059882","51 TIEMANN PLACE","1","1995","10","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10027","40.815464","-73.959538","109","7","1019950010","211","MN0901"
"28948","1064908","66 VERMILYEA AVENUE","1","2234","36","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10034","40.865649","-73.923646","112","10","1022340036","291","MN1203"
"28991","1063522","15 WADSWORTH AVENUE","1","2143","8","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.845223","-73.938303","112","10","1021430008","263","MN1201"
"29054","1063573","82 WADSWORTH AVENUE","1","2145","49","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.847122","-73.936961","112","10","1021450049","263","MN1201"
"29055","1063572","84 WADSWORTH AVENUE","1","2145","47","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10033","40.84716","-73.936932","112","10","1021450047","263","MN1201"
"29383","1001362","266 WATER STREET","1","106","7504","No","No","No","No","Yes","No","2022-06-24T00:00:00.000","MANHATTAN","10038","40.708558","-74.001349","101","1","1001067504","1501","MN0101"
"29627","1009436","11 WEST 8 STREET","1","572","49","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10011","40.732528","-73.996973","102","2","1005720049","63","MN0202"
"29954","1011904","321 WEST 11 STREET","1","634","35","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10014","40.735667","-74.007256","102","3","1006340035","75","MN0203"
"30455","1013027","328 WEST 15 STREET","1","738","56","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10011","40.74085","-74.003006","104","3","1007380056","83","MN0401"
"30488","1014575","123 WEST 16 STREET","1","792","20","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10011","40.73906","-73.996741","104","3","1007920020","81","MN0401"
"30819","1078493","320 WEST 19 STREET","1","742","49","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10011","40.743183","-74.001112","104","3","1007420049","89","MN0401"
"34247","1034844","36 WEST 56 STREET","1","1271","58","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10019","40.762824","-73.975745","105","4","1012710058","104","MN0502"
"34788","1029884","119 WEST 71 STREET","1","1143","24","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10023","40.776993","-73.979885","107","6","1011430024","157","MN0701"
"35873","1032671","204 WEST 81 STREET","1","1228","39","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10024","40.784604","-73.97772","107","6","1012280039","167","MN0702"
"36685","1031478","42 WEST 88 STREET","1","1201","51","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10024","40.787117","-73.969641","107","6","1012010051","173","MN0702"
"36720","1032309","170 WEST 89 STREET","1","1219","57","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10024","40.78919","-73.972619","107","6","1012190057","173","MN0702"
"36781","1031555","41 WEST 89 STREET","1","1203","17","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10024","40.787811","-73.969301","107","6","1012030017","173","MN0702"
"37304","1057089","305 WEST 99 STREET","1","1888","63","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10025","40.797322","-73.972092","107","7","1018880063","187","MN0703"
"37671","1056642","210 WEST 107 STREET","1","1878","37","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10025","40.801314","-73.965719","107","7","1018780037","195","MN0703"
"37674","1056643","220 WEST 107 STREET","1","1878","42","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10025","40.80144","-73.966015","107","7","1018780042","195","MN0703"
"37676","1056644","230 WEST 107 STREET","1","1878","47","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10025","40.801567","-73.966311","107","7","1018780047","195","MN0703"
