"maprojid","magency","projectid","descriptio","ccnonexemp","ccexempt","totalcityp","nccstate","nccfederal","nccother","totalnonci","totalplann","totalspend","maxdate","mindate","magencyacr","magencynam","typecatego","ccpversion","the_geom"
"850P-503BLOO","850","P-503BLOO","BLOOMINGDALE PK","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2023-06-01T00:00:00.000","2023-06-01T00:00:00.000","DDC","Department of Design and Construction",,"fisa_2023","MULTIPOINT ((-74.20944214960703 40.53305038872042))"
"850PO002-116","850","PO002-116","NEW 116TH PCT","18136000","0.0","18136000","0.0","0.0","0.0","0.0","18136000","4165459.69","2024-06-01T00:00:00.000","2018-12-26T00:00:00.000","DDC","Department of Design and Construction",,"fisa_2023","MULTIPOINT ((-73.73470741216552 40.66627373056549))"
"850PO141-40P","850","PO141-40P","NEW 40TH PRECINCT","11848000","0.0","11848000","0.0","0.0","0.0","0.0","11848000","43455281.38","2024-06-01T00:00:00.000","2015-05-20T00:00:00.000","DDC","Department of Design and Construction",,"fisa_2023","MULTIPOINT ((-73.91340277403452 40.81543431401929))"
"850PO201-120","850","PO201-120","NEW 120 PRECINCT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2023-06-01T00:00:00.000","2023-06-01T00:00:00.000","DDC","Department of Design and Construction",,"fisa_2023","MULTIPOINT ((-74.07947850248725 40.620960447929455))"
"850PO79BMAHQ","850","PO79BMAHQ","ONE POLICE PLAZA PAVING AND LANDSCAPING","221000","0.0","221000","0.0","0.0","0.0","0.0","221000","1024057.98","2025-06-01T00:00:00.000","2015-04-13T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-74.00178108890033 40.71216857535027))"
"850PO79BMAHW","850","PO79BMAHW","114TH PCT PLUMBING SYSTEM REPLACEMENT","137000","0.0","137000","0.0","0.0","0.0","0.0","137000","879777.14","2024-06-01T00:00:00.000","2016-04-13T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.9155062137331 40.76930376797524))"
"850PO79BMAJU","850","PO79BMAJU","26TH PRECINCT ROOF, WINDOWS & FACADE","8207000","0.0","8207000","0.0","0.0","0.0","0.0","8207000","373450.9","2031-06-01T00:00:00.000","2019-09-03T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.95653681117983 40.81467749702229))"
"850PO79FDBNX","850","PO79FDBNX","BRONX FRONT DESK REPLACEMENT 42ND, 44TH, 46TH, 108TH","332000","0.0","332000","0.0","0.0","0.0","0.0","332000","0.0","2025-06-01T00:00:00.000","2022-10-01T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.91970112647796 40.83729705334084), (-73.91120929690466 40.82271414249099), (-73.87964001330708 40.86907374065554))"
"850PO79FDCW1","850","PO79FDCW1","Front Desk Renovations for 45th, 75th, 105th, 123rd  PCTS","1555000","0.0","1555000","0.0","0.0","0.0","0.0","1555000","53814.95","2024-06-01T00:00:00.000","2019-06-05T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-74.24999547074114 40.51183807843876), (-73.8815035336679 40.671147410237985), (-73.82732149980005 40.830835131306365), (-73.73514331173334 40.72620929222853))"
"850PO79ROD","850","PO79ROD","NEW FIREARMS TRAINING FACILITY","250820000","0.0","250820000","0.0","0.0","0.0","0.0","250820000","4794898.1","2024-06-01T00:00:00.000","2018-12-05T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.8007314461195 40.85188470706675))"
"850PO79SHOPR","850","PO79SHOPR","SERVICE SHOP #6 ROOF RENOVATION","11022000","0.0","11022000","0.0","0.0","0.0","0.0","11022000","210542.34","2024-06-01T00:00:00.000","2018-06-25T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-73.91338301388612 40.67062738662872))"
"850PV072HVAC","850","PV072HVAC","BHS - Brooklyn Historic Society HVAC Replacement","4031000","0.0","4031000","0.0","0.0","0.0","0.0","4031000","52580.7","2026-06-01T00:00:00.000","2020-06-26T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-73.99241041199694 40.694783074810765))"
"850PV175-MST","850","PV175-MST","SIZ - Masterplan, Utility Upgrade, Carousel & Duck Cons.","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","557766.18","2023-06-01T00:00:00.000","2010-02-01T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-74.11563360533981 40.62518319246356))"
"850PV274-N","850","PV274-N","NYHOS - NY HALL OF SCIENCE - MASTERPLAN PHASE IIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","350294.16","2023-06-01T00:00:00.000","2010-02-08T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-73.85166740482198 40.74708644372076))"
"850PV274-Q","850","PV274-Q","NYHOS - NY Hall of Science Pre-school Playground","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2023-06-01T00:00:00.000","2023-06-01T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.85166740482198 40.74708644372076))"
"850PV274CHLL","850","PV274CHLL","NYHOS - New York Hall of Science - Chiller Replacement","2870000","0.0","2870000","0.0","0.0","0.0","0.0","2870000","2735881.8","2025-06-01T00:00:00.000","2018-07-23T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.84332589563155 40.74725564386292))"
"850PV274EXLT","850","PV274EXLT","NYHOS - NY Hall of Science Lighting for Outdoor Exhibits","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1159135.29","2025-06-01T00:00:00.000","2010-09-07T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.84332981129876 40.747255649189185))"
"056SANDCD10","056","SANDCD10","HARBOR GEORGE","66000","0.0","66000","0.0","593000","0.0","593000","659000","89050.0","2024-06-01T00:00:00.000","2020-01-06T00:00:00.000","NYPD","Police Department",,"fisa_2023","MULTIPOINT ((-73.8377106327987 40.78622668079254))"
"056SANDCD2","056","SANDCD2","MOUNTED TROOP E","2000","0.0","2000","0.0","10000","0.0","10000","12000","41240.0","2024-06-01T00:00:00.000","2020-01-06T00:00:00.000","NYPD","Police Department",,"fisa_2023","MULTIPOINT ((-73.96519660347795 40.58244872545492))"
"056PO79PAAUD","056","PO79PAAUD","OLD POLICE ACADEMY AUDITORIUM RENOVATION","1000","0.0","1000","0.0","0.0","0.0","0.0","1000","3265555.61","2024-06-01T00:00:00.000","2019-07-29T00:00:00.000","NYPD","Police Department","Lump Sum","fisa_2023","MULTIPOINT ((-73.98280658256536 40.73681586517602))"
"850PW311S08A","850","PW311S08A","Geotechnical Investigations, Citywide","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3392544.78","2023-06-01T00:00:00.000","2010-01-19T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-73.9360752572271 40.74406207478881))"
"850PV467SRA4","850","PV467SRA4","SRAC -  Seventh Regiment - Park Ave Facade","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6347823.2","2022-11-01T00:00:00.000","2013-04-22T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.96549266474862 40.76722461133848))"
"850PV467WFAC","850","PV467WFAC","East Harlem Arts, LDC - Heckscher Bldg. W Facade Renovation","6209000","0.0","6209000","0.0","0.0","0.0","0.0","6209000","305900.89","2023-06-01T00:00:00.000","2018-04-11T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.95136433116188 40.793085547880764))"
"850PV471-L","850","PV471-L","BxMA - Bronx Museum of the Arts - Expansion","-1000","0.0","-1000","31000","0.0","0.0","31000","30000","663803.81","2023-06-01T00:00:00.000","2010-02-03T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.9197633877274 40.83101018084191))"
"850PV477-L","850","PV477-L","SICM - Staten Island Children's Museum Barn Phases I and II","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15937.5","2023-06-01T00:00:00.000","2011-03-07T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-74.10184751605061 40.644082860383364))"
"850PV477TEMP","850","PV477TEMP","SICM -Staten Island Children's Museum Temp Control System","6419000","0.0","6419000","0.0","0.0","0.0","0.0","6419000","215511.64","2025-06-01T00:00:00.000","2019-11-13T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-74.07768325035862 40.644375467243925))"
"850PV488-BN","850","PV488-BN","Bronx Net - Renovation of Carman Hall","280000","0.0","280000","0.0","0.0","0.0","0.0","280000","1518261.96","2027-06-01T00:00:00.000","2013-08-26T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.89651098938646 40.87140813721946))"
"850PV490SITE","850","PV490SITE","SHCC - Sitewide Circulation Plan Pedestrian Walkways & Roads","-90000","0.0","-90000","0.0","0.0","0.0","0.0","-90000","230323.58","2023-06-01T00:00:00.000","2010-08-23T00:00:00.000","DDC","Department of Design and Construction",,"fisa_2023","MULTIPOINT ((-74.10184751605061 40.644082860383364))"
"850PV520-WKS","850","PV520-WKS","WKSVL-Weeksville Heritage Ctr-MasterPlan/Hunterfly Rd Houses","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","30203140.31","2023-06-01T00:00:00.000","2010-01-14T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-73.92608526180261 40.674606468387076))"
"850PVK230-AK","850","PVK230-AK","NYA - NYA AQUATIC ANIMAL MEDICAL FAC","170000","0.0","170000","0.0","0.0","0.0","0.0","170000","205333.98","2023-06-01T00:00:00.000","2010-10-28T00:00:00.000","DDC","Department of Design and Construction",,"fisa_2023","MULTIPOINT ((-73.97538079683558 40.574335178069255))"
"850PW3171C","850","PW3171C","1 CENTRE STREET- FACADE REHAB","26552000","0.0","26552000","0.0","0.0","0.0","0.0","26552000","0.0","2032-06-01T00:00:00.000","2026-06-01T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-74.00361433851795 40.712971948146816))"
"850PW3172L","850","PW3172L","2 LAFAYETTE STREET - FACADE REPAIRS","4431000","0.0","4431000","0.0","0.0","0.0","0.0","4431000","0.0","2025-06-01T00:00:00.000","2023-06-01T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-74.00388881948071 40.71401559485417))"
"850PW317WOR","850","PW317WOR","125 WORTH STREET - FACADE REPAIRS","358000","0.0","358000","0.0","0.0","0.0","0.0","358000","0.0","2030-06-01T00:00:00.000","2023-06-01T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-74.00232700560736 40.71566978986673))"
"850PW322X7","850","PW322X7","345 ADAMS ST. - LL 11 CYCLE 7 FACADE REPAIRS","1189000","0.0","1189000","0.0","0.0","0.0","0.0","1189000","0.0","2030-06-01T00:00:00.000","2030-06-01T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.98842656137958 40.69272714074909))"
"850PW348-71","850","PW348-71","FUEL TANK REPLACEMENT","7695000","0.0","7695000","0.0","0.0","0.0","0.0","7695000","2250838.62","2024-06-01T00:00:00.000","2019-01-30T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.9925125544519 40.72697017606197), (-73.98391156107887 40.71651293194727), (-73.98252444803315 40.72184498978676), (-73.97508171142734 40.784073830921294), (-73.96512867970415 40.756473110324464), (-73.95522525349683 40.77868681477757), (-73.92868086225515 40.86713862104934))"
"850PW348-72","850","PW348-72","FUEL TANK REPLACEMENT","7976000","0.0","7976000","0.0","0.0","0.0","0.0","7976000","949708.86","2027-06-01T00:00:00.000","2019-03-11T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.9942897567083 40.670935095706156), (-73.91972165263208 40.83728425990302), (-73.90033479197587 40.84388728827326), (-73.89476477889833 40.903518247313976), (-73.88990627281692 40.84152587116028), (-73.88367368649122 40.834259008554525), (-73.84755324430387 40.88750638407611), (-73.84648289585573 40.87799672305183), (-73.84266260816916 40.818230887465646), (-73.8268387520417 40.88851347374724), (-73.81821864359978 40.8212726436071))"
"850PW348-81","850","PW348-81","FUEL TANK REPLACEMENT","17728000","0.0","17728000","0.0","0.0","0.0","0.0","17728000","516154.72","2030-06-01T00:00:00.000","2019-09-09T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.90788283062207 40.73321508045604), (-73.89412490998468 40.77879726131218), (-73.85344347360089 40.697892258972445), (-73.84606927683274 40.770069634669454), (-73.77151718580815 40.73101680966022), (-73.77138321150179 40.73122997936625))"
"850PW348-82","850","PW348-82","FUEL TANK REPLACEMENT","17500000","0.0","17500000","0.0","0.0","0.0","0.0","17500000","506471.16","2027-06-01T00:00:00.000","2019-12-27T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.99428442767905 40.67091870065943), (-73.99037866808929 40.678403275479354), (-73.97539504680559 40.69863058664158), (-73.96193852759741 40.66643267482699), (-73.9418576146588 40.657371822781066), (-73.91790583537386 40.64253269584281), (-73.9127545019198 40.647224400030076), (-73.87029577673454 40.660920132155574))"
"057F175237MC","057","F175237MC","MULTI COMPONENT RENOVATION - EC237","30000","0.0","30000","0.0","0.0","0.0","0.0","30000","7537497.93","2023-06-01T00:00:00.000","2015-10-26T00:00:00.000","FDNY","Fire Department","Fixed Asset","fisa_2023","MULTIPOINT ((-73.9317427055638 40.70537611533224))"
"057F175MC227","057","F175MC227","Multi - Component Renovaitons - EC 227","31000","0.0","31000","0.0","0.0","0.0","0.0","31000","9667461.63","2023-06-01T00:00:00.000","2017-06-05T00:00:00.000","FDNY","Fire Department","Fixed Asset","fisa_2023","MULTIPOINT ((-73.92172161191846 40.67477070528104))"
"057F175MC285","057","F175MC285","MULTI COMPONENT RENOVATIONS - EC285","31000","0.0","31000","0.0","0.0","0.0","0.0","31000","5437574.82","2023-06-01T00:00:00.000","2015-10-13T00:00:00.000","FDNY","Fire Department","Fixed Asset","fisa_2023","MULTIPOINT ((-73.84195310662948 40.682513718964174))"
"850PWC005WEB","850","PWC005WEB","Webster-Giannone Ctr PAL","2941000","0.0","2941000","0.0","0.0","0.0","0.0","2941000","0.0","2030-06-01T00:00:00.000","2030-06-01T00:00:00.000","DDC","Department of Design and Construction",,"fisa_2023","MULTIPOINT ((-73.89623630160924 40.85591641645236))"
"850PWD308NBR","850","PWD308NBR","Northeast Bronx Redevelopment Corp","100000","0.0","100000","0.0","0.0","0.0","0.0","100000","0.0","2030-06-01T00:00:00.000","2030-06-01T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-73.86487961962108 40.881299853848176))"
"850PWD3OYMK1","850","PWD3OYMK1","FA - On Your Mark","1000","0.0","1000","0.0","0.0","0.0","0.0","1000","0.0","2028-06-01T00:00:00.000","2028-06-01T00:00:00.000","DDC","Department of Design and Construction",,"fisa_2023","MULTIPOINT ((-74.11055010882885 40.63000069949909))"
"850PWD998LEG","850","PWD998LEG","LEGAL SERVICES FOR NY CITY","350000","0.0","350000","0.0","0.0","0.0","0.0","350000","0.0","2032-06-01T00:00:00.000","2032-06-01T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-74.00353740590558 40.71680239101882))"
"850PWD9SHEMA","850","PWD9SHEMA","SHEMA KOLAINU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2024-06-01T00:00:00.000","2024-06-01T00:00:00.000","DDC","Department of Design and Construction",,"fisa_2023","MULTIPOINT ((-73.97182100338111 40.64970305554443))"
"057FD175E249","057","FD175E249","ROOF REPLACEMENT - EC249","50000","0.0","50000","0.0","0.0","0.0","0.0","50000","0.0","2029-06-01T00:00:00.000","2029-06-01T00:00:00.000","FDNY","Fire Department","Fixed Asset","fisa_2023","MULTIPOINT ((-73.95315660307946 40.66024870915419))"
"057FM175WN76","057","FM175WN76","Window Replacement EC76","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","329902.0","2029-06-01T00:00:00.000","2019-08-05T00:00:00.000","FDNY","Fire Department","Fixed Asset","fisa_2023","MULTIPOINT ((-73.96718259055153 40.79655468338029))"
"057FQ175W275","057","FQ175W275","Window Replacement EC275","221000","0.0","221000","0.0","0.0","0.0","0.0","221000","278998.04","2029-06-01T00:00:00.000","2019-09-30T00:00:00.000","FDNY","Fire Department","Fixed Asset","fisa_2023","MULTIPOINT ((-73.78108665562878 40.69344269687885))"
"057FX175WN48","057","FX175WN48","Window Replacement EC48","77000","0.0","77000","0.0","0.0","0.0","0.0","77000","132082.89","2029-06-01T00:00:00.000","2019-04-10T00:00:00.000","FDNY","Fire Department","Fixed Asset","fisa_2023","MULTIPOINT ((-73.89398260952105 40.85929366847822))"
"068ACSPCR","068","ACSPCR","PC REPLACEMENT","5998000","0.0","5998000","2995000","1235000","0.0","4230000","10228000","6481095.58","2033-06-01T00:00:00.000","2012-07-18T00:00:00.000","ACS","Administration for Childrens Services","Fixed Asset","fisa_2023","MULTIPOINT ((-74.00579458280555 40.70951270180888))"
"068BEACHREP","068","BEACHREP","Replacement Site for Beach Non-Secure Detention Site","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2023-06-01T00:00:00.000","2023-06-01T00:00:00.000","ACS","Administration for Childrens Services","Fixed Asset","fisa_2023","MULTIPOINT ((-73.86573562104924 40.8279056739398))"
"068CCREN","068","CCREN","Renovation for city leased child care sites.","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2023-06-01T00:00:00.000","2023-06-01T00:00:00.000","ACS","Administration for Childrens Services","Fixed Asset","fisa_2023","MULTIPOINT ((-73.88518261359275 40.85366366956373))"
"068CYPRESSC","068","CYPRESSC","Acquisition of Property &Construction of a Child Care Center","107000","0.0","107000","0.0","0.0","0.0","0.0","107000","0.0","2026-06-01T00:00:00.000","2025-06-01T00:00:00.000","ACS","Administration for Childrens Services","Fixed Asset","fisa_2023","MULTIPOINT ((-73.87383562670458 40.68391970219092))"
"068FASS","068","FASS","FABRIC- ATTACHED STORAGE SYSTEMS ( FAS )","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","122285.91","2026-06-01T00:00:00.000","2013-09-03T00:00:00.000","ACS","Administration for Childrens Services","Fixed Asset","fisa_2023","MULTIPOINT ((-74.00579458280555 40.70951270180888))"
"068JJCONS","068","JJCONS","Secure Detention Facility Renovations","18218000","0.0","18218000","0.0","0.0","0.0","0.0","18218000","0.0","2029-06-01T00:00:00.000","2023-06-01T00:00:00.000","ACS","Administration for Childrens Services","Fixed Asset","fisa_2023","MULTIPOINT ((-73.91368760593143 40.81551767772047))"
"071HH112BARS","071","HH112BARS","Shelter at 21-10 Borden Avenue, 11110 - Roof/Skylight Replac","6116000","0.0","6116000","0.0","0.0","0.0","0.0","6116000","211200","2027-06-01T00:00:00.000","2021-07-06T00:00:00.000","DHS","Department of Homeless Services","Fixed Asset","fisa_2023","MULTIPOINT ((-73.94951759973944 40.73989969399194))"
"071HH112ETEU","071","HH112ETEU","282 East 3rd Street, 10009 - Exterior Upgrade","2400000","0.0","2400000","0.0","0.0","0.0","0.0","2400000","0.0","2026-06-01T00:00:00.000","2023-06-01T00:00:00.000","DHS","Department of Homeless Services","Fixed Asset","fisa_2023","MULTIPOINT ((-73.99087458723787 40.725802697534846))"
"071HH112FAFC","071","HH112FAFC","FRANKLIN'S WOMEN'S SHELTER - FACADE REHABILITATION","1693000","0.0","1693000","0.0","0.0","0.0","0.0","1693000","0.0","2025-06-01T00:00:00.000","2023-06-01T00:00:00.000","DHS","Department of Homeless Services","Fixed Asset","fisa_2023","MULTIPOINT ((-73.90526960790788 40.82815067541224))"
"071HH112FWBA","071","HH112FWBA","FORT WASHINGTON ARMORY-","2401000","0.0","2401000","0.0","0.0","0.0","0.0","2401000","79500","2025-06-01T00:00:00.000","2017-12-04T00:00:00.000","DHS","Department of Homeless Services",,"fisa_2023","MULTIPOINT ((-73.94129359629409 40.842117673647664))"
"850PWDNJUMBO","850","PWDNJUMBO","THE ARMORY FOUNDATION - JUMBOTRON & INFIELD TRACK","1100000","0.0","1100000","0.0","0.0","0.0","0.0","1100000","0.0","2023-06-01T00:00:00.000","2023-06-01T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.94130292242892 40.84213082649372))"
"850PWDNRIBON","850","PWDNRIBON","The Armory Foundation-LED Ribbon Install","1000000","0.0","1000000","0.0","0.0","0.0","0.0","1000000","0.0","2031-06-01T00:00:00.000","2031-06-01T00:00:00.000","DDC","Department of Design and Construction",,"fisa_2023","MULTIPOINT ((-73.94130292242892 40.84213082649372))"
"071HH112PJBP","071","HH112PJBP","PAMOJA HOUSE INSTALLATION OF BLACK FLOW PREVENTER","146000","0.0","146000","0.0","0.0","0.0","0.0","146000","154276.76","2029-06-01T00:00:00.000","2016-03-09T00:00:00.000","DHS","Department of Homeless Services","Fixed Asset","fisa_2023","MULTIPOINT ((-73.93727860704891 40.68511670447426))"
"071HH112PJRR","071","HH112PJRR","PAMOJA HOUSE - ROOF REPLACEMENT","3982000","0.0","3982000","0.0","0.0","0.0","0.0","3982000","4711728.46","2026-06-01T00:00:00.000","2015-07-29T00:00:00.000","DHS","Department of Homeless Services","Fixed Asset","fisa_2023","MULTIPOINT ((-73.93727860704891 40.68511670447426))"
"071HH112PREK","071","HH112PREK","RENOVATION AND IMPROVEMENTS TO THE PARK SLOPE ARMORY","1500000","0.0","1500000","0.0","0.0","0.0","0.0","1500000","0.0","2025-06-01T00:00:00.000","2025-06-01T00:00:00.000","DHS","Department of Homeless Services","Fixed Asset","fisa_2023","MULTIPOINT ((-73.98292459329582 40.66289170969424))"
"071HH115JCFA","071","HH115JCFA","JENNIE CLARKE BACKFLOW PREVENTER","300000","0.0","300000","0.0","0.0","0.0","0.0","300000","0.0","2029-06-01T00:00:00.000","2025-06-01T00:00:00.000","DHS","Department of Homeless Services",,"fisa_2023","MULTIPOINT ((-73.94842659699964 40.78840168464339))"
"850PWDNDRUGG","850","PWDNDRUGG","National Association on Drug Abuse Problems NYS, INC.","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2026-06-01T00:00:00.000","2026-06-01T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-73.97648125423224 40.750151543278065))"
"850PWDNDRUGS","850","PWDNDRUGS","NATIONAL ASSOCIATION ON DRUG ABUSE PROBLEMS","146000","0.0","146000","0.0","0.0","0.0","0.0","146000","0.0","2030-06-01T00:00:00.000","2030-06-01T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-73.97648125423224 40.750151543278065))"
"850PWDNFORTN","850","PWDNFORTN","FORTUNE SOCIETY","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","176156.0","2026-06-01T00:00:00.000","2013-07-01T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-74.00078137315622 40.716086059873966))"
"850PWDNPHPPS","850","PWDNPHPPS","Phipps Community Development Corporation","93000","0.0","93000","0.0","0.0","0.0","0.0","93000","0.0","2030-06-01T00:00:00.000","2030-06-01T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-73.88369423185712 40.842562436485))"
