"license_nbr","lic_status","business_name","business_name2","building","street","city","state","zip","swc_type","swc_sq_ft","swc_tables","swc_chairs","dohmh","final_x","final_y","community_district","city_council_district","cd_url","app_id","app_swc_type","app_sq_ft","app_tables","app_chairs","app_status","app_status_date","expiration_date","app_too_date","submit_date","intake","intake_dd","dpqa","send_package_dd","cp","cp_dd","cb","cb_dd","hearing","hearing_dd","hearing_public","hearing_public_dd","cc","cc_dd","moo","moo_dd","issuance","issuance_dd"
"0882869-DCA","Inactive","LIRA OF NEW YORK, INC.","LUKE'S BAR & GRILL","1394","3RD AVE","NEW YORK","NY","10075","Unenclosed","98","4","8","40391060","996091","221513","108","5","http://www.cb8m.com/","26463-2019-RSWC","Unenclosed","98","4","8","Pending Review","2020-03-03T00:00:00.000","2020-06-03T00:00:00.000","2020-06-03T00:00:00.000","2019-09-12T00:00:00.000","Ready For Review","2019-09-12T00:00:00.000","Issued Temp Op Letter","2019-09-12T00:00:00.000","Pending Review","2019-09-12T00:00:00.000","Recommend Approval","2019-10-31T00:00:00.000","Waived","2019-11-07T00:00:00.000","NULL",,"Review Period Expired","2019-11-28T00:00:00.000","Pending Review",,"Pending Review",
"0885830-DCA","Inactive","KEM REST., INC.","DON GIOVANNI","214","10TH AVE","NEW YORK","NY","10011","Unenclosed","390","12","34","40393591","983071","211565","104","3","http://www.nyc.gov/mcb4","35179-2019-RSWC","Unenclosed","390","12","34","Pending Review","2020-06-12T00:00:00.000","2020-09-13T00:00:00.000","2020-09-13T00:00:00.000","2019-12-12T00:00:00.000","Ready For Review","2019-12-12T00:00:00.000","Issued Temp Op Letter","2019-12-12T00:00:00.000","Pending Review","2019-12-12T00:00:00.000","Review Period Expired","2020-02-13T00:00:00.000","Waived","2020-02-13T00:00:00.000","NULL",,"Review Period Expired","2020-03-05T00:00:00.000","Pending Review",,"Pending Review",
"0916146-DCA","Inactive","HUSSIEN ENVIRONMENT, INC.","CLEOPATRAS NEEDLE","2483","BROADWAY","NEW YORK","NY","10025","Enclosed","228","9","16","40390186","991528","227994","107","6","http://www.nyc.gov/mcb7","8475-2018-RSWC","Enclosed","228","9","16","Pending Review","2020-03-11T00:00:00.000","2020-06-30T00:00:00.000","2020-06-30T00:00:00.000","2018-05-15T00:00:00.000","Ready For Review","2018-05-15T00:00:00.000","Issued Temp Op Letter","2018-05-18T00:00:00.000","Pending Review","2018-05-18T00:00:00.000","Pending Review","2018-05-18T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"0940252-DCA","Inactive","CARMINE'S BROADWAY FEAST INC.","NULL","2450","BROADWAY","NEW YORK","NY","10024","Unenclosed","264","7","22","40811162","991439","227488","107","6","http://www.nyc.gov/mcb7","34809-2019-RSWC","Unenclosed","264","7","22","Pending Review","2020-03-03T00:00:00.000","2020-04-03T00:00:00.000","2020-04-03T00:00:00.000","2019-12-09T00:00:00.000","Ready For Review","2019-12-09T00:00:00.000","Issued Temp Op Letter","2019-12-09T00:00:00.000","Pending Review","2019-12-09T00:00:00.000","Pending Review","2019-12-09T00:00:00.000","Pending Review",,"SWC Public Hearing","2020-01-29T00:00:00.000","Pending Review",,"Pending Review",,"Pending Review",
"0945762-DCA","Inactive","136 WEST BROADWAY, INC.","EDWARD'S","136","W BROADWAY","NEW YORK","NY","10013","Unenclosed","96","6","12","40538189","981951","200488","101","1","http://www.nyc.gov/html/mancb1/html/home/home.shtml","35882-2019-RSWC","Unenclosed","153","6","12","Pending Review","2020-01-24T00:00:00.000","2020-04-24T00:00:00.000","2020-04-24T00:00:00.000","2019-12-19T00:00:00.000","Ready For Review","2019-12-19T00:00:00.000","Issued Temp Op Letter","2019-12-23T00:00:00.000","Pending Review","2019-12-23T00:00:00.000","Review Period Expired","2020-02-19T00:00:00.000","Waived","2020-02-19T00:00:00.000","NULL",,"Review Period Expired","2020-03-11T00:00:00.000","Pending Review",,"Pending Review",
"0949696-DCA","Inactive","THREE DECKER RESTAURANT, LTD.","THREE DECKER RESTAURANT","1746","2ND AVE","NEW YORK","NY","10128","Enclosed","414","14","28","40401821","998278","223764","108","5","http://www.cb8m.com/","6574-2020-RSWC","Enclosed","414","14","28","Pending Review","2020-06-19T00:00:00.000","2020-07-18T00:00:00.000","2020-07-18T00:00:00.000","2020-06-18T00:00:00.000","Ready For Review","2020-06-19T00:00:00.000","Issued Temp Op Letter",,"Pending Review","2020-06-19T00:00:00.000","Pending Review",,"Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"0953744-DCA","Inactive","442 AMSTERDAM REST., CORP.","THE GIN MILL","442","AMSTERDAM AVE","NEW YORK","NY","10024","Unenclosed","180","8","14","40551234","990511","225186","107","6","http://www.nyc.gov/mcb7","413-2020-RSWC","Unenclosed","180","8","14","Pending Review","2020-04-06T00:00:00.000","2020-07-06T00:00:00.000","2020-07-06T00:00:00.000","2020-01-10T00:00:00.000","Ready For Review","2020-01-10T00:00:00.000","Issued Temp Op Letter","2020-01-10T00:00:00.000","Pending Review","2020-01-10T00:00:00.000","Pending Review","2020-01-10T00:00:00.000","Pending Review",,"SWC Public Hearing","2020-02-26T00:00:00.000","Pending Review",,"Pending Review",,"Pending Review",
"0959237-DCA","Inactive","MOHECO, INC.","NULL","3290","36TH ST","ASTORIA","NY","11106","Unenclosed","289","11","26","40561796","1005695","215463","401","22","http://www.nyc.gov/html/qnscb1/html/home/home.shtml","17932-2019-RSWC","Unenclosed","289","11","26","Pending Review","2019-12-30T00:00:00.000","2020-03-31T00:00:00.000","2020-03-31T00:00:00.000","2019-04-16T00:00:00.000","Ready For Review","2019-04-16T00:00:00.000","Issued Temp Op Letter","2019-04-16T00:00:00.000","Pending Review","2019-04-16T00:00:00.000","Recommend Approval","2019-05-30T00:00:00.000","Pending Review",,"SWC Public Hearing","2019-06-05T00:00:00.000","Pending Review",,"Pending Review",,"Pending Review",
"0960499-DCA","Inactive","A.B.C. HOME FURNISHINGS, INC.","ABC COCINA","38","E 19TH ST","NEW YORK","NY","10003","Unenclosed","432","19","42","41162796","987177","208146","105","2","http://www.cb5.org","26426-2019-RSWC","Unenclosed","432","19","42","Pending Review","2020-06-05T00:00:00.000","2020-08-31T00:00:00.000","2020-08-31T00:00:00.000","2019-09-11T00:00:00.000","Ready For Review","2019-09-11T00:00:00.000","Issued Temp Op Letter","2019-09-11T00:00:00.000","Pending Review","2019-09-11T00:00:00.000","Recommend Approval","2019-09-20T00:00:00.000","Pending Review",,"SWC Public Hearing","2019-10-30T00:00:00.000","Pending Review",,"Pending Review",,"Pending Review",
"0970343-DCA","Inactive","C.S.L.L. REST. CORP.","EJ'S LUNCHEONETTE","1271","3RD AVE","NEW YORK","NY","10021","Enclosed","380","12","24","40393378","995367","219972","108","4","http://www.cb8m.com/","9093-2018-RSWC","Enclosed","380","12","24","Pending Review","2019-06-26T00:00:00.000","2019-11-15T00:00:00.000","2019-11-15T00:00:00.000","2018-06-04T00:00:00.000","Ready For Review","2018-06-04T00:00:00.000","Issued Temp Op Letter","2018-06-04T00:00:00.000","Pending Review","2018-06-04T00:00:00.000","Pending Review","2018-06-04T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"0978960-DCA","Inactive","ST. JAMES ASSOCIATES, L.P.","SMITH & WOLLENSKY","201","E 49TH ST","NEW YORK","NY","10017","Unenclosed","214","8","16","40370766","992331","214411","106","4","http://cbsix.org","23807-2014-RSWC","Unenclosed","214","8","16","Pending Review","2019-12-11T00:00:00.000","2020-03-15T00:00:00.000","2020-03-15T00:00:00.000","2017-08-14T00:00:00.000","Ready For Review","2014-11-18T00:00:00.000","Issued Temp Op Letter","2014-11-18T00:00:00.000","Pending Review","2014-11-18T00:00:00.000","Recommend Approval","2015-01-09T00:00:00.000","Recommendation Issued","2015-01-09T00:00:00.000","SWC Public Hearing",,"Review Period Expired","2015-06-01T00:00:00.000","Pending Review","2015-06-01T00:00:00.000","Pending Review",
"0978961-DCA","Inactive","ST. JAMES ASSOCIATES, L.P.","SMITH & WOLLENSKY","201","E 49TH ST","NEW YORK","NY","10017","Enclosed","334","12","24","40370766","992331","214411","106","4","http://cbsix.org","116-2013-RSWC","Enclosed","334","12","24","Pending Review","2019-09-03T00:00:00.000","2020-03-05T00:00:00.000","2020-03-05T00:00:00.000","2019-08-30T00:00:00.000","NULL",,"Issued Temp Op Letter",,"Proceed","2015-03-13T00:00:00.000","Recommend Approval","2015-04-14T00:00:00.000","Recommendation Issued","2015-04-14T00:00:00.000","SWC Public Hearing",,"NULL",,"NULL",,"NULL",
"0987452-DCA","Inactive","UKATOSH CORPORATION","NULL","3102","36TH AVE","ASTORIA","NY","11106","Enclosed","289","7","14","40551807","1003733","214830","401","26","http://www.nyc.gov/html/qnscb1/html/home/home.shtml","9322-2018-RSWC","Enclosed","289","7","14","Pending Review","2019-12-17T00:00:00.000","2020-05-17T00:00:00.000","2020-05-17T00:00:00.000","2018-06-12T00:00:00.000","Ready For Review","2018-06-18T00:00:00.000","Issued Temp Op Letter","2018-06-18T00:00:00.000","Pending Review","2018-06-18T00:00:00.000","Pending Review","2018-06-18T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"1000314-DCA","Inactive","BROADWAY DESSERTS, LTD.","NULL","2340","BROADWAY","NEW YORK","NY","10024","Unenclosed","480","21","48","40401093","990617","226122","107","6","http://www.nyc.gov/mcb7","385-2020-RSWC","Unenclosed","480","21","48","Pending Review","2020-05-28T00:00:00.000","2020-06-30T00:00:00.000","2020-06-30T00:00:00.000","2020-01-09T00:00:00.000","Ready For Review","2020-01-09T00:00:00.000","Issued Temp Op Letter","2020-01-10T00:00:00.000","Pending Review","2020-01-10T00:00:00.000","Review Period Expired","2020-03-12T00:00:00.000","Waived","2020-03-12T00:00:00.000","NULL",,"Review Period Expired","2020-04-02T00:00:00.000","Pending Review",,"Pending Review",
"1022739-DCA","Inactive","TERMINUS RESTAURANT ASSOCIATES LLC","ORSAY RESTAURANT","1057","LEXINGTON AVE","NEW YORK","NY","10021","Enclosed","371","14","28","40716489","995171","220679","108","4","http://www.cb8m.com/","6572-2018-RSWC","Enclosed","371","14","28","Pending Review","2020-02-24T00:00:00.000","2020-08-24T00:00:00.000","2020-08-24T00:00:00.000","2018-04-12T00:00:00.000","Ready For Review","2018-04-16T00:00:00.000","Issued Temp Op Letter","2018-06-18T00:00:00.000","Proceed Objections Cured","2020-01-24T00:00:00.000","Review Period Expired","2020-01-24T00:00:00.000","Waived","2020-01-24T00:00:00.000","NULL",,"Review Period Expired","2020-02-14T00:00:00.000","Pending Review",,"Pending Review",
"1025932-DCA","Inactive","KITCHEN TABLE, INC.","FRANK RESTAURANT","88","2ND AVE","NEW YORK","NY","10003","Unenclosed","187","8","18","I a40624607","987362","204072","103","2","http://www.nyc.gov/manhattancb3","1726-2020-RSWC","Unenclosed","187","8","18","Pending Review","2020-03-10T00:00:00.000","2020-02-23T00:00:00.000","2020-02-23T00:00:00.000","2020-01-24T00:00:00.000","Ready For Review","2020-01-24T00:00:00.000","Issued Temp Op Letter","2020-01-27T00:00:00.000","Pending Review","2020-01-27T00:00:00.000","Pending Review","2020-01-27T00:00:00.000","Pending Review",,"SWC Public Hearing","2020-03-18T00:00:00.000","Pending Review",,"Pending Review",,"Pending Review",
"1026947-DCA","Inactive","COSITAS RICAS CORP.","NULL","7919","ROOSEVELT AVE","JACKSON HTS","NY","11372","Enclosed","294","10","28","40729439","1015778","211680","403","25","http://www.cb3qn.nyc.gov/","6564-2020-RSWC","Enclosed","294","10","28","Pending Review","2020-06-18T00:00:00.000","2020-07-18T00:00:00.000","2020-07-18T00:00:00.000","2020-06-18T00:00:00.000","Ready For Review","2020-06-18T00:00:00.000","Issued Temp Op Letter",,"Pending Review","2020-06-18T00:00:00.000","Pending Review",,"Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"1027125-DCA","Inactive","HARU AMSTERDAM AVENUE CORP.","HARU","433","AMSTERDAM AVE","NEW YORK","NY","10024","Unenclosed","291","7","22","40733383","990507","224976","107","6","http://www.nyc.gov/mcb7","3579-2020-RSWC","Unenclosed","291","7","22","Pending Review","2020-06-18T00:00:00.000","2020-09-18T00:00:00.000","2020-09-18T00:00:00.000","2020-02-20T00:00:00.000","Ready For Review","2020-02-25T00:00:00.000","Issued Temp Op Letter",,"Pending Review","2020-02-25T00:00:00.000","Pending Review","2020-03-27T00:00:00.000","Pending Review","2020-03-27T00:00:00.000","NULL",,"Pending Review","2020-03-27T00:00:00.000","Pending Review","2020-03-27T00:00:00.000","Pending Review",
"1035738-DCA","Inactive","MILL KOREAN RESTAURANT INC.","NULL","2895","BROADWAY","NEW YORK","NY","10025","Unenclosed","168","7","18","40512129","993768","232947","109","7","http://www.cb9m.org","35050-2019-RSWC","Unenclosed","168","7","18","Pending Review","2019-12-11T00:00:00.000","2020-03-11T00:00:00.000","2020-03-11T00:00:00.000","2019-12-11T00:00:00.000","Ready For Review","2019-12-11T00:00:00.000","Under Review","2019-12-11T00:00:00.000","Pending Review","2019-12-11T00:00:00.000","Recommend Approval","2020-01-22T00:00:00.000","Waived","2020-02-13T00:00:00.000","NULL",,"Review Period Expired","2020-03-05T00:00:00.000","Pending Review",,"Pending Review",
"1072082-DCA","Inactive","CLASSIC FOOD INC","NULL","267","COLUMBUS AVE","NEW YORK","NY","10023","Unenclosed","102","3","6","40751933","990212","222561","107","6","http://www.nyc.gov/mcb7","35279-2019-RSWC","Unenclosed","102","3","6","Pending Review","2020-02-20T00:00:00.000","2020-05-31T00:00:00.000","2020-05-31T00:00:00.000","2019-12-12T00:00:00.000","Ready For Review","2019-12-12T00:00:00.000","Issued Temp Op Letter","2019-12-13T00:00:00.000","Pending Review","2019-12-13T00:00:00.000","Review Period Expired","2020-02-13T00:00:00.000","Waived","2020-02-13T00:00:00.000","NULL",,"Review Period Expired","2020-03-05T00:00:00.000","Pending Review",,"Pending Review",
"1072629-DCA","Inactive","LUNELLA RISTORANTE, INC.","LUNELLA","173","MULBERRY ST","NEW YORK","NY","10013","Unenclosed","110","4","8","40812973","985054","201631","102","1","http://www.nyc.gov/manhattancb2","27290-2019-RSWC","Unenclosed","110","4","8","Pending Review","2020-03-04T00:00:00.000","2020-04-04T00:00:00.000","2020-04-04T00:00:00.000","2019-09-20T00:00:00.000","Ready For Review","2019-09-20T00:00:00.000","Issued Temp Op Letter","2019-09-20T00:00:00.000","Pending Review","2019-09-20T00:00:00.000","Review Period Expired","2019-11-27T00:00:00.000","Waived","2019-11-27T00:00:00.000","NULL",,"Review Period Expired","2019-12-18T00:00:00.000","Pending Review",,"Pending Review",
"1075763-DCA","Inactive","BROADWAY & 166TH, L.L.C.","DALLAS BBQ","3956","BROADWAY","NEW YORK","NY","10032","Enclosed","411","19","48","40752294","1000693","245041","112","10","http://www.nyc.gov/html/mancb12/html/home/home.shtml","19120-2019-RSWC","Enclosed","411","19","48","Pending Review","2019-12-24T00:00:00.000","2020-05-31T00:00:00.000","2020-05-31T00:00:00.000","2019-05-02T00:00:00.000","Ready For Review","2019-05-02T00:00:00.000","Issued Temp Op Letter","2019-05-02T00:00:00.000","Proceed","2020-01-24T00:00:00.000","Review Period Expired","2020-01-24T00:00:00.000","Waived","2020-01-24T00:00:00.000","NULL",,"Review Period Expired","2020-02-14T00:00:00.000","Pending Review",,"Pending Review",
"1076713-DCA","Inactive","I MALATESTA TRATTORIA INC.","MALATESTA TRATTORIA","649","WASHINGTON ST","NEW YORK","NY","10014","Unenclosed","333","18","35","40634937","981895","206271","102","3","http://www.nyc.gov/manhattancb2","3070-2013-RSWC","Unenclosed","333","18","35","Pending Review","2020-06-17T00:00:00.000","2020-09-25T00:00:00.000","2020-09-25T00:00:00.000","2018-11-16T00:00:00.000","Ready For Review","2013-11-22T00:00:00.000","Issued Temp Op Letter","2016-06-09T00:00:00.000","Pending Review","2013-11-22T00:00:00.000","Recommend Approval","2016-07-27T00:00:00.000","Recommendation Issued","2014-01-17T00:00:00.000","SWC Public Hearing","2016-07-27T00:00:00.000","Review Period Expired","2015-06-01T00:00:00.000","Pending Review","2015-06-01T00:00:00.000","Pending Review",
"1092103-DCA","Inactive","RAJMAR HOLDINGS, INC.","HUDSON BAR AND BOOKS","636","HUDSON ST","NEW YORK","NY","10014","Unenclosed","80","4","8","40573715","982757","208375","102","3","http://www.nyc.gov/manhattancb2","26999-2019-RSWC","Unenclosed","80","4","8","Pending Review","2020-05-29T00:00:00.000","2020-07-26T00:00:00.000","2020-07-26T00:00:00.000","2019-09-18T00:00:00.000","Ready For Review","2019-09-18T00:00:00.000","Issued Temp Op Letter","2019-09-19T00:00:00.000","Pending Review","2019-09-19T00:00:00.000","Review Period Expired","2020-04-17T00:00:00.000","Waived","2020-04-17T00:00:00.000","NULL",,"Review Period Expired","2020-05-08T00:00:00.000","Pending Review",,"Pending Review",
"1094184-DCA","Inactive","DANA'S LLC","NULL","630","9TH AVE","NEW YORK","NY","10036","Unenclosed","565","24","46","40847325","986658","216134","104","3","http://www.nyc.gov/mcb4","34985-2019-RSWC","Unenclosed","565","24","46","Pending Review","2020-05-28T00:00:00.000","2020-08-31T00:00:00.000","2020-08-31T00:00:00.000","2019-12-10T00:00:00.000","Ready For Review","2019-12-10T00:00:00.000","Issued Temp Op Letter","2019-12-10T00:00:00.000","Pending Review","2019-12-10T00:00:00.000","Review Period Expired","2020-01-29T00:00:00.000","Waived","2020-01-29T00:00:00.000","NULL",,"Review Period Expired","2020-02-19T00:00:00.000","Pending Review",,"Pending Review",
"1101272-DCA","Inactive","659 REST. INC.","MERCURY BAR","659","9TH AVE","NEW YORK","NY","10036","Unenclosed","126","4","8","40677553","986729","216488","104","3","http://www.nyc.gov/mcb4","34101-2019-RSWC","Unenclosed","126","4","8","Pending Review","2020-05-28T00:00:00.000","2020-07-20T00:00:00.000","2020-07-20T00:00:00.000","2019-12-02T00:00:00.000","Ready For Review","2019-12-02T00:00:00.000","Issued Temp Op Letter","2019-12-03T00:00:00.000","Pending Review","2019-12-03T00:00:00.000","Review Period Expired","2020-01-24T00:00:00.000","Waived","2020-01-24T00:00:00.000","NULL",,"Review Period Expired","2020-02-14T00:00:00.000","Pending Review",,"Pending Review",
"1103894-DCA","Inactive","31ST STREET PIZZA PALACE, INC.","PIZZA PALACE","2929","DITMARS BLVD","ASTORIA","NY","11105","Enclosed","341","14","30","40764527","1008863","222185","401","22","http://www.nyc.gov/html/qnscb1/html/home/home.shtml","9466-2018-RSWC","Enclosed","341","14","30","Pending Review","2020-06-11T00:00:00.000","2020-07-31T00:00:00.000","2020-07-31T00:00:00.000","2018-06-15T00:00:00.000","Ready For Review","2018-06-15T00:00:00.000","Issued Temp Op Letter","2018-06-18T00:00:00.000","Pending Review","2018-06-18T00:00:00.000","Pending Review","2018-06-18T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"1104424-DCA","Inactive","160 BISTRO INC.","LE SINGE VERT","160","7TH AVE","NEW YORK","NY","10011","Unenclosed","249","17","36","40576554","984981","209681","104","3","http://www.nyc.gov/mcb4","337-2020-RSWC","Unenclosed","249","17","36","Pending Review","2020-05-28T00:00:00.000","2020-06-28T00:00:00.000","2020-06-28T00:00:00.000","2020-01-09T00:00:00.000","Ready For Review","2020-01-09T00:00:00.000","Issued Temp Op Letter","2020-01-09T00:00:00.000","Pending Review","2020-01-09T00:00:00.000","Pending Review","2020-01-09T00:00:00.000","Pending Review",,"SWC Public Hearing","2020-02-26T00:00:00.000","Pending Review",,"Pending Review",,"Pending Review",
"1110042-DCA","Inactive","C & C FIRST AVE. CORP.","BAR COASTAL","1495","1ST AVE","NEW YORK","NY","10075","Enclosed","280","7","24","40746574","997192","220499","108","5","http://www.cb8m.com/","8191-2018-RSWC","Enclosed","280","7","24","Pending Review","2019-06-11T00:00:00.000","2019-12-15T00:00:00.000","2019-12-15T00:00:00.000","2018-05-09T00:00:00.000","Ready For Review","2018-05-09T00:00:00.000","Issued Temp Op Letter","2018-05-09T00:00:00.000","Pending Review","2018-05-09T00:00:00.000","Pending Review","2018-05-09T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
