"entityid","schoolname","number","street","city","state","borough","zipcode","lastinspection","permittee","inspectiondate","ptet","site_type","level","code","violationdescription","latitude","longitude","communityboard","councildistrict","censustract","bin","bbl","nta","borocode"
"40403839","TRINITY SCHOOL","139","WEST   91 STREET","New York","NY","Manhattan","10024","2022-12-01T00:00:00.000","FLIK INTERNATIONAL CORPORATION","2022-12-01T00:00:00.000","2529","FSE (Private School Cafeteria - For Profit)","C","04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.","40.790516500925","-73.971845671889","107","06","017700","1032497","1012220012","MN12","1"
"50018873","PS/IS 78Q, THE RIVERVIEW SCHOOL @ Q312","46-08","5 STREET","Long Island City","NY","Queens","11101","2023-01-31T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-01-27T00:00:00.000","2530","FSE (Public School Cafeteria)","C","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","40.747061693019","-73.955143532373","402","26","000100","4542629","4000210030","QN31","4"
"40543386","P.S. 150 QUEENS","4001","43 AVENUE","SUNNYSIDE","NY","Queens","11104","2022-12-02T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2020-12-08T00:00:00.000","2530","FSE (Public School Cafeteria)","G","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","40.745530032869","-73.923775712759","402","26","018101","4002387","4001850001","QN31","4"
"40543533","P.S. 152 EVERGREEN","1007","EVERGREEN AVENUE","Bronx","NY","Bronx","10472","2023-03-23T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2023-03-23T00:00:00.000","2530","FSE (Public School Cafeteria)","G","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","40.824047515207","-73.880037844184","209","17","005200","2023336","2037110001","BX55","2"
"50087158","PRE-K CENTER AT 108-18 ROOSEVELT AVENUE","10818","ROOSEVELT AVE","CORONA","NY","Queens","11368","2022-11-17T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-11-17T00:00:00.000","2530","FSE (Public School Cafeteria)",,,,"40.750836613625","-73.858301891247","404","21","040100","4000000","4019960011","QN26","4"
"50000503","PS/MS 11X498 - VAN NEST ACADEMY, P.S. X596 AT X498, ICAHN CHARTER SCHOOL 2","1640","BRONXDALE AVENUE","Bronx","NY","Bronx","10462","2023-02-02T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-07-19T00:00:00.000","2530","FSE (Public School Cafeteria)","C","04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.","40.844723483034","-73.858205947521","211","13","024400","2116414","2040910001","BX37","2"
"40737453","BAIS ESTHER SCHOOL","1353","50 STREET","Brooklyn","NY","Brooklyn","11219","2022-11-22T00:00:00.000","ESTHER SCHOOL BAIS","2022-02-28T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","C","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","40.633774155589","-73.991544073013","312","44","023600","3137766","3056420053","BK88","3"
"40740820","BETH JACOB ES","142","BROOME STREET","New York","NY","Manhattan","10002","2023-02-22T00:00:00.000","BETH JACOB ES","2021-05-24T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","C","04A","Food Protection Certificate not held by supervisor of food operations.","40.716281337248","-73.984152940575","103","01","001200","1004079","1003420065","MN28","1"
"40734760","MESIVTA NACHLAS YAKOV OF ADAS YEREIM","185","WILSON STREET","Brooklyn","NY","Brooklyn","11211","2023-02-16T00:00:00.000","MESIVTA NACHLAS YAKOV OF ADAS YEREIM","2021-05-25T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","C","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","40.70674299445","-73.960353776104","301","33","053500","3059912","3021780006","BK72","3"
"50105530","YESHIVAT MEKOR HAIM","1326","OCEAN PARKWAY","Brooklyn","NY","Brooklyn","11230","2022-05-16T00:00:00.000","CONGREGATION SHAARI TEFILOH OF KINGS HIGHWAY","2021-02-04T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","C","04A","Food Protection Certificate not held by supervisor of food operations.","40.616195412964","-73.968969512382","312","44","044400","3172885","3065680021","BK46","3"
"40543524","P.S. 001 COURTLANDT SCHOOL","335","EAST  152 STREET","Bronx","NY","Bronx","10451","2023-01-26T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2023-01-26T00:00:00.000","2530","FSE (Public School Cafeteria)","G","10B","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.","40.818808951376","-73.919009105765","201","17","006700","2001881","2024110119","BX34","2"
"40894158","ST. FRANCIS DE SALES SCHOOL FOR THE DEAF","260","EASTERN PARKWAY","Brooklyn","NY","Brooklyn","11225","2022-12-02T00:00:00.000","ST. FRANCIS DE SALES SCHOOL FOR THE DEAF","2022-03-10T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","C","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","40.671140489315","-73.960230825027","309","35","021300","3029670","3011850001","BK63","3"
"50034846","TREVOR DAY SCHOOL","312","EAST   95 STREET","New York","NY","Manhattan","10128","2022-12-13T00:00:00.000","TREVOR DAY SCHOOL","2022-12-13T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)",,,,"40.783319226417","-73.947026783724","108","05","015601","1089945","1015570041","MN32","1"
"40540346","P.S. 003 THE MARGARET GIOIOSA SCHOOL","80","SOUTH GOFF AVENUE","NULL","NY","Staten Island","10309","2022-12-07T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2021-05-11T00:00:00.000","2530","FSE (Public School Cafeteria)",,,,"40.520691639347","-74.211262391954","503","51","019800","5083311","5067960044","SI01","5"
"50105986","NEW WORLD PREPARATORY SCHOOL","351","MORNINGSTAR ROAD","NULL","NY","Staten Island","10303","2023-01-17T00:00:00.000","New World Preparatory Charter School","2023-01-17T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","AV","18-11","Food Protection Certificate not available for inspection","40.630086866015","-74.147269865977","501","49","024700","5107102","5011360063","SI28","5"
"40545915","P.S. 376","194","HARMAN STREET","Brooklyn","NY","Brooklyn","11237","2022-08-04T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-07-22T00:00:00.000","2530","FSE (Public School Cafeteria)","C","04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.","40.69801327266","-73.920710753902","304","37","043100","3075072","3032870001","BK77","3"
"50102107","P.S. 398","3601","34TH ST","ASTORIA","NY","Queens","11106","2023-02-09T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2023-02-09T00:00:00.000","2530","FSE (Public School Cafeteria)",,,,"40.755185810469","-73.927558163103","401","26","005500",,"4","QN68","4"
"40542517","P.S. 169 SUNSET PARK","4305","7 AVENUE","Brooklyn","NY","Brooklyn","11232","2023-03-01T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2023-03-01T00:00:00.000","2530","FSE (Public School Cafeteria)","C","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","40.646282422086","-74.001902671354","307","38","009200","3011002","3007320001","BK34","3"
"50071632","UNITED TALMUDICAL ACADEMY OF BORO PARK","1275","36 STREET","Brooklyn","NY","Brooklyn","11218","2022-11-22T00:00:00.000","UNITED TALMUDICAL ACADEMY OF BORO PARK","2021-02-18T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","G","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","40.642444236176","-73.984880401446","312","39","049600","3413703","3053100001","BK41","3"
"40542889","NEW VISIONS AIM CHARTER HIGH SCHOOL II, ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX, BRONX REGIONAL","1010","REVEREND JAMES A POLITE AVENUE","Bronx","NY","Bronx","10459","2023-02-01T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2020-11-19T00:00:00.000","2530","FSE (Public School Cafeteria)",,,,"40.823524924549","-73.898870696587","202","17","012901","2005366","2026980012","BX33","2"
"40542830","P.S. 179 KENSINGTON","202","AVENUE C","Brooklyn","NY","Brooklyn","11218","2023-03-16T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2021-02-26T00:00:00.000","2530","FSE (Public School Cafeteria)","G","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","40.640455830258","-73.977641967786","312","39","048800","3126001","3053710001","BK41","3"
"41470005","RAZI SCHOOL","5511","QUEENS BOULEVARD","WOODSIDE","NY","Queens","11377","2022-12-06T00:00:00.000","SCHOOL RAZI","2022-04-27T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","G","10C","Lighting Inadequate","40.742121816298","-73.909719939032","402","26","025100","4030990","4013250001","QN63","4"
"40735285","YESHIVA OHEL MOSHE","7914","BAY PARKWAY","Brooklyn","NY","Brooklyn","11214","2023-01-18T00:00:00.000","YESHIVA OHEL MOSHE","2022-05-10T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","A","20D","“Choking first aid” poster not posted. “Alcohol and pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.","40.605747025611","-73.989865807054","311","44","027000","3162913","3062760043","BK28","3"
"40734755","TALMUD TORAH IMREI CHAIM","1824","53 STREET","Brooklyn","NY","Brooklyn","11204","2023-02-02T00:00:00.000","TALMUD TORAH & YESHIVA IMREI CHAIM VIZNITZ","2021-08-05T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","G","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","40.625577214206","-73.982539060391","312","44","047200","3130270","3054800014","BK88","3"
"41519621","CHURCHILL SCHOOL & CENTER","301","EAST   29 STREET","New York","NY","Manhattan","10016","2022-10-27T00:00:00.000","BUTTER BEANS, INC","2021-02-19T00:00:00.000","2529","FSE (Private School Cafeteria - For Profit)",,,,"40.741578829907","-73.978012079032","106","02","007000","1081677","1009350006","MN20","1"
"40542985","I.S. 068 ISAAC BILDERSEE, EXPLORE EXCEL CHARTER SCHOOL - UPPER","956","EAST   82 STREET","Brooklyn","NY","Brooklyn","11236","2023-01-20T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-04-01T00:00:00.000","2530","FSE (Public School Cafeteria)","C","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","40.635545795348","-73.910790639898","318","46","095600","3224947","3080180001","BK50","3"
"50082117","OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY","7255","AUSTIN ST","FOREST HILLS","NY","Queens","11375","2022-12-16T00:00:00.000","OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY","2022-12-16T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","G","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","40.718697682559","-73.841202486251","406","29","073700","4443187","4032590005","QN17","4"
"40541251","THE CHILDRENS WORKSHOP SCHOOL, THE EAST VILLAGE COMMUNITY SCH, P.S. M094 @ CHILDREN'S WORKSHOP SCH","610","EAST   12 STREET","New York","NY","Manhattan","10009","2022-09-28T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-09-28T00:00:00.000","2530","FSE (Public School Cafeteria)","G","10B","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.","40.727885297268","-73.978525339015","103","02","002800","1079053","1003940012","MN28","1"
"50088609","ZETA CHARTER SCHOOL INWOOD I","652","WEST  187 STREET","New York","NY","Manhattan","10033","2023-02-17T00:00:00.000","ZETA CHARTER SCHOOLS - NEW YORK CITY","2021-05-05T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)",,,,"40.85368959337","-73.932536524523","112","10","027100","1075520","1021670056","MN35","1"
"40542743","P.S. 112 LEFFERTS PARK","7115","15 AVENUE","Brooklyn","NY","Brooklyn","11228","2022-12-19T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2021-04-19T00:00:00.000","2530","FSE (Public School Cafeteria)","G","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","40.619773324241","-74.000792463665","311","43","019000","3157760","3061800001","BK28","3"
"40542161","P.S. 158 WARWICK","400","ASHFORD STREET","Brooklyn","NY","Brooklyn","11207","2022-11-17T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2021-02-26T00:00:00.000","2530","FSE (Public School Cafeteria)","C","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","40.672571674352","-73.884803146612","305","37","115000","3089176","3040150001","BK82","3"
"40540736","M.S. 158 MARIE CURIE","4635","OCEANIA STREET","BAYSIDE","NY","Queens","11361","2023-01-25T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2023-01-25T00:00:00.000","2530","FSE (Public School Cafeteria)","G","10B","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.","40.756131188181","-73.772860513986","411","19","144700","4438325","4073120001","QN46","4"
"50130814","BROOKLYN SCHOLARS CHARTER SCHOOL","2635","LINDEN BOULEVARD","Brooklyn","NY","Brooklyn","11208","2023-01-09T00:00:00.000","SLA MANAGEMENT INC","2023-01-09T00:00:00.000","2529","FSE (Private School Cafeteria - For Profit)","G","10E","Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment","40.668830694867","-73.867189513024","305","42","120800","3327470","3044640025","BK82","3"
"40540836","I.S. 226 QUEENS","12110","ROCKAWAY BOULEVARD","SOUTH OZONE PARK","NY","Queens","11420","2022-10-25T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-10-25T00:00:00.000","2530","FSE (Public School Cafeteria)","G","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","40.675763381668","-73.816937899164","410","28","084000","4253607","4117140100","QN55","4"
"50095553","CENTRAL UTA","585","MARCY AVENUE","Brooklyn","NY","Brooklyn","11206","2023-01-12T00:00:00.000","BAIS RUCHEL D'SATMAR INC","2022-03-10T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","G","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.","40.695029366537","-73.94912748787","303","36","025901","3048637","3017557503","BK75","3"
"50045105","M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS","10","EAST   15 STREET","New York","NY","Manhattan","10003","2023-01-25T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-07-07T00:00:00.000","2530","FSE (Public School Cafeteria)",,,,"40.73651112827","-73.992725379312","105","02","005200","1089902","1008420034","MN13","1"
"41247191","BNOS MALKA ACADEMY","7102","113 STREET","FOREST HILLS","NY","Queens","11375","2023-01-05T00:00:00.000","MALKA ACADEMY BNOS","2022-05-19T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","C","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","40.723142783374","-73.838215482921","406","29","075702","4437364","4022460041","QN17","4"
"40543717","NORTH BRONX SCHOOL OF EMPOWERMENT, LEADERS OF TOMORROW","3710","BARNES AVENUE","Bronx","NY","Bronx","10467","2022-10-03T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-10-03T00:00:00.000","2530","FSE (Public School Cafeteria)","G","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","40.880866671921","-73.860902278622","212","12","039000","2058396","2046750020","BX44","2"
"40738821","MERKAZ HATORAH OF BELLE HARBOR","505","BEACH  129 STREET","Rockaway Park","NY","Queens","11694","2023-01-17T00:00:00.000","HATORAH OF BELL MERCAZ","2022-05-09T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","C","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.","40.580035276786","-73.850349751152","414","32","093401","4304071","4161970041","QN10","4"
"50005680","TALMUD TORAH OHEL YOCHANON","1325","38 STREET","Brooklyn","NY","Brooklyn","11218","2023-03-16T00:00:00.000","TALMUD TORAH OHEL YOCHANAN","2022-07-12T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","G","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","40.640758955067","-73.984992485372","312","39","022600","3328346","3053000062","BK88","3"
"50064787","YESHIVA TOLDOS YESUSCHER","1531","63 STREET","Brooklyn","NY","Brooklyn","11219","2022-05-03T00:00:00.000","YESHIVA TOLDOS YESUSCHER","2021-06-15T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","C","04A","Food Protection Certificate not held by supervisor of food operations.","40.624000190267","-73.995111629277","311","38","025000","3132691","3055300019","BK28","3"
"40542781","SHEEPSHEAD BAY HIGH SCHOOL","3000","AVENUE X","Brooklyn","NY","Brooklyn","11235","2022-08-03T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-08-03T00:00:00.000","2530","FSE (Public School Cafeteria)","G","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","40.594117326491","-73.937696767139","315","48","062600","3203631","3074250002","BK17","3"
"40541003","BENJAMIN N. CARDOZO HIGH SCHOOL, P.S. Q993","5700","223 STREET","OAKLAND GARDENS","NY","Queens","11364","2022-11-09T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2020-12-31T00:00:00.000","2530","FSE (Public School Cafeteria)","C","04M","Live roaches present in facility's food and/or non-food areas.","40.752325238145","-73.755989161635","411","23","138501","4161735","4075290001","QN42","4"
"50045973","CENTRAL UTA","401","PARK AVENUE","Brooklyn","NY","Brooklyn","11205","2023-01-12T00:00:00.000","BAIS RUCHEL DSATMAR INC","2023-01-12T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","C","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","40.696263714383","-73.961106526731","303","33","019100","3054188","3018810051","BK69","3"
