"summons_number","plate_id","registration_state","plate_type","issue_date","violation_code","vehicle_body_type","vehicle_make","issuing_agency","street_code1","street_code2","street_code3","vehicle_expiration_date","violation_location","violation_precinct","issuer_precinct","issuer_code","issuer_command","issuer_squad","violation_time","time_first_observed","violation_county","violation_in_front_of_or_opposite","house_number","street_name","intersecting_street","date_first_observed","law_section","sub_division","violation_legal_code","days_parking_in_effect","from_hours_in_effect","to_hours_in_effect","vehicle_color","unregistered_vehicle","vehicle_year","meter_number","feet_from_curb","violation_post_code","violation_description","no_standing_or_stopping_violation","hydrant_violation","double_parking_violation"
"1419332417","GZZ8508","NY","PAS","2028-10-23T00:00:00.000","98","SDN","TOYOT","P","29430","22530","22580","20190709","61","61","61","960331","0061","0000","0514A",,"K","F","89","CORBIN PL",,"0","408","K2",,"BBBBBBB","ALL","ALL","BLU","0","2015","-","0",,,,,
"1427065240","GNK7606","NY","PAS","2028-09-06T00:00:00.000","21","SUBN","ME/BE","S","0","0","0","20180227","6","6","0","494679","MN02","0000","0918A",,"NY","F","481","N WASHINGTON ST",,"0","408","D1",,"BYBBYBB","0900A","1030A","BLACK","0","2017","-","0",,,,,
"1402728803","GBJ4313","NY","PAS","2028-09-03T00:00:00.000","20","SDN","HYUND","P","25600","35780","13290","20181024","107","107","107","960410","0107","0000","0850A",,"Q","F","60-17 H","194 ST",,"0","408","D",,"BBBBBBB","ALL","ALL","BLACK","0","2015","-","0",,,,,
"1440442680","24738ME","NY","COM","2028-06-18T00:00:00.000","78","VAN","FORD","P","36190","44490","47490","20200531","104","104","104","936752","0104","0000","1015P",,"Q","F","2022","BLEECKER ST",,"0","408","F2",,"BBBBBBB","ALL","ALL","BLUE","0","2014","-","0",,,,,
"1425143192","HMY8388","NY","PAS","2028-05-06T00:00:00.000","17","TWOD","TOYOT","P","24390","45490","14285","20190213","1","1","110","350377","T110","0000","1100A",,"NY","F","45","LAFAYETTE ST",,"0","408","J6",,"BBBBBBB","ALL","ALL","GY","0","2014","-","0",,,,,
"1438415291","ZCX49W","NJ","PAS","2028-04-27T00:00:00.000","95","VAN","FORD","P","51930","59640","72760","0","94","94","94","956884","0094","0000","0322P",,"K","O","218","INDIA STREET",,"0","408","J3",,"BBBBBBB","ALL","ALL","WHT","0","0","-","0",,,,,
"1436800444","HKP6387","NY","PAS","2028-03-21T00:00:00.000","40","SUBN","AUDI","P","10610","34290","34310","20180730","10","10","10","953233","0010","0000","0221A",,"NY","O","288","7 AVE",,"0","408","F1",,"BBBBBBB","ALL","ALL","BLACK","0","2016","-","2",,,,,
"1435926717","T728106C","NY","PAS","2028-03-20T00:00:00.000","40","SUBN","BMW","P","10440","10540","10640","20190131","108","108","109","357687","T109","0000","0135P","0135P","Q","O","47-01","47 AVE",,"20180320","408","F1",,"BBBBBBB","ALL","ALL","GY","0","2017","-","0",,,,,
"1435850531","OLS795","NE","PAS","2028-02-26T00:00:00.000","21","SDN","ACURA","S","44830","19830","34330","0","73","73","0","669776","BK17","0000","0909A",,"K","F","180","GRAFTON ST",,"0","408","D1",,"YBBYBBB","0900A","1030A","GREEN","0","0","-","0",,,,,
"1437143738","8CM4585","MD","PAS","2028-02-25T00:00:00.000","46","SUBN","TOYOT","P","54050","35430","35480","0",,"0","61","959871","0061","0000","0548P",,,"F","1416","KINGS HWY",,"0","408","99",,"BBBBBBB","ALL","ALL","SIL","0","0","-","0",,,,,
"1434545090","AC395J","NY","PAS","2028-02-22T00:00:00.000","21","SUBN","CHRYS","S","5580","9530","9580","20190608","72","72","0","586955","KS07","0000","0750A",,"K","F","5906","5TH AVE",,"0","408","D1",,"YYYYYYB","0730A","0800A","BLUE","0","2005","-","0",,,,,
"1436933365","2176984","ME","PAS","2028-02-21T00:00:00.000","66",,"UTILI","P","73720","78517","28620","20210228","47","47","0","599562","BXTF","0000","0406P",,"BX","O","3900","WEBSTER AVE",,"0","408","N8",,"BBBBBBB","ALL","ALL","WH","0","0","-","0",,,,,
"1434682080","28662MH","NY","COM","2028-02-20T00:00:00.000","46","OLER","FRUEH","P","45590","18650","18670","0","19","19","19","940015","0019","0000","0225P",,"NY","F","1590","YORK AVENUE",,"0","408","F1",,"BBBBBBB","ALL","ALL","BR","0","2016","-","0",,,,,
"1414329234","5H82H","NY","OMT","2028-02-05T00:00:00.000","20","TAXI","NISSA","K","0","0","0","20180228","10","10","1","161228","0001","0000","0227P",,"NY","F",,"PIER 79 HUDSON RIVER","W 40TH ST AND 12 AVE","0","408","D",,"BBBBBBB","ALL","ALL","YELLO","0","2015","-","0",,,,,
"1435009277","MSS2665","99","PAS","2028-01-31T00:00:00.000","14",,"DODGE","S","67030","26430","13880","20190921","67","67","0","669776","BK17","0000","0614P",,"K","F","1803","NOSTRAND AVE",,"0","408","C",,"YYYYYBB","0400P","0700P",,"0","0","-","0",,,,,
"1435612024","AL355U","NJ","PAS","2028-01-01T00:00:00.000","10","DELV","INT L","P","13610","24990","16140","0","1","1","0","358945","SICA","0000","1043A",,"NY","F","160","BROADWAY",,"0","408","C",,"BBBBBBB","ALL","ALL","GREEN","0","0","-","0",,,,,
"1434746616","DUJ9082","NY","PAS","2027-12-21T00:00:00.000","40","SDN","LEXUS","P","17390","31710","31710","20180808","13","13","13","929126","0013","0000","0333A",,"NY","F","530","E 20 ST",,"0","408","E2",,"BBBBBBB","ALL","ALL","SL","0","2006","-","8",,,,,
"1435293307","HUY5281","NY","PAS","2027-12-18T00:00:00.000","19","SDN","FORD","P","28830","14280","14330","20191130","70","70","70","955613","0070","0000","0528P",,"K","F","1829","CONEY ISL AVE",,"0","408","F1",,"BBBBBBB","ALL","ALL","BLK","0","2016","-","0",,,,,
"1433801115","HSZ3968","NY","PAS","2027-12-01T00:00:00.000","21","SDN",,"S","12430","38330","70930","20190816","73","73","0","666727","KS12","0000","0845A",,"K","F","10","AMBOY ST",,"0","408","D1",,"YBBYBBB","0800A","0930A","SILVE","0","2004","-","0",,,,,
"1421735143","GHU8532","NY","PAS","2027-11-06T00:00:00.000","19","SDN","TOYOT","P","0","0","0","20190710","103","103","103","962313","0103","0000","0349A",,,,,"C/OF PARSONS","ARCHER AVE","0","408","D",,"BBBBBBB","ALL","ALL","BLUE","0","2010","-","0",,,,,
"1428074454","HSA1978","NY","PAS","2027-11-06T00:00:00.000","98","SUBN","FORD","P","8590","44790","53990","20190910","109","109","109","961489","0109","0000","0325P",,"Q","F","135-10","35 AVE",,"0","408","D",,"BBBBBBB","ALL","ALL","BK","0","1998","-","0",,,,,
"1428180540","FXW2056","NY","PAS","2027-10-27T00:00:00.000","21","SUBN","CHEVR","S","83730","82230","26130","20180412","73","73","0","669722","KN04","0000","1000A",,"K","O","366","SUTTER AVE",,"0","408","D1",,"BYBBYBB","0900A","1030A","BLUE","0","2002","-","0",,,,,
"1427755670","HNN3907","NY","PAS","2027-10-10T00:00:00.000","20","SUBN","CHRYS","S","54020","35130","28830","20181231","72","72","0","612359","KS07","0000","1227P",,"K","F","66","KERMIT PLACE",,"0","408","D1",,"YYYYYBB","0800A","0600P","BLACK","0","2017","-","0",,,,,
"1424317022","GNC2600","NY","PAS","2027-09-24T00:00:00.000","20","SUBN","HONDA","P","31130","13450","13430","20180504","88","88","88","941840","0088","0000","0627P",,"K","F","410","CUMBERLAND ST",,"0","408","E2",,"YBBBBBB","0700A","0700P","GREEN","0","2003","-","0",,,,,
"1424539365","HJL2639","NY","PAS","2027-09-09T00:00:00.000","19","SDN","HONDA","P","30630","17030","0","20180630","62","62","62","942195","0062","0000","0940A",,"K",,,"CROPSEY AVE","BAY 38 ST","0","408","F7",,"BBBBBBB","ALL","ALL","WH","0","2016","-","0",,,,,
"1423007943","727539","WI","PAS","2027-09-01T00:00:00.000","46","TRL","HYUN","P","0","40404","40404","0","17","17","17","945495","0017","0000","0925P",,"NY","F","575","LEXINGTON",,"0","408","F1",,"BBBBBBB","ALL","ALL","WH","0","0","-","0",,,,,
"1414280312","HHB5160","NY","OMS","2027-08-27T00:00:00.000","20","FOUR","DODGE","K","13820","33720","61830","20170930","84","84","4","161093","0004","0000","0539P",,"K",,,"BROOKLYN BRIDGE PARK",,"0","408","D",,"BBBBBBB","ALL","ALL","BLUE","0","2016","-","0",,,,,
"1422163805","GKB4911","NY","PAS","2027-08-09T00:00:00.000","21","P-U","NISSA","S","0","0","0","20170930","49","49","0","594308","KNO3","0000","0735A",,"K","O","595","MYRTLE AVE",,"0","408","D1",,"YYYYYYB","0730A","0800A","ORANG","0","2015","-","0",,,,,
"1424135308","GZK5130","NY","PAS","2027-08-04T00:00:00.000","21","VAN","CHEVR","S","64730","9830","9880","20170907","62","62","0","528364","KS11","0000","0708A",,"K","F","6524","NEW UTRECHT AVE",,"0","408","D1",,"YYYYYYB","0700A","0730A","BLUE","0","2003","-","0",,,,,
"1422553085","FHJ7205","NY","PAS","2027-08-01T00:00:00.000","21","SUBN","ROVER","S","33390","32710","16350","20170327","1","1","0","637096","MN01","0000","1159A",,,"O","427","WASHINGTON STREET",,"0","408","D1",,"BYBBYBB","1100A","1230P","GREY","0","2010","-","0",,,,,
"1400860787","77781JW","NY","COM","2027-08-01T00:00:00.000","98","FLAT","HIN","S","40890","181","5069","20181231","100","100","0","584122","QE14","0000","0341A","1240A","Q","F","304","CROSSBAY BLVD",,"0","408","D1",,"YYYYYYY","ALL","ALL","WHITE","0","2006","-","0",,,,,
"1422358458","252481","NY","PAS","2027-07-24T00:00:00.000","20","SDN","TOYOT","S","13170","75121","23800","20181129","50","50","0","540113","BX08","0000","0913A",,"BX","F","3950","BLACKSTONE AVE",,"0","408","D1",,"BBBBBBB","ALL","ALL","BLUE","0","2015","-","0",,,,,
"1420642662","HAL3948","NY","PAS","2027-07-24T00:00:00.000","50","SUBN","GMC","P","14090","58310","14740","20171123","104","104","104","952954","0104","0000","1128P",,"Q","F","69 39","67 PLACE",,"0","408","E3",,"BBBBBBB","ALL","ALL","GRAY","0","2016","-","0",,,,,
"1420555637","GJE6441","NY","PAS","2027-07-21T00:00:00.000","20","SUBN","DODGE","S","37710","10910","11010","20190720","34","34","0","535016","BX08","0000","0455P",,"NY","O","423","W 215TH ST",,"0","408","D1",,"BBBBBBB","ALL","ALL","BLACK","0","2010","-","0",,,,,
"1422079247","HPC9643","NY","PAS","2027-07-17T00:00:00.000","21","P-U","CHEVR","S","0","40404","40404","20190402","83","83","0","548261","BK04","0000","0929A",,"K","O","656","KOSCIOSZKO ST",,"0","408","D1",,"YYBYBBB","0900A","1030A","BLAC","0","2011","-","0",,,,,
"1425825825","CZB7997","NY","PAS","2027-07-15T00:00:00.000","63","SUBN","NISSA","P","13235","55363","0","20180808","110","110","3","164613","0003","0000","1040P",,"Q","F",,"FLUSHING MEADOW PARK","MEADOW LAKE","0","408","D",,"BBBBYBB","ALL","ALL","WHIT","0","2004","-","0",,,,,
"1424652522","AAO2449","CT","PAS","2027-07-14T00:00:00.000","21","SDN","AUDI","S","12840","20390","39620","0","112","112","0","921378","QW03","0000","1158A",,,"F","11010","62 DR",,"0","408","D1",,"BBBBYBB","1130A","0100P","WT","0","0","-","0",,,,,
"1426347327","3CM541","MA","PAS","2027-07-14T00:00:00.000","21","SUBN","SAAB","S","13880","73480","38180","0","69","69","0","829379","KS14","0000","0214A",,"K","O","9701","AVE D",,"0","408","K6",,"BYBBYBB","1200A","0300A","GRAY","0","0","-","0",,,,,
"1422917459","12602JB","NY","COM","2027-07-13T00:00:00.000","46","DELV","INTER","P","35550","44990","29690","0","24","24","24","957545","0024","0000","0610P",,"NY","F","324","WEST 89 STREET",,"0","408","F1",,"BBBBBBB","ALL","ALL","BROWN","0","2001","-","0",,,,,
"1424202115","GSU7671","NY","PAS","2027-07-10T00:00:00.000","21","SUBN","KIA","S","6880","10580","10630","20180802","62","62","0","901992","KS11","0000","1148A",,"K","O","8001","18 AVE",,"0","408","D1",,"YBBBBBB","1130A","0100P","BLACK","0","2014","-","0",,,,,
"1421800962","T701400C","NY","OMT","2027-07-08T00:00:00.000","19","TAXI","FORD","X","64790","28265","54102","20170731","103","103","968","213096","0968","0000","1142P",,"Q","F","9302","SUTPHIN BLVD",,"0","408","C",,"BBBBBBB","ALL","ALL","GREEN","0","2011","-","0",,,,,
"1414299047","AXX8487","NY","PAS","2027-07-04T00:00:00.000","20","SDN","MITSU","K","55363","62250","62250","20190730","110","110","3","160624","0003","0000","0411P",,"Q",,,"MEADOW LAKE WEST",,"0","408","D",,"BBBBBBB","ALL","ALL","SILVE","0","2010","-","0",,,,,
"1399489422","GLH8476","NY","PAS","2027-07-04T00:00:00.000","45","SDN","INFIN","K","39202","47000","34155","20171208","122","122","5","160644","0005","0000","0532P",,"R",,,"MIDLAND BEACH LOT 9",,"0","408","E3",,"BBBBBBB","ALL","ALL","BEIGE","0","1999","-","0",,,,,
"1421905693","P860929","99","APP","2027-06-30T00:00:00.000","46","DELV","FRUEH","P","10810","34570","34590","0","10","10","14","952472","0014","0000","0303A",,"NY","F","625","8TH AVENUE",,"0","408","F1",,"BBBBBBB","ALL","ALL","WHITE","0","0","-","0",,,,,
"1416779334","74452JW","NY","COM","2027-06-29T00:00:00.000","78","SUBN","FORD","P","0","40404","40404","20190228","6","6","6","949053","0006","0000","0405A",,"NY","F","400","BLEECKER",,"0","408","C",,"BBBBBBB","ALL","ALL","WHT","0","2003","-","0",,,,,
"1420859109","FMS3883","99","PAS","2027-06-27T00:00:00.000","40","SDN","TOYOT","P","36180","32600","13530","20190608","70","70","70","903331","0070","0000","0215A",,"K","F","850","E 31 ST",,"0","408","F7",,"BBBBBBB","ALL","ALL","BLK","0","2012","-","5",,,,,
"1421610530","HPU5726","NY","PAS","2027-06-26T00:00:00.000","98","SDN","TOYOT","P","21390","20440","53890","20190420","106","106","106","935300","0106","0000","0107P",,"Q",,"111-44","121 ST",,"0","408","J3",,"BBBBBBB","ALL","ALL","GREY","0","2007","-","0",,,,,
"1422392636","HXYD90","NY","PAS","2027-06-19T00:00:00.000","21","SUBN","CHEVR","S","0","40404","40404","20170830","50","50","0","612311","BX08","0000","0806A",,"BX","F","3600","FIELDSTONE RD",,"0","408","D1",,"YYYYYYB","0800A","0830A","BLACK","0","0","-","0",,,,,
"1417670630","VTS6548","VA","PAS","2027-06-13T00:00:00.000","98","SDN","HONDA","P","45290","21890","21940","0","106","106","106","962008","0106","0000","1132A",,"Q","F","130-13","FOCH BLVD",,"0","408","F1",,"BBBBBBB","ALL","ALL","BLACK","0","0","-","0",,,,,
"1421344087","GC42751","NY","PAS","2027-01-10T00:00:00.000","21","BLUE","SMART","S","9480","6480","6580","20190218","66","66","0","529560","KS12","0000","1035A",,"K","F","1423","58TH ST",,"0","408","D1",,"YBBBBBB","0930A","1100A","BLUE","0","2016","-","0",,,,,
"1436482045","85D808","NV","PAS","2026-02-02T00:00:00.000","67","SUBN","JEEP","P","0","0","0","0",,"0","34","945549","0034","0000","1106P",,"NY",,,"AUDUBON AV","W 190 ST","0","408","E2",,"BBBBBBB","ALL","ALL","GRY","0","2004","-","0",,,,,
"1418516429","DTB8327","NY","PAS","2025-08-03T00:00:00.000","45","SDN","MITSU","X","57720","70635","70635","20180919","49","49","976","100457","0976","0000","1211P",,"BX","F","1400","PELHAM PKWY SO",,"0","408","J6",,"BBBBBBB","ALL","ALL","BLUE","0","2005","-","0",,,,,
"1425563004","12866KA","NY","COM","2023-10-23T00:00:00.000","46","VAN","FORD","P","0","40404","40404","0","19","19","19","921774","0019","0000","0325P",,,"F","955","LEXINGTON",,"0","408","F1",,"BBBBBBB","ALL","ALL","WH","0","2009","-","0",,,,,
"1427172614","GEM8318","NY","PAS","2023-08-21T00:00:00.000","21","SDN","HONDA","S","19090","24890","10210","20190319","23","23","0","610119","MN11","0000","0844A",,"NY","F","157","EAST 106 STREET",,"0","408","D1",,"YBBYBBB","0830A","1000A","BLACK","0","2010","-","0",,,,,
"1424468840","FXA7229","NY","PAS","2023-06-06T00:00:00.000","74","SUBN","ROVER","P","86730","18330","73145","20180227","76","76","76","946618","0076","0000","0510P",,"K","F","444","VAN BRUNT ST",,"0","408","F2",,"BBBBBBB","ALL","ALL","BK","0","2015","-","0",,,,,
"1437188229","12806KA","NY","COM","2023-01-28T00:00:00.000","45","DELV","FRUEH","P","25390","18370","18390","0","19","19","19","937844","0019","0000","0015A",,"NY","O","833","MADISON AVE",,"0","408","E9",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,
"1423286030","30954JX","99","COM","2022-05-06T00:00:00.000","46","VAN","WORKH","P","10210","18530","18550","0","19","19","19","956225","0019","0000","0400P",,"NY","F","1356","3RD AVE",,"0","408","F1",,"BBBBBBB","ALL","ALL","BROWN","0","2007","-","0",,,,,
"1416083340","Z11GVB","NJ","PAS","2021-11-12T00:00:00.000","14","SUBN","TOYOT","P","34850","10810","10910","0","18","18","18","949465","0018","0000","0255P","0255P","NY","F","349","W 54",,"0","408","D",,"BBBBBBB","ALL","ALL","WHITE","0","0","-","0",,,,,
"1418322210","HUF1186","NY","PAS","2021-08-23T00:00:00.000","50","SDN","TOYOT","P","31520","37520","57720","20190803","49","49","49","961036","0049","0000","0955A",,"BX","O","1100","ESPLANADE",,"0","408","J2",,"BBBBBBB","ALL","ALL","GREEN","0","2008","-","0",,,,,
"1422029013","37157MD","NY","COM","2021-08-22T00:00:00.000","18","VAN","HIN","P","24890","18130","18150","20171231","18","18","401","927355","0401","0000","0738A",,"NY","F","714","LEXINGTON AVE",,"0","408","C3",,"YYYYYBB","0700A","1000A","WHITE","0","2014","-","0",,,,,
"1426696073","HRK9082","NY","PAS","2021-08-11T00:00:00.000","46","SDN","HONDA","P","0","40404","40404","20190602","34","34","34","946677","0034","0000","0015A","0015A","NY","F","253","DYCKMAN",,"0","408","E3",,"BBBBBBB","ALL","ALL","WHITE","0","2017","-","0",,,,,
"1411990328","64M6592","NY","PAS","2021-08-08T00:00:00.000","21","SDN","LEXUS","S","13610","37702","37703","20190505","34","34","0","540181","MN12","0000","0738A",,"NY","F","5009","BROADWAY",,"0","408","D1",,"YYYYYYB","0730A","0800A","BLACK","0","2015","-","0",,,,,
"1437169235","A89JXX","NJ","PAS","2021-07-31T00:00:00.000","46","SDN","ME/BE","P","13510","36750","36770","0","32","32","32","958738","0032","0000","0530A",,"NY","F","140","BRADHURST AVE",,"0","408","D",,"BBBBBBB","ALL","ALL","GY","0","2003","-","0",,,,,
"1422125725","KHB4215","PA","PAS","2021-07-14T00:00:00.000","21","SDN","NISSA","S","36830","74230","93830","0","71","71","0","583289","0000","0000","1211P",,"K","F","135","E 45TH ST",,"0","408","D1",,"BYBBYBB","1200P","0130P","BLACK","0","0","-","0",,,,,
"1422394827","HPJ5226","NY","PAS","2021-07-03T00:00:00.000","21","SUBN","HONDA","S","13170","75121","23800","20190327","50","50","0","612311","BX08","0000","1150A",,"BX",,"3935","BLACKSTONE AVE",,"0","408","D1",,"YBBBBBB","1130A","0100P","RED","0","2003","-","0",,,,,
"1435316629","GWG8059","NY","PAS","2021-02-01T00:00:00.000","50","SUBN","LEXUS","P","0","0","0","20190318","71","71","71","961165","0071","0000","0134A","0134A","K",,,"N/E CORNER UNION ST","BROOKLYN AVE","0","408","F7",,"BBBBBBB","ALL","ALL","GRY","0","2017","-","0",,,,,
"1422803790","GXT4277","NY","PAS","2020-09-19T00:00:00.000","46","SUBN","NISSA","P","37290","16740","16890","20190611","110","110","110","947754","0110","0000","0655P",,"Q","F","81-37","BROADWAY",,"0","408","D",,"BBBBBBB","ALL","ALL","RED","0","0","-","0",,,,,
"1422625084","DYB7971","NY","PAS","2020-08-19T00:00:00.000","40","SDN","INFIN","P","25980","35020","72720","20190316","40","40","40","955086","0040","0000","0450P",,"BX","F","125","E 144 ST",,"0","408","F1",,"BBBBBBB","ALL","ALL","GY","0","2004","-","0",,,,,
"1439829822","60511ML","NY","COM","2020-05-19T00:00:00.000","78","VAN","FORD","S","64230","91730","91780","20200531","60","60","0","601496","KS13","0000","0102A",,"K","O","2828","NEPTUNE AVE",,"0","408","D1",,"BBBBBBB","0900P","0500A","WH","0","2010","-","0",,,,,
"1439427094","B56JHV","NJ","PAS","2020-05-19T00:00:00.000","19","SDN","HONDA","P","37370","12010","31190","20181020","34","34","34","903586","0034","0000","1116P",,"NY","F","575","W 181 STREET",,"0","408","E2",,"YYYYYYY","ALL","ALL","BLUE","0","2005","-","0",,,,,
"1438909299","C70JTR","NJ","PAS","2020-05-19T00:00:00.000","98",,"HONDA","P","19540","57790","8440","0","115","115","115","964391","0115","0000","0146A",,"Q","F","33-41","102 ST",,"0","408","F2",,"BBBBBBB","ALL","ALL","ORANG","0","0","-","0",,,,,
