"data_as_of","development","hud_amp_","tds_","consolidated_tds_","development_edp_","operating_edp_","hud__","program","method","type","number_of_section_8_transition_apartments","number_of_current_apartments","total_number_of_apartments","number_of_rental_rooms","avg_no_r_r_per_apartment","population_section_8_transition","population_public_housing","total_population","total_of_fixed_income_household","percent_fixed_income_households","number_of_residential_bldgs","number_of_non_residential_bldgs","number_of_stairhalls","number_of_stories","total_area_sq_ft","acres","net_dev_area_sq_ft","excluding_park_acres","bldg_coverage_sq_ft","cubage_cu_ft","bldg_coverage__","density","development_cost","per_rental_room","avg_monthly_gross_rent","location_street_a","location_street_b","location_street_c","location_street_d","borough","community_distirct","us_congressional_district","ny_state_senate_district","ny_state_assembly_district","ny_city_council_district","completion_date","federalized_development","senior_development","electricity_paid_by_residents","private_management"
"1/1/2019","ALBANY","NY005010310","031","031","524","524","NY005216C","FEDERAL","CONVENTIONAL","NEW CONST",,"823","829","3,777.5","4.59",,"1,886","1,886","267","0.327","6","0","6","14","388,389","8.92","388,389","8.92","58,455","7,082,630","15.05%","211","$8,951,000","$2,356","$565","ALBANY AVE","SAINT MARKS AVE","TROY AVE","PARK PL","BROOKLYN","8","9","25","56","36","10/14/1950","1978/02/01-ATP 2",,,
"1/1/2019","ALBANY II","NY005010310","085","031","524","524","NY005216C","FEDERAL","CONVENTIONAL","NEW CONST",,"400","400","1,848.0","4.62",,"985","985","130","0.331","3","0","3","13-14","214,594","4.93","214,594","4.93","26,053","3,249,689","12.14%","200","$4,666,000","$2,540","$542","BERGEN ST","TROY AVE","ALBANY HOUSES","ALBANY AVE","BROOKLYN","8","9","25","56","36","2/7/1957","1978/02/01-ATP 2",,,
"1/1/2019","AMSTERDAM","NY005010220","022","022","530","530","NY005220A","FEDERAL","CONVENTIONAL","NEW CONST",,"1,084","1,084","5,129.0","4.73",,"2,270","2,270","468","0.435","13","0","24","6-13","446,172","10.24","413,534","9.49","100,358","8,233,310","22.49%","222","$12,262,000","$2,391","$544","W 61ST ST","W 64TH ST","WEST END AVE","AMSTERDAM AVE","MANHATTAN","7","10","31","67","06","12/17/1948","1978/07/01-ATP 3",,,
"1/1/2019","AMSTERDAM ADDITION","NY005021870","187","022","453","453","NY005366","MIXED FINANCE/LLC1","CONVENTIONAL","NEW CONST","26","175","175","762.5","4.36","66","287","353","97","0.557","1","0","1","27","36,154","0.83","36,154","0.83","17,562","1,825,587","48.58%","425","$7,053,000","$9,250","$510","W 64TH ST","W 65TH ST","AMSTERDAM AVE","WEST END AVE","MANHATTAN","7","10","31","67","06","1/31/1974",,,,
"1/1/2019","ARMSTRONG I","NY005012100","210","210","325","325","NY005120","FEDERAL","CONVENTIONAL","NEW CONST",,"369","371","1,763.5","4.78",,"977","977","143","0.39","11","1","58","3-4-6","245,481","5.64","245,481","5.64","94,311","4,800,020","38.42%","173","$14,648,872","$8,129","$581","CLIFTON PL","MARCY AVE","GATES AVE","BEDFORD AVE","BROOKLYN","3","8","25","56, 57","36","5/31/1973",,"PARTIALLY",,
"1/1/2019","ARMSTRONG II","NY005012100","228","210","355","325","NY005116","FEDERAL","TURNKEY","NEW CONST",,"248","248","1,276.0","5.15",,"702","702","58","0.238","5","1","17","4","162,118","3.72","162,118","3.72","67,372","3,123,424","41.56%","189","$7,802,067","$6,114","$600","GREENE AVE","GATES AVE","TOMPKINS AVE","MARCY AVE","BROOKLYN","3","8","25","56","36","10/31/1974",,,,
"1/1/2019","ASTORIA","NY005000260","026","026","517","517","NY005213I","FEDERAL","CONVENTIONAL","NEW CONST",,"1,104","1,104","5,607.0","5.08",,"3,032","3,032","366","0.333","22","1","22","6-7","1,406,832","32.30","1,151,484","26.43","173,434","10,826,559","12.33%","94","$14,122,000","$2,519","$593","27TH AVE","8TH ST","HALLET'S COVE","EAST RIVER","QUEENS","1","12","12","37","22","11/9/1951","1977/07/01-ATP 1",,,
"1/1/2019","ATLANTIC TERMINAL SITE 4B","NY005011630","256","163","384","272","NY005189","FEDERAL","TURNKEY","NEW CONST",,"299","300","1,237.5","4.14",,"582","582","121","0.41","1","0","1","31","88,155","2.02","88,155","2.02","15,382","2,464,800","17.45%","288","$10,797,972","$8,489","$562","CLERMONT AVE","ATLANTIC AVE","CARLTON AVE","FULTON ST","BROOKLYN","2","8","25","57","35","4/30/1976",,,,
"1/1/2019","FHA REPOSSESSED HOUSES (GROUP X)","NY005012090","284","91","521","324","NY005212","FEDERAL","CONVENTIONAL","REHAB",,"16","21","87.0","5.44",,,"37",,,"20",,,"1-1.5-2-2.5","99,627","2.29","99,627","2.29",,,,"16","$850,661","$6.56","$713","20 QUEENS",,,,,,,,,,"6/30/1982",,,,
"1/1/2019","AUDUBON","NY005010030","125","003","444","444","NY005365","FEDERAL","CONVENTIONAL","NEW CONST",,"167","168","826.5","4.95",,"446","446","64","0.388","1","0","1","20","27,477","0.63","27,477","0.63","9,043","1,585,892","32.91%","708","$2,817,000","$3,382","$578","W 154TH ST","W 155TH ST","AMSTERDAM AVE",,"MANHATTAN","9","13","30","71","07","4/30/1962","1995/07/13-PTA",,,
"1/1/2019","BAILEY AVENUE-WEST 193RD STREET","NY005012020","202","197","311","311","NY005106","FEDERAL","CONVENTIONAL","NEW CONST",,"232","233","976.0","4.21",,"455","455","89","0.387","1","0","1","20","99,606","2.29","99,606","2.29","13,621","1,877,893","13.67%","199","$8,091,156","$8,173","$493","BAILEY AVE","W 193RD ST","HEATH AVE",,"BRONX","7","13","33","86","14","5/31/1973",,,,
"1/1/2019","BAISLEY PARK","NY005010910","091","091","240","240","NY005038","FEDERAL","CONVENTIONAL","NEW CONST",,"381","386","1,779.5","4.67",,"947","947","143","0.377","5","1","8","8","325,713","7.48","325,713","7.48","54,504","3,529,560","16.73%","127","$5,856,304","$3,246","$548","LIRR","FOCH BLVD","116TH AVE","GUY BREWER BLVD","QUEENS","12","5","10, 14","32","28","4/30/1961",,,,
"1/1/2019","BARUCH","NY005010600","060","060","215","215","NY005012","FEDERAL","CONVENTIONAL","NEW CONST",,"2,193","2,194","10,240.5","4.67",,"4,872","4,872","962","0.445","17","1","35","7-13-14","1,196,115","27.46","1,101,503","25.29","160,098","17,784,205","13.38%","177","$36,411,155","$3,553","$534","E HOUSTON ST","FDR DRIVE","DELANCEY ST","COLUMBIA ST","MANHATTAN","3","7","26","74","02","8/6/1959",,,,
"1/1/2019","BARUCH HOUSES ADDITION","NY005010600","198","060","383","215","NY005111","FEDERAL","CONVENTIONAL","NEW CONST (ELD)",,"197","197","646.5","3.28",,"242","242","179","0.923","1","0","1","23","47,204","1.08","47,204","1.08","6,149","1,268,931","13.03%","224","$6,622,549","$9,907","$302","COLUMBIA ST","DELANCEY ST","E HOUSTON ST","FDR DRIVE","MANHATTAN","3","7","26","74","02","4/30/1977",,"EXCLUSIVELY",,
"1/1/2019","BAY VIEW","NY005020920","092","092","670","670","NY005368","MIXED FINANCE/LLC1","CONVENTIONAL","NEW CONST","340","1,609","1,610","7,310.5","4.54","871","2,635","3,506","620","0.388","23","2","26","8","1,481,844","34.02","1,459,244","33.50","228,305","14,262,296","15.41%","103","$19,575,470","$2,676","$529","SEAVIEW AVE","E 102ND ST","ROCKAWAY PKWY","SHORE PKWY","BROOKLYN","18","8","19","59","46","6/7/1956",,,,
"1/1/2019","BEACH 41ST STREET-BEACH CHANNEL DRIVE","NY005001650","165","165","282","282","NY005086","FEDERAL","CONVENTIONAL","NEW CONST",,"712","712","3,106.0","4.36",,"1,622","1,622","233","0.335","4","1","7","13","580,000","13.31","580,000","13.31","66,756","6,385,727","11.51%","122","$24,811,000","$7,988","$470","B 38TH ST","B 41ST ST","NORTON AVE","B CHANNEL DR","QUEENS","14","5","10","31","31","11/30/1973",,,,
"1/1/2019","BEDFORD-STUYVESANT REHAB","NY005010730","311","073","266","538","NY005255","FEDERAL","TURNKEY","REHAB",,"84","85","381.0","4.54",,"180","180","29","0.349","3","0","5","4-6","26,000","0.60","26,000","0.60","18,283","856,611","70.32%","300","$5,219,763","$13,316","$579","THROOP AVE","VERNON AVE","MARCUS GARVEY BLVD","HART ST","BROOKLYN","3","8","18","54","36","5/31/1983",,,"YES",
"1/1/2019","BELMONT-SUTTER AREA","NY005010460","345","046","761","761","NY005282","FEDERAL","TURNKEY","NEW CONST",,"72","72","336.0","4.67",,"189","189","21","0.292","3","0","8","3","80,000","1.84","80,000","1.84","24,395","889,912","30.49%","103","$5,373,534","$15,993","$577","BELMONT AVE","JEROME ST","SUTTER AVE","BARBEY ST","BROOKLYN","5","8","19","60","42","2/28/1986",,,"YES",
"1/1/2019","BERRY","NY005000520","052","052","587","587","NY005271B","FEDERAL","CONVENTIONAL","NEW CONST",,"506","506","2,129.0","4.21",,"944","944","220","0.439","8","1","17","6","604,913","13.89","511,178","11.74","77,152","4,520,277","12.75%","68","$5,929,376","$2,785","$511","RICHMOND RD","DONGAN HILLS AVE","SEAVER AVE","JEFFERSON ST","STATEN ISLAND","2","11","24","63","50","10/27/1950","1980/10/01-ATP 7",,,
"1/1/2019","BERRY STREET-SOUTH 9TH STREET","NY005011310","357","131","777","777","NY005288","FEDERAL","TURNKEY","NEW CONST",,"150","150","711.0","4.74",,"370","370","44","0.299","4","0","15","3-6","129,228","2.97","129,228","2.97","39,559","1,341,343","30.61%","125","$17,062,418","$23,999","$627","SOUTH 9TH ST","BEDFORD & DIVISION AVES","SOUTH 11TH ST","WYTHE AVE","BROOKLYN","1","7","18","50","33","9/30/1995",,,"YES",
"1/1/2019","BETHUNE GARDENS","NY005010030","160","003","271","271","NY005070","FEDERAL","CONVENTIONAL","NEW CONST (ELD)",,"210","210","735.0","3.50",,"260","260","185","0.885","1","0","1","22","63,546","1.46","63,546","1.46","7,751","1,393,115","12.20%","178","$3,785,397","$5,007","$337","W 156TH ST","SAINT NICHOLAS AVE","AMSTERDAM AVE",,"MANHATTAN","12","13","30","71","07","3/31/1967",,"EXCLUSIVELY",,
"1/1/2019","BLAND","NY005011860","054","186","519","519","NY005213K","FEDERAL","CONVENTIONAL","NEW CONST",,"399","400","1,850.5","4.64",,"863","863","167","0.423","5","0","5","10","269,800","6.19","245,785","5.64","43,237","3,668,503","16.03%","139","$5,925,000","$3,205","$585","ROOSEVELT AVE","PRINCE ST","COLLEGE POINT BLVD","LIRR","QUEENS","7","6","11","40","20","5/8/1952","1977/07/01-ATP 1",,,
"1/1/2019","BORINQUEN PLAZA I","NY005012430","243","243","353","353","NY005175","FEDERAL","TURNKEY","NEW CONST",,"509","509","2,359.5","4.64",,"1,123","1,123","270","0.539","8","2","10","7","250,875","5.76","250,875","5.76","96,902","4,544,080","38.63%","195","$15,625,047","$6,556","$539","MANHATTAN AVE","BOERUM ST","BUSHWICK AVE","VARET ST","BROOKLYN","1","7","18","53","34","2/28/1975",,"PARTIALLY",,
"1/1/2019","BORINQUEN PLAZA II","NY005012430","271","243","390","353","NY005195","FEDERAL","TURNKEY","NEW CONST",,"425","425","2,265.5","5.33",,"1,123","1,123","149","0.351","7","0","7","7","184,000","4.22","184,000","4.22","61,115","4,223,000","33.21%","266","$16,411,918","$7,244","$612","BOERUM ST","HUMBOLDT ST","SEIGEL ST","BUSHWICK AVE","BROOKLYN","1","7","18","53","34","12/31/1975",,,,
"1/1/2019","BOSTON ROAD PLAZA","NY005010390","189","039","304","304","NY005095","FEDERAL","CONVENTIONAL","NEW CONST (ELD)",,"232","235","814.0","3.51",,"276","276","207","0.892","1","1","2","20","84,416","1.94","84,416","1.94","15,045","1,589,318","17.82%","142","$7,125,145","$8,452","$368","MACE AVE","HOLLAND AVE","WARING AVE","BOSTON RD","BRONX","11","14","34","80","13","8/31/1972",,"EXCLUSIVELY",,
"1/1/2019","BOSTON SECOR","NY005011380","138","138","254","254","NY005060","FEDERAL","CONVENTIONAL","NEW CONST",,"538","538","2,487.0","4.62",,"1,322","1,322","184","0.346","4","2","5","13-14-17-18","612,889","14.07","612,889","14.07","36,181","4,849,474","5.90%","94","$11,894,964","$4,778","$566","IRT-DYRE AVE LINE","BOSTON RD","STEENWICK AVE",,"BRONX","12","16","36","83","12","4/30/1969",,,,
"1/1/2019","BOULEVARD","NY005020460","046","046","637","637","NY005369","MIXED FINANCE/LLC2","CONVENTIONAL","NEW CONST","438","1,424","1,441","5,992.0","4.21","846","1,850","2,696","581","0.416","18","0","30","6-14","1,127,650","25.89","1,127,650","25.89","170,051","12,141,094","15.08%","104","$13,645,438","$2,247","$518","LINDEN BLVD","ASHFORD ST","WORTMAN AVE","SCHENCK AVE","BROOKLYN","5","8","19","60","42","3/22/1951",,,,
"1/1/2019","BOYNTON AVENUE REHAB","NY005010320","346","032","767","533","NY005249","FEDERAL","TURNKEY","REHAB",,"82","82","367.0","4.48",,"182","182","29","0.358","3","0","3","4-6","30,000","0.69","30,000","0.69","16,455","999,600","54.85%","264","$4,943,129","$13,396","$476","WATSON AVE","WARD AVE","BRUCKNER BLVD","ELDER AVE","BRONX","9","15","32","85","18","8/22/1985",,,"YES",
"1/1/2019","BRACETTI PLAZA","NY005012920","264","337","379","370","NY005185","FEDERAL","TURNKEY","NEW CONST",,"108","108","538.0","4.98",,"257","257","47","0.439","1","0","2","7","44,353","1.02","44,353","1.02","18,790","1,216,072","42.36%","252","$4,364,419","$8,008","$596","E 3RD ST","AVENUE C","E 4TH ST","AVENUE B","MANHATTAN","3","12","26","74","02","5/31/1974",,,,
"1/1/2019","BREUKELEN","NY005000560","056","056","212","212","NY005011","FEDERAL","CONVENTIONAL","NEW CONST",,"1,592","1,595","7,460.0","4.69",,"3,476","3,476","539","0.343","30","2","97","3-7","2,830,416","64.98","2,141,741","49.17","360,423","14,297,000","12.73%","53","$18,410,273","$2,464","$544","STANLEY AVE","FLATLANDS AVE","E 103RD ST","WILLIAMS AVE","BROOKLYN","18","8","19","58, 60","42","11/6/1952",,,,
"1/1/2019","BREVOORT","NY005000650","065","065","213","213","NY005017","FEDERAL","CONVENTIONAL","NEW CONST",,"894","896","4,187.0","4.68",,"1,918","1,918","330","0.371","13","1","27","7","751,896","17.26","687,188","15.78","121,363","7,735,916","16.14%","111","$11,831,887","$2,849","$571","BAINBRIDGE ST","RALPH AVE","FULTON ST","PATCHEN AVE","BROOKLYN","3","8","25","55","41","8/10/1955",,,,
"1/1/2019","BRONX RIVER","NY005010320","032","032","533","533","NY005220D","FEDERAL","CONVENTIONAL","NEW CONST",,"1,245","1,246","5,942.5","4.77",,"2,998","2,998","464","0.375","9","1","10","14","607,297","13.94","563,737","12.94","84,235","10,772,413","13.87%","215","$12,719,000","$2,131","$512","BRONX RIVER AVE","HARROD AVE","E 174TH ST",,"BRONX","9","15","32","85","18","2/28/1951","1978/07/01-ATP 3",,,
"1/1/2019","BRONX RIVER ADDITION","NY005010320","157","032","533","533","NY005220D","FEDERAL","CONVENTIONAL","NEW CONST (ELD)",,"226","226","640.0","2.83",,"241","241","206","0.928","2","0","2","6-14","62,500","1.43","62,500","1.43","12,286","1,529,115","19.66%","169","$3,928,000","$6,128","$290","E 172ND ST","E 174TH ST","MANOR AVE","HARROD AVE","BRONX","9","15","32","85","18","2/28/1966","1978/07/01-ATP 3","EXCLUSIVELY",,
"1/1/2019","BROWN","NY005012520","325","252","336","336","NY005277","FEDERAL","TURNKEY","NEW CONST (ELD)",,"200","200","700.0","3.50",,"220","220","179","0.904","2","0","2","6","99,460","2.28","99,460","2.28","29,354","1,493,904","29.51%","96","$13,425,060","$19,179","$368","EASTERN PKWY","PROSPECT PL","HOPKINSON AVE","SAINT MARKS AVE","BROOKLYN","16","8","20","55","41","7/23/1985",,"EXCLUSIVELY","YES",
"1/1/2019","BROWNSVILLE","NY005000160","016","016","512","512","NY005213D","FEDERAL","CONVENTIONAL","NEW CONST",,"1,336","1,338","6,279.0","4.70",,"3,166","3,166","416","0.316","27","0","46","6-7","819,997","18.82","732,841","16.82","188,564","10,371,638","23.00%","168","$12,898,000","$2,054","$520","SUTTER AVE","DUMONT AVE","MOTHER GASTON BLVD","ROCKAWAY AVE","BROOKLYN","16","9","20","55","41","4/16/1948","1977/07/01-ATP 1",,,
"1/1/2019","BRYANT AVENUE-EAST 174TH STREET","NY005015300","235","530","352","748","NY005145","FEDERAL","TURNKEY","NEW CONST",,"72","72","284.0","3.94",,"135","135","33","0.465","1","0","1","6","22,500","0.52","22,500","0.52","9,879","672,864","43.91%","260","$2,132,334","$7,315","$519","E 174TH ST","BRYANT AVE","E 173RD ST","VYSE AVE","BRONX","3","15","32","79","17","8/31/1972",,,,"YES"
"1/1/2019","BUSHWICK","NY005020860","086","086","430","430","NY005370","MIXED FINANCE/LLC1","CONVENTIONAL","NEW CONST","209","1,219","1,220","5,669.5","4.65","555","2,288","2,843","499","0.413","8","0","8","13-20","697,736","16.02","639,260","14.68","78,768","11,288,105","11.29%","177","$20,346,000","$3,599","$541","HUMBOLDT ST","MOORE ST","BUSHWICK AVE","FLUSHING AVE","BROOKLYN","1","7","18","53","34","4/1/1960",,,,
"1/1/2019","BUSHWICK II (GROUPS A & C)","NY005012470","302","247","565","546","NY005222","FEDERAL","TURNKEY","NEW CONST",,"299","300","1,446.5","4.84",,"716","716","125","0.418","25","0","25","3","402,930","9.25","402,930","9.25","102,600","3,200,584","25.46%","77","$20,840,392","$14,235","$607","CENTRAL AVE","HARMAN AVE","GREEN AVE","HALSEY ST","BROOKLYN","4","7, 8","18","53, 54","34, 37","7/19/1984",,,"YES",
"1/1/2019","BUSHWICK II (GROUPS B & D)","NY005012470","303","247","566","546","NY005240","FEDERAL","TURNKEY","NEW CONST",,"300","300","1,450.0","4.83",,"702","702","121","0.405","25","1","27","3","440,392","10.11","440,392","10.11","102,600","3,200,584","23.30%","69","$19,608,177","$13,339","$584","GATES AVE","WILSON AVE","MADISON AVE","EVERGREEN AVE","BROOKLYN","4","7","18","53, 54","34, 37","7/5/1984",,,"YES",
"1/1/2019","BUSHWICK II CDA (GROUP E)","NY005012470","324","247","758","546","NY005263","FEDERAL","TURNKEY","NEW CONST",,"276","276","1,212.0","4.39",,"555","555","153","0.558","5","0","37","3","300,000","6.89","300,000","6.89","84,230","2,198,403","28.08%","81","$20,078,888","$16,539","$543","KNICKERBOCKER AVE","WILSON AVE","GATES AVE","MENAHAN ST","BROOKLYN","4","7","18","53","37","12/10/1986",,,"YES",
"1/1/2019","BUTLER","NY005001130","113","113","435","435","NY005362","FEDERAL","CONVENTIONAL","NEW CONST",,"1,476","1,492","7,217.0","4.89",,"4,297","4,297","446","0.304","6","1","7","21","558,096","12.81","558,096","12.81","88,255","13,527,100","15.81%","335","$29,633,000","$4,068","$507","E 169TH ST","E 171ST ST","WEBSTER AVE","PARK AVE","BRONX","3","15","33","79","16","12/31/1964","1995/07/13-PTA",,,
"1/1/2019","CAMPOS PLAZA II","NY005012570","286","337","593","593","NY005264","FEDERAL","CONVENTIONAL","NEW CONST",,"224","224","1,088.0","4.86",,"508","508","105","0.469","2","0","3","9-17","93,155","2.14","93,155","2.14","29,149","2,470,285","31.29%","237","$17,601,547","$16,193","$627","AVENUE B","E 14TH ST","AVENUE C","E 13TH ST","MANHATTAN","3","12","27","74","02","4/30/1983",,,"YES",
"1/1/2019","CAREY GARDENS","NY005011660","166","166","288","288","NY005088","FEDERAL","CONVENTIONAL","NEW CONST",,"682","683","3,095.0","4.54",,"1,632","1,632","284","0.419","3","2","5","15-17","364,406","8.37","364,406","8.37","58,078","6,234,149","15.94%","195","$16,996,504","$5,476","$486","W 24TH ST","NEPTUNE AVE","W 22ND ST","SURF AVE","BROOKLYN","13","8","23","46","47","11/30/1970",,,,
"1/1/2019","CARLETON MANOR","NY005010750","164","075","270","226","NY005073","FEDERAL","CONVENTIONAL","NEW CONST",,"169","174","728.5","4.31",,"357","357","53","0.315","1","0","1","11","145,011","3.33","145,011","3.33","14,051","1,386,194","9.69%","107","$3,373,126","$4,498","$506","ROCKAWAY FRWY","BEACH CHANNEL DR",,,"QUEENS","14","5","10","31","31","3/31/1967",,,,
"1/1/2019","CARVER","NY005000580","058","058","534","534","NY005220E","FEDERAL","CONVENTIONAL","NEW CONST",,"1,244","1,246","5,761.0","4.63",,"2,586","2,586","502","0.41","13","0","13","6-15","637,132","14.63","594,887","13.66","97,568","10,275,141","15.31%","177","$24,155,000","$4,145","$590","E 99TH ST","PARK AVE","MADISON AVE","E 106TH ST","MANHATTAN","11","13","30","68","08","2/14/1958","1978/07/01-ATP 3",,,
"1/1/2019","CASSIDY-LAFAYETTE","NY005011170","206","117","319","241","NY005122","FEDERAL","TURNKEY","NEW CONST (ELD)",,"378","380","1,248.0","3.30",,"439","439","323","0.878","4","1","5","6","224,294","5.15","224,294","5.15","54,589","2,858,593","24.34%","85","$6,866,904","$5,315","$323","CASSIDY PL","FILLMORE ST","LAFAYETTE AVE","CLINTON AVE","STATEN ISLAND","1","11","23","61","49","9/30/1971",,"EXCLUSIVELY",,
"1/1/2019","CASTLE HILL","NY005020800","080","080","431","431","NY005371","MIXED FINANCE/LLC1","CONVENTIONAL","NEW CONST","406","2,022","2,025","9,759.0","4.83","1151","3,729","4,880","796","0.401","14","0","14","12-20","1,801,346","41.35","1,757,585","40.35","176,917","19,247,987","9.82%","118","$28,454,000","$2,915","$485","OLMSTEAD AVE","HAVEMEYER AVE","LACOMBE AVE","CINCINNATUS AVE","BRONX","9","15","32","87","18","12/15/1960",,,,
